Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_napus_rna_prot
OG0000011	NM_105362.2.p1	XM_048760795.1.p1
OG0000011	NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1	XM_013876203.3.p1, XM_048755050.1.p1, XM_048755047.1.p1, XM_013876202.3.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_048744285.1.p1, XM_048742724.1.p1, XM_013886120.2.p1, XM_013849992.2.p1
OG0000016	NM_118258.3.p1	XM_013879404.3.p1, XM_048745596.1.p1
OG0000016	NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1	XM_048757051.1.p1
OG0000016	NM_112034.3.p1	XR_007324769.1.p1, XR_007324771.1.p1, XR_007324770.1.p1, XM_048760202.1.p1, XM_048735966.1.p1, XM_048760777.1.p1, XM_013845591.3.p1, XM_013820176.3.p1, XR_007338241.1.p1, XM_013840285.3.p1
OG0000016	NM_105253.2.p1, NM_105252.2.p1	XM_013868900.3.p1, XM_048778039.1.p1, XM_048778040.1.p1, XM_013831259.3.p1, XM_022689074.2.p1, XM_022689073.2.p1, XM_048760197.1.p1, XM_022704927.2.p1, XM_013866976.3.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1	XM_013861806.3.p1, XM_013861807.3.p1, XM_013881805.3.p1, XM_013881815.3.p1
OG0000018	NM_118242.4.p1, NM_120043.3.p1	XM_048734860.1.p1, XM_013847935.3.p1
OG0000018	NM_116759.3.p1	XM_048740756.1.p1, XM_013788975.3.p1
OG0000018	NM_118446.3.p1	XM_013887432.3.p1, XM_048754722.1.p1, XM_048762878.1.p1
OG0000018	NM_118452.4.p1	XM_013838838.3.p1, XM_013882202.3.p1, XM_013838817.3.p1, XM_048767007.1.p1, XM_013860326.3.p1, XM_048771641.1.p1
OG0000018	NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1	XM_013887411.3.p1, XM_013887433.3.p1
OG0000018	NM_118447.3.p1, NM_001341579.1.p1	XM_013838859.3.p1, XM_013882199.3.p1, XM_013838867.3.p1, XM_013882105.3.p1, XM_013805793.3.p1
OG0000018	NM_118460.2.p1, NM_001341598.1.p1	XM_022715001.2.p1, XM_013882904.3.p1, XM_048741063.1.p1, XR_007316520.1.p1
OG0000018	NM_001341575.1.p1, NM_179094.3.p1	XM_013882127.3.p1, XM_013808430.3.p1, XM_048738824.1.p1, XM_048738821.1.p1, XM_048752890.1.p1
OG0000018	NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_022717723.1.p1, XM_048745671.1.p1, XM_048741086.1.p1, XM_048741119.1.p1
OG0000020	NM_001333052.1.p1	XM_013872994.3.p1, XM_048752002.1.p1, XM_013794376.3.p1, XM_013884806.3.p1
OG0000020	NM_121001.2.p1	XM_013882038.3.p1, XM_022693764.2.p1, XM_048746754.1.p1, NM_001316129.3.p1
OG0000020	NM_001337980.1.p1	XM_013792755.3.p1, XM_022716333.2.p1, XM_048744684.1.p1, XM_013791555.3.p1
OG0000020	NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1	XM_022688685.2.p1
OG0000020	NM_112059.2.p1, NM_112060.3.p1	XM_013806973.3.p1, XM_013848052.3.p1
OG0000020	NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1	XM_048775942.1.p1, XM_048775939.1.p1, XM_048775941.1.p1, XM_048775940.1.p1, XM_048775938.1.p1, XM_048752820.1.p1, XM_048765044.1.p1, XM_048752817.1.p1, XM_048741506.1.p1, XM_048741505.1.p1, XM_013852492.3.p1, XM_013798052.3.p1, XM_013798054.3.p1
OG0000020	NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1	XR_001278711.3.p1, XM_013832911.3.p1, XM_013887814.3.p1, XM_013831510.3.p1, XM_048754815.1.p1, XM_048754817.1.p1, XM_048754820.1.p1, XM_048777456.1.p1, XM_048777458.1.p1, XR_007338994.1.p1, XM_048754822.1.p1, XM_048754823.1.p1, XM_048754819.1.p1
OG0000020	NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1	XM_013894849.3.p1, XM_048777447.1.p1, XM_013787431.3.p1, XM_022718067.2.p1, XM_013787433.3.p1
OG0000020	NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1	XM_048760047.1.p1
OG0000020	NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_048760046.1.p1, XM_048760045.1.p1, XM_022704767.2.p1, XM_013846967.3.p1, XM_048735808.1.p1, XM_048735807.1.p1, XR_007314682.1.p1, XM_048736206.1.p1, XM_013794171.3.p1, XM_013796917.3.p1
OG0000021	NM_111666.4.p1	XM_022699456.2.p1
OG0000021	NM_113293.5.p1	XM_013892285.3.p1, XM_013892281.3.p1
OG0000021	NM_111499.4.p1	XM_013880463.3.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1	XM_013801846.3.p1, XM_013821508.3.p1
OG0000021	NM_001341541.1.p1	XM_022689968.2.p1, XM_048751436.1.p1, XM_022711719.2.p1, XR_001286422.3.p1, XM_013873421.3.p1, XR_007329756.1.p1, XR_007329757.1.p1, XM_048770479.1.p1, XM_022711714.2.p1, XR_002662177.2.p1, XM_048770461.1.p1, XM_048751970.1.p1, XR_002662173.2.p1, XR_002662172.2.p1, XM_022698672.2.p1, XM_048770476.1.p1, XM_013872911.3.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1	XM_013822395.3.p1
OG0000022	NM_001338589.1.p1, NM_113146.2.p1	XM_013838381.3.p1, XM_013853446.3.p1, XM_048742733.1.p1, XM_048741782.1.p1, XR_001279798.3.p1, XM_013838331.3.p1, XM_048765329.1.p1, XM_048765337.1.p1, XM_022707605.2.p1, XM_013856954.3.p1
OG0000022	NM_001332043.1.p1, NM_001332042.1.p1	XM_048741789.1.p1, XM_022691488.2.p1, XM_013853447.3.p1
OG0000022	NM_001334168.1.p1, NM_001198380.2.p1	XM_013798389.3.p1, XM_013806059.3.p1
OG0000022	NM_001341830.1.p1	XM_013886986.3.p1, XM_013886978.3.p1
OG0000022	NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1	XM_013887909.3.p1, XM_048777506.1.p1, XM_013876141.3.p1, XM_013876142.3.p1
OG0000022	NM_121670.4.p1	XM_048769958.1.p1, XM_022711553.2.p1, XM_013861101.3.p1, XM_013861100.3.p1, XM_013892690.3.p1, XM_013892707.3.p1, XM_013812114.3.p1, XM_013873000.3.p1
OG0000022	NM_104949.2.p1	XM_048739687.1.p1
OG0000022	NM_001334048.1.p1, NM_104945.3.p1	XM_013808914.3.p1, XM_013877841.3.p1
OG0000022	NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1	XM_048739778.1.p1, XM_048739776.1.p1
OG0000022	NM_118814.3.p1	XM_048767656.1.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1	XM_013867739.3.p1, XM_013867678.3.p1, XM_048768755.1.p1, XM_013859325.3.p1, XM_013867710.3.p1, XM_013859326.3.p1, XM_013867711.3.p1, XM_048768575.1.p1, XM_048740731.1.p1, XM_013867676.3.p1, XM_048748566.1.p1, XM_013797462.3.p1, XM_048744250.1.p1, XM_048770363.1.p1, NM_001315571.1.p1
OG0000024	NM_123735.4.p1	XM_048759761.1.p1, XM_013799786.3.p1, XM_048754112.1.p1, XM_013796856.3.p1, XM_013799785.3.p1, XM_013819758.3.p1, XM_013799782.3.p1, XM_022689594.2.p1, XM_013867081.3.p1, XM_013868502.3.p1, XM_013823297.3.p1, XM_013883156.3.p1, XM_022710626.2.p1, XM_013867084.3.p1, XM_048742582.1.p1
OG0000024	NM_102583.2.p1	XM_013835516.3.p1, XM_048777211.1.p1, XM_048753789.1.p1, XM_013817909.3.p1, XM_048739779.1.p1, XM_013799660.3.p1, XM_013826161.3.p1
OG0000024	NM_118761.1.p1	XM_013850376.3.p1, XM_013885777.3.p1, XM_013840719.3.p1
OG0000024	NM_126422.3.p1	XM_048755799.1.p1, XM_013868685.3.p1, XM_048755864.1.p1, XM_048744792.1.p1, XM_048744791.1.p1, XM_048774839.1.p1, XM_013874577.3.p1, XM_013797463.3.p1, XM_022709611.2.p1
OG0000024	NM_101717.3.p1	XM_013786377.3.p1, XM_013867922.3.p1
OG0000024	NM_106069.3.p1	XM_013803032.3.p1, XM_013816797.3.p1, XM_013845748.3.p1, XM_013889859.3.p1, XM_013845652.3.p1, XM_013891880.3.p1, XM_013877681.3.p1, XM_013890727.2.p1, XM_013891879.3.p1, XM_013806273.3.p1, XM_013870936.3.p1, XM_013845683.3.p1, XM_048739700.1.p1, XM_013794235.3.p1, XM_013852498.3.p1, XM_022705115.2.p1, XM_022714121.2.p1
OG0000024	NM_106070.2.p1	XM_013856546.3.p1, XM_013794284.3.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_013863383.3.p1, XM_013859758.3.p1, XM_013859921.3.p1, XM_013867051.3.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1	XM_048739932.1.p1, XM_048767718.1.p1
OG0000026	NM_001335842.1.p1, NM_117679.2.p1	XM_013891266.3.p1
OG0000026	NM_113867.5.p1, NM_001339024.1.p1	XM_013861741.3.p1, XM_048739425.1.p1, XM_048741577.1.p1, XM_013788823.3.p1
OG0000026	NM_112309.2.p1	XM_013885562.3.p1
OG0000026	NM_001332993.1.p1, NM_001332992.1.p1	XM_048755620.1.p1
OG0000026	NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1	XR_002659893.2.p1, XM_013818252.3.p1
OG0000026	NM_114026.2.p1	XM_013826889.3.p1
OG0000026	NM_103094.3.p1	XM_048748702.1.p1
OG0000026	NM_122301.4.p1	XM_048735089.1.p1, XR_007322321.1.p1, XM_048776893.1.p1, XM_048776895.1.p1, XR_007338437.1.p1, XM_022719415.2.p1, XM_013820262.3.p1, XM_048754347.1.p1
OG0000027	NM_001344543.1.p1	XM_048781452.1.p1
OG0000027	NM_118204.2.p1	XM_013815665.3.p1, XM_048740236.1.p1, XM_013813775.3.p1
OG0000027	NM_123808.4.p1	XM_022707561.2.p1
OG0000027	NM_001344545.1.p1	XM_013810220.3.p1
OG0000027	NM_118200.2.p1	XM_048740130.1.p1, XM_013815669.3.p1
OG0000027	NM_001332928.1.p1	XM_048736593.1.p1, XM_013789135.3.p1
OG0000027	NM_129032.5.p1	XM_013836587.3.p1, XM_013889186.3.p1
OG0000027	NM_123807.4.p1	XM_022710335.2.p1
OG0000027	NM_001344544.1.p1, NM_123806.3.p1	XM_048740044.1.p1, XM_048740051.1.p1, XM_048740045.1.p1
OG0000027	NM_102806.3.p1	XM_013848271.2.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1	XM_048762978.1.p1, XM_013815668.3.p1, XM_048745557.1.p1, XM_013813245.3.p1, XM_013879788.3.p1, XM_013806674.3.p1, XM_013882077.3.p1, XM_013861874.3.p1
OG0000027	NM_101049.3.p1	XM_013840570.3.p1, XM_048741817.1.p1, XM_013876743.3.p1
OG0000027	NM_102403.3.p1	XM_048737990.1.p1, XM_048737992.1.p1, XM_013826636.3.p1, XM_013786629.3.p1, XM_013837947.3.p1
OG0000027	NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1	XM_048740613.1.p1, XM_013842909.3.p1
OG0000027	NM_118198.2.p1	XM_022713000.2.p1, XM_048745555.1.p1
OG0000027	NM_102807.4.p1	XM_013804171.3.p1, XM_048736595.1.p1
OG0000027	NM_103181.2.p1	XM_013818857.3.p1
OG0000028	NM_119736.1.p1	XM_048738505.1.p1
OG0000028	NM_119734.3.p1	XM_013810454.3.p1, XM_048777117.1.p1, XM_022705894.2.p1
OG0000028	NM_127322.2.p1	XM_013804896.3.p1, XM_048769850.1.p1
OG0000028	NM_127262.2.p1	XM_013819630.3.p1
OG0000028	NM_127263.2.p1	XM_013869436.3.p1, XM_048763780.1.p1, XM_048776681.1.p1, XM_048751189.1.p1
OG0000028	NM_119686.2.p1, NM_119687.2.p1	XM_013862610.3.p1, XM_013875492.3.p1, XM_013862611.3.p1, XM_048750360.1.p1, XM_013791648.3.p1, XM_048763378.1.p1
OG0000029	NM_103903.2.p1	XM_013859467.3.p1
OG0000029	NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1	XM_013799891.3.p1
OG0000029	NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1	XM_048775474.1.p1, XM_048780581.1.p1, XM_048754614.1.p1, XM_048754613.1.p1, XM_013788715.3.p1, XM_048735251.1.p1, XM_048735247.1.p1, XM_048762209.1.p1
OG0000029	NM_001333859.1.p1, NM_001333858.1.p1	XM_022716640.2.p1, XR_002663719.2.p1, XR_007338331.1.p1, XR_007338333.1.p1, XM_048776643.1.p1, XR_007320760.1.p1, XR_007320759.1.p1, XM_048751136.1.p1, XM_013842371.3.p1, XM_013857526.3.p1, XM_048739882.1.p1, XM_048748362.1.p1, XM_048748353.1.p1, XM_022706082.2.p1, XM_048746471.1.p1, XM_048748346.1.p1, XM_048748368.1.p1, XM_048748349.1.p1, XM_048748350.1.p1, XM_048748351.1.p1, XM_022706072.2.p1, XM_048748363.1.p1, XM_013795157.3.p1, XM_013816863.3.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1	XM_048767869.1.p1
OG0000029	NM_114520.3.p1	XM_013854903.3.p1
OG0000030	NM_113029.4.p1, NM_001338528.1.p1	XM_013884052.3.p1
OG0000030	NM_001335227.1.p1, NM_126462.1.p1	XM_048753229.1.p1
OG0000030	NM_128458.2.p1	XM_013891681.3.p1
OG0000030	NM_125360.3.p1	XM_048743007.1.p1, XM_048746648.1.p1, XM_048746645.1.p1, XM_048750256.1.p1, XM_048750254.1.p1
OG0000030	NM_001345363.1.p1, NM_125357.1.p1	XM_048748661.1.p1
OG0000030	NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1	XM_048745122.1.p1
OG0000030	NM_100630.3.p1	XM_048741903.1.p1
OG0000030	NM_128455.3.p1, NM_128459.3.p1	XM_048736892.1.p1
OG0000030	NM_104065.2.p1, NM_001333511.1.p1	XR_007324862.1.p1, XM_013861622.2.p1, XM_013893686.3.p1, XM_013893685.3.p1, XM_048780953.1.p1, XM_048771543.1.p1, XM_048760648.1.p1
OG0000030	NM_104061.3.p1	XM_022698796.2.p1, XM_048768087.1.p1
OG0000030	NM_119090.2.p1	XM_048745386.1.p1, XM_048781406.1.p1
OG0000030	NM_001341960.1.p1	XM_022705637.2.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1	XM_013841078.3.p1
OG0000030	NM_127476.2.p1	XM_048736811.1.p1, XM_048762480.1.p1, XM_013875111.3.p1
OG0000030	NM_119145.3.p1, NM_001341987.1.p1	XM_013812351.3.p1, XM_048745339.1.p1
OG0000030	NM_127480.4.p1, NM_127478.1.p1	XM_022689378.2.p1, XM_048764130.1.p1
OG0000030	NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1	XM_013843795.3.p1
OG0000030	NM_104071.3.p1	XM_013895965.3.p1, XM_048759676.1.p1, XM_048781790.1.p1, XM_013844972.3.p1
OG0000030	NM_104068.3.p1, NM_001333515.1.p1	XM_048750301.1.p1, XM_048750302.1.p1, XM_048771542.1.p1, XM_048760443.1.p1, XM_048760444.1.p1, XM_048760650.1.p1
OG0000030	NM_104066.2.p1	XM_013893574.3.p1
OG0000030	NM_104067.1.p1, NM_001333513.1.p1	XM_048781792.1.p1
OG0000030	NM_104059.3.p1	XM_048774062.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1	XM_022701130.2.p1, XM_022718121.2.p1, XM_013888053.3.p1, XM_013816587.3.p1
OG0000032	NM_123182.4.p1	XM_022694661.2.p1, XM_022694659.2.p1, XM_022694660.2.p1
OG0000032	NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_013863150.3.p1, XM_013814067.3.p1, XM_048760788.1.p1, XM_013845582.3.p1, XM_048760792.1.p1, XM_022705189.2.p1, XM_013793721.3.p1, XM_022701682.2.p1, XM_048755005.1.p1, XM_048748178.1.p1, XM_022701678.2.p1, XM_048755000.1.p1, XM_048748177.1.p1, XM_048748176.1.p1
OG0000032	NM_148636.2.p1	XM_048758227.1.p1, XM_048741636.1.p1, XM_048765156.1.p1
OG0000032	NM_101697.6.p1	XM_048782434.1.p1, XM_048758226.1.p1
OG0000032	NM_001160877.1.p1	XM_048782433.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_048759036.1.p1, XM_048740155.1.p1, XM_048740153.1.p1, XM_013853440.3.p1
OG0000033	NR_138665.1.p1	XM_048756656.1.p1
OG0000033	NM_128102.6.p1	XM_013791720.3.p1, XM_013867079.3.p1, XM_048752054.1.p1, XM_048753990.1.p1
OG0000033	NM_128636.2.p1	XM_048770493.1.p1
OG0000033	NM_001336304.1.p1, NM_128637.4.p1	XM_013788099.3.p1, XM_013847147.3.p1
