Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_045103017.1.p1, XM_045117263.1.p1, XM_045117262.1.p1, XM_045105693.1.p1, XM_045112461.1.p1, XM_045113257.1.p1, XM_045113372.1.p1, XM_045113269.1.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_045103842.1.p1, XM_045091211.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1, NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_045104938.1.p1, XM_045104936.1.p1, XM_045104801.1.p1, XM_045104802.1.p1, XM_045104803.1.p1, XM_045122499.1.p1, XM_045122505.1.p1, XM_045122507.1.p1, XM_045122501.1.p1, XM_045122494.1.p1, XM_045122504.1.p1, XM_045122508.1.p1, XM_045122493.1.p1, XM_045122495.1.p1, XM_045122492.1.p1, XM_045122502.1.p1, XM_045122496.1.p1, XM_045122491.1.p1, XM_045122512.1.p1, XM_045104799.1.p1, XM_045104798.1.p1, XM_045104804.1.p1, XM_045104796.1.p1, XM_045104797.1.p1, XM_045104793.1.p1, XM_045104794.1.p1, XM_045104944.1.p1, XM_045104795.1.p1, XM_045104791.1.p1, XM_045124768.1.p1, XM_045124767.1.p1, XM_045124766.1.p1, XM_045124763.1.p1, XM_045124765.1.p1
OG0000029	NM_103903.2.p1, NM_148340.1.p1, NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_045106760.1.p1, XM_045102456.1.p1, XM_045108587.1.p1, XM_045108588.1.p1, XM_045108592.1.p1, XM_045093727.1.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1, NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_045116760.1.p1, XM_045095056.1.p1, XM_045106823.1.p1, XM_045106818.1.p1, XM_045095142.1.p1, XM_045118805.1.p1, XM_045090073.1.p1, XM_045101376.1.p1, XM_045126045.1.p1, XM_045106820.1.p1, XM_045098347.1.p1, XM_045098355.1.p1, XM_045098366.1.p1, XM_045098373.1.p1, XM_045098664.1.p1, XM_045098187.1.p1, XM_045095475.1.p1, XM_045127891.1.p1, XM_045127890.1.p1, XM_045094604.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1, NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1, NM_001332678.1.p1, NM_102350.3.p1	XM_045118650.1.p1, XM_045118618.1.p1, XM_045118616.1.p1, XM_045118651.1.p1, XM_045118615.1.p1, XM_045118654.1.p1, XM_045118652.1.p1, XM_045117836.1.p1, XM_045116007.1.p1, XM_045118656.1.p1, XM_045117837.1.p1, XM_045118617.1.p1, XM_045118619.1.p1, XM_045118653.1.p1, XM_045120777.1.p1, XM_045120778.1.p1, XM_045120775.1.p1, XM_045126420.1.p1, XM_045126429.1.p1
OG0000033	NR_138665.1.p1, NM_128102.6.p1, NM_128636.2.p1, NM_001336304.1.p1, NM_128637.4.p1, NM_100542.4.p1, NM_179271.2.p1, NM_100541.4.p1, NM_202045.3.p1, NM_001160843.2.p1, NM_001331635.1.p1, NM_100539.3.p1, NM_001340095.1.p1, NM_116004.2.p1, NM_100223.3.p1, NM_001331409.1.p1, NM_100222.3.p1, NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_045127638.1.p1, XM_045090211.1.p1, XM_045101187.1.p1, XM_045117240.1.p1, XM_045108024.1.p1, XM_045100994.1.p1, XM_045100262.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1, NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1	XM_045101004.1.p1, XM_045103149.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XR_006631874.1.p1, XM_045125592.1.p1, XM_045125590.1.p1, XR_006621733.1.p1, XM_045108433.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1, NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_006630952.1.p1, XR_006630950.1.p1, XM_045120803.1.p1, XM_045120799.1.p1, XM_045120801.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_045114433.1.p1, XM_045099197.1.p1, XM_045099203.1.p1, XM_045105704.1.p1, XM_045114643.1.p1, XM_045127518.1.p1, XM_045127519.1.p1, XM_045127497.1.p1, XM_045127495.1.p1, XM_045118403.1.p1, XM_045118405.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_045120487.1.p1, XM_045116587.1.p1, XM_045097331.1.p1, XM_045123194.1.p1, XM_045117699.1.p1, XM_045106927.1.p1, XM_045096071.1.p1, XM_045114825.1.p1, XM_045104767.1.p1, XM_045116589.1.p1, XM_045112834.1.p1
OG0000043	NM_103475.1.p1	XR_006613021.1.p1, XR_006613020.1.p1
OG0000043	NM_103306.1.p1	XR_006631379.1.p1
OG0000043	NM_147994.4.p1	XM_045116559.1.p1, XM_045116558.1.p1
OG0000044	NM_118742.2.p1	XM_045121378.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_045122556.1.p1
OG0000045	NM_124796.4.p1, NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1, NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_045115977.1.p1, XM_045107269.1.p1, XM_045098384.1.p1, XM_045096120.1.p1, XM_045103585.1.p1, XM_045122769.1.p1, XM_045102846.1.p1, XM_045115764.1.p1, XM_045099328.1.p1, XR_006611836.1.p1, XM_045105790.1.p1, XM_045115029.1.p1, XM_045127964.1.p1, XM_045107268.1.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_045128232.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_045116403.1.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_045126650.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_045089796.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1, NM_117987.4.p1	XM_045111576.1.p1, XM_045119333.1.p1
OG0000048	NM_116297.4.p1	XM_045115544.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_045089929.1.p1
OG0000049	NR_143695.1.p1, NR_143694.1.p1, NR_143696.1.p1	XR_006631702.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1, NM_001203987.1.p1	XM_045097050.1.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_045096384.1.p1
OG0000050	NM_119039.3.p1	XM_045119571.1.p1, XM_045123821.1.p1
OG0000051	NM_103814.4.p1, NM_001338358.1.p1, NM_112764.4.p1, NM_001338359.1.p1	XM_045094261.1.p1, XM_045124140.1.p1
OG0000051	NM_121018.4.p1	XM_045093373.1.p1, XM_045089830.1.p1
OG0000052	NM_120688.3.p1	XM_045126110.1.p1, XM_045126109.1.p1
OG0000052	NM_128482.4.p1, NM_001331699.1.p1, NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1, NM_100618.5.p1, NM_100619.3.p1, NM_001124936.2.p1, NM_128483.3.p1, NM_128490.4.p1, NM_128472.1.p1, NM_179801.3.p1, NM_128489.3.p1, NM_201829.2.p1	XM_045114435.1.p1, XM_045090098.1.p1, XM_045090096.1.p1, XM_045092874.1.p1, XM_045122020.1.p1, XM_045127005.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_045106408.1.p1, XM_045106410.1.p1, XM_045101297.1.p1, XM_045105317.1.p1, XM_045103178.1.p1, XM_045099868.1.p1, XM_045099869.1.p1, XM_045098678.1.p1, XM_045098630.1.p1, XM_045107041.1.p1, XM_045098714.1.p1, XM_045097306.1.p1, XM_045093720.1.p1, XM_045093834.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_045091717.1.p1, XM_045094201.1.p1, XM_045117926.1.p1, XM_045113851.1.p1, XM_045116869.1.p1, XM_045096636.1.p1, XM_045125621.1.p1, XR_006632679.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1, NM_127920.3.p1, NM_179711.2.p1, NM_001335855.1.p1, NM_127922.3.p1, NM_119878.5.p1, NM_127926.3.p1, NM_001335856.1.p1, NM_001335857.1.p1, NM_127923.2.p1, NM_127925.3.p1, NM_001335858.1.p1	XR_006622987.1.p1, XM_045123678.1.p1, XM_045125049.1.p1
OG0000055	NM_114904.4.p1	XM_045122331.1.p1, XM_045117339.1.p1, XM_045117340.1.p1, XM_045122334.1.p1, XM_045122333.1.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_045123652.1.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XM_045117868.1.p1, XM_045108041.1.p1
OG0000057	NM_001335933.1.p1	XM_045112242.1.p1
OG0000057	NM_117242.1.p1	XM_045096904.1.p1, XM_045102180.1.p1, XM_045102181.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1, NM_001334999.1.p1, NM_001335000.1.p1	XM_045104844.1.p1
OG0000057	NM_101587.2.p1	XM_045126913.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_045128668.1.p1, XM_045123783.1.p1
OG0000057	NM_001340040.1.p1	XM_045127541.1.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_045110914.1.p1, XM_045110915.1.p1, XM_045112377.1.p1, XM_045114281.1.p1, XM_045105905.1.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_045090848.1.p1, XM_045105214.1.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_045120489.1.p1, XM_045128498.1.p1
OG0000060	NM_121906.4.p1	XM_045108083.1.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_045098655.1.p1, XM_045100293.1.p1
OG0000060	NM_126206.4.p1	XM_045120543.1.p1, XM_045128252.1.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_045128982.1.p1, XM_045128983.1.p1, XM_045128981.1.p1, XM_045093314.1.p1, XM_045114342.1.p1, XM_045113354.1.p1, XM_045092046.1.p1, XR_006609959.1.p1, XM_045112374.1.p1
OG0000062	NM_123217.3.p1	XM_045110735.1.p1, XM_045118378.1.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_045116609.1.p1, XM_045116608.1.p1
OG0000062	NM_113366.3.p1	XM_045119552.1.p1, XM_045112007.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1, NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_045129131.1.p1, XM_045113993.1.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_045116353.1.p1, XM_045117196.1.p1, XM_045108720.1.p1, XM_045113323.1.p1, XM_045113325.1.p1, XM_045108721.1.p1, XM_045127381.1.p1, XM_045127377.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_045096814.1.p1, XR_006611357.1.p1, XM_045096815.1.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1, NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_045113828.1.p1, XM_045102652.1.p1, XM_045118142.1.p1, XM_045128304.1.p1, XM_045114752.1.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_045128812.1.p1, XM_045128811.1.p1, XM_045114152.1.p1
OG0000072	NM_111234.5.p1	XM_045121492.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_045118910.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_045120106.1.p1, XM_045109625.1.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_045100210.1.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1, NM_129543.3.p1	XM_045126128.1.p1, XR_006631957.1.p1, XM_045126129.1.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_045114961.1.p1, XM_045115054.1.p1, XM_045102224.1.p1, XM_045117077.1.p1, XM_045101768.1.p1
OG0000076	NM_103640.3.p1, NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_045090869.1.p1, XM_045114790.1.p1, XM_045093240.1.p1, XM_045100459.1.p1, XM_045096189.1.p1, XM_045093227.1.p1, XM_045103543.1.p1
OG0000080	NM_112240.4.p1	XM_045125040.1.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_045114176.1.p1, XM_045126978.1.p1
OG0000080	NM_102387.3.p1	XM_045110706.1.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_045098818.1.p1, XM_045097108.1.p1, XM_045106095.1.p1
OG0000080	NM_128359.5.p1	XM_045090194.1.p1, XM_045108088.1.p1
OG0000080	NM_001343571.1.p1	XM_045128600.1.p1
OG0000081	NM_121263.4.p1	XM_045119188.1.p1, XM_045120686.1.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_045127354.1.p1
OG0000082	NM_001337251.1.p1, NM_001337250.1.p1, NM_130285.3.p1	XM_045109899.1.p1, XM_045109900.1.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	XM_045111353.1.p1, XM_045105824.1.p1, XM_045101401.1.p1, XM_045111354.1.p1, XR_006622389.1.p1, XM_045112332.1.p1, XM_045111351.1.p1, XM_045107287.1.p1
OG0000084	NM_120872.1.p1	XM_045120289.1.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1, NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1, NM_105783.3.p1, NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XR_006632022.1.p1, XM_045126784.1.p1, XM_045116685.1.p1, XM_045109372.1.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_045101763.1.p1, XM_045101765.1.p1, XM_045101764.1.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1, NM_001335961.1.p1, NM_001335962.1.p1, NM_128033.2.p1, NM_122592.4.p1, NM_001342107.1.p1, NM_001342106.1.p1, NM_001343161.1.p1, NM_121156.2.p1, NM_001343167.1.p1, NM_001343165.1.p1, NM_001343163.1.p1, NM_001343171.1.p1, NM_001343169.1.p1, NM_001343170.1.p1, NM_001343164.1.p1, NM_001343172.1.p1, NM_001343168.1.p1	XM_045093275.1.p1, XM_045093214.1.p1, XM_045091687.1.p1, XM_045091686.1.p1, XM_045093461.1.p1, XM_045092433.1.p1, XM_045094077.1.p1, XM_045099224.1.p1, XM_045096307.1.p1, XM_045092364.1.p1, XM_045093763.1.p1, XM_045093475.1.p1, XM_045092365.1.p1
OG0000090	NM_121889.3.p1, NM_001337564.1.p1, NM_111387.5.p1, NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_045094685.1.p1, XM_045094683.1.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1, NM_179287.2.p1, NM_100764.4.p1	XM_045108079.1.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1, NM_119437.3.p1, NM_119066.3.p1	XM_045119083.1.p1, XM_045100378.1.p1
OG0000091	NM_125551.4.p1	XR_006630980.1.p1, XM_045123312.1.p1
OG0000091	NM_124155.3.p1	XM_045114274.1.p1
OG0000091	NM_179694.4.p1	XM_045092728.1.p1, XM_045100009.1.p1, XM_045100010.1.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1, NM_111628.4.p1, NM_001337023.1.p1, NM_129890.4.p1, NM_117354.3.p1	XM_045126210.1.p1, XM_045126208.1.p1, XM_045126209.1.p1
