Orthogroup	Arabidopsis_thaliana_rna_prot	Coffea_arabica_rna_prot
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_027255800.1.p1, XM_027249261.1.p1, XM_027204967.1.p1, XM_027207896.1.p1, XM_027206838.1.p1, XM_027206100.1.p1, XM_027237810.1.p1, XM_027206103.1.p1, XM_027207136.1.p1, XM_027271903.1.p1, XM_027207132.1.p1, XM_027207139.1.p1, XM_027207137.1.p1, XM_027204966.1.p1, XM_027204968.1.p1, XM_027207135.1.p1, XM_027206839.1.p1, XM_027206840.1.p1, XM_027204970.1.p1, XM_027255799.1.p1, XM_027240676.1.p1, XM_027242775.1.p1, XM_027218239.1.p1, XM_027242967.1.p1, XM_027240677.1.p1
OG0000020	NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_027239085.1.p1, XR_003453810.1.p1, XM_027239082.1.p1, XM_027239083.1.p1, XM_027239087.1.p1, XM_027236086.1.p1, XM_027227790.1.p1, XM_027227793.1.p1, XM_027227738.1.p1, XM_027214111.1.p1, XM_027227780.1.p1, XM_027227785.1.p1, XM_027227770.1.p1, XM_027227801.1.p1, XM_027227763.1.p1, XM_027227757.1.p1, XM_027227746.1.p1, XM_027214159.1.p1, XR_003457530.1.p1, XM_027227752.1.p1, XM_027206043.1.p1, XM_027218335.1.p1, XM_027245225.1.p1, XR_003453045.1.p1, XM_027239270.1.p1, XM_027235768.1.p1, XM_027235769.1.p1
OG0000021	NM_113293.5.p1	XM_027262072.1.p1, XR_003459873.1.p1, XM_027264157.1.p1, XM_027262940.1.p1, XM_027260977.1.p1, XM_027264897.1.p1, XM_027262612.1.p1, XM_027262610.1.p1, XM_027260894.1.p1, XM_027263113.1.p1, XM_027260895.1.p1, XM_027259883.1.p1, XM_027263344.1.p1, XM_027219900.1.p1, XM_027221017.1.p1, XM_027262651.1.p1, XM_027260975.1.p1, XM_027264681.1.p1, XM_027261598.1.p1, XM_027259927.1.p1, XM_027261684.1.p1, XM_027264484.1.p1
OG0000021	NM_111499.4.p1	XM_027266712.1.p1, XM_027266711.1.p1, XR_003460627.1.p1, XM_027214757.1.p1, XM_027268273.1.p1, XM_027265673.1.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XR_003452849.1.p1, XR_003452855.1.p1, XM_027233324.1.p1, XM_027231755.1.p1, XR_003452853.1.p1, XR_003452850.1.p1, XM_027233321.1.p1, XR_003452638.1.p1, XR_003452639.1.p1, XM_027231998.1.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_027243663.1.p1, XM_027243730.1.p1, XM_027219313.1.p1, XM_027219312.1.p1, XM_027219311.1.p1, XM_027219310.1.p1, XM_027221151.1.p1, XM_027243590.1.p1, XM_027243527.1.p1, XM_027243472.1.p1, XM_027219777.1.p1, XM_027219778.1.p1, XM_027223552.1.p1, XM_027223554.1.p1, XM_027223553.1.p1, XM_027223551.1.p1, XM_027219776.1.p1, XM_027219773.1.p1, XM_027219772.1.p1, XM_027219770.1.p1, XM_027219771.1.p1, XM_027219768.1.p1, XM_027221144.1.p1, XM_027221690.1.p1, XM_027221689.1.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1	XM_027239675.1.p1
OG0000024	NM_123735.4.p1, NM_102583.2.p1, NM_118761.1.p1, NM_001339191.1.p1, NM_114377.3.p1, NM_128316.1.p1, NM_101213.3.p1, NM_127056.1.p1, NM_101212.3.p1, NM_126422.3.p1	XM_027222965.1.p1, XM_027246879.1.p1, XM_027262626.1.p1, XM_027264636.1.p1, XM_027262624.1.p1, XM_027228296.1.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_027246511.1.p1, XM_027231378.1.p1, XM_027211598.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_027240808.1.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_027245791.1.p1, XM_027227800.1.p1, XM_027227799.1.p1, XM_027221213.1.p1, XM_027226583.1.p1, XM_027228662.1.p1, XM_027226642.1.p1, XM_027226640.1.p1, XM_027226639.1.p1, XM_027227798.1.p1, XM_027227788.1.p1, XM_027223829.1.p1, XM_027228707.1.p1, XM_027225219.1.p1, XM_027228443.1.p1, XM_027245793.1.p1, XM_027251279.1.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_027232721.1.p1, XM_027268256.1.p1, XM_027266002.1.p1, XM_027221965.1.p1, XM_027219167.1.p1, XM_027219166.1.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_027249664.1.p1, XM_027230544.1.p1, XM_027232591.1.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_027230675.1.p1, XM_027230392.1.p1, XM_027230350.1.p1
OG0000027	NM_102806.3.p1	XM_027240979.1.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_027233851.1.p1, XM_027230338.1.p1, XM_027230302.1.p1, XM_027232142.1.p1, XM_027230001.1.p1, XM_027233530.1.p1, XM_027268249.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_027222960.1.p1, XM_027219844.1.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_027208136.1.p1, XM_027208188.1.p1, XM_027208144.1.p1, XM_027264158.1.p1, XM_027208178.1.p1, XM_027208119.1.p1, XM_027218453.1.p1, XM_027264149.1.p1
OG0000029	NM_103903.2.p1	XM_027261379.1.p1, XM_027210686.1.p1, XM_027213237.1.p1, XM_027210845.1.p1, XM_027210645.1.p1, XM_027216023.1.p1, XM_027214249.1.p1, XM_027211603.1.p1, XM_027214735.1.p1, XM_027211774.1.p1, XM_027264491.1.p1, XM_027260803.1.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_027267070.1.p1, XM_027265881.1.p1, XM_027265878.1.p1, XM_027270078.1.p1, XM_027268302.1.p1, XM_027268793.1.p1, XM_027266591.1.p1, XM_027268278.1.p1, XM_027245132.1.p1, XM_027268237.1.p1, XM_027267329.1.p1, XM_027267330.1.p1, XM_027230879.1.p1, XM_027268756.1.p1, XM_027266702.1.p1, XM_027220258.1.p1, XM_027269484.1.p1, XM_027267263.1.p1, XM_027268722.1.p1, XM_027270621.1.p1, XM_027267982.1.p1, XM_027270790.1.p1, XM_027267331.1.p1, XM_027268308.1.p1, XM_027268304.1.p1, XM_027269438.1.p1, XM_027243028.1.p1, XM_027266269.1.p1, XM_027268082.1.p1, XM_027268653.1.p1, XM_027270753.1.p1, XM_027265920.1.p1, XM_027266232.1.p1, XM_027268320.1.p1, XM_027268310.1.p1, XM_027266099.1.p1, XM_027266098.1.p1, XM_027268306.1.p1, XM_027266623.1.p1, XM_027266277.1.p1, XM_027268325.1.p1, XM_027230816.1.p1, XM_027271027.1.p1, XM_027267435.1.p1, XM_027268316.1.p1, XM_027266620.1.p1, XM_027268279.1.p1, XM_027266619.1.p1, XM_027267652.1.p1
OG0000030	NM_104062.3.p1, NM_113029.4.p1, NM_001338528.1.p1, NM_001335227.1.p1, NM_126462.1.p1, NM_128458.2.p1, NM_125360.3.p1, NM_001345363.1.p1, NM_125357.1.p1, NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1, NM_100630.3.p1, NM_128455.3.p1, NM_128459.3.p1, NM_001198271.1.p1, NM_104060.4.p1, NM_104065.2.p1, NM_001333511.1.p1, NM_001333504.1.p1, NM_001333505.1.p1, NM_104061.3.p1	XM_027230634.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_027248189.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_027222914.1.p1, XM_027220575.1.p1, XM_027220576.1.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_027270864.1.p1, XM_027270862.1.p1, XM_027270861.1.p1, XM_027267440.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_027243490.1.p1
OG0000033	NR_138665.1.p1	XM_027262393.1.p1
OG0000033	NM_128102.6.p1, NM_128636.2.p1, NM_001336304.1.p1, NM_128637.4.p1, NM_100542.4.p1, NM_179271.2.p1, NM_100541.4.p1, NM_202045.3.p1, NM_001160843.2.p1, NM_001331635.1.p1, NM_100539.3.p1, NM_001340095.1.p1, NM_116004.2.p1, NM_100223.3.p1, NM_001331409.1.p1, NM_100222.3.p1	XM_027214403.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_027260686.1.p1, XM_027260687.1.p1, XM_027260691.1.p1, XM_027260690.1.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_027210666.1.p1, XM_027246616.1.p1, XM_027224818.1.p1, XM_027265940.1.p1, XM_027243313.1.p1, XM_027210868.1.p1, XM_027210058.1.p1, XM_027265882.1.p1, XM_027265900.1.p1, XM_027211910.1.p1, XM_027211919.1.p1, XM_027243232.1.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_027227304.1.p1, XM_027225924.1.p1, XM_027205454.1.p1, XM_027205801.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_027254160.1.p1, XM_027254158.1.p1, XM_027254161.1.p1, XM_027247712.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_003454588.1.p1, XR_003454587.1.p1, XR_003454589.1.p1, XR_003459475.1.p1, XM_027242927.1.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_003458900.1.p1, XR_003458899.1.p1, XM_027258908.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_027236502.1.p1, XM_027237445.1.p1, XM_027234029.1.p1, XM_027245434.1.p1, XM_027206264.1.p1, XM_027227774.1.p1, XM_027206532.1.p1, XM_027219984.1.p1, XM_027245423.1.p1, XM_027246669.1.p1, XM_027246674.1.p1, XM_027245431.1.p1, XM_027205563.1.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_027264861.1.p1
OG0000041	NM_128862.2.p1, NM_001338723.1.p1, NM_113404.3.p1, NM_001338726.1.p1, NM_113406.2.p1, NM_001338731.1.p1, NM_128827.2.p1, NM_128868.2.p1, NM_128101.1.p1, NM_001336409.1.p1, NR_140705.1.p1, NR_140701.1.p1, NR_140702.1.p1, NR_140704.1.p1, NR_140703.1.p1, NR_140700.1.p1, NR_140699.1.p1, NR_140707.1.p1, NM_128866.4.p1, NM_001338724.1.p1, NM_001338725.1.p1, NM_001338727.1.p1, NM_128863.1.p1, NM_123381.3.p1, NM_001203793.2.p1, NM_001340887.1.p1, NM_001340886.1.p1, NM_117456.6.p1, NM_117462.2.p1, NR_142331.1.p1	XM_027240168.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_027205191.1.p1, XM_027271680.1.p1, XM_027271783.1.p1, XM_027271784.1.p1, XM_027271785.1.p1, XM_027208165.1.p1, XM_027205342.1.p1, XM_027205343.1.p1, XM_027251197.1.p1, XM_027251196.1.p1, XM_027205310.1.p1, XM_027205311.1.p1, XM_027205781.1.p1, XM_027208783.1.p1, XM_027271667.1.p1, XM_027206709.1.p1, XM_027271709.1.p1, XM_027208163.1.p1, XM_027271281.1.p1, XM_027271782.1.p1, XM_027271781.1.p1, XM_027271352.1.p1, XM_027207864.1.p1, XM_027271446.1.p1, XM_027205647.1.p1, XM_027207823.1.p1, XM_027205649.1.p1, XM_027208027.1.p1
OG0000043	NM_103475.1.p1, NM_147968.1.p1, NM_103306.1.p1	XM_027237789.1.p1, XM_027211671.1.p1, XM_027264630.1.p1, XM_027264748.1.p1, XM_027234524.1.p1
OG0000043	NM_147994.4.p1	XM_027210382.1.p1, XM_027223964.1.p1
OG0000044	NM_118742.2.p1	XM_027209588.1.p1, XM_027209590.1.p1, XM_027209589.1.p1
OG0000045	NM_124796.4.p1	XM_027254142.1.p1, XM_027247705.1.p1
OG0000047	NM_120393.6.p1	XM_027214213.1.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_027259229.1.p1, XM_027240227.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_027271457.1.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_027235943.1.p1, XM_027237593.1.p1, XM_027266287.1.p1, XM_027218756.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_027252221.1.p1, XM_027252222.1.p1
OG0000048	NM_117987.4.p1	XM_027249763.1.p1, XM_027249764.1.p1
OG0000048	NM_121468.4.p1	XM_027219089.1.p1, XM_027219090.1.p1
OG0000048	NM_116297.4.p1	XM_027252461.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_027257462.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_027217765.1.p1, XM_027217766.1.p1
OG0000050	NM_001203987.1.p1	XM_027249857.1.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_027269664.1.p1, XM_027267381.1.p1, XM_027267380.1.p1
OG0000050	NM_119039.3.p1	XM_027212476.1.p1, XM_027213803.1.p1
OG0000050	NM_130033.3.p1	XM_027257617.1.p1
OG0000050	NM_123965.2.p1	XM_027256048.1.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_027237518.1.p1
OG0000051	NM_112046.4.p1	XM_027214872.1.p1
OG0000051	NM_121018.4.p1	XM_027217679.1.p1, XM_027217678.1.p1
OG0000052	NM_120688.3.p1	XM_027248580.1.p1
OG0000052	NM_128482.4.p1	XR_003458127.1.p1, XM_027253679.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_027205264.1.p1, XM_027205850.1.p1, XM_027208595.1.p1, XM_027208594.1.p1, XM_027205849.1.p1, XM_027222052.1.p1
OG0000055	NM_127920.3.p1, NM_179711.2.p1, NM_001335855.1.p1, NM_127922.3.p1, NM_119878.5.p1, NM_127926.3.p1, NM_001335856.1.p1, NM_001335857.1.p1, NM_127923.2.p1, NM_127925.3.p1, NM_001335858.1.p1	XM_027222356.1.p1
OG0000055	NM_114904.4.p1	XM_027243421.1.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_027258111.1.p1, XM_027258112.1.p1, XM_027251201.1.p1, XM_027258115.1.p1, XM_027251198.1.p1, XM_027251199.1.p1, XM_027258114.1.p1, XM_027251194.1.p1, XM_027253850.1.p1, XM_027262851.1.p1, XM_027262300.1.p1, XM_027261876.1.p1, XM_027264315.1.p1, XM_027264031.1.p1, XM_027261882.1.p1, XM_027262863.1.p1, XM_027261879.1.p1, XM_027262862.1.p1, XM_027264056.1.p1, XM_027261883.1.p1, XM_027262865.1.p1, XM_027261875.1.p1, XM_027262852.1.p1, XM_027261885.1.p1, XM_027247181.1.p1, XM_027251202.1.p1, XM_027262868.1.p1, XM_027264826.1.p1
OG0000057	NM_001335933.1.p1	XM_027212919.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XM_027210454.1.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_027266904.1.p1
OG0000057	NM_101587.2.p1	XM_027266802.1.p1, XM_027268727.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_027267989.1.p1
OG0000057	NM_001340040.1.p1	XM_027250778.1.p1, XM_027250779.1.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_027253208.1.p1, XM_027251020.1.p1, XM_027257849.1.p1, XM_027251018.1.p1, XM_027257848.1.p1, XM_027251019.1.p1, XM_027246203.1.p1, XM_027246190.1.p1, XM_027247082.1.p1, XM_027251010.1.p1, XM_027251008.1.p1, XM_027251009.1.p1, XM_027251007.1.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_027207905.1.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_027206778.1.p1
OG0000060	NM_121906.4.p1	XM_027260374.1.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_027270548.1.p1
OG0000060	NM_126206.4.p1	XM_027241124.1.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_027219535.1.p1, XM_027218569.1.p1, XM_027246920.1.p1, XM_027264436.1.p1, XM_027261342.1.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_027241613.1.p1
OG0000062	NM_113366.3.p1	XM_027215585.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_027218501.1.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_027245750.1.p1
