Orthogroup	Arabidopsis_thaliana_rna_prot	Glycine_max_rna_prot
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_003524727.5.p1, XM_003524729.4.p1, XM_003524051.4.p1, XM_003532590.2.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_003524733.5.p1, XM_003531024.5.p1, XM_041011782.1.p1, XM_003546232.5.p1, XM_003524732.5.p1, XM_014778744.3.p1, XM_003531025.5.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_003531018.5.p1, XM_003532594.5.p1, XM_003524054.5.p1, XM_003535073.4.p1, XM_003546233.5.p1, XM_003534733.4.p1, XM_003534734.5.p1, XM_003534718.5.p1, XM_003546234.4.p1
OG0000027	NM_102807.4.p1, NM_103181.2.p1	XM_003532510.5.p1, XM_003532511.5.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	NM_001317415.2.p1, XM_003520004.5.p1, XM_003517099.5.p1, XM_003537624.3.p1, XM_003517098.5.p1, XM_003517097.4.p1, XM_003537626.5.p1, XM_014763672.3.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_003538965.3.p1, XM_003540628.4.p1, XM_003527572.5.p1, XM_014763994.2.p1, XM_003540626.2.p1, XM_006592949.4.p1, NM_001289224.1.p1, XM_006578956.2.p1, XM_014777116.3.p1
OG0000029	NM_103903.2.p1	XM_006602885.3.p1, XM_041018415.1.p1, XM_041018414.1.p1, XM_006596872.4.p1, NM_001250995.1.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_003537565.5.p1, XR_412916.4.p1, XR_005891917.1.p1
OG0000030	NM_104062.3.p1, NM_113029.4.p1, NM_001338528.1.p1, NM_001335227.1.p1, NM_126462.1.p1, NM_128458.2.p1, NM_125360.3.p1, NM_001345363.1.p1, NM_125357.1.p1, NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1, NM_100630.3.p1, NM_128455.3.p1, NM_128459.3.p1, NM_001198271.1.p1, NM_104060.4.p1, NM_104065.2.p1, NM_001333511.1.p1, NM_001333504.1.p1, NM_001333505.1.p1, NM_104061.3.p1	XM_026129140.2.p1, XM_014778423.2.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1	XM_006582825.4.p1, XM_006572861.3.p1
OG0000030	NM_001333503.1.p1	XM_014778425.2.p1, XM_006586355.4.p1, NM_001251359.2.p1, XM_014768229.3.p1, XM_014766116.3.p1, XM_006598169.4.p1, XM_014768232.3.p1, XM_014766118.3.p1, XM_026125209.2.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_006602987.4.p1, XM_014765951.3.p1, XM_006602988.4.p1, XM_014771251.3.p1, XM_006574775.4.p1, XM_014771252.3.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_006583364.4.p1, NM_001251488.1.p1, XM_041016958.1.p1, XM_006583366.4.p1, XM_006584127.1.p1, XM_041018051.1.p1, XM_041018050.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	NM_001251810.1.p1, XM_014772966.3.p1, XM_006605866.3.p1, XR_001388264.3.p1, XM_003555202.4.p1, XM_006605869.4.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_003520993.4.p1, NM_001254585.2.p1, XM_014762542.3.p1, XM_006588488.4.p1, XM_006588487.4.p1, XM_006598143.4.p1, XM_003528964.5.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_006576367.4.p1, XM_003521925.5.p1, XM_006577340.4.p1, NM_001253299.1.p1, XM_003521932.5.p1, XM_003521958.4.p1, XM_003521949.4.p1, XM_003538024.5.p1, XM_003516767.4.p1, XM_003551846.5.p1, XM_003550365.5.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_041016026.1.p1, XM_041016025.1.p1, XM_003539858.5.p1, NM_001317539.2.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_041016458.1.p1, XM_041016456.1.p1, XM_003526708.5.p1, XM_041016457.1.p1, XM_041016452.1.p1, XM_006581618.3.p1, XM_006581615.4.p1, XM_026128082.2.p1, XM_041014519.1.p1, XM_006577750.4.p1, XM_006577749.4.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XM_006604656.4.p1, XM_026127919.2.p1, XR_420037.4.p1, XM_006577083.4.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_001387020.2.p1, XR_001387022.2.p1, XR_001387021.2.p1, XR_005890364.1.p1, XR_001387026.2.p1, XR_001387025.2.p1, XR_001387028.2.p1, XM_006606473.3.p1, XM_041013482.1.p1, XM_006606472.3.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_006598987.3.p1, NM_001250065.3.p1, NM_001254528.2.p1, NM_001251156.2.p1, XM_003553864.3.p1, NM_001358026.1.p1, XM_026124216.1.p1, NM_001251744.2.p1, XM_003553863.4.p1, NM_001358031.1.p1, NM_001250371.3.p1, NM_001253277.1.p1, NM_001254034.2.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_041004920.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_003525919.2.p1, XM_003543124.5.p1, XM_003543123.3.p1, XM_041009481.1.p1, XM_026125966.2.p1, XM_006598074.4.p1, XM_003546703.5.p1, XM_041014195.1.p1, XM_006594705.4.p1
OG0000043	NM_103306.1.p1	XR_005887787.1.p1, XM_041016396.1.p1, XM_006596012.4.p1
OG0000043	NM_147994.4.p1	XM_026124657.1.p1, XM_041011409.1.p1, XM_026128735.1.p1, XM_014775211.1.p1, XM_006582088.3.p1, XM_041015277.1.p1, XM_006582093.4.p1
OG0000045	NM_124796.4.p1	XM_003527953.5.p1, NM_001253074.2.p1, NM_001255396.2.p1, XM_003526719.5.p1
OG0000047	NM_120393.6.p1	XM_003541359.5.p1, XM_014762991.3.p1, XM_006588713.4.p1, XM_014773874.3.p1, XM_041014123.1.p1, XM_003553499.4.p1, XM_006604507.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_003536867.5.p1, XM_003520151.5.p1, XM_041014087.1.p1, XM_003553424.5.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_003526205.5.p1, XM_003539493.5.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_003523532.5.p1, XM_003527647.5.p1, XM_003517989.5.p1, XM_003547944.5.p1, XM_003517191.5.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_006605724.4.p1, XM_006605726.4.p1, XM_006605725.4.p1, XM_006588369.3.p1, NM_001367556.1.p1, XM_003554554.5.p1, XM_041012730.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1	XM_003539953.5.p1, XM_003527290.5.p1, XM_003540361.5.p1, XM_014765945.3.p1, XM_041008431.1.p1, XM_006594753.4.p1, XM_006594752.4.p1
OG0000048	NM_117987.4.p1	XM_041008311.1.p1, XM_003545988.5.p1, NM_001356269.1.p1, XM_003526218.2.p1, XM_006580109.4.p1, XM_003531214.5.p1
OG0000048	NM_116297.4.p1	XM_003521228.3.p1, XM_003528831.5.p1, XM_003552309.5.p1, XM_003534549.5.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_006591821.4.p1, XM_041007087.1.p1, XM_006598701.4.p1
OG0000050	NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_014768561.2.p1, XM_041010460.1.p1, XM_003520113.5.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	NM_001369170.1.p1, XM_041015233.1.p1, NM_001255008.2.p1, XM_006600120.4.p1, XM_006600119.4.p1, NM_001248915.2.p1, NM_001248804.3.p1
OG0000050	NM_119039.3.p1	XM_006583325.4.p1, XM_006587464.4.p1
OG0000050	NM_123965.2.p1	XM_003529309.5.p1, XM_003542663.5.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_003531518.5.p1, NM_001358096.1.p1
OG0000051	NM_112046.4.p1	XM_014771878.3.p1, XM_003553265.5.p1, XM_041012803.1.p1, XM_041015211.1.p1, XM_006579357.4.p1, NM_001252731.3.p1
OG0000051	NM_121018.4.p1	XM_003523194.5.p1, XM_041016500.1.p1, XM_041014987.1.p1, NM_001358094.1.p1, NM_001358090.1.p1
OG0000052	NM_120688.3.p1	XM_003552747.5.p1, XM_003538375.4.p1, XM_041006862.1.p1, XM_003537420.5.p1, XM_003538376.5.p1, XM_041006915.1.p1, NM_001367213.1.p1, NM_001255721.3.p1
OG0000052	NM_128482.4.p1	XM_006590907.3.p1
OG0000052	NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1	XM_003539497.4.p1, NM_001252921.2.p1, XM_003539508.5.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_003545624.4.p1, XM_014765248.2.p1, XM_014765247.2.p1, XM_014766814.1.p1, XM_003545630.5.p1, XM_041009089.1.p1, XM_014766634.2.p1, XM_026125084.2.p1, XM_014766573.3.p1, XM_006596186.4.p1, XM_003543919.4.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_041012317.1.p1, XM_026126643.2.p1, XM_041011775.1.p1, XM_026125726.2.p1, XM_006604078.4.p1, XM_041014277.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_003518054.5.p1, XM_006574667.4.p1, XM_014765292.3.p1, XM_003519871.5.p1, NM_001250887.2.p1, XM_003518044.5.p1, XM_014765308.2.p1, XM_014765319.2.p1, NM_001253935.1.p1, XM_006574669.3.p1, XM_003518061.5.p1, XM_003524588.5.p1, NM_001252849.2.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_003530252.5.p1, XM_003551521.5.p1, XM_003522003.5.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_003529064.5.p1, XM_003552141.5.p1
OG0000057	NM_001335933.1.p1	XM_003522612.5.p1, XM_003544593.5.p1
OG0000057	NM_001335617.1.p1, NM_001335616.1.p1	XM_006597901.3.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XM_003549648.4.p1, XM_003542567.4.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_041009776.1.p1, XM_003531680.5.p1
OG0000057	NM_101587.2.p1	XM_026127977.2.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_003522995.5.p1, XM_003527008.5.p1, XM_026128633.2.p1, XM_003549609.5.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_003540493.5.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_006595426.4.p1, NM_001251280.1.p1, XM_006575598.4.p1, XM_041009475.1.p1, XM_041009476.1.p1, XM_003551869.5.p1, XM_014770924.3.p1, XM_003532049.5.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_003546688.4.p1, XM_041010112.1.p1
OG0000060	NM_121906.4.p1	XM_014769892.3.p1, XM_006583995.4.p1, XM_003542848.5.p1, XM_003546075.5.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_006580341.4.p1, XM_006584833.4.p1, XM_041016976.1.p1, XM_003530010.5.p1, XM_014777899.3.p1, XM_041005003.1.p1, XM_041005002.1.p1, XM_006587413.4.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_003533509.5.p1, XM_003533526.5.p1, NM_001254191.2.p1, NM_001253071.1.p1, XM_003533496.4.p1, XM_006587942.3.p1, XM_003532624.1.p1, XM_003532623.5.p1, XM_003547995.5.p1, XM_006590580.4.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XR_005889002.1.p1, XM_003548700.5.p1, XR_005891470.1.p1, XR_005891474.1.p1, XM_014766862.2.p1
OG0000062	NM_123217.3.p1	XM_003530423.4.p1, XM_003551747.5.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_006602320.4.p1, XM_006602319.4.p1, XM_003530596.5.p1, XM_003517677.3.p1, XM_006575732.3.p1
OG0000062	NM_104108.4.p1, NM_001333532.1.p1	XM_006575731.4.p1, XM_041018497.1.p1
OG0000062	NM_113366.3.p1	XM_003528861.5.p1, NM_001250173.2.p1
OG0000062	NM_001338692.1.p1	XM_003529534.5.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_006573518.3.p1, XM_003538802.5.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_014774401.2.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_003540470.5.p1, XM_041007071.1.p1, XM_003543130.5.p1, XM_003546691.5.p1
OG0000064	NM_126167.1.p1	XM_014772497.1.p1, XM_041007220.1.p1, XM_014766159.1.p1, XM_006591562.1.p1, XM_006577633.1.p1, XM_006589869.1.p1, XM_006603355.1.p1, XM_006575748.1.p1, XM_006596782.1.p1, XM_006601591.1.p1, XM_006606873.1.p1
OG0000065	NM_116423.4.p1, NM_116424.2.p1, NM_116404.1.p1, NM_116422.3.p1, NM_001340707.1.p1, NM_117210.2.p1, NM_117223.2.p1, NM_117224.2.p1, NM_116451.1.p1, NM_116406.2.p1, NM_116450.2.p1, NM_148192.3.p1, NM_117037.1.p1, NM_114257.2.p1, NM_105582.2.p1, NM_105191.4.p1, NM_127523.4.p1, NM_001335641.1.p1, NM_123121.1.p1, NM_126498.3.p1, NM_114547.2.p1, NM_114548.4.p1, NM_147903.3.p1, NM_001339368.1.p1, NM_114453.3.p1, NM_125386.2.p1, NM_001345376.1.p1, NM_125387.2.p1, NM_125385.2.p1, NM_116365.4.p1, NM_202828.2.p1, NM_001341081.1.p1, NM_001125505.2.p1, NM_113487.1.p1, NM_001124040.1.p1, NM_001036126.3.p1, NM_111580.4.p1, NM_111579.1.p1, NM_123940.3.p1, NM_124784.3.p1, NM_180566.2.p1, NM_001345075.1.p1, NM_124783.1.p1, NM_001345074.1.p1, NM_117585.6.p1, NM_126482.3.p1, NM_123844.2.p1, NM_129884.4.p1, NM_123396.2.p1, NM_104866.2.p1	XM_041012549.1.p1, XM_041012550.1.p1, XM_003520490.4.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XR_005891685.1.p1, XR_001388233.3.p1, XR_001388232.3.p1, XM_014775391.3.p1, XR_001388234.3.p1, XM_014775390.3.p1, XM_003550785.5.p1
OG0000067	NM_122974.1.p1	XM_014761943.3.p1, XM_041005385.1.p1, XM_014761941.3.p1, XM_014768248.3.p1, XM_014768250.3.p1, XM_041010059.1.p1, XM_014768252.3.p1, XM_014768249.3.p1, XM_003547381.5.p1, XM_003533666.5.p1, XM_041007284.1.p1, XM_041007283.1.p1, XM_041007279.1.p1, NM_001248922.2.p1, XM_014761928.3.p1, XM_014761930.3.p1, XM_014761925.3.p1, XM_014761924.3.p1, XM_006586908.4.p1, XM_006586904.4.p1, XM_003534829.5.p1, XM_014768374.3.p1, XM_014768375.3.p1, XM_041005379.1.p1, XM_014761939.3.p1, XM_014761938.3.p1, XM_041005378.1.p1, XM_014761937.3.p1, XM_014761936.3.p1, XM_041005386.1.p1, XM_006586901.4.p1, XM_006586903.4.p1, XM_041005380.1.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1	XM_041018357.1.p1, XM_003517607.5.p1, XM_006587813.4.p1, XM_003544249.1.p1
OG0000067	NM_120555.3.p1, NM_001342784.1.p1, NM_001342785.1.p1, NM_120550.4.p1, NM_001342789.1.p1, NM_120552.2.p1	XM_006573864.4.p1, XM_006573867.1.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_003518534.5.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	NM_001253974.2.p1, XM_003519199.5.p1, XM_003544830.5.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_014772204.3.p1, NM_001251482.2.p1, XM_026124290.2.p1, NM_001248699.2.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_003518828.5.p1, NM_001248202.2.p1
OG0000072	NM_001338588.1.p1	XR_003265973.2.p1
OG0000072	NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_006588362.4.p1, XM_006588364.4.p1, XM_006605218.4.p1, NM_001248338.2.p1, XR_005890340.1.p1, XR_005890341.1.p1, XM_006588290.4.p1, XM_003546776.5.p1, XM_041009534.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_003521635.5.p1, XM_003554589.5.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	NM_001255253.2.p1, XM_003532928.5.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_003556306.5.p1, XM_003536194.5.p1, XM_014763268.3.p1, XM_006574450.4.p1, XR_413012.4.p1, NM_001255736.1.p1
OG0000074	NM_129543.3.p1	XR_005888177.1.p1, NM_001254155.2.p1, XM_006574395.3.p1
