Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_010645729.3.p1, XM_010645765.3.p1, XM_019218930.2.p1, XM_059738457.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_019220094.2.p1, XM_059736902.1.p1, XM_059736901.1.p1, XM_002284546.5.p1, XM_010651755.3.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1, NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1	XM_002285420.4.p1, XM_002285424.5.p1, XM_010652414.3.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_002278336.4.p1, XM_002278351.5.p1, XM_002278264.5.p1, XM_002280436.4.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_002277440.5.p1, XM_002277566.5.p1, XM_002281074.4.p1, XM_002281084.4.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_019226260.2.p1, XM_019226262.2.p1, XM_019226265.2.p1, XM_059743320.1.p1, XM_019226264.2.p1, XM_019226261.2.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_786196.3.p1, XM_059737881.1.p1, XM_003632377.3.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_002031773.1.p1, XM_059742652.1.p1, XM_059742653.1.p1, XM_002283829.4.p1, XM_019225047.2.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_019224962.2.p1, XM_019224775.2.p1, NM_001281269.1.p1, NM_001281014.1.p1, XM_002284248.5.p1, XM_019224945.1.p1, XM_002284588.3.p1, NM_001281015.1.p1, XM_059742757.1.p1, NM_001281011.1.p1, NM_001281199.1.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_059733726.1.p1
OG0000041	NM_128862.2.p1, NM_001338723.1.p1, NM_113404.3.p1, NM_001338726.1.p1, NM_113406.2.p1, NM_001338731.1.p1, NM_128827.2.p1, NM_128868.2.p1, NM_128101.1.p1, NM_001336409.1.p1, NR_140705.1.p1, NR_140701.1.p1, NR_140702.1.p1, NR_140704.1.p1, NR_140703.1.p1, NR_140700.1.p1, NR_140699.1.p1, NR_140707.1.p1, NM_128866.4.p1, NM_001338724.1.p1, NM_001338725.1.p1, NM_001338727.1.p1, NM_128863.1.p1, NM_123381.3.p1, NM_001203793.2.p1, NM_001340887.1.p1, NM_001340886.1.p1, NM_117456.6.p1, NM_117462.2.p1, NR_142331.1.p1	XM_010661212.3.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_002265419.5.p1, XM_059735350.1.p1, XM_002270290.5.p1, XM_002271267.5.p1, XM_002265748.4.p1, XM_059735461.1.p1, XM_059735567.1.p1, XM_002262657.4.p1, XM_059735127.1.p1, XM_002263573.3.p1, XM_010646478.3.p1, XM_002263616.4.p1
OG0000043	NM_147994.4.p1	XM_059742048.1.p1, XM_059742046.1.p1, XM_059734574.1.p1, XM_019220214.2.p1, XR_787122.3.p1, XM_059742051.1.p1
OG0000044	NM_118742.2.p1	XM_010657866.2.p1, XM_002279259.4.p1
OG0000045	NM_124796.4.p1	NM_001281171.1.p1, XM_003634113.3.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_002268272.3.p1, XM_003634380.4.p1, XM_019221570.2.p1
OG0000045	NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_010662020.3.p1
OG0000047	NM_120393.6.p1	XM_010655251.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_010647827.3.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_002275364.4.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_010666366.3.p1, XM_002271922.5.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_002280637.5.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1	XM_059741031.1.p1
OG0000048	NM_117987.4.p1	XM_003632968.3.p1, XM_010657236.3.p1
OG0000048	NM_121468.4.p1	XM_010662594.3.p1, XM_059742872.1.p1
OG0000048	NM_116297.4.p1	XM_002272076.5.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_010659673.3.p1, XM_010659674.3.p1
OG0000049	NR_143695.1.p1, NR_143694.1.p1, NR_143696.1.p1	XR_002030788.2.p1, XM_059737018.1.p1, XM_003631279.1.p1, XR_786755.3.p1, XM_059733949.1.p1, XM_019221972.2.p1, XM_010657496.3.p1, XM_002265910.1.p1, XM_059734123.1.p1, XM_059737015.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_002262947.5.p1
OG0000050	NM_001203987.1.p1	XM_002278559.5.p1, XM_019218932.2.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_019226464.2.p1
OG0000050	NM_119039.3.p1	XM_010657997.3.p1
OG0000050	NM_130033.3.p1	XM_019225418.2.p1, XM_002269871.3.p1
OG0000050	NM_123965.2.p1	XM_002277435.4.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_002277287.5.p1
OG0000051	NM_103814.4.p1, NM_001338358.1.p1, NM_112764.4.p1, NM_001338359.1.p1	XM_002283554.4.p1, XM_010660276.3.p1
OG0000051	NM_121018.4.p1	XM_002282480.5.p1
OG0000052	NM_120688.3.p1	XM_010660230.3.p1
OG0000052	NM_128482.4.p1	XM_002282602.4.p1
OG0000052	NM_001331699.1.p1	XM_019220550.2.p1, XM_010652689.3.p1, XM_019220551.2.p1, XM_010652687.3.p1, XM_019220545.2.p1, XM_059737474.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_002284664.5.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_059735741.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_002270007.5.p1
OG0000055	NM_114904.4.p1	XM_003635095.4.p1, XM_003635096.4.p1, XM_059738430.1.p1, XM_002262990.5.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_002267700.5.p1, XM_002267656.5.p1, XM_002267561.1.p1, XM_059742191.1.p1, XM_010659938.3.p1, XM_010655104.3.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_010655949.3.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XM_002280605.4.p1
OG0000057	NM_001335933.1.p1	XM_002282583.4.p1
OG0000057	NM_117242.1.p1	XM_010646232.3.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_002263205.4.p1, XM_019222275.2.p1, XM_002280165.4.p1
OG0000057	NM_101587.2.p1	XM_059739395.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_002270308.5.p1
OG0000057	NM_001340040.1.p1	XM_003633847.4.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_002275632.4.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_010661016.2.p1, XM_010661015.3.p1, XM_002273648.5.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_010658632.3.p1, XM_010658631.3.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_002285605.3.p1
OG0000060	NM_121906.4.p1	XM_002279683.5.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_003634154.4.p1
OG0000060	NM_126206.4.p1	XM_019219276.2.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_003635433.3.p1, XM_059734072.1.p1, XM_002283756.5.p1, XM_059737739.1.p1, XM_010654455.3.p1, XM_010661587.2.p1, XM_002278805.5.p1, XM_019221008.2.p1, XM_002283466.5.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_002277869.4.p1
OG0000062	NM_123217.3.p1	XM_002279432.4.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_059739883.1.p1
OG0000062	NM_113366.3.p1	XM_002284394.5.p1
OG0000062	NM_001338692.1.p1	XM_002279161.4.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_010650858.3.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_019218806.2.p1
OG0000064	NM_126167.1.p1	XM_010660961.2.p1, XM_019224636.2.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_010650317.2.p1, XM_059736221.1.p1, XM_002282412.5.p1, XM_019219443.2.p1, XM_010650324.3.p1, XM_059736229.1.p1, XM_059736231.1.p1, XM_059736228.1.p1, XM_059736226.1.p1, XM_019219444.2.p1, XM_059736230.1.p1, XM_019223185.2.p1, XM_002284987.5.p1
OG0000067	NM_122972.1.p1, NM_001339649.1.p1, NM_122974.1.p1	XR_009466285.1.p1, XR_786536.3.p1, XM_019221459.2.p1, XM_019223278.1.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1	XM_010651097.2.p1, XM_010651094.3.p1, XM_019219666.1.p1, XM_019219668.2.p1, XM_010651089.3.p1, XM_010660452.3.p1, XM_059741574.1.p1, XM_059742182.1.p1, XM_019224635.2.p1, XM_019224489.2.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_002265352.4.p1, XM_002273502.4.p1, XM_059741240.1.p1, XM_019223784.2.p1, XM_003633312.4.p1, XM_002264847.4.p1, XM_002264512.4.p1, XM_002265549.4.p1, XM_010659252.3.p1, XM_010659535.3.p1, XM_059741211.1.p1, XM_002264293.5.p1, XM_002264177.5.p1, XM_002263625.4.p1, XM_002266008.5.p1, XM_010649909.3.p1, XM_059735712.1.p1, XM_002265228.5.p1, XM_010649908.3.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_002279439.5.p1, XM_002279408.5.p1, XM_019220435.2.p1, XM_002279351.5.p1
OG0000072	NM_111234.5.p1	XM_002271930.5.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_002277449.4.p1
OG0000072	NM_001338588.1.p1, NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_019224903.2.p1, XM_003633611.4.p1, XM_003633614.3.p1, XM_003633615.3.p1, XM_010661640.3.p1, XM_002275742.5.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_002283217.4.p1, XM_059742431.1.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_002277780.4.p1, XM_059742183.1.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1	XM_010652675.3.p1, XR_002030328.2.p1
OG0000074	NM_129543.3.p1	XM_019224306.2.p1, XM_002282152.5.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_010649735.3.p1, XM_003631420.4.p1, XM_010664505.3.p1, XM_002270505.5.p1, XM_010659734.3.p1, XM_059740956.1.p1, XM_019226219.1.p1, XM_059743288.1.p1, XM_010663319.3.p1, XM_002276525.4.p1, XM_002276058.5.p1, XM_002276017.4.p1, XM_002276085.4.p1, XM_010663285.3.p1, XM_002276540.5.p1, XM_002271616.4.p1, XM_010663287.3.p1
OG0000076	NM_103640.3.p1	XM_002284549.4.p1
OG0000080	NM_112240.4.p1	XM_019221943.2.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_002285572.5.p1
OG0000080	NM_102387.3.p1	XM_002269305.5.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_010656337.3.p1, XM_059739492.1.p1, XM_002285710.3.p1
OG0000080	NM_128359.5.p1	XM_002277321.4.p1
OG0000080	NM_001343571.1.p1	XM_010650508.3.p1, XR_785608.3.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	XM_002275270.4.p1
OG0000081	NM_121263.4.p1	XM_002283020.3.p1
OG0000081	NM_122291.4.p1	XM_002267344.4.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_002271956.4.p1, XM_010655914.3.p1, XM_002281253.5.p1
OG0000082	NM_001343355.1.p1	XM_002265838.4.p1, XM_002265947.4.p1
OG0000086	NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1	XM_002265897.5.p1
OG0000086	NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_019219119.2.p1, XM_002280176.5.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_059743206.1.p1, XM_059743205.1.p1, XM_059743204.1.p1, XM_019225629.2.p1, XM_019225630.2.p1, XM_059743207.1.p1
OG0000087	NM_118755.4.p1	XM_010657926.3.p1, XM_019222849.2.p1, XM_059740706.1.p1
OG0000087	NM_105468.3.p1, NM_105469.2.p1, NM_001198158.1.p1, NM_001332662.1.p1, NM_102310.5.p1	XM_010657515.3.p1, XM_002278642.5.p1, XM_010657503.3.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1	XM_002266180.5.p1, XM_059736564.1.p1, XM_019219291.2.p1, XM_019219262.2.p1, XM_059736299.1.p1, XM_002270939.4.p1, XM_019219354.2.p1, XM_002268801.5.p1, XM_002270900.5.p1, XM_059736300.1.p1
OG0000089	NM_101820.4.p1	XM_002262723.5.p1, XM_002262982.4.p1, XM_002262640.5.p1, XM_002265483.4.p1, XM_002263423.4.p1, XM_002281530.4.p1, XM_059734657.1.p1, XM_002281552.4.p1, XM_010666412.3.p1
OG0000089	NM_111981.5.p1, NM_001342768.1.p1, NM_001036754.2.p1, NM_120519.3.p1, NM_001342769.1.p1, NM_001342771.1.p1, NM_001342770.1.p1, NM_126041.1.p1, NM_001335411.1.p1, NM_001335410.1.p1, NM_001338558.1.p1, NM_113091.6.p1, NM_001344225.1.p1, NM_123161.3.p1	XM_059735724.1.p1
OG0000090	NM_121889.3.p1	XM_002278161.4.p1
OG0000090	NM_001337564.1.p1, NM_111387.5.p1	XM_059742453.1.p1, XM_059742454.1.p1, XM_059742452.1.p1, XM_059742451.1.p1, XM_059742450.1.p1, XM_010661745.3.p1, XM_059742440.1.p1, XM_059742442.1.p1, XM_059742446.1.p1, XM_059742445.1.p1, XM_059742443.1.p1
OG0000090	NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_002270891.5.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1	XM_059742750.1.p1, XM_059742749.1.p1
