Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0000020	NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XR_003244692.1.p1, XM_026028685.1.p1, XM_010315705.3.p1, XM_010323195.3.p1, XM_010323194.3.p1, XM_010321896.3.p1
OG0000021	NM_113293.5.p1	XM_026030967.1.p1, XM_004247589.3.p1, XM_019215672.2.p1, XM_004247508.1.p1, XM_004249657.4.p1, XM_010329133.3.p1, XM_026029818.1.p1, XR_003245893.1.p1, XM_010319418.3.p1, XM_010319417.3.p1, XM_010319421.3.p1, XM_004247506.4.p1, XR_003245189.1.p1, XM_010327589.2.p1, XM_004247796.4.p1, XM_010325507.3.p1, XM_004239335.1.p1, XM_004239336.2.p1, XM_026031028.1.p1
OG0000021	NM_111499.4.p1	XM_004252854.4.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XM_004228838.4.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_004238548.4.p1, XM_026031392.1.p1, XM_010323456.3.p1, XM_026031391.1.p1, XM_026031390.1.p1, XM_026031393.1.p1, XM_019214509.2.p1, XM_004240366.4.p1, XM_010323453.3.p1, XM_010323457.2.p1, XM_019214611.2.p1, XM_019214398.2.p1, XM_026031366.1.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_004251333.3.p1, XM_019212056.2.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	NM_001321016.1.p1, NM_001321125.1.p1, NM_001321094.1.p1, NM_001252111.1.p1, XM_019213425.2.p1, NM_001330098.1.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_004233835.4.p1, XM_004233763.4.p1, XM_004233762.4.p1, XM_004232725.4.p1, XM_004232726.4.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_010319048.2.p1, XM_010318645.3.p1, XM_004233834.4.p1, XM_004233099.4.p1, XM_004233832.4.p1, XM_004242191.4.p1, XM_004242190.4.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_004247464.4.p1, XM_004233104.4.p1, XM_004233134.4.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_004231509.4.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_010318154.2.p1, XM_004233704.4.p1, XM_004233705.3.p1, XM_026029491.1.p1, XM_026029493.1.p1, XM_004234544.4.p1, XM_010318151.3.p1, XM_004233703.3.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_026028977.1.p1
OG0000029	NM_103903.2.p1	XM_010316471.3.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_019213275.2.p1, XM_026030598.1.p1, XM_026030451.1.p1, XM_019213273.2.p1, XM_019213274.2.p1, XM_004236790.3.p1, XM_010321022.3.p1, XM_010321024.2.p1, XM_004233822.1.p1, XM_019212045.1.p1, XM_019212046.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_010320221.3.p1, XM_010319867.3.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_004232287.4.p1, XM_010318015.3.p1, XM_010318013.3.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_026028772.1.p1, XM_026028771.1.p1, XM_026030189.1.p1, XM_004235732.4.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_010322509.3.p1, XM_019213755.2.p1, XM_004239361.4.p1, XM_004238854.4.p1, XM_019214027.2.p1, XM_010322442.3.p1, XM_004239362.3.p1, XM_010321113.2.p1, XM_004238856.4.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_004246448.4.p1, XM_004247658.4.p1, XM_019215791.2.p1, NM_001309213.1.p1, NM_001309222.1.p1, NM_001247032.2.p1, XM_004247872.4.p1, XM_004247660.4.p1, NM_001247695.3.p1, XM_004247662.4.p1, XM_004246445.4.p1, XM_004246449.4.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_004247856.4.p1, XM_004247857.4.p1, XM_004249898.4.p1, XM_004247859.4.p1, XM_004247853.4.p1, XM_004247852.4.p1, XM_004247855.4.p1, XM_004247854.4.p1, XM_004228352.3.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_004251641.4.p1, XM_004231023.4.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	NM_001329243.1.p1, XM_010319755.3.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XM_004247372.4.p1, XR_743292.3.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_003248077.1.p1, XR_003248078.1.p1, XM_019211508.2.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_004230355.2.p1, XM_004230357.3.p1, XM_004230356.4.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_004231209.3.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_026032124.1.p1, XM_004248153.4.p1, XM_004248152.4.p1, XM_026027764.1.p1, XM_004248686.4.p1, XM_004242587.4.p1, XM_004243211.4.p1, XM_026032111.1.p1, XM_004243214.4.p1, XM_026032230.1.p1, XM_004243210.4.p1, XM_004243207.4.p1, XM_026032112.1.p1, XM_026032114.1.p1, XM_004243208.4.p1, XM_019214997.2.p1, XM_004243212.3.p1, XM_004243209.3.p1, XM_004243206.3.p1, XM_004243797.4.p1, XM_004243205.4.p1, XM_004243215.4.p1, XR_002028231.2.p1, XM_004244226.4.p1, XM_004244225.4.p1, XM_004244224.3.p1
OG0000043	NM_103306.1.p1	XM_019212641.1.p1
OG0000043	NM_147994.4.p1	XM_010314847.1.p1, XM_019212640.1.p1, XM_010325286.1.p1, XM_026028829.1.p1, XM_026030460.1.p1
OG0000045	NM_124796.4.p1	XM_004234980.3.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_004242355.3.p1, XM_026031363.1.p1, XM_004240412.4.p1
OG0000047	NM_120393.6.p1	XM_004249444.3.p1, XM_004246622.4.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_004247152.4.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_004243340.4.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_004238193.4.p1, XM_004233461.4.p1, XM_004232338.4.p1, XM_010318047.3.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_004230295.4.p1, XM_026032947.1.p1
OG0000048	NM_117987.4.p1	NM_001356270.1.p1, XM_010319124.3.p1, XM_004234035.3.p1
OG0000048	NM_121468.4.p1	XM_004232260.3.p1, XM_010317987.2.p1, XM_004252614.3.p1, XM_004252613.4.p1
OG0000048	NM_116297.4.p1	XM_004239993.3.p1, XM_004229785.4.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_004230395.4.p1, XM_010316161.3.p1, XM_010316158.3.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_004234481.4.p1, XM_004233517.4.p1, NM_001328334.1.p1
OG0000050	NM_001203987.1.p1	XM_004230992.4.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_010320618.3.p1, XM_010320617.3.p1, XM_026030081.1.p1
OG0000050	NM_119039.3.p1	XM_010325113.3.p1, XM_010315428.3.p1
OG0000050	NM_130033.3.p1	XM_004229677.4.p1
OG0000050	NM_123965.2.p1	XM_004232897.4.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_010321768.3.p1
OG0000051	NM_115235.4.p1, NM_001339629.1.p1, NM_179953.3.p1	XM_004253248.1.p1
OG0000051	NM_121018.4.p1	NM_001321306.1.p1, NM_001308447.1.p1
OG0000052	NM_120688.3.p1	XM_026031745.1.p1, XM_004242352.4.p1, XM_004235216.4.p1, XM_010319959.3.p1, XM_004235215.4.p1
OG0000052	NM_128482.4.p1	XM_004240330.4.p1, XM_019214532.2.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_019215537.1.p1
OG0000054	NM_001339053.1.p1, NM_148535.1.p1	XM_026028754.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_004233373.4.p1, XM_026029257.1.p1, XM_004234858.4.p1, XM_004233374.4.p1, XM_026029255.1.p1
OG0000055	NM_114904.4.p1	NM_001322328.1.p1, XM_026029787.1.p1, XM_026029786.1.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	NM_001320919.1.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_004246306.4.p1, XM_010327544.3.p1, XM_026032903.1.p1, NM_001320260.1.p1
OG0000057	NM_001335933.1.p1	NM_001324146.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XM_004251720.4.p1, XM_004253462.3.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_019213129.2.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	NM_001247548.1.p1, NM_001247846.1.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	NM_001247483.2.p1, XM_010323885.3.p1, XM_019215048.2.p1, XM_004244910.4.p1, XM_004248781.3.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_010325293.3.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_010328666.3.p1, XM_004244251.4.p1
OG0000060	NM_121906.4.p1	XM_010324458.3.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	NM_001246986.2.p1, XM_004241590.4.p1, XM_010324318.3.p1
OG0000060	NM_126206.4.p1	XM_010322403.3.p1, XM_010320813.3.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_004233900.3.p1, XM_004231839.4.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_010326878.3.p1, XM_019213243.2.p1, XM_019213244.2.p1, XM_010322490.3.p1
OG0000062	NM_123217.3.p1	XM_004232053.4.p1
OG0000062	NM_113366.3.p1	XM_004251560.4.p1
OG0000062	NM_001338692.1.p1	XM_004235614.4.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_019212182.2.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_019215958.2.p1, XM_019210868.2.p1, XM_019211919.2.p1
OG0000064	NM_126167.1.p1	XM_010321601.1.p1, XM_010325840.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_004249943.4.p1
OG0000067	NM_122972.1.p1, NM_001339649.1.p1	XM_004233862.4.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1, NM_120555.3.p1, NM_001342784.1.p1, NM_001342785.1.p1, NM_120550.4.p1, NM_001342789.1.p1, NM_120552.2.p1	XM_010323272.3.p1, XM_019213785.2.p1, XM_010323273.2.p1, XM_026030988.1.p1, XM_019213988.2.p1, XR_003246760.1.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_026031826.1.p1, XM_004251823.2.p1, XM_004243603.4.p1, XM_004247965.4.p1, XM_004243604.4.p1, XM_010325651.3.p1, XM_004243606.4.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_004243608.4.p1, XM_004243855.4.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	NM_001321342.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_004244716.4.p1, XM_019215268.2.p1
OG0000072	NM_001338588.1.p1, NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_026032418.1.p1, XM_004230082.4.p1, XM_004230081.4.p1, XM_010313866.3.p1, XR_003247729.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_004230205.4.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_004240962.2.p1, XM_004247680.4.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1	XR_742009.3.p1, XM_004241162.3.p1, XM_004240334.4.p1
OG0000074	NM_129543.3.p1	XM_004240727.4.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_026031352.1.p1, XM_004241715.4.p1, XM_019214338.2.p1, XM_019214204.2.p1, XM_010326403.3.p1, XM_010328641.3.p1, XM_004247964.4.p1, XM_019215602.2.p1, XM_004232011.4.p1, XM_004232012.4.p1, XM_004232015.4.p1, XM_004232016.4.p1, XM_004233378.4.p1, XM_004233379.3.p1, XM_004233377.4.p1, XM_004233376.4.p1, XM_019215468.2.p1, XM_019215469.2.p1
OG0000076	NM_103640.3.p1	XM_004238125.4.p1
OG0000076	NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_004230764.4.p1, XM_004230766.4.p1, XM_004230765.4.p1, NM_001320303.1.p1, XM_004230767.4.p1
OG0000080	NM_112240.4.p1	XM_004235546.4.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_004239826.3.p1, XM_004247762.4.p1
OG0000080	NM_102387.3.p1	XM_026031051.1.p1, XM_010322497.3.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_004235607.4.p1, XM_004228898.4.p1
OG0000080	NM_128359.5.p1	XM_004241235.4.p1, XM_004251112.4.p1
OG0000080	NM_001343571.1.p1	XM_004233195.4.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	NM_001247878.2.p1, XM_004252752.4.p1
OG0000081	NM_121263.4.p1	XM_004249274.4.p1
OG0000081	NM_122291.4.p1	XM_004240686.4.p1, XM_004234348.4.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_004240343.4.p1, XM_004241138.4.p1
OG0000082	NM_001337251.1.p1, NM_001337250.1.p1, NM_130285.3.p1, NM_116094.4.p1	XM_010315402.3.p1, XM_010315422.3.p1, XM_010315414.2.p1, XM_010315398.3.p1
OG0000082	NM_001343355.1.p1	XM_026028567.1.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	NM_001329555.1.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1	XM_004234530.4.p1, XM_004231973.4.p1, XM_010318884.3.p1, XM_004233913.4.p1, XM_004233437.4.p1
OG0000086	NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1	XM_004231972.3.p1, XM_026029684.1.p1, XM_026029683.1.p1
OG0000086	NM_105783.3.p1, NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_004236935.4.p1, XM_004238824.4.p1, XM_019214117.2.p1, XM_019214118.2.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_004244479.4.p1
OG0000087	NM_001342249.1.p1	XM_004248709.4.p1, XM_004230718.4.p1
OG0000087	NM_118755.4.p1	XM_004234470.4.p1, XM_026030954.1.p1, XM_026030955.1.p1, XM_019214012.1.p1, XM_004240271.3.p1, XM_026030948.1.p1, XM_004237652.4.p1, XM_010321701.3.p1, XM_004237651.4.p1, XM_026030767.1.p1
OG0000087	NM_105468.3.p1, NM_105469.2.p1, NM_001198158.1.p1, NM_001332662.1.p1, NM_102310.5.p1	NM_001302899.2.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1, NM_001335961.1.p1, NM_001335962.1.p1, NM_128033.2.p1, NM_122592.4.p1, NM_001342107.1.p1, NM_001342106.1.p1, NM_001343161.1.p1, NM_121156.2.p1, NM_001343167.1.p1, NM_001343165.1.p1, NM_001343163.1.p1, NM_001343171.1.p1, NM_001343169.1.p1, NM_001343170.1.p1, NM_001343164.1.p1, NM_001343172.1.p1, NM_001343168.1.p1	XM_004244446.4.p1
OG0000089	NM_101820.4.p1	NM_001247880.1.p1, XM_004247784.4.p1, XM_004247783.4.p1, XM_026030752.1.p1, XM_004237341.4.p1, XM_019211323.2.p1, XM_004229481.4.p1, XM_004238227.4.p1
OG0000089	NM_111981.5.p1, NM_001342768.1.p1, NM_001036754.2.p1, NM_120519.3.p1, NM_001342769.1.p1, NM_001342771.1.p1, NM_001342770.1.p1, NM_126041.1.p1, NM_001335411.1.p1, NM_001335410.1.p1, NM_001338558.1.p1, NM_113091.6.p1, NM_001344225.1.p1, NM_123161.3.p1	XM_019216025.2.p1, XM_004229466.4.p1, XM_004229467.4.p1
OG0000090	NM_121889.3.p1	XM_004229445.4.p1
OG0000090	NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	NM_001246953.2.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1	XM_004230111.4.p1
OG0000090	NM_179287.2.p1, NM_100764.4.p1	XM_010314129.3.p1, NM_001347959.1.p1, XR_003247294.1.p1, NM_001319330.2.p1, XM_010317225.2.p1, XM_026029137.1.p1, XM_010317227.3.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1	XM_019211484.2.p1, XM_004245088.4.p1
OG0000091	NM_125551.4.p1	XM_026029953.1.p1, XM_004235135.4.p1
OG0000091	NM_124155.3.p1	XM_004236594.4.p1
OG0000091	NM_179694.4.p1	XM_004250088.4.p1, XM_004236651.4.p1
OG0000092	NM_101492.3.p1, NM_001332218.1.p1, NM_106617.4.p1, NM_105641.2.p1, NM_101654.1.p1, NM_001332211.1.p1, NM_101480.3.p1, NM_106616.5.p1, NM_179577.1.p1, NM_101478.3.p1, NM_101483.2.p1, NM_101479.2.p1	XM_010318737.3.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1	XM_004241370.4.p1
OG0000093	NM_111628.4.p1	XM_010327971.3.p1, XM_010327970.3.p1
OG0000093	NM_117354.3.p1	XM_010327978.3.p1, XM_026032812.1.p1, XM_026032811.1.p1, XM_010327976.3.p1, XM_026032813.1.p1
OG0000095	NM_105425.5.p1	XM_019214067.2.p1, XM_026031118.1.p1, XM_026031119.1.p1, XM_010322685.3.p1, XM_010322683.3.p1
