Orthogroup	Arabidopsis_thaliana_rna_prot	Zea_mays_rna_prot
OG0000029	NM_103903.2.p1, NM_148340.1.p1, NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_008661134.3.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1, NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_008649407.2.p1, XM_008647030.2.p1, XM_035959084.1.p1, XM_020545476.1.p1, XM_008677813.3.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1, NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1, NM_001332678.1.p1, NM_102350.3.p1	XM_020542206.3.p1, XM_008674618.3.p1, NM_001368075.1.p1, NM_001368076.1.p1, NM_001174519.1.p1, XM_008656356.4.p1, XM_008675065.3.p1, NM_001147953.1.p1, NM_001357931.1.p1, XM_008657785.4.p1, XM_020539642.3.p1
OG0000033	NR_138665.1.p1, NM_128102.6.p1, NM_128636.2.p1, NM_001336304.1.p1, NM_128637.4.p1, NM_100542.4.p1, NM_179271.2.p1, NM_100541.4.p1, NM_202045.3.p1, NM_001160843.2.p1, NM_001331635.1.p1, NM_100539.3.p1, NM_001340095.1.p1, NM_116004.2.p1, NM_100223.3.p1, NM_001331409.1.p1, NM_100222.3.p1, NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	NM_001155737.1.p1, NM_001111630.2.p1, NM_001137908.1.p1, NM_001348751.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1, NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1	NM_001147910.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_008659977.4.p1, XM_008659978.4.p1, XR_004852414.1.p1, XR_004852415.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1, NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_004856934.1.p1, XR_002750239.2.p1, XR_004856935.1.p1, XR_004856939.1.p1, XR_004856940.1.p1, XR_004856941.1.p1, XR_004856942.1.p1, XR_004856933.1.p1, XM_023301895.2.p1, XM_023301897.2.p1, XR_553980.4.p1, XR_553981.4.p1, XM_020539020.2.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_008681503.4.p1, NM_001370654.1.p1, XM_008664489.3.p1, NM_001159001.1.p1, XM_008680001.3.p1, XM_008679995.2.p1, XM_008680000.3.p1, XM_008679999.3.p1, XR_565188.3.p1, XM_008679985.4.p1, NM_001159120.2.p1, XM_008664486.4.p1, XM_008664483.3.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_008677098.4.p1, XM_035964692.1.p1, XM_008669455.3.p1, XM_035964691.1.p1, XM_008669457.4.p1, XM_008658466.4.p1, XR_564761.2.p1, XM_008658467.3.p1, NM_001175375.1.p1, NM_001143526.1.p1, NM_001147214.1.p1, NM_001177258.1.p1, XM_008678126.3.p1, XM_020542697.2.p1, XM_008658468.4.p1, NM_001147626.2.p1
OG0000043	NM_147994.4.p1	XR_002262709.2.p1
OG0000044	NM_118742.2.p1	XM_008676725.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	NM_001111439.2.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_008657590.3.p1, XM_008675249.2.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	NM_001152627.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1, NM_117987.4.p1	NM_001155663.2.p1, XM_008674656.2.p1, NM_001138340.1.p1, XM_020538782.2.p1, NM_001137716.1.p1, XM_035959372.1.p1, XM_035966609.1.p1, NM_001156511.1.p1, XM_020553373.3.p1
OG0000048	NM_116297.4.p1	NM_001347078.1.p1, XM_020539815.3.p1, XM_008662380.3.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_008646059.4.p1, XM_008646061.4.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1, NM_001203987.1.p1	NM_001112249.2.p1
OG0000050	NM_001345564.1.p1	XR_004857630.1.p1
OG0000050	NM_119039.3.p1	XM_020539180.3.p1, NM_001112053.1.p1, NM_001111664.1.p1
OG0000051	NM_001336956.1.p1	XM_008659114.2.p1
OG0000051	NM_121018.4.p1	XM_035964868.1.p1, XM_008679091.3.p1, XM_035964860.1.p1, XM_035964861.1.p1
OG0000052	NM_120688.3.p1	NM_001155599.2.p1
OG0000052	NM_128482.4.p1, NM_001331699.1.p1, NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1, NM_100618.5.p1, NM_100619.3.p1, NM_001124936.2.p1, NM_128483.3.p1, NM_128490.4.p1, NM_128472.1.p1, NM_179801.3.p1, NM_128489.3.p1, NM_201829.2.p1	XM_020551796.1.p1, XM_008679693.3.p1, NM_001369249.1.p1, XM_008679001.2.p1, NM_001148040.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_008647727.3.p1, XM_020547807.1.p1, XM_008670945.4.p1, NM_001367137.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_035966108.1.p1, XM_035966107.1.p1, XM_035966109.1.p1, XM_035966113.1.p1, XM_035966117.1.p1, XM_035966115.1.p1, XM_035966119.1.p1, XM_035966120.1.p1, XM_035966106.1.p1, XM_020542736.3.p1, XM_008647515.3.p1, XM_023300870.2.p1, XM_020550305.1.p1, NM_001369877.1.p1, XM_035965387.1.p1, XM_008680109.3.p1, XM_008653985.3.p1, XR_004856430.1.p1, XR_004850375.1.p1, XM_020549110.1.p1, XR_002268303.3.p1, XM_020548222.3.p1, XM_020546403.3.p1, XM_020545769.3.p1, XM_020546500.3.p1, XM_008668182.3.p1, XM_008682555.4.p1, XM_035965172.1.p1, XM_035961408.1.p1, XM_035961409.1.p1, XM_020545935.2.p1, XM_008664776.4.p1, XM_023300929.2.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1, NM_127920.3.p1, NM_179711.2.p1, NM_001335855.1.p1, NM_127922.3.p1, NM_119878.5.p1, NM_127926.3.p1, NM_001335856.1.p1, NM_001335857.1.p1, NM_127923.2.p1, NM_127925.3.p1, NM_001335858.1.p1	XM_008657758.4.p1, XM_008676727.4.p1
OG0000055	NM_114904.4.p1	NM_001137509.2.p1, NM_001175387.1.p1, NM_001372203.1.p1, XM_008676365.3.p1, XM_035966348.1.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_008676930.2.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XM_008672733.2.p1
OG0000057	NM_001335933.1.p1	NM_001305847.1.p1, NM_001305848.1.p1
OG0000057	NM_117242.1.p1	NM_001362226.1.p1, NM_001195973.2.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1, NM_001334999.1.p1, NM_001335000.1.p1	XM_008650812.1.p1, XM_035962610.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	NM_001323633.1.p1, NM_001362081.1.p1, NM_001359483.1.p1, NM_001111890.1.p1
OG0000057	NM_001340040.1.p1	NM_001362173.1.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_020548270.1.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	NM_001360927.1.p1, XM_020542044.2.p1, XM_035959357.1.p1, XM_020541128.1.p1
OG0000060	NM_121906.4.p1	XM_020548594.2.p1, XM_020548593.3.p1, NM_001111768.2.p1, XM_023301160.2.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_035959535.1.p1, XM_008649505.3.p1, XM_020538911.2.p1, XM_020553421.2.p1, NM_001158841.2.p1, NM_001152724.1.p1
OG0000060	NM_126206.4.p1	XM_008658483.3.p1, NM_001136930.1.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_020537861.3.p1, NM_001319705.2.p1, NM_001148832.1.p1, XM_008667228.4.p1, NM_001152436.1.p1, NM_001175353.2.p1, XM_008667223.4.p1, XM_008667224.4.p1, NM_001137216.1.p1, XM_008671367.4.p1, XM_008663113.4.p1, NM_001319738.1.p1
OG0000062	NM_123217.3.p1	XM_008650470.3.p1, NM_001317366.1.p1, NM_001358400.1.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_035960125.1.p1, XM_008659588.4.p1
OG0000062	NM_113366.3.p1	NM_001318376.1.p1, XM_020538950.3.p1, NM_001371787.1.p1, NM_001152295.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1, NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_020549236.3.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	NR_156696.1.p1, XR_004854606.1.p1, NM_001196093.1.p1, NM_001351722.1.p1, XM_020550828.1.p1, XM_008660390.4.p1, XM_035962264.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_020539401.3.p1, XM_020539402.3.p1, XM_008650892.4.p1, XM_020539399.3.p1, XM_008650890.4.p1, XM_008650887.4.p1, XM_008650889.4.p1, XM_035960118.1.p1, XM_008650888.4.p1, XM_008659908.4.p1, XM_008659910.4.p1, XR_004852389.1.p1, XR_004852388.1.p1, XM_008650893.3.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1, NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	NM_001154993.3.p1, XM_008654898.4.p1, NM_001367825.1.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	NM_001111999.2.p1, XM_008671202.2.p1
OG0000072	NM_111234.5.p1	XM_008676688.4.p1, NM_001324273.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_020549550.3.p1, NM_001147282.1.p1, NM_001153247.1.p1, XM_020549551.3.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	NM_001155218.1.p1, NM_001157122.1.p1, XM_008657926.3.p1, XM_008657927.4.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	NM_001143158.1.p1, NM_001136634.1.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1, NM_129543.3.p1	XM_020545972.3.p1, XR_556658.4.p1, XM_008655835.4.p1, NR_158589.1.p1, NM_001365721.1.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	NM_001175653.1.p1, NM_001174877.1.p1, XM_008655260.3.p1
OG0000076	NM_103640.3.p1, NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_008672022.3.p1, NM_001157112.2.p1, NM_001155762.2.p1, NM_001156325.2.p1, NM_001146751.1.p1, NM_001155368.2.p1, NM_001147918.1.p1, NM_001152689.1.p1
OG0000080	NM_112240.4.p1	XM_008649260.4.p1, NM_001146752.2.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	NM_001112246.1.p1, NM_001112220.1.p1
OG0000080	NM_102387.3.p1	NM_001351754.1.p1, XM_020545832.3.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	NM_001367128.1.p1, XM_020539251.2.p1, NM_001319768.1.p1, XM_008661150.3.p1
OG0000080	NM_128359.5.p1	NM_001154621.2.p1, XM_020546155.2.p1
OG0000080	NM_001343571.1.p1	NM_001368837.1.p1
OG0000081	NM_121263.4.p1	XM_008675211.4.p1, NM_001111956.1.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_035964949.1.p1, NM_001348079.1.p1
OG0000082	NM_001337251.1.p1, NM_001337250.1.p1, NM_130285.3.p1	NM_001371433.1.p1, NM_001153481.1.p1, NM_001153838.2.p1, NM_001175484.1.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	XM_008663690.2.p1, XM_008669164.4.p1, XM_020553115.1.p1, NM_001143393.1.p1, XM_008669656.4.p1, NM_001153342.1.p1, NM_001360161.1.p1, NM_001371818.1.p1, NR_146328.1.p1, NM_001137214.1.p1, NM_001147679.1.p1, XM_008670876.3.p1, NM_001153995.2.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1, NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1, NM_105783.3.p1, NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XR_002264293.3.p1, XM_020542770.3.p1, NM_001158441.1.p1, XR_561659.4.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_020545736.1.p1, XM_008664644.2.p1, XM_008664645.2.p1, XR_560215.2.p1, XM_008664646.3.p1
OG0000087	NM_001342249.1.p1	XM_035962153.1.p1, XM_023300961.2.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1, NM_001335961.1.p1, NM_001335962.1.p1, NM_128033.2.p1, NM_122592.4.p1, NM_001342107.1.p1, NM_001342106.1.p1, NM_001343161.1.p1, NM_121156.2.p1, NM_001343167.1.p1, NM_001343165.1.p1, NM_001343163.1.p1, NM_001343171.1.p1, NM_001343169.1.p1, NM_001343170.1.p1, NM_001343164.1.p1, NM_001343172.1.p1, NM_001343168.1.p1	XM_020541807.2.p1, XM_008648155.2.p1, XM_008648156.4.p1, XM_008671985.2.p1, XM_008671986.4.p1, XM_020541653.3.p1
OG0000090	NM_121889.3.p1, NM_001337564.1.p1, NM_111387.5.p1, NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	NM_001367608.1.p1, NM_001165775.1.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1, NM_179287.2.p1, NM_100764.4.p1	XM_008674124.2.p1, NM_001146989.1.p1, NM_001152718.1.p1, XM_020542076.2.p1
OG0000091	NM_118760.3.p1, NM_125046.3.p1, NM_119437.3.p1, NM_119066.3.p1	NM_001154608.2.p1, XM_008651228.2.p1, NM_001254885.1.p1, XM_035961272.1.p1, NM_001137698.2.p1, XM_035961273.1.p1, NM_001347871.1.p1, XM_008650598.2.p1, NM_001158439.1.p1
OG0000091	NM_125551.4.p1	NM_001361342.1.p1, XM_008651686.3.p1
OG0000091	NM_124155.3.p1	NM_001137406.1.p1
OG0000091	NM_179694.4.p1	XM_020548501.3.p1, XM_008671967.4.p1, XM_008671965.4.p1, XM_008671970.2.p1, XM_008674278.4.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1, NM_111628.4.p1, NM_001337023.1.p1, NM_129890.4.p1, NM_117354.3.p1	NR_163835.1.p1
OG0000095	NM_105425.5.p1, NM_001345589.1.p1, NM_001345587.1.p1, NM_001345586.1.p1, NM_001203676.2.p1, NM_125732.3.p1, NM_001345588.1.p1	NM_001196090.1.p1, XM_008665128.4.p1, XM_008665126.3.p1, XM_020537554.2.p1, XM_035958807.1.p1
OG0000096	NM_111761.3.p1, NM_128496.2.p1	NM_001112158.1.p1, XM_008676304.3.p1, XM_035966097.1.p1, NM_001111518.2.p1, NM_001319763.1.p1
OG0000097	NM_001333563.1.p1, NM_104160.3.p1, NM_104159.1.p1, NM_102568.2.p1, NM_001340417.1.p1, NM_116541.4.p1, NM_001332174.1.p1, NM_001332176.1.p1, NM_106681.1.p1, NM_104158.2.p1, NM_104157.1.p1	NM_001147305.1.p1, NM_001159083.2.p1
OG0000098	NM_001340740.1.p1, NM_001340741.1.p1, NM_001340739.1.p1, NM_001341569.1.p1, NM_001341568.1.p1, NM_001337146.1.p1, NM_130128.4.p1, NM_001345537.1.p1, NM_001345536.1.p1, NM_001345539.1.p1, NM_001345529.1.p1, NM_180916.1.p1, NM_125610.4.p1, NM_001345528.1.p1	NM_001111682.1.p1, XM_035966201.1.p1, NM_001152626.1.p1, XM_035966197.1.p1, XM_008660605.4.p1
OG0000099	NM_128136.3.p1	XR_004851810.1.p1, XM_008657121.4.p1, NM_001362421.1.p1, XM_008657123.4.p1, XR_553984.4.p1, NM_001176100.1.p1, NM_001324264.1.p1, XR_002264153.3.p1
OG0000099	NM_112214.5.p1	NM_001320083.1.p1
OG0000099	NM_121824.4.p1, NM_001343538.1.p1, NM_111265.4.p1	NM_001357699.1.p1
OG0000101	NM_112093.3.p1	NM_001365157.1.p1, XM_008676621.2.p1, NM_001196236.1.p1
OG0000101	NM_001125684.1.p1, NM_104519.1.p1	XM_008679674.4.p1, XM_008679673.4.p1
OG0000102	NM_114829.4.p1	XM_020537847.2.p1, XM_008646240.3.p1, XM_020546975.1.p1
OG0000102	NM_001336612.1.p1	XM_020548353.2.p1, XM_008671806.2.p1
OG0000102	NM_119940.5.p1	XM_008676965.4.p1, XM_008658541.4.p1, NM_001146890.2.p1
OG0000102	NM_125143.4.p1	XM_008648148.3.p1, XM_008681014.4.p1, XM_008680300.3.p1
OG0000103	NM_113483.5.p1, NM_001338768.1.p1, NM_113482.5.p1, NM_127982.4.p1, NM_117775.4.p1, NM_001341133.1.p1, NM_001341134.1.p1, NM_117774.4.p1	NM_001196369.1.p1
OG0000107	NM_001203535.1.p1, NM_001344505.1.p1	XM_008650905.4.p1, XM_008650906.4.p1, XM_008660708.4.p1
OG0000107	NM_179779.3.p1	NM_001152734.1.p1, XM_020537838.2.p1, XM_035958925.1.p1, XM_035958953.1.p1, XM_008645924.4.p1
OG0000107	NM_179453.3.p1	XM_008665269.3.p1, XM_008665271.3.p1, XM_008665270.2.p1, XM_008670002.3.p1, NM_001350108.1.p1, XM_008650459.3.p1, XM_020538404.2.p1, XM_008646896.3.p1, XM_020538403.2.p1
OG0000108	NM_128996.3.p1, NM_001336515.1.p1, NM_111544.1.p1, NM_102613.2.p1, NM_001084156.1.p1, NM_100035.3.p1, NM_105210.2.p1, NM_119822.1.p1, NM_125437.5.p1, NM_179727.5.p1	XM_008660051.4.p2, NM_001148155.2.p1, NM_001175747.2.p1, NM_001319730.2.p1, NM_001157552.2.p1
