Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_oleracea_rna_prot
OG0000011	NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1	XM_013765499.1.p1, XM_013765501.1.p1
OG0000011	NM_001344238.1.p1, NM_001344237.1.p1	XM_013736547.1.p1
OG0000016	NM_118863.5.p1, NM_001341844.1.p1	XM_013749538.1.p1, XM_013743039.1.p1
OG0000016	NM_118258.3.p1	XM_013742595.1.p1
OG0000016	NM_112034.3.p1	XM_013734339.1.p1, XM_013768080.1.p1, XM_013773032.1.p1
OG0000016	NM_105253.2.p1, NM_105252.2.p1	XM_013773629.1.p1, XM_013773628.1.p1, XM_013773626.1.p1, XM_013775683.1.p1, XM_013735876.1.p1, XM_013735875.1.p1, XM_013735873.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1	XM_013738726.1.p1, XM_013742617.1.p1, XM_013742626.1.p1, XM_013742643.1.p1, XM_013742635.1.p1
OG0000018	NM_118242.4.p1, NM_120043.3.p1	XM_013738522.1.p1
OG0000018	NM_116759.3.p1	XM_013752443.1.p1
OG0000018	NM_118446.3.p1	XM_013780576.1.p1
OG0000018	NM_118452.4.p1	XM_013739795.1.p1, XM_013739792.1.p1, XM_013743106.1.p1
OG0000018	NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1	XM_013779675.1.p1, XM_013776790.1.p1
OG0000018	NM_118447.3.p1, NM_001341579.1.p1	XM_013739798.1.p1, XM_013739799.1.p1, XM_013743263.1.p1
OG0000018	NM_118460.2.p1, NM_001341598.1.p1	XM_013743517.1.p1
OG0000018	NM_001341575.1.p1, NM_179094.3.p1	XM_013737677.1.p1, XM_013770769.1.p1, XM_013770768.1.p1
OG0000018	NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_013743222.1.p1, XM_013743230.1.p1
OG0000020	NM_001333052.1.p1	XM_013755606.1.p1, XM_013760610.1.p1, XM_013728557.1.p1
OG0000020	NM_121001.2.p1	XM_013756077.1.p1, XM_013756078.1.p1, XM_013763365.1.p1
OG0000020	NM_001337980.1.p1	XM_013777062.1.p1
OG0000020	NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1	XM_013737587.1.p1
OG0000020	NM_112059.2.p1, NM_112060.3.p1	XM_013731787.1.p1, XM_013731788.1.p1
OG0000020	NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1	XM_013774795.1.p1, XM_013774793.1.p1, XM_013748955.1.p1
OG0000020	NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1	XR_001269845.1.p1, XM_013781590.1.p1, XM_013779533.1.p1, XM_013779534.1.p1, XM_013779538.1.p1, XM_013779537.1.p1, XR_001269488.1.p1, XM_013779532.1.p1, XM_013779535.1.p1
OG0000020	NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1	XM_013732153.1.p1, XM_013775750.1.p1
OG0000020	NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1	XM_013734509.1.p1, XM_013734510.1.p1
OG0000020	NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_013736229.1.p1, XM_013736525.1.p1, XM_013736527.1.p1, XM_013736526.1.p1, XM_013736528.1.p1, XM_013736183.1.p1
OG0000021	NM_111666.4.p1	XM_013767070.1.p1
OG0000021	NM_113293.5.p1	XM_013743975.1.p1
OG0000021	NM_111499.4.p1	XM_013768684.1.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1	XM_013765395.1.p1
OG0000021	NM_001341541.1.p1	XM_013775062.1.p1, XR_001268772.1.p1, XM_013774416.1.p1, XM_013774415.1.p1, XM_013775201.1.p1
OG0000022	NM_001338589.1.p1, NM_113146.2.p1	XM_013745592.1.p1, XM_013744538.1.p1, XM_013745372.1.p1, XM_013749584.1.p1, XM_013749234.1.p1
OG0000022	NM_001332043.1.p1, NM_001332042.1.p1	XM_013745595.1.p1, XM_013745593.1.p1
OG0000022	NM_001341830.1.p1	XM_013734575.1.p1, XM_013734567.1.p1
OG0000022	NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1	XM_013780515.1.p1, XM_013780514.1.p1
OG0000022	NM_121670.4.p1	XM_013757794.1.p1, XM_013757796.1.p1, XM_013757795.1.p1, XM_013757793.1.p1, XM_013755603.1.p1
OG0000022	NM_104949.2.p1	XM_013750712.1.p1
OG0000022	NM_001334048.1.p1, NM_104945.3.p1	XM_013751002.1.p1
OG0000022	NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1	XM_013757817.1.p1
OG0000022	NM_118814.3.p1	XM_013769695.1.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1	XM_013751328.1.p1, XM_013754005.1.p1, XM_013754006.1.p1, XM_013765874.1.p1
OG0000024	NM_123735.4.p1	XM_013734775.1.p1, XM_013746014.1.p1, XM_013735186.1.p1, XM_013747129.1.p1, XM_013735419.1.p1, XM_013767188.1.p1, XM_013768305.1.p1, XM_013767189.1.p1, XM_013767190.1.p1
OG0000024	NM_102583.2.p1	XM_013779140.1.p1, XM_013779768.1.p1, XM_013759144.1.p1, XM_013753155.1.p1, XM_013754756.1.p1, XM_013771691.1.p1
OG0000024	NM_118761.1.p1	XM_013742503.1.p1, XM_013734032.1.p1
OG0000024	NM_126422.3.p1	XM_013730327.1.p1, XM_013771939.1.p1, XM_013765873.1.p1, XM_013751505.1.p1
OG0000024	NM_101717.3.p1	XM_013783166.1.p1
OG0000024	NM_106069.3.p1	XM_013754962.1.p1, XM_013752260.1.p1, XM_013753866.1.p1, XM_013754515.1.p1, XM_013775407.1.p1, XM_013733021.1.p1, XM_013734566.1.p1
OG0000024	NM_106070.2.p1	XM_013766107.1.p1, XM_013732794.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_013763359.1.p1, XM_013754030.1.p1, XM_013771418.1.p1
OG0000026	NM_001335842.1.p1, NM_117679.2.p1	XM_013763986.1.p1
OG0000026	NM_113867.5.p1, NM_001339024.1.p1	XM_013782414.1.p1
OG0000026	NM_112309.2.p1	XM_013772266.1.p1
OG0000026	NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1	XM_013752080.1.p1
OG0000026	NM_114026.2.p1	XM_013772154.1.p1
OG0000026	NM_103094.3.p1	XM_013761546.1.p1
OG0000026	NM_122301.4.p1	XM_013737994.1.p1, XM_013764500.1.p1
OG0000027	NM_001344543.1.p1	XM_013741901.1.p1
OG0000027	NM_118204.2.p1	XM_013764357.1.p1, XM_013731510.1.p1
OG0000027	NM_123808.4.p1	XM_013750892.1.p1
OG0000027	NM_001344545.1.p1	XM_013741224.1.p1
OG0000027	NM_118200.2.p1	XM_013759352.1.p1
OG0000027	NM_001332928.1.p1	XM_013738785.1.p1, XM_013782707.1.p1
OG0000027	NM_129032.5.p1	XM_013780986.1.p1, XM_013780803.1.p1
OG0000027	NM_123807.4.p1	XM_013751204.1.p1
OG0000027	NM_001344544.1.p1, NM_123806.3.p1	XM_013751975.1.p1
OG0000027	NM_102806.3.p1	XM_013759197.1.p1, XM_013783437.1.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1	XM_013743194.1.p1, XM_013780084.1.p1, XM_013745432.1.p1, XM_013768222.1.p1, XM_013743193.1.p1
OG0000027	NM_101049.3.p1	XM_013729083.1.p1, XM_013744510.1.p1
OG0000027	NM_102403.3.p1	XM_013728756.1.p1
OG0000027	NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1	XM_013783438.1.p1
OG0000027	NM_118198.2.p1	XM_013759347.1.p1, XM_013759350.1.p1
OG0000027	NM_102807.4.p1	XM_013741394.1.p1
OG0000028	NM_119736.1.p1	XM_013772637.1.p1
OG0000028	NM_119734.3.p1	XM_013731969.1.p1, XM_013741666.1.p1
OG0000028	NM_127322.2.p1	XM_013755275.1.p1
OG0000028	NM_127262.2.p1	XM_013772625.1.p1
OG0000028	NM_127263.2.p1	XM_013741615.1.p1, XM_013772142.1.p1
OG0000028	NM_119686.2.p1, NM_119687.2.p1	XM_013772491.1.p1, XM_013772576.1.p1, XM_013741862.1.p1
OG0000029	NM_103903.2.p1	XM_013766726.1.p1
OG0000029	NM_148340.1.p1	XR_001269179.1.p1
OG0000029	NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1	XM_013760090.1.p1, XM_013778360.1.p1, XM_013777077.1.p1, XM_013742782.1.p1
OG0000029	NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1	XM_013729615.1.p1
OG0000029	NM_001333859.1.p1, NM_001333858.1.p1	XM_013770934.1.p1, XM_013751463.1.p1, XM_013751462.1.p1, XM_013765585.1.p1, XM_013765586.1.p1, XM_013762610.1.p1, XM_013762612.1.p1, XM_013762616.1.p1, XM_013761837.1.p1
OG0000029	NM_114520.3.p1	XM_013730047.1.p1
OG0000030	NM_113029.4.p1, NM_001338528.1.p1	XM_013770256.1.p1
OG0000030	NM_001335227.1.p1, NM_126462.1.p1	XM_013770257.1.p1
OG0000030	NM_128458.2.p1	XM_013779168.1.p1
OG0000030	NM_125360.3.p1	XM_013762822.1.p1, XM_013762823.1.p1
OG0000030	NM_001345363.1.p1, NM_125357.1.p1	XM_013763413.1.p1, XM_013763411.1.p1, XM_013763408.1.p1, XM_013763412.1.p1, XM_013763407.1.p1, XM_013763406.1.p1
OG0000030	NM_100630.3.p1	XM_013750469.1.p1
OG0000030	NM_104065.2.p1, NM_001333511.1.p1	XM_013737222.1.p1, XM_013749667.1.p1, XM_013749666.1.p1, XM_013734513.1.p1
OG0000030	NM_104061.3.p1	XM_013779033.1.p1, XM_013768383.1.p1
OG0000030	NM_119090.2.p1	XM_013768401.1.p1
OG0000030	NM_001341960.1.p1	XM_013739961.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1	XM_013729409.1.p1
OG0000030	NM_127476.2.p1	XM_013740962.1.p1
OG0000030	NM_119145.3.p1, NM_001341987.1.p1	XM_013752633.1.p1
OG0000030	NM_127480.4.p1, NM_127478.1.p1	XM_013741227.1.p1
OG0000030	NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1	XM_013733366.1.p1
OG0000030	NM_104071.3.p1	XM_013735400.1.p1, XM_013733581.1.p1
OG0000030	NM_104068.3.p1, NM_001333515.1.p1	XM_013767617.1.p1, XM_013767618.1.p1, XM_013735140.1.p1, XM_013735139.1.p1, XM_013734820.1.p1
OG0000030	NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1	XM_013733357.1.p1
OG0000030	NM_104059.3.p1	XM_013733375.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1	XM_013776707.1.p1
OG0000032	NM_123182.4.p1	XM_013781386.1.p1, XM_013781385.1.p1
OG0000032	NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_013752543.1.p1, XM_013735984.1.p1, XM_013735022.1.p1, XM_013735986.1.p1, XM_013764709.1.p1, XM_013764710.1.p1
OG0000032	NM_148636.2.p1	XM_013731684.1.p1, XM_013748392.1.p1
OG0000032	NM_101697.6.p1	XM_013731683.1.p1
OG0000032	NM_001160877.1.p1	XM_013731682.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_013730599.1.p1, XM_013730596.1.p1, XM_013730598.1.p1, XM_013737609.1.p1
OG0000033	NM_128102.6.p1	XM_013781539.1.p1, XM_013781538.1.p1
OG0000033	NM_001336304.1.p1, NM_128637.4.p1	XM_013781052.1.p1
OG0000033	NM_100542.4.p1, NM_179271.2.p1, NM_100541.4.p1, NM_202045.3.p1, NM_001160843.2.p1	XM_013747995.1.p1, XM_013747997.1.p1, XM_013747996.1.p1, XM_013730943.1.p1
OG0000033	NM_001331635.1.p1, NM_100539.3.p1	XM_013730944.1.p1, XM_013730580.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1	XM_013729330.1.p1
OG0000033	NM_100315.4.p1	XM_013783396.1.p1, XM_013746909.1.p1, XM_013745163.1.p1
OG0000033	NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_013767457.1.p1, XM_013770415.1.p1, XM_013774178.1.p1, XM_013774177.1.p1, XM_013774179.1.p1
OG0000034	NM_125108.4.p1	XM_013771740.1.p1
OG0000034	NM_113538.2.p1, NM_113537.2.p1	XM_013759443.1.p1
OG0000034	NM_001338796.1.p1	XM_013743988.1.p1, XM_013756811.1.p1
OG0000034	NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1	XM_013763151.1.p1
OG0000034	NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1	XM_013737984.1.p1, XM_013754288.1.p1, XM_013760534.1.p1
OG0000034	NM_113522.1.p1, NM_113523.1.p1	XM_013737996.1.p1, XM_013754472.1.p1
OG0000034	NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1	XM_013766214.1.p1, XM_013738801.1.p1
OG0000034	NM_115188.5.p1	XM_013735119.1.p1
OG0000034	NM_114293.2.p1	XM_013747796.1.p1, XM_013747795.1.p1
OG0000034	NM_113526.1.p1	XM_013740932.1.p1
OG0000034	NM_113527.2.p1	XM_013743324.1.p1, XM_013757930.1.p1
OG0000034	NM_101181.3.p1	XM_013746941.1.p1, XM_013728857.1.p1, XM_013766907.1.p1
OG0000034	NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1	XM_013750145.1.p1
OG0000034	NM_113528.4.p1	XM_013740725.1.p1, XM_013765950.1.p1
OG0000034	NM_179322.1.p1, NM_101178.4.p1	XM_013764420.1.p1, XM_013776801.1.p1, XM_013744029.1.p1, XM_013754272.1.p1, XM_013745601.1.p1, XM_013745270.1.p1, XM_013747660.1.p1
OG0000034	NM_119299.3.p1	XM_013749594.1.p1
OG0000034	NM_117451.4.p1	XM_013778451.1.p1, XM_013781410.1.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_013738809.1.p1, XM_013740317.1.p1, XM_013767845.1.p1, XM_013767113.1.p1, XM_013745419.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_013744216.1.p1, XM_013744218.1.p1, XM_013766315.1.p1, XM_013766316.1.p1, XM_013761263.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XM_013755528.1.p1, XM_013755529.1.p1, XM_013760665.1.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XM_013783133.1.p1, XR_001270020.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1	XM_013779664.1.p1
OG0000039	NM_123280.3.p1, NM_123273.2.p1	XM_013779200.1.p1, XM_013735038.1.p1
OG0000039	NM_111469.3.p1	XM_013732896.1.p1
OG0000039	NM_117545.4.p1	XM_013749825.1.p1
OG0000039	NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_013779623.1.p1, XM_013779716.1.p1, XM_013754904.1.p1
OG0000041	NM_103687.2.p1	XM_013742073.1.p1
OG0000041	NM_001338723.1.p1, NM_113404.3.p1, NM_001338726.1.p1, NM_113406.2.p1, NM_001338731.1.p1	XM_013776219.1.p1, XM_013780957.1.p1, XM_013776766.1.p1, XM_013776543.1.p1, XM_013780355.1.p1, XM_013781770.1.p1
OG0000041	NM_001336409.1.p1	XM_013781894.1.p1, XM_013778065.1.p1
OG0000041	NR_140705.1.p1, NR_140701.1.p1, NR_140702.1.p1, NR_140704.1.p1, NR_140703.1.p1, NR_140700.1.p1, NR_140699.1.p1, NR_140707.1.p1	XM_013772054.1.p1, XM_013775647.1.p1
OG0000041	NM_128866.4.p1	XM_013780403.1.p1, XM_013781056.1.p1, XM_013777134.1.p1
OG0000041	NM_123381.3.p1	XM_013777839.1.p1, XM_013776760.1.p1, XM_013747663.1.p1, XM_013745142.1.p1, XM_013779698.1.p1, XM_013747918.1.p1, XM_013748697.1.p1, XM_013748698.1.p1
OG0000041	NM_117456.6.p1	XM_013745460.1.p1, XM_013765660.1.p1, XM_013763721.1.p1, XM_013779522.1.p1, XM_013776822.1.p1, XM_013776823.1.p1, XM_013775858.1.p1
OG0000041	NM_111439.4.p1	XM_013767755.1.p1
OG0000041	NM_111438.3.p1	XM_013780447.1.p1
OG0000041	NM_127070.3.p1, NM_179626.1.p1	XM_013771876.1.p1, XM_013770949.1.p1, XM_013777284.1.p1
OG0000042	NM_112323.5.p1	XM_013728127.1.p1
OG0000042	NM_112324.2.p1, NM_001338127.1.p1	XM_013729455.1.p1, XM_013771588.1.p1
OG0000042	NM_001338129.1.p1	XM_013760053.1.p1, XM_013758889.1.p1
OG0000042	NM_112322.3.p1	XM_013782416.1.p1
OG0000043	NM_147968.1.p1	XM_013764369.1.p1
OG0000043	NM_103306.1.p1	XR_001264409.1.p1
OG0000044	NM_118742.2.p1	XM_013748224.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1	XM_013730294.1.p1
OG0000044	NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1	XM_013759475.1.p1, XM_013759474.1.p1, XM_013735936.1.p1, XM_013736667.1.p1
OG0000044	NM_124097.2.p1	XM_013747439.1.p1
OG0000044	NM_125696.4.p1	XM_013781940.1.p1
OG0000044	NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1	XM_013738298.1.p1
OG0000044	NM_001198041.2.p1	XM_013748931.1.p1
OG0000044	NM_101100.2.p1, NM_001332027.1.p1	XM_013737011.1.p1
OG0000044	NM_001332021.1.p1, NM_001332023.1.p1	XM_013745177.1.p1, XM_013730342.1.p1
OG0000044	NM_001340685.1.p1, NM_001332028.1.p1	XM_013745237.1.p1, XM_013745235.1.p1
OG0000044	NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XR_001264611.1.p1, XR_001264612.1.p1, XM_013753172.1.p1, XM_013751373.1.p1, XM_013750442.1.p1
OG0000045	NM_124796.4.p1	XM_013770924.1.p1, XM_013732294.1.p1, XM_013740754.1.p1, XM_013752710.1.p1, XM_013774846.1.p1, XM_013757061.1.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1	XM_013743945.1.p1, XM_013759550.1.p1, XM_013747047.1.p1, XM_013732204.1.p1, XM_013746862.1.p1
OG0000045	NM_106329.3.p1	XM_013737424.1.p1, XM_013733318.1.p1
OG0000045	NM_106402.2.p1, NM_001334785.1.p1	XM_013735097.1.p1
OG0000045	NM_106401.4.p1	XM_013738425.1.p1, XM_013738423.1.p1, XM_013762562.1.p1, XM_013761023.1.p1
OG0000045	NM_124760.3.p1	XM_013758451.1.p1
OG0000045	NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_013747091.1.p1
OG0000047	NM_120393.6.p1	XM_013768198.1.p1, XM_013750961.1.p1, XM_013750962.1.p1, XM_013763495.1.p1
OG0000047	NM_001345421.1.p1, NM_001339201.1.p1, NM_114395.4.p1	XM_013762203.1.p1, XM_013767342.1.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1	XM_013774870.1.p1
OG0000047	NM_001340394.1.p1	XM_013764039.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1	XM_013738758.1.p1
OG0000047	NM_100263.4.p1	XM_013747919.1.p1, XM_013728591.1.p1
OG0000047	NM_126071.5.p1	XM_013750630.1.p1, XM_013765567.1.p1
OG0000047	NM_114930.6.p1	XM_013744058.1.p1
OG0000048	NM_111458.5.p1	XM_013782356.1.p1, XM_013775216.1.p1, XM_013730772.1.p1
