Orthogroup	Arabidopsis_thaliana_rna_prot	Quercus_robur_rna_prot
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_050413750.1.p1, XM_050413752.1.p1, XM_050413751.1.p1, XM_050413746.1.p1, XM_050413744.1.p1, XM_050422405.1.p1, XM_050423528.1.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_050400936.1.p1, XM_050399440.1.p1, XM_050399438.1.p1, XM_050399436.1.p1, XM_050399439.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_050384786.1.p1, XM_050384792.1.p1, XM_050384798.1.p1, XM_050384803.1.p1, XM_050422730.1.p1, XM_050423686.1.p1, XM_050422641.1.p1, XM_050422671.1.p1, XM_050422651.1.p1, XM_050384816.1.p1, XM_050417220.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_050383469.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1	XM_050406303.1.p1, XM_050420486.1.p1, XM_050420484.1.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_050397771.1.p1, XM_050392255.1.p1, XM_050392256.1.p1, XM_050392252.1.p1, XM_050393050.1.p1, XM_050392260.1.p1, XM_050392259.1.p1, XM_050405587.1.p1, XM_050406457.1.p1, XM_050406314.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_050395408.1.p1, XM_050395409.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_007649336.1.p1, XR_007649335.1.p1, XR_007649334.1.p1, XM_050409319.1.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_007652339.1.p1, XR_007652340.1.p1, XM_050417982.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_050431464.1.p1, XM_050431466.1.p1, XM_050431475.1.p1, XM_050431476.1.p1, XM_050431474.1.p1, XM_050431467.1.p1, XM_050431471.1.p1, XM_050428713.1.p1, XM_050414139.1.p1, XM_050406471.1.p1, XM_050428735.1.p1, XM_050428922.1.p1, XM_050428928.1.p1, XM_050428759.1.p1, XM_050428758.1.p1, XM_050420268.1.p1, XM_050428935.1.p1, XM_050420269.1.p1, XM_050420271.1.p1, XM_050420270.1.p1, XM_050428916.1.p1, XM_050428886.1.p1, XM_050428724.1.p1, XM_050428809.1.p1, XM_050424893.1.p1, XM_050424907.1.p1, XM_050402248.1.p1, XM_050404513.1.p1, XM_050402285.1.p1, XM_050398692.1.p1, XM_050398696.1.p1, XM_050398691.1.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_050404005.1.p1, XM_050399229.1.p1
OG0000041	NM_128862.2.p1, NM_001338723.1.p1, NM_113404.3.p1, NM_001338726.1.p1, NM_113406.2.p1, NM_001338731.1.p1, NM_128827.2.p1, NM_128868.2.p1, NM_128101.1.p1, NM_001336409.1.p1, NR_140705.1.p1, NR_140701.1.p1, NR_140702.1.p1, NR_140704.1.p1, NR_140703.1.p1, NR_140700.1.p1, NR_140699.1.p1, NR_140707.1.p1, NM_128866.4.p1, NM_001338724.1.p1, NM_001338725.1.p1, NM_001338727.1.p1, NM_128863.1.p1, NM_123381.3.p1, NM_001203793.2.p1, NM_001340887.1.p1, NM_001340886.1.p1, NM_117456.6.p1, NM_117462.2.p1, NR_142331.1.p1	XM_050405133.1.p1
OG0000041	NM_122492.1.p1, NM_001335446.1.p1, NM_001161180.2.p1, NM_001343991.1.p1, NM_111938.3.p1, NM_001337907.1.p1, NM_001337908.1.p1, NM_001337906.1.p1, NM_001337913.1.p1, NM_111439.4.p1, NM_111438.3.p1, NM_127070.3.p1, NM_179626.1.p1	XM_050418172.1.p1, XR_007652867.1.p1, XM_050418173.1.p1, XM_050421925.1.p1, XM_050419206.1.p1, XM_050421352.1.p1, XM_050422447.1.p1, XM_050422449.1.p1, XM_050398130.1.p1, XM_050421983.1.p1, XM_050433844.1.p1, XM_050433849.1.p1, XM_050433864.1.p1, XM_050422247.1.p1, XM_050433853.1.p1, XM_050433839.1.p1, XM_050421806.1.p1, XM_050421810.1.p1, XM_050422446.1.p1, XM_050420332.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_050400736.1.p1, XM_050411847.1.p1, XM_050423747.1.p1, XM_050430390.1.p1
OG0000043	NM_147994.4.p1	XM_050385205.1.p1, XM_050393175.1.p1, XM_050421727.1.p1, XM_050393255.1.p1, XM_050433662.1.p1, XM_050403791.1.p1, XM_050408193.1.p1, XM_050383083.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_050433886.1.p1, XR_007655599.1.p1, XM_050417440.1.p1
OG0000045	NM_124796.4.p1	XM_050398166.1.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_050395234.1.p1, XM_050395235.1.p1, XM_050395236.1.p1
OG0000045	NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_050385799.1.p1, XM_050385795.1.p1, XM_050385797.1.p1, XM_050385803.1.p1, XM_050423449.1.p1, XM_050412856.1.p1
OG0000047	NM_120393.6.p1	XM_050386995.1.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_050408492.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_050392438.1.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_050411436.1.p1, XM_050435505.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_050417614.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1	XM_050392533.1.p1
OG0000048	NM_117987.4.p1	XM_050431440.1.p1
OG0000048	NM_121468.4.p1	XM_050415239.1.p1
OG0000048	NM_116297.4.p1	XM_050393780.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_050416924.1.p1
OG0000049	NR_143695.1.p1, NR_143694.1.p1, NR_143696.1.p1	XM_050420292.1.p1, XM_050420295.1.p1, XM_050422238.1.p1, XM_050427149.1.p1, XM_050425680.1.p1, XM_050420293.1.p1, XM_050422242.1.p1
OG0000050	NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_050385775.1.p1
OG0000050	NM_001203987.1.p1	XM_050406699.1.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_050401181.1.p1
OG0000050	NM_119039.3.p1	XM_050413631.1.p1
OG0000050	NM_130033.3.p1	XM_050426605.1.p1
OG0000050	NM_123965.2.p1	XM_050431193.1.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_050406855.1.p1
OG0000051	NM_121018.4.p1	XM_050436545.1.p1
OG0000052	NM_120688.3.p1	XM_050394599.1.p1
OG0000052	NM_128482.4.p1	XM_050434550.1.p1, XM_050434544.1.p1
OG0000052	NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1	XM_050434453.1.p1, XM_050434457.1.p1, XM_050434462.1.p1, XM_050434489.1.p1, XM_050434501.1.p1, XM_050434503.1.p1, XM_050394116.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_050423260.1.p1, XM_050423259.1.p1, XM_050423258.1.p1, XM_050423616.1.p1, XM_050425474.1.p1, XM_050426548.1.p1, XM_050398683.1.p1, XM_050398717.1.p1, XM_050398740.1.p1, XM_050399113.1.p1, XM_050399123.1.p1, XM_050396627.1.p1, XM_050396628.1.p1, XM_050398744.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_050410506.1.p1, XM_050389947.1.p1, XM_050389091.1.p1, XM_050393264.1.p1, XM_050389093.1.p1, XM_050389088.1.p1, XM_050389087.1.p1, XM_050408019.1.p1, XM_050394408.1.p1, XR_007646239.1.p1, XM_050406110.1.p1, XM_050402316.1.p1, XM_050422954.1.p1, XM_050422953.1.p1, XM_050433655.1.p1, XM_050397531.1.p1, XM_050391649.1.p1, XM_050398958.1.p1, XM_050406819.1.p1, XM_050385051.1.p1, XM_050385440.1.p1, XM_050403862.1.p1, XM_050383429.1.p1, XM_050383430.1.p1, XM_050432938.1.p1, XM_050390849.1.p1, XM_050424333.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_050435641.1.p1
OG0000055	NM_114904.4.p1	XM_050435643.1.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_050388063.1.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_050388313.1.p1, XM_050388664.1.p1, XM_050390453.1.p1, XM_050388325.1.p1, XM_050388665.1.p1, XM_050388327.1.p1, XM_050388328.1.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XR_007656450.1.p1, XM_050434729.1.p1, XM_050434714.1.p1, XM_050434726.1.p1, XM_050434744.1.p1, XM_050434668.1.p1, XM_050434659.1.p1, XM_050434595.1.p1, XM_050434701.1.p1, XM_050434008.1.p1
OG0000057	NM_001335933.1.p1	XM_050408493.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XM_050416195.1.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_050430801.1.p1
OG0000057	NM_101587.2.p1	XM_050429113.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_050402440.1.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_050428272.1.p1, XM_050428273.1.p1, XM_050428313.1.p1, XM_050428316.1.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_050428306.1.p1, XM_050428304.1.p1, XM_050428302.1.p1, XM_050428291.1.p1, XM_050428289.1.p1, XM_050428287.1.p1, XM_050428286.1.p1, XM_050428296.1.p1, XM_050428294.1.p1, XM_050428292.1.p1, XM_050428285.1.p1, XM_050428298.1.p1, XM_050428299.1.p1, XM_050428300.1.p1, XM_050428290.1.p1, XM_050425949.1.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_050393394.1.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_050391736.1.p1
OG0000060	NM_121906.4.p1	XM_050384398.1.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_050399613.1.p1
OG0000060	NM_126206.4.p1	XM_050415750.1.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_050389122.1.p1, XM_050389129.1.p1, XM_050389130.1.p1, XM_050426529.1.p1, XM_050426531.1.p1, XM_050389125.1.p1, XM_050389120.1.p1, XM_050389925.1.p1, XM_050389927.1.p1, XM_050389117.1.p1, XM_050426004.1.p1, XM_050389119.1.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_050419950.1.p1, XM_050419949.1.p1
OG0000062	NM_123217.3.p1	XM_050413925.1.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_050420725.1.p1
OG0000062	NM_113366.3.p1	XM_050415737.1.p1
OG0000062	NM_001338692.1.p1	XM_050430224.1.p1, XM_050430227.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_050384862.1.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_050404040.1.p1
OG0000064	NM_126167.1.p1	XM_050408076.1.p1, XM_050408310.1.p1, XM_050399311.1.p1, XM_050393078.1.p1, XM_050398863.1.p1, XM_050385136.1.p1, XM_050386343.1.p1, XM_050403664.1.p1, XM_050386487.1.p1, XM_050403997.1.p1, XM_050433720.1.p1, XM_050424521.1.p1, XM_050408152.1.p1, XM_050385177.1.p1, XM_050421905.1.p1, XM_050393167.1.p1, XM_050385032.1.p1, XM_050421705.1.p1, XM_050405301.1.p1, XM_050410508.1.p1, XM_050384947.1.p1, XM_050404054.1.p1, XM_050393137.1.p1, XM_050421763.1.p1, XM_050393217.1.p1, XM_050385220.1.p1, XM_050393027.1.p1, XM_050393363.1.p1, XM_050422414.1.p1, XM_050433818.1.p1, XM_050407972.1.p1, XM_050403349.1.p1, XM_050398276.1.p1, XM_050402997.1.p1, XM_050424354.1.p1, XM_050386149.1.p1, XM_050407892.1.p1, XM_050421927.1.p1, XM_050393088.1.p1, XM_050392565.1.p1, XM_050400153.1.p1, XM_050393091.1.p1, XM_050402886.1.p1, XM_050398877.1.p1, XM_050399162.1.p1, XM_050403739.1.p1, XM_050403335.1.p1, XM_050421817.1.p1, XM_050434142.1.p1, XM_050425572.1.p1, XM_050404132.1.p1, XM_050388870.1.p1, XM_050384799.1.p1, XM_050404032.1.p1, XM_050403310.1.p1, XM_050408074.1.p1, XM_050421949.1.p1, XM_050399088.1.p1, XM_050384817.1.p1, XM_050384986.1.p1, XM_050408136.1.p1, XM_050392842.1.p1, XM_050386148.1.p1, XM_050385200.1.p1, XM_050404063.1.p1, XM_050386545.1.p1, XM_050392066.1.p1, XM_050403255.1.p1, XM_050433649.1.p1, XM_050392761.1.p1, XR_007644554.1.p1, XM_050403938.1.p1, XM_050398962.1.p1, XM_050434505.1.p1, XM_050422549.1.p1, XM_050429588.1.p1
OG0000065	NM_116364.1.p1	XM_050404130.1.p1, XM_050422515.1.p1, XR_007654326.1.p1, XM_050411233.1.p1, XM_050398517.1.p1, XM_050418277.1.p1, XM_050418276.1.p1, XM_050418272.1.p1, XM_050418271.1.p1, XM_050418268.1.p1, XM_050418267.1.p1, XM_050418278.1.p1, XM_050418270.1.p1, XM_050418282.1.p1, XM_050418210.1.p1
