Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0000021	NM_111666.4.p1	XM_016890336.2.p1, XM_041097811.1.p1, XR_005929870.1.p1
OG0000021	NM_113293.5.p1	XM_016867782.2.p1, XM_016867781.2.p1, XM_041100252.1.p1, XM_016867757.1.p1, XM_016817530.1.p1
OG0000021	NM_111499.4.p1	XM_016813174.2.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XR_005915024.1.p1, XR_005915027.1.p1, XR_005915025.1.p1, XR_005915023.1.p1, XM_041095949.1.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1	XM_016829916.2.p1, XM_016829914.2.p1, XM_041102248.1.p1, XM_041102249.1.p1, XM_041102247.1.p1, XM_016843695.2.p1, XM_016843694.2.p1, XM_016843692.2.p1
OG0000022	NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_041101543.1.p1, XM_041101542.1.p1, XM_016863185.2.p1, XM_016843770.2.p1, XM_016843772.2.p1, XM_016858635.1.p1, XM_016819879.1.p1, XM_016819518.2.p1, XM_016891874.1.p1, XM_016813977.2.p1, XM_016813987.2.p1, XM_041111063.1.p1, XM_041111064.1.p1, XR_005925543.1.p1, XR_005925544.1.p1, XR_005925542.1.p1, XM_041101949.1.p1, XM_016829920.2.p1
OG0000022	NM_118814.3.p1	XM_041077597.1.p1, XM_016854524.2.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_016857560.2.p1, XM_016857561.2.p1, XM_016888624.2.p1, XM_016857516.2.p1, XM_016885263.2.p1, XM_016886882.2.p1, XM_016884750.1.p1, XM_041084292.1.p1, XM_041089846.1.p1, XM_016885260.2.p1, XM_016885261.2.p1, XM_016885262.2.p1, XM_016884749.2.p1, XM_016884751.1.p1, XM_016819720.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_016858622.2.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_041079441.1.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_016881904.2.p1, XM_041083757.1.p1, XM_016869592.2.p1, XM_016869655.2.p1, XM_016882259.2.p1, XM_016858421.2.p1, XM_016867318.2.p1, XM_041089404.1.p1, XM_041088018.1.p1, XM_016858430.1.p1, XM_016867319.2.p1, XM_041088302.1.p1, XM_016866865.2.p1, XM_016858606.2.p1, XM_016853681.2.p1, XM_016852866.2.p1, XM_016815260.2.p1, XM_016824210.2.p1, XM_016871987.2.p1, XM_016826500.2.p1, XM_016861788.2.p1, XM_016843403.2.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_016819328.2.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_016898785.2.p1, XM_016867100.2.p1, XM_016855560.2.p1, XM_016855699.2.p1, XM_016855620.2.p1
OG0000027	NM_102403.3.p1, NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1, NM_118198.2.p1, NM_102807.4.p1, NM_103181.2.p1	XM_016899784.2.p1, XM_016833310.2.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_016887944.2.p1, XM_016894058.2.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_016848603.1.p1, XM_041086398.1.p1, XM_016853420.2.p1, XM_016882077.2.p1, XM_041084105.1.p1, XM_016810699.2.p1, XM_041092892.1.p1, XM_041087471.1.p1, XM_016874019.2.p1, XM_016851049.1.p1, XM_016850954.2.p1, XM_016838847.1.p1, XM_016848601.1.p1, XM_041087470.1.p1
OG0000029	NM_103903.2.p1	XM_041106331.1.p1, XM_016816968.2.p1
OG0000029	NM_148340.1.p1, NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_041104920.1.p1, XM_041104914.1.p1, XM_016874994.2.p1, XM_041104918.1.p1, XM_041104394.1.p1, XM_016846606.2.p1, XM_041086904.1.p1, XM_041078651.1.p1, XM_041078583.1.p1, XM_041086905.1.p1, XM_016846978.2.p1, XM_016812714.2.p1, XM_041104875.1.p1, XM_041082189.1.p1, XM_041104873.1.p1, XM_016868284.2.p1, XM_041104872.1.p1, XM_016868254.2.p1, XM_041104870.1.p1, XM_041104381.1.p1, XM_016868276.2.p1, XM_016896786.1.p1, XM_016877830.2.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_016854177.2.p1, XM_016836926.2.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1	XM_041115257.1.p1, XM_041115258.1.p1, XM_016899845.2.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_016870104.2.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_041108407.1.p1, XM_041108406.1.p1, XM_041081364.1.p1, XM_016841305.2.p1, XM_016841303.2.p1, XM_016841062.2.p1, XM_016841304.2.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_016815409.2.p1, XM_041076941.1.p1, XM_041101730.1.p1, XM_016812978.2.p1, XM_016816938.2.p1, XM_016812979.2.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_016835149.2.p1, XM_041100188.1.p1, XM_041100189.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_041089302.1.p1, XM_016853336.2.p1, XM_016854646.2.p1, XM_016854647.2.p1, XM_016868910.2.p1, XM_016859684.2.p1, XM_016859686.2.p1, XM_016854448.2.p1, XM_016853310.2.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1	XM_016880491.2.p1
OG0000034	NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1	XM_016835185.2.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_016844888.2.p1, XM_016821347.2.p1, XM_041078013.1.p1, XM_016844886.2.p1, XM_016844887.2.p1, XM_016821119.2.p1, XM_016821351.2.p1, XM_016821353.2.p1, XM_041102008.1.p1, XM_016821350.2.p1, XM_016863600.2.p1, XM_016836810.2.p1, XM_016866806.2.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_016836733.2.p1, XM_016810813.2.p1, XM_016836786.2.p1, XM_016810814.2.p1, XM_016810815.2.p1, XM_016897981.2.p1, XM_041108295.1.p1, XM_016864287.2.p1, XM_041090994.1.p1, XM_016824038.2.p1, XM_016818643.2.p1, XM_016818642.2.p1, XM_016883843.2.p1, XM_041090992.1.p1, XM_016818641.2.p1, XM_016823571.2.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_016861852.2.p1, XM_016861850.2.p1, XM_016861857.2.p1, XM_016861851.2.p1, XM_041076987.1.p1, XM_016861858.2.p1, XM_016815345.2.p1, XM_016815349.2.p1, XM_016815347.2.p1, XM_041101136.1.p1, XM_041101142.1.p1, XM_041101139.1.p1, XM_041101140.1.p1, XM_041101138.1.p1, XM_041101137.1.p1, XM_041101145.1.p1, XM_041101149.1.p1, XR_005904712.1.p1, XM_041080487.1.p1, XM_016852935.2.p1, XM_016830959.2.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XM_041106031.1.p1, XM_041106030.1.p1, XM_041106032.1.p1, XM_016854655.2.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_001690482.2.p1, XR_005922673.1.p1, XM_041108700.1.p1, XM_016849306.2.p1, XM_016849305.2.p1, XM_041108701.1.p1, XR_005922674.1.p1, XR_005922675.1.p1, XM_041108699.1.p1, XM_016818683.2.p1, XM_016818679.2.p1, XM_041085552.1.p1, XM_016818226.2.p1, XM_016812387.2.p1, XR_005907842.1.p1, XR_005907841.1.p1, XR_005923089.1.p1, XR_001681342.2.p1, XR_005907843.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_041081957.1.p1, XM_016852378.2.p1, XM_041084814.1.p1, XM_016873447.2.p1, XM_016817166.2.p1, XM_016890062.2.p1, XM_016898081.2.p1, XM_016831672.2.p1, XM_041082118.1.p1, XM_041104165.1.p1, XM_016898085.2.p1, XM_016893341.1.p1, XM_016899944.1.p1, XM_016899948.2.p1, XM_016831567.2.p1, XM_041080385.1.p1, XM_016898080.2.p1, XM_016892133.2.p1, XM_016885825.2.p1, XM_041109229.1.p1, XM_016869808.2.p1, XM_041109225.1.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_016816870.2.p1, XM_041076152.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_016859434.2.p1, XM_041075242.1.p1, XM_016891408.2.p1, XM_041074355.1.p1, XM_016866184.2.p1, XM_041074347.1.p1, XM_016891406.2.p1, XM_041086812.1.p1, XM_041086816.1.p1, XM_016891411.2.p1
OG0000044	NM_118742.2.p1	XM_016834365.2.p1, XM_041112866.1.p1
OG0000045	NM_124796.4.p1	XM_016881759.2.p1, XM_016883445.2.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_016852077.2.p1
OG0000045	NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_016861047.2.p1, XM_041083620.1.p1, XM_016861049.2.p1, XM_041107528.1.p1, XM_016861045.2.p1
OG0000047	NM_120393.6.p1	XM_016825424.2.p1, XM_016814097.2.p1, XM_016815799.2.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_016855347.2.p1, XM_016855384.2.p1, XM_016862424.2.p1, XM_016850901.2.p1, XM_016844062.2.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_041082998.1.p1, XM_041106891.1.p1, XM_016810871.2.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_016832057.2.p1, XM_041106516.1.p1, XM_041106517.1.p1, XM_041106515.1.p1, XM_016821565.2.p1, XM_016821560.2.p1, XM_041080850.1.p1, XM_016836868.2.p1, XR_005904781.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_016810413.2.p1
OG0000048	NM_117987.4.p1	XM_016816656.2.p1, XM_016813320.2.p1, XM_041096285.1.p1
OG0000048	NM_116297.4.p1	XM_041080925.1.p1, XM_016892741.2.p1, XM_016892739.2.p1, XM_041080924.1.p1, XM_041080923.1.p1, XM_016839976.2.p1, XM_041099567.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_041087518.1.p1, XR_005927107.1.p1, XM_016879069.2.p1, XM_016879068.2.p1
OG0000049	NR_143695.1.p1, NR_143694.1.p1, NR_143696.1.p1	XM_016879231.2.p1, XM_041082680.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_016821015.2.p1, XM_016836988.2.p1
OG0000050	NM_001203987.1.p1	XM_041108278.1.p1, XM_016846133.2.p1, XM_016852180.2.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_016872591.2.p1, XM_016872590.2.p1
OG0000050	NM_119039.3.p1	XM_016827179.2.p1, XM_041095663.1.p1, XM_016894600.2.p1
OG0000050	NM_130033.3.p1	XR_005899411.1.p1, XM_016885773.2.p1, XM_041075801.1.p1, XM_016845188.2.p1
OG0000050	NM_123965.2.p1	NM_001405306.1.p1, NM_001426024.1.p1, XM_016877048.2.p1, XM_016899552.2.p1
OG0000051	NM_001336956.1.p1	XM_041080745.1.p1
OG0000051	NM_001336954.1.p1, NM_001336953.1.p1	XM_041080746.1.p1
OG0000051	NM_103814.4.p1, NM_001338358.1.p1, NM_112764.4.p1, NM_001338359.1.p1	XM_016896040.2.p1, XM_041114188.1.p1
OG0000051	NM_115235.4.p1, NM_001339629.1.p1, NM_179953.3.p1, NM_001336664.1.p1, NM_001085300.1.p1, NM_125328.4.p1, NM_001339262.1.p1, NM_114519.3.p1	XM_016864996.2.p1, XM_041117672.1.p1, XM_016893661.2.p1, XM_016873324.2.p1, XM_016809803.2.p1, XM_016814809.2.p1, XM_016866846.2.p1, XM_041109900.1.p1
OG0000051	NM_121018.4.p1	NM_001327089.1.p1, NM_001399825.1.p1, NM_001326769.2.p1, XM_041114416.1.p1, XM_041090675.1.p1, NM_001327050.1.p1, XM_016825216.2.p1, XM_041103854.1.p1
OG0000052	NM_120688.3.p1	XM_041114173.1.p1
OG0000052	NM_128482.4.p1	XM_041093477.1.p1, XM_016833614.2.p1
OG0000052	NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1	XM_016895128.2.p1
OG0000052	NM_100618.5.p1, NM_100619.3.p1, NM_001124936.2.p1, NM_128483.3.p1, NM_128490.4.p1, NM_128472.1.p1, NM_179801.3.p1, NM_128489.3.p1, NM_201829.2.p1	XM_041085935.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_016838176.2.p1
OG0000054	NM_001339053.1.p1, NM_148535.1.p1	XM_016843425.2.p1, XM_041112638.1.p1, XR_005926844.1.p1, XM_041081425.1.p1, XM_041118010.1.p1, XR_001698574.2.p1, XM_016839635.2.p1, XR_001688003.2.p1, XR_005913424.1.p1, XR_005916861.1.p1, XM_041095453.1.p1, XM_041095452.1.p1, XM_041103982.1.p1, XM_041087377.1.p1, XM_016814600.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_041089181.1.p1, XM_016817111.2.p1, XM_041100330.1.p1, XM_041107458.1.p1, XM_041087376.1.p1, XM_016819391.2.p1, XM_041084061.1.p1, XM_041084062.1.p1, XM_041084058.1.p1, XM_041084059.1.p1, XM_041118007.1.p1, XM_041106489.1.p1, XM_041109156.1.p1, XM_041098145.1.p1, XM_041095333.1.p1, XM_041096750.1.p1, XM_041108834.1.p1, XR_001690718.2.p1, XM_041108833.1.p1, XM_041108832.1.p1, XM_041108830.1.p1, XM_041103052.1.p1, XR_005919625.1.p1, XR_005919627.1.p1, XR_005919626.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_016822428.2.p1, XM_016841604.2.p1
OG0000055	NM_114904.4.p1	XM_016841605.2.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_016815539.2.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_041097177.1.p1, XM_016883542.2.p1, XM_016825309.2.p1, XM_016814147.2.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XM_016895124.2.p1
OG0000057	NM_001335933.1.p1	XM_016870956.2.p1, XM_041113031.1.p1, XM_016828229.2.p1, XM_016897863.2.p1, XM_016818484.2.p1
OG0000057	NM_117242.1.p1	XM_016871002.2.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_041093654.1.p1, XM_041093655.1.p1, XM_041103073.1.p1, XM_041103072.1.p1, XM_016827768.2.p1
OG0000057	NM_101587.2.p1	XM_016842471.2.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_016809957.2.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_041077590.1.p1, XM_041077591.1.p1, XM_016863210.2.p1, XM_041077593.1.p1, XM_016863213.2.p1, XM_016863212.2.p1, XM_016895847.2.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_016866245.2.p1, XM_016830267.2.p1, XM_041092189.1.p1, XM_016874989.2.p1, XR_001680595.2.p1
OG0000060	NM_121906.4.p1	XM_016892502.2.p1, XM_016858812.2.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_016853965.2.p1, XM_016862788.2.p1
OG0000060	NM_126206.4.p1	XR_001691168.2.p1, XM_016851796.2.p1, XM_016837616.2.p1, XM_016837617.2.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1	XM_016867875.1.p1, XM_016867863.2.p1, XM_016863583.2.p1, XM_016879311.2.p1
OG0000061	NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_016879881.2.p1, XM_016846093.2.p1, XM_016869574.2.p1, XM_016889419.2.p1, XM_016841883.2.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_041083183.1.p1, XM_041083184.1.p1, XM_041107052.1.p1, XM_016880819.2.p1
OG0000062	NM_123217.3.p1	XM_016841259.2.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_041111266.1.p1, XM_016866968.2.p1
OG0000062	NM_113366.3.p1	XM_016834483.2.p1, XM_016899142.2.p1, XM_016827156.2.p1
OG0000062	NM_001338692.1.p1	XM_016887105.2.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_041081755.1.p1, XM_016841507.2.p1, XM_016844492.2.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_016866187.2.p1, XM_016859292.2.p1
