Orthogroup	Arabidopsis_thaliana_rna_prot	Triticum_aestivum_x_rna_prot
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1, NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_044573796.1.p1, XM_044588028.1.p1, XM_044588027.1.p1, XM_044588025.1.p1, XM_044580898.1.p1, XM_044573773.1.p1, XM_044588024.1.p1, XM_044558690.1.p1, XM_044562270.1.p1, XM_044489683.1.p1, XM_044489685.1.p1, XM_044489682.1.p1, XM_044498214.1.p1, XM_044562271.1.p1, XM_044551572.1.p1, XM_044551569.1.p1, XM_044555060.1.p1, XM_044503650.1.p1, XM_044496063.1.p1, XM_044587752.1.p1, XM_044587754.1.p1, XM_044587753.1.p1, XM_044567234.1.p1, XM_044579781.1.p1, XM_044577674.1.p1, XM_044579784.1.p1, XM_044588170.1.p1, XM_044571423.1.p1, XM_044581519.1.p2, XM_044579782.1.p1, XM_044579786.1.p1, XM_044577673.1.p1, XM_044588395.1.p1, XM_044588727.1.p1, XM_044576100.1.p1, XM_044576099.1.p1, XM_044508376.1.p1, XM_044518174.1.p1, XM_044512970.1.p1, XM_044512981.1.p1, XM_044512983.1.p1, XM_044512986.1.p1, XM_044512987.1.p1, XM_044512985.1.p1, XM_044512984.1.p1, XM_044508381.1.p1, XM_044512980.1.p1, XM_044512979.1.p1, XM_044512976.1.p1, XM_044512974.1.p1, XM_044512972.1.p1, XM_044512971.1.p1, XM_044512969.1.p1, XR_006443127.1.p1, XR_006443128.1.p1, XR_006443131.1.p1, XR_006443130.1.p1, XR_006443129.1.p1, XR_006443126.1.p1, XR_006443125.1.p1, XR_006443124.1.p1, XR_006443123.1.p1, XR_006443122.1.p1, XR_006443121.1.p1, XR_006443120.1.p1, XR_006443118.1.p1, XM_044508380.1.p1, XM_044508377.1.p1
OG0000029	NM_103903.2.p1, NM_148340.1.p1, NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_044579489.1.p1, XM_044561203.1.p1, XM_044559694.1.p1, XM_044559693.1.p1, XM_044554256.1.p1, XM_044554254.1.p1, XM_044559696.1.p1, XM_044484833.1.p1, XM_044484838.1.p1, XM_044558881.1.p1, XM_044484820.1.p1, XM_044595152.1.p1, XM_044569669.1.p1, XM_044464856.1.p1, XM_044578211.1.p1, XM_044578932.1.p1, XM_044569666.1.p1, XM_044569664.1.p1, XM_044569662.1.p1, XM_044582797.1.p1, XM_044569659.1.p1, XM_044576632.1.p1, XM_044576469.1.p1, XM_044463539.1.p1, XM_044464857.1.p1, XM_044473155.1.p1, XM_044604462.1.p1, XM_044525896.1.p1, XR_006455398.1.p1, XM_044533330.1.p1, XM_044525894.1.p1
OG0000030	NM_104062.3.p1, NM_113029.4.p1, NM_001338528.1.p1, NM_001335227.1.p1, NM_126462.1.p1, NM_128458.2.p1, NM_125360.3.p1, NM_001345363.1.p1, NM_125357.1.p1, NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1, NM_100630.3.p1, NM_128455.3.p1, NM_128459.3.p1, NM_001198271.1.p1, NM_104060.4.p1, NM_104065.2.p1, NM_001333511.1.p1, NM_001333504.1.p1, NM_001333505.1.p1, NM_104061.3.p1	XM_044552592.1.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1, NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_044501826.1.p1, XM_044562889.1.p1, XM_044577860.1.p1, XM_044503149.1.p1, XM_044487592.1.p1, XM_044518296.1.p1, XM_044595344.1.p1, XM_044591595.1.p1, XM_044595345.1.p1, XM_044519255.1.p1, XM_044518275.1.p1, XM_044505203.1.p1, XM_044518384.1.p1, XM_044466970.1.p1, XM_044577990.1.p1, XM_044592536.1.p1, XM_044535790.1.p1, XM_044535793.1.p1, XM_044516225.1.p1, XM_044516226.1.p1, XM_044546586.1.p1, XM_044591613.1.p1, XM_044560225.1.p1, XM_044466760.1.p1, XM_044466029.1.p1, XM_044503086.1.p1, XM_044466120.1.p1, XM_044503104.1.p1, XM_044589906.1.p1, XM_044503097.1.p1, XM_044589907.1.p1, XM_044578019.1.p1, XM_044518320.1.p1, XM_044580740.1.p1, XM_044575311.1.p1, XM_044506543.1.p1, XM_044478873.1.p1, XM_044506555.1.p1, XM_044583573.1.p1, XM_044552056.1.p1, XM_044555678.1.p1, XM_044562837.1.p1, XM_044562839.1.p1, XM_044552058.1.p1, XM_044552059.1.p1, XM_044555681.1.p1, XM_044555680.1.p1, XM_044562840.1.p1, XM_044562841.1.p1, XM_044555683.1.p1, XM_044562836.1.p1, XM_044555676.1.p1, XM_044555675.1.p1, XM_044555672.1.p1, XM_044555671.1.p1, XM_044555670.1.p1, XM_044552054.1.p1, XM_044552055.1.p1, XM_044507965.1.p1, XM_044518583.1.p1, XM_044531293.1.p1, XM_044528766.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1, NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1, NM_001332678.1.p1, NM_102350.3.p1	XM_044490997.1.p1, XM_044482440.1.p1, XM_044499116.1.p1, XM_044499100.1.p1, XM_044482452.1.p1, XM_044482444.1.p1, XM_044488042.1.p1, XM_044499108.1.p1, XM_044490978.1.p1, XM_044490981.1.p1, XM_044482448.1.p1, XM_044499097.1.p1, XM_044490975.1.p1, XM_044499107.1.p1, XM_044499099.1.p1, XM_044482450.1.p1, XM_044490976.1.p1, XM_044499117.1.p1, XM_044490998.1.p1, XM_044482439.1.p1, XM_044499101.1.p1, XM_044482451.1.p1, XM_044499098.1.p1, XM_044499103.1.p1, XM_044482454.1.p1, XM_044499109.1.p1, XM_044482441.1.p1, XM_044491000.1.p1, XM_044490999.1.p1, XM_044499115.1.p1, XM_044499118.1.p1, XM_044491002.1.p1, XM_044499120.1.p1, XM_044482442.1.p1, XM_044496600.1.p1, XM_044482549.1.p1, XM_044479970.1.p1, XM_044482551.1.p1, XM_044491026.1.p1, XM_044498494.1.p1, XM_044482554.1.p1, XM_044490125.1.p1, XM_044482449.1.p1, XM_044499104.1.p1, XM_044499110.1.p1, XM_044490980.1.p1, XM_044490979.1.p1, XM_044482453.1.p1, XM_044499102.1.p1, XM_044499119.1.p1, XM_044491001.1.p1, XM_044485110.1.p1, XM_044501592.1.p1, XM_044493771.1.p1, XM_044501593.1.p1, XM_044493774.1.p1, XM_044493773.1.p1, XM_044485111.1.p1, XM_044493775.1.p1, XM_044485114.1.p1, XM_044562904.1.p1, XM_044489609.1.p1, XM_044595631.1.p1, XM_044595632.1.p1
OG0000033	NR_138665.1.p1, NM_128102.6.p1, NM_128636.2.p1, NM_001336304.1.p1, NM_128637.4.p1, NM_100542.4.p1, NM_179271.2.p1, NM_100541.4.p1, NM_202045.3.p1, NM_001160843.2.p1, NM_001331635.1.p1, NM_100539.3.p1, NM_001340095.1.p1, NM_116004.2.p1, NM_100223.3.p1, NM_001331409.1.p1, NM_100222.3.p1, NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_044536012.1.p1, XM_044535974.1.p1, XM_044509451.1.p1, XM_044587431.1.p1, XM_044481669.1.p1, XM_044486798.1.p1, XM_044503174.1.p1, XM_044495538.1.p1, XM_044473903.1.p1, XM_044570408.1.p1, XM_044584555.1.p1, XM_044463207.1.p1, XM_044463206.1.p1, XR_006493839.1.p1, XM_044473988.1.p1, XM_044590124.1.p1, XM_044592440.1.p1, XM_044603564.1.p1, XM_044531841.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1, NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1	XM_044577132.1.p1, XM_044573447.1.p1, XM_044570599.1.p1, XM_044567513.1.p1, XM_044586945.1.p1, XM_044576847.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XR_006440205.1.p1, XR_006440204.1.p1, XR_006447347.1.p1, XR_006447349.1.p1, XR_006440206.1.p1, XR_006447351.1.p1, XM_044519278.1.p1, XM_044519275.1.p1, XM_044599406.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1, NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_006437773.1.p1, XR_006437782.1.p1, XR_006437780.1.p1, XR_006433784.1.p1, XR_006433783.1.p1, XR_006433782.1.p1, XR_006433778.1.p1, XR_006437772.1.p1, XM_044501568.1.p1, XR_006437776.1.p1, XR_006437774.1.p1, XR_006437775.1.p1, XR_006437762.1.p1, XR_006429335.1.p1, XR_006429333.1.p1, XR_006429330.1.p1, XR_006429329.1.p1, XR_006429327.1.p1, XR_006429328.1.p1, XR_006429323.1.p1, XR_006429324.1.p1, XR_006437768.1.p1, XR_006437765.1.p1, XR_006433780.1.p1, XR_006433781.1.p1, XR_006433779.1.p1, XR_006433777.1.p1, XR_006433775.1.p1, XR_006433776.1.p1, XM_044493745.1.p1, XR_006437760.1.p1, XM_044485089.1.p1, XM_044485090.1.p1, XM_044485091.1.p1, XM_044493747.1.p1, XM_044501566.1.p1, XM_044594115.1.p1, XM_044476640.1.p1, XR_006491884.1.p1, XM_044476648.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_044472508.1.p1, XM_044589120.1.p1, XM_044581859.1.p1, XM_044508464.1.p1, XM_044508455.1.p1, XM_044506095.1.p1, XM_044508476.1.p1, XM_044581847.1.p1, XM_044581819.1.p1, XM_044508447.1.p1, XM_044551179.1.p1, XM_044463229.1.p1, XM_044552803.1.p1, XM_044561956.1.p1, XM_044553796.1.p1, XM_044568328.1.p1, XM_044568332.1.p1, XM_044577572.1.p1, XM_044574837.1.p1, XM_044582425.1.p1, XM_044574851.1.p1, XM_044472883.1.p1, XM_044597888.1.p1, XM_044472886.1.p1, XM_044530282.1.p1, XM_044511714.1.p1, XM_044511313.1.p1, XM_044511314.1.p1, XM_044522593.1.p1, XM_044521336.1.p1, XM_044516036.1.p1, XM_044516041.1.p1, XM_044511316.1.p1, XM_044516030.1.p1, XM_044530302.1.p1, XM_044516029.1.p1, XM_044511309.1.p1, XM_044516033.1.p1, XM_044516031.1.p1, XM_044530287.1.p1, XM_044522588.1.p1, XM_044530283.1.p1, XM_044511315.1.p1, XM_044530307.1.p1, XM_044480449.1.p1, XM_044480451.1.p1, XM_044496679.1.p1, XM_044587931.1.p1, XM_044480450.1.p1, XM_044496680.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_044535265.1.p1, XM_044584187.1.p1, XM_044488725.1.p1, XM_044484680.1.p1, XM_044488726.1.p1, XM_044497356.1.p1, XM_044560826.1.p1, XM_044550701.1.p1, XM_044516800.1.p1, XM_044503992.1.p1, XM_044503991.1.p1, XM_044490004.1.p1, XM_044560550.1.p1, XM_044487702.1.p1, XM_044587418.1.p1, XM_044463817.1.p1, XM_044488724.1.p1, XM_044497355.1.p1, XM_044559273.1.p1, XM_044554100.1.p1, XM_044550993.1.p1, XM_044464842.1.p1, XM_044598100.1.p1, XM_044464840.1.p1, XM_044598102.1.p1, XM_044473129.1.p1, XM_044576691.1.p1, XM_044572989.1.p1, XM_044574568.1.p1, XM_044584288.1.p1, XM_044574567.1.p1, XM_044501187.1.p1, XM_044504840.1.p1, XM_044521480.1.p1, XM_044546276.1.p1, XM_044523767.1.p1, XM_044505230.1.p1, XM_044591632.1.p1, XM_044591631.1.p1
OG0000043	NM_103475.1.p1	XM_044495792.1.p1, XM_044467022.1.p1, XM_044525461.1.p1
OG0000043	NM_103306.1.p1	XM_044590023.1.p1
OG0000043	NM_147994.4.p1	XM_044528649.1.p1, XM_044597199.1.p1, XM_044556746.1.p1
OG0000044	NM_118742.2.p1	XM_044485733.1.p1, XM_044494501.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_044564465.1.p1, XM_044564449.1.p1, XM_044487288.1.p1, XM_044470817.1.p1, XM_044479042.1.p1
OG0000045	NM_124796.4.p1, NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1, NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_044489284.1.p1, XM_044496612.1.p1, XM_044526381.1.p1, XM_044549872.1.p1, XM_044559953.1.p1, XM_044554430.1.p1, XM_044574894.1.p1, XM_044504009.1.p1, XM_044566538.1.p1, XM_044465330.1.p1, XM_044488256.1.p1, XM_044585932.1.p1, XM_044585329.1.p1, XM_044473596.1.p1, XM_044465749.1.p1, XM_044598932.1.p1, XM_044473987.1.p1, XM_044465746.1.p1, XM_044546538.1.p1, XM_044591056.1.p1, XM_044546408.1.p1, XM_044543988.1.p1, XM_044536710.1.p1, XM_044591583.1.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_044552100.1.p1, XM_044560429.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_044497258.1.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_044515025.1.p1, XM_044520360.1.p1, XM_044506486.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_044509903.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1, NM_117987.4.p1	XM_044536562.1.p1, XM_044464320.1.p1, XM_044499969.1.p1, XM_044483397.1.p1
OG0000048	NM_116297.4.p1	XM_044472560.1.p1, XM_044593630.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_044491590.1.p1, XM_044491560.1.p1, XM_044509784.1.p1, XM_044544338.1.p1, XM_044535672.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1, NM_001203987.1.p1	XM_044558904.1.p1, XM_044484861.1.p1, XM_044595155.1.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_044558194.1.p1, XM_044564938.1.p1
OG0000050	NM_119039.3.p1	XM_044492190.1.p1, XM_044483636.1.p1, XM_044559731.1.p1, XM_044595255.1.p1, XM_044486523.1.p1
OG0000051	NM_001336956.1.p1	XM_044591529.1.p1
OG0000051	NM_103814.4.p1, NM_001338358.1.p1, NM_112764.4.p1, NM_001338359.1.p1	XM_044538637.1.p1, XM_044517480.1.p1, XM_044512240.1.p1
