Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0000021	NM_111499.4.p1	XM_015529374.1.p1, XM_015525343.2.p1, XM_006492734.2.p1, XM_052435999.1.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XM_025099602.2.p1, XM_025099603.2.p1, XM_025099604.2.p1, XM_052435110.1.p1
OG0000022	NM_118814.3.p1	XM_025102050.2.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_006477672.4.p1, XM_015529973.2.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_006465726.4.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	XM_025093210.1.p1, XM_025093207.2.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_006468280.4.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_006468295.3.p1, XM_025094662.2.p1, XM_052435390.1.p1, XM_015527101.3.p1, XM_006490419.3.p1, XM_015534059.3.p1, XM_025096667.2.p1, XM_006492538.4.p1, XM_006492530.3.p1, XM_052440972.1.p1, XM_025093167.2.p1, XM_006470969.4.p1, XM_052435389.1.p1, XM_006468286.4.p1, XM_052440512.1.p1, XM_006468294.3.p1, XM_052433636.1.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_006468282.4.p1, XM_006490129.4.p1
OG0000027	NM_102806.3.p1	XM_052440507.1.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_025094806.2.p1
OG0000027	NM_102403.3.p1, NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1, NM_118198.2.p1, NM_102807.4.p1, NM_103181.2.p1	XM_006465522.2.p1, XM_052431416.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_006467119.3.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_006486781.4.p1, XM_052441086.1.p1, XM_052441083.1.p1, XM_052441089.1.p1, XM_006491835.2.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_006487340.4.p1, XM_006470580.4.p1, XM_025094437.2.p1, XM_006470582.4.p1, XM_052435686.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1	XM_015531278.3.p1
OG0000030	NM_001333503.1.p1	XM_052444018.1.p1
OG0000030	NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_025092608.2.p1, XM_025101655.2.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_006482151.4.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_052438016.1.p1, XM_052435702.1.p1, XM_052438014.1.p1, XM_052438013.1.p1, XM_052438015.1.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_015527259.3.p1, XM_015527260.3.p1, XM_006468675.4.p1
OG0000033	NR_138665.1.p1	XM_052443369.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_006489502.4.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1	XM_006484018.4.p1, XM_006483914.4.p1, XM_006483913.4.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_006478862.4.p1, XM_006464792.3.p1, XM_052438376.1.p1, XM_052438374.1.p1, XM_025099355.2.p1, XM_052436387.1.p1, XM_052436388.1.p1, XM_052438378.1.p1, XM_052438377.1.p1, XM_006473553.4.p1, XM_025097120.2.p1, XM_015526543.3.p1, XM_052444392.1.p1, XM_052444390.1.p1, XM_006473013.3.p1, XM_006471286.3.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_015527376.3.p1, XM_006481772.4.p1, XM_006486606.4.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_006493132.4.p1, XM_006493133.4.p1, XM_006493134.4.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_008053222.1.p1, XR_008053225.1.p1, XM_006479891.4.p1, XR_008053223.1.p1, XM_025098687.2.p1, XM_006479890.4.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XM_052442634.1.p1, XM_052442633.1.p1, XM_006472038.4.p1, XM_025096815.2.p1, XM_025096817.2.p1, XM_052442631.1.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_006478946.4.p1, XM_006478955.3.p1, XM_052436297.1.p1, XM_052436299.1.p1, XM_052436296.1.p1, XM_052436300.1.p1, XM_006478960.3.p1, XM_006477820.4.p1, XM_006477817.3.p1, XM_006478956.3.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_052442843.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_006477824.3.p1, XM_052435750.1.p1, XM_052436287.1.p1, XM_052436290.1.p1, XM_006477883.3.p1, XM_006494951.4.p1, XM_006494950.3.p1
OG0000044	NM_125696.4.p1	XM_052445122.1.p1
OG0000045	NM_124796.4.p1	XM_006477837.3.p1, XM_052437312.1.p1, XM_006477776.4.p1, XM_006478027.4.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_006472842.3.p1
OG0000047	NM_120393.6.p1	XM_006480554.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_006479583.4.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_006469013.4.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_006473411.4.p1, XM_052442084.1.p1, XM_006466698.4.p1, XM_006466696.4.p1, XM_052444769.1.p1, XM_006466697.4.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_006480225.4.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1	XM_006468929.4.p1
OG0000048	NM_117987.4.p1	XM_006467567.4.p1
OG0000048	NM_121468.4.p1	XM_052433030.1.p1, XM_052433023.1.p1, XM_052433026.1.p1
OG0000048	NM_116297.4.p1	XM_052436635.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_006492497.4.p1
OG0000049	NR_143695.1.p1, NR_143694.1.p1, NR_143696.1.p1	XM_006468525.4.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_006466927.4.p1
OG0000050	NM_001203987.1.p1	XM_006486682.3.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_006476675.4.p1, XM_015529802.3.p1
OG0000050	NM_119039.3.p1	XM_006475594.4.p1
OG0000050	NM_123965.2.p1	XM_006467635.4.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_006474644.4.p1
OG0000051	NM_121018.4.p1	XM_006464503.4.p1
OG0000052	NM_120688.3.p1	XM_006486343.4.p1, XM_025101601.2.p1
OG0000052	NM_001331699.1.p1	XM_052443065.1.p1
OG0000052	NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1	XM_006488327.3.p1, XM_006488328.4.p1, XM_006488326.3.p1
OG0000054	NM_001339053.1.p1, NM_148535.1.p1	XM_052436560.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_052441271.1.p1, XM_052435291.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_052440270.1.p1, XM_025101642.2.p1, XM_052440269.1.p1, XM_052440268.1.p1, XM_006485564.3.p1, XM_006485851.4.p1, XM_006466598.4.p1
OG0000055	NM_114904.4.p1	XM_052444908.1.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_006481027.4.p1, XM_006481029.4.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_006480797.4.p1
OG0000056	NM_125316.2.p1, NM_114411.2.p1, NM_001339208.1.p1	XM_025102245.2.p1, XM_052432008.1.p1, XM_025102246.2.p1, XM_052432006.1.p1, XM_006488609.4.p1, XM_006488314.4.p1
OG0000057	NM_001335933.1.p1	XM_006483505.4.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_025102077.2.p1, XM_006473901.4.p1
OG0000057	NM_101587.2.p1	XM_006465662.4.p1, XM_052444300.1.p1, XM_052444299.1.p1, XM_052444297.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_006476601.3.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_052440178.1.p1, XM_006482769.4.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_006484782.4.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_006477740.4.p1
OG0000060	NM_121906.4.p1	XM_006489183.4.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_006490689.4.p1
OG0000060	NM_126206.4.p1	XM_025095663.2.p1, XM_052431769.1.p1
OG0000061	NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_006466474.4.p1, XM_006466475.4.p1, XM_006466473.4.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_052439491.1.p1, XM_006484316.4.p1
OG0000062	NM_123217.3.p1	XM_006482249.4.p1, XM_006482248.4.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_015531884.3.p1
OG0000062	NM_113366.3.p1	XM_052441974.1.p1
OG0000062	NM_001338692.1.p1	XM_006465545.4.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_052431640.1.p1, XM_006467082.4.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_006487136.3.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_006477742.4.p1, XM_006477828.4.p1, XM_052435744.1.p1, XM_015530050.3.p1, XM_052436588.1.p1, XM_006477745.4.p1, XM_006477741.4.p1
OG0000064	NM_126167.1.p1	XM_052435739.1.p1, XM_052443778.1.p1, XM_015525094.1.p1, XM_015528900.1.p1, XM_015527163.1.p1, XM_052443291.1.p1, XM_015529296.2.p1, XM_052433959.1.p1, XM_052433945.1.p1, XM_015525398.1.p1, XM_015526040.1.p1, XM_052441274.1.p1, XM_052434035.1.p1, XM_052433978.1.p1, XM_052443781.1.p1, XM_052431350.1.p1, XM_015534364.1.p1, XM_052441309.1.p1, XM_015531193.1.p1, XM_052431276.1.p1, XM_006469032.2.p1, XM_015531217.2.p1, XM_015530480.2.p1, XM_052434074.1.p1, XM_052433455.1.p1, XM_052435905.1.p1, XM_052432794.1.p1, XM_052435865.1.p1, XM_052441063.1.p1, XM_015526642.2.p1, XM_052444219.1.p1, XM_052433965.1.p1, XM_015533301.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XR_371136.4.p1, XM_006483252.4.p1, XM_052438568.1.p1, XM_052438630.1.p1, XM_052438588.1.p1, XM_052438606.1.p1, XM_052438635.1.p1, XM_052438655.1.p1, XM_052438586.1.p1, XM_052438627.1.p1, XM_052438601.1.p1, XM_025097587.2.p1
OG0000067	NM_122972.1.p1, NM_001339649.1.p1	XM_052443992.1.p1, XM_052434298.1.p1, XM_025096154.2.p1
OG0000067	NM_122974.1.p1	XM_015527141.2.p1, XM_052442641.1.p1, XM_052442187.1.p1, XM_052442642.1.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1	XM_006464554.4.p1, XM_025099163.2.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_006481316.4.p1, XM_006481317.4.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_006480553.4.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_006489328.4.p1
OG0000072	NM_111234.5.p1	XM_006484731.4.p1, XM_025101335.2.p1, XM_025101334.2.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_006492718.4.p1
OG0000072	NM_001338588.1.p1	XR_008054926.1.p1
OG0000072	NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_006471677.4.p1, XM_006471678.4.p1, XM_015528388.3.p1, XR_008054925.1.p1, XM_006471680.4.p1, XM_052441929.1.p1, XM_052441930.1.p1, XM_052441928.1.p1, XM_052441927.1.p1, XM_006471685.4.p1, XM_052441932.1.p1, XM_006471684.4.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_006472042.4.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_006476422.4.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_006489679.4.p1, XM_006489680.3.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1	XM_006488334.4.p1
OG0000074	NM_129543.3.p1	XM_006486363.4.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_006475361.4.p1, XM_006475360.4.p1, XM_006475359.4.p1, XM_006487631.4.p1, XM_006487386.3.p1, XM_006487409.4.p1, XM_006487408.4.p1, XM_052432995.1.p1, XM_052432553.1.p1, XM_052432552.1.p1, XM_052432495.1.p1, XM_006487372.4.p1, XM_006487411.4.p1, XM_006487406.4.p1, XM_006494473.4.p1, XM_052435650.1.p1, XM_006477267.4.p1
OG0000076	NM_103640.3.p1	XM_006473292.3.p1
OG0000076	NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_052432004.1.p1, XM_052431998.1.p1, XM_052431744.1.p1, XM_052431999.1.p1, XM_015532839.3.p1
OG0000080	NM_112240.4.p1	XM_006465955.4.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_006492087.4.p1
OG0000080	NM_102387.3.p1	XM_052440242.1.p1, XR_008054308.1.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_006488887.3.p1
OG0000080	NM_128359.5.p1	XM_006487983.3.p1
OG0000080	NM_001343571.1.p1	XM_006468425.4.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	XM_006473602.4.p1
OG0000081	NM_121263.4.p1	XM_006481992.4.p1
OG0000081	NM_122291.4.p1	XM_006490330.3.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_052432231.1.p1
OG0000082	NM_001343355.1.p1	XM_006488706.4.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1	XM_006482126.4.p1, XM_006482129.4.p1
OG0000086	NM_126450.3.p1, NM_126451.5.p1, NM_001335216.1.p1, NM_126448.3.p1, NM_126449.5.p1, NM_001335215.1.p1, NM_126444.2.p1, NM_126443.5.p1, NM_126447.1.p1	XM_006482125.4.p1, XM_006470707.3.p1
OG0000086	NM_105783.3.p1	XM_006468730.4.p1
OG0000086	NM_101385.3.p1, NM_101386.4.p1, NM_101384.2.p1, NM_101383.3.p1, NM_001332152.1.p1, NM_001123821.1.p1, NM_001332153.1.p1	XM_052433204.1.p1, XM_052433203.1.p1, XM_052435236.1.p1, XM_052435238.1.p1, XM_052435237.1.p1, XM_052433212.1.p1, XM_052433207.1.p1
OG0000087	NM_116064.5.p1, NM_001203228.2.p1	XM_015534229.3.p1, XM_015534228.3.p1, XM_015534226.3.p1
OG0000087	NM_118755.4.p1	XM_015529424.3.p1, XM_052444766.1.p1, XM_052444640.1.p1
OG0000088	NM_001336200.1.p1, NM_001336201.1.p1, NM_128469.4.p1	XM_006483431.4.p1, XM_052443542.1.p1, XM_015531652.3.p1
OG0000089	NM_101820.4.p1	XM_006466773.4.p1, XM_052435876.1.p1, XM_006473475.4.p1
OG0000089	NM_111981.5.p1, NM_001342768.1.p1, NM_001036754.2.p1, NM_120519.3.p1, NM_001342769.1.p1, NM_001342771.1.p1, NM_001342770.1.p1, NM_126041.1.p1, NM_001335411.1.p1, NM_001335410.1.p1, NM_001338558.1.p1, NM_113091.6.p1, NM_001344225.1.p1, NM_123161.3.p1	XM_052442119.1.p1
OG0000090	NM_121889.3.p1	XM_006489135.4.p1
OG0000090	NM_001337564.1.p1, NM_111387.5.p1	XM_052441289.1.p1
OG0000090	NM_180152.3.p1, NM_001337287.1.p1, NM_130369.4.p1	XM_015530774.3.p1
OG0000090	NM_180633.2.p1, NM_001333669.1.p1, NM_001333668.1.p1, NM_001333667.1.p1, NM_001333670.1.p1, NM_001333666.1.p1, NM_001333671.1.p1, NM_001333673.1.p1, NM_001333672.1.p1	XM_006471810.4.p1, XM_006471809.4.p1
OG0000090	NM_179287.2.p1, NM_100764.4.p1	XM_006471798.4.p1
OG0000091	NM_119437.3.p1, NM_119066.3.p1	XM_006475297.4.p1
OG0000091	NM_125551.4.p1	XM_052434301.1.p1, XM_052434300.1.p1
OG0000091	NM_124155.3.p1	XM_006467163.4.p1
OG0000091	NM_179694.4.p1	XM_006466222.4.p1
OG0000092	NM_101492.3.p1, NM_001332218.1.p1	XM_025093150.2.p1, XM_025093166.2.p1
OG0000092	NM_106617.4.p1, NM_105641.2.p1, NM_101654.1.p1, NM_001332211.1.p1, NM_101480.3.p1, NM_106616.5.p1, NM_179577.1.p1, NM_101478.3.p1, NM_101483.2.p1, NM_101479.2.p1	XM_015526500.2.p1, XM_015533221.3.p1, XM_006487743.4.p1, XM_052433534.1.p1, XM_052438908.1.p1, XM_052438907.1.p1, XM_052438909.1.p1, XM_052435793.1.p1, XM_052433533.1.p1, XM_052435791.1.p1, XM_052438916.1.p1, XM_052438827.1.p1, XM_052438912.1.p1, XM_052438911.1.p1, XM_052438910.1.p1, XM_006490043.4.p1, XM_006490044.4.p1, XM_006490042.4.p1, XM_052431226.1.p1, XR_008050583.1.p1, XM_052431228.1.p1, XM_052431227.1.p1
OG0000093	NM_001339982.1.p1, NM_115809.2.p1, NM_001339981.1.p1	XM_006478653.4.p1
OG0000093	NM_111628.4.p1	XM_006492148.4.p1
OG0000093	NM_001337023.1.p1, NM_129890.4.p1	XM_025099474.2.p1, XM_025099473.2.p1
OG0000093	NM_117354.3.p1	XM_006492149.4.p1
