Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0000021	NM_113293.5.p1	XM_006343469.1.p1, XM_015312833.1.p1, XR_001474553.1.p1, XM_006356349.2.p1, XM_006356348.2.p1, XM_006356354.2.p1, XM_006356353.2.p1, XM_015302866.1.p1, XM_006362125.2.p1, XM_015302865.1.p1, XM_015302857.1.p1, XM_006358385.1.p1, XR_001474618.1.p1, XR_001474619.1.p1, XM_006360313.1.p1, XM_015314777.1.p1, XM_015307090.1.p1, XM_006343950.1.p1, XM_006363408.2.p1, XR_001471799.1.p1, XM_006367068.2.p1, XM_015305247.1.p1, XM_015305248.1.p1, XM_015305251.1.p1, XM_015305250.1.p1, XM_006367071.2.p1, XM_006367069.2.p1, XM_006358364.2.p1, XM_006358387.2.p1, XM_006358363.2.p1, XM_006350409.2.p1, XM_006360291.2.p1, XM_015303333.1.p1, XM_006363191.1.p1, XM_015304730.1.p1
OG0000021	NM_111499.4.p1	XM_006356913.2.p1, XM_006356916.2.p1, XM_015313223.1.p1, XM_006356920.2.p1, XM_006349752.2.p1
OG0000021	NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XM_015305618.1.p1, XM_006367667.2.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_015314833.1.p1, XM_006344043.2.p1, XM_015307213.1.p1, XM_015307214.1.p1, XM_015307165.1.p1, XM_015307201.1.p1, XM_015307194.1.p1, XM_015307193.1.p1, XM_015307177.1.p1, XM_015307192.1.p1, XM_015307181.1.p1, XM_015307187.1.p1, XM_015307183.1.p1, XM_015307185.1.p1, XM_015307175.1.p1, XM_015307188.1.p1, XM_015307178.1.p1, XM_015307176.1.p1, XM_015307189.1.p1, XM_015307182.1.p1, XM_015307184.1.p1, XM_006366270.2.p1, XM_015304834.1.p1, XM_006366267.2.p1, XM_006366268.2.p1, XM_015305665.1.p1, XM_006366271.2.p1, XM_006366269.2.p1
OG0000024	NM_101717.3.p1, NM_106069.3.p1, NM_106070.2.p1	XM_015312720.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_006347790.2.p1
OG0000026	NM_113834.2.p1, NM_118140.3.p1, NM_113843.3.p1, NM_001335842.1.p1, NM_117679.2.p1, NM_105676.2.p1, NM_113867.5.p1, NM_001339024.1.p1, NM_112309.2.p1, NM_001332993.1.p1, NM_001332992.1.p1, NM_112314.3.p1, NM_001338121.1.p1, NM_112312.5.p1, NM_114026.2.p1, NM_103094.3.p1, NM_001344758.1.p1, NM_122301.4.p1	NM_001288021.1.p1, XM_015313953.1.p1, NM_001288154.1.p1, XM_015313942.1.p1, XM_015313937.1.p1, XM_015313954.1.p1, XM_006358469.1.p1, XM_006367899.2.p1, XM_015315432.1.p1, XM_006354632.1.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_006353020.1.p1, XM_006347124.1.p1, XM_006347125.2.p1, XM_006347103.2.p1
OG0000027	NM_123808.4.p1, NM_001344545.1.p1, NM_118200.2.p1	XM_006353015.2.p1, XM_006353016.2.p1, XM_006353014.1.p1, XM_006352934.2.p1, XM_015311139.1.p1, XM_015311152.1.p1, XM_006356439.2.p1, XM_015312942.1.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_006367174.2.p1, XM_006352937.2.p1, XM_006352970.2.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_006360254.2.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_006340748.2.p1, XM_006340749.2.p1, XM_006340747.2.p1, XM_006340888.2.p1, XM_006340890.2.p1, XM_015305022.1.p1, XM_006343361.2.p1, XM_006340891.2.p1, XM_015305691.1.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_006364461.2.p1
OG0000029	NM_103903.2.p1	XM_015306643.1.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XR_001474626.1.p1, XM_015313107.1.p1, XM_015313134.1.p1, XR_368060.2.p1, XM_006359298.2.p1, XM_015314334.1.p1, XM_015314339.1.p1, XM_015305752.1.p1, XM_015305706.1.p1, XM_006360774.2.p1, XM_006359299.2.p1, XM_015314336.1.p1, XM_006360814.2.p1, XM_006359297.2.p1, XM_015314337.1.p1, XM_015305708.1.p1, XM_015314332.1.p1, XM_015314342.1.p1, XM_006365518.2.p1, XM_006365516.1.p1
OG0000030	NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_015306809.1.p1, XM_006358174.2.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_006357768.2.p1, XM_006357769.2.p1, XM_006357767.2.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_015311486.1.p1, XM_006353749.2.p1, XM_006341515.2.p1, XM_006341517.2.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_015307280.1.p1, XM_015307278.1.p1, XM_006344234.2.p1, XM_015307275.1.p1, XM_015307271.1.p1, XM_015307273.1.p1, XM_015307277.1.p1, XM_006344100.2.p1, XM_015307229.1.p1, XM_006344099.2.p1, XM_015307268.1.p1, XM_015307227.1.p1, XM_015307269.1.p1, XM_006344251.2.p1, XM_006360382.2.p1, XM_015307267.1.p1, XM_015307266.1.p1
OG0000033	NR_138665.1.p1	XM_015311871.1.p1, XM_015311895.1.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_006341032.2.p1, XM_006350622.2.p1, XM_015311897.1.p1, XM_006354452.2.p1, XM_015307990.1.p1, XM_006356424.1.p1, XM_006354451.2.p1, XM_006354453.2.p1, XM_006354450.2.p1, XM_006354454.2.p1, XM_006351925.2.p1, XM_006351993.2.p1, XM_006341171.2.p1, XM_006341170.2.p1, XM_006341030.2.p1, XM_006341029.2.p1
OG0000034	NM_119299.3.p1, NM_117451.4.p1	XM_006358704.2.p1, XM_006358706.2.p1, XM_015310354.1.p1, XM_006358707.2.p1, XM_006358709.2.p1, XM_006358708.2.p1, XM_006367930.2.p1, XM_006358762.2.p1, XM_006358703.2.p1, XM_006358761.2.p1, XM_015306705.1.p1, XM_015314131.1.p1, XM_015304279.1.p1, XM_006367280.2.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_015309839.1.p1, XM_006353525.2.p1, XM_006353526.2.p1, XM_015303976.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_006347445.2.p1, XM_015308828.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_368252.2.p1, XR_368253.2.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_001473153.1.p1, XR_001473154.1.p1, XM_006344622.2.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_006358400.2.p1, XM_006358402.2.p1, XM_006358399.2.p1, XM_006349199.2.p1, XM_006349206.2.p1, XM_006358401.2.p1, XM_006358397.2.p1, XM_006349203.2.p1, XM_015309520.1.p1, XM_006349201.2.p1, XM_006346904.2.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1, NM_128862.2.p1, NM_001338723.1.p1, NM_113404.3.p1, NM_001338726.1.p1, NM_113406.2.p1, NM_001338731.1.p1, NM_128827.2.p1, NM_128868.2.p1, NM_128101.1.p1, NM_001336409.1.p1, NR_140705.1.p1, NR_140701.1.p1, NR_140702.1.p1, NR_140704.1.p1, NR_140703.1.p1, NR_140700.1.p1, NR_140699.1.p1, NR_140707.1.p1, NM_128866.4.p1, NM_001338724.1.p1, NM_001338725.1.p1, NM_001338727.1.p1, NM_128863.1.p1, NM_123381.3.p1, NM_001203793.2.p1, NM_001340887.1.p1, NM_001340886.1.p1, NM_117456.6.p1, NM_117462.2.p1, NR_142331.1.p1	XM_015313983.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_015309130.1.p1, XM_006364029.2.p1, XM_006364030.2.p1, XM_015303777.1.p1, XM_006364032.2.p1, XM_006349560.2.p1, XM_006343523.2.p1, XM_006348846.2.p1, XM_006348848.2.p1, XM_015309405.1.p1, XM_015309355.1.p1, XM_006348845.1.p1, XR_367397.2.p1, XM_015309400.1.p1, XM_015302852.1.p1, XM_015309401.1.p1, XM_015309399.1.p1, XM_015302851.1.p1, XM_015309398.1.p1, XM_015309397.1.p1, XM_006348844.2.p1, XM_015302849.1.p1, XM_006363694.2.p1, XM_006348849.2.p1, XM_006348839.2.p1, XM_015309157.1.p1, XM_006348240.2.p1, XM_006348238.2.p1, XM_006360117.2.p1, XM_006348242.2.p1, XM_006348243.2.p1
OG0000043	NM_103306.1.p1	XM_015304969.1.p1
OG0000043	NM_147994.4.p1	XM_015306542.1.p1, XM_015306686.1.p1, XM_006365972.2.p1, XM_015304498.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_015310722.1.p1
OG0000045	NM_124796.4.p1	XM_015308845.1.p1
OG0000045	NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1	XM_006352632.2.p1, XM_006352631.2.p1, XM_006352633.1.p1, XM_015303985.1.p1
OG0000047	NM_120393.6.p1	XM_006339006.2.p1, XM_006361743.2.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_006349706.2.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_006348770.2.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_015306393.1.p1, XM_006346874.2.p1, XM_006363082.2.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_006344749.2.p1
OG0000048	NM_117987.4.p1	XM_006358053.2.p1, XM_006367074.2.p1
OG0000048	NM_121468.4.p1	XM_006338514.2.p1, XM_006338515.2.p1, XM_006363941.2.p1, XM_015303723.1.p1
OG0000048	NM_116297.4.p1	XM_006345447.2.p1, XM_006339394.2.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_006349253.2.p1, XM_006349255.2.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_006343294.2.p1, XM_006361879.2.p1, XM_006340702.2.p1
OG0000050	NM_001203987.1.p1	XM_006359634.2.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_006344971.2.p1
OG0000050	NM_119039.3.p1	XM_006341214.2.p1, XM_006353406.1.p1
OG0000050	NM_130033.3.p1	XM_006354598.2.p1
OG0000050	NM_123965.2.p1	XM_006367136.2.p1
OG0000051	NM_129773.1.p1, NM_001336956.1.p1, NM_001336954.1.p1, NM_001336953.1.p1, NM_129772.1.p1	XM_006359767.1.p1
OG0000051	NM_121018.4.p1	XM_006350963.2.p1, XM_006355076.2.p1
OG0000052	NM_120688.3.p1	XM_006352636.2.p1, XM_015307473.1.p1, XM_006344521.2.p1
OG0000052	NM_128482.4.p1	XR_368206.2.p1, XM_006358641.2.p1, XR_368205.2.p1, XM_015314080.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_015315001.1.p1, XM_015314454.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_015305410.1.p1, XM_015304420.1.p1, XM_006360181.2.p1, XM_006363572.2.p1, XM_015314745.1.p1, XM_006360180.2.p1
OG0000055	NM_114904.4.p1	XM_006365303.2.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_006359502.2.p1, XM_006359488.2.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_006363010.2.p1, XM_006340946.2.p1, XM_006363037.2.p1, XM_006341145.2.p1, XM_006363011.2.p1
OG0000057	NM_001335933.1.p1	NM_001287919.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XM_006350011.1.p1, XM_006343627.2.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_006354739.2.p1, XM_006366999.2.p1
OG0000058	NM_001337090.1.p1, NM_001125053.1.p1, NM_001337088.1.p1, NM_001337089.1.p1	XM_006359111.2.p1, XM_006366431.2.p1, XM_006343686.2.p1, XM_006339890.2.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_006348888.2.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_006359965.2.p1, XM_006348278.2.p1
OG0000060	NM_121906.4.p1	XM_015311243.1.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_006367486.2.p1, XM_006365344.2.p1
OG0000060	NM_126206.4.p1	XM_006344181.2.p1, XM_006360347.2.p1, XM_006360346.2.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_006367129.2.p1, XM_006339781.1.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_006367467.2.p1, XM_006365997.2.p1, XM_015304709.1.p1, XM_006348533.2.p1
OG0000062	NM_123217.3.p1	XM_006338223.2.p1
OG0000062	NM_113366.3.p1	XM_006353398.2.p1
OG0000062	NM_001338692.1.p1	XM_006343002.2.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_015308613.1.p1
OG0000062	NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_015309641.1.p1, XM_015310764.1.p1, XM_006365030.2.p1
OG0000064	NM_126167.1.p1	XM_015305906.1.p1, XM_015315160.1.p1, XM_015314383.1.p1, XM_015313220.1.p1, XM_015314444.1.p1, XM_015308570.1.p1, XM_015304941.1.p1, XM_015312859.1.p1, XM_015313067.1.p1, XM_015309961.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_006361378.2.p1
OG0000067	NM_122972.1.p1, NM_001339649.1.p1	XM_015304261.1.p1, XM_015305749.1.p1, XM_006364989.2.p1, XM_015304259.1.p1, XM_015304257.1.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1, NM_120555.3.p1, NM_001342784.1.p1, NM_001342785.1.p1, NM_120550.4.p1, NM_001342789.1.p1, NM_120552.2.p1	XM_006342213.2.p1, XM_015306477.1.p1, XM_006342228.2.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_006353729.2.p1, XM_006358901.2.p1, XM_006353662.2.p1, XM_006358776.2.p1, XM_006353665.2.p1, XM_006353664.2.p1, XM_006353663.2.p1, XM_006353667.2.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_015311453.1.p1, XM_006353670.2.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	NM_001288049.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	NM_001288260.1.p1
OG0000072	NM_001338588.1.p1, NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_006347748.2.p1, XM_015308933.1.p1, XM_015308932.1.p1, XM_015308936.1.p1, XM_006347744.2.p1, XM_006347798.2.p1, XM_006347742.2.p1, XM_006347746.2.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_006344627.2.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_006350625.2.p1, XM_006354429.2.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1	XM_006350729.2.p1, XM_006358645.2.p1
OG0000074	NM_129543.3.p1	XM_006346756.2.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_006365901.2.p1, XM_006365918.2.p1, XM_006353659.1.p1, XM_006365902.2.p1, XM_015302938.1.p1, XM_015302939.1.p1, XM_006358740.2.p1, XR_001474924.1.p1, XM_006358742.2.p1, XR_001474927.1.p1, XM_015314119.1.p1, XM_006358749.2.p1, XM_006338694.2.p1, XM_015306319.1.p1, XM_006338167.2.p1, XM_006338170.2.p1, XM_006338172.2.p1, XM_006338171.2.p1, XM_006346593.2.p1, XM_006360174.1.p1, XM_006360172.2.p1, XM_006360173.2.p1, XM_006360176.2.p1, XM_006360175.2.p1, XM_006360178.2.p1, XM_006360177.2.p1
OG0000076	NM_103640.3.p1	XM_006354843.2.p1
OG0000076	NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_006346401.2.p1, XM_006346400.2.p1, XM_006346398.2.p1, XM_006346399.2.p1
OG0000080	NM_112240.4.p1	XM_006342916.2.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_006355676.2.p1, XM_006340852.2.p1
OG0000080	NM_102387.3.p1	XM_006348542.2.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_006342992.2.p1, XM_015314293.1.p1
OG0000080	NM_128359.5.p1	XM_006347129.2.p1, XM_006340151.2.p1
OG0000080	NM_001343571.1.p1	XM_006364979.1.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	NM_001288449.1.p1, XM_006342506.2.p1
OG0000081	NM_121263.4.p1	XM_006339193.2.p1
OG0000081	NM_122291.4.p1	NM_001287882.1.p1, XM_006353237.2.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_006358654.2.p1, XM_006350751.2.p1
OG0000082	NM_001337251.1.p1, NM_001337250.1.p1, NM_130285.3.p1, NM_116094.4.p1	XM_006344736.2.p1, XM_006344735.1.p1
OG0000082	NM_001343355.1.p1	NM_001287903.1.p1
OG0000083	NM_115986.4.p1, NM_001203222.1.p1, NM_001340081.1.p1, NM_127980.4.p1, NM_100063.4.p1	XM_006339470.2.p1
OG0000086	NM_105156.1.p1, NM_105349.3.p1	XM_015313638.1.p1, XM_006357746.2.p1, XM_015308576.1.p1, XM_006346840.2.p1
