Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0000024	NM_126424.2.p1, NM_126423.4.p1, NM_123735.4.p1, NM_102583.2.p1, NM_118761.1.p1, NM_001339191.1.p1, NM_114377.3.p1, NM_128316.1.p1, NM_101213.3.p1, NM_127056.1.p1, NM_101212.3.p1, NM_126422.3.p1	XM_065165554.1.p1, XM_009398165.3.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1, NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_065153006.1.p1, XM_065107172.1.p1, XM_065094402.1.p1, XR_010515159.1.p1, XR_010498341.1.p1, XR_010498342.1.p1, XR_010515161.1.p1, XR_010515160.1.p1, XM_065192483.1.p1, XM_065161008.1.p1, XR_010486255.1.p1, XR_010486254.1.p1, XR_010480951.1.p1, XM_009402051.3.p1, XM_065141100.1.p1, XM_065149527.1.p1, XR_010486253.1.p1, XR_010486250.1.p1, XR_010486252.1.p1, XM_065105342.1.p1, XM_065105341.1.p1, XR_010493062.1.p1
OG0000029	NM_103903.2.p1, NM_148340.1.p1, NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1, NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_065118067.1.p1, XM_065118065.1.p1, XM_065115595.1.p1, XM_065159907.1.p1, XM_065115593.1.p1, XM_065159413.1.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1, NM_001331563.1.p1, NM_100450.3.p1, NM_127476.2.p1, NM_119145.3.p1, NM_001341987.1.p1, NM_127480.4.p1, NM_127478.1.p1, NM_001333503.1.p1, NM_001333519.1.p1, NM_001333518.1.p1, NM_104069.3.p1, NM_001333517.1.p1, NM_001333516.1.p1, NM_104071.3.p1, NM_104068.3.p1, NM_001333515.1.p1, NM_104066.2.p1, NM_104067.1.p1, NM_001333513.1.p1, NM_104059.3.p1	XM_065110213.1.p1, XM_065134920.1.p1, XM_065148303.1.p1, XM_065103996.1.p1, XM_065148304.1.p1, XM_065193374.1.p1, XM_065118652.1.p1, XM_065124590.1.p1, XM_065167775.1.p1, XM_065167776.1.p1, XM_065188535.1.p1, XM_065188533.1.p1, XM_065113951.1.p1, XM_065188530.1.p1, XM_065188531.1.p1, XM_065154274.1.p1, XM_009416923.3.p1, XM_065082096.1.p1, XM_065166749.1.p1, XM_018831315.2.p1, XM_065094218.1.p1, XM_065082095.1.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1, NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1, NM_001332678.1.p1, NM_102350.3.p1	XM_065087483.1.p1, XM_065170945.1.p1, XM_018819172.2.p1, XM_065129402.1.p1, XM_065087485.1.p1, XM_065170946.1.p1, XM_065106255.1.p1, XM_065101329.1.p1, XM_065143890.1.p1, XM_018824056.2.p1, XM_065143903.1.p1, XM_065143558.1.p1, XM_065083696.1.p1, XM_009409066.3.p1, XM_009409075.3.p1, XM_065103817.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1, NM_113522.1.p1, NM_113523.1.p1, NM_113524.5.p1, NM_202635.1.p1, NM_113525.4.p1, NM_113530.4.p1, NM_113534.1.p1, NM_115188.5.p1, NM_114293.2.p1, NM_113526.1.p1, NM_113527.2.p1, NM_101181.3.p1, NM_001332062.1.p1, NM_101179.3.p1, NM_113595.4.p1, NM_113528.4.p1, NM_179322.1.p1, NM_101178.4.p1, NM_119299.3.p1, NM_117451.4.p1	XM_009393797.3.p1, XM_065097710.1.p1, XM_065097479.1.p1, XM_065098830.1.p1, XM_009393798.3.p1, XM_065186200.1.p1, XM_065111529.1.p1, XM_065111531.1.p1, XM_065111530.1.p1, XM_065186201.1.p1, XM_065111528.1.p1, XM_065111525.1.p1, XM_065156869.1.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_065185269.1.p1, XM_065185270.1.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_065105547.1.p1, XM_065149139.1.p1, XM_065149136.1.p1, XM_065105548.1.p1, XM_065149141.1.p1, XM_065149134.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1, NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XM_065120491.1.p1, XM_065078637.1.p1, XR_001979602.2.p1, XR_010489256.1.p1, XR_010489254.1.p1, XR_010489255.1.p1, XR_010492350.1.p1, XM_009385625.3.p1, XR_010492349.1.p1, XM_009385624.3.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_065162644.1.p1, XM_065081525.1.p1, XM_065162593.1.p1, XM_065081522.1.p1, XM_009404282.3.p1, XM_009404279.3.p1, XM_065110016.1.p1, XM_065151452.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_009396940.3.p1, XM_065156730.1.p1, XM_065144977.1.p1, XM_065156713.1.p1, XM_009396537.3.p1, XM_065144586.1.p1, XM_065101554.1.p1, XM_065144608.1.p1, XM_065141566.1.p1, XM_009395937.3.p1, XM_065118689.1.p1, XM_065193411.1.p1
OG0000044	NM_118742.2.p1	XM_065152031.1.p1, XM_009402023.3.p1, XM_009418398.3.p1, XM_065124128.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_065154441.1.p1
OG0000045	NM_124796.4.p1, NM_179362.1.p1, NM_101967.4.p1, NM_101966.5.p1, NM_101965.3.p1, NM_101964.3.p1, NM_106329.3.p1, NM_106402.2.p1, NM_001334785.1.p1, NM_106401.4.p1, NM_124760.3.p1, NM_104968.2.p1, NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_065085456.1.p1, XM_009386040.3.p1, XM_065091299.1.p1, XM_065091335.1.p1, XM_009386112.3.p1, XM_065138212.1.p1, XM_009386482.3.p1, XM_065138095.1.p1, XM_065102325.1.p1, XM_009399849.3.p1, XM_065142961.1.p1, XM_009394522.3.p1, XM_065126643.1.p1, XM_065169525.1.p1, XM_065083887.1.p1, XM_009396728.3.p1, XM_065123499.1.p1, XM_065126302.1.p1, XM_065126303.1.p1, XM_065123836.1.p1, XR_010490976.1.p1, XM_065167155.1.p1, XM_065083573.1.p1, XM_065167156.1.p1, XM_065084522.1.p1, XM_065084523.1.p1, XM_065123661.1.p1, XM_065127540.1.p1, XM_065095435.1.p1, XM_009386087.3.p1, XM_065084804.1.p1, XM_065094603.1.p1, XM_065094454.1.p1, XM_065084724.1.p1, XM_009390086.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1	XM_009391562.3.p1, XM_065142911.1.p1
OG0000047	NM_123783.4.p1, NM_001344535.1.p1, NM_100263.4.p1	XM_065160820.1.p1, XM_065160824.1.p1, XM_065160823.1.p1, XM_065160822.1.p1, XM_065160821.1.p1, XM_065160817.1.p1, XM_065160815.1.p1, XM_065117231.1.p1, XM_065169766.1.p1, XM_065188607.1.p1, XM_065084620.1.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_018823970.2.p1, XM_009396094.3.p1, XM_009412748.3.p1, XM_065147582.1.p1, XM_009398128.3.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1, NM_117987.4.p1	XM_009395917.3.p1, XM_009398246.3.p1, XM_009396553.3.p1, XM_065157856.1.p1, XM_009412648.3.p1, XM_018830910.2.p1, XM_065142311.1.p1, XM_065082135.1.p1, XM_009382210.3.p1, XM_065087678.1.p1, XM_018819850.2.p1, XM_065087679.1.p1
OG0000048	NM_116297.4.p1	XM_065150539.1.p1, XM_065149219.1.p1, XM_065194341.1.p1, XM_065194339.1.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_018825252.2.p1, XM_009398539.3.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1, NM_001203987.1.p1	XM_009392730.3.p1
OG0000050	NM_001345564.1.p1	XM_065094918.1.p1, XR_001977240.2.p1
OG0000050	NM_119039.3.p1	XM_009416954.3.p1, XM_065084617.1.p1, XM_009407949.3.p1, XM_065177970.1.p1
OG0000050	NM_123965.2.p1	XM_009406140.3.p1
OG0000051	NM_115235.4.p1, NM_001339629.1.p1, NM_179953.3.p1, NM_001336664.1.p1, NM_001085300.1.p1, NM_125328.4.p1, NM_001339262.1.p1, NM_114519.3.p1	XM_065096528.1.p1, XM_065096527.1.p1, XM_009399162.3.p1, XM_065127680.1.p1
OG0000052	NM_120688.3.p1	XM_009423054.3.p1
OG0000052	NM_128482.4.p1, NM_001331699.1.p1, NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1, NM_100618.5.p1, NM_100619.3.p1, NM_001124936.2.p1, NM_128483.3.p1, NM_128490.4.p1, NM_128472.1.p1, NM_179801.3.p1, NM_128489.3.p1, NM_201829.2.p1	XM_065108045.1.p1, XM_065181723.1.p1, XM_009421435.3.p1, XM_065081884.1.p1, XM_065156141.1.p1, XM_009386563.3.p1, XM_065085846.1.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_065135587.1.p1, XM_009393777.3.p1, XM_065135323.1.p1, XM_065102948.1.p1, XM_065135036.1.p1, XM_065091494.1.p1, XM_065091495.1.p1, XM_065193932.1.p1, XM_065102776.1.p1, XM_065091491.1.p1, XM_009393768.3.p1, XM_065091493.1.p1, XM_065135343.1.p1, XM_065091492.1.p1, XM_009393811.3.p1, XM_065091457.1.p1, XM_065192510.1.p1, XM_065136330.1.p1, XM_065180742.1.p1, XM_065136019.1.p1, XM_065136020.1.p1, XM_065136285.1.p1, XM_065180768.1.p1, XM_065194530.1.p1, XM_065135103.1.p1, XM_065123051.1.p1, XM_009402814.3.p1, XM_009389091.3.p1, XM_009389092.3.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1, NM_127920.3.p1, NM_179711.2.p1, NM_001335855.1.p1, NM_127922.3.p1, NM_119878.5.p1, NM_127926.3.p1, NM_001335856.1.p1, NM_001335857.1.p1, NM_127923.2.p1, NM_127925.3.p1, NM_001335858.1.p1	XM_065102772.1.p1, XM_009390059.3.p1, XM_009396516.3.p1, XM_065145397.1.p1, XM_065102768.1.p1, XM_065180454.1.p1, XM_065156883.1.p1
OG0000055	NM_114904.4.p1	XM_065078625.1.p1, XM_065078623.1.p1, XM_065078624.1.p1, XM_065120481.1.p1, XM_065164707.1.p1, XM_009413413.3.p1, XM_009393307.3.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_065144857.1.p1, XM_065143825.1.p1, XM_018823477.2.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_009410748.3.p1, XM_065191558.1.p1, XM_065116785.1.p1, XM_009420983.3.p1
OG0000057	NM_001335933.1.p1	XM_065117499.1.p1, XM_009386494.3.p1, XM_065139973.1.p1, XM_009397960.3.p1, XM_009396306.3.p1, XM_065149354.1.p1, XM_009403191.3.p1, XM_065130543.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1, NM_001334999.1.p1, NM_001335000.1.p1	XM_009401279.3.p1, XM_009392297.3.p1, XM_009421688.3.p1, XM_009419165.3.p1, XM_065192674.1.p1, XM_018819220.2.p1, XM_009393874.3.p1, XM_065099123.1.p1
OG0000057	NM_101587.2.p1	XM_065183530.1.p1, XM_065109057.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_065145301.1.p1, XM_065148604.1.p1, XM_009400126.3.p1, XM_065167886.1.p1
OG0000058	NM_001084847.1.p1, NM_115876.5.p1, NM_130008.3.p1, NM_179734.1.p1, NM_123831.2.p1, NM_123591.2.p1	XM_065167697.1.p1, XM_065167698.1.p1, XM_065155297.1.p1, XM_009417296.3.p1, XM_009412055.3.p1, XM_065158865.1.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_009385192.3.p1, XM_065134459.1.p1, XM_065115044.1.p1, XM_065098144.1.p1, XM_065098142.1.p1, XM_009407995.3.p1, XM_065168430.1.p1, XM_065129185.1.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_065181362.1.p1, XM_065123944.1.p1, XM_065157595.1.p1, XM_065147171.1.p1
OG0000061	NM_126131.4.p1, NM_119895.4.p1, NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_065114458.1.p1, XM_065153100.1.p1, XM_065155088.1.p1, XM_065107286.1.p1, XM_009412966.3.p1, XM_065102108.1.p1, XM_065159245.1.p1, XM_065193771.1.p1, XM_065180530.1.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_065134580.1.p1, XM_065134581.1.p1, XM_065134584.1.p1
OG0000062	NM_123217.3.p1	XM_065172191.1.p1, XM_009391078.3.p1, XM_065138690.1.p1, XR_010486399.1.p1, XR_010486398.1.p1, XR_010486397.1.p1, XM_065148456.1.p1, XM_065096466.1.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_009408302.3.p1, XM_065091413.1.p1, XM_018827839.2.p1
OG0000062	NM_113366.3.p1	XM_009382277.3.p1, XM_065159727.1.p1, XM_018826349.2.p1, XM_065179336.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1, NM_103818.2.p1, NM_112767.2.p1, NM_001342284.1.p1	XM_065181181.1.p1, XM_009410518.3.p1, XM_065110313.1.p1, XM_018824465.2.p1, XM_009398401.3.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_065174587.1.p1, XM_065089167.1.p1, XM_065089166.1.p1, XM_065174586.1.p1, XM_065174588.1.p1, XM_065174584.1.p1, XM_009403389.3.p1, XM_065131281.1.p1, XM_065131282.1.p1
OG0000066	NM_122010.3.p1, NM_001343635.1.p1	XM_065116586.1.p1, XM_065116585.1.p1, XM_065116583.1.p1, XM_065116584.1.p1, XR_010514969.1.p1, XR_010514971.1.p1, XR_010514972.1.p1, XR_010514968.1.p1, XR_010497944.1.p1, XR_010497942.1.p1, XR_001978898.2.p1, XM_065191362.1.p1, XM_065130271.1.p1, XM_065130272.1.p1, XR_010480116.1.p1, XR_010480122.1.p1, XR_010480121.1.p1, XR_010480123.1.p1, XR_010480132.1.p1, XR_010480143.1.p1, XR_010480142.1.p1, XR_010480141.1.p1, XR_010480140.1.p1, XR_010480136.1.p1, XR_010480134.1.p1, XR_010480133.1.p1, XM_065130277.1.p1, XM_065130278.1.p1, XM_065130279.1.p1, XR_010480131.1.p1, XR_010480130.1.p1, XR_010480128.1.p1, XR_010480126.1.p1, XR_010480125.1.p1, XR_010480120.1.p1, XR_010480117.1.p1, XM_065084922.1.p1, XM_009382990.3.p1, XM_065130267.1.p1, XM_065110454.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_065088295.1.p1, XM_065088294.1.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1, NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_009398916.3.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_009385628.3.p1, XM_065084083.1.p1, XM_065168804.1.p1, XM_009400255.3.p1, XM_065176595.1.p1, XM_065101498.1.p1, XM_065145557.1.p1, XM_065141400.1.p1
OG0000072	NM_111234.5.p1	XM_065119368.1.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_065166786.1.p1, XM_009402865.2.p1, XM_065107187.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_065120041.1.p1, XM_065120042.1.p1, XM_065173922.1.p1, XM_009385466.3.p1, XM_009383589.3.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_065130042.1.p1, XM_009382780.3.p1, XM_009390437.3.p1, XM_009399172.3.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_065133907.1.p1, XM_009400464.3.p1, XM_065173612.1.p1, XM_065146616.1.p1, XM_009399755.3.p1, XM_009399347.3.p1
OG0000074	NM_180887.5.p1, NM_125306.2.p1, NM_114549.4.p1, NM_128494.5.p1, NM_129543.3.p1	XM_018830892.2.p1, XM_009415513.3.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_065148078.1.p1, XM_065104406.1.p1
