Orthogroup	Arabidopsis_thaliana_rna_prot	Malus_domestica_rna_prot
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1	XM_029106350.1.p1, XM_008389280.3.p1, XM_029106349.1.p1, XM_017337355.2.p1, XM_017322802.2.p1, XM_029110440.1.p1, XM_029103274.1.p1, XM_029097701.1.p1, XM_029105927.1.p1, XM_008379727.3.p1, XM_029110441.1.p1, XM_029098223.1.p1, XM_029098225.1.p1, XM_029098224.1.p1
OG0000018	NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_008341846.3.p1, XM_008360514.3.p1, XM_029098228.1.p1, XM_029105032.1.p1, XM_008386237.3.p1, XM_008357716.3.p1, XM_008388194.3.p1, XM_029098229.1.p1, XM_029105030.1.p1, XM_029098227.1.p1
OG0000020	NM_121001.2.p1	XM_029094813.1.p1
OG0000021	NM_111666.4.p1	XM_029108014.1.p1
OG0000021	NM_111499.4.p1	XM_008384840.3.p1, XM_029110037.1.p1, XM_008384841.3.p1, XM_008384839.3.p1, XM_008387569.3.p1, XM_029088844.1.p1, XM_017335389.2.p1, XM_029100563.1.p1, XM_008366212.3.p1, XM_017335791.2.p1, XM_008362538.3.p1
OG0000022	NM_001035956.2.p1, NM_101102.3.p1, NM_101132.2.p1, NM_001338589.1.p1, NM_113146.2.p1, NM_001332043.1.p1, NM_001332042.1.p1, NM_001334168.1.p1, NM_001198380.2.p1, NM_001341830.1.p1, NM_112544.3.p1, NM_123482.3.p1, NM_001344390.1.p1, NM_121670.4.p1, NM_105133.2.p1, NM_104949.2.p1, NM_001334048.1.p1, NM_104945.3.p1, NM_001198366.2.p1, NM_001334047.1.p1, NM_105019.2.p1, NM_104969.4.p1, NM_104991.3.p1, NM_001334065.1.p1, NM_104986.3.p1, NM_104971.3.p1, NM_104985.1.p1, NM_001331633.1.p1, NM_100537.4.p1	XM_029088524.1.p1, XM_029088525.1.p1, XM_029088518.1.p1, XM_008387164.2.p1, XM_029088507.1.p1, XM_017328845.2.p1, XM_029088495.1.p1, XM_029089347.1.p1, XM_008365273.3.p1, XM_029099758.1.p1, XM_017327892.2.p1, XM_017327864.2.p1, XM_029099739.1.p1, XM_008360648.2.p1, XM_017335156.2.p1, XM_029088444.1.p1, XM_029089344.1.p1, XM_029100564.1.p1, XM_029089331.1.p1, XM_017324873.2.p1
OG0000022	NM_118814.3.p1	XM_008374104.3.p1, XM_029102676.1.p1
OG0000024	NM_120782.4.p1, NM_120783.4.p1	XM_008346342.3.p1
OG0000027	NM_001344543.1.p1, NM_118204.2.p1	XM_008385231.2.p1
OG0000027	NM_001332928.1.p1, NM_129032.5.p1, NM_123807.4.p1, NM_001344544.1.p1, NM_123806.3.p1	XM_029110209.1.p1, XM_017337189.2.p1, XM_029103030.1.p1, XM_008367773.3.p1
OG0000027	NM_202851.1.p1, NM_118201.3.p1, NM_118202.2.p1, NM_101049.3.p1	XM_029110192.1.p1, XM_029103025.1.p1
OG0000027	NM_102403.3.p1, NM_102402.4.p1, NM_102405.3.p1, NM_102404.1.p1, NM_102406.3.p1, NM_118198.2.p1, NM_102807.4.p1, NM_103181.2.p1	XM_029103560.1.p1, XM_029103561.1.p1
OG0000028	NM_119736.1.p1, NM_119734.3.p1, NM_127322.2.p1	XM_008339781.2.p1, XM_008339170.3.p1
OG0000028	NM_127262.2.p1, NM_127263.2.p1, NM_119686.2.p1, NM_119687.2.p1	XM_008394253.3.p1, XM_008394255.3.p1, XM_008384247.3.p1, XM_008384250.3.p1, XM_008384249.3.p1, XM_017326759.2.p1, XM_029103465.1.p1
OG0000029	NM_103903.2.p1	XM_029090190.1.p1, XM_029090193.1.p1, XM_029090191.1.p1, XM_008372565.3.p1, XM_008372567.3.p1, XM_029109230.1.p1, XM_029104857.1.p1, XM_029104856.1.p1, XM_029105512.1.p1, XR_003771352.1.p1, XM_008384005.3.p1, XM_029105112.1.p1, XM_008356862.3.p1, XM_029097964.1.p1
OG0000029	NM_148340.1.p1	XM_008370997.1.p1
OG0000029	NM_001331942.1.p1, NM_001331943.1.p1, NM_001333589.1.p1, NM_122936.5.p1, NM_001344104.1.p1, NM_001344486.1.p1, NM_001344485.1.p1, NM_001344784.1.p1, NM_001344785.1.p1, NM_124238.4.p1, NM_001344782.1.p1, NM_001198336.2.p1, NM_148606.3.p1, NM_001333846.1.p1, NM_001124043.2.p1, NM_001084273.3.p1, NM_001333832.1.p1, NM_001333831.1.p1, NM_001333836.1.p1, NM_001333835.1.p1, NM_001333830.1.p1, NM_001333859.1.p1, NM_001333858.1.p1, NM_001333867.1.p1	XM_029106247.1.p1, XM_017336815.2.p1
OG0000029	NM_114540.2.p1, NM_114538.2.p1, NM_114520.3.p1	XM_008378176.3.p1
OG0000030	NM_104062.3.p1, NM_113029.4.p1, NM_001338528.1.p1, NM_001335227.1.p1, NM_126462.1.p1, NM_128458.2.p1, NM_125360.3.p1, NM_001345363.1.p1, NM_125357.1.p1, NM_114509.1.p1, NM_100629.4.p1, NM_001339245.1.p1, NM_114500.5.p1, NM_100630.3.p1, NM_128455.3.p1, NM_128459.3.p1, NM_001198271.1.p1, NM_104060.4.p1, NM_104065.2.p1, NM_001333511.1.p1, NM_001333504.1.p1, NM_001333505.1.p1, NM_104061.3.p1	XM_029096822.1.p1, XM_029108315.1.p1
OG0000030	NM_119090.2.p1, NM_001341960.1.p1	XR_003766618.1.p1, XM_029088199.1.p1, XM_029088182.1.p1
OG0000030	NM_001333503.1.p1	XM_008393070.3.p1
OG0000032	NR_143308.1.p1, NR_143307.1.p1, NR_143309.1.p1, NM_001344233.1.p1, NM_123182.4.p1, NM_001334253.1.p1, NM_105359.3.p1, NM_001334252.1.p1	XM_029097946.1.p1, XM_008383054.3.p1, XM_008383052.3.p1, XM_029097945.1.p1, XM_029097944.1.p1, XM_029108845.1.p1
OG0000032	NM_148636.2.p1, NM_101697.6.p1, NM_001160877.1.p1	XM_008376557.3.p1, XM_029093122.1.p1, XM_017332985.2.p1, XM_029093123.1.p1, XM_008376558.3.p1
OG0000032	NM_001332678.1.p1, NM_102350.3.p1	XM_008368850.3.p1
OG0000033	NM_100318.5.p1, NM_001331476.1.p1, NM_100315.4.p1, NM_125345.5.p1, NM_001037027.1.p1, NM_125346.3.p1	XM_029096387.1.p1, XM_029096389.1.p1, XR_003776877.1.p1, XM_029110017.1.p1, XM_029092019.1.p1, XM_008367145.3.p1, XM_029092018.1.p1
OG0000034	NM_125108.4.p1, NM_113538.2.p1, NM_113537.2.p1, NM_001338796.1.p1, NM_113540.5.p1, NM_113539.2.p1, NM_126314.3.p1, NM_122423.3.p1, NM_122421.3.p1, NM_122422.4.p1, NM_122427.2.p1	XM_029091127.1.p1, XM_008368821.3.p1, XM_008342140.3.p1
OG0000037	NM_119682.4.p1, NM_119681.1.p1	XM_008359596.3.p1, XM_029107936.1.p1, XM_008360216.3.p1, XM_008360210.3.p1, XM_029102217.1.p1, XM_029102218.1.p1, XM_008384232.3.p1
OG0000038	NM_001203112.1.p1, NM_001339419.1.p1, NM_114803.6.p1, NM_001339417.1.p1, NM_001339418.1.p1, NM_001339420.1.p1, NM_001084795.1.p1	XM_008383263.3.p1, XR_003775106.1.p1
OG0000038	NM_180603.1.p1, NM_001331358.1.p1, NM_001331357.1.p1, NM_179206.3.p1, NM_001340375.1.p1, NM_001340376.1.p1, NM_001340377.1.p1	XR_003767043.1.p1, XR_003767044.1.p1, XR_003767037.1.p1, XR_003767039.1.p1, XR_003767038.1.p1, XM_029089271.1.p1, XM_017335700.2.p1, XM_029100410.1.p1
OG0000038	NM_001331804.1.p1, NM_100783.6.p1, NM_148447.4.p1	XR_001791762.2.p1, XR_003767362.1.p1, XR_531616.3.p1, XR_003767361.1.p1, XM_008390300.3.p1
OG0000039	NM_001125862.1.p1, NM_123281.4.p1, NM_123275.4.p1, NM_123280.3.p1, NM_123273.2.p1, NM_111469.3.p1, NM_117545.4.p1, NM_123258.2.p1, NM_123253.2.p1, NM_001344279.1.p1, NM_001344280.1.p1, NM_123255.2.p1	XM_008376832.2.p1, XM_008395260.3.p1, XM_008394924.3.p1, XM_017325148.2.p1, XM_008347799.3.p1
OG0000041	NM_103687.2.p1, NM_103599.2.p1	XM_029108052.1.p1, XM_029108055.1.p1, XM_029096763.1.p1
OG0000042	NM_112323.5.p1, NM_112324.2.p1, NM_001338127.1.p1, NM_001338129.1.p1, NM_001338128.1.p1, NM_112325.2.p1, NM_112329.4.p1, NM_112327.3.p1, NM_001338130.1.p1, NM_112326.4.p1, NM_001338132.1.p1, NM_112322.3.p1	XM_008368636.3.p1, XM_029100223.1.p1, XM_008388166.3.p1, XM_029089141.1.p1
OG0000043	NM_103475.1.p1	XM_029104206.1.p1, XM_029100665.1.p1
OG0000044	NM_001332190.1.p1, NM_101457.3.p1, NM_123739.3.p1, NM_001344503.1.p1, NM_001344501.1.p1, NM_123740.5.p1, NM_104026.2.p1, NM_124097.2.p1, NM_125696.4.p1, NM_001036139.2.p1, NM_104799.4.p1, NM_104811.4.p1, NM_001333949.1.p1, NM_104812.3.p1, NM_001333940.1.p1, NM_001333938.1.p1, NM_001198041.2.p1, NM_101100.2.p1, NM_001332027.1.p1, NM_001332021.1.p1, NM_001332023.1.p1, NM_001340685.1.p1, NM_001332028.1.p1, NM_001334084.1.p1, NM_105015.2.p1, NM_104941.2.p1, NM_001334083.1.p1, NM_001334081.1.p1, NM_105014.2.p1	XM_029096837.1.p1, XM_029097339.1.p1
OG0000045	NM_124796.4.p1	XM_029104850.1.p1, XM_029104980.1.p1, XM_008358836.3.p1, XM_029104846.1.p1, XM_008378603.3.p1, XM_008349050.3.p1
OG0000045	NM_103036.3.p1, NM_001333026.1.p1, NM_001333027.1.p1	XM_029092260.1.p1, XR_001792207.2.p1
OG0000047	NM_001345421.1.p1, NM_001339201.1.p1, NM_114395.4.p1	XM_008371532.3.p1, XM_029090834.1.p1, XR_529111.3.p1, XR_531489.3.p1
OG0000047	NM_001333688.1.p1, NM_001333689.1.p1, NM_001340394.1.p1	XM_008388191.3.p1, XM_008370513.3.p1
OG0000047	NM_126071.5.p1, NM_114930.6.p1	XM_008366459.2.p1, XM_029106656.1.p1, NM_001293871.1.p1, XM_008340460.3.p1, XM_029093893.1.p1
OG0000048	NM_111458.5.p1, NM_122557.3.p1	XM_008390222.3.p1, XM_008390223.3.p1, XM_029101392.1.p1
OG0000048	NM_128652.4.p1, NM_202042.3.p1, NM_100519.3.p1	XM_029108474.1.p1, XM_008344871.3.p1
OG0000048	NM_117987.4.p1	XM_008373272.3.p1, XM_008367819.3.p1
OG0000048	NM_121468.4.p1	XM_029107730.1.p1
OG0000048	NM_116297.4.p1	XM_008387483.2.p1, XM_008385050.3.p1
OG0000048	NM_104580.5.p1, NM_001333809.1.p1, NM_001331858.1.p1, NM_202072.2.p1, NM_001084030.2.p1, NM_100858.5.p1, NM_001331859.1.p1	XM_008341188.3.p1, XM_029107427.1.p1
OG0000050	NM_114989.4.p1, NM_001084441.2.p1, NM_127334.4.p1, NM_119762.4.p1	XM_008339768.3.p1
OG0000050	NM_001203987.1.p1	XM_029109640.1.p1
OG0000050	NM_101863.4.p1, NM_106234.3.p1	XM_008349124.3.p1, XM_008389702.3.p1
OG0000050	NM_001345564.1.p1, NM_001339347.1.p1, NM_125682.5.p1, NM_114673.3.p1	XM_029103968.1.p1, XM_008394834.3.p1
OG0000050	NM_119039.3.p1	XM_029095093.1.p1, XM_029110464.1.p1, XM_029087575.1.p1
OG0000050	NM_130033.3.p1	XM_029105533.1.p1, XM_029093374.1.p1
OG0000051	NM_121018.4.p1	XM_008393049.3.p1
OG0000052	NM_120688.3.p1	XM_029101466.1.p1
OG0000052	NM_001331699.1.p1	XR_003766678.1.p1
OG0000052	NM_128486.3.p1, NM_001336207.1.p1, NM_128484.3.p1, NM_001202702.1.p1, NM_128485.4.p1, NM_128488.4.p1, NM_179800.3.p1, NM_001336209.1.p1, NM_001124937.2.p1, NM_001336205.1.p1, NM_001336208.1.p1, NM_128619.2.p1, NM_128487.3.p1	XM_008377760.3.p1, XM_008358514.3.p1, XM_029099703.1.p1, XM_008360776.3.p1, XM_008360777.3.p1, XM_017326172.2.p1
OG0000053	NM_101977.2.p1, NM_101976.2.p1, NM_101974.3.p1, NM_101979.4.p1, NM_101978.5.p1, NM_148476.1.p1, NM_001332490.1.p1, NM_113445.2.p1	XM_029110217.1.p1, XM_029110216.1.p1, XM_017328378.2.p1, XM_029110223.1.p1, XM_029103037.1.p1
OG0000054	NM_117158.4.p1, NM_001340691.1.p1, NM_001340690.1.p1	XM_029089579.1.p1, XM_029088608.1.p1, XM_029093440.1.p1, XM_029098843.1.p1, XM_029096889.1.p1
OG0000055	NM_001343099.1.p1, NM_121068.4.p1	XM_008339996.3.p1, XM_008356012.3.p1, XM_008363158.3.p1
OG0000055	NM_114904.4.p1	XM_008341390.3.p1
OG0000056	NR_142515.1.p1, NM_120233.2.p1, NM_120234.4.p1, NM_001337784.1.p1	XM_008371951.3.p1, XM_008361580.3.p1
OG0000056	NM_116475.2.p1, NM_116474.4.p1, NM_129327.4.p1, NM_115241.3.p1	XM_008389582.3.p1, XM_029089600.1.p1, XM_008371765.3.p1, XM_008368511.3.p1
OG0000057	NM_001335933.1.p1	XM_008380021.3.p1, XM_029093888.1.p1
OG0000057	NM_114131.3.p1, NM_126721.3.p1	XR_003776340.1.p1
OG0000057	NM_001334999.1.p1, NM_001335000.1.p1	XM_008382832.2.p1
OG0000057	NM_101587.2.p1	XM_008344295.3.p1, XM_029097307.1.p1
OG0000057	NM_114664.4.p1, NM_125662.4.p1	XM_029093129.1.p1, XM_008376291.3.p1
OG0000057	NM_001340040.1.p1	XM_008380246.2.p1
OG0000060	NM_129849.5.p1, NM_001336999.1.p1	XM_008370338.3.p1, XM_029108172.1.p1
OG0000060	NM_001338134.1.p1, NM_001338135.1.p1, NM_104229.4.p1, NM_112333.3.p1	XM_008346917.3.p1, XM_029100303.1.p1
OG0000060	NM_121906.4.p1	XM_008392587.3.p1, XM_008355023.3.p1
OG0000060	NM_001338321.1.p1, NM_202602.2.p1, NM_001338319.1.p1, NM_001338320.1.p1, NM_106026.3.p1, NM_179354.3.p1, NM_001198098.1.p1	XM_008376612.3.p1, XM_029092753.1.p1, XM_008353704.3.p1
OG0000060	NM_126206.4.p1	XM_029091693.1.p1, XM_029091691.1.p1
OG0000061	NM_119903.4.p1, NM_001125659.1.p1, NM_119904.2.p1, NM_125104.3.p1, NM_119906.3.p1, NM_119900.3.p1, NM_119898.4.p1, NM_119899.1.p1, NM_105325.3.p1, NM_001124086.1.p1, NM_113795.2.p1, NM_127883.1.p1, NM_127886.1.p1, NM_119896.4.p1, NM_119897.3.p1, NM_123013.4.p1, NM_001344133.1.p1	XM_008370905.3.p1, XM_029094682.1.p1, XM_029093829.1.p1
OG0000062	NM_001334373.1.p1, NM_001334375.1.p1, NM_001334374.1.p1, NM_102380.4.p1	XM_008341503.3.p1, XM_029091236.1.p1, XM_029091239.1.p1
OG0000062	NM_123217.3.p1	XM_008343631.3.p1, XM_008343629.3.p1
OG0000062	NM_105713.2.p1, NM_105714.4.p1, NM_102203.3.p1	XM_008391430.3.p1, XM_029091943.1.p1, XM_029096533.1.p1
OG0000062	NM_113366.3.p1	XM_008356180.3.p1, XM_008363022.3.p1
OG0000062	NM_001338692.1.p1	XM_008382703.3.p1, XM_029097841.1.p1
OG0000062	NM_001335595.1.p1, NM_001335596.1.p1	XM_008339885.3.p1, XM_029091177.1.p1
OG0000063	NM_106502.3.p1, NM_001334831.1.p1, NM_101561.3.p1, NM_101562.4.p1, NM_118663.3.p1, NM_001341727.1.p1, NM_202885.2.p1, NM_118662.4.p1	XM_008368296.3.p1, XM_029089128.1.p1, XM_029089130.1.p1, XM_029100304.1.p1, XM_029089127.1.p1
OG0000064	NM_126167.1.p1	XM_008393050.2.p1
OG0000065	NM_116364.1.p1, NM_116423.4.p1, NM_116424.2.p1, NM_116404.1.p1, NM_116422.3.p1, NM_001340707.1.p1, NM_117210.2.p1, NM_117223.2.p1, NM_117224.2.p1, NM_116451.1.p1, NM_116406.2.p1, NM_116450.2.p1, NM_148192.3.p1, NM_117037.1.p1, NM_114257.2.p1, NM_105582.2.p1, NM_105191.4.p1, NM_127523.4.p1, NM_001335641.1.p1, NM_123121.1.p1, NM_126498.3.p1, NM_114547.2.p1, NM_114548.4.p1, NM_147903.3.p1, NM_001339368.1.p1, NM_114453.3.p1, NM_125386.2.p1, NM_001345376.1.p1, NM_125387.2.p1, NM_125385.2.p1, NM_116365.4.p1, NM_202828.2.p1, NM_001341081.1.p1, NM_001125505.2.p1, NM_113487.1.p1, NM_001124040.1.p1, NM_001036126.3.p1, NM_111580.4.p1, NM_111579.1.p1, NM_123940.3.p1, NM_124784.3.p1, NM_180566.2.p1, NM_001345075.1.p1, NM_124783.1.p1, NM_001345074.1.p1, NM_117585.6.p1, NM_126482.3.p1, NM_123844.2.p1, NM_129884.4.p1, NM_123396.2.p1, NM_104866.2.p1	XM_029098074.1.p1, XM_029098073.1.p1, XM_029092188.1.p1, XM_029092189.1.p1
OG0000066	NM_001203961.1.p1, NM_119396.2.p1, NM_202931.2.p1, NM_128117.4.p1	XM_017323378.2.p1, XM_017323375.2.p1, XM_017323376.2.p1, XM_008387650.3.p1, XM_017322834.2.p1, XM_008387636.3.p1, XM_029109442.1.p1
OG0000067	NM_122974.1.p1	XM_029099912.1.p1, XM_029100593.1.p1, XM_029099906.1.p1, XM_029099908.1.p1, XM_008385997.3.p1, XM_017334849.2.p1, XM_017336665.2.p1, XM_008392907.3.p1, XM_008392904.3.p1, XM_008392903.2.p1
OG0000067	NM_001338351.1.p1, NM_112753.2.p1	XM_029097239.1.p1, XM_029097240.1.p1, XM_029097036.1.p1, XM_029097034.1.p1, XM_029108767.1.p1, XM_029097905.1.p1, XM_029098840.1.p1, XM_029097395.1.p1, XM_029096906.1.p1, XM_008343177.3.p1, XM_029096907.1.p1, XM_008343185.3.p1, XM_008343184.3.p1, XM_029098835.1.p1
OG0000067	NM_120555.3.p1, NM_001342784.1.p1, NM_001342785.1.p1, NM_120550.4.p1, NM_001342789.1.p1, NM_120552.2.p1	XM_029098839.1.p1, XM_029097579.1.p1, XM_029098831.1.p1, XM_008343493.2.p1, XM_029096913.1.p1, XR_003771434.1.p1, XM_029096754.1.p1
OG0000070	NM_113070.3.p1, NM_113074.2.p1, NM_113075.3.p1, NM_113073.3.p1, NM_001341023.1.p1, NM_001341024.1.p1, NM_117614.3.p1, NM_001341025.1.p1, NR_141603.1.p1, NR_141604.1.p1, NR_141602.1.p1, NR_141601.1.p1, NR_141605.1.p1	XM_029108135.1.p1, XM_029108136.1.p1, XM_008364110.3.p1, XM_029108140.1.p1, XM_008369462.3.p1
OG0000070	NM_128525.2.p1, NM_128527.4.p1, NM_128528.4.p1, NM_128529.3.p1, NM_100600.4.p1, NM_100599.4.p1, NM_100598.4.p1	XM_008386598.3.p1, XM_008386596.3.p1, XM_008386595.3.p1
OG0000072	NM_001203804.1.p1, NM_001340975.1.p1, NM_117574.4.p1, NM_113145.5.p1	XM_008392672.3.p1, XM_029096292.1.p1
OG0000072	NM_111234.5.p1	XR_003767588.1.p1, XR_003767586.1.p1, XR_003767583.1.p1, XM_008393507.3.p1, XR_531931.3.p1
OG0000072	NM_129937.4.p1, NM_115838.6.p1, NM_180691.1.p1	XM_008375176.3.p1
OG0000072	NM_001338588.1.p1	XR_003767392.1.p1
OG0000072	NM_203114.2.p1, NM_001344055.1.p1, NM_001344053.1.p1, NM_122685.3.p1, NM_180756.3.p1, NM_001337549.1.p1, NM_111366.4.p1	XM_008352407.3.p1, XM_029101495.1.p1, XM_029101493.1.p1
OG0000074	NM_111431.4.p1, NM_001337590.1.p1, NM_180754.4.p1, NM_001344043.1.p1, NM_122666.4.p1, NM_001344042.1.p1	XM_029101433.1.p1, XM_008372197.3.p1, XM_008390296.3.p1, XM_008390294.3.p1
OG0000074	NM_105077.4.p1, NM_117195.5.p1	XM_008350279.3.p1
OG0000074	NM_180792.3.p1, NM_123704.3.p1	XM_008342900.3.p1
OG0000074	NM_129543.3.p1	XM_008373878.3.p1, NM_001319251.2.p1
OG0000075	NM_180400.1.p1, NM_115968.2.p1, NM_130120.4.p1, NM_001337144.1.p1, NM_130117.2.p1, NM_180108.2.p1, NM_180109.3.p1, NM_001337143.1.p1, NM_130119.4.p1, NM_001333058.1.p1, NM_001333059.1.p1, NM_001333061.1.p1, NM_001333060.1.p1, NM_001333062.1.p1, NM_103092.3.p1	XM_008391617.3.p1, XM_029105024.1.p1, XM_008391905.3.p1, XM_029095915.1.p1, XM_029095914.1.p1, XM_017336916.2.p1, XM_008391597.3.p1, XM_008391592.3.p1
OG0000076	NM_103640.3.p1	XM_008369452.3.p1, XM_029106886.1.p1
OG0000076	NM_101777.2.p1, NM_126405.2.p1, NM_114728.5.p1, NM_114729.3.p1, NM_103852.3.p1, NM_103854.3.p1, NM_103853.5.p1	XM_029102082.1.p1, XM_008347958.3.p1, XM_008347957.3.p1, XM_008377726.3.p1, XM_029103413.1.p1, XM_008348168.2.p1, XM_008394088.3.p1
OG0000080	NM_112240.4.p1	XM_008393106.3.p1
OG0000080	NM_179872.3.p1, NM_113304.5.p1	XM_008360249.3.p1, XM_008374206.3.p1
OG0000080	NM_102387.3.p1	XM_008391132.3.p1
OG0000080	NM_001333710.1.p1, NM_001333712.1.p1, NM_112193.4.p1, NM_001037006.4.p1	XM_008353118.3.p1, XM_029087776.1.p1
OG0000080	NM_128359.5.p1	XM_008387133.3.p1, XM_008361295.3.p1
OG0000080	NM_001343571.1.p1	XM_008380604.3.p1, XM_029094698.1.p1
OG0000081	NM_101856.3.p1, NM_106228.3.p1	XM_008368526.1.p1, XM_008378922.3.p1
OG0000081	NM_118207.3.p1, NM_123801.2.p1	XM_029103036.1.p1
OG0000081	NM_122291.4.p1	XM_008379278.3.p1, XM_008378370.3.p1
OG0000081	NM_128508.3.p1, NM_125665.4.p1, NM_125664.4.p1	XM_029099687.1.p1
OG0000084	NM_120872.1.p1	XM_008349917.3.p1, XM_017326023.2.p1, XM_029095916.1.p1, XM_029095902.1.p1, XM_017326021.2.p1, XM_008349913.3.p1, XM_008349936.3.p1, XM_029099152.1.p1, XM_008376997.3.p1, XM_029105094.1.p1, XM_029105093.1.p1, XM_008377127.3.p1, XM_029095678.1.p1, XM_029095681.1.p1, XM_008385619.3.p1, XM_029099155.1.p1, XM_029099154.1.p1, XM_008377274.2.p1, XM_008377146.2.p1, XM_008349812.3.p1, XM_017333112.2.p1, XM_008349766.3.p1, XM_029095760.1.p1, XM_008377138.3.p1, XM_017333487.2.p1, XM_029105195.1.p1, XM_008385620.3.p1, XM_029105194.1.p1, XM_008377139.3.p1, XM_029095755.1.p1, XM_008349753.3.p1, XM_029099153.1.p1, XM_017330011.2.p1, XM_017330012.2.p1, XM_008374405.2.p1, XM_008349795.3.p1, XM_029095800.1.p1, XR_003770002.1.p1, XM_008388539.2.p1
