Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Anoplophora_glabripennis_rna.fna.transdecoder_cd
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	XM_018707599.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_023454554.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_018706903.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_018723560.1.p1
OG0000002	gnl|WGS_AAJJ|TC013326-RA.p1	XM_018710129.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_018711147.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_018714595.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_018715127.1.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	XM_018707771.2.p1, XM_018707772.1.p1, XM_018707773.1.p1, XM_018707770.1.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1	XM_018716168.1.p1
OG0000003	gnl|WGS_AAJJ|TC000282-RA.p1	XM_018718278.1.p1
OG0000003	gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_018706376.2.p1, XM_023455214.1.p1, XM_018706372.1.p1, XM_023455207.1.p1, XM_018706352.2.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1	XM_018716368.1.p1
OG0000003	gnl|WGS_AAJJ|TC015103-RA.p1, gnl|WGS_AAJJ|TC010237-RA.p1, gnl|WGS_AAJJ|TC015546-RA.p1, gnl|WGS_AAJJ|TC010239-RA.p1, gnl|WGS_AAJJ|TC032503-RA.p1, gnl|WGS_AAJJ|TC010238-RB.p1, gnl|WGS_AAJJ|TC033365-RA.p1, gnl|WGS_AAJJ|TC031668-RA.p1, gnl|WGS_AAJJ|TC015160-RA.p1, gnl|WGS_AAJJ|TC010255-RA.p1, gnl|WGS_AAJJ|TC015102-RA.p1, gnl|WGS_AAJJ|TC010254-RA.p1, gnl|WGS_AAJJ|TC010253-RA.p1	XM_023454504.1.p1, XM_023454502.1.p1, XM_023455314.1.p1, XM_018721400.2.p1, XM_023455303.1.p1, XM_018721191.1.p1, XM_023455308.1.p1, XM_023455550.1.p1, XM_023455313.1.p1, XM_018721459.2.p1, XM_018721136.1.p1, XM_018721519.1.p1, XM_018721238.1.p1, XM_018721423.2.p1, XM_018721435.1.p1, XM_023455302.1.p1, XM_018721116.1.p1, XM_018721414.1.p1
OG0000003	gnl|WGS_AAJJ|TC010245-RA.p1, gnl|WGS_AAJJ|TC010251-RA.p1, gnl|WGS_AAJJ|TC010244-RA.p1	XM_023456704.1.p1, XM_023457162.1.p1, XM_018719700.2.p1, XM_018719398.2.p1, XM_018714204.1.p1, XM_018722473.1.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	XM_023454500.1.p1
OG0000003	gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1	XM_018716191.1.p1, XM_018716184.2.p1, XM_018716185.1.p1, XM_018717490.1.p1
OG0000003	gnl|WGS_AAJJ|TC000153-RA.p1, gnl|WGS_AAJJ|TC000152-RA.p1	XM_018705528.1.p1, XM_018705527.1.p1, XM_018705531.2.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1	XM_018709617.1.p1
OG0000004	gnl|WGS_AAJJ|TC016307-RA.p1	XM_023457400.1.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1	XM_018711118.1.p1
OG0000004	gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1	XM_018711329.1.p1
OG0000004	gnl|WGS_AAJJ|TC000719-RA.p1	XM_018710933.1.p1, XM_023454256.1.p1, XM_023454260.1.p1, XM_018711171.1.p1
OG0000004	gnl|WGS_AAJJ|TC000720-RA.p1	XM_023454263.1.p1
OG0000004	gnl|WGS_AAJJ|TC010057-RA.p1, gnl|WGS_AAJJ|TC010054-RA.p1, gnl|WGS_AAJJ|TC010056-RA.p1, gnl|WGS_AAJJ|TC008768-RA.p1, gnl|WGS_AAJJ|TC008769-RA.p1	XM_023454144.1.p1, XM_018707381.1.p1, XM_023454147.1.p1
OG0000004	gnl|WGS_AAJJ|TC003509-RA.p1	XM_018716258.1.p1
OG0000004	gnl|WGS_AAJJ|TC013812-RA.p1	XM_018705517.1.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1	XM_018705495.1.p1
OG0000004	gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1	XM_018705505.1.p1, XM_023457269.1.p1, XM_023457267.1.p1, XM_023457083.1.p1
OG0000004	gnl|WGS_AAJJ|TC013828-RA.p1	XM_023457272.1.p1, XM_023457231.1.p1
OG0000004	gnl|WGS_AAJJ|TC013988-RA.p1	XM_018705508.1.p1
OG0000004	gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1	XM_018710706.1.p1, XM_018710703.1.p1, XM_018724076.1.p1, XM_018710707.1.p1, XM_018710709.1.p1, XM_018710702.1.p1, XM_018710705.1.p1, XM_018710704.1.p2, XM_018710748.1.p1
OG0000004	gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2	XM_023457270.1.p1, XM_023457261.1.p1, XM_018705502.1.p1
OG0000004	gnl|WGS_AAJJ|TC013809-RA.p1	XM_018717305.1.p1
OG0000004	gnl|WGS_AAJJ|TC015908-RA.p2	XM_023454146.1.p1
OG0000004	gnl|WGS_AAJJ|TC013815-RA.p1	XM_023457252.1.p1
OG0000004	gnl|WGS_AAJJ|TC013818-RA.p1	XM_023457265.1.p1
OG0000004	gnl|WGS_AAJJ|TC002908-RA.p1	XM_018721494.2.p1
OG0000004	gnl|WGS_AAJJ|TC011338-RA.p1	XM_018710727.1.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	XM_018705884.2.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_018714831.1.p1, XM_018714830.1.p1
OG0000005	gnl|WGS_AAJJ|TC012281-RA.p1, gnl|WGS_AAJJ|TC012283-RA.p1	XM_018707750.2.p1, XM_018707740.1.p1, XM_018707199.1.p1, XM_018707782.1.p1, XM_018707757.1.p1, XM_018707748.1.p1, XM_018707784.1.p1
OG0000005	gnl|WGS_AAJJ|TC033603-RA.p1, gnl|WGS_AAJJ|TC004273-RA.p1, gnl|WGS_AAJJ|TC004274-RA.p1	XM_018717889.1.p1, XM_023456335.1.p1
OG0000005	gnl|WGS_AAJJ|TC008675-RA.p1, gnl|WGS_AAJJ|TC010152-RA.p1	XM_018713746.2.p1, XM_018714735.2.p1, XM_018714734.1.p1, XM_018714721.1.p1
OG0000005	gnl|WGS_AAJJ|TC007056-RA.p1	XM_018713257.2.p1
OG0000005	gnl|WGS_AAJJ|TC003857-RA.p1	XM_018706106.1.p1, XM_018706068.2.p1, XM_018710292.1.p1, XM_018710293.1.p1, XM_018710285.2.p1, XM_023454379.1.p1, XM_018706004.1.p1, XM_018705983.1.p1, XM_018705982.1.p1, XM_018705984.1.p1, XM_018706011.1.p1, XM_018706013.1.p1, XM_018718055.1.p1, XM_023454463.1.p1, XM_023454434.1.p1, XM_018718053.2.p1, XM_018705991.1.p1, XM_018705990.2.p1, XM_018705988.1.p1, XM_018709010.1.p1, XM_018711387.1.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	XM_018716780.2.p1
OG0000006	gnl|WGS_AAJJ|TC012503-RA.p1	XM_018706469.2.p1, XM_023454222.1.p1, XM_023454215.1.p1, XM_023454214.1.p1
OG0000006	gnl|WGS_AAJJ|TC003369-RA.p1	XM_023454443.1.p1
OG0000006	gnl|WGS_AAJJ|TC002721-RA.p1, gnl|WGS_AAJJ|TC002722-RB.p1, gnl|WGS_AAJJ|TC010423-RA.p1, gnl|WGS_AAJJ|TC014125-RA.p1, gnl|WGS_AAJJ|TC013679-RA.p1, gnl|WGS_AAJJ|TC013680-RA.p1, gnl|WGS_AAJJ|TC015992-RA.p1, gnl|WGS_AAJJ|TC013681-RA.p1, gnl|WGS_AAJJ|TC014641-RA.p1	XM_023453984.1.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	XM_018716830.2.p1
OG0000006	gnl|WGS_AAJJ|TC007061-RA.p1	XM_018716798.1.p1
OG0000006	gnl|WGS_AAJJ|TC015296-RA.p1, gnl|WGS_AAJJ|TC015292-RA.p1, gnl|WGS_AAJJ|TC033334-RA.p1, gnl|WGS_AAJJ|TC015291-RA.p1, gnl|WGS_AAJJ|TC033335-RA.p1, gnl|WGS_AAJJ|TC015343-RA.p1, gnl|WGS_AAJJ|TC033333-RA.p1, gnl|WGS_AAJJ|TC008523-RA.p1, gnl|WGS_AAJJ|TC032538-RA.p1, gnl|WGS_AAJJ|TC032539-RA.p1, gnl|WGS_AAJJ|TC011180-RA.p1	XM_023457223.1.p1, XM_018710428.2.p1
OG0000007	gnl|WGS_AAJJ|TC031623-RA.p1	XM_023455578.1.p1
OG0000007	gnl|WGS_AAJJ|TC012952-RA.p1	XM_023457246.1.p1
OG0000007	gnl|WGS_AAJJ|TC031727-RA.p1, gnl|WGS_AAJJ|TC033506-RA.p1	XM_023456447.1.p1
OG0000007	gnl|WGS_AAJJ|TC031778-RA.p1	XM_018722759.1.p1
OG0000007	gnl|WGS_AAJJ|TC016404-RA.p1, gnl|WGS_AAJJ|TC031295-RA.p1, gnl|WGS_AAJJ|TC012951-RA.p2	XM_018722610.1.p1
OG0000007	gnl|WGS_AAJJ|TC002383-RA.p1	XM_018719746.1.p1
OG0000007	gnl|WGS_AAJJ|TC004186-RA.p1	XM_018721486.1.p1
OG0000007	gnl|WGS_AAJJ|TC004044-RA.p1	XM_018722305.1.p1
OG0000008	gnl|WGS_AAJJ|TC013137-RA.p1	XM_018719603.1.p1
OG0000008	gnl|WGS_AAJJ|TC014771-RA.p3	XM_018724740.1.p1, XM_018724736.1.p1, XM_018724720.2.p1, XM_018724744.2.p1, XM_018724746.1.p1, XM_018724748.1.p1, XM_018724747.2.p1, XM_023457016.1.p1, XM_018715016.1.p1, XM_018715018.1.p1, XM_018724743.1.p1
OG0000008	gnl|WGS_AAJJ|TC013135-RA.p1	XM_018719605.1.p1
OG0000008	gnl|WGS_AAJJ|TC013130-RA.p1	XM_018716063.1.p1
OG0000008	gnl|WGS_AAJJ|TC013129-RA.p1	XM_018716051.1.p1
OG0000008	gnl|WGS_AAJJ|TC013131-RA.p1	XM_018719448.1.p1
OG0000008	gnl|WGS_AAJJ|TC033228-RA.p1	XM_018716062.1.p1, XM_018716056.1.p1, XM_018719447.1.p1, XM_018713585.1.p1
OG0000008	gnl|WGS_AAJJ|TC004547-RA.p1	XM_018723685.1.p1
OG0000008	gnl|WGS_AAJJ|TC004546-RA.p1	XM_018723684.1.p1, XM_018723657.1.p1
OG0000008	gnl|WGS_AAJJ|TC004548-RA.p1	XM_018723748.1.p1
OG0000008	gnl|WGS_AAJJ|TC003834-RA.p1, gnl|WGS_AAJJ|TC002595-RA.p1	XM_018708510.1.p1
OG0000008	gnl|WGS_AAJJ|TC003832-RA.p1	XM_018708415.1.p1, XM_018708489.1.p1, XM_018708416.1.p1
OG0000008	gnl|WGS_AAJJ|TC033226-RA.p1	XM_018721282.2.p1
OG0000008	gnl|WGS_AAJJ|TC013138-RA.p1	XM_018722615.1.p1
OG0000008	gnl|WGS_AAJJ|TC033231-RA.p1	XM_018718606.1.p1
OG0000008	gnl|WGS_AAJJ|TC013128-RA.p1	XM_018716055.1.p1
OG0000008	gnl|WGS_AAJJ|TC013136-RA.p1	XM_018719601.1.p1
OG0000008	gnl|WGS_AAJJ|TC014498-RA.p1, gnl|WGS_AAJJ|TC014497-RA.p1	XM_018718558.2.p1
OG0000008	gnl|WGS_AAJJ|TC013307-RA.p1	XM_018712752.1.p1, XM_018712753.1.p1, XM_018706630.1.p1, XM_018706640.1.p1, XM_018718925.2.p1
OG0000008	gnl|WGS_AAJJ|TC013134-RA.p1	XM_018718832.1.p1
OG0000008	gnl|WGS_AAJJ|TC013133-RA.p1	XM_018718831.1.p1, XM_018718829.1.p1
OG0000008	gnl|WGS_AAJJ|TC000442-RA.p1	XM_018711722.1.p1
OG0000008	gnl|WGS_AAJJ|TC004500-RA.p1	XM_023454668.1.p1
OG0000009	gnl|WGS_AAJJ|TC009681-RA.p1, gnl|WGS_AAJJ|TC009682-RA.p1	XM_023455630.1.p1, XM_018720123.1.p1, XM_018705843.1.p1, XM_018705886.1.p1, XM_018706390.1.p1, XM_023454666.1.p1
OG0000009	gnl|WGS_AAJJ|TC033441-RA.p1	XM_018710299.1.p1, XM_018710291.1.p1, XM_018710308.1.p1
OG0000009	gnl|WGS_AAJJ|TC032878-RA.p1	XM_018717737.1.p1
OG0000009	gnl|WGS_AAJJ|TC003287-RA.p1	XM_023454330.1.p1, XM_018708511.1.p1, XM_018708411.1.p1
OG0000009	gnl|WGS_AAJJ|TC003289-RA.p1	XM_018708552.1.p1
OG0000009	gnl|WGS_AAJJ|TC003288-RA.p1, gnl|WGS_AAJJ|TC008120-RA.p1	XM_023454321.1.p1
OG0000009	gnl|WGS_AAJJ|TC000733-RA.p1, gnl|WGS_AAJJ|TC012290-RA.p1	XM_018724420.1.p1, XM_018724437.1.p1, XM_018724380.2.p1, XM_018724379.1.p1
OG0000009	gnl|WGS_AAJJ|TC012289-RA.p1	XM_018724367.1.p1
OG0000009	gnl|WGS_AAJJ|TC001412-RA.p1	XM_018720689.1.p1
OG0000009	gnl|WGS_AAJJ|TC034160-RA.p1, gnl|WGS_AAJJ|TC034161-RA.p1	XM_018710265.2.p1, XM_018716054.1.p1, XM_018716058.1.p1
OG0000009	gnl|WGS_AAJJ|TC012233-RA.p1, gnl|WGS_AAJJ|TC012232-RA.p1, gnl|WGS_AAJJ|TC012235-RA.p1, gnl|WGS_AAJJ|TC012230-RA.p1, gnl|WGS_AAJJ|TC012234-RA.p1	XM_018717729.1.p1, XM_018717724.1.p1, XM_018717725.1.p1, XM_018722708.2.p1, XM_018717726.1.p1, XM_018717723.2.p1, XM_023456649.1.p1, XM_018721053.2.p1
OG0000009	gnl|WGS_AAJJ|TC034222-RA.p1	XM_018720687.1.p1, XM_018720688.2.p1, XM_018713478.2.p1, XM_018709316.2.p1, XM_018709317.1.p1, XM_018709297.1.p1
OG0000009	gnl|WGS_AAJJ|TC003228-RA.p1	XM_018718434.1.p1, XM_018711084.1.p1, XM_018715351.1.p1
OG0000009	gnl|WGS_AAJJ|TC034087-RA.p1	XM_018718441.2.p1
OG0000009	gnl|WGS_AAJJ|TC012566-RA.p1	XM_018720690.2.p1
OG0000009	gnl|WGS_AAJJ|TC000121-RA.p1	XM_018723366.2.p1
OG0000010	gnl|WGS_AAJJ|TC006732-RA.p1, gnl|WGS_AAJJ|TC006733-RA.p1	XM_018709777.1.p1
OG0000010	gnl|WGS_AAJJ|TC000804-RA.p1, gnl|WGS_AAJJ|TC000803-RA.p1	XM_018723682.1.p1, XM_023454166.1.p1, XM_023455615.1.p1, XM_023455614.1.p1, XM_023457339.1.p1, XM_018710726.1.p1
OG0000010	gnl|WGS_AAJJ|TC016251-RB.p1, gnl|WGS_AAJJ|TC032046-RA.p1, gnl|WGS_AAJJ|TC003375-RA.p1, gnl|WGS_AAJJ|TC003379-RA.p1, gnl|WGS_AAJJ|TC033919-RA.p1, gnl|WGS_AAJJ|TC005133-RA.p1, gnl|WGS_AAJJ|TC007922-RA.p1, gnl|WGS_AAJJ|TC032047-RA.p1, gnl|WGS_AAJJ|TC015089-RA.p1	XM_018709594.1.p1
OG0000010	gnl|WGS_AAJJ|TC009693-RA.p1, gnl|WGS_AAJJ|TC009692-RA.p1, gnl|WGS_AAJJ|TC009694-RA.p1, gnl|WGS_AAJJ|TC009691-RA.p1, gnl|WGS_AAJJ|TC005499-RA.p1, gnl|WGS_AAJJ|TC009690-RA.p1	XM_018716439.2.p1
OG0000010	gnl|WGS_AAJJ|TC015229-RA.p1, gnl|WGS_AAJJ|TC015230-RA.p1, gnl|WGS_AAJJ|TC009697-RA.p1, gnl|WGS_AAJJ|TC033626-RA.p1, gnl|WGS_AAJJ|TC009698-RA.p1, gnl|WGS_AAJJ|TC033627-RA.p1, gnl|WGS_AAJJ|TC034086-RA.p1	XM_018716433.2.p1, XM_018716440.2.p1
OG0000010	gnl|WGS_AAJJ|TC005190-RA.p1, gnl|WGS_AAJJ|TC033340-RA.p1, gnl|WGS_AAJJ|TC033339-RA.p1, gnl|WGS_AAJJ|TC031257-RA.p1	XM_018724675.1.p1
OG0000010	gnl|WGS_AAJJ|TC031398-RA.p1, gnl|WGS_AAJJ|TC011376-RA.p1	XM_018707105.1.p1, XM_018710644.1.p1, XM_018707219.1.p1, XM_018723899.2.p1, XM_018706517.1.p1, XM_023455852.1.p1, XM_018707412.1.p1, XM_018707601.1.p1, XM_023455847.1.p1, XM_023455837.1.p1, XM_023455839.1.p1, XM_018724565.1.p1, XM_018724564.1.p1, XM_018723882.2.p1, XM_018706716.1.p1, XM_023455850.1.p1, XM_018706279.1.p1, XM_018723910.1.p1, XM_018724072.2.p1, XM_023455838.1.p1, XM_018717335.1.p1, XM_023455843.1.p1, XM_023455840.1.p1
OG0000010	gnl|WGS_AAJJ|TC013193-RA.p1	XM_018720332.1.p1, XM_018720331.1.p1
OG0000010	gnl|WGS_AAJJ|TC014795-RA.p1	XM_018705922.1.p1
OG0000010	gnl|WGS_AAJJ|TC014687-RA.p1	XM_018709956.1.p1, XM_023456279.1.p1, XM_023456274.1.p1
OG0000010	gnl|WGS_AAJJ|TC005165-RA.p1	XM_018710140.1.p1
OG0000011	gnl|WGS_AAJJ|TC033320-RA.p1	XM_018712599.2.p1
OG0000011	gnl|WGS_AAJJ|TC010895-RA.p1, gnl|WGS_AAJJ|TC012913-RA.p1	XM_023454246.1.p1
OG0000011	gnl|WGS_AAJJ|TC008459-RA.p1	XM_023454041.1.p1
OG0000011	gnl|WGS_AAJJ|TC003405-RA.p1	XM_018707965.2.p1
OG0000011	gnl|WGS_AAJJ|TC005437-RA.p1	XM_023455398.1.p1, XM_018705607.2.p1, XM_018705589.1.p1, XM_018705573.1.p1, XM_023454846.1.p1, XM_018705610.2.p1, XM_018705667.1.p1, XM_018705665.1.p1, XM_023454776.1.p1, XM_018705666.2.p1
OG0000011	gnl|WGS_AAJJ|TC005436-RA.p1	XM_018705709.1.p1
OG0000011	gnl|WGS_AAJJ|TC005865-RA.p1	XM_018705652.1.p1, XM_018705653.2.p1, XM_018705651.2.p1, XM_023454857.1.p1
OG0000011	gnl|WGS_AAJJ|TC005982-RA.p1	XM_018722932.1.p1
OG0000011	gnl|WGS_AAJJ|TC006633-RA.p1, gnl|WGS_AAJJ|TC005491-RA.p1, gnl|WGS_AAJJ|TC034047-RA.p1, gnl|WGS_AAJJ|TC005490-RA.p1	XM_018715076.1.p1
OG0000011	gnl|WGS_AAJJ|TC034141-RA.p1	XM_018720992.1.p1
OG0000011	gnl|WGS_AAJJ|TC006631-RA.p1	XM_018720991.1.p1
OG0000011	gnl|WGS_AAJJ|TC006625-RA.p1	XM_018705645.1.p1
OG0000011	gnl|WGS_AAJJ|TC006413-RA.p1	XM_018713335.2.p1
OG0000011	gnl|WGS_AAJJ|TC010266-RA.p1	XM_018716595.1.p1
OG0000011	gnl|WGS_AAJJ|TC006128-RA.p1	XM_018706205.2.p1
OG0000011	gnl|WGS_AAJJ|TC034074-RA.p1, gnl|WGS_AAJJ|TC005713-RA.p1, gnl|WGS_AAJJ|TC005712-RA.p1	XM_023454440.1.p1
OG0000013	gnl|WGS_AAJJ|TC006533-RA.p1	XM_018710840.1.p1
OG0000013	gnl|WGS_AAJJ|TC015715-RA.p1	XM_018714023.2.p1
OG0000013	gnl|WGS_AAJJ|TC015712-RA.p1	XM_018714026.1.p1
OG0000013	gnl|WGS_AAJJ|TC015717-RA.p1	XM_018714027.2.p1
OG0000013	gnl|WGS_AAJJ|TC015718-RA.p1	XM_018714031.1.p1
OG0000013	gnl|WGS_AAJJ|TC033746-RA.p1	XM_018716049.1.p1
OG0000013	gnl|WGS_AAJJ|TC033300-RA.p1	XM_018712683.1.p1
OG0000013	gnl|WGS_AAJJ|TC016355-RA.p1	XM_018714460.1.p1
OG0000013	gnl|WGS_AAJJ|TC033429-RA.p1	XM_018714028.1.p1
OG0000013	gnl|WGS_AAJJ|TC015719-RA.p1	XM_018714034.2.p1
OG0000013	gnl|WGS_AAJJ|TC034017-RA.p1	XM_018724789.1.p1, XM_018724791.1.p1
OG0000013	gnl|WGS_AAJJ|TC033430-RA.p1, gnl|WGS_AAJJ|TC015721-RA.p1, gnl|WGS_AAJJ|TC008348-RA.p1	XM_018714030.1.p1
OG0000013	gnl|WGS_AAJJ|TC015723-RA.p1	XM_018714032.1.p1, XM_018714024.2.p1
OG0000013	gnl|WGS_AAJJ|TC007608-RA.p1, gnl|WGS_AAJJ|TC032860-RA.p1	XM_018716706.1.p1, XM_018716709.1.p1, XM_018716689.1.p1, XM_018716711.2.p1, XM_018716703.1.p1, XM_018716708.1.p1, XM_018716690.1.p1, XM_018716702.1.p1
OG0000013	gnl|WGS_AAJJ|TC002612-RA.p1, gnl|WGS_AAJJ|TC005907-RA.p1, gnl|WGS_AAJJ|TC005906-RA.p1, gnl|WGS_AAJJ|TC032565-RA.p1	XM_018711374.1.p1, XM_018711424.1.p1
OG0000014	gnl|WGS_AAJJ|TC005342-RA.p1	XM_023457379.1.p1
OG0000014	gnl|WGS_AAJJ|TC006788-RA.p1	XM_018708060.1.p1
OG0000014	gnl|WGS_AAJJ|TC015804-RB.p1, gnl|WGS_AAJJ|TC015804-RA.p1	XM_018715244.1.p1
OG0000014	gnl|WGS_AAJJ|TC007194-RA.p1	XM_018717486.1.p1, XM_018717487.1.p1
OG0000014	gnl|WGS_AAJJ|TC007132-RA.p1	XM_018716527.2.p1
OG0000014	gnl|WGS_AAJJ|TC005600-RA.p1	XM_018714542.1.p1
OG0000014	gnl|WGS_AAJJ|TC006110-RA.p1	XM_023455949.1.p1
OG0000014	gnl|WGS_AAJJ|TC033171-RA.p1	XM_018714141.1.p1
OG0000014	gnl|WGS_AAJJ|TC011539-RA.p1	XM_018707978.1.p1
OG0000014	gnl|WGS_AAJJ|TC033748-RA.p1	XM_018712920.2.p1
OG0000014	gnl|WGS_AAJJ|TC000527-RA.p1	XM_018724590.1.p1
OG0000014	gnl|WGS_AAJJ|TC031568-RA.p1	XM_018717603.1.p1
OG0000014	gnl|WGS_AAJJ|TC007335-RA.p1	XM_018723975.2.p1
OG0000014	gnl|WGS_AAJJ|TC003354-RA.p1	XM_023455908.1.p1
OG0000014	gnl|WGS_AAJJ|TC003355-RB.p1	XM_018707945.1.p1
