Orthogroup	Sclerotinia_sclerotiorum	Botrytis_cinerea
OG0000048	XM_001591303.1.p1	XM_024697351.1.p1
OG0000049	XM_001594320.1.p1	XM_024690678.1.p1, XM_024691766.1.p1
OG0000049	XM_001588570.1.p1	XM_001550027.2.p1
OG0000049	XM_001598870.1.p1	XM_024696959.1.p1, XM_024696960.1.p1, XM_024696958.1.p1, XM_024696957.1.p1, XM_024696956.1.p1
OG0000050	XM_001595483.1.p1	XM_024696163.1.p1
OG0000050	XM_001598119.1.p1	XM_001560827.2.p1
OG0000053	XM_001595143.1.p1	XM_024694547.1.p1, XM_024694545.1.p1, XM_024694546.1.p1, XM_024694548.1.p1, XM_001554643.2.p1
OG0000053	XM_001586568.1.p1	XM_024695508.1.p1
OG0000056	XM_001591826.1.p1	XM_001546220.2.p1
OG0000059	XM_001595366.1.p1	XM_001548684.2.p1
OG0000059	XM_001595962.1.p1	XM_024696671.1.p1
OG0000059	XM_001586682.1.p1	XM_024691619.1.p1
OG0000060	XM_001589061.1.p1	XM_001549579.2.p1
OG0000060	XM_001596000.1.p1	XM_001557090.2.p1
OG0000060	XM_001592674.1.p1	XM_024692772.1.p1
OG0000060	XM_001597998.1.p1	XM_024692083.1.p1
OG0000061	XM_001592939.1.p1	XM_024692847.1.p1
OG0000061	XM_001588471.1.p1	XM_024691669.1.p1
OG0000061	XM_001592457.1.p1	XM_024696033.1.p1
OG0000061	XM_001592449.1.p1	XM_001558402.2.p1
OG0000062	XM_001597548.1.p1	XM_024696954.1.p1, XM_024696955.1.p1
OG0000062	XM_001595452.1.p1	XM_024693255.1.p1
OG0000062	XM_001591602.1.p1, XM_001592632.1.p1, XM_001589674.1.p1, XM_001597561.1.p1	XM_001558902.2.p1
OG0000063	XM_001594416.1.p1	XM_024690426.1.p1, XM_024690425.1.p1
OG0000063	XM_001588953.1.p1	XM_024694144.1.p1, XM_024694145.1.p1
OG0000064	XM_001595180.1.p1	XM_024694527.1.p1, XM_024694526.1.p1
OG0000068	XM_001585894.1.p1	XM_001547204.2.p1
OG0000068	XM_001598835.1.p1	XM_001553136.2.p1
OG0000068	XM_001586848.1.p1	XM_024696597.1.p1, XM_001551022.2.p1
OG0000068	XM_001593634.1.p1	XM_024692963.1.p1, XM_024694962.1.p1
OG0000068	XM_001594339.1.p1	XM_024690670.1.p1
OG0000068	XM_001592076.1.p1	XM_001549746.2.p1
OG0000072	XM_001597745.1.p1	XM_001558572.2.p1
OG0000080	XM_001596031.1.p1	XM_024696153.1.p1, XM_001546828.2.p1
OG0000080	XM_001596516.1.p1	XM_024693589.1.p1, XM_024693590.1.p1
OG0000080	XM_001584886.1.p1	XM_024696463.1.p1
OG0000080	XM_001596367.1.p1	XM_001560241.2.p1
OG0000080	XM_001585698.1.p1	XM_001554838.2.p1
OG0000080	XM_001585380.1.p1	XM_001546016.2.p1
OG0000081	XM_001596026.1.p1	XM_001546834.2.p1, XM_024697805.1.p1
OG0000081	XM_001588459.1.p1	XM_001548788.2.p1
OG0000081	XM_001598109.1.p1	XM_024693387.1.p1
OG0000081	XM_001592821.1.p1, XM_001590837.1.p1	XM_024696451.1.p1
OG0000082	XM_001593251.1.p1	XM_024693040.1.p1
OG0000082	XM_001593051.1.p1	XM_024692949.1.p1
OG0000082	XM_001593978.1.p1	XM_001551674.2.p1
OG0000082	XM_001590635.1.p1	XM_001558033.2.p1
OG0000082	XM_001592329.1.p1	XM_001556871.2.p1
OG0000083	XM_001591791.1.p1	XM_024695490.1.p1
OG0000083	XM_001585233.1.p1	XM_024691078.1.p1
OG0000083	XM_001594898.1.p1	XM_024690700.1.p1
OG0000083	XM_001597754.1.p1	XM_024693952.1.p1
OG0000083	XM_001594345.1.p1	XM_024690671.1.p1
OG0000084	XM_001589999.1.p1	XM_024698072.1.p1
OG0000084	XM_001594112.1.p1	XM_024695280.1.p1, XM_024695279.1.p1, XM_024697008.1.p1
OG0000084	XM_001587593.1.p1	XM_024694787.1.p1
OG0000086	XM_001591221.1.p1	XM_001553640.2.p1
OG0000087	XM_001591076.1.p1	XM_024697430.1.p1
OG0000093	XM_001585536.1.p1	XM_001554761.2.p1
OG0000093	XM_001587388.1.p1	XM_024694706.1.p1
OG0000093	XM_001589348.1.p1	XM_024694097.1.p1
OG0000093	XM_001585002.1.p1	XM_001548421.2.p1
OG0000093	XM_001593008.1.p1	XM_001552031.2.p1
OG0000093	XM_001587680.1.p1	XM_001550506.2.p1
OG0000094	XM_001586174.1.p1	XM_024693570.1.p1, XM_024690893.1.p1, XM_024690894.1.p1
OG0000095	XM_001598716.1.p1	XM_024693088.1.p1
OG0000095	XM_001586972.1.p1	XM_024693251.1.p1
OG0000095	XM_001594503.1.p1	XM_001548332.2.p1
OG0000095	XM_001592152.1.p1	XM_024691283.1.p1
OG0000095	XM_001593387.1.p1	XM_024694850.1.p1, XM_024694851.1.p1, XM_024694852.1.p1
OG0000096	XM_001584955.1.p1	XM_024696516.1.p1
OG0000096	XM_001584585.1.p1	XM_024695765.1.p1, XM_001552382.2.p1
OG0000096	XM_001587232.1.p1	XM_024693173.1.p1
OG0000097	XM_001595644.1.p1	XM_024692902.1.p1
OG0000097	XM_001591041.1.p1	XM_024697497.1.p1
OG0000098	XM_001586991.1.p1	XM_024693241.1.p1
OG0000103	XM_001593635.1.p1	XM_024694961.1.p1
OG0000103	XM_001595301.1.p1	XM_024696722.1.p1, XM_024698253.1.p1, XM_024693411.1.p1, XM_001547219.2.p1, XM_024696189.1.p1
OG0000103	XM_001589677.1.p1, XM_001585844.1.p1	XM_024697522.1.p1
OG0000103	XM_001596973.1.p1	XM_001553615.2.p1, XM_001556555.2.p1
OG0000103	XM_001597774.1.p1	XM_001558602.2.p1
OG0000103	XM_001598590.1.p1	XM_001559305.2.p1
OG0000112	XM_001590997.1.p1	XM_024697530.1.p1, XM_001558212.2.p1
OG0000112	XM_001591730.1.p1	XM_001555675.2.p1
OG0000112	XM_001596030.1.p1	XM_001546830.2.p1
OG0000113	XM_001597418.1.p1	XM_001552415.2.p1, XM_024691226.1.p1
OG0000113	XM_001586585.1.p1	XM_024695514.1.p1
OG0000114	XM_001598643.1.p1	XM_001559365.2.p1
OG0000114	XM_001592151.1.p1	XM_024691282.1.p1
OG0000114	XM_001585446.1.p1	XM_001554664.2.p1
OG0000115	XM_001592244.1.p1	XM_024695922.1.p1, XM_001556742.2.p1
OG0000117	XM_001588399.1.p1	XM_024692725.1.p1
OG0000117	XM_001597556.1.p1	XM_024691149.1.p1
OG0000123	XM_001592242.1.p1	XM_024695924.1.p1
OG0000129	XM_001589898.1.p1	XM_001546476.2.p1
OG0000129	XM_001587442.1.p1	XM_024694726.1.p1, XM_024694725.1.p1
OG0000130	XM_001590630.1.p1	XM_024696299.1.p1
OG0000130	XM_001585540.1.p1	XM_001554767.2.p1
OG0000130	XM_001590723.1.p1	XM_001546540.2.p1
OG0000130	XM_001590699.1.p1	XM_001552168.2.p1
OG0000131	XM_001588434.1.p1	XM_001549248.2.p1
OG0000131	XM_001596810.1.p1	XM_001555133.2.p1
OG0000131	XM_001585903.1.p1	XM_024690179.1.p1
OG0000131	XM_001586347.1.p1	XM_001555478.2.p1, XM_001547079.2.p1
OG0000132	XM_001589542.1.p1	XM_001556841.2.p1, XM_024693554.1.p1
OG0000132	XM_001587892.1.p1	XM_001552926.2.p1
OG0000132	XM_001595608.1.p1	XM_024692566.1.p1, XM_024692567.1.p1
OG0000132	XM_001596457.1.p1	XM_024692254.1.p1
OG0000133	XM_001585564.1.p1	XM_024696859.1.p1
OG0000133	XM_001596141.1.p1	XM_001555199.2.p1
OG0000133	XM_001597796.1.p1	XM_024693911.1.p1
OG0000134	XM_001598771.1.p1	XM_024697133.1.p1
OG0000138	XM_001592439.1.p1	XM_001558412.2.p1
OG0000138	XM_001598406.1.p1	XM_001559257.2.p1
OG0000138	XM_001598925.1.p1	XM_024696914.1.p1, XM_024696913.1.p1, XM_001547531.2.p1
OG0000139	XM_001591295.1.p1	XM_024697360.1.p1
OG0000139	XM_001586746.1.p1	XM_024691582.1.p1
OG0000140	XM_001597130.1.p1	XM_001552852.2.p1
OG0000141	XM_001595615.1.p1	XM_024698021.1.p1
OG0000142	XM_001584718.1.p1	XM_001558973.2.p1
OG0000142	XM_001596987.1.p1	XM_024695830.1.p1
OG0000143	XM_001597259.1.p1	XM_024691048.1.p1, XM_024691049.1.p1
OG0000150	XM_001587352.1.p1	XM_001552319.2.p1
OG0000150	XM_001592042.1.p1	XM_001552413.2.p1
OG0000150	XM_001594288.1.p1	XM_001550900.2.p1
OG0000151	XM_001590245.1.p1	XM_001549123.2.p1
OG0000152	XM_001595782.1.p1	XM_001557251.2.p1
OG0000152	XM_001586650.1.p1	XM_001554296.2.p1
OG0000152	XM_001592440.1.p1	XM_024691740.1.p1, XM_001558411.2.p1
OG0000153	XM_001585870.1.p1	XM_024690196.1.p1, XM_001555474.2.p1
OG0000153	XM_001589302.1.p1	XM_024694077.1.p1, XM_024694076.1.p1, XM_024694075.1.p1
OG0000154	XM_001596645.1.p1	XM_001559067.2.p1
OG0000154	XM_001594196.1.p1	XM_001561196.2.p1
OG0000154	XM_001598599.1.p1	XM_024691755.1.p1
OG0000160	XM_001593836.1.p1	XM_024695091.1.p1, XM_001551518.2.p1
OG0000161	XM_001587434.1.p1	XM_001553025.2.p1
OG0000161	XM_001592702.1.p1	XM_024692783.1.p1
OG0000162	XM_001591247.1.p1	XM_001553603.2.p1
OG0000162	XM_001592195.1.p1	XM_024695903.1.p1
OG0000162	XM_001595063.1.p1	XM_024694589.1.p1, XM_024694590.1.p1
OG0000163	XM_001590161.1.p1	XM_024698203.1.p1, XM_024698198.1.p1, XM_024698206.1.p1, XM_024698200.1.p1, XM_024698201.1.p1, XM_024698205.1.p1, XM_024698196.1.p1, XM_024698197.1.p1, XM_024698202.1.p1, XM_024698199.1.p1, XM_024698207.1.p1, XM_024698204.1.p1
OG0000163	XM_001585206.1.p1	XM_001553799.2.p1
OG0000164	XM_001593373.1.p1	XM_024694843.1.p1
OG0000164	XM_001593632.1.p1	XM_001554547.2.p1
OG0000164	XM_001586807.1.p1	XM_024691547.1.p1
OG0000164	XM_001596412.1.p1	XM_001556095.2.p1
OG0000164	XM_001584550.1.p1	XM_024697714.1.p1
OG0000164	XM_001596232.1.p1	XM_024696800.1.p1
OG0000165	XM_001596756.1.p1	XM_024693722.1.p1
OG0000165	XM_001596860.1.p1, XM_001589882.1.p1	XM_024692019.1.p1
OG0000165	XM_001587209.1.p1	XM_024695418.1.p1, XM_001555154.2.p1
OG0000166	XM_001586463.1.p1	XM_001557397.2.p1
OG0000167	XM_001592726.1.p1	XM_024692800.1.p1
OG0000168	XM_001591776.1.p1	XM_024695476.1.p1
OG0000168	XM_001598723.1.p1	XM_024697020.1.p1
OG0000168	XM_001590057.1.p1	XM_024698011.1.p1
OG0000178	XM_001591600.1.p1	XM_001559071.2.p1
OG0000179	XM_001588453.1.p1	XM_001545289.2.p1, XM_024692751.1.p1, XM_024693399.1.p1
OG0000182	XM_001593024.1.p1	XM_001552015.2.p1
OG0000183	XM_001588991.1.p1	XM_001552063.2.p1
OG0000183	XM_001589386.1.p1	XM_001560201.2.p1
OG0000183	XM_001596531.1.p1	XM_001559084.2.p1
OG0000183	XM_001594279.1.p1	XM_024690655.1.p1
OG0000183	XM_001596997.1.p1	XM_024693753.1.p1, XM_001556537.2.p1
OG0000183	XM_001590646.1.p1	XM_024696310.1.p1, XM_024696309.1.p1, XM_024696312.1.p1, XM_024696311.1.p1
OG0000184	XM_001597672.1.p1	XM_024694881.1.p1, XM_024693992.1.p1
OG0000184	XM_001598564.1.p1, XM_001584621.1.p1	XM_001552365.2.p1
OG0000184	XM_001591699.1.p1	XM_024695410.1.p1
OG0000185	XM_001598745.1.p1	XM_001552773.2.p1
OG0000185	XM_001590320.1.p1	XM_024698247.1.p1
OG0000186	XM_001595051.1.p1	XM_001553900.2.p1
OG0000186	XM_001588602.1.p1	XM_024697084.1.p1
OG0000186	XM_001585915.1.p1	XM_024690168.1.p1
OG0000187	XM_001598503.1.p1	XM_001554936.2.p1
OG0000187	XM_001592458.1.p1	XM_024696034.1.p1
OG0000187	XM_001598129.1.p1	XM_001560817.2.p1
OG0000188	XM_001589466.1.p1	XM_024690130.1.p1
OG0000188	XM_001594268.1.p1	XM_024695361.1.p1, XM_024690995.1.p1
OG0000189	XM_001594950.1.p1	XM_024690335.1.p1
OG0000190	XM_001590076.1.p1	XM_024697990.1.p1
OG0000198	XM_001597870.1.p1	XM_001545950.2.p1
OG0000199	XM_001589827.1.p1	XM_001548619.2.p1
OG0000200	XM_001594936.1.p1	XM_001549896.2.p1
OG0000200	XM_001585475.1.p1	XM_001554696.2.p1
OG0000201	XM_001595147.1.p1	XM_024694543.1.p1
OG0000201	XM_001598330.1.p1	XM_001560539.2.p1
OG0000201	XM_001588568.1.p1	XM_001550028.2.p1
OG0000202	XM_001597515.1.p1	XM_024691113.1.p1
OG0000202	XM_001598847.1.p1	XM_001553116.2.p1
OG0000202	XM_001584653.1.p1	XM_001550177.2.p1
OG0000203	XM_001593407.1.p1	XM_024694861.1.p1, XM_024694860.1.p1
OG0000203	XM_001594644.1.p1	XM_001561269.2.p1
OG0000203	XM_001592310.1.p1	XM_024695967.1.p1
OG0000204	XM_001587855.1.p1	XM_024691360.1.p1
OG0000204	XM_001587231.1.p1	XM_024693174.1.p1
OG0000204	XM_001594733.1.p1	XM_024690789.1.p1
OG0000205	XM_001596116.1.p1, XM_001596117.1.p1	XM_024696738.1.p1
OG0000217	XM_001592159.1.p1	XM_001555769.2.p1
OG0000218	XM_001595191.1.p1	XM_024691778.1.p1, XM_024694519.1.p1
OG0000218	XM_001593236.1.p1	XM_001548597.2.p1
OG0000218	XM_001596788.1.p1	XM_024693700.1.p1
OG0000218	XM_001598697.1.p1	XM_001559426.2.p1
OG0000219	XM_001592528.1.p1	XM_001556624.2.p1
OG0000219	XM_001587021.1.p1	XM_024693224.1.p1, XM_001550645.2.p1
OG0000220	XM_001595459.1.p1	XM_001552461.2.p1
OG0000220	XM_001591268.1.p1	XM_024697371.1.p1
OG0000221	XM_001586279.1.p1	XM_001553540.2.p1
OG0000221	XM_001586084.1.p1	XM_001556380.2.p1
OG0000221	XM_001590986.1.p1	XM_001558222.2.p1
OG0000221	XM_001585452.1.p1	XM_001554671.2.p1
OG0000221	XM_001597636.1.p1	XM_024693838.1.p1
OG0000222	XM_001585209.1.p1	XM_024696492.1.p1
OG0000223	XM_001591654.1.p1, XM_001594008.1.p1, XM_001594053.1.p1, XM_001590160.1.p1	XM_024692356.1.p1
OG0000223	XM_001591673.1.p1, XM_001596154.1.p1, XM_001590086.1.p1, XM_001588520.1.p1, XM_001585950.1.p1, XM_001591313.1.p1	XM_024691304.1.p1
OG0000224	XM_001586644.1.p1	XM_024691638.1.p1
OG0000224	XM_001598198.1.p1	XM_024691991.1.p1
OG0000225	XM_001587468.1.p1, XM_001592654.1.p1, XM_001591377.1.p1, XM_001584499.1.p1, XM_001585807.1.p1	XM_024692327.1.p1
OG0000225	XM_001584498.1.p1	XM_024692287.1.p1
OG0000226	XM_001590327.1.p1	XM_024692474.1.p1, XM_024692473.1.p1
OG0000226	XM_001598819.1.p1	XM_024697116.1.p1, XM_024697117.1.p1
OG0000226	XM_001592460.1.p1	XM_024696035.1.p1
OG0000227	XM_001587263.1.p1	XM_024693154.1.p1
OG0000227	XM_001590923.1.p1	XM_024697564.1.p1
OG0000227	XM_001588689.1.p1	XM_024697041.1.p1, XM_024697040.1.p1
OG0000228	XM_001589423.1.p1	XM_024693309.1.p1
OG0000228	XM_001592404.1.p1	XM_024696011.1.p1
OG0000229	XM_001598727.1.p1	XM_024697022.1.p1, XM_024697023.1.p1
OG0000237	XM_001592845.1.p1	XM_001548214.2.p1
OG0000238	XM_001591864.1.p1	XM_001545536.2.p1, XM_024695721.1.p1
OG0000239	XM_001592718.1.p1	XM_001551995.2.p1
OG0000239	XM_001598408.1.p1	XM_001559254.2.p1
OG0000239	XM_001589370.1.p1	XM_001560213.2.p1
OG0000239	XM_001593214.1.p1	XM_024693018.1.p1
OG0000240	XM_001597021.1.p1	XM_024691182.1.p1
OG0000241	XM_001597304.1.p1	XM_001555875.2.p1
OG0000241	XM_001597572.1.p1	XM_024691158.1.p1
OG0000242	XM_001592546.1.p1	XM_001556795.2.p1
OG0000243	XM_001588260.1.p1	XM_024692663.1.p1
OG0000243	XM_001594643.1.p1	XM_024690593.1.p1
OG0000245	XM_001588723.1.p1, XM_001584925.1.p1	XM_024695329.1.p1
OG0000246	XM_001587909.1.p1	XM_024693825.1.p1
OG0000246	XM_001588494.1.p1	XM_024691682.1.p1, XM_024691681.1.p1
OG0000246	XM_001597044.1.p1	XM_024696084.1.p1, XM_024696085.1.p1
OG0000247	XM_001597985.1.p1	XM_024697835.1.p1, XM_024697836.1.p1, XM_024697834.1.p1, XM_024692087.1.p1
OG0000267	XM_001597719.1.p1	XM_001558548.2.p1
OG0000267	XM_001595699.1.p1	XM_001547255.2.p1, XM_024691213.1.p1
OG0000267	XM_001598376.1.p1	XM_001559296.2.p1
OG0000267	XM_001585193.1.p1	XM_024696501.1.p1
OG0000268	XM_001587970.1.p1	XM_001555974.2.p1
OG0000268	XM_001598176.1.p1	XM_024692009.1.p1
OG0000268	XM_001585240.1.p1	XM_001547651.2.p1
OG0000269	XM_001585012.1.p1	XM_001548429.2.p1, XM_024697649.1.p1
OG0000269	XM_001589497.1.p1	XM_024693284.1.p1
OG0000269	XM_001589454.1.p1	XM_001560144.2.p1
OG0000269	XM_001593481.1.p1	XM_024694911.1.p1
OG0000270	XM_001587585.1.p1	XM_001550070.2.p1
OG0000270	XM_001586322.1.p1	XM_024694875.1.p1, XM_024690984.1.p1
OG0000270	XM_001593073.1.p1	XM_024692959.1.p1
OG0000271	XM_001590289.1.p1	XM_024698144.1.p1, XM_024698145.1.p1
OG0000271	XM_001588988.1.p1	XM_024694151.1.p1, XM_001552072.2.p1
OG0000271	XM_001589567.1.p1	XM_024693539.1.p1
OG0000272	XM_001584618.1.p1	XM_024695773.1.p1, XM_024695774.1.p1, XM_001552368.2.p1
OG0000273	XM_001586557.1.p1	XM_001552502.2.p1
OG0000274	XM_001597228.1.p1	XM_024691025.1.p1
OG0000275	XM_001591225.1.p1	XM_001553633.2.p1
OG0000276	XM_001588524.1.p1	XM_024697001.1.p1
OG0000276	XM_001585226.1.p1	XM_024696591.1.p1
OG0000276	XM_001592024.1.p1	XM_001555648.2.p1
OG0000277	XM_001587980.1.p1	XM_001555966.2.p1
OG0000277	XM_001597932.1.p1	XM_024692128.1.p1
OG0000278	XM_001596416.1.p1	XM_001556088.2.p1
OG0000278	XM_001589373.1.p1	XM_001560211.2.p1
OG0000279	XM_001586572.1.p1	XM_001556939.2.p1
OG0000280	XM_001595508.1.p1	XM_001557935.2.p1
OG0000280	XM_001597328.1.p1	XM_024695877.1.p1
OG0000280	XM_001588345.1.p1	XM_024692700.1.p1
OG0000280	XM_001596511.1.p1	XM_024693535.1.p1, XM_024693536.1.p1
OG0000281	XM_001592409.1.p1	XM_001558452.2.p1, XM_024696013.1.p1
OG0000282	XM_001597617.1.p1	XM_001558819.2.p1
OG0000283	XM_001598332.1.p1	XM_001559388.2.p1, XM_024691716.1.p1
OG0000283	XM_001588138.1.p1, XM_001589574.1.p1, XM_001596351.1.p1	XM_024691504.1.p1, XM_024691505.1.p1, XM_024691506.1.p1, XM_024695626.1.p1, XM_024694316.1.p1, XM_024694317.1.p1, XM_024698324.1.p1, XM_024693390.1.p1, XM_024693389.1.p1, XM_024693388.1.p1
OG0000284	XM_001594946.1.p1	XM_024690336.1.p1
OG0000286	XM_001589722.1.p1	XM_024696792.1.p1
OG0000286	XM_001594634.1.p1	XM_024690587.1.p1
OG0000287	XM_001595811.1.p1	XM_024692423.1.p1
OG0000288	XM_001598882.1.p1	XM_024696938.1.p1
OG0000288	XM_001593331.1.p1, XM_001593332.1.p1	XM_024693190.1.p1
OG0000289	XM_001591936.1.p1	XM_024695393.1.p1
