Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Mycosphaerella_fijiensis_rna_prot
OG0000005	XM_001585072.1.p1	XM_007926696.1.p1
OG0000006	XM_001588863.1.p1	XM_007932708.1.p1, XM_007925570.1.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	XM_007930637.1.p1
OG0000006	XM_001585309.1.p1	XM_007923331.1.p1
OG0000006	XM_001586702.1.p1	XM_007931568.1.p1
OG0000006	XM_001588137.1.p1	XM_007927266.1.p1
OG0000006	XM_001598725.1.p1	XM_007922102.1.p1
OG0000006	XM_001584562.1.p1	XM_007930885.1.p1, XM_007921896.1.p1
OG0000006	XM_001591073.1.p1	XM_007926121.1.p1
OG0000006	XM_001585666.1.p1	XM_007932340.1.p1
OG0000006	XM_001597248.1.p1	XM_007930313.1.p1
OG0000007	XM_001591636.1.p1	XM_007923689.1.p1
OG0000007	XM_001587063.1.p1	XM_007932866.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_007928632.1.p1, XM_007921799.1.p1
OG0000007	XM_001590167.1.p1	XM_007932241.1.p1
OG0000007	XM_001589522.1.p1	XM_007926686.1.p1
OG0000007	XM_001597058.1.p1	XM_007927704.1.p1
OG0000007	XM_001595440.1.p1	XM_007924660.1.p1
OG0000007	XM_001593364.1.p1	XM_007923435.1.p1, XM_007932320.1.p1
OG0000007	XM_001590635.1.p1	XM_007924439.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_007932151.1.p1
OG0000007	XM_001593251.1.p1	XM_007928886.1.p1
OG0000008	XM_001591041.1.p1, XM_001595644.1.p1	XM_007924686.1.p1, XM_007932424.1.p1
OG0000008	XM_001596095.1.p1	XM_007927807.1.p1, XM_007924988.1.p1, XM_007934310.1.p1
OG0000008	XM_001589064.1.p1	XM_007921849.1.p1
OG0000009	XM_001587822.1.p1	XM_007930328.1.p1
OG0000009	XM_001586701.1.p1	XM_007924412.1.p1
OG0000009	XM_001595645.1.p1	XM_007927761.1.p1
OG0000009	XM_001591183.1.p1	XM_007925651.1.p1
OG0000009	XM_001585006.1.p1	XM_007922689.1.p1
OG0000009	XM_001591631.1.p1	XM_007929758.1.p1
OG0000009	XM_001592539.1.p1, XM_001590411.1.p1, XM_001586155.1.p1, XM_001593815.1.p1	XM_007931848.1.p1
OG0000009	XM_001592056.1.p1	XM_007926907.1.p1
OG0000009	XM_001584585.1.p1	XM_007925466.1.p1
OG0000009	XM_001584955.1.p1	XM_007922542.1.p1
OG0000010	XM_001587851.1.p1	XM_007928037.1.p1, XM_007929798.1.p1, XM_007933801.1.p1
OG0000010	XM_001590333.1.p1	XM_007926145.1.p1
OG0000010	XM_001590585.1.p1	XM_007922786.1.p1, XM_007928384.1.p1
OG0000011	XM_001598486.1.p1	XM_007928877.1.p1
OG0000011	XM_001589489.1.p1	XM_007928704.1.p1, XM_007933705.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_007927608.1.p1
OG0000011	XM_001595185.1.p1, XM_001587742.1.p1, XM_001585940.1.p1	XM_007929157.1.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	XM_007931389.1.p1
OG0000011	XM_001591956.1.p1	XM_007929677.1.p1
OG0000012	XM_001586083.1.p1	XM_007921688.1.p1, XM_007926366.1.p1, XM_007921532.1.p1
OG0000013	XM_001584703.1.p1	XM_007922097.1.p1, XM_007922607.1.p1
OG0000013	XM_001588453.1.p1	XM_007926926.1.p1, XM_007929237.1.p1, XM_007921656.1.p1
OG0000013	XM_001593161.1.p1	XM_007924437.1.p1
OG0000013	XM_001596549.1.p1	XM_007931152.1.p1, XM_007931153.1.p1, XM_007927727.1.p1
OG0000014	XM_001588020.1.p1, XM_001588022.1.p1	XM_007929390.1.p1
OG0000014	XM_001592509.1.p1	XM_007929031.1.p1
OG0000014	XM_001596474.1.p1	XM_007926391.1.p1, XM_007922472.1.p1
OG0000014	XM_001596618.1.p1	XM_007931310.1.p1
OG0000015	XM_001596690.1.p1	XM_007932345.1.p1
OG0000015	XM_001590767.1.p1	XM_007931081.1.p1
OG0000015	XM_001590640.1.p1	XM_007929112.1.p1
OG0000015	XM_001587535.1.p1	XM_007930628.1.p1
OG0000015	XM_001586348.1.p1	XM_007931058.1.p1
OG0000015	XM_001596393.1.p1	XM_007932881.1.p1
OG0000015	XM_001593885.1.p1	XM_007933351.1.p1
OG0000015	XM_001596760.1.p1	XM_007930632.1.p1
OG0000018	XM_001585047.1.p1	XM_007924190.1.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	XM_007923481.1.p1
OG0000018	XM_001593239.1.p1	XM_007927032.1.p1
OG0000018	XM_001585013.1.p1	XM_007922123.1.p1
OG0000018	XM_001591684.1.p1	XM_007927553.1.p1, XM_007929291.1.p1, XM_007933090.1.p1, XM_007927781.1.p1
OG0000019	XM_001594911.1.p1	XM_007933035.1.p1
OG0000019	XM_001595366.1.p1	XM_007928937.1.p1
OG0000020	XM_001590645.1.p1	XM_007933119.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_007933214.1.p1
OG0000020	XM_001587118.1.p1	XM_007929015.1.p1
OG0000020	XM_001598591.1.p1	XM_007931149.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1	XM_007924608.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1	XM_007928222.1.p1
OG0000022	XM_001589348.1.p1	XM_007929794.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_007933157.1.p1
OG0000023	XM_001596222.1.p1, XM_001598705.1.p1, XM_001594007.1.p1, XM_001591314.1.p1, XM_001590086.1.p1, XM_001591313.1.p1, XM_001585950.1.p1, XM_001588520.1.p1, XM_001591673.1.p1, XM_001596154.1.p1, XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1, XM_001587656.1.p1	XM_007929507.1.p1
OG0000025	XM_001597796.1.p1	XM_007933704.1.p1
OG0000025	XM_001594625.1.p1	XM_007929206.1.p1
OG0000025	XM_001592424.1.p1	XM_007928459.1.p1
OG0000025	XM_001585370.1.p1	XM_007931545.1.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	XM_007932651.1.p1
OG0000026	XM_001588953.1.p1	XM_007925549.1.p1
OG0000026	XM_001594416.1.p1	XM_007930677.1.p1
OG0000027	XM_001596426.1.p1	XM_007931576.1.p1, XM_007926055.1.p1
OG0000027	XM_001594266.1.p1	XM_007931498.1.p1
OG0000027	XM_001596322.1.p1	XM_007933364.1.p1
OG0000029	XM_001592206.1.p1	XM_007922088.1.p1
OG0000029	XM_001592449.1.p1	XM_007933108.1.p1
OG0000029	XM_001592457.1.p1	XM_007924072.1.p1
OG0000029	XM_001589831.1.p1	XM_007927584.1.p1
OG0000029	XM_001590306.1.p1	XM_007926331.1.p1
OG0000031	XM_001586174.1.p1	XM_007930910.1.p1
OG0000031	XM_001587417.1.p1	XM_007926138.1.p1
OG0000032	XM_001588011.1.p1	XM_007933162.1.p1, XM_007932326.1.p1, XM_007929582.1.p1
OG0000032	XM_001587657.1.p1	XM_007933517.1.p1
OG0000033	XM_001596148.1.p1	XM_007929897.1.p1
OG0000034	XM_001590944.1.p1	XM_007925652.1.p1
OG0000034	XM_001589027.1.p1	XM_007922344.1.p1
OG0000034	XM_001588360.1.p1	XM_007929759.1.p1
OG0000034	XM_001587548.1.p1	XM_007932306.1.p1
OG0000034	XM_001588815.1.p1	XM_007927602.1.p1, XM_007927044.1.p1
OG0000034	XM_001593688.1.p1	XM_007922141.1.p1
OG0000035	XM_001597459.1.p1	XM_007924352.1.p1
OG0000035	XM_001589899.1.p1	XM_007924849.1.p1, XM_007927118.1.p1, XM_007930416.1.p1, XM_007924212.1.p1
OG0000035	XM_001595898.1.p1	XM_007924671.1.p1
OG0000035	XM_001591966.1.p1	XM_007928921.1.p1
OG0000035	XM_001587431.1.p1	XM_007922356.1.p1
OG0000036	XM_001585435.1.p1	XM_007924589.1.p1
OG0000036	XM_001595981.1.p1	XM_007929267.1.p1
OG0000037	XM_001585740.1.p1	XM_007922782.1.p1
OG0000038	XM_001597383.1.p1	XM_007924915.1.p1
OG0000038	XM_001585894.1.p1	XM_007924224.1.p1
OG0000038	XM_001586848.1.p1	XM_007931994.1.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1, XM_001593634.1.p1	XM_007928868.1.p1, XM_007930763.1.p1
OG0000039	XM_001594345.1.p1	XM_007924100.1.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	XM_007933782.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1	XM_007931288.1.p1
OG0000039	XM_001591791.1.p1	XM_007929041.1.p1
OG0000040	XM_001593301.1.p1, XM_001596860.1.p1, XM_001589882.1.p1, XM_001596756.1.p1	XM_007934008.1.p1
OG0000041	XM_001593646.1.p1	XM_007930673.1.p1
OG0000041	XM_001592709.1.p1	XM_007926088.1.p1
OG0000041	XM_001585351.1.p1	XM_007929740.1.p1
OG0000042	XM_001595143.1.p1	XM_007926146.1.p1
OG0000042	XM_001586568.1.p1	XM_007931481.1.p1, XM_007923890.1.p1, XM_007927527.1.p1
OG0000043	XM_001597597.1.p1	XM_007922127.1.p1
OG0000043	XM_001595893.1.p1	XM_007922273.1.p1
OG0000043	XM_001597513.1.p1	XM_007932943.1.p1, XM_007922535.1.p1
OG0000045	XM_001587065.1.p1	XM_007927683.1.p1
OG0000045	XM_001596031.1.p1	XM_007921694.1.p1
OG0000045	XM_001596126.1.p1	XM_007929125.1.p1
OG0000046	XM_001586463.1.p1	XM_007924533.1.p1
OG0000046	XM_001586462.1.p1	XM_007933883.1.p1, XM_007925365.1.p1
OG0000046	XM_001587340.1.p1	XM_007926373.1.p1
OG0000048	XM_001597604.1.p1	XM_007922740.1.p1
OG0000048	XM_001598119.1.p1	XM_007929315.1.p1
OG0000048	XM_001594212.1.p1	XM_007931004.1.p1
OG0000048	XM_001589336.1.p1	XM_007931533.1.p1
OG0000048	XM_001586792.1.p1	XM_007933029.1.p1
OG0000049	XM_001598398.1.p1	XM_007932642.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_007928336.1.p1
OG0000050	XM_001585954.1.p1	XM_007934300.1.p1
OG0000050	XM_001594907.1.p1	XM_007924230.1.p1
OG0000050	XM_001598548.1.p1	XM_007926442.1.p1
OG0000051	XM_001589798.1.p1	XM_007932422.1.p1
OG0000051	XM_001598899.1.p1	XM_007922676.1.p1
OG0000051	XM_001590870.1.p1	XM_007933237.1.p1
OG0000051	XM_001587951.1.p1	XM_007929941.1.p1
OG0000051	XM_001596631.1.p1	XM_007932128.1.p1
OG0000051	XM_001585247.1.p1	XM_007932508.1.p1
OG0000052	XM_001585446.1.p1	XM_007932395.1.p1
OG0000052	XM_001595011.1.p1	XM_007933796.1.p1
OG0000052	XM_001598643.1.p1	XM_007921544.1.p1
OG0000053	XM_001588399.1.p1	XM_007923113.1.p1
OG0000053	XM_001597556.1.p1	XM_007927627.1.p1
OG0000054	XM_001589469.1.p1	XM_007933087.1.p1
OG0000054	XM_001588876.1.p1	XM_007931712.1.p1
OG0000055	XM_001589853.1.p1	XM_007926487.1.p1
OG0000055	XM_001586322.1.p1	XM_007930656.1.p1
OG0000055	XM_001593073.1.p1	XM_007931615.1.p1
OG0000056	XM_001591650.1.p1	XM_007921987.1.p1
OG0000056	XM_001585689.1.p1	XM_007927956.1.p1, XM_007930603.1.p1
OG0000056	XM_001593553.1.p1	XM_007921724.1.p1
OG0000056	XM_001593890.1.p1	XM_007926104.1.p1
OG0000058	XM_001597998.1.p1	XM_007924526.1.p1
OG0000058	XM_001596000.1.p1	XM_007922106.1.p1
OG0000058	XM_001589509.1.p1	XM_007925933.1.p1
OG0000058	XM_001589061.1.p1	XM_007931584.1.p1
OG0000059	XM_001596874.1.p1	XM_007921601.1.p1
OG0000059	XM_001585108.1.p1	XM_007930288.1.p1
OG0000060	XM_001592814.1.p1	XM_007923112.1.p1, XM_007927822.1.p1
OG0000060	XM_001598675.1.p1, XM_001589077.1.p1	XM_007923473.1.p1
OG0000061	XM_001592625.1.p1	XM_007922781.1.p1
OG0000062	XM_001595701.1.p1	XM_007929875.1.p1
OG0000063	XM_001589189.1.p1	XM_007933113.1.p1
OG0000063	XM_001594922.1.p1	XM_007921540.1.p1
OG0000064	XM_001585209.1.p1	XM_007925401.2.p1
OG0000064	XM_001585305.1.p1, XM_001588665.1.p1, XM_001594438.1.p1	XM_007933839.1.p1
OG0000065	XM_001590788.1.p1	XM_007928739.1.p1
OG0000066	XM_001589898.1.p1	XM_007921772.1.p1
OG0000066	XM_001592949.1.p1	XM_007930859.1.p1, XM_007929377.1.p1
OG0000069	XM_001589526.1.p1	XM_007931618.1.p1, XM_007932296.1.p1, XM_007923231.1.p1
OG0000069	XM_001597778.1.p1	XM_007925380.1.p1
OG0000070	XM_001598556.1.p1	XM_007925655.1.p1
OG0000070	XM_001588423.1.p1	XM_007932953.1.p1
OG0000071	XM_001593511.1.p1	XM_007927539.1.p1
OG0000071	XM_001593038.1.p1	XM_007932090.1.p1
OG0000071	XM_001587924.1.p1	XM_007930904.1.p1
OG0000072	XM_001585746.1.p1	XM_007926674.1.p1
OG0000072	XM_001590639.1.p1	XM_007928752.1.p1
OG0000072	XM_001589810.1.p1	XM_007932400.1.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	XM_007927132.1.p1
OG0000076	XM_001595074.1.p1	XM_007925140.1.p1
OG0000076	XM_001589714.1.p1	XM_007921980.1.p1
OG0000076	XM_001587341.1.p1	XM_007928173.1.p1
OG0000077	XM_001592929.1.p1	XM_007927912.1.p1
OG0000077	XM_001585590.1.p1	XM_007927853.1.p1
OG0000078	XM_001597054.1.p1	XM_007931455.1.p1
OG0000078	XM_001584698.1.p1	XM_007925973.1.p1
OG0000079	XM_001596030.1.p1	XM_007922069.1.p1
OG0000079	XM_001591730.1.p1	XM_007922288.1.p1
OG0000079	XM_001598063.1.p1	XM_007929676.1.p1
OG0000079	XM_001590997.1.p1	XM_007929447.1.p1
OG0000080	XM_001597918.1.p1	XM_007925148.1.p1
OG0000081	XM_001592987.1.p1	XM_007927565.1.p1
OG0000081	XM_001586053.1.p1	XM_007922205.1.p1
OG0000081	XM_001593006.1.p1	XM_007928365.1.p1
OG0000082	XM_001587987.1.p1	XM_007921837.1.p1
OG0000082	XM_001590030.1.p1	XM_007925400.1.p1
OG0000082	XM_001595339.1.p1	XM_007924537.1.p1, XM_007929114.1.p1
OG0000082	XM_001594647.1.p1	XM_007932414.1.p1, XM_007928989.1.p1
OG0000087	XM_001595355.1.p1	XM_007924870.1.p1
OG0000087	XM_001598496.1.p1	XM_007929118.1.p1
OG0000087	XM_001597703.1.p1	XM_007928163.1.p1
OG0000088	XM_001586938.1.p1	XM_007933615.1.p1, XM_007929769.1.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	XM_007931097.1.p1
OG0000088	XM_001596104.1.p1	XM_007932295.1.p1
OG0000088	XM_001588755.1.p1	XM_007922930.1.p1
OG0000088	XM_001584513.1.p1	XM_007925850.1.p1, XM_007925700.1.p1
OG0000089	XM_001591699.1.p1	XM_007927550.1.p1, XM_007921926.1.p1
OG0000089	XM_001587168.1.p1, XM_001588511.1.p1	XM_007927540.1.p1
OG0000089	XM_001598564.1.p1, XM_001584621.1.p1	XM_007926809.1.p1
OG0000090	XM_001594001.1.p1	XM_007926029.1.p1
OG0000091	XM_001598502.1.p1	XM_007927410.1.p1
OG0000091	XM_001591770.1.p1	XM_007929707.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1	XM_007925079.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_007924802.1.p1, XM_007930679.1.p1
OG0000094	XM_001589274.1.p1	XM_007922545.1.p1
OG0000094	XM_001594932.1.p1	XM_007927150.1.p1
OG0000094	XM_001596520.1.p1	XM_007923809.1.p1
OG0000094	XM_001591526.1.p1	XM_007926144.1.p1
OG0000096	XM_001587422.1.p1	XM_007926634.1.p1
OG0000097	XM_001587536.1.p1	XM_007927702.1.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1	XM_007923761.1.p1, XM_007931290.1.p1
OG0000099	XM_001597745.1.p1	XM_007921743.1.p1, XM_007922932.1.p1, XM_007926308.1.p1
OG0000100	XM_001594288.1.p1, XM_001592042.1.p1, XM_001587352.1.p1	XM_007925731.1.p1
OG0000102	XM_001598841.1.p1	XM_007927592.1.p1
OG0000103	XM_001596956.1.p1	XM_007924339.1.p1, XM_007922309.1.p1
OG0000103	XM_001588403.1.p1	XM_007926641.1.p1
OG0000104	XM_001589359.1.p1	XM_007925694.1.p1
OG0000105	XM_001593851.1.p1	XM_007927218.1.p1
OG0000105	XM_001595490.1.p1	XM_007932450.1.p1
OG0000105	XM_001595043.1.p1	XM_007924267.1.p1
OG0000106	XM_001586917.1.p1	XM_007930294.1.p1
OG0000106	XM_001587874.1.p1, XM_001588237.1.p1, XM_001586507.1.p1	XM_007930526.1.p1
OG0000106	XM_001588849.1.p1	XM_007926854.1.p1, XM_007924037.1.p1
OG0000107	XM_001584783.1.p1	XM_007930003.1.p1
OG0000107	XM_001592404.1.p1	XM_007933869.1.p1
OG0000108	XM_001593720.1.p1	XM_007929263.1.p1
OG0000108	XM_001597053.1.p1	XM_007930321.1.p1
OG0000109	XM_001598413.1.p1	XM_007923247.1.p1
OG0000110	XM_001598742.1.p1	XM_007933132.1.p1
OG0000110	XM_001598035.1.p1	XM_007926129.1.p1
OG0000111	XM_001590699.1.p1	XM_007932915.1.p1
OG0000111	XM_001590723.1.p1	XM_007932759.1.p1
OG0000111	XM_001590630.1.p1	XM_007932810.1.p1
OG0000111	XM_001585540.1.p1	XM_007932999.1.p1
OG0000112	XM_001591772.1.p1	XM_007927723.1.p1
OG0000112	XM_001587130.1.p1	XM_007925687.1.p1
OG0000112	XM_001593481.1.p1	XM_007927676.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_007931547.1.p1, XM_007924858.1.p1, XM_007926120.1.p1
OG0000113	XM_001598286.1.p1	XM_007924327.1.p1
OG0000113	XM_001589093.1.p1	XM_007921767.1.p1
OG0000113	XM_001587022.1.p1	XM_007928648.1.p1
OG0000113	XM_001596658.1.p1	XM_007927671.1.p1
OG0000114	XM_001595727.1.p1	XM_007926895.1.p1
OG0000114	XM_001595917.1.p1	XM_007932798.1.p1
OG0000114	XM_001596499.1.p1	XM_007924403.1.p1
OG0000114	XM_001592280.1.p1	XM_007922398.1.p1
OG0000115	XM_001589376.1.p1	XM_007930833.1.p1
OG0000115	XM_001591022.1.p1, XM_001593828.1.p1, XM_001591024.1.p1	XM_007926025.1.p1, XM_007931828.1.p1, XM_007932562.1.p1
OG0000115	XM_001589988.1.p1	XM_007933176.1.p1
OG0000119	XM_001585226.1.p1	XM_007927611.1.p1
OG0000119	XM_001592024.1.p1	XM_007923262.1.p1
OG0000119	XM_001596045.1.p1	XM_007922002.1.p1
OG0000119	XM_001588524.1.p1	XM_007933809.1.p1
OG0000121	XM_001594514.1.p1	XM_007931123.1.p1
OG0000121	XM_001586430.1.p1	XM_007927952.1.p1
OG0000121	XM_001588531.1.p1	XM_007928800.1.p1
OG0000121	XM_001595985.1.p1, XM_001591107.1.p1	XM_007924735.1.p1, XM_007934015.1.p1, XM_007933167.1.p1, XM_007932472.1.p1, XM_007934014.1.p1, XM_007923939.1.p1, XM_007926720.1.p1
OG0000122	XM_001595033.1.p1	XM_007926038.1.p1
OG0000122	XM_001585288.1.p1	XM_007926967.1.p1
OG0000123	XM_001592460.1.p1	XM_007925375.1.p1
OG0000123	XM_001598819.1.p1	XM_007922278.1.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1	XM_007925501.1.p1
OG0000126	XM_001594679.1.p1	XM_007929957.1.p1
OG0000126	XM_001589851.1.p1	XM_007927783.1.p1
OG0000127	XM_001585475.1.p1	XM_007932734.1.p1
OG0000127	XM_001594936.1.p1	XM_007923173.1.p1
OG0000128	XM_001593926.1.p1	XM_007925665.1.p1
OG0000128	XM_001587645.1.p1, XM_001587546.1.p1, XM_001595695.1.p1	XM_007925831.1.p1, XM_007931060.1.p1
OG0000128	XM_001588790.1.p1	XM_007922967.1.p1
OG0000129	XM_001590739.1.p1	XM_007923953.1.p1
OG0000129	XM_001592853.1.p1	XM_007931761.1.p1
OG0000129	XM_001587396.1.p1	XM_007921963.1.p1
OG0000129	XM_001594102.1.p1	XM_007926536.1.p1
OG0000130	XM_001592702.1.p1	XM_007929005.1.p1
OG0000133	XM_001591786.1.p1, XM_001584629.1.p1	XM_007927524.1.p1
OG0000134	XM_001592770.1.p1	XM_007927301.1.p1
OG0000135	XM_001597558.1.p1, XM_001590091.1.p1	XM_007933095.1.p1
OG0000136	XM_001585363.1.p1	XM_007926491.1.p1
OG0000137	XM_001595718.1.p1	XM_007927963.1.p1
OG0000137	XM_001590475.1.p1	XM_007931751.1.p1
OG0000137	XM_001593484.1.p1	XM_007928381.1.p1
OG0000138	XM_001598876.1.p1	XM_007929513.1.p1, XM_007922114.1.p1, XM_007923246.1.p1
OG0000138	XM_001590768.1.p1	XM_007931340.1.p1
OG0000138	XM_001587737.1.p1	XM_007929349.1.p1
OG0000139	XM_001588988.1.p1	XM_007926256.1.p1
OG0000139	XM_001590289.1.p1	XM_007931014.1.p1
OG0000139	XM_001591243.1.p1	XM_007933210.1.p1
OG0000140	XM_001592573.1.p1	XM_007928239.1.p1
OG0000140	XM_001587152.1.p1	XM_007927531.1.p1
OG0000141	XM_001591420.1.p1	XM_007933905.1.p1
OG0000141	XM_001593600.1.p1	XM_007932352.1.p1
OG0000141	XM_001591233.1.p1	XM_007930032.1.p1
OG0000142	XM_001590541.1.p1	XM_007933878.1.p1
OG0000143	XM_001587980.1.p1	XM_007926479.1.p1
OG0000143	XM_001595416.1.p1	XM_007925351.1.p1
OG0000143	XM_001597932.1.p1	XM_007923660.1.p1
OG0000144	XM_001584641.1.p1	XM_007922750.1.p1
OG0000145	XM_001596988.1.p1	XM_007933967.1.p1
OG0000145	XM_001591190.1.p1	XM_007929468.1.p1
OG0000147	XM_001588528.1.p1	XM_007927685.1.p1
OG0000147	XM_001584653.1.p1, XM_001597515.1.p1	XM_007928879.1.p1
OG0000148	XM_001584961.1.p1	XM_007932835.1.p1
OG0000148	XM_001587257.1.p1	XM_007922025.1.p1
OG0000148	XM_001598192.1.p1	XM_007931680.1.p1, XM_007926853.1.p1
OG0000149	XM_001592319.1.p1	XM_007922186.1.p1
OG0000149	XM_001594094.1.p1	XM_007921553.1.p1
OG0000149	XM_001591982.1.p1	XM_007933965.1.p1, XM_007932904.1.p1
OG0000150	XM_001591864.1.p1	XM_007922476.1.p1
OG0000150	XM_001592862.1.p1	XM_007928254.1.p1
OG0000151	XM_001590918.1.p1	XM_007924396.1.p1
OG0000151	XM_001595088.1.p1	XM_007925558.1.p1
OG0000151	XM_001585695.1.p1	XM_007929719.1.p1
OG0000152	XM_001586091.1.p1	XM_007928981.1.p1
OG0000153	XM_001589373.1.p1	XM_007931472.1.p1, XM_007932509.1.p1
OG0000153	XM_001596416.1.p1	XM_007921739.1.p1
OG0000153	XM_001587427.1.p1	XM_007923530.1.p1, XM_007926629.1.p1
OG0000154	XM_001591266.1.p1, XM_001588474.1.p1	XM_007926260.1.p1
OG0000155	XM_001595155.1.p1	XM_007926980.1.p1
OG0000155	XM_001585183.1.p1	XM_007932409.1.p1
OG0000156	XM_001590138.1.p1	XM_007921991.1.p1
OG0000157	XM_001584928.1.p1	XM_007925480.1.p1
OG0000158	XM_001591152.1.p1	XM_007931145.1.p1
OG0000158	XM_001594650.1.p1	XM_007933138.1.p1
OG0000159	XM_001586220.1.p1	XM_007931043.1.p1
OG0000159	XM_001597022.1.p1	XM_007929485.1.p1
OG0000160	XM_001598265.1.p1	XM_007923171.1.p1
OG0000160	XM_001598745.1.p1, XM_001590320.1.p1	XM_007929859.1.p1, XM_007927632.1.p1
OG0000160	XM_001588069.1.p1	XM_007927125.1.p1
OG0000161	XM_001588180.1.p1	XM_007933293.1.p1
OG0000161	XM_001585748.1.p1	XM_007925321.1.p1
OG0000162	XM_001598406.1.p1	XM_007922146.1.p1
OG0000162	XM_001598925.1.p1	XM_007921555.1.p1
OG0000162	XM_001592439.1.p1	XM_007921870.1.p1
OG0000163	XM_001588689.1.p1	XM_007921678.1.p1
OG0000163	XM_001590923.1.p1	XM_007924284.1.p1
OG0000163	XM_001587263.1.p1	XM_007923736.1.p1
OG0000164	XM_001598198.1.p1	XM_007927392.1.p1
OG0000164	XM_001586644.1.p1	XM_007933402.1.p1
