Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Phanerochaete_chrysosporium_rna_prot
OG0000015	XM_001590640.1.p1, XM_001587535.1.p1, XM_001593082.1.p1, XM_001586348.1.p1, XM_001596393.1.p1, XM_001593885.1.p1, XM_001596760.1.p1, XM_001590919.1.p1	XM_007392218.1.p1, XM_007396705.1.p1, XM_007393154.1.p1, XM_007401212.1.p1
OG0000018	XM_001598881.1.p1, XM_001585047.1.p1, XM_001589923.1.p1, XM_001584504.1.p1, XM_001589463.1.p1, XM_001593239.1.p1, XM_001592971.1.p1, XM_001585013.1.p1, XM_001593916.1.p1, XM_001584503.1.p1, XM_001588213.1.p1, XM_001591140.1.p1, XM_001591684.1.p1, XM_001585991.1.p1	XM_007391245.1.p1, XM_007391719.1.p1, XM_007401562.1.p1, XM_007401548.1.p1, XM_007399421.1.p1, XM_007399820.1.p1, XM_007399714.1.p1, XM_007397217.1.p1, XM_007399767.1.p1, XM_007399765.1.p1, XM_007396221.1.p1, XM_007396217.1.p1, XM_007402605.1.p1, XM_007398292.1.p1, XM_007392509.1.p1, XM_007395038.1.p1, XM_007402354.1.p1, XM_007396925.1.p1, XM_007398646.1.p1, XM_007396761.1.p1, XM_007401455.1.p1, XM_007401456.1.p1, XM_007398767.1.p1
OG0000019	XM_001595962.1.p1, XM_001595366.1.p1, XM_001586682.1.p1	XM_007395367.1.p1, XM_007393577.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_007389605.1.p1, XM_007389592.1.p1
OG0000020	XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	XM_007398524.1.p1, XM_007398466.1.p1, XM_007398570.1.p1, XM_007397700.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1, XM_001584825.1.p1, XM_001596768.1.p1, XM_001589138.1.p1	XM_007399561.1.p1, XM_007389583.1.p1, XM_007400213.1.p1
OG0000021	XM_001590981.1.p1	XM_007392825.1.p1, XM_007392826.1.p1, XM_007392824.1.p1
OG0000022	XM_001589766.1.p1	XM_007399083.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	XM_007391746.1.p1, XM_007391747.1.p1, XM_007391745.1.p1, XM_007389801.1.p1, XM_007389795.1.p1, XM_007389807.1.p1, XM_007398584.1.p1, XM_007400799.1.p1, XM_007400423.1.p1
OG0000023	XM_001595615.1.p1, XM_001585831.1.p1, XM_001592654.1.p1, XM_001587468.1.p1, XM_001584499.1.p1, XM_001591377.1.p1, XM_001585807.1.p1, XM_001584498.1.p1, XM_001594049.1.p1, XM_001590155.1.p1, XM_001592564.1.p1, XM_001596222.1.p1, XM_001598705.1.p1, XM_001594007.1.p1, XM_001591314.1.p1, XM_001590086.1.p1, XM_001591313.1.p1, XM_001585950.1.p1, XM_001588520.1.p1, XM_001591673.1.p1, XM_001596154.1.p1, XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1, XM_001587656.1.p1	XM_007403213.1.p1
OG0000025	XM_001594625.1.p1	XM_007390783.1.p1
OG0000027	XM_001594266.1.p1, XM_001589465.1.p1, XM_001594817.1.p1, XM_001596322.1.p1	XM_007392376.1.p1
OG0000029	XM_001592206.1.p1	XM_007401820.1.p1, XM_007401624.1.p1
OG0000029	XM_001592457.1.p1, XM_001588471.1.p1	XM_007398319.1.p1
OG0000029	XM_001586393.1.p1, XM_001589831.1.p1	XM_007392808.1.p1, XM_007401329.1.p1, XM_007396805.1.p1
OG0000029	XM_001590306.1.p1	XM_007393077.1.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	XM_007397105.1.p1, XM_007397954.1.p1
OG0000034	XM_001590944.1.p1	XM_007390590.1.p1
OG0000034	XM_001589027.1.p1	XM_007393667.1.p1
OG0000034	XM_001586378.1.p1, XM_001590462.1.p1, XM_001588815.1.p1	XM_007391905.1.p1
OG0000035	XM_001597459.1.p1, XM_001589899.1.p1, XM_001595898.1.p1, XM_001597487.1.p1	XM_007398102.1.p1
OG0000037	XM_001595699.1.p1	XM_007393714.1.p1
OG0000037	XM_001597719.1.p1, XM_001585740.1.p1	XM_007398583.1.p1, XM_007400002.1.p1
OG0000038	XM_001590964.1.p1	XM_007399104.1.p1, XM_007399159.1.p1, XM_007399150.1.p1, XM_007399128.1.p1, XM_007399174.1.p1, XM_007399162.1.p1, XM_007399161.1.p1, XM_007399180.1.p1
OG0000039	XM_001594345.1.p1	XM_007394409.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	XM_007393659.1.p1, XM_007399549.1.p1
OG0000040	XM_001590854.1.p1	XM_007398720.1.p1, XM_007398722.1.p1, XM_007395061.1.p1, XM_007402962.1.p1, XM_007395067.1.p1
OG0000041	XM_001584734.1.p1, XM_001585351.1.p1	XM_007391462.1.p1
OG0000042	XM_001595143.1.p1	XM_007398260.1.p1
OG0000043	XM_001597597.1.p1	XM_007394231.1.p1
OG0000043	XM_001595893.1.p1, XM_001596074.1.p1, XM_001597513.1.p1	XM_007395956.1.p1, XM_007399675.1.p1, XM_007399671.1.p1, XM_007399673.1.p1, XM_007399674.1.p1, XM_007399637.1.p1
OG0000045	XM_001587065.1.p1	XM_007394716.1.p1, XM_007394685.1.p1, XM_007391031.1.p1, XM_007401095.1.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	XM_007389880.1.p1, XM_007389930.1.p1, XM_007390391.1.p1
OG0000045	XM_001585698.1.p1	XM_007391011.1.p1
OG0000046	XM_001586463.1.p1	XM_007393254.1.p1, XM_007399439.1.p1, XM_007399460.1.p1, XM_007399428.1.p1, XM_007399432.1.p1, XM_007402244.1.p1, XM_007402912.1.p1, XM_007392093.1.p1
OG0000046	XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	XM_007395007.1.p1, XM_007394306.1.p1
OG0000048	XM_001597604.1.p1	XM_007397479.1.p1
OG0000048	XM_001589336.1.p1	XM_007390087.1.p1
OG0000048	XM_001586792.1.p1	XM_007395139.1.p1
OG0000049	XM_001593236.1.p1	XM_007398435.1.p1, XM_007393611.1.p1, XM_007400307.1.p1
OG0000049	XM_001598697.1.p1	XM_007396464.1.p1, XM_007398923.1.p1, XM_007400665.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_007393119.1.p1
OG0000049	XM_001593385.1.p1	XM_007399262.1.p1, XM_007394278.1.p1
OG0000050	XM_001585954.1.p1	XM_007398013.1.p1, XM_007398011.1.p1
OG0000050	XM_001598548.1.p1	XM_007394861.1.p1
OG0000051	XM_001589798.1.p1	XM_007400313.1.p1
OG0000051	XM_001590870.1.p1	XM_007401625.1.p1
OG0000051	XM_001596631.1.p1	XM_007389751.1.p1
OG0000051	XM_001585247.1.p1	XM_007390912.1.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	XM_007396948.1.p1, XM_007396947.1.p1, XM_007399811.1.p1, XM_007396949.1.p1, XM_007396945.1.p1, XM_007396943.1.p1, XM_007396944.1.p1, XM_007395915.1.p1, XM_007395918.1.p1, XM_007397184.1.p1, XM_007389726.1.p1
OG0000055	XM_001589853.1.p1, XM_001587585.1.p1, XM_001586322.1.p1, XM_001593073.1.p1	XM_007391233.1.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1	XM_007402576.1.p1, XM_007391859.1.p1
OG0000058	XM_001597998.1.p1	XM_007395635.1.p1
OG0000058	XM_001596000.1.p1	XM_007398916.1.p1
OG0000058	XM_001592674.1.p1	XM_007402268.1.p1
OG0000058	XM_001589509.1.p1	XM_007389589.1.p1
OG0000058	XM_001589061.1.p1	XM_007398025.1.p1
OG0000062	XM_001595980.1.p1, XM_001592845.1.p1, XM_001595701.1.p1	XM_007392362.1.p1
OG0000063	XM_001584999.1.p1	XM_007393426.1.p1, XM_007401752.1.p1, XM_007401755.1.p1, XM_007401754.1.p1, XM_007401756.1.p1, XM_007391950.1.p1, XM_007391625.1.p1, XM_007394265.1.p1, XM_007391400.1.p1, XM_007391343.1.p1, XM_007391342.1.p1, XM_007391381.1.p1, XM_007398608.1.p1, XM_007400316.1.p1, XM_007400292.1.p1, XM_007398610.1.p1, XM_007399600.1.p1, XM_007399599.1.p1, XM_007397978.1.p1, XM_007397979.1.p1, XM_007397980.1.p1, XM_007397982.1.p1, XM_007401642.1.p1, XM_007392318.1.p1, XM_007392317.1.p1, XM_007392310.1.p1, XM_007392290.1.p1, XM_007392280.1.p1, XM_007392281.1.p1, XM_007392284.1.p1, XM_007392282.1.p1, XM_007392309.1.p1, XM_007392316.1.p1, XM_007398642.1.p1, XM_007401803.1.p1
OG0000064	XM_001585209.1.p1	XM_007395030.1.p1, XM_007395103.1.p1
OG0000065	XM_001590788.1.p1	XM_007400713.1.p1
OG0000065	XM_001596415.1.p1	XM_007398567.1.p1, XM_007403387.1.p1
OG0000065	XM_001589163.1.p1, XM_001596414.1.p1, XM_001593635.1.p1, XM_001597774.1.p1, XM_001598590.1.p1, XM_001596973.1.p1, XM_001589677.1.p1, XM_001585844.1.p1	XM_007398544.1.p1, XM_007398545.1.p1, XM_007401145.1.p1, XM_007392424.1.p1, XM_007389901.1.p1, XM_007398530.1.p1, XM_007400045.1.p1, XM_007400047.1.p1, XM_007400035.1.p1, XM_007399313.1.p1, XM_007399312.1.p1, XM_007394822.1.p1, XM_007398594.1.p1, XM_007401346.1.p1, XM_007400959.1.p1, XM_007400951.1.p1, XM_007400950.1.p1, XM_007400978.1.p1, XM_007400940.1.p1, XM_007401337.1.p1, XM_007402906.1.p1, XM_007398568.1.p1, XM_007400288.1.p1, XM_007399014.1.p1, XM_007400281.1.p1, XM_007401073.1.p1
OG0000066	XM_001587442.1.p1, XM_001589898.1.p1	XM_007392854.1.p1, XM_007392855.1.p1
OG0000066	XM_001592949.1.p1	XM_007401543.1.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	XM_007395063.1.p1
OG0000069	XM_001590565.1.p1	XM_007397793.1.p1, XM_007390076.1.p1, XM_007398876.1.p1, XM_007399524.1.p1, XM_007394521.1.p1, XM_007390172.1.p1, XM_007390171.1.p1, XM_007390173.1.p1, XM_007397994.1.p1
OG0000070	XM_001598556.1.p1	XM_007395847.1.p1
OG0000070	XM_001587941.1.p1	XM_007394395.1.p1
OG0000071	XM_001593511.1.p1	XM_007395074.1.p1
OG0000071	XM_001593038.1.p1	XM_007400139.1.p1
OG0000071	XM_001587924.1.p1	XM_007397148.1.p1, XM_007397146.1.p1
OG0000071	XM_001593312.1.p1	XM_007400430.1.p1
OG0000072	XM_001585746.1.p1	XM_007390191.1.p1, XM_007400903.1.p1, XM_007399134.1.p1, XM_007402393.1.p1, XM_007399153.1.p1
OG0000072	XM_001591150.1.p1	XM_007395677.1.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	XM_007402138.1.p1
OG0000075	XM_001589867.1.p1	XM_007401634.1.p1
OG0000076	XM_001595074.1.p1	XM_007390761.1.p1
OG0000076	XM_001597093.1.p1	XM_007390664.1.p1
OG0000076	XM_001589714.1.p1	XM_007394502.1.p1
OG0000076	XM_001587341.1.p1	XM_007399018.1.p1, XM_007394335.1.p1
OG0000077	XM_001591303.1.p1	XM_007390199.1.p1
OG0000078	XM_001594013.1.p1, XM_001597054.1.p1, XM_001584698.1.p1, XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	XM_007392773.1.p1
OG0000079	XM_001596030.1.p1	XM_007400495.1.p1
OG0000079	XM_001591730.1.p1	XM_007390103.1.p1
OG0000079	XM_001598063.1.p1	XM_007394276.1.p1
OG0000080	XM_001585697.1.p1, XM_001590695.1.p1, XM_001597918.1.p1	XM_007400198.1.p1, XM_007400199.1.p1, XM_007398830.1.p1, XM_007395658.1.p1, XM_007400185.1.p1, XM_007400187.1.p1, XM_007400188.1.p1, XM_007400186.1.p1, XM_007399926.1.p1, XM_007401799.1.p1, XM_007400073.1.p1, XM_007393687.1.p1
OG0000080	XM_001596992.1.p1	XM_007394920.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_007392911.1.p1
OG0000081	XM_001593006.1.p1	XM_007391706.1.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1	XM_007401802.1.p1, XM_007401749.1.p1
OG0000082	XM_001595339.1.p1	XM_007392237.1.p1
OG0000082	XM_001594647.1.p1	XM_007392849.1.p1, XM_007392799.1.p1
OG0000084	XM_001590245.1.p1	XM_007397324.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_007390203.1.p1, XM_007391574.1.p1
OG0000087	XM_001595355.1.p1	XM_007393224.1.p1
OG0000087	XM_001598496.1.p1	XM_007393094.1.p1
OG0000088	XM_001586938.1.p1	XM_007390202.1.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1, XM_001598564.1.p1, XM_001584621.1.p1	XM_007395173.1.p1
OG0000090	XM_001594729.1.p1	XM_007391847.1.p1, XM_007389928.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1, XM_001591446.1.p1	XM_007398039.1.p1
OG0000092	XM_001588329.1.p1	XM_007394860.1.p1
OG0000093	XM_001598888.1.p1	XM_007390359.1.p1, XM_007395042.1.p1
OG0000094	XM_001589274.1.p1	XM_007392486.1.p1, XM_007392064.1.p1
OG0000094	XM_001591784.1.p1, XM_001591526.1.p1	XM_007398410.1.p1
OG0000095	XM_001593952.1.p1, XM_001596701.1.p1	XM_007392115.1.p1
OG0000099	XM_001597745.1.p1	XM_007397924.1.p1, XM_007397977.1.p1, XM_007402580.1.p1, XM_007397975.1.p1, XM_007402581.1.p1, XM_007397716.1.p1, XM_007397714.1.p1
OG0000103	XM_001596956.1.p1	XM_007395797.1.p1, XM_007395798.1.p1, XM_007401578.1.p1, XM_007395795.1.p1
OG0000103	XM_001588403.1.p1, XM_001598588.1.p1	XM_007393433.1.p1, XM_007393438.1.p1, XM_007396706.1.p1, XM_007396708.1.p1, XM_007399672.1.p1, XM_007399670.1.p1, XM_007394171.1.p1, XM_007396733.1.p1, XM_007398955.1.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1, XM_001589359.1.p1	XM_007396859.1.p1, XM_007395086.1.p1, XM_007396906.1.p1, XM_007395375.1.p1, XM_007390108.1.p1, XM_007397226.1.p1, XM_007401751.1.p1, XM_007399456.1.p1, XM_007398687.1.p1, XM_007398695.1.p1, XM_007394316.1.p1, XM_007400864.1.p1, XM_007400865.1.p1, XM_007390398.1.p1, XM_007390093.1.p1
OG0000105	XM_001593851.1.p1	XM_007392401.1.p1
OG0000107	XM_001584783.1.p1, XM_001589423.1.p1, XM_001592404.1.p1	XM_007398049.1.p1
OG0000108	XM_001596312.1.p1	XM_007395426.1.p1, XM_007397054.1.p1, XM_007397260.1.p1, XM_007397816.1.p1
OG0000108	XM_001593720.1.p1	XM_007400498.1.p1, XM_007400496.1.p1
OG0000108	XM_001597053.1.p1	XM_007399721.1.p1
OG0000109	XM_001598413.1.p1, XM_001594476.1.p1	XM_007392209.1.p1, XM_007393947.1.p1, XM_007399612.1.p1, XM_007397958.1.p1, XM_007393948.1.p1, XM_007393943.1.p1, XM_007393950.1.p1, XM_007393952.1.p1, XM_007393941.1.p1, XM_007390645.1.p1, XM_007393951.1.p1, XM_007393955.1.p1, XM_007393933.1.p1, XM_007393936.1.p1, XM_007393937.1.p1
OG0000110	XM_001598036.1.p1	XM_007400648.1.p1
OG0000110	XM_001598035.1.p1	XM_007396755.1.p1, XM_007390347.1.p1
OG0000111	XM_001590699.1.p1	XM_007393663.1.p1
OG0000111	XM_001590723.1.p1	XM_007397350.1.p1
OG0000111	XM_001590630.1.p1	XM_007392596.1.p1
OG0000111	XM_001585540.1.p1	XM_007399065.1.p1
OG0000112	XM_001587130.1.p1	XM_007400142.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_007400726.1.p1, XM_007392267.1.p1, XM_007392266.1.p1, XM_007399992.1.p1
OG0000112	XM_001590980.1.p1	XM_007393930.1.p1, XM_007393928.1.p1, XM_007393931.1.p1, XM_007393935.1.p1, XM_007393927.1.p1, XM_007402958.1.p1, XM_007393913.1.p1, XM_007396378.1.p1, XM_007396753.1.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	XM_007396031.1.p1, XM_007395793.1.p1, XM_007393036.1.p1, XM_007393713.1.p1
OG0000114	XM_001595727.1.p1	XM_007401863.1.p1
OG0000114	XM_001595917.1.p1	XM_007396061.1.p1
OG0000114	XM_001596499.1.p1	XM_007400605.1.p1
OG0000114	XM_001592280.1.p1	XM_007398502.1.p1
OG0000118	XM_001595655.1.p1	XM_007397152.1.p1, XM_007397153.1.p1, XM_007398103.1.p1, XM_007397154.1.p1, XM_007397151.1.p1
OG0000122	XM_001595033.1.p1	XM_007395887.1.p1
OG0000122	XM_001585288.1.p1	XM_007398247.1.p1
OG0000123	XM_001592460.1.p1	XM_007396447.1.p1, XM_007396459.1.p1
OG0000123	XM_001590327.1.p1	XM_007399050.1.p1, XM_007401837.1.p1, XM_007392463.1.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1	XM_007399754.1.p1, XM_007399213.1.p1, XM_007399755.1.p1, XM_007399727.1.p1, XM_007399764.1.p1, XM_007399681.1.p1, XM_007399535.1.p1, XM_007399741.1.p1
OG0000126	XM_001594679.1.p1	XM_007393706.1.p1
OG0000126	XM_001598751.1.p1	XM_007392810.1.p1
OG0000127	XM_001585475.1.p1, XM_001594936.1.p1	XM_007402643.1.p1
OG0000128	XM_001593926.1.p1, XM_001587645.1.p1, XM_001587546.1.p1, XM_001595695.1.p1, XM_001588790.1.p1	XM_007398900.1.p1
OG0000129	XM_001587396.1.p1, XM_001594102.1.p1	XM_007401289.1.p1, XM_007401271.1.p1
OG0000133	XM_001594131.1.p1	XM_007394877.1.p1, XM_007391575.1.p1, XM_007396395.1.p1, XM_007396397.1.p1, XM_007395257.1.p1, XM_007396405.1.p1, XM_007396406.1.p1, XM_007396404.1.p1, XM_007396407.1.p1, XM_007396380.1.p1, XM_007399565.1.p1, XM_007399563.1.p1, XM_007399562.1.p1, XM_007389712.1.p1, XM_007392492.1.p1, XM_007397687.1.p1, XM_007397698.1.p1, XM_007393871.1.p1, XM_007397729.1.p1
OG0000134	XM_001596315.1.p1, XM_001592770.1.p1, XM_001593823.1.p1	XM_007393916.1.p1
OG0000135	XM_001597558.1.p1, XM_001590091.1.p1	XM_007395505.1.p1
OG0000136	XM_001591416.1.p1	XM_007398296.1.p1, XM_007398294.1.p1
OG0000137	XM_001595718.1.p1	XM_007392326.1.p1
OG0000137	XM_001590475.1.p1	XM_007396843.1.p1, XM_007401877.1.p1
OG0000137	XM_001593484.1.p1	XM_007403219.1.p1, XM_007390792.1.p1
OG0000139	XM_001584731.1.p1, XM_001588988.1.p1, XM_001589567.1.p1, XM_001590289.1.p1, XM_001591243.1.p1	XM_007401309.1.p1, XM_007395160.1.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	XM_007391783.1.p1
OG0000141	XM_001591420.1.p1, XM_001593600.1.p1	XM_007396375.1.p1, XM_007396374.1.p1, XM_007396366.1.p1
OG0000141	XM_001591233.1.p1	XM_007391646.1.p1
OG0000143	XM_001587980.1.p1, XM_001595416.1.p1	XM_007394418.1.p1
OG0000145	XM_001596988.1.p1	XM_007395716.1.p1
OG0000145	XM_001591190.1.p1, XM_001589003.1.p1	XM_007400822.1.p1, XM_007397419.1.p1
OG0000147	XM_001598847.1.p1	XM_007399367.1.p1, XM_007394851.1.p1, XM_007396532.1.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1	XM_007393560.1.p1, XM_007400211.1.p1
OG0000150	XM_001591864.1.p1, XM_001592862.1.p1	XM_007391967.1.p1
OG0000150	XM_001598441.1.p1	XM_007401039.1.p1, XM_007391658.1.p1, XM_007391015.1.p1
OG0000151	XM_001590918.1.p1	XM_007399723.1.p1
OG0000151	XM_001595088.1.p1	XM_007390022.1.p1, XM_007402164.1.p1
OG0000151	XM_001585695.1.p1	XM_007393627.1.p1
OG0000153	XM_001589373.1.p1, XM_001596416.1.p1	XM_007396376.1.p1
OG0000155	XM_001595155.1.p1	XM_007393177.1.p1
OG0000155	XM_001585183.1.p1	XM_007393710.1.p1
OG0000156	XM_001590138.1.p1, XM_001590558.1.p1	XM_007398701.1.p1
OG0000157	XM_001591936.1.p1	XM_007402056.1.p1, XM_007391172.1.p1
OG0000159	XM_001586220.1.p1	XM_007390926.1.p1
OG0000159	XM_001597022.1.p1	XM_007391564.1.p1
OG0000160	XM_001598265.1.p1, XM_001591639.1.p1	XM_007399856.1.p1, XM_007391963.1.p1
OG0000161	XM_001588180.1.p1, XM_001585748.1.p1, XM_001587165.1.p1	XM_007395355.1.p1, XM_007395357.1.p1, XM_007395123.1.p1, XM_007403235.1.p1
OG0000162	XM_001598406.1.p1	XM_007391958.1.p1
OG0000163	XM_001588689.1.p1	XM_007390024.1.p1
OG0000163	XM_001590923.1.p1	XM_007398463.1.p1
OG0000163	XM_001587263.1.p1	XM_007397429.1.p1
OG0000164	XM_001598198.1.p1	XM_007400180.1.p1, XM_007400177.1.p1, XM_007394482.1.p1
OG0000166	XM_001596176.1.p1	XM_007394275.1.p1
OG0000166	XM_001596435.1.p1, XM_001595405.1.p1	XM_007399408.1.p1
OG0000167	XM_001592412.1.p1	XM_007392170.1.p1
OG0000168	XM_001587221.1.p1	XM_007392563.1.p1, XM_007392564.1.p1, XM_007392562.1.p1, XM_007392560.1.p1, XM_007392516.1.p1
OG0000169	XM_001592310.1.p1	XM_007394625.1.p1
OG0000169	XM_001594644.1.p1	XM_007402639.1.p1
OG0000170	XM_001585258.1.p1	XM_007400753.1.p1, XM_007400750.1.p1
