Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Tribolium_castaneum_rna_prot
OG0000051	XM_001589798.1.p1	TC000481.p1
OG0000051	XM_001598899.1.p1	TC000112.p1
OG0000051	XM_001590870.1.p1	TC013109.p1
OG0000051	XM_001587951.1.p1	TC013528.p1
OG0000051	XM_001596631.1.p1	TC031067.p1, TC032628.p1
OG0000051	XM_001585247.1.p1	TC011820.p1
OG0000052	XM_001585446.1.p1	TC015614.p1, TC011192.p1, TC000960.p1
OG0000054	XM_001585845.1.p1, XM_001595945.1.p1, XM_001589469.1.p1, XM_001588876.1.p1, XM_001597561.1.p1, XM_001589674.1.p1, XM_001591602.1.p1, XM_001592632.1.p1, XM_001595452.1.p1, XM_001596090.1.p1, XM_001597548.1.p1, XM_001587362.1.p1, XM_001597751.1.p1	TC011522.p1
OG0000058	XM_001597998.1.p1	TC033493.p1, TC009706.p1, TC010172.p1, TC000188.p1, TC031639.p1, TC031036.p1
OG0000058	XM_001596000.1.p1	TC004425.p1
OG0000058	XM_001589061.1.p1	TC000487.p1
OG0000061	XM_001587436.1.p1	TC009731.p1, TC032495.p1, TC008007.p1, TC032665.p1
OG0000066	XM_001592949.1.p1	TC000380.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	TC032884.p1, TC033643.p1
OG0000067	XM_001590271.1.p1	TC010227.p1, TC014855.p1, TC001835.p1
OG0000070	XM_001598556.1.p1, XM_001587941.1.p1, XM_001588423.1.p1	TC013142.p1, TC011826.p1, TC013186.p1, TC000687.p1, TC003203.p1, TC000583.p1
OG0000071	XM_001593511.1.p1	TC007008.p1
OG0000071	XM_001593038.1.p1	TC010612.p1
OG0000071	XM_001587924.1.p1	TC014505.p1
OG0000071	XM_001593312.1.p1	TC002359.p1, TC004820.p1
OG0000073	XM_001584713.1.p1, XM_001596969.1.p1, XM_001590156.1.p1, XM_001586330.1.p1, XM_001593291.1.p1, XM_001589577.1.p1, XM_001585045.1.p1, XM_001587397.1.p1	TC031802.p1
OG0000073	XM_001591346.1.p1, XM_001596564.1.p1, XM_001588518.1.p1, XM_001592346.1.p1, XM_001589432.1.p1, XM_001586390.1.p1, XM_001586364.1.p1, XM_001588285.1.p1, XM_001591681.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1, XM_001598368.1.p1, XM_001589547.1.p1, XM_001587031.1.p1, XM_001597254.1.p1, XM_001594006.1.p1, XM_001585046.1.p1, XM_001587043.1.p1, XM_001598359.1.p1, XM_001587465.1.p1, XM_001591370.1.p1, XM_001589576.1.p1, XM_001593440.1.p1, XM_001591652.1.p1, XM_001589130.1.p1, XM_001588425.1.p1, XM_001585810.1.p1, XM_001589755.1.p1, XM_001584981.1.p1	TC031861.p1, TC006964.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	TC032451.p1, TC031040.p1, TC013021.p1
OG0000075	XM_001589867.1.p1	TC013909.p1, TC009623.p1, TC008629.p1, TC006040.p1
OG0000076	XM_001589714.1.p1, XM_001587341.1.p1	TC000110.p1
OG0000079	XM_001596030.1.p1	TC015256.p1, TC011046.p1, TC030613.p1
OG0000079	XM_001591730.1.p1	TC009740.p1, TC002523.p1
OG0000079	XM_001598063.1.p1	TC003392.p1
OG0000079	XM_001590997.1.p1	TC011738.p1
OG0000081	XM_001592987.1.p1, XM_001586053.1.p1, XM_001589644.1.p1, XM_001593006.1.p1	TC032179.p1
OG0000084	XM_001590245.1.p1	TC002816.p1
OG0000087	XM_001595355.1.p1	TC002935.p1
OG0000087	XM_001586321.1.p1	TC000779.p1, TC015709.p1
OG0000087	XM_001598496.1.p1	TC004799.p1, TC013905.p1, TC002806.p1, TC013191.p1
OG0000087	XM_001597703.1.p1	TC011165.p1
OG0000093	XM_001598888.1.p1, XM_001595187.1.p1, XM_001592451.1.p1	TC000599.p1, TC000598.p1, TC000602.p1, TC000596.p1, TC000595.p1, TC000982.p1, TC030668.p1
OG0000094	XM_001589274.1.p1, XM_001594932.1.p1, XM_001596520.1.p1, XM_001592044.1.p1, XM_001591784.1.p1, XM_001591526.1.p1	TC006139.p1
OG0000095	XM_001588747.1.p1	TC015577.p1
OG0000095	XM_001593952.1.p1, XM_001596701.1.p1	TC009560.p1, TC008314.p1
OG0000108	XM_001591983.1.p1, XM_001596312.1.p1, XM_001593720.1.p1, XM_001590490.1.p1, XM_001597053.1.p1	TC002371.p1
OG0000110	XM_001598036.1.p1	TC015510.p1
OG0000110	XM_001598742.1.p1	TC013995.p1
OG0000111	XM_001590699.1.p1	TC005366.p1
OG0000111	XM_001590630.1.p1	TC015726.p1
OG0000111	XM_001585540.1.p1	TC011181.p1
OG0000114	XM_001595727.1.p1	TC009159.p1, TC009158.p1
OG0000114	XM_001596499.1.p1, XM_001592280.1.p1	TC010782.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1, XM_001596045.1.p1, XM_001588524.1.p1	TC032379.p1, TC032380.p1
OG0000122	XM_001595033.1.p1	TC033192.p1, TC014143.p1
OG0000122	XM_001585288.1.p1	TC005012.p1, TC011406.p1
OG0000123	XM_001592460.1.p1, XM_001590327.1.p1, XM_001598819.1.p1	TC013255.p1, TC030715.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1	TC009251.p1, TC000474.p1
OG0000136	XM_001591416.1.p1	TC001195.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	TC005793.p1, TC006353.p1
OG0000141	XM_001591420.1.p1, XM_001593600.1.p1, XM_001591233.1.p1	TC003556.p1
OG0000145	XM_001596988.1.p1	TC013838.p1
OG0000150	XM_001591864.1.p1, XM_001592862.1.p1	TC032748.p1, TC012532.p1
OG0000150	XM_001598441.1.p1	TC004761.p1, TC002814.p1, TC030577.p1, TC002813.p1, TC013630.p1, TC014185.p1, TC013245.p1, TC015957.p1, TC031071.p1, TC008062.p1, TC008064.p1, TC005482.p1
OG0000151	XM_001590918.1.p1	TC015524.p1, TC009545.p1
OG0000151	XM_001595088.1.p1	TC012124.p1, TC031506.p1
OG0000151	XM_001585695.1.p1	TC013922.p1
OG0000155	XM_001595155.1.p1	TC001713.p1, TC001470.p1
OG0000155	XM_001585183.1.p1	TC001037.p1, TC012218.p1, TC008717.p1, TC011829.p1, TC008799.p1
OG0000157	XM_001591936.1.p1	TC013717.p1
OG0000157	XM_001584928.1.p1	TC009340.p1
OG0000159	XM_001586220.1.p1	TC014767.p1
OG0000161	XM_001588180.1.p1, XM_001585748.1.p1, XM_001587165.1.p1	TC003117.p1, TC034827.p1
OG0000162	XM_001598406.1.p1	TC008443.p1
OG0000162	XM_001598925.1.p1	TC004744.p1
OG0000162	XM_001592439.1.p1	TC012647.p1, TC034215.p1
OG0000163	XM_001590923.1.p1	TC006680.p1
OG0000163	XM_001587263.1.p1	TC001612.p1, TC014543.p1
OG0000164	XM_001598198.1.p1, XM_001586644.1.p1	TC005857.p1, TC011525.p1, TC013762.p1
OG0000172	XM_001590018.1.p1	TC003158.p1
OG0000173	XM_001593315.1.p1, XM_001587766.1.p1	TC033558.p1, TC009520.p1, TC009289.p1, TC009286.p1
OG0000174	XM_001591883.1.p1, XM_001597061.1.p1, XM_001590770.1.p1, XM_001585955.1.p1	TC032520.p1, TC003443.p1
OG0000175	XM_001592718.1.p1, XM_001593214.1.p1, XM_001589370.1.p1, XM_001598408.1.p1, XM_001596839.1.p1	TC034503.p1, TC011090.p1, TC011385.p1
OG0000176	XM_001591850.1.p1	TC000235.p1, TC007731.p1, TC013703.p1
OG0000177	XM_001591247.1.p1	TC014809.p1
OG0000177	XM_001595063.1.p1	TC015192.p1
OG0000178	XM_001594170.1.p1, XM_001597585.1.p1	TC010429.p1
OG0000178	XM_001590945.1.p1	TC033710.p1
OG0000182	XM_001588602.1.p1	TC002784.p1
OG0000182	XM_001595051.1.p1	TC009174.p1
OG0000182	XM_001585915.1.p1	TC008415.p1
OG0000190	XM_001590771.1.p1, XM_001585620.1.p1	TC008000.p1
OG0000191	XM_001590112.1.p1, XM_001597252.1.p1	TC003439.p1, TC002992.p1, TC003438.p1, TC003437.p1, TC003436.p1
OG0000192	XM_001594643.1.p1	TC033793.p1
OG0000192	XM_001594642.1.p1	TC003875.p1
OG0000192	XM_001597741.1.p1	TC011701.p1
OG0000192	XM_001588260.1.p1	TC033312.p1
OG0000195	XM_001584810.1.p1	TC005618.p1, TC005515.p1, TC000385.p1
OG0000195	XM_001588295.1.p1	TC004803.p1
OG0000198	XM_001589999.1.p1	TC007810.p1
OG0000199	XM_001595824.1.p1	TC005067.p1
OG0000200	XM_001591001.1.p1	TC013457.p1
OG0000200	XM_001585608.1.p1	TC009846.p1
OG0000200	XM_001585607.1.p1	TC031561.p1
OG0000204	XM_001591999.1.p1, XM_001596468.1.p1, XM_001587311.1.p1	TC000272.p1
OG0000206	XM_001592244.1.p1	TC004635.p1, TC013613.p1, TC004624.p1, TC000545.p1, TC000546.p1, TC000547.p1, TC001023.p1, TC002659.p1, TC030609.p1, TC033855.p1, TC006424.p1, TC003081.p1, TC007017.p1, TC008504.p1, TC007019.p1, TC008267.p1, TC006026.p1, TC011014.p1, TC001157.p1, TC031004.p1, TC004418.p1, TC032126.p1, TC002785.p1, TC002786.p1
OG0000207	XM_001596987.1.p1, XM_001584718.1.p1	TC015542.p1, TC004422.p1, TC005487.p1, TC034143.p1, TC034144.p1, TC005388.p1, TC005389.p1, TC015236.p1, TC005562.p1, TC034146.p1, TC034145.p1
OG0000210	XM_001597130.1.p1, XM_001584956.1.p1	TC032498.p1
OG0000212	XM_001588279.1.p1	TC007199.p1
OG0000212	XM_001584946.1.p1, XM_001597073.1.p1	TC001459.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	TC011254.p1
OG0000216	XM_001598206.1.p1	TC008274.p1
OG0000218	XM_001595415.1.p1	TC003390.p1, TC009386.p1, TC009428.p1
OG0000221	XM_001596511.1.p1, XM_001588345.1.p1, XM_001597328.1.p1, XM_001595508.1.p1	TC000170.p1, TC001368.p1, TC001367.p1, TC014348.p1
OG0000227	XM_001596721.1.p1	TC014980.p1
OG0000227	XM_001597258.1.p1	TC003477.p1
OG0000227	XM_001598493.1.p1	TC009432.p1
OG0000229	XM_001584665.1.p1	TC030673.p1, TC030708.p1
OG0000229	XM_001592829.1.p1	TC014774.p1
OG0000230	XM_001595688.1.p1	TC013019.p1
OG0000230	XM_001584950.1.p1	TC014364.p1
OG0000231	XM_001595459.1.p1, XM_001591268.1.p1	TC012910.p1, TC003328.p1, TC000182.p1, TC012616.p1, TC004289.p1, TC003342.p1, TC031516.p1, TC009173.p1, TC009605.p1, TC031794.p1, TC034769.p1, TC033738.p1, TC034393.p1, TC034392.p1, TC007325.p1, TC007672.p1, TC032131.p1, TC005339.p1
OG0000232	XM_001594634.1.p1, XM_001589722.1.p1	TC012730.p1, TC012729.p1
OG0000236	XM_001596648.1.p1	TC011608.p1
OG0000237	XM_001585240.1.p1	TC008142.p1
OG0000237	XM_001587970.1.p1, XM_001598176.1.p1	TC011945.p1, TC003573.p1
OG0000239	XM_001586451.1.p1	TC030738.p1
OG0000241	XM_001594149.1.p1, XM_001593862.1.p1	TC004697.p1, TC007499.p1
OG0000244	XM_001585917.1.p1	TC002919.p1, TC014518.p1
OG0000244	XM_001597739.1.p1	TC009965.p1
OG0000244	XM_001598060.1.p1	TC014110.p1
OG0000245	XM_001588698.1.p1	TC006215.p1, TC003348.p1, TC032323.p1, TC003347.p1, TC003103.p1, TC004450.p1, TC032324.p1, TC004941.p1, TC032024.p1, TC004942.p1, TC004444.p1, TC004443.p1, TC004442.p1, TC003104.p1, TC004940.p1, TC003345.p1, TC004448.p1, TC004447.p1, TC004449.p1, TC009482.p1, TC031099.p1, TC032770.p1, TC000522.p1
OG0000246	XM_001590314.1.p1, XM_001597418.1.p1	TC033704.p1, TC033705.p1, TC011196.p1, TC014909.p1, TC033822.p1, TC009018.p1, TC016296.p1, TC009015.p1
OG0000249	XM_001587592.1.p1	TC015038.p1
OG0000256	XM_001587897.1.p1, XM_001590113.1.p1	TC005904.p1, TC005905.p1, TC015782.p1, TC015783.p1, TC004026.p1, TC006463.p1, TC004027.p1
OG0000258	XM_001590735.1.p1, XM_001585368.1.p1	TC003417.p1, TC001179.p1
OG0000266	XM_001595040.1.p1, XM_001598558.1.p1	TC009420.p1, TC003070.p1
OG0000268	XM_001594381.1.p1	TC032799.p1, TC006104.p1
OG0000268	XM_001592851.1.p1	TC002540.p1
OG0000269	XM_001587306.1.p1	TC001983.p1, TC031101.p1
OG0000270	XM_001590743.1.p1, XM_001597669.1.p1	TC031060.p1
OG0000273	XM_001592377.1.p1	TC001467.p1
OG0000276	XM_001592491.1.p1	TC007805.p1, TC007816.p1
OG0000276	XM_001597019.1.p1	TC013529.p1
OG0000277	XM_001588099.1.p1	TC009532.p1
OG0000278	XM_001588400.1.p1, XM_001596155.1.p1, XM_001586662.1.p1	TC031006.p1, TC001302.p1
OG0000280	XM_001597492.1.p1, XM_001586347.1.p1, XM_001585903.1.p1, XM_001588434.1.p1, XM_001596810.1.p1	TC001374.p1, TC011257.p1, TC031930.p1, TC014278.p1, TC033115.p1, TC014281.p1, TC014280.p1
OG0000281	XM_001594638.1.p1	TC013625.p1
OG0000281	XM_001594133.1.p1	TC009490.p1, TC001372.p1
OG0000283	XM_001593967.1.p1, XM_001586787.1.p1	TC011967.p1
OG0000284	XM_001594975.1.p1, XM_001588421.1.p1	TC003425.p1, TC004461.p1, TC031501.p1, TC003754.p1, TC002561.p1, TC015124.p1
OG0000286	XM_001596937.1.p1, XM_001595178.1.p1, XM_001595060.1.p1	TC006052.p1, TC033950.p1, TC034375.p1
OG0000287	XM_001586375.1.p1, XM_001591627.1.p1, XM_001597112.1.p1	TC011702.p1
OG0000288	XM_001586741.1.p1, XM_001585180.1.p1	TC002162.p1
OG0000289	XM_001596210.1.p1	TC015915.p1, TC004800.p1
OG0000289	XM_001587013.1.p1	TC002763.p1, TC005733.p1
OG0000295	XM_001590105.1.p1	TC012803.p1
OG0000310	XM_001597658.1.p1	TC011026.p1
OG0000312	XM_001596529.1.p1	TC008297.p1
OG0000314	XM_001593040.1.p1	TC002100.p1
OG0000319	XM_001598351.1.p1	TC034002.p1, TC030896.p1, TC034132.p1
OG0000322	XM_001587529.1.p1, XM_001592461.1.p1	TC005609.p1, TC007193.p1
OG0000324	XM_001594373.1.p1	TC033806.p1
OG0000324	XM_001588802.1.p1, XM_001592271.1.p1	TC016041.p1
OG0000325	XM_001595222.1.p1, XM_001590041.1.p1, XM_001594961.1.p1	TC003450.p1
OG0000326	XM_001589657.1.p1	TC012576.p1, TC034052.p1
OG0000326	XM_001595679.1.p1	TC005606.p1, TC001738.p1
OG0000329	XM_001591776.1.p1, XM_001590057.1.p1, XM_001598723.1.p1	TC032610.p1, TC014879.p1, TC030730.p1, TC005995.p1, TC032612.p1
OG0000333	XM_001591225.1.p1	TC008584.p1
OG0000337	XM_001597150.1.p1	TC013691.p1
OG0000337	XM_001589811.1.p1	TC014610.p1
OG0000338	XM_001595733.1.p1	TC030579.p1
OG0000338	XM_001589919.1.p1	TC006296.p1, TC003944.p1, TC013746.p1
OG0000339	XM_001588030.1.p1	TC033693.p1
OG0000339	XM_001597935.1.p1	TC010324.p1, TC002367.p1, TC031754.p1
OG0000342	XM_001587098.1.p1	TC008974.p1
OG0000342	XM_001586883.1.p1	TC010856.p1
OG0000343	XM_001593775.1.p1	TC003567.p1, TC033742.p1, TC012367.p1, TC015323.p1
OG0000343	XM_001588828.1.p1	TC008646.p1
OG0000346	XM_001588685.1.p1	TC015179.p1
OG0000347	XM_001588291.1.p1	TC014227.p1, TC009085.p1
OG0000347	XM_001594045.1.p1	TC006108.p1
OG0000350	XM_001594577.1.p1	TC031972.p1
OG0000350	XM_001585929.1.p1	TC034734.p1
OG0000351	XM_001592911.1.p1, XM_001590850.1.p1, XM_001590848.1.p1	TC006044.p1
OG0000357	XM_001584508.1.p1, XM_001596882.1.p1	TC007749.p1
OG0000364	XM_001586746.1.p1	TC003829.p1
OG0000364	XM_001591295.1.p1	TC013585.p1, TC009993.p1, TC010011.p1, TC016198.p1
OG0000366	XM_001585303.1.p1, XM_001592514.1.p1	TC015429.p1
OG0000368	XM_001586991.1.p1	TC015859.p1, TC002280.p1, TC031676.p1, TC002278.p1, TC031048.p1, TC016281.p1, TC034365.p1, TC013409.p1, TC031677.p1, TC033516.p1, TC012169.p1, TC034444.p1
OG0000370	XM_001596117.1.p1, XM_001596116.1.p1	TC012512.p1
OG0000374	XM_001594977.1.p1	TC015048.p1
OG0000376	XM_001588139.1.p1, XM_001587757.1.p1	TC005725.p1
OG0000378	XM_001596864.1.p1, XM_001594848.1.p1	TC003498.p1, TC011710.p1, TC011649.p1, TC034091.p1, TC002240.p1
OG0000379	XM_001588044.1.p1	TC011922.p1
OG0000379	XM_001592931.1.p1	TC013017.p1
OG0000380	XM_001584697.1.p1	TC006472.p1
OG0000380	XM_001597824.1.p1	TC010381.p1
OG0000381	XM_001596277.1.p1	TC032723.p1
OG0000381	XM_001586516.1.p1	TC008406.p1, TC015321.p1
OG0000383	XM_001595200.1.p1	TC031489.p1, TC009608.p1
OG0000385	XM_001591151.1.p1	TC012945.p1
OG0000386	XM_001592690.1.p1, XM_001587880.1.p1	TC004593.p1
OG0000388	XM_001587153.1.p1	TC005330.p1
OG0000388	XM_001588257.1.p1	TC002990.p1
OG0000389	XM_001588473.1.p1, XM_001593189.1.p1, XM_001592940.1.p1	TC011785.p1
OG0000391	XM_001597617.1.p1	TC014228.p1, TC014229.p1
OG0000393	XM_001596263.1.p1	TC014758.p1
OG0000395	XM_001597922.1.p1	TC007723.p1
OG0000395	XM_001592276.1.p1	TC006210.p1
OG0000396	XM_001592582.1.p1	TC005367.p1
OG0000398	XM_001597851.1.p1	TC030986.p1
OG0000398	XM_001591395.1.p1	TC010138.p1
OG0000400	XM_001585385.1.p1, XM_001597020.1.p1, XM_001588070.1.p1, XM_001598807.1.p1	TC002309.p1, TC000945.p1, TC004499.p1
OG0000403	XM_001589101.1.p1, XM_001590733.1.p1	TC002315.p1, TC010407.p1, TC010406.p1, TC010405.p1, TC006488.p1
OG0000406	XM_001591376.1.p1, XM_001587466.1.p1, XM_001594065.1.p1, XM_001585365.1.p1, XM_001588382.1.p1, XM_001597697.1.p1, XM_001598803.1.p1, XM_001594890.1.p1, XM_001584976.1.p1, XM_001587358.1.p1, XM_001596739.1.p1, XM_001597514.1.p1, XM_001586681.1.p1, XM_001589974.1.p1, XM_001587025.1.p1, XM_001587355.1.p1, XM_001595252.1.p1, XM_001586284.1.p1, XM_001584632.1.p1, XM_001593304.1.p1, XM_001591557.1.p1, XM_001584663.1.p1, XM_001585881.1.p1, XM_001598777.1.p1, XM_001588509.1.p1, XM_001593462.1.p1, XM_001584730.1.p1, XM_001592272.1.p1, XM_001593463.1.p1, XM_001586382.1.p1, XM_001587791.1.p1, XM_001587047.1.p1, XM_001589570.1.p1, XM_001587024.1.p1	TC031086.p1
OG0000407	XM_001591874.1.p1	TC012214.p1, TC002805.p1
OG0000408	XM_001590719.1.p1	TC011049.p1
OG0000408	XM_001588056.1.p1	TC009967.p1
OG0000409	XM_001591593.1.p1	TC012700.p1, TC014310.p1
OG0000414	XM_001595899.1.p1, XM_001588538.1.p1	TC004574.p1
OG0000415	XM_001590013.1.p1	TC005233.p1, TC005232.p1
OG0000418	XM_001597732.1.p1, XM_001594531.1.p1	TC031122.p1, TC004952.p1, TC004557.p1, TC001362.p1, TC004830.p1, TC004641.p1, TC030950.p1
OG0000421	XM_001596111.1.p1	TC005849.p1, TC005860.p1
OG0000425	XM_001595569.1.p1	TC014416.p1, TC011808.p1, TC006704.p1, TC008896.p1, TC004769.p1
OG0000426	XM_001595306.1.p1	TC004457.p1
OG0000427	XM_001588666.1.p1, XM_001596733.1.p1	TC004497.p1
OG0000428	XM_001591689.1.p1	TC001036.p1
OG0000431	XM_001595021.1.p1, XM_001585051.1.p1	TC012154.p1
OG0000432	XM_001592025.1.p1	TC011923.p1
OG0000432	XM_001595641.1.p1	TC010498.p1, TC001437.p1
OG0000438	XM_001594730.1.p1	TC031982.p1
OG0000439	XM_001594207.1.p1	TC003216.p1
OG0000440	XM_001592376.1.p1	TC002584.p1
OG0000440	XM_001596584.1.p1	TC009705.p1
OG0000441	XM_001598052.1.p1	TC009786.p1
OG0000441	XM_001587956.1.p1	TC011377.p1
