Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Puccinia_graminis_rna_prot
OG0000303	XM_001593841.1.p1, XM_001595283.1.p1, XM_001596500.1.p1	XM_003890456.1.p1, XM_003329127.2.p1, XM_003889573.1.p1, XM_003330298.2.p1
OG0000307	XM_001584568.1.p1, XM_001596247.1.p1, XM_001592523.1.p1, XM_001593676.1.p1	XM_003321305.2.p1
OG0000310	XM_001597658.1.p1	XM_003337087.2.p1, XM_003331010.2.p1
OG0000310	XM_001595441.1.p1, XM_001589016.1.p1	XM_003889901.1.p1
OG0000312	XM_001596529.1.p1	XM_003336326.2.p1, XM_003336457.2.p1, XM_003333935.2.p1
OG0000312	XM_001597099.1.p1	XM_003326476.2.p1, XM_003332450.2.p1
OG0000313	XM_001598739.1.p1	XM_003326956.2.p1, XM_003326951.2.p1
OG0000313	XM_001593588.1.p1	XM_003324346.2.p1
OG0000314	XM_001597620.1.p1	XM_003888916.1.p1
OG0000314	XM_001593040.1.p1	XM_003324879.2.p1
OG0000317	XM_001591969.1.p1, XM_001586015.1.p1, XM_001587228.1.p1	XM_003323262.2.p1
OG0000319	XM_001598351.1.p1	XM_003326684.2.p1
OG0000322	XM_001592461.1.p1	XM_003326563.2.p1
OG0000324	XM_001594373.1.p1	XM_003320026.2.p1
OG0000324	XM_001588802.1.p1, XM_001592271.1.p1	XM_003323114.2.p1
OG0000326	XM_001589657.1.p1	XM_003330977.2.p1, XM_003330965.2.p1, XM_003330974.1.p1
OG0000326	XM_001595679.1.p1	XM_003320136.2.p1
OG0000328	XM_001586323.1.p1	XM_003321047.2.p1, XM_003331651.1.p1, XM_003325416.2.p1
OG0000331	XM_001593836.1.p1, XM_001593522.1.p1	XM_003322854.2.p1, XM_003322862.2.p1, XM_003338661.2.p1
OG0000334	XM_001594693.1.p1	XM_003322202.2.p1, XM_003326133.2.p1, XM_003326134.2.p1, XM_003330537.2.p1, XM_003333092.2.p1, XM_003889104.1.p1, XM_003326111.2.p1
OG0000336	XM_001596349.1.p1	XM_003889159.1.p1, XM_003321770.2.p1
OG0000337	XM_001597150.1.p1	XM_003335323.2.p1
OG0000337	XM_001589811.1.p1	XM_003320902.2.p1, XM_003323907.2.p1
OG0000338	XM_001595733.1.p1	XM_003322449.2.p1
OG0000338	XM_001589919.1.p1	XM_003323538.2.p1
OG0000339	XM_001588030.1.p1	XM_003319922.2.p1
OG0000339	XM_001597935.1.p1	XM_003321196.2.p1, XM_003321205.2.p1
OG0000343	XM_001593775.1.p1	XM_003330128.2.p1
OG0000343	XM_001588828.1.p1	XM_003325784.2.p1
OG0000346	XM_001588685.1.p1	XM_003325704.2.p1
OG0000347	XM_001594045.1.p1	XM_003327680.2.p1
OG0000348	XM_001596350.1.p1	XM_003332173.1.p1
OG0000349	XM_001584732.1.p1, XM_001598037.1.p1	XM_003331910.2.p1, XM_003331963.2.p1
OG0000350	XM_001594577.1.p1	XM_003335233.2.p1, XM_003888612.1.p1
OG0000350	XM_001585929.1.p1	XM_003319766.2.p1
OG0000352	XM_001590512.1.p1, XM_001593209.1.p1, XM_001590845.1.p1, XM_001585958.1.p1, XM_001585021.1.p1, XM_001591126.1.p1	XM_003334105.2.p1
OG0000353	XM_001594393.1.p1, XM_001588067.1.p1	XM_003324934.2.p1
OG0000354	XM_001594173.1.p1, XM_001594672.1.p1	XM_003327670.2.p1, XM_003327573.2.p1, XM_003889747.1.p1, XM_003889756.1.p1, XM_003327620.2.p1, XM_003327595.2.p1, XM_003327532.2.p1, XM_003327535.2.p1, XM_003324683.2.p1, XM_003329227.2.p1, XM_003329223.2.p1, XM_003329225.2.p1, XM_003329234.2.p1, XM_003329233.2.p1, XM_003329232.2.p1, XM_003324926.2.p1, XM_003329424.2.p1, XM_003329425.2.p1
OG0000356	XM_001598020.1.p1	XM_003307696.2.p1
OG0000356	XM_001594952.1.p1	XM_003337179.2.p1
OG0000357	XM_001584508.1.p1	XM_003328627.2.p1, XM_003324091.2.p1
OG0000357	XM_001596882.1.p1	XM_003326384.2.p1
OG0000364	XM_001586746.1.p1	XM_003323853.2.p1
OG0000366	XM_001585303.1.p1, XM_001592514.1.p1	XM_003323063.2.p1
OG0000369	XM_001585931.1.p1	XM_003324599.2.p1
OG0000376	XM_001588139.1.p1	XM_003322301.2.p1
OG0000376	XM_001587757.1.p1	XM_003336865.2.p1
OG0000378	XM_001596864.1.p1	XM_003321445.2.p1, XM_003325633.2.p1
OG0000378	XM_001594848.1.p1	XM_003330054.2.p1, XM_003321222.2.p1
OG0000379	XM_001588044.1.p1	XM_003322794.2.p1, XM_003890264.1.p1
OG0000379	XM_001592931.1.p1	XM_003332843.2.p1
OG0000380	XM_001584697.1.p1	XM_003335572.2.p1
OG0000380	XM_001597824.1.p1	XM_003329110.2.p1
OG0000381	XM_001596277.1.p1	XM_003330595.2.p1
OG0000381	XM_001586516.1.p1	XM_003321280.2.p1
OG0000382	XM_001589705.1.p1, XM_001586499.1.p1	XM_003320501.2.p1, XM_003320502.2.p1, XM_003330164.2.p1
OG0000383	XM_001595200.1.p1	XM_003889717.1.p1, XM_003889718.1.p1, XM_003327775.2.p1
OG0000385	XM_001594849.1.p1	XM_003334628.2.p1
OG0000385	XM_001591151.1.p1	XM_003326839.2.p1
OG0000386	XM_001592690.1.p1	XM_003319711.2.p1
OG0000386	XM_001587880.1.p1	XM_003322735.2.p1
OG0000388	XM_001587153.1.p1	XM_003324974.2.p1
OG0000388	XM_001588257.1.p1	XM_003337428.2.p1, XM_003323437.2.p1
OG0000390	XM_001591034.1.p1	XM_003326769.2.p1
OG0000391	XM_001597617.1.p1	XM_003332924.2.p1
OG0000392	XM_001592820.1.p1	XM_003321121.2.p1, XM_003889488.1.p1, XM_003889487.1.p1
OG0000393	XM_001596263.1.p1	XM_003334613.2.p1
OG0000395	XM_001597922.1.p1	XM_003324093.2.p1
OG0000395	XM_001592276.1.p1	XM_003324892.2.p1
OG0000398	XM_001597851.1.p1	XM_003323970.2.p1
OG0000398	XM_001591395.1.p1	XM_003336514.2.p1
