Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Trichoderma_reesei_rna_prot
OG0000005	XM_001585072.1.p1	XM_006965063.1.p1
OG0000006	XM_001596808.1.p1	XM_006968640.1.p1
OG0000006	XM_001592785.1.p1	XM_006969110.1.p1, XM_006962678.1.p1
OG0000006	XM_001585309.1.p1	XM_006964191.1.p1
OG0000006	XM_001586702.1.p1	XM_006968284.1.p1
OG0000006	XM_001588137.1.p1	XM_006969582.1.p1
OG0000006	XM_001598725.1.p1	XM_006967754.1.p1
OG0000006	XM_001584562.1.p1	XM_006968327.1.p1
OG0000006	XM_001597248.1.p1	XM_006966992.1.p1
OG0000007	XM_001591636.1.p1	XM_006967872.1.p1
OG0000007	XM_001587063.1.p1	XM_006964542.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_006961750.1.p1, XM_006967428.1.p1
OG0000007	XM_001590167.1.p1	XM_006964422.1.p1
OG0000007	XM_001592113.1.p1	XM_006968876.1.p1
OG0000007	XM_001597058.1.p1	XM_006962529.1.p1
OG0000007	XM_001593364.1.p1	XM_006965834.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_006966453.1.p1
OG0000007	XM_001593251.1.p1	XM_006968439.1.p1
OG0000008	XM_001591041.1.p1	XM_006965674.1.p1
OG0000008	XM_001591599.1.p1	XM_006964265.1.p1, XM_006967838.1.p1
OG0000008	XM_001589064.1.p1, XM_001595625.1.p1	XM_006965705.1.p1
OG0000009	XM_001593400.1.p1	XM_006962525.1.p1
OG0000009	XM_001591183.1.p1	XM_006963596.1.p1
OG0000009	XM_001584585.1.p1	XM_006969397.1.p1
OG0000010	XM_001587851.1.p1	XM_006969491.1.p1, XM_006968950.1.p1, XM_006969063.1.p1
OG0000010	XM_001589139.1.p1	XM_006964614.1.p1
OG0000010	XM_001597412.1.p1	XM_006964249.1.p1
OG0000010	XM_001592407.1.p1	XM_006961124.1.p1
OG0000010	XM_001598213.1.p1	XM_006967875.1.p1
OG0000011	XM_001598486.1.p1	XM_006964335.1.p1
OG0000011	XM_001589489.1.p1	XM_006968323.1.p1
OG0000011	XM_001594075.1.p1	XM_006962880.1.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	XM_006966805.1.p1
OG0000011	XM_001587742.1.p1	XM_006965064.1.p1
OG0000011	XM_001585940.1.p1	XM_006961776.1.p1
OG0000011	XM_001591956.1.p1	XM_006967441.1.p1
OG0000012	XM_001586566.1.p1	XM_006967480.1.p1
OG0000013	XM_001598880.1.p1	XM_006965550.1.p1
OG0000013	XM_001588453.1.p1	XM_006964399.1.p1
OG0000013	XM_001593161.1.p1	XM_006967551.1.p1, XM_006968911.1.p1
OG0000013	XM_001596549.1.p1	XM_006965332.1.p1
OG0000014	XM_001596474.1.p1	XM_006964699.1.p1, XM_006965686.1.p1, XM_006965679.1.p1, XM_006968891.1.p1
OG0000014	XM_001596813.1.p1	XM_006961296.1.p1
OG0000014	XM_001591676.1.p1, XM_001593335.1.p1, XM_001595749.1.p1	XM_006969829.1.p1
OG0000015	XM_001590767.1.p1	XM_006961769.1.p1
OG0000015	XM_001597136.1.p1	XM_006961672.1.p1
OG0000016	XM_001591158.1.p1	XM_006961351.1.p1
OG0000018	XM_001598881.1.p1	XM_006965548.1.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	XM_006966900.1.p1
OG0000018	XM_001592971.1.p1	XM_006963594.1.p1
OG0000018	XM_001591684.1.p1	XM_006966409.1.p1
OG0000019	XM_001594911.1.p1	XM_006962519.1.p1
OG0000019	XM_001586682.1.p1	XM_006969781.1.p1
OG0000019	XM_001591415.1.p1	XM_006968229.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_006967529.1.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	XM_006963817.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	XM_006963540.1.p1
OG0000022	XM_001585536.1.p1	XM_006969454.1.p1
OG0000022	XM_001587388.1.p1	XM_006961364.1.p1
OG0000022	XM_001589348.1.p1	XM_006963097.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_006961334.1.p1
OG0000025	XM_001597796.1.p1	XM_006969316.1.p1
OG0000025	XM_001594625.1.p1	XM_006964963.1.p1
OG0000025	XM_001592424.1.p1	XM_006968115.1.p1
OG0000025	XM_001585370.1.p1	XM_006963656.1.p1
OG0000026	XM_001585572.1.p1	XM_006963960.1.p1
OG0000026	XM_001588953.1.p1	XM_006966866.1.p1
OG0000027	XM_001594817.1.p1	XM_006961888.1.p1, XM_006968285.1.p1
OG0000027	XM_001596322.1.p1	XM_006964225.1.p1
OG0000029	XM_001592206.1.p1	XM_006966880.1.p1
OG0000029	XM_001589831.1.p1	XM_006963770.1.p1
OG0000030	XM_001589464.1.p1, XM_001589467.1.p1, XM_001589863.1.p1	XM_006969366.1.p1
OG0000031	XM_001586174.1.p1	XM_006967301.1.p1
OG0000031	XM_001587417.1.p1	XM_006963972.1.p1
OG0000032	XM_001588011.1.p1	XM_006968775.1.p1
OG0000032	XM_001587657.1.p1	XM_006962443.1.p1, XM_006968075.1.p1
OG0000032	XM_001592925.1.p1	XM_006963827.1.p1, XM_006965568.1.p1
OG0000033	XM_001597976.1.p1	XM_006969620.1.p1
OG0000034	XM_001590944.1.p1	XM_006965433.1.p1
OG0000034	XM_001587548.1.p1	XM_006969214.1.p1
OG0000034	XM_001586378.1.p1	XM_006964094.1.p1
OG0000034	XM_001588815.1.p1	XM_006965595.1.p1
OG0000035	XM_001589899.1.p1	XM_006965610.1.p1
OG0000035	XM_001595682.1.p1	XM_006966035.1.p1
OG0000036	XM_001593945.1.p1	XM_006964170.1.p1, XM_006964381.1.p1
OG0000036	XM_001597457.1.p1	XM_006966308.1.p1
OG0000038	XM_001597383.1.p1	XM_006961642.1.p1, XM_006967704.1.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1	XM_006967283.1.p1
OG0000038	XM_001590964.1.p1	XM_006963446.1.p1
OG0000039	XM_001594345.1.p1	XM_006965801.1.p1
OG0000039	XM_001594395.1.p1	XM_006969872.1.p1
OG0000039	XM_001594898.1.p1	XM_006963854.1.p1
OG0000039	XM_001585233.1.p1	XM_006961324.1.p1
OG0000039	XM_001591791.1.p1	XM_006961605.1.p1, XM_006967918.1.p1
OG0000040	XM_001593301.1.p1	XM_006963783.1.p1
OG0000040	XM_001596860.1.p1, XM_001589882.1.p1, XM_001596756.1.p1	XM_006966845.1.p1
OG0000041	XM_001585351.1.p1	XM_006966573.1.p1
OG0000042	XM_001595143.1.p1	XM_006967761.1.p1
OG0000042	XM_001586568.1.p1	XM_006966686.1.p1
OG0000043	XM_001597597.1.p1	XM_006966936.1.p1
OG0000043	XM_001596074.1.p1	XM_006969861.1.p1
OG0000043	XM_001597513.1.p1	XM_006969846.1.p1
OG0000045	XM_001596126.1.p1	XM_006969553.1.p1
OG0000045	XM_001585380.1.p1	XM_006969435.1.p1
OG0000045	XM_001596367.1.p1	XM_006967870.1.p1
OG0000046	XM_001586463.1.p1	XM_006963844.1.p1
OG0000048	XM_001597604.1.p1	XM_006963224.1.p1
OG0000048	XM_001594212.1.p1	XM_006963686.1.p1
OG0000048	XM_001589336.1.p1	XM_006969916.1.p1, XM_006963678.1.p1
OG0000049	XM_001598697.1.p1	XM_006968973.1.p1
OG0000049	XM_001596788.1.p1	XM_006964241.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_006962502.1.p1
OG0000050	XM_001585954.1.p1	XM_006965852.1.p1
OG0000050	XM_001594907.1.p1	XM_006962928.1.p1
OG0000050	XM_001598548.1.p1	XM_006964500.1.p1
OG0000050	XM_001594937.1.p1	XM_006961113.1.p1
OG0000051	XM_001589798.1.p1	XM_006965278.1.p1
OG0000051	XM_001598899.1.p1	XM_006965969.1.p1
OG0000051	XM_001590870.1.p1	XM_006963076.1.p1
OG0000051	XM_001587951.1.p1	XM_006968856.1.p1
OG0000051	XM_001596631.1.p1	XM_006963220.1.p1
OG0000051	XM_001585247.1.p1	XM_006968503.1.p1
OG0000052	XM_001585446.1.p1	XM_006966058.1.p1
OG0000052	XM_001595011.1.p1	XM_006969347.1.p1
OG0000053	XM_001588399.1.p1	XM_006968137.1.p1
OG0000053	XM_001590608.1.p1	XM_006965721.1.p1
OG0000053	XM_001597556.1.p1	XM_006966882.1.p1, XM_006964194.1.p1
OG0000054	XM_001589469.1.p1	XM_006967048.1.p1
OG0000054	XM_001597561.1.p1, XM_001589674.1.p1, XM_001591602.1.p1, XM_001592632.1.p1	XM_006964494.1.p1
OG0000054	XM_001595452.1.p1, XM_001596090.1.p1, XM_001597548.1.p1	XM_006964406.1.p1
OG0000054	XM_001597751.1.p1	XM_006964057.1.p1
OG0000055	XM_001587585.1.p1	XM_006969865.1.p1
OG0000055	XM_001593073.1.p1	XM_006968036.1.p1
OG0000056	XM_001591650.1.p1	XM_006965219.1.p1
OG0000056	XM_001593553.1.p1	XM_006967849.1.p1
OG0000056	XM_001591666.1.p1	XM_006964368.1.p1
OG0000056	XM_001591171.1.p1	XM_006964014.1.p1
OG0000058	XM_001597998.1.p1	XM_006962162.1.p1
OG0000058	XM_001596000.1.p1	XM_006967175.1.p1
OG0000058	XM_001592674.1.p1	XM_006966586.1.p1
OG0000058	XM_001589509.1.p1	XM_006963971.1.p1
OG0000058	XM_001589061.1.p1	XM_006962243.1.p1
OG0000059	XM_001591046.1.p1, XM_001595946.1.p1	XM_006961782.1.p1
OG0000059	XM_001595855.1.p1	XM_006965053.1.p1
OG0000060	XM_001598675.1.p1, XM_001589077.1.p1	XM_006969629.1.p1
OG0000062	XM_001592845.1.p1	XM_006969480.1.p1, XM_006961743.1.p1
OG0000063	XM_001594922.1.p1	XM_006962712.1.p1
OG0000064	XM_001594438.1.p1	XM_006969822.1.p1
OG0000065	XM_001597774.1.p1, XM_001598590.1.p1	XM_006961742.1.p1
OG0000069	XM_001590565.1.p1	XM_006962223.1.p1
OG0000069	XM_001589526.1.p1	XM_006969850.1.p1, XM_006964146.1.p1, XM_006966911.1.p1, XM_006967153.1.p1
OG0000069	XM_001589598.1.p1	XM_006962093.1.p1
OG0000070	XM_001598556.1.p1	XM_006964387.1.p1
OG0000070	XM_001587941.1.p1	XM_006961678.1.p1
OG0000070	XM_001588423.1.p1	XM_006968783.1.p1
OG0000071	XM_001593511.1.p1	XM_006968976.1.p1
OG0000071	XM_001593038.1.p1	XM_006966570.1.p1
OG0000071	XM_001587924.1.p1	XM_006969048.1.p1
OG0000071	XM_001593312.1.p1	XM_006965544.1.p1
OG0000072	XM_001585746.1.p1	XM_006969276.1.p1
OG0000072	XM_001590639.1.p1	XM_006960856.1.p1
OG0000072	XM_001589810.1.p1	XM_006967975.1.p1
OG0000075	XM_001596825.1.p1	XM_006965920.1.p1, XM_006961273.1.p1
OG0000076	XM_001595074.1.p1	XM_006963574.1.p1
OG0000076	XM_001597093.1.p1	XM_006961965.1.p1
OG0000076	XM_001589714.1.p1	XM_006969504.1.p1
OG0000076	XM_001587341.1.p1	XM_006961810.1.p1
OG0000077	XM_001591303.1.p1	XM_006965823.1.p1
OG0000077	XM_001592929.1.p1	XM_006965742.1.p1
OG0000078	XM_001584698.1.p1	XM_006965706.1.p1
OG0000079	XM_001596030.1.p1	XM_006969520.1.p1
OG0000079	XM_001591730.1.p1	XM_006969657.1.p1
OG0000079	XM_001598063.1.p1	XM_006969018.1.p1
OG0000079	XM_001590997.1.p1	XM_006961845.1.p1
OG0000080	XM_001597918.1.p1	XM_006965765.1.p1, XM_006966466.1.p1, XM_006965694.1.p1
OG0000081	XM_001592987.1.p1	XM_006966810.1.p1
OG0000081	XM_001586053.1.p1	XM_006964089.1.p1
OG0000081	XM_001593006.1.p1	XM_006968429.1.p1
OG0000082	XM_001590030.1.p1	XM_006966915.1.p1
OG0000082	XM_001595339.1.p1	XM_006963205.1.p1
OG0000082	XM_001594647.1.p1	XM_006963631.1.p1
OG0000084	XM_001590245.1.p1	XM_006966917.1.p1
OG0000085	XM_001598503.1.p1	XM_006969207.1.p1
OG0000087	XM_001595355.1.p1	XM_006963204.1.p1
OG0000087	XM_001598496.1.p1	XM_006964331.1.p1
OG0000087	XM_001597703.1.p1	XM_006961914.1.p1
OG0000088	XM_001586938.1.p1	XM_006969876.1.p1, XM_006967528.1.p1
OG0000088	XM_001596104.1.p1	XM_006965422.1.p1
OG0000088	XM_001588755.1.p1, XM_001584513.1.p1	XM_006968404.1.p1
OG0000089	XM_001591699.1.p1	XM_006967571.1.p1
OG0000089	XM_001598564.1.p1, XM_001584621.1.p1	XM_006967100.1.p1
OG0000090	XM_001592643.1.p1, XM_001594729.1.p1	XM_006969393.1.p1
OG0000090	XM_001594001.1.p1	XM_006968389.1.p1
OG0000091	XM_001598502.1.p1	XM_006969563.1.p1
OG0000091	XM_001591770.1.p1	XM_006964033.1.p1
OG0000092	XM_001591109.1.p1	XM_006966446.1.p1, XM_006966442.1.p1, XM_006966227.1.p1, XM_006962349.1.p1
OG0000092	XM_001588329.1.p1	XM_006961791.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_006968578.1.p1
OG0000094	XM_001589274.1.p1	XM_006965894.1.p1
OG0000094	XM_001594932.1.p1	XM_006961491.1.p1
OG0000095	XM_001593952.1.p1	XM_006967096.1.p1
OG0000095	XM_001596701.1.p1	XM_006963461.1.p1
OG0000096	XM_001587422.1.p1	XM_006964208.1.p1
OG0000097	XM_001593373.1.p1	XM_006968904.1.p1, XM_006966438.1.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	XM_006968390.1.p1, XM_006966403.1.p1
OG0000097	XM_001584550.1.p1	XM_006962113.1.p1
OG0000099	XM_001597745.1.p1	XM_006961731.1.p1
OG0000100	XM_001594288.1.p1	XM_006969270.1.p1
OG0000100	XM_001592042.1.p1, XM_001587352.1.p1	XM_006968733.1.p1
OG0000102	XM_001598599.1.p1	XM_006964586.1.p1
OG0000102	XM_001596645.1.p1	XM_006966502.1.p1
OG0000102	XM_001594196.1.p1	XM_006964751.1.p1
OG0000102	XM_001588472.1.p1	XM_006967321.1.p1
OG0000103	XM_001596956.1.p1	XM_006963423.1.p1, XM_006969223.1.p1
OG0000103	XM_001588403.1.p1	XM_006968501.1.p1, XM_006964182.1.p1, XM_006963561.1.p1
OG0000103	XM_001598588.1.p1	XM_006968612.1.p1
OG0000104	XM_001589359.1.p1	XM_006964385.1.p1
OG0000105	XM_001593851.1.p1	XM_006964018.1.p1
OG0000105	XM_001595490.1.p1	XM_006968674.1.p1
OG0000105	XM_001595043.1.p1	XM_006965272.1.p1, XM_006968280.1.p1, XM_006961335.1.p1, XM_006961706.1.p1
OG0000106	XM_001588849.1.p1	XM_006965611.1.p1
OG0000107	XM_001592404.1.p1	XM_006966767.1.p1
OG0000108	XM_001591983.1.p1	XM_006963179.2.p1
OG0000108	XM_001593720.1.p1	XM_006969885.1.p1
OG0000108	XM_001597053.1.p1	XM_006962705.1.p1
OG0000109	XM_001598413.1.p1	XM_006960897.1.p1
OG0000110	XM_001598035.1.p1	XM_006966728.1.p1
OG0000111	XM_001590699.1.p1	XM_006962105.1.p1
OG0000111	XM_001590723.1.p1	XM_006962781.1.p1
OG0000111	XM_001585540.1.p1	XM_006966072.1.p1
OG0000112	XM_001591772.1.p1	XM_006969160.1.p1
OG0000112	XM_001593481.1.p1	XM_006968931.1.p1
OG0000112	XM_001589454.1.p1	XM_006969847.1.p1
OG0000113	XM_001598286.1.p1	XM_006965212.1.p1
OG0000113	XM_001589093.1.p1	XM_006961974.1.p1
OG0000113	XM_001587022.1.p1	XM_006966589.1.p1
OG0000114	XM_001595727.1.p1	XM_006961799.1.p1
OG0000114	XM_001595917.1.p1	XM_006961659.1.p1
OG0000114	XM_001596499.1.p1	XM_006967851.1.p1
OG0000114	XM_001592280.1.p1	XM_006960932.1.p1
OG0000119	XM_001585226.1.p1	XM_006967424.1.p1
OG0000119	XM_001588524.1.p1	XM_006968085.1.p1
OG0000120	XM_001590352.1.p1	XM_006968303.1.p1
OG0000121	XM_001588843.1.p1	XM_006961328.1.p1
OG0000121	XM_001586430.1.p1	XM_006963534.1.p1
OG0000121	XM_001595985.1.p1	XM_006961728.1.p1
OG0000121	XM_001591107.1.p1	XM_006965623.1.p1
OG0000122	XM_001595033.1.p1	XM_006967503.1.p1
OG0000122	XM_001585288.1.p1	XM_006963184.1.p1
OG0000123	XM_001590327.1.p1	XM_006968727.1.p1
OG0000123	XM_001598819.1.p1	XM_006966374.1.p1
OG0000125	XM_001592159.1.p1	XM_006966937.1.p1
OG0000126	XM_001598751.1.p1	XM_006962493.1.p1
OG0000127	XM_001585475.1.p1	XM_006968163.1.p1
OG0000128	XM_001593926.1.p1	XM_006967490.1.p1
OG0000128	XM_001588790.1.p1	XM_006966983.1.p1
OG0000129	XM_001592853.1.p1	XM_006965540.1.p1
OG0000129	XM_001587396.1.p1	XM_006965313.1.p1
OG0000129	XM_001594102.1.p1	XM_006968228.1.p1
OG0000130	XM_001587434.1.p1	XM_006962579.1.p1
OG0000133	XM_001584629.1.p1	XM_006967499.1.p1
OG0000134	XM_001595908.1.p1	XM_006969572.1.p1
OG0000134	XM_001593823.1.p1	XM_006969217.1.p1
OG0000136	XM_001585363.1.p1	XM_006961139.1.p1
OG0000137	XM_001595718.1.p1	XM_006968419.1.p1
OG0000137	XM_001590475.1.p1	XM_006962174.1.p1
OG0000137	XM_001593484.1.p1	XM_006969587.1.p1
OG0000138	XM_001590768.1.p1	XM_006969237.1.p1
OG0000139	XM_001590289.1.p1	XM_006967227.1.p1
OG0000139	XM_001591243.1.p1	XM_006964782.1.p1
OG0000140	XM_001589200.1.p1	XM_006961517.1.p1
OG0000140	XM_001587152.1.p1	XM_006965858.1.p1
OG0000143	XM_001587980.1.p1	XM_006965154.1.p1, XM_006968767.1.p1
OG0000143	XM_001597932.1.p1	XM_006961129.1.p1
OG0000145	XM_001596988.1.p1	XM_006968637.1.p1
OG0000145	XM_001591190.1.p1	XM_006964456.1.p1
OG0000147	XM_001588528.1.p1	XM_006967574.1.p1
OG0000147	XM_001597515.1.p1	XM_006962378.1.p1
OG0000148	XM_001584961.1.p1	XM_006962295.1.p1
OG0000148	XM_001587257.1.p1	XM_006966415.1.p1
OG0000148	XM_001598192.1.p1	XM_006966827.1.p1
OG0000149	XM_001594094.1.p1	XM_006968703.1.p1
OG0000149	XM_001598606.1.p1	XM_006964044.1.p1
OG0000149	XM_001591982.1.p1	XM_006962829.1.p1, XM_006963834.1.p1, XM_006962770.1.p1, XM_006964861.1.p1
OG0000150	XM_001591864.1.p1	XM_006969641.1.p1
OG0000150	XM_001592862.1.p1	XM_006965712.1.p1
OG0000150	XM_001598441.1.p1	XM_006960917.1.p1
OG0000151	XM_001590918.1.p1	XM_006962341.1.p1
OG0000151	XM_001595088.1.p1	XM_006967888.1.p1
OG0000151	XM_001585695.1.p1	XM_006969900.1.p1
OG0000152	XM_001584799.1.p1	XM_006964753.1.p1
OG0000153	XM_001596416.1.p1	XM_006964144.1.p1
OG0000155	XM_001595155.1.p1	XM_006964277.1.p1
OG0000155	XM_001585183.1.p1	XM_006962091.1.p1
OG0000156	XM_001590138.1.p1	XM_006969399.1.p1
OG0000156	XM_001590558.1.p1	XM_006968864.1.p1, XM_006965162.1.p1
OG0000157	XM_001591936.1.p1	XM_006963481.1.p1
OG0000157	XM_001584928.1.p1	XM_006960930.1.p1
OG0000158	XM_001591152.1.p1	XM_006962758.1.p1, XM_006961816.1.p1
OG0000159	XM_001586220.1.p1	XM_006962613.1.p1
OG0000159	XM_001597022.1.p1	XM_006960941.1.p1
OG0000159	XM_001596681.1.p1	XM_006963458.1.p1
OG0000160	XM_001591639.1.p1	XM_006965227.1.p1
OG0000160	XM_001598745.1.p1, XM_001590320.1.p1	XM_006965213.1.p1, XM_006963735.1.p1
OG0000161	XM_001587165.1.p1	XM_006962576.1.p1
OG0000162	XM_001598406.1.p1	XM_006961569.1.p1
OG0000162	XM_001598925.1.p1	XM_006968859.1.p1
OG0000162	XM_001592439.1.p1	XM_006962507.1.p1
OG0000163	XM_001588689.1.p1	XM_006962988.1.p1
OG0000163	XM_001590923.1.p1	XM_006961923.1.p1
OG0000163	XM_001587263.1.p1	XM_006967927.1.p1
OG0000164	XM_001598198.1.p1	XM_006966738.1.p1, XM_006964512.1.p1
OG0000164	XM_001586644.1.p1	XM_006964944.1.p1
OG0000166	XM_001596176.1.p1	XM_006962645.1.p1
OG0000166	XM_001595405.1.p1	XM_006969543.1.p1
OG0000167	XM_001592412.1.p1	XM_006962152.1.p1
OG0000167	XM_001596554.1.p1	XM_006965462.1.p1
OG0000168	XM_001587221.1.p1	XM_006965634.1.p1, XM_006964007.1.p1, XM_006967859.1.p1
OG0000169	XM_001594644.1.p1	XM_006960999.1.p1
OG0000170	XM_001585258.1.p1	XM_006968635.1.p1
OG0000171	XM_001592227.1.p1	XM_006969823.1.p1
OG0000172	XM_001590603.1.p1	XM_006966017.1.p1
OG0000172	XM_001590018.1.p1	XM_006967334.1.p1
OG0000172	XM_001585270.1.p1	XM_006967936.1.p1
OG0000173	XM_001587766.1.p1	XM_006968803.1.p1
OG0000174	XM_001591883.1.p1	XM_006967518.1.p1
OG0000174	XM_001585955.1.p1	XM_006962082.1.p1
OG0000175	XM_001589737.1.p1	XM_006969678.1.p1
OG0000175	XM_001592718.1.p1	XM_006964395.1.p1
OG0000175	XM_001593214.1.p1	XM_006967946.1.p1
OG0000175	XM_001589370.1.p1	XM_006963711.1.p1
OG0000175	XM_001598408.1.p1	XM_006961568.1.p1
OG0000176	XM_001594380.1.p1	XM_006963276.1.p1
OG0000176	XM_001593131.1.p1	XM_006962387.1.p1
OG0000177	XM_001591247.1.p1	XM_006968753.1.p1
OG0000177	XM_001595063.1.p1	XM_006967994.1.p1
OG0000178	XM_001594170.1.p1	XM_006963968.1.p1
OG0000178	XM_001597585.1.p1	XM_006962903.1.p1
OG0000178	XM_001590945.1.p1	XM_006965860.1.p1
OG0000179	XM_001596283.1.p1, XM_001595401.1.p1	XM_006966886.1.p1
OG0000179	XM_001594350.1.p1	XM_006969462.2.p1
OG0000179	XM_001594694.1.p1	XM_006969463.1.p1
OG0000180	XM_001594632.1.p1	XM_006966338.1.p1
OG0000181	XM_001597256.1.p1	XM_006964561.1.p1, XM_006969267.1.p1
OG0000181	XM_001589985.1.p1	XM_006961275.1.p1
OG0000182	XM_001588602.1.p1	XM_006968089.1.p1
OG0000182	XM_001595051.1.p1	XM_006967895.1.p1
OG0000182	XM_001585915.1.p1	XM_006964115.1.p1
OG0000183	XM_001592775.1.p1	XM_006961896.1.p1
OG0000183	XM_001588424.1.p1	XM_006968759.1.p1
OG0000187	XM_001594437.1.p1	XM_006964171.1.p1
OG0000189	XM_001589775.1.p1	XM_006966752.1.p1
OG0000190	XM_001590771.1.p1	XM_006964548.1.p1
OG0000191	XM_001590112.1.p1	XM_006967832.1.p1
OG0000191	XM_001597252.1.p1	XM_006967798.1.p1
OG0000192	XM_001594643.1.p1	XM_006961484.1.p1
OG0000192	XM_001588260.1.p1	XM_006963394.1.p1
OG0000193	XM_001584881.1.p1	XM_006962556.1.p1
OG0000193	XM_001585382.1.p1	XM_006967943.1.p1, XM_006965676.1.p1
OG0000194	XM_001589621.1.p1	XM_006964253.1.p1
OG0000194	XM_001585026.1.p1	XM_006966150.1.p1
OG0000194	XM_001585815.1.p1	XM_006962072.1.p1
OG0000195	XM_001597923.1.p1	XM_006960910.1.p1
OG0000195	XM_001584810.1.p1	XM_006967470.1.p1
OG0000195	XM_001588295.1.p1	XM_006963328.1.p1
OG0000197	XM_001596869.1.p1	XM_006969486.1.p1
OG0000198	XM_001587593.1.p1	XM_006962894.1.p1
OG0000198	XM_001589999.1.p1	XM_006961006.1.p1
OG0000199	XM_001595824.1.p1	XM_006967013.1.p1
OG0000200	XM_001585608.1.p1	XM_006963068.1.p1
OG0000200	XM_001585607.1.p1	XM_006969718.1.p1
OG0000201	XM_001586673.1.p1	XM_006961692.1.p1
OG0000201	XM_001590628.1.p1	XM_006968606.1.p1
OG0000201	XM_001585892.1.p1	XM_006962278.1.p1
OG0000202	XM_001596185.1.p1	XM_006963562.1.p1
OG0000202	XM_001598912.1.p1	XM_006968382.1.p1
OG0000203	XM_001590586.1.p1	XM_006961066.1.p1
OG0000204	XM_001591999.1.p1	XM_006964509.1.p1, XM_006967322.1.p1
OG0000206	XM_001592244.1.p1	XM_006961594.1.p1
OG0000207	XM_001596987.1.p1	XM_006965547.1.p1
OG0000207	XM_001584718.1.p1	XM_006962957.1.p1
OG0000210	XM_001584956.1.p1	XM_006964737.1.p1, XM_006964045.1.p1, XM_006961320.1.p1
OG0000211	XM_001586269.1.p1	XM_006966300.1.p1, XM_006963064.1.p1, XM_006965311.1.p1
OG0000212	XM_001588279.1.p1	XM_006963335.1.p1
OG0000212	XM_001597073.1.p1	XM_006967250.1.p1
OG0000213	XM_001589354.1.p1	XM_006963676.1.p1
OG0000214	XM_001596341.1.p1	XM_006966650.1.p1
OG0000215	XM_001596068.1.p1, XM_001593468.1.p1, XM_001590206.1.p1	XM_006969162.1.p1
