Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Aspergillus_flavus_rna_prot
OG0000003	XM_001597102.1.p1	XM_041291234.1.p1
OG0000003	XM_001588182.1.p1	XM_041287512.1.p1
OG0000003	XM_001593713.1.p1	XM_041293726.1.p1, XM_041284714.1.p1
OG0000003	XM_001592033.1.p1	XM_041295723.1.p1, XM_041291885.1.p1, XM_041286787.1.p1, XM_041291691.1.p1
OG0000003	XM_001596719.1.p1	XM_041292566.1.p1
OG0000003	XM_001584699.1.p1	XM_041284565.1.p1, XM_041289088.1.p1, XM_041295362.1.p1, XM_041290111.1.p1, XM_041284311.1.p1, XM_041293772.1.p1
OG0000005	XM_001598240.1.p1	XM_041284889.1.p1
OG0000005	XM_001585262.1.p1	XM_041285164.1.p1
OG0000005	XM_001586851.1.p1	XM_041285129.1.p1, XM_041294790.1.p1
OG0000005	XM_001597228.1.p1	XM_041295153.1.p1, XM_041295059.1.p1, XM_041293462.1.p1, XM_041290804.1.p1, XM_041285844.1.p1, XM_041291934.1.p1
OG0000005	XM_001584813.1.p1	XM_041287489.1.p1
OG0000005	XM_001588834.1.p1	XM_041295634.1.p1
OG0000005	XM_001594565.1.p1	XM_041294881.1.p1
OG0000005	XM_001589933.1.p1	XM_041292796.1.p1
OG0000005	XM_001586774.1.p1	XM_041290966.1.p1
OG0000005	XM_001584622.1.p1	XM_041293625.1.p1
OG0000005	XM_001585072.1.p1	XM_041295247.1.p1
OG0000006	XM_001596808.1.p1	XM_041295016.1.p1
OG0000006	XM_001588863.1.p1	XM_041295398.1.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	XM_041289048.1.p1
OG0000006	XM_001585309.1.p1	XM_041290688.1.p1
OG0000006	XM_001586702.1.p1	XM_041292095.1.p1, XM_041295220.1.p1
OG0000006	XM_001588137.1.p1	XM_041294182.1.p1, XM_041294853.1.p1
OG0000006	XM_001587520.1.p1	XM_041292680.1.p1
OG0000006	XM_001584562.1.p1	XM_041285364.1.p1
OG0000006	XM_001591073.1.p1	XM_041287676.1.p1, XM_041285471.1.p1
OG0000006	XM_001595264.1.p1	XM_041285062.1.p1
OG0000007	XM_001591636.1.p1	XM_041294367.1.p1
OG0000007	XM_001587063.1.p1	XM_041293669.1.p1, XM_041284454.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_041295590.1.p1, XM_041294137.1.p1
OG0000007	XM_001590167.1.p1	XM_041289554.1.p1
OG0000007	XM_001592113.1.p1	XM_041295467.1.p1
OG0000007	XM_001594740.1.p1	XM_041288468.1.p1
OG0000007	XM_001597058.1.p1	XM_041287726.1.p1
OG0000007	XM_001595440.1.p1	XM_041291602.1.p1
OG0000007	XM_001593364.1.p1	XM_041293710.1.p1, XM_041295622.1.p1, XM_041291240.1.p1
OG0000007	XM_001592329.1.p1	XM_041294252.1.p1
OG0000007	XM_001590635.1.p1	XM_041291055.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_041289085.1.p1
OG0000007	XM_001593251.1.p1	XM_041290509.1.p1
OG0000008	XM_001595644.1.p1	XM_041289102.1.p1
OG0000008	XM_001590874.1.p1, XM_001587361.1.p1, XM_001595457.1.p1, XM_001585175.1.p1	XM_041295025.1.p1
OG0000008	XM_001591599.1.p1	XM_041291504.1.p1, XM_041291451.1.p1, XM_041290623.1.p1, XM_041290564.1.p1, XM_041290691.1.p1, XM_041289361.1.p1, XM_041295218.1.p1, XM_041288717.1.p1, XM_041292475.1.p1
OG0000008	XM_001591200.1.p1	XM_041286006.1.p1
OG0000008	XM_001595300.1.p1, XM_001589676.1.p1	XM_041286696.1.p1
OG0000008	XM_001589064.1.p1	XM_041292868.1.p1
OG0000009	XM_001587822.1.p1	XM_041288275.1.p1
OG0000009	XM_001593400.1.p1	XM_041295068.1.p1, XM_041283913.1.p1
OG0000009	XM_001595645.1.p1	XM_041287135.1.p1
OG0000009	XM_001591183.1.p1	XM_041294227.1.p1
OG0000009	XM_001585006.1.p1	XM_041295311.1.p1, XM_041284998.1.p1
OG0000009	XM_001586155.1.p1	XM_041288761.1.p1, XM_041285615.1.p1, XM_041293986.1.p1, XM_041289078.1.p1, XM_041295530.1.p1, XM_041288409.1.p1
OG0000009	XM_001592056.1.p1	XM_041292726.1.p1
OG0000009	XM_001584585.1.p1	XM_041283986.1.p1, XM_041287936.1.p1, XM_041284308.1.p1
OG0000009	XM_001584955.1.p1	XM_041288338.1.p1
OG0000010	XM_001587851.1.p1	XM_041286848.1.p1, XM_041284064.1.p1, XM_041291549.1.p1, XM_041286819.1.p1
OG0000010	XM_001589139.1.p1	XM_041287347.1.p1
OG0000010	XM_001590585.1.p1	XM_041293226.1.p1, XM_041288767.1.p1
OG0000010	XM_001592407.1.p1	XM_041286347.1.p1
OG0000011	XM_001598486.1.p1	XM_041294424.1.p1
OG0000011	XM_001589489.1.p1	XM_041292909.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_041290325.1.p1, XM_041295360.1.p1
OG0000011	XM_001595185.1.p1	XM_041290542.1.p1
OG0000011	XM_001587742.1.p1	XM_041291925.1.p1, XM_041295395.1.p1
OG0000011	XM_001585940.1.p1	XM_041291357.1.p1
OG0000011	XM_001593089.1.p1	XM_041295775.1.p1
OG0000011	XM_001591956.1.p1	XM_041293534.1.p1
OG0000013	XM_001584703.1.p1	XM_041287295.1.p1
OG0000013	XM_001588453.1.p1	XM_041295521.1.p1, XM_041293186.1.p1
OG0000013	XM_001593161.1.p1	XM_041291329.1.p1
OG0000014	XM_001588020.1.p1, XM_001588022.1.p1	XM_041287093.1.p1
OG0000014	XM_001596332.1.p1	XM_041284766.1.p1
OG0000014	XM_001596474.1.p1	XM_041294001.1.p1, XM_041293588.1.p1
OG0000014	XM_001591676.1.p1, XM_001593335.1.p1, XM_001595749.1.p1	XM_041292443.1.p1, XM_041294186.1.p1, XM_041291502.1.p1, XM_041287707.1.p1, XM_041287765.1.p1, XM_041284214.1.p1, XM_041291353.1.p1, XM_041287937.1.p1
OG0000015	XM_001596690.1.p1	XM_041294514.1.p1
OG0000015	XM_001590767.1.p1	XM_041286663.1.p1
OG0000015	XM_001586348.1.p1	XM_041294623.1.p1
OG0000015	XM_001596393.1.p1	XM_041286656.1.p1, XM_041289009.1.p1
OG0000015	XM_001593885.1.p1	XM_041292347.1.p1
OG0000015	XM_001596760.1.p1	XM_041289129.1.p1
OG0000016	XM_001588252.1.p1	XM_041292229.1.p1
OG0000016	XM_001591158.1.p1	XM_041292816.1.p1, XM_041293164.1.p1
OG0000018	XM_001598881.1.p1	XM_041291321.1.p1
OG0000018	XM_001585047.1.p1	XM_041287043.1.p1
OG0000018	XM_001589463.1.p1	XM_041293646.1.p1
OG0000018	XM_001592971.1.p1	XM_041292500.1.p1, XM_041288745.1.p1
OG0000018	XM_001585013.1.p1	XM_041294766.1.p1
OG0000018	XM_001593916.1.p1	XM_041291529.1.p1
OG0000018	XM_001591684.1.p1	XM_041288862.1.p1
OG0000019	XM_001594911.1.p1	XM_041294307.1.p1
OG0000019	XM_001595962.1.p1	XM_041287831.1.p1
OG0000019	XM_001595366.1.p1	XM_041295329.1.p1
OG0000019	XM_001586682.1.p1	XM_041291417.1.p1
OG0000019	XM_001591415.1.p1	XM_041289118.1.p1, XM_041295056.1.p1, XM_041290209.1.p1, XM_041294285.1.p1, XM_041294883.1.p1, XM_041287458.1.p1
OG0000020	XM_001590645.1.p1	XM_041295234.1.p1
OG0000020	XM_001584630.1.p1	XM_041288836.1.p1
OG0000020	XM_001592517.1.p1	XM_041291513.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1, XM_001584825.1.p1, XM_001596768.1.p1	XM_041286976.1.p1, XM_041284516.1.p1, XM_041290869.1.p1
OG0000021	XM_001590703.1.p1	XM_041290807.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	XM_041294239.1.p1
OG0000022	XM_001593129.1.p1, XM_001586689.1.p1	XM_041293595.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_041288964.1.p1, XM_041294768.1.p1
OG0000022	XM_001585002.1.p1	XM_041286307.1.p1
OG0000023	XM_001592564.1.p1	XM_041284884.1.p1, XM_041285021.1.p1, XM_041287370.1.p1, XM_041286302.1.p1, XM_041287108.1.p1
OG0000023	XM_001596222.1.p1	XM_041295662.1.p1
OG0000025	XM_001597796.1.p1	XM_041286244.1.p1, XM_041294106.1.p1, XM_041287647.1.p1
OG0000025	XM_001592424.1.p1	XM_041292955.1.p1
OG0000025	XM_001585370.1.p1	XM_041286437.1.p1, XM_041293979.1.p1, XM_041287835.1.p1, XM_041285738.1.p1
OG0000025	XM_001596141.1.p1	XM_041292635.1.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	XM_041288905.1.p1
OG0000026	XM_001597279.1.p1	XM_041287923.1.p1
OG0000026	XM_001594416.1.p1	XM_041285009.1.p1
OG0000027	XM_001593160.1.p1	XM_041284870.1.p1
OG0000027	XM_001596426.1.p1	XM_041289197.1.p1, XM_041293393.1.p1, XM_041286170.1.p1
OG0000027	XM_001596322.1.p1	XM_041286903.1.p1
OG0000029	XM_001592206.1.p1	XM_041287939.1.p1, XM_041290196.1.p1
OG0000029	XM_001592449.1.p1	XM_041294025.1.p1
OG0000029	XM_001592457.1.p1	XM_041291992.1.p1
OG0000029	XM_001586393.1.p1	XM_041293403.1.p1
OG0000029	XM_001589831.1.p1	XM_041285450.1.p1, XM_041292907.1.p1, XM_041286843.1.p1
OG0000030	XM_001595034.1.p1	XM_041295801.1.p1
OG0000030	XM_001589464.1.p1, XM_001589467.1.p1, XM_001589863.1.p1	XM_041294374.1.p1
OG0000031	XM_001589524.1.p1	XM_041295734.1.p1, XM_041291811.1.p1, XM_041286138.1.p1
OG0000031	XM_001586174.1.p1	XM_041294712.1.p1
OG0000031	XM_001587417.1.p1	XM_041292802.1.p1
OG0000032	XM_001588011.1.p1	XM_041289945.1.p1
OG0000032	XM_001587657.1.p1	XM_041290604.1.p1, XM_041289815.1.p1
OG0000032	XM_001592925.1.p1	XM_041288572.1.p1
OG0000032	XM_001593976.1.p1	XM_041290384.1.p1
OG0000032	XM_001586473.1.p1, XM_001598634.1.p1, XM_001598538.1.p1	XM_041290134.1.p1
OG0000033	XM_001597976.1.p1	XM_041284327.1.p1
OG0000033	XM_001588486.1.p1	XM_041284629.1.p1
OG0000033	XM_001587873.1.p1	XM_041286323.1.p1
OG0000033	XM_001593801.1.p1	XM_041291659.1.p1
OG0000033	XM_001596148.1.p1	XM_041285188.1.p1
OG0000033	XM_001587869.1.p1	XM_041289288.1.p1
OG0000034	XM_001590944.1.p1	XM_041292092.1.p1
OG0000034	XM_001589027.1.p1	XM_041290015.1.p1
OG0000034	XM_001586378.1.p1	XM_041287603.1.p1, XM_041292314.1.p1
OG0000034	XM_001588815.1.p1	XM_041289138.1.p1, XM_041294369.1.p1
OG0000034	XM_001593688.1.p1	XM_041286839.1.p1, XM_041284283.1.p1
OG0000035	XM_001589899.1.p1	XM_041288252.1.p1
OG0000035	XM_001595898.1.p1	XM_041292127.1.p1
OG0000035	XM_001591966.1.p1	XM_041289218.1.p1
OG0000035	XM_001587431.1.p1	XM_041284199.1.p1
OG0000035	XM_001595682.1.p1	XM_041287426.1.p1
OG0000036	XM_001593945.1.p1	XM_041285077.1.p1
OG0000036	XM_001593179.1.p1	XM_041295758.1.p1
OG0000036	XM_001595981.1.p1	XM_041289242.1.p1
OG0000036	XM_001592844.1.p1	XM_041295438.1.p1
OG0000037	XM_001585193.1.p1	XM_041294354.1.p1
OG0000037	XM_001598376.1.p1	XM_041295553.1.p1
OG0000037	XM_001595699.1.p1	XM_041287605.1.p1
OG0000038	XM_001597383.1.p1	XM_041293069.1.p1, XM_041292126.1.p1
OG0000038	XM_001585894.1.p1	XM_041287830.1.p1
OG0000039	XM_001594345.1.p1	XM_041285275.1.p1
OG0000039	XM_001593212.1.p1	XM_041291904.1.p1, XM_041291560.1.p1
OG0000039	XM_001594395.1.p1	XM_041287794.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1	XM_041287514.1.p1, XM_041292278.1.p1
OG0000039	XM_001591791.1.p1	XM_041295015.1.p1
OG0000040	XM_001587209.1.p1	XM_041288177.1.p1, XM_041287956.1.p1, XM_041293291.1.p1
OG0000040	XM_001593301.1.p1	XM_041294256.1.p1
OG0000040	XM_001589882.1.p1	XM_041290093.1.p1
OG0000041	XM_001593646.1.p1	XM_041291512.1.p1
OG0000041	XM_001592709.1.p1	XM_041292448.1.p1
OG0000041	XM_001595454.1.p1, XM_001592613.1.p1	XM_041288472.1.p1
OG0000041	XM_001584734.1.p1, XM_001585351.1.p1	XM_041292737.1.p1
OG0000042	XM_001595143.1.p1	XM_041294423.1.p1
OG0000043	XM_001597597.1.p1	XM_041292631.1.p1
OG0000043	XM_001595893.1.p1	XM_041295315.1.p1
OG0000043	XM_001596074.1.p1	XM_041293645.1.p1, XM_041290689.1.p1, XM_041295682.1.p1
OG0000043	XM_001597513.1.p1	XM_041293561.1.p1
OG0000045	XM_001587065.1.p1	XM_041293965.1.p1
OG0000045	XM_001584886.1.p1	XM_041290545.1.p1
OG0000045	XM_001596031.1.p1	XM_041289590.1.p1
OG0000045	XM_001596126.1.p1	XM_041288656.1.p1
OG0000045	XM_001585698.1.p1	XM_041294989.1.p1
OG0000045	XM_001596367.1.p1	XM_041292463.1.p1
OG0000046	XM_001586463.1.p1	XM_041295710.1.p1
OG0000046	XM_001594665.1.p1	XM_041295241.1.p1
OG0000046	XM_001586379.1.p1	XM_041291876.1.p1
OG0000048	XM_001597604.1.p1	XM_041291707.1.p1
OG0000048	XM_001598119.1.p1	XM_041286673.1.p1
OG0000048	XM_001594212.1.p1	XM_041291016.1.p1
OG0000048	XM_001589336.1.p1	XM_041291409.1.p1
OG0000048	XM_001586792.1.p1	XM_041288281.1.p1
OG0000049	XM_001593236.1.p1	XM_041286050.1.p1
OG0000049	XM_001598398.1.p1	XM_041290730.1.p1
OG0000049	XM_001598697.1.p1	XM_041295205.1.p1
OG0000049	XM_001596788.1.p1	XM_041287527.1.p1
OG0000049	XM_001593385.1.p1	XM_041295324.1.p1
OG0000050	XM_001598547.1.p1	XM_041292585.1.p1
OG0000050	XM_001585954.1.p1	XM_041292322.1.p1
OG0000050	XM_001594907.1.p1	XM_041292060.1.p1, XM_041292658.1.p1
OG0000050	XM_001598548.1.p1	XM_041290928.1.p1
OG0000050	XM_001594937.1.p1	XM_041293184.1.p1
OG0000051	XM_001589798.1.p1	XM_041291146.1.p1
OG0000051	XM_001598899.1.p1	XM_041288049.1.p1
OG0000051	XM_001590870.1.p1	XM_041294815.1.p1
OG0000051	XM_001587951.1.p1	XM_041287292.1.p1
OG0000051	XM_001596631.1.p1	XM_041290130.1.p1
OG0000051	XM_001585247.1.p1	XM_041287604.1.p1
OG0000052	XM_001585446.1.p1	XM_041290658.1.p1
OG0000052	XM_001595011.1.p1	XM_041295243.1.p1
OG0000053	XM_001588399.1.p1	XM_041294663.1.p1
OG0000053	XM_001597556.1.p1	XM_041294302.1.p1
OG0000054	XM_001595945.1.p1	XM_041294540.1.p1
OG0000054	XM_001589469.1.p1	XM_041291461.1.p1
OG0000054	XM_001596090.1.p1	XM_041289321.1.p1, XM_041285082.1.p1
OG0000054	XM_001597548.1.p1	XM_041285999.1.p1
OG0000054	XM_001597751.1.p1	XM_041287832.1.p1, XM_041293749.1.p1
OG0000055	XM_001589853.1.p1	XM_041289436.1.p1
OG0000055	XM_001586322.1.p1	XM_041295554.1.p1
OG0000055	XM_001593073.1.p1	XM_041288988.1.p1, XM_041293995.1.p1, XM_041291568.1.p1
OG0000056	XM_001591650.1.p1	XM_041284493.1.p1
OG0000056	XM_001593553.1.p1	XM_041287925.1.p1
OG0000056	XM_001591666.1.p1	XM_041289354.1.p1
OG0000056	XM_001584923.1.p1	XM_041294246.1.p1
OG0000056	XM_001593890.1.p1	XM_041294045.1.p1, XM_041290563.1.p1
OG0000058	XM_001597998.1.p1	XM_041292079.1.p1
OG0000058	XM_001596000.1.p1	XM_041289661.1.p1
OG0000058	XM_001592674.1.p1	XM_041295273.1.p1
OG0000058	XM_001589509.1.p1	XM_041294647.1.p1
OG0000058	XM_001589061.1.p1	XM_041294719.1.p1
OG0000059	XM_001596874.1.p1	XM_041288942.1.p1, XM_041288908.1.p1, XM_041293769.1.p1
OG0000059	XM_001590905.1.p1	XM_041291715.1.p1
OG0000059	XM_001585108.1.p1	XM_041288214.1.p1, XM_041293733.1.p1, XM_041285079.1.p1
OG0000060	XM_001592814.1.p1	XM_041290471.1.p1
OG0000060	XM_001589077.1.p1	XM_041284329.1.p1
OG0000060	XM_001593026.1.p1	XM_041290139.1.p1, XM_041288965.1.p1
OG0000061	XM_001592625.1.p1	XM_041294093.1.p1
OG0000062	XM_001595980.1.p1	XM_041295402.1.p1
OG0000062	XM_001592845.1.p1	XM_041295494.1.p1, XM_041290643.1.p1
OG0000062	XM_001595701.1.p1	XM_041290524.1.p1
OG0000063	XM_001589189.1.p1	XM_041295297.1.p1
OG0000063	XM_001594922.1.p1	XM_041289634.1.p1
OG0000063	XM_001584999.1.p1	XM_041285644.1.p1
OG0000064	XM_001585209.1.p1	XM_041288826.1.p1
OG0000065	XM_001598587.1.p1	XM_041290805.1.p1
OG0000065	XM_001596415.1.p1	XM_041283965.1.p1
OG0000065	XM_001589163.1.p1, XM_001596414.1.p1	XM_041291495.1.p1
OG0000065	XM_001593635.1.p1	XM_041295498.1.p1, XM_041291776.1.p1, XM_041295531.1.p1, XM_041288471.1.p1
OG0000065	XM_001596973.1.p1, XM_001589677.1.p1, XM_001585844.1.p1	XM_041285426.1.p1, XM_041288651.1.p1
OG0000066	XM_001592949.1.p1	XM_041287259.1.p1
OG0000069	XM_001590565.1.p1	XM_041292625.1.p1
OG0000069	XM_001597778.1.p1	XM_041293457.1.p1
OG0000069	XM_001585779.1.p1	XM_041289486.1.p1
OG0000070	XM_001598556.1.p1	XM_041292999.1.p1
OG0000070	XM_001587941.1.p1	XM_041290749.1.p1
OG0000070	XM_001588423.1.p1	XM_041292738.1.p1
OG0000071	XM_001593511.1.p1	XM_041294617.1.p1
OG0000071	XM_001593038.1.p1	XM_041287483.1.p1
OG0000071	XM_001587924.1.p1	XM_041290853.1.p1
OG0000071	XM_001593312.1.p1	XM_041284939.1.p1, XM_041293213.1.p1
OG0000072	XM_001585746.1.p1	XM_041287624.1.p1
OG0000072	XM_001591150.1.p1	XM_041283942.1.p1
OG0000072	XM_001590639.1.p1	XM_041292662.1.p1
OG0000072	XM_001589810.1.p1	XM_041292589.1.p1
OG0000075	XM_001589867.1.p1	XM_041284992.1.p1
OG0000076	XM_001595074.1.p1	XM_041286571.1.p1
OG0000076	XM_001597093.1.p1	XM_041291358.1.p1
OG0000076	XM_001589714.1.p1	XM_041289402.1.p1
OG0000077	XM_001591303.1.p1	XM_041294629.1.p1
OG0000077	XM_001592929.1.p1	XM_041289089.1.p1
OG0000077	XM_001589481.1.p1	XM_041294328.1.p1
OG0000078	XM_001594013.1.p1	XM_041289729.1.p1
OG0000078	XM_001597054.1.p1	XM_041295348.1.p1, XM_041294795.1.p1
OG0000078	XM_001584698.1.p1	XM_041286477.1.p1
OG0000078	XM_001595455.1.p1, XM_001588491.1.p1	XM_041292255.1.p1
OG0000079	XM_001596030.1.p1	XM_041290518.1.p1, XM_041289582.1.p1
OG0000079	XM_001591730.1.p1	XM_041289657.1.p1, XM_041292108.1.p1
OG0000079	XM_001598063.1.p1	XM_041283926.1.p1
OG0000079	XM_001590997.1.p1	XM_041292188.1.p1
OG0000080	XM_001597918.1.p1	XM_041293435.1.p1
OG0000080	XM_001596992.1.p1	XM_041285144.1.p1
OG0000081	XM_001592987.1.p1	XM_041288420.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_041294575.1.p1
OG0000081	XM_001593006.1.p1	XM_041293667.1.p1, XM_041293867.1.p1
OG0000082	XM_001590030.1.p1	XM_041287506.1.p1
OG0000082	XM_001595339.1.p1	XM_041293314.1.p1
OG0000082	XM_001594647.1.p1	XM_041287892.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_041291576.1.p1
OG0000087	XM_001595355.1.p1	XM_041286574.1.p1
OG0000087	XM_001598496.1.p1	XM_041292858.1.p1
OG0000087	XM_001597703.1.p1	XM_041288377.1.p1
OG0000088	XM_001586938.1.p1	XM_041288555.1.p1, XM_041295352.1.p1, XM_041289415.1.p1, XM_041294363.1.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	XM_041291965.1.p1
OG0000088	XM_001596104.1.p1	XM_041290662.1.p1
OG0000088	XM_001588755.1.p1	XM_041292766.1.p1
OG0000089	XM_001591699.1.p1	XM_041289910.1.p1
OG0000089	XM_001587168.1.p1, XM_001588511.1.p1	XM_041295825.1.p1
OG0000090	XM_001592643.1.p1	XM_041293780.1.p1
OG0000090	XM_001594729.1.p1	XM_041290486.1.p1
OG0000090	XM_001595265.1.p1	XM_041290422.1.p1
OG0000091	XM_001598502.1.p1	XM_041288654.1.p1
OG0000092	XM_001591109.1.p1	XM_041291418.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_041294230.1.p1
OG0000094	XM_001589274.1.p1	XM_041290773.1.p1
OG0000094	XM_001594932.1.p1	XM_041288505.1.p1
OG0000094	XM_001596520.1.p1	XM_041293046.1.p1, XM_041290647.1.p1, XM_041295589.1.p1
OG0000094	XM_001592044.1.p1	XM_041290665.1.p1
OG0000094	XM_001591784.1.p1, XM_001591526.1.p1	XM_041295046.1.p1
OG0000095	XM_001593952.1.p1	XM_041286518.1.p1
OG0000095	XM_001596701.1.p1	XM_041291429.1.p1
OG0000096	XM_001590839.1.p1	XM_041293284.1.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1	XM_041290416.1.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	XM_041288501.1.p1, XM_041292346.1.p1, XM_041295378.1.p1, XM_041295326.1.p1, XM_041285598.1.p1, XM_041288742.1.p1, XM_041295649.1.p1
OG0000099	XM_001597745.1.p1	XM_041287518.1.p1, XM_041284254.1.p1, XM_041283977.1.p1
OG0000100	XM_001594288.1.p1	XM_041291476.1.p1
OG0000100	XM_001592042.1.p1, XM_001587352.1.p1	XM_041291917.1.p1
OG0000102	XM_001598599.1.p1	XM_041284865.1.p1
OG0000102	XM_001596645.1.p1	XM_041284263.1.p1
OG0000103	XM_001596956.1.p1	XM_041288326.1.p1, XM_041288178.1.p1, XM_041294052.1.p1
OG0000103	XM_001588403.1.p1	XM_041292480.1.p1, XM_041294112.1.p1
OG0000104	XM_001592112.1.p1	XM_041285307.1.p1
OG0000104	XM_001589359.1.p1	XM_041292277.1.p1
OG0000105	XM_001593851.1.p1	XM_041284413.1.p1
OG0000105	XM_001595490.1.p1	XM_041292539.1.p1
OG0000105	XM_001595043.1.p1	XM_041291864.1.p1, XM_041293355.1.p1
OG0000106	XM_001587874.1.p1	XM_041295816.1.p1
OG0000106	XM_001588237.1.p1, XM_001586507.1.p1	XM_041288887.1.p1
OG0000106	XM_001588849.1.p1	XM_041295413.1.p1, XM_041285603.1.p1, XM_041286133.1.p1, XM_041287250.1.p1, XM_041287020.1.p1, XM_041285715.1.p1
OG0000106	XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1	XM_041284332.1.p1, XM_041287521.1.p1, XM_041286691.1.p1, XM_041285180.1.p1
OG0000107	XM_001584783.1.p1	XM_041294616.1.p1
OG0000107	XM_001592404.1.p1	XM_041294377.1.p1, XM_041289859.1.p1
OG0000109	XM_001598413.1.p1	XM_041291159.1.p1
OG0000109	XM_001594476.1.p1	XM_041288333.1.p1
OG0000110	XM_001598036.1.p1	XM_041290295.1.p1
OG0000110	XM_001598035.1.p1	XM_041290296.1.p1
OG0000111	XM_001590699.1.p1	XM_041292391.1.p1
OG0000111	XM_001590723.1.p1	XM_041291126.1.p1
OG0000111	XM_001590630.1.p1	XM_041293275.1.p1
OG0000111	XM_001585540.1.p1	XM_041290637.1.p1
OG0000112	XM_001595379.1.p1, XM_001596586.1.p1	XM_041291498.1.p1
OG0000112	XM_001593481.1.p1	XM_041288243.1.p1
OG0000112	XM_001589454.1.p1	XM_041295074.1.p1
