Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Rhizoctonia_solani_rna_prot
OG0000013	XM_001598880.1.p1	XM_043322126.1.p1, XM_043322146.1.p1, XM_043322147.1.p1, XM_043322135.1.p1
OG0000015	XM_001586983.1.p1, XM_001596690.1.p1	XM_043330996.1.p1
OG0000015	XM_001590640.1.p1, XM_001587535.1.p1, XM_001593082.1.p1, XM_001586348.1.p1, XM_001596393.1.p1, XM_001593885.1.p1, XM_001596760.1.p1, XM_001590919.1.p1	XM_043329500.1.p1, XM_043327867.1.p1
OG0000019	XM_001594911.1.p1	XM_043327218.1.p1
OG0000019	XM_001595962.1.p1, XM_001595366.1.p1, XM_001586682.1.p1	XM_043326634.1.p1, XM_043322635.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_043329435.1.p1, XM_043325602.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1, XM_001584825.1.p1, XM_001596768.1.p1, XM_001589138.1.p1	XM_043325920.1.p1, XM_043324398.1.p1, XM_043324399.1.p1, XM_043329127.1.p1
OG0000021	XM_001590981.1.p1	XM_043328517.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	XM_043325450.1.p1, XM_043325526.1.p1, XM_043325441.1.p1, XM_043325449.1.p1, XM_043329834.1.p1, XM_043325814.1.p1, XM_043329835.1.p1, XM_043324126.1.p1, XM_043330025.1.p1, XM_043330023.1.p1
OG0000025	XM_001594625.1.p1	XM_043321223.1.p1, XM_043323493.1.p1, XM_043323533.1.p1, XM_043321232.1.p1, XM_043321228.1.p1, XM_043323494.1.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1, XM_001597279.1.p1	XM_043329062.1.p1, XM_043329189.1.p1, XM_043328665.1.p1
OG0000027	XM_001594266.1.p1, XM_001589465.1.p1, XM_001594817.1.p1, XM_001596322.1.p1	XM_043323579.1.p1, XM_043323580.1.p1
OG0000029	XM_001592206.1.p1	XM_043330817.1.p1
OG0000029	XM_001592457.1.p1, XM_001588471.1.p1	XM_043322874.1.p1
OG0000029	XM_001586393.1.p1, XM_001589831.1.p1	XM_043327493.1.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	XM_043326738.1.p1, XM_043325632.1.p1, XM_043327069.1.p1, XM_043327070.1.p1
OG0000032	XM_001586473.1.p1, XM_001598634.1.p1, XM_001598538.1.p1	XM_043328523.1.p1
OG0000034	XM_001590944.1.p1	XM_043319947.1.p1
OG0000034	XM_001589027.1.p1	XM_043323995.1.p1
OG0000034	XM_001588360.1.p1	XM_043331942.1.p1
OG0000034	XM_001586378.1.p1, XM_001590462.1.p1, XM_001588815.1.p1	XM_043322469.1.p1
OG0000035	XM_001595898.1.p1	XM_043322334.1.p1, XM_043323478.1.p1, XM_043322345.1.p1, XM_043319931.1.p1, XM_043319909.1.p1
OG0000037	XM_001585193.1.p1, XM_001598376.1.p1	XM_043329493.1.p1, XM_043327131.1.p1
OG0000039	XM_001594345.1.p1	XM_043330877.1.p1, XM_043330879.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	XM_043329049.1.p1
OG0000040	XM_001590854.1.p1	XM_043327258.1.p1, XM_043327294.1.p1
OG0000041	XM_001593646.1.p1, XM_001587220.1.p1, XM_001592709.1.p1, XM_001595454.1.p1, XM_001592613.1.p1	XM_043323480.1.p1, XM_043323486.1.p1
OG0000042	XM_001595143.1.p1	XM_043327148.1.p1
OG0000042	XM_001586568.1.p1	XM_043331975.1.p1, XM_043327196.1.p1, XM_043327194.1.p1, XM_043328901.1.p1, XM_043328952.1.p1, XM_043324572.1.p1, XM_043324570.1.p1, XM_043324571.1.p1, XM_043319890.1.p1, XM_043324699.1.p1, XM_043331734.1.p1, XM_043319962.1.p1, XM_043319884.1.p1, XM_043328723.1.p1, XM_043325205.1.p1, XM_043325218.1.p1, XM_043325217.1.p1, XM_043325215.1.p1
OG0000043	XM_001597597.1.p1	XM_043324040.1.p1, XM_043325997.1.p1, XM_043325999.1.p1
OG0000043	XM_001595893.1.p1, XM_001596074.1.p1, XM_001597513.1.p1	XM_043330123.1.p1, XM_043326792.1.p1, XM_043330379.1.p1, XM_043325780.1.p1, XM_043330094.1.p1, XM_043330091.1.p1, XM_043330124.1.p1, XM_043332019.1.p1, XM_043323115.1.p1, XM_043323070.1.p1, XM_043330076.1.p1, XM_043325593.1.p1, XM_043323230.1.p1, XM_043329456.1.p1, XM_043323381.1.p1, XM_043331553.1.p1, XM_043326355.1.p1, XM_043326838.1.p1, XM_043330332.1.p1, XM_043326851.1.p1, XM_043330316.1.p1, XM_043328219.1.p1
OG0000045	XM_001587065.1.p1	XM_043325065.1.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	XM_043329851.1.p1
OG0000045	XM_001585698.1.p1	XM_043331526.1.p1, XM_043325829.1.p1, XM_043325827.1.p1, XM_043328724.1.p1, XM_043329546.1.p1
OG0000046	XM_001586463.1.p1	XM_043323038.1.p1
OG0000046	XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	XM_043321370.1.p1, XM_043321348.1.p1
OG0000048	XM_001597604.1.p1	XM_043324289.1.p1, XM_043326551.1.p1
OG0000048	XM_001589336.1.p1	XM_043321030.1.p1
OG0000048	XM_001586792.1.p1	XM_043331052.1.p1
OG0000049	XM_001593236.1.p1	XM_043331456.1.p1, XM_043325015.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_043322673.1.p1, XM_043328420.1.p1
OG0000049	XM_001593385.1.p1	XM_043320836.1.p1
OG0000050	XM_001585954.1.p1	XM_043327177.1.p1
OG0000051	XM_001589798.1.p1	XM_043327548.1.p1
OG0000051	XM_001598899.1.p1	XM_043321395.1.p1
OG0000051	XM_001590870.1.p1	XM_043322683.1.p1
OG0000051	XM_001587951.1.p1	XM_043328810.1.p1
OG0000051	XM_001596631.1.p1	XM_043320928.1.p1
OG0000051	XM_001585247.1.p1	XM_043329585.1.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	XM_043321015.1.p1, XM_043321014.1.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1	XM_043323976.1.p1, XM_043320794.1.p1, XM_043329743.1.p1, XM_043332017.1.p1
OG0000057	XM_001594938.1.p1	XM_043331230.1.p1
OG0000058	XM_001597998.1.p1	XM_043321896.1.p1
OG0000058	XM_001596000.1.p1	XM_043331739.1.p1
OG0000058	XM_001592674.1.p1	XM_043321698.1.p1
OG0000058	XM_001589061.1.p1	XM_043327009.1.p1
OG0000062	XM_001595980.1.p1, XM_001592845.1.p1, XM_001595701.1.p1	XM_043325783.1.p1, XM_043325881.1.p1, XM_043329785.1.p1, XM_043325851.1.p1, XM_043325713.1.p1, XM_043331179.1.p1, XM_043324312.1.p1
OG0000063	XM_001584999.1.p1	XM_043325943.1.p1, XM_043325932.1.p1, XM_043325641.1.p1, XM_043325657.1.p1, XM_043325883.1.p1, XM_043323210.1.p1, XM_043323225.1.p1, XM_043319923.1.p1, XM_043330978.1.p1, XM_043330955.1.p1, XM_043331054.1.p1, XM_043330975.1.p1, XM_043330956.1.p1, XM_043330981.1.p1, XM_043331928.1.p1, XM_043325238.1.p1, XM_043324010.1.p1, XM_043325819.1.p1, XM_043325952.1.p1, XM_043325843.1.p1, XM_043329393.1.p1, XM_043330618.1.p1, XM_043330590.1.p1, XM_043326218.1.p1, XM_043322025.1.p1, XM_043326327.1.p1
OG0000064	XM_001585209.1.p1	XM_043325439.1.p1, XM_043325466.1.p1, XM_043322962.1.p1, XM_043322952.1.p1
OG0000065	XM_001589163.1.p1, XM_001596414.1.p1, XM_001593635.1.p1, XM_001597774.1.p1, XM_001598590.1.p1, XM_001596973.1.p1, XM_001589677.1.p1, XM_001585844.1.p1	XM_043325244.1.p1, XM_043321174.1.p1, XM_043325242.1.p1, XM_043325245.1.p1, XM_043321225.1.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	XM_043332063.1.p1
OG0000069	XM_001590565.1.p1	XM_043327859.1.p1, XM_043327840.1.p1, XM_043320876.1.p1, XM_043322399.1.p1
OG0000069	XM_001589526.1.p1	XM_043327188.1.p1
OG0000070	XM_001598556.1.p1	XM_043322035.1.p1
OG0000070	XM_001588423.1.p1	XM_043326130.1.p1, XM_043326131.1.p1, XM_043326132.1.p1
OG0000071	XM_001593511.1.p1	XM_043331027.1.p1
OG0000071	XM_001587924.1.p1	XM_043326382.1.p1
OG0000071	XM_001593312.1.p1	XM_043331740.1.p1
OG0000072	XM_001585746.1.p1	XM_043324548.1.p1, XM_043325608.1.p1, XM_043327513.1.p1, XM_043331557.1.p1
OG0000073	XM_001584713.1.p1, XM_001596969.1.p1, XM_001590156.1.p1, XM_001586330.1.p1, XM_001593291.1.p1, XM_001589577.1.p1, XM_001585045.1.p1, XM_001587397.1.p1	XM_043321527.1.p1
OG0000073	XM_001591346.1.p1, XM_001596564.1.p1, XM_001588518.1.p1, XM_001592346.1.p1, XM_001589432.1.p1, XM_001586390.1.p1, XM_001586364.1.p1, XM_001588285.1.p1, XM_001591681.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1, XM_001598368.1.p1, XM_001589547.1.p1, XM_001587031.1.p1, XM_001597254.1.p1, XM_001594006.1.p1, XM_001585046.1.p1, XM_001587043.1.p1, XM_001598359.1.p1, XM_001587465.1.p1, XM_001591370.1.p1, XM_001589576.1.p1, XM_001593440.1.p1, XM_001591652.1.p1, XM_001589130.1.p1, XM_001588425.1.p1, XM_001585810.1.p1, XM_001589755.1.p1, XM_001584981.1.p1	XM_043330088.1.p1, XM_043331413.1.p1, XM_043326417.1.p1, XM_043319872.1.p1, XM_043327956.1.p1, XM_043319977.1.p1, XM_043322812.1.p1, XM_043322367.1.p1, XM_043327429.1.p1, XM_043332091.1.p1, XM_043324743.1.p1, XM_043328506.1.p1, XM_043330658.1.p1, XM_043324693.1.p1, XM_043322191.1.p1, XM_043326941.1.p1, XM_043321467.1.p1, XM_043321667.1.p1, XM_043327842.1.p1, XM_043330741.1.p1, XM_043319969.1.p1, XM_043332108.1.p1, XM_043321524.1.p1, XM_043321469.1.p1, XM_043331414.1.p1, XM_043326416.1.p1, XM_043327955.1.p1, XM_043321525.1.p1, XM_043322355.1.p1, XM_043320019.1.p1, XM_043331100.1.p1, XM_043326939.1.p1, XM_043330226.1.p1, XM_043324242.1.p1, XM_043329199.1.p1, XM_043319897.1.p1, XM_043332106.1.p1, XM_043320018.1.p1, XM_043329668.1.p1, XM_043330188.1.p1, XM_043323254.1.p1, XM_043330506.1.p1, XM_043332118.1.p1, XM_043323352.1.p1, XM_043321067.1.p1, XM_043332022.1.p1, XM_043330189.1.p1, XM_043329667.1.p1, XM_043328650.1.p1, XM_043327934.1.p1
OG0000075	XM_001589867.1.p1	XM_043329135.1.p1
OG0000076	XM_001595074.1.p1	XM_043331517.1.p1
OG0000076	XM_001597093.1.p1	XM_043331322.1.p1
OG0000076	XM_001589714.1.p1	XM_043330667.1.p1
OG0000076	XM_001587341.1.p1	XM_043327311.1.p1
OG0000077	XM_001591303.1.p1	XM_043321651.1.p1
OG0000077	XM_001593433.1.p1, XM_001589481.1.p1	XM_043326750.1.p1, XM_043330432.1.p1, XM_043330436.1.p1, XM_043330435.1.p1, XM_043326749.1.p1, XM_043319880.1.p1, XM_043325774.1.p1, XM_043321258.1.p1
OG0000079	XM_001596030.1.p1	XM_043329418.1.p1
OG0000079	XM_001591730.1.p1	XM_043321962.1.p1
OG0000079	XM_001598063.1.p1	XM_043328469.1.p1
OG0000079	XM_001590997.1.p1	XM_043324240.1.p1
OG0000080	XM_001596992.1.p1	XM_043330146.1.p1, XM_043322821.1.p1, XM_043328436.1.p1, XM_043325224.1.p1, XM_043325226.1.p1, XM_043325459.1.p1, XM_043329991.1.p1, XM_043330526.1.p1, XM_043330527.1.p1, XM_043325016.1.p1, XM_043329727.1.p1, XM_043320576.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_043320095.1.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1	XM_043324599.1.p1, XM_043324556.1.p1
OG0000082	XM_001595339.1.p1	XM_043320337.1.p1
OG0000084	XM_001590245.1.p1	XM_043325607.1.p1, XM_043327399.1.p1, XM_043325994.1.p1, XM_043328744.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_043324510.1.p1, XM_043325095.1.p1, XM_043325194.1.p1, XM_043324804.1.p1, XM_043323709.1.p1, XM_043325973.1.p1, XM_043331593.1.p1, XM_043331332.1.p1, XM_043331327.1.p1, XM_043328648.1.p1, XM_043323869.1.p1, XM_043329827.1.p1, XM_043323870.1.p1, XM_043327034.1.p1
OG0000087	XM_001595355.1.p1	XM_043320318.1.p1
OG0000087	XM_001598496.1.p1	XM_043322642.1.p1
OG0000088	XM_001586938.1.p1	XM_043320857.1.p1, XM_043321654.1.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1, XM_001598564.1.p1, XM_001584621.1.p1	XM_043331050.1.p1, XM_043322778.1.p1, XM_043328872.1.p1
OG0000090	XM_001594729.1.p1	XM_043327141.1.p1
OG0000092	XM_001595891.1.p1	XM_043321961.1.p1
OG0000092	XM_001585711.1.p1	XM_043328836.1.p1
OG0000093	XM_001598888.1.p1	XM_043328990.1.p1, XM_043322486.1.p1, XM_043320748.1.p1, XM_043322772.1.p1
OG0000094	XM_001589274.1.p1	XM_043325196.1.p1, XM_043325195.1.p1
OG0000094	XM_001592044.1.p1	XM_043331024.1.p1
OG0000095	XM_001593952.1.p1	XM_043325679.1.p1
OG0000095	XM_001596701.1.p1	XM_043320517.1.p1
OG0000099	XM_001597745.1.p1	XM_043325797.1.p1, XM_043323053.1.p1, XM_043325787.1.p1, XM_043325740.1.p1, XM_043325864.1.p1, XM_043325863.1.p1, XM_043325603.1.p1
OG0000100	XM_001594288.1.p1, XM_001592042.1.p1, XM_001587352.1.p1	XM_043324244.1.p1, XM_043324245.1.p1, XM_043330724.1.p1, XM_043330722.1.p1, XM_043330721.1.p1, XM_043330726.1.p1
OG0000102	XM_001598599.1.p1, XM_001596645.1.p1, XM_001594196.1.p1	XM_043328206.1.p1
OG0000103	XM_001596956.1.p1	XM_043325700.1.p1, XM_043321392.1.p1, XM_043329738.1.p1
OG0000103	XM_001588403.1.p1, XM_001598588.1.p1	XM_043325514.1.p1, XM_043323492.1.p1, XM_043325764.1.p1, XM_043324223.1.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1, XM_001589359.1.p1	XM_043321142.1.p1, XM_043320734.1.p1, XM_043320907.1.p1, XM_043326076.1.p1, XM_043325521.1.p1, XM_043326648.1.p1, XM_043320442.1.p1, XM_043324557.1.p1, XM_043320339.1.p1, XM_043320252.1.p1, XM_043320249.1.p1
OG0000105	XM_001593851.1.p1	XM_043327839.1.p1, XM_043327838.1.p1
OG0000106	XM_001586917.1.p1, XM_001587874.1.p1, XM_001588237.1.p1, XM_001586507.1.p1, XM_001588849.1.p1, XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1, XM_001585132.1.p1	XM_043327475.1.p1
OG0000107	XM_001584783.1.p1, XM_001589423.1.p1, XM_001592404.1.p1	XM_043327074.1.p1
OG0000108	XM_001596312.1.p1	XM_043331460.1.p1, XM_043322316.1.p1, XM_043322317.1.p1, XM_043326619.1.p1, XM_043321310.1.p1, XM_043325867.1.p1, XM_043322967.1.p1, XM_043322953.1.p1
OG0000108	XM_001593720.1.p1, XM_001590490.1.p1	XM_043324934.1.p1
OG0000109	XM_001598413.1.p1, XM_001594476.1.p1	XM_043320115.1.p1, XM_043322557.1.p1, XM_043325653.1.p1, XM_043331544.1.p1, XM_043325898.1.p1, XM_043325707.1.p1, XM_043331546.1.p1, XM_043330163.1.p1
OG0000110	XM_001598036.1.p1	XM_043324980.1.p1
OG0000110	XM_001598742.1.p1	XM_043328509.1.p1
OG0000110	XM_001598035.1.p1	XM_043327110.1.p1
OG0000111	XM_001590699.1.p1	XM_043323008.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_043327717.1.p1, XM_043324363.1.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	XM_043323050.1.p1, XM_043319887.1.p1, XM_043322868.1.p1, XM_043320461.1.p1, XM_043320462.1.p1, XM_043328867.1.p1
OG0000114	XM_001595917.1.p1	XM_043321816.1.p1
OG0000114	XM_001592280.1.p1	XM_043331821.1.p1
OG0000118	XM_001595655.1.p1	XM_043324523.1.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1	XM_043324647.1.p1
OG0000122	XM_001595033.1.p1	XM_043322401.1.p1
OG0000123	XM_001592460.1.p1	XM_043331699.1.p1
OG0000123	XM_001590327.1.p1	XM_043320944.1.p1
OG0000123	XM_001598819.1.p1	XM_043322782.1.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1, XM_001592159.1.p1	XM_043325609.1.p1, XM_043330079.1.p1, XM_043325611.1.p1, XM_043327843.1.p1
OG0000126	XM_001594679.1.p1	XM_043321546.1.p1
OG0000126	XM_001598751.1.p1	XM_043323742.1.p1
OG0000127	XM_001585475.1.p1	XM_043329550.1.p1, XM_043329551.1.p1, XM_043329513.1.p1
OG0000128	XM_001593926.1.p1, XM_001587645.1.p1, XM_001587546.1.p1, XM_001595695.1.p1, XM_001588790.1.p1	XM_043331985.1.p1
OG0000129	XM_001587396.1.p1, XM_001594102.1.p1	XM_043325931.1.p1, XM_043325064.1.p1
OG0000130	XM_001592702.1.p1	XM_043322617.1.p1
OG0000134	XM_001595908.1.p1, XM_001596315.1.p1, XM_001592770.1.p1, XM_001593823.1.p1	XM_043319829.1.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	XM_043324042.1.p1, XM_043327502.1.p1, XM_043320320.1.p1, XM_043325050.1.p1, XM_043325049.1.p1, XM_043323326.1.p1
OG0000137	XM_001595718.1.p1	XM_043320053.1.p1
OG0000137	XM_001590475.1.p1	XM_043326171.1.p1, XM_043328692.1.p1
OG0000137	XM_001593484.1.p1	XM_043331655.1.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	XM_043320599.1.p1
OG0000141	XM_001591233.1.p1	XM_043323959.1.p1
OG0000143	XM_001587980.1.p1, XM_001595416.1.p1	XM_043322402.1.p1, XM_043322006.1.p1
OG0000145	XM_001596988.1.p1	XM_043329433.1.p1
OG0000145	XM_001591190.1.p1, XM_001589003.1.p1	XM_043324495.1.p1, XM_043326443.1.p1, XM_043324542.1.p1, XM_043329867.1.p1
OG0000147	XM_001598847.1.p1	XM_043330291.1.p1, XM_043326877.1.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1	XM_043322831.1.p1, XM_043327714.1.p1, XM_043327549.1.p1
OG0000148	XM_001598192.1.p1	XM_043323944.1.p1
OG0000150	XM_001591864.1.p1, XM_001592862.1.p1	XM_043320735.1.p1
OG0000150	XM_001598441.1.p1	XM_043324761.1.p1
OG0000151	XM_001590918.1.p1	XM_043321542.1.p1
OG0000151	XM_001595088.1.p1	XM_043324844.1.p1
OG0000151	XM_001585695.1.p1	XM_043322773.1.p1
OG0000152	XM_001587185.1.p1, XM_001586091.1.p1, XM_001584799.1.p1	XM_043328176.1.p1, XM_043322757.1.p1, XM_043328164.1.p1, XM_043330024.1.p1
OG0000154	XM_001591266.1.p1, XM_001588474.1.p1, XM_001597904.1.p1	XM_043327884.1.p1, XM_043327883.1.p1, XM_043328497.1.p1, XM_043323438.1.p1, XM_043328496.1.p1, XM_043328495.1.p1, XM_043328489.1.p1, XM_043331995.1.p1, XM_043328488.1.p1, XM_043328487.1.p1, XM_043328417.1.p1, XM_043325392.1.p1, XM_043326265.1.p1, XM_043326266.1.p1
OG0000155	XM_001595155.1.p1	XM_043322583.1.p1
OG0000155	XM_001585183.1.p1	XM_043322582.1.p1
OG0000156	XM_001590558.1.p1	XM_043328712.1.p1, XM_043319967.1.p1, XM_043321128.1.p1, XM_043328661.1.p1, XM_043319979.1.p1, XM_043319838.1.p1, XM_043319908.1.p1, XM_043327424.1.p1, XM_043327445.1.p1, XM_043327423.1.p1, XM_043324387.1.p1
OG0000157	XM_001591936.1.p1	XM_043320925.1.p1
OG0000157	XM_001584928.1.p1	XM_043321884.1.p1, XM_043321883.1.p1
OG0000159	XM_001586220.1.p1	XM_043329379.1.p1
OG0000159	XM_001597022.1.p1	XM_043324162.1.p1
OG0000159	XM_001596681.1.p1	XM_043329100.1.p1
OG0000160	XM_001598265.1.p1, XM_001591639.1.p1	XM_043323166.1.p1, XM_043324112.1.p1, XM_043325203.1.p1
OG0000162	XM_001598406.1.p1	XM_043320697.1.p1
OG0000162	XM_001598925.1.p1	XM_043326003.1.p1
OG0000162	XM_001592439.1.p1	XM_043324195.1.p1
OG0000163	XM_001590923.1.p1	XM_043327104.1.p1
OG0000163	XM_001587263.1.p1	XM_043326444.1.p1
OG0000164	XM_001598198.1.p1	XM_043327621.1.p1
OG0000166	XM_001596176.1.p1	XM_043321960.1.p1
OG0000166	XM_001596435.1.p1, XM_001595405.1.p1	XM_043321914.1.p1
OG0000167	XM_001592412.1.p1	XM_043320441.1.p1
OG0000169	XM_001592310.1.p1	XM_043328272.1.p1
OG0000169	XM_001594644.1.p1	XM_043322478.1.p1
OG0000172	XM_001590603.1.p1	XM_043326541.1.p1
OG0000172	XM_001590018.1.p1	XM_043324712.1.p1
