Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Fusarium_oxysporum_cds_prot
OG0000002	XM_001595296.1.p1	lcl|NC_030996.1_cds_XP_018247360.1_22779.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	lcl|NC_030995.1_cds_XP_018249520.1_21204.p1, lcl|NC_030993.1_cds_XP_018236851.1_17396.p1, lcl|NC_030993.1_cds_XP_018236417.1_16962.p1
OG0000003	XM_001597102.1.p1	lcl|NC_030987.1_cds_XP_018245337.1_5526.p1
OG0000003	XM_001598505.1.p1	lcl|NC_030994.1_cds_XP_018246673.1_19740.p1
OG0000003	XM_001594017.1.p1	lcl|NC_030992.1_cds_XP_018248541.1_16671.p1, lcl|NC_030988.1_cds_XP_018254865.1_7795.p1, lcl|NC_030996.1_cds_XP_018247160.1_22579.p1, lcl|NC_030997.1_cds_XP_018252676.1_23701.p1
OG0000003	XM_001593713.1.p1	lcl|NC_030987.1_cds_XP_018256514.1_6080.p1, lcl|NW_017264851.1_cds_XP_018258406.1_26703.p1, lcl|NC_030992.1_cds_XP_018240298.1_15214.p1
OG0000003	XM_001592033.1.p1	lcl|NC_030998.1_cds_XP_018250549.1_24560.p1, lcl|NC_030997.1_cds_XP_018252373.1_23398.p1, lcl|NC_030995.1_cds_XP_018249990.1_21674.p1, lcl|NC_030994.1_cds_XP_018251610.1_20569.p1, lcl|NC_030999.1_cds_XP_018254020.1_25446.p1, lcl|NC_030987.1_cds_XP_018241224.1_3838.p1, lcl|NC_030992.1_cds_XP_018248695.1_16825.p1, lcl|NC_030986.1_cds_XP_018249088.1_366.p1, lcl|NC_030998.1_cds_XP_018257641.1_25053.p1, lcl|NC_030998.1_cds_XP_018257640.1_25052.p1, lcl|NW_017264901.1_cds_XP_018258865.1_26314.p1, lcl|NC_030997.1_cds_XP_018252397.1_23422.p1, lcl|NC_030989.1_cds_XP_018238410.1_9485.p1, lcl|NC_030994.1_cds_XP_018246207.1_19274.p1, lcl|NC_030990.1_cds_XP_018255271.1_10780.p1, lcl|NC_030997.1_cds_XP_018252584.1_23609.p1, lcl|NC_030995.1_cds_XP_018250289.1_21973.p1, lcl|NC_030994.1_cds_XP_018251483.1_20442.p1, lcl|NC_030998.1_cds_XP_018257608.1_25020.p1, lcl|NC_030997.1_cds_XP_018252712.1_23737.p1, lcl|NC_030997.1_cds_XP_018252713.1_23738.p1, lcl|NC_030997.1_cds_XP_018252715.1_23740.p1, lcl|NC_030997.1_cds_XP_018254240.1_24071.p1, lcl|NC_030986.1_cds_XP_018248800.1_75.p1, lcl|NC_030998.1_cds_XP_018257675.1_25087.p1, lcl|NW_017264909.1_cds_XP_018258873.1_26305.p1, lcl|NC_030990.1_cds_XP_018236035.1_12935.p1
OG0000003	XM_001596719.1.p1	lcl|NC_030996.1_cds_XP_018257168.1_22167.p1
OG0000003	XM_001584699.1.p1	lcl|NC_030996.1_cds_XP_018247013.1_22432.p1, lcl|NC_030992.1_cds_XP_018248657.1_16787.p1, lcl|NC_030993.1_cds_XP_018256092.1_18719.p1, lcl|NC_030993.1_cds_XP_018256091.1_18718.p1
OG0000005	XM_001598240.1.p1	lcl|NC_030997.1_cds_XP_018254080.1_23911.p1
OG0000005	XM_001585262.1.p1	lcl|NW_017264852.1_cds_XP_018258484.1_26676.p1, lcl|NC_030996.1_cds_XP_018246890.1_22309.p1, lcl|NC_030993.1_cds_XP_018236714.1_17259.p1, lcl|NC_030990.1_cds_XP_018255178.1_10687.p1
OG0000005	XM_001586851.1.p1	lcl|NC_030994.1_cds_XP_018246045.1_19112.p1, lcl|NC_030989.1_cds_XP_018243361.1_8310.p1
OG0000005	XM_001597228.1.p1	lcl|NC_030987.1_cds_XP_018244841.1_5030.p1, lcl|NC_030987.1_cds_XP_018241291.1_3905.p1, lcl|NW_017264852.1_cds_XP_018258485.1_26677.p1, lcl|NC_030996.1_cds_XP_018247067.1_22486.p1, lcl|NC_030996.1_cds_XP_018247450.1_22869.p1, lcl|NC_030990.1_cds_XP_018236303.1_13203.p1, lcl|NC_030986.1_cds_XP_018255689.1_3540.p1, lcl|NC_030995.1_cds_XP_018253247.1_20998.p1, lcl|NW_017264847.1_cds_XP_018257859.1_27020.p1
OG0000005	XM_001598738.1.p1	lcl|NC_031000.1_cds_XP_018255874.1_26212.p1
OG0000005	XM_001588834.1.p1	lcl|NC_030998.1_cds_XP_018250694.1_24705.p1, lcl|NC_030986.1_cds_XP_018248928.1_203.p1, lcl|NC_030996.1_cds_XP_018247519.1_22938.p1, lcl|NC_030997.1_cds_XP_018254065.1_23896.p1
OG0000005	XM_001586774.1.p1	lcl|NC_030997.1_cds_XP_018252530.1_23555.p1, lcl|NW_017264865.1_cds_XP_018258768.1_26410.p1
OG0000005	XM_001584622.1.p1	lcl|NC_030990.1_cds_XP_018234665.1_11564.p1, lcl|NC_030990.1_cds_XP_018234662.1_11565.p1, lcl|NC_030990.1_cds_XP_018234667.1_11568.p1
OG0000005	XM_001585072.1.p1	lcl|NC_030996.1_cds_XP_018246934.1_22353.p1
OG0000006	XM_001588352.1.p1	lcl|NW_017264856.1_cds_XP_018258652.1_26537.p1
OG0000006	XM_001596808.1.p1	lcl|NC_030992.1_cds_XP_018247845.1_15975.p1
OG0000006	XM_001588863.1.p1	lcl|NC_030994.1_cds_XP_018246470.1_19537.p1, lcl|NC_030994.1_cds_XP_018245909.1_18976.p1
OG0000006	XM_001592785.1.p1	lcl|NC_030995.1_cds_XP_018250051.1_21735.p1, lcl|NC_030998.1_cds_XP_018257695.1_25107.p1, lcl|NC_030998.1_cds_XP_018257715.1_25127.p1, lcl|NC_030986.1_cds_XP_018232387.1_1629.p1
OG0000006	XM_001585309.1.p1	lcl|NC_030992.1_cds_XP_018239935.1_14850.p1
OG0000006	XM_001586702.1.p1	lcl|NC_030990.1_cds_XP_018236040.1_12940.p1, lcl|NC_030998.1_cds_XP_018250877.1_24888.p1
OG0000006	XM_001588137.1.p1	lcl|NC_030986.1_cds_XP_018248991.1_266.p1
OG0000006	XM_001587520.1.p1	lcl|NC_030997.1_cds_XP_018252565.1_23590.p1
OG0000006	XM_001598725.1.p1	lcl|NC_030996.1_cds_XP_018247398.1_22817.p1, lcl|NC_030994.1_cds_XP_018251619.1_20578.p1
OG0000006	XM_001584562.1.p1	lcl|NC_030995.1_cds_XP_018250034.1_21718.p1
OG0000006	XM_001591073.1.p1	lcl|NC_030989.1_cds_XP_018243158.1_8107.p1, lcl|NC_030994.1_cds_XP_018246639.1_19706.p1
OG0000006	XM_001595264.1.p1	lcl|NC_030994.1_cds_XP_018251629.1_20588.p1
OG0000006	XM_001597248.1.p1	lcl|NC_030996.1_cds_XP_018247685.1_23104.p1
OG0000007	XM_001591636.1.p1	lcl|NC_030994.1_cds_XP_018245908.1_18975.p1
OG0000007	XM_001587063.1.p1	lcl|NW_017264853.1_cds_XP_018258554.1_26627.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	lcl|NC_030989.1_cds_XP_018239118.1_10193.p1, lcl|NC_030996.1_cds_XP_018247143.1_22562.p1, lcl|NC_030993.1_cds_XP_018236409.1_16954.p1, lcl|NC_030987.1_cds_XP_018245638.1_5827.p1
OG0000007	XM_001590167.1.p1	lcl|NC_030989.1_cds_XP_018243830.1_8779.p1
OG0000007	XM_001597058.1.p1	lcl|NC_030994.1_cds_XP_018251364.1_20323.p1
OG0000007	XM_001593364.1.p1	lcl|NC_030990.1_cds_XP_018255310.1_10819.p1
OG0000007	XM_001592329.1.p1	lcl|NW_017264851.1_cds_XP_018258395.1_26692.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	lcl|NC_030989.1_cds_XP_018239407.1_10482.p1, lcl|NC_030992.1_cds_XP_018248444.1_16574.p1, lcl|NC_030995.1_cds_XP_018250125.1_21809.p1, lcl|NC_030986.1_cds_XP_018255650.1_3501.p1
OG0000007	XM_001593251.1.p1	lcl|NC_030996.1_cds_XP_018257073.1_22072.p1, lcl|NC_030987.1_cds_XP_018241399.1_4013.p1
OG0000008	XM_001591041.1.p1	lcl|NC_030989.1_cds_XP_018239228.1_10303.p1, lcl|NC_030989.1_cds_XP_018238533.1_9608.p1, lcl|NW_017264847.1_cds_XP_018257856.1_27017.p1, lcl|NC_030997.1_cds_XP_018254242.1_24073.p1
OG0000008	XM_001591599.1.p1	lcl|NC_030997.1_cds_XP_018254115.1_23946.p1, lcl|NC_030996.1_cds_XP_018257103.1_22102.p1, lcl|NC_030998.1_cds_XP_018250471.1_24482.p1
OG0000008	XM_001592284.1.p1	lcl|NC_030986.1_cds_XP_018248767.1_42.p1
OG0000009	XM_001595645.1.p1	lcl|NC_030990.1_cds_XP_018235981.1_12881.p1
OG0000009	XM_001591183.1.p1	lcl|NC_030992.1_cds_XP_018248043.1_16174.p1
OG0000009	XM_001591631.1.p1	lcl|NC_030997.1_cds_XP_018254185.1_24016.p1
OG0000009	XM_001586155.1.p1	lcl|NC_030993.1_cds_XP_018236588.1_17134.p1
OG0000009	XM_001593815.1.p1	lcl|NW_017264853.1_cds_XP_018258549.1_26622.p1, lcl|NC_030989.1_cds_XP_018239310.1_10385.p1
OG0000009	XM_001587232.1.p1	lcl|NC_030990.1_cds_XP_018236265.1_13165.p1, lcl|NC_030989.1_cds_XP_018243148.1_8097.p1
OG0000009	XM_001584585.1.p1	lcl|NW_017264847.1_cds_XP_018257769.1_26930.p1
OG0000009	XM_001584955.1.p1	lcl|NC_030989.1_cds_XP_018238346.1_9421.p1, lcl|NC_030989.1_cds_XP_018239319.1_10394.p1
OG0000010	XM_001587851.1.p1	lcl|NC_030989.1_cds_XP_018238096.1_9171.p1, lcl|NC_030992.1_cds_XP_018248501.1_16631.p1, lcl|NC_030987.1_cds_XP_018241415.1_4029.p1, lcl|NC_030986.1_cds_XP_018233919.1_3161.p1, lcl|NC_030995.1_cds_XP_018252946.1_20697.p1, lcl|NC_030990.1_cds_XP_018234543.1_11443.p1
OG0000010	XM_001589139.1.p1	lcl|NC_030997.1_cds_XP_018254060.1_23891.p1
OG0000010	XM_001597412.1.p1	lcl|NC_030993.1_cds_XP_018236749.1_17294.p1
OG0000010	XM_001590585.1.p1	lcl|NC_030992.1_cds_XP_018239657.1_14572.p1
OG0000010	XM_001592407.1.p1	lcl|NC_030989.1_cds_XP_018238259.1_9334.p1
OG0000010	XM_001598213.1.p1	lcl|NC_030996.1_cds_XP_018247633.1_23052.p1, lcl|NC_030996.1_cds_XP_018247627.1_23046.p1
OG0000011	XM_001598486.1.p1	lcl|NC_030994.1_cds_XP_018246126.1_19193.p1
OG0000011	XM_001589489.1.p1	lcl|NC_030990.1_cds_XP_018235955.1_12855.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	lcl|NC_030986.1_cds_XP_018233456.1_2698.p1
OG0000011	XM_001587742.1.p1, XM_001585940.1.p1	lcl|NC_030992.1_cds_XP_018239667.1_14582.p1
OG0000011	XM_001593089.1.p1	lcl|NC_030992.1_cds_XP_018239900.1_14815.p1
OG0000011	XM_001591956.1.p1	lcl|NC_030994.1_cds_XP_018246475.1_19542.p1
OG0000012	XM_001586566.1.p1	lcl|NC_030987.1_cds_XP_018245434.1_5623.p1
OG0000013	XM_001584703.1.p1	lcl|NC_030996.1_cds_XP_018257072.1_22071.p1
OG0000013	XM_001598880.1.p1	lcl|NC_030989.1_cds_XP_018238314.1_9389.p1, lcl|NC_030995.1_cds_XP_018253104.1_20855.p1
OG0000013	XM_001588453.1.p1	lcl|NC_030987.1_cds_XP_018245665.1_5854.p1, lcl|NC_030997.1_cds_XP_018254245.1_24076.p1, lcl|NC_030989.1_cds_XP_018243223.1_8172.p1, lcl|NC_030989.1_cds_XP_018238560.1_9635.p1, lcl|NC_030998.1_cds_XP_018250526.1_24537.p1, lcl|NC_030986.1_cds_XP_018233882.1_3124.p1, lcl|NC_030994.1_cds_XP_018245993.1_19060.p1, lcl|NC_030993.1_cds_XP_018256177.1_18804.p1
OG0000013	XM_001593161.1.p1	lcl|NC_030996.1_cds_XP_018247424.1_22843.p1, lcl|NC_030994.1_cds_XP_018246150.1_19217.p1
OG0000014	XM_001588020.1.p1	lcl|NC_030992.1_cds_XP_018248622.1_16752.p1, lcl|NC_030993.1_cds_XP_018237658.1_18203.p1, lcl|NC_030989.1_cds_XP_018243408.1_8357.p1
OG0000014	XM_001592509.1.p1	lcl|NC_030986.1_cds_XP_018233853.1_3095.p1
OG0000014	XM_001596332.1.p1	lcl|NC_030987.1_cds_XP_018241382.1_3996.p1
OG0000014	XM_001596474.1.p1	lcl|NC_030990.1_cds_XP_018255300.1_10809.p1, lcl|NC_030994.1_cds_XP_018251614.1_20573.p1, lcl|NC_030987.1_cds_XP_018241388.1_4002.p1, lcl|NC_030994.1_cds_XP_018251622.1_20581.p1, lcl|NC_030987.1_cds_XP_018241274.1_3888.p1, lcl|NC_030995.1_cds_XP_018250294.1_21978.p1, lcl|NC_030996.1_cds_XP_018247020.1_22439.p1, lcl|NC_030995.1_cds_XP_018253019.1_20770.p1, lcl|NC_030992.1_cds_XP_018239724.1_14639.p1, lcl|NC_030997.1_cds_XP_018252614.1_23639.p1
OG0000014	XM_001596813.1.p1	lcl|NC_030993.1_cds_XP_018236485.1_17030.p1
OG0000014	XM_001598931.1.p1	lcl|NW_017264847.1_cds_XP_018257772.1_26933.p1
OG0000015	XM_001590767.1.p1	lcl|NC_030993.1_cds_XP_018236533.1_17078.p1
OG0000015	XM_001590640.1.p1	lcl|NW_017264850.1_cds_XP_018258364.1_26784.p1
OG0000015	XM_001587535.1.p1	lcl|NC_030986.1_cds_XP_018234071.1_3313.p1
OG0000015	XM_001586348.1.p1	lcl|NW_017264850.1_cds_XP_018258318.1_26738.p1, lcl|NC_030987.1_cds_XP_018245534.1_5723.p1
OG0000015	XM_001596393.1.p1	lcl|NC_030987.1_cds_XP_018241066.1_3680.p1, lcl|NC_030994.1_cds_XP_018246194.1_19261.p1
OG0000016	XM_001597259.1.p1	lcl|NC_030988.1_cds_XP_018254857.1_7787.p1
OG0000016	XM_001593310.1.p1	lcl|NC_030988.1_cds_XP_018242610.1_7238.p1, lcl|NC_030995.1_cds_XP_018252891.1_20642.p1
OG0000016	XM_001591158.1.p1	lcl|NW_017264848.1_cds_XP_018258094.1_26907.p1, lcl|NC_030994.1_cds_XP_018251503.1_20462.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	lcl|NC_030994.1_cds_XP_018251635.1_20594.p1, lcl|NC_030999.1_cds_XP_018258497.1_25532.p1
OG0000018	XM_001593239.1.p1	lcl|NC_030991.1_cds_XP_018258558.1_14332.p1, lcl|NC_030988.1_cds_XP_018251665.1_6242.p1, lcl|NC_030996.1_cds_XP_018246900.1_22319.p1, lcl|NC_030986.1_cds_XP_018248789.1_64.p1
OG0000018	XM_001592971.1.p1	lcl|NW_017264851.1_cds_XP_018258408.1_26705.p1
OG0000019	XM_001594911.1.p1	lcl|NC_030986.1_cds_XP_018233980.1_3222.p1
OG0000019	XM_001595962.1.p1	lcl|NC_030990.1_cds_XP_018255216.1_10725.p1
OG0000019	XM_001586682.1.p1	lcl|NC_030989.1_cds_XP_018239144.1_10219.p1, lcl|NC_030989.1_cds_XP_018239143.1_10218.p1
OG0000019	XM_001591415.1.p1	lcl|NC_030992.1_cds_XP_018247996.1_16126.p1
OG0000020	XM_001590645.1.p1	lcl|NC_030993.1_cds_XP_018237170.1_17715.p1
OG0000020	XM_001592000.1.p1, XM_001597565.1.p1	lcl|NC_030994.1_cds_XP_018246335.1_19402.p1
OG0000020	XM_001592517.1.p1	lcl|NC_030993.1_cds_XP_018236331.1_16876.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	lcl|NC_030987.1_cds_XP_018241093.1_3707.p1
OG0000021	XM_001589138.1.p1	lcl|NC_030992.1_cds_XP_018248146.1_16276.p1
OG0000021	XM_001590703.1.p1	lcl|NC_030987.1_cds_XP_018245328.1_5517.p1
OG0000021	XM_001590981.1.p1	lcl|NC_030998.1_cds_XP_018257740.1_25152.p1
OG0000022	XM_001589766.1.p1	lcl|NC_030993.1_cds_XP_018237610.1_18155.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	lcl|NC_030989.1_cds_XP_018238405.1_9480.p1, lcl|NC_030997.1_cds_XP_018254178.1_24009.p1, lcl|NC_030997.1_cds_XP_018254172.1_24003.p1
OG0000022	XM_001589348.1.p1	lcl|NC_030986.1_cds_XP_018231734.1_976.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	lcl|NC_030992.1_cds_XP_018248708.1_16838.p1
OG0000023	XM_001585831.1.p1	lcl|NC_030996.1_cds_XP_018247613.1_23032.p1, lcl|NC_030990.1_cds_XP_018255298.1_10807.p1, lcl|NC_030989.1_cds_XP_018243099.1_8048.p1, lcl|NC_030992.1_cds_XP_018239731.1_14646.p1
OG0000023	XM_001592654.1.p1, XM_001587468.1.p1, XM_001584499.1.p1, XM_001591377.1.p1, XM_001585807.1.p1, XM_001584498.1.p1, XM_001594049.1.p1, XM_001590155.1.p1	lcl|NC_030997.1_cds_XP_018252734.1_23759.p1
OG0000023	XM_001592564.1.p1	lcl|NC_030997.1_cds_XP_018254372.1_24203.p1
OG0000023	XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1	lcl|NC_030988.1_cds_XP_018258280.1_6181.p1
OG0000025	XM_001597796.1.p1	lcl|NC_030992.1_cds_XP_018239547.1_14462.p1
OG0000025	XM_001594625.1.p1	lcl|NC_030993.1_cds_XP_018236733.1_17278.p1
OG0000025	XM_001592424.1.p1	lcl|NC_030990.1_cds_XP_018234313.1_11213.p1
OG0000025	XM_001585370.1.p1	lcl|NC_030993.1_cds_XP_018237772.1_18317.p1, lcl|NW_017264849.1_cds_XP_018258203.1_26829.p1
OG0000025	XM_001596047.1.p1	lcl|NC_030993.1_cds_XP_018256173.1_18800.p1
OG0000026	XM_001585572.1.p1	lcl|NC_030988.1_cds_XP_018242575.1_7203.p1, lcl|NC_030994.1_cds_XP_018245877.1_18944.p1
OG0000026	XM_001588953.1.p1	lcl|NW_017264847.1_cds_XP_018257868.1_27029.p1
OG0000026	XM_001594416.1.p1	lcl|NC_030997.1_cds_XP_018254268.1_24099.p1, lcl|NC_030987.1_cds_XP_018242284.1_4898.p1, lcl|NC_030996.1_cds_XP_018247675.1_23094.p1
OG0000027	XM_001593160.1.p1	lcl|NC_030996.1_cds_XP_018247645.1_23064.p1
OG0000027	XM_001584646.1.p1	lcl|NC_030989.1_cds_XP_018243140.1_8089.p1
OG0000027	XM_001596426.1.p1	lcl|NC_030988.1_cds_XP_018254973.1_7903.p1, lcl|NC_030991.1_cds_XP_018244474.1_13511.p1
OG0000027	XM_001594817.1.p1	lcl|NC_030990.1_cds_XP_018236306.1_13206.p1, lcl|NC_030996.1_cds_XP_018247077.1_22496.p1, lcl|NC_030992.1_cds_XP_018248600.1_16730.p1
OG0000027	XM_001596322.1.p1	lcl|NW_017264850.1_cds_XP_018258322.1_26742.p1
OG0000029	XM_001592206.1.p1	lcl|NC_030989.1_cds_XP_018238159.1_9234.p1
OG0000029	XM_001586393.1.p1	lcl|NC_030990.1_cds_XP_018235488.1_12388.p1, lcl|NC_030996.1_cds_XP_018247411.1_22830.p1
OG0000029	XM_001589831.1.p1	lcl|NC_030992.1_cds_XP_018247964.1_16094.p1
OG0000029	XM_001590306.1.p1	lcl|NC_030996.1_cds_XP_018247299.1_22718.p1
OG0000030	XM_001591271.1.p1	lcl|NC_030986.1_cds_XP_018248878.1_153.p1
OG0000031	XM_001589524.1.p1	lcl|NC_030996.1_cds_XP_018246917.1_22336.p1, lcl|NC_030992.1_cds_XP_018240162.1_15077.p1
OG0000031	XM_001587417.1.p1	lcl|NC_031000.1_cds_XP_018255892.1_26230.p1, lcl|NC_030993.1_cds_XP_018256106.1_18733.p1, lcl|NC_030993.1_cds_XP_018236711.1_17256.p1, lcl|NC_030987.1_cds_XP_018245777.1_5966.p1, lcl|NC_030993.1_cds_XP_018237790.1_18335.p1, lcl|NC_030996.1_cds_XP_018257188.1_22187.p1, lcl|NC_030987.1_cds_XP_018245749.1_5938.p1
OG0000032	XM_001588011.1.p1	lcl|NC_030994.1_cds_XP_018251404.1_20363.p1
OG0000032	XM_001587657.1.p1	lcl|NC_030986.1_cds_XP_018232101.1_1343.p1, lcl|NC_030996.1_cds_XP_018246926.1_22345.p1, lcl|NC_030988.1_cds_XP_018242926.1_7554.p1, lcl|NC_030988.1_cds_XP_018256713.1_6860.p1, lcl|NC_030988.1_cds_XP_018251864.1_6441.p1, lcl|NC_030994.1_cds_XP_018250995.1_19954.p1
OG0000032	XM_001592925.1.p1	lcl|NC_030995.1_cds_XP_018249715.1_21399.p1, lcl|NC_030999.1_cds_XP_018258052.1_25497.p1, lcl|NC_030986.1_cds_XP_018233337.1_2579.p1
OG0000032	XM_001586473.1.p1	lcl|NW_017264847.1_cds_XP_018257788.1_26949.p1
OG0000032	XM_001598634.1.p1	lcl|NC_030986.1_cds_XP_018255725.1_3576.p1
OG0000032	XM_001598538.1.p1	lcl|NW_017264847.1_cds_XP_018257851.1_27012.p1, lcl|NC_030986.1_cds_XP_018248728.1_3.p1, lcl|NC_030990.1_cds_XP_018255268.1_10777.p1
OG0000033	XM_001597976.1.p1	lcl|NC_030997.1_cds_XP_018252302.1_23327.p1
OG0000033	XM_001588486.1.p1	lcl|NC_030996.1_cds_XP_018247483.1_22902.p1
OG0000033	XM_001593801.1.p1	lcl|NC_030989.1_cds_XP_018238445.1_9520.p1, lcl|NC_030989.1_cds_XP_018239074.1_10149.p1
OG0000033	XM_001596148.1.p1	lcl|NC_030995.1_cds_XP_018249989.1_21673.p1
OG0000033	XM_001596320.1.p1	lcl|NC_030997.1_cds_XP_018254318.1_24149.p1
OG0000033	XM_001597723.1.p1	lcl|NC_030996.1_cds_XP_018257198.1_22197.p1, lcl|NC_030996.1_cds_XP_018257124.1_22123.p1
OG0000033	XM_001587869.1.p1	lcl|NC_030990.1_cds_XP_018255191.1_10700.p1
OG0000034	XM_001590944.1.p1	lcl|NC_030989.1_cds_XP_018243452.1_8401.p1
OG0000034	XM_001589027.1.p1	lcl|NC_030993.1_cds_XP_018237149.1_17694.p1
OG0000034	XM_001588360.1.p1	lcl|NC_030992.1_cds_XP_018240054.1_14969.p1
OG0000034	XM_001586378.1.p1	lcl|NC_030989.1_cds_XP_018243207.1_8156.p1
OG0000034	XM_001588815.1.p1	lcl|NC_030986.1_cds_XP_018249264.1_539.p1
OG0000034	XM_001593688.1.p1	lcl|NC_030989.1_cds_XP_018238556.1_9631.p1
OG0000035	XM_001597459.1.p1	lcl|NC_030987.1_cds_XP_018241241.1_3855.p1, lcl|NC_030989.1_cds_XP_018239348.1_10423.p1
OG0000035	XM_001589899.1.p1	lcl|NW_017264850.1_cds_XP_018258360.1_26780.p1, lcl|NC_030987.1_cds_XP_018241632.1_4246.p1, lcl|NC_030986.1_cds_XP_018255630.1_3481.p1, lcl|NC_031000.1_cds_XP_018254623.1_25979.p1, lcl|NC_030986.1_cds_XP_018255621.1_3472.p1, lcl|NC_030996.1_cds_XP_018247335.1_22754.p1, lcl|NW_017264847.1_cds_XP_018257867.1_27028.p1, lcl|NC_030998.1_cds_XP_018250608.1_24619.p1, lcl|NC_030986.1_cds_XP_018232506.1_1748.p1
OG0000035	XM_001595898.1.p1	lcl|NC_030993.1_cds_XP_018237494.1_18039.p1
OG0000035	XM_001595682.1.p1	lcl|NC_030989.1_cds_XP_018238685.1_9760.p1
OG0000036	XM_001597457.1.p1	lcl|NC_030986.1_cds_XP_018231971.1_1213.p1
OG0000036	XM_001596073.1.p1	lcl|NC_030997.1_cds_XP_018254383.1_24214.p1
