Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Phyllosticta_citricarpa_cds_prot
OG0000007	XM_001592329.1.p1, XM_001590635.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551412.1_2147.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545547.1_5023.p1
OG0000007	XM_001593251.1.p1	lcl|JBBPDW010000036.1_cds_KAK7536588.1_8013.p1
OG0000008	XM_001595644.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543777.1_5419.p1
OG0000008	XM_001596095.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541369.1_6543.p1
OG0000008	XM_001590874.1.p1, XM_001587361.1.p1, XM_001595457.1.p1, XM_001585175.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547098.1_4279.p1
OG0000008	XM_001589064.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547580.1_3968.p1
OG0000009	XM_001587822.1.p1	lcl|JBBPDW010000008.1_cds_KAK7550134.1_3035.p1
OG0000009	XM_001586701.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553442.1_1440.p1
OG0000009	XM_001593400.1.p1	lcl|JBBPDW010000016.1_cds_KAK7545927.1_4906.p1
OG0000009	XM_001591183.1.p1	lcl|JBBPDW010000045.1_cds_KAK7533602.1_8846.p1
OG0000009	XM_001591631.1.p1	lcl|JBBPDW010000073.1_cds_KAK7529385.1_10158.p1
OG0000009	XM_001584585.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543917.1_5559.p1
OG0000009	XM_001584955.1.p1	lcl|JBBPDW010000001.1_cds_KAK7557032.1_389.p1
OG0000010	XM_001587851.1.p1	lcl|JBBPDW010000051.1_cds_KAK7532566.1_9322.p1, lcl|JBBPDW010000008.1_cds_KAK7550212.1_3113.p1, lcl|JBBPDW010000020.1_cds_KAK7543568.1_5713.p1
OG0000010	XM_001590585.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555649.1_634.p1
OG0000010	XM_001592407.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554797.1_1315.p1, lcl|JBBPDW010000050.1_cds_KAK7532616.1_9218.p1
OG0000011	XM_001598486.1.p1	lcl|JBBPDW010000049.1_cds_KAK7532705.1_9146.p1
OG0000011	XM_001589489.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543753.1_5395.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553581.1_1579.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550678.1_2583.p1
OG0000011	XM_001591956.1.p1	lcl|JBBPDW010000049.1_cds_KAK7532731.1_9172.p1
OG0000012	XM_001586083.1.p1	lcl|JBBPDW010000033.1_cds_KAK7537769.1_7659.p1
OG0000013	XM_001584703.1.p1	lcl|JBBPDW010000038.1_cds_KAK7535636.1_8100.p1
OG0000014	XM_001596474.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554654.1_1172.p1, lcl|JBBPDW010000016.1_cds_KAK7545901.1_4880.p1
OG0000015	XM_001596690.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545696.1_5172.p1
OG0000015	XM_001590640.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545609.1_5085.p1
OG0000015	XM_001587535.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550871.1_2776.p1
OG0000015	XM_001586348.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547030.1_4211.p1
OG0000015	XM_001596393.1.p1	lcl|JBBPDW010000033.1_cds_KAK7537703.1_7593.p1
OG0000015	XM_001593885.1.p1	lcl|JBBPDW010000020.1_cds_KAK7543445.1_5590.p1
OG0000016	XM_001590858.1.p1	lcl|JBBPDW010000028.1_cds_KAK7539239.1_7059.p1, lcl|JBBPDW010000002.1_cds_KAK7555711.1_696.p1
OG0000016	XM_001591158.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545284.1_5242.p1, lcl|JBBPDW010000018.1_cds_KAK7545329.1_5287.p1
OG0000018	XM_001585013.1.p1	lcl|JBBPDW010000051.1_cds_KAK7532571.1_9327.p1
OG0000018	XM_001591684.1.p1	lcl|JBBPDW010000024.1_cds_KAK7541557.1_6407.p1
OG0000019	XM_001594911.1.p1	lcl|JBBPDW010000067.1_cds_KAK7529745.1_10064.p1
OG0000019	XM_001595366.1.p1	lcl|JBBPDW010000039.1_cds_KAK7535606.1_8279.p1
OG0000019	XM_001591415.1.p1	lcl|JBBPDW010000051.1_cds_KAK7532572.1_9328.p1
OG0000020	XM_001590818.1.p1	lcl|JBBPDW010000036.1_cds_KAK7536564.1_7989.p1
OG0000020	XM_001584630.1.p1	lcl|JBBPDW010000047.1_cds_KAK7533433.1_9040.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1	lcl|JBBPDW010000015.1_cds_KAK7546217.1_4627.p1
OG0000021	XM_001590703.1.p1	lcl|JBBPDW010000033.1_cds_KAK7537697.1_7587.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556989.1_346.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545388.1_5346.p1, lcl|JBBPDW010000014.1_cds_KAK7546749.1_4558.p1
OG0000025	XM_001597796.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538868.1_7259.p1
OG0000025	XM_001594625.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555493.1_478.p1
OG0000025	XM_001585370.1.p1	lcl|JBBPDW010000066.1_cds_KAK7530025.1_10007.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	lcl|JBBPDW010000046.1_cds_KAK7533466.1_8896.p1
OG0000026	XM_001597279.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556683.1_40.p1
OG0000026	XM_001594416.1.p1	lcl|JBBPDW010000043.1_cds_KAK7534395.1_8610.p1
OG0000027	XM_001596426.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556983.1_340.p1, lcl|JBBPDW010000001.1_cds_KAK7556791.1_148.p1
OG0000027	XM_001596322.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556644.1_1.p1
OG0000029	XM_001592206.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548231.1_3869.p1
OG0000029	XM_001592449.1.p1	lcl|JBBPDW010000052.1_cds_KAK7531902.1_9381.p1
OG0000029	XM_001588471.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546783.1_4592.p1
OG0000029	XM_001589831.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541392.1_6566.p1
OG0000029	XM_001590306.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550829.1_2734.p1
OG0000030	XM_001591271.1.p1	lcl|JBBPDW010000026.1_cds_KAK7540272.1_6626.p1
OG0000031	XM_001589524.1.p1	lcl|JBBPDW010000047.1_cds_KAK7533386.1_8993.p1
OG0000031	XM_001586174.1.p1	lcl|JBBPDW010000031.1_cds_KAK7538028.1_7450.p1
OG0000031	XM_001587417.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551447.1_2182.p1
OG0000032	XM_001588011.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546752.1_4561.p1
OG0000032	XM_001592925.1.p1	lcl|JBBPDW010000060.1_cds_KAK7530565.1_9788.p1
OG0000033	XM_001587873.1.p1	lcl|JBBPDW010000009.1_cds_KAK7549437.1_3331.p1
OG0000034	XM_001590944.1.p1	lcl|JBBPDW010000038.1_cds_KAK7535704.1_8168.p1
OG0000034	XM_001589027.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553702.1_1700.p1
OG0000034	XM_001588360.1.p1	lcl|JBBPDW010000020.1_cds_KAK7543446.1_5591.p1
OG0000034	XM_001586378.1.p1	lcl|JBBPDW010000029.1_cds_KAK7539044.1_7151.p1
OG0000034	XM_001590462.1.p1	lcl|JBBPDW010000008.1_cds_KAK7550215.1_3116.p1
OG0000034	XM_001588815.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543854.1_5496.p1
OG0000034	XM_001593688.1.p1	lcl|JBBPDW010000024.1_cds_KAK7541511.1_6361.p1
OG0000035	XM_001597487.1.p1	lcl|JBBPDW010000046.1_cds_KAK7533476.1_8906.p1
OG0000035	XM_001591966.1.p1	lcl|JBBPDW010000075.1_cds_KAK7529360.1_10198.p1
OG0000035	XM_001587431.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554696.1_1214.p1
OG0000036	XM_001585435.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547190.1_4371.p1
OG0000036	XM_001592844.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551560.1_2295.p1
OG0000037	XM_001595699.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550714.1_2619.p1
OG0000038	XM_001597383.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555495.1_480.p1, lcl|JBBPDW010000030.1_cds_KAK7538943.1_7334.p1, lcl|JBBPDW010000032.1_cds_KAK7537851.1_7493.p1
OG0000038	XM_001585894.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551613.1_2348.p1
OG0000038	XM_001586848.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553487.1_1485.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1, XM_001593634.1.p1	lcl|JBBPDW010000036.1_cds_KAK7536580.1_8005.p1, lcl|JBBPDW010000035.1_cds_KAK7536644.1_7841.p1
OG0000038	XM_001590964.1.p1	lcl|JBBPDW010000034.1_cds_KAK7537580.1_7714.p1
OG0000039	XM_001594345.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547692.1_4080.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548289.1_3927.p1
OG0000039	XM_001591791.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547039.1_4220.p1
OG0000041	XM_001593646.1.p1	lcl|JBBPDW010000005.1_cds_KAK7552341.1_1757.p1
OG0000041	XM_001592709.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556794.1_151.p1
OG0000041	XM_001592613.1.p1	lcl|JBBPDW010000040.1_cds_KAK7535491.1_8374.p1
OG0000041	XM_001585351.1.p1	lcl|JBBPDW010000066.1_cds_KAK7530040.1_10022.p1
OG0000042	XM_001595143.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551536.1_2271.p1
OG0000042	XM_001586568.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545298.1_5256.p1
OG0000043	XM_001597597.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554431.1_949.p1
OG0000043	XM_001595893.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545371.1_5329.p1
OG0000045	XM_001587065.1.p1	lcl|JBBPDW010000042.1_cds_KAK7534532.1_8534.p1
OG0000045	XM_001596031.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538928.1_7319.p1
OG0000045	XM_001596126.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556962.1_319.p1
OG0000045	XM_001596367.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547761.1_4149.p1
OG0000046	XM_001586463.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543780.1_5422.p1
OG0000046	XM_001586462.1.p1	lcl|JBBPDW010000038.1_cds_KAK7535668.1_8132.p1
OG0000046	XM_001594665.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553361.1_1359.p1
OG0000046	XM_001587340.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553517.1_1515.p1
OG0000046	XM_001586379.1.p1	lcl|JBBPDW010000032.1_cds_KAK7537827.1_7469.p1
OG0000048	XM_001597604.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554406.1_924.p1
OG0000048	XM_001594212.1.p1	lcl|JBBPDW010000035.1_cds_KAK7536650.1_7847.p1
OG0000048	XM_001589336.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545685.1_5161.p1
OG0000048	XM_001586792.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546688.1_4497.p1
OG0000049	XM_001593236.1.p1	lcl|JBBPDW010000064.1_cds_KAK7530104.1_9917.p1
OG0000049	XM_001598398.1.p1	lcl|JBBPDW010000041.1_cds_KAK7534609.1_8409.p1
OG0000049	XM_001596788.1.p1	lcl|JBBPDW010000024.1_cds_KAK7541604.1_6454.p1, lcl|JBBPDW010000001.1_cds_KAK7556985.1_342.p1
OG0000049	XM_001593385.1.p1	lcl|JBBPDW010000039.1_cds_KAK7535614.1_8287.p1
OG0000050	XM_001598547.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555828.1_813.p1
OG0000050	XM_001585954.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554744.1_1262.p1
OG0000050	XM_001594907.1.p1	lcl|JBBPDW010000038.1_cds_KAK7535708.1_8172.p1
OG0000050	XM_001598548.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555721.1_706.p1
OG0000050	XM_001594937.1.p1	lcl|JBBPDW010000058.1_cds_KAK7531095.1_9654.p1
OG0000051	XM_001589798.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541379.1_6553.p1
OG0000051	XM_001590870.1.p1	lcl|JBBPDW010000020.1_cds_KAK7543542.1_5687.p1
OG0000052	XM_001585446.1.p1	lcl|JBBPDW010000041.1_cds_KAK7534654.1_8454.p1
OG0000052	XM_001595011.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554704.1_1222.p1
OG0000052	XM_001598643.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547598.1_3986.p1
OG0000053	XM_001588399.1.p1	lcl|JBBPDW010000026.1_cds_KAK7540428.1_6782.p1
OG0000054	XM_001595945.1.p1	lcl|JBBPDW010000043.1_cds_KAK7534491.1_8706.p1
OG0000054	XM_001595452.1.p1, XM_001596090.1.p1, XM_001597548.1.p1, XM_001587362.1.p1	lcl|JBBPDW010000018.1_cds_KAK7545386.1_5344.p1
OG0000054	XM_001597751.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547101.1_4282.p1
OG0000055	XM_001593073.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550732.1_2637.p1
OG0000056	XM_001591650.1.p1	lcl|JBBPDW010000013.1_cds_KAK7547070.1_4251.p1
OG0000056	XM_001593553.1.p1	lcl|JBBPDW010000009.1_cds_KAK7549294.1_3188.p1
OG0000056	XM_001591666.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556728.1_85.p1
OG0000056	XM_001591171.1.p1	lcl|JBBPDW010000054.1_cds_KAK7531800.1_9462.p1
OG0000056	XM_001593890.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545577.1_5053.p1
OG0000058	XM_001597998.1.p1	lcl|JBBPDW010000012.1_cds_KAK7547666.1_4054.p1
OG0000058	XM_001596000.1.p1	lcl|JBBPDW010000016.1_cds_KAK7545941.1_4920.p1
OG0000058	XM_001592674.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545639.1_5115.p1
OG0000058	XM_001589509.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551591.1_2326.p1
OG0000058	XM_001589061.1.p1	lcl|JBBPDW010000023.1_cds_KAK7541711.1_6160.p1
OG0000059	XM_001591046.1.p1, XM_001595946.1.p1	lcl|JBBPDW010000043.1_cds_KAK7534496.1_8711.p1
OG0000060	XM_001598675.1.p1, XM_001589077.1.p1	lcl|JBBPDW010000019.1_cds_KAK7543805.1_5447.p1
OG0000060	XM_001593026.1.p1	lcl|JBBPDW010000025.1_cds_KAK7541414.1_6588.p1
OG0000061	XM_001592625.1.p1	lcl|JBBPDW010000065.1_cds_KAK7530068.1_9965.p1
OG0000062	XM_001595980.1.p1	lcl|JBBPDW010000010.1_cds_KAK7548818.1_3640.p1
OG0000062	XM_001592845.1.p1	lcl|JBBPDW010000003.1_cds_KAK7554706.1_1224.p1
OG0000063	XM_001589189.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553582.1_1580.p1
OG0000063	XM_001594922.1.p1	lcl|JBBPDW010000028.1_cds_KAK7539204.1_7024.p1
OG0000064	XM_001585209.1.p1	lcl|JBBPDW010000010.1_cds_KAK7548787.1_3609.p1
OG0000064	XM_001594438.1.p1	lcl|JBBPDW010000009.1_cds_KAK7549321.1_3215.p1
OG0000065	XM_001588469.1.p1	lcl|JBBPDW010000014.1_cds_KAK7546784.1_4593.p1
OG0000065	XM_001590788.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553355.1_1353.p1
OG0000065	XM_001593635.1.p1	lcl|JBBPDW010000007.1_cds_KAK7550729.1_2634.p1, lcl|JBBPDW010000024.1_cds_KAK7541602.1_6452.p1
OG0000069	XM_001590565.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553556.1_1554.p1
OG0000069	XM_001589526.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548203.1_3841.p1
OG0000069	XM_001597778.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551620.1_2355.p1
OG0000069	XM_001589598.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548252.1_3890.p1
OG0000070	XM_001598556.1.p1	lcl|JBBPDW010000039.1_cds_KAK7535580.1_8253.p1
OG0000070	XM_001587941.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556914.1_271.p1
OG0000071	XM_001593511.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538921.1_7312.p1
OG0000071	XM_001593038.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545631.1_5107.p1
OG0000071	XM_001587924.1.p1	lcl|JBBPDW010000031.1_cds_KAK7538018.1_7440.p1
OG0000071	XM_001593312.1.p1	lcl|JBBPDW010000042.1_cds_KAK7534564.1_8566.p1
OG0000072	XM_001585746.1.p1	lcl|JBBPDW010000022.1_cds_KAK7543064.1_6079.p1
OG0000072	XM_001590639.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545607.1_5083.p1
OG0000072	XM_001589810.1.p1	lcl|JBBPDW010000041.1_cds_KAK7534668.1_8468.p1
OG0000075	XM_001589867.1.p1	lcl|JBBPDW010000006.1_cds_KAK7551464.1_2199.p1
OG0000076	XM_001595074.1.p1	lcl|JBBPDW010000026.1_cds_KAK7540320.1_6674.p1
OG0000076	XM_001597093.1.p1	lcl|JBBPDW010000056.1_cds_KAK7531216.1_9578.p1
OG0000076	XM_001589714.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538896.1_7287.p1
OG0000076	XM_001587341.1.p1	lcl|JBBPDW010000001.1_cds_KAK7557007.1_364.p1
OG0000077	XM_001591303.1.p1	lcl|JBBPDW010000005.1_cds_KAK7552504.1_1920.p1
OG0000077	XM_001592929.1.p1	lcl|JBBPDW010000057.1_cds_KAK7531147.1_9610.p1
OG0000077	XM_001593433.1.p1, XM_001589481.1.p1	lcl|JBBPDW010000031.1_cds_KAK7537977.1_7399.p1
OG0000078	XM_001597054.1.p1	lcl|JBBPDW010000043.1_cds_KAK7534494.1_8709.p1
OG0000078	XM_001584698.1.p1	lcl|JBBPDW010000011.1_cds_KAK7548179.1_3817.p1
OG0000079	XM_001596030.1.p1	lcl|JBBPDW010000030.1_cds_KAK7538899.1_7290.p1
OG0000079	XM_001591730.1.p1	lcl|JBBPDW010000001.1_cds_KAK7556680.1_37.p1
OG0000079	XM_001598063.1.p1	lcl|JBBPDW010000075.1_cds_KAK7529355.1_10193.p1
OG0000079	XM_001590997.1.p1	lcl|JBBPDW010000027.1_cds_KAK7540118.1_6799.p1
OG0000080	XM_001597918.1.p1	lcl|JBBPDW010000017.1_cds_KAK7545650.1_5126.p1
OG0000081	XM_001592987.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555576.1_561.p1
OG0000081	XM_001586053.1.p1	lcl|JBBPDW010000004.1_cds_KAK7553389.1_1387.p1
OG0000081	XM_001589644.1.p1	lcl|JBBPDW010000033.1_cds_KAK7537789.1_7679.p1
OG0000081	XM_001593006.1.p1	lcl|JBBPDW010000027.1_cds_KAK7540173.1_6854.p1
OG0000082	XM_001587987.1.p1	lcl|JBBPDW010000002.1_cds_KAK7555567.1_552.p1
OG0000082	XM_001595339.1.p1	lcl|JBBPDW010000081.1_cds_KAK7529179.1_10289.p1
OG0000082	XM_001594647.1.p1	lcl|JBBPDW010000032.1_cds_KAK7537871.1_7513.p1
OG0000084	XM_001590245.1.p1	lcl|JBBPDW010000020.1_cds_KAK7543422.1_5567.p1
OG0000085	XM_001598503.1.p1	lcl|JBBPDW010000041.1_cds_KAK7534601.1_8401.p1
