Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Ustilago_maydis_rna_prot
OG0000022	XM_001589766.1.p1	XM_011389393.1.p1, XM_011389500.1.p1, XM_011394447.1.p1, XM_011389636.1.p1
OG0000025	XM_001594625.1.p1	XM_011393113.1.p1, XM_011390844.1.p1
OG0000025	XM_001592424.1.p1	XM_011393674.1.p1
OG0000027	XM_001594266.1.p1, XM_001589465.1.p1, XM_001594817.1.p1, XM_001596322.1.p1	XM_011390676.1.p1
OG0000029	XM_001592206.1.p1	XM_011391267.1.p1
OG0000029	XM_001592457.1.p1, XM_001588471.1.p1	XM_011392276.1.p1
OG0000029	XM_001586393.1.p1	XM_011390204.1.p1
OG0000029	XM_001589831.1.p1	XM_011389287.1.p1
OG0000031	XM_001586174.1.p1	XM_011389554.1.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	XM_011392469.1.p1
OG0000034	XM_001590944.1.p1	XM_011388421.1.p1
OG0000034	XM_001588360.1.p1	XM_011393599.1.p1
OG0000034	XM_001586378.1.p1, XM_001590462.1.p1, XM_001588815.1.p1	XM_011389338.1.p1
OG0000036	XM_001585435.1.p1	XM_011388293.1.p1
OG0000037	XM_001595699.1.p1	XM_011390222.1.p1, XM_011392195.1.p1
OG0000038	XM_001590964.1.p1	XM_011393874.1.p1
OG0000039	XM_001594345.1.p1	XM_011392866.1.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	XM_011389881.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	XM_011394427.1.p1, XM_011394084.1.p1
OG0000040	XM_001590854.1.p1	XM_011390208.1.p1
OG0000041	XM_001593646.1.p1, XM_001587220.1.p1, XM_001592709.1.p1, XM_001595454.1.p1, XM_001592613.1.p1	XM_011391585.1.p1, XM_011388198.1.p1
OG0000042	XM_001595143.1.p1	XM_011392796.1.p1
OG0000043	XM_001597597.1.p1	XM_011387690.1.p1
OG0000045	XM_001587065.1.p1	XM_011387774.1.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	XM_011393829.1.p1
OG0000045	XM_001596126.1.p1	XM_011387695.1.p1
OG0000045	XM_001585380.1.p1, XM_001585698.1.p1, XM_001596367.1.p1	XM_011391587.1.p1
OG0000046	XM_001586463.1.p1	XM_011392135.1.p1, XM_011392624.1.p1
OG0000046	XM_001586462.1.p1	XM_011392114.1.p1
OG0000048	XM_001589336.1.p1	XM_011394091.1.p1
OG0000048	XM_001586792.1.p1	XM_011393554.1.p1
OG0000049	XM_001593385.1.p1	XM_011393022.1.p1
OG0000050	XM_001585954.1.p1	XM_011393432.1.p1
OG0000050	XM_001598548.1.p1, XM_001594937.1.p1	XM_011392716.1.p1
OG0000051	XM_001589798.1.p1	XM_011389102.1.p1
OG0000051	XM_001598899.1.p1	XM_011390591.1.p1
OG0000051	XM_001590870.1.p1	XM_011387992.1.p1
OG0000051	XM_001587951.1.p1	XM_011393247.1.p1
OG0000051	XM_001596631.1.p1	XM_011392373.1.p1
OG0000051	XM_001585247.1.p1	XM_011392104.1.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	XM_011390626.1.p1
OG0000053	XM_001588399.1.p1, XM_001590608.1.p1, XM_001597556.1.p1	XM_011393994.1.p1, XM_011393983.1.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1	XM_011388011.1.p1
OG0000056	XM_001584923.1.p1, XM_001593890.1.p1	XM_011394133.1.p1
OG0000057	XM_001594938.1.p1	XM_011388779.1.p1
OG0000058	XM_001597998.1.p1	XM_011391933.1.p1
OG0000058	XM_001596000.1.p1	XM_011389203.1.p1
OG0000058	XM_001592674.1.p1	XM_011392864.1.p1
OG0000058	XM_001589509.1.p1	XM_011393757.1.p1
OG0000058	XM_001589061.1.p1	XM_011388844.1.p1
OG0000060	XM_001592814.1.p1, XM_001598675.1.p1, XM_001589077.1.p1, XM_001595874.1.p1, XM_001593026.1.p1	XM_011388574.1.p1
OG0000062	XM_001595980.1.p1, XM_001592845.1.p1, XM_001595701.1.p1	XM_011389628.1.p1
OG0000063	XM_001589189.1.p1, XM_001594922.1.p1	XM_011393130.1.p1
OG0000063	XM_001584999.1.p1	XM_011387836.1.p1, XM_011389592.1.p1, XM_011392374.1.p1
OG0000065	XM_001588469.1.p1, XM_001598587.1.p1	XM_011389473.1.p1, XM_011393287.1.p1
OG0000065	XM_001590788.1.p1	XM_011390876.1.p1
OG0000067	XM_001590271.1.p1	XM_011390961.1.p1
OG0000069	XM_001590565.1.p1	XM_011392755.1.p1, XM_011393640.1.p1, XM_011390385.1.p1
OG0000070	XM_001598556.1.p1	XM_011389422.1.p1
OG0000071	XM_001593511.1.p1	XM_011394299.1.p1
OG0000071	XM_001587924.1.p1	XM_011388695.1.p1
OG0000071	XM_001593312.1.p1	XM_011391885.1.p1
OG0000072	XM_001585746.1.p1	XM_011392756.1.p1
OG0000072	XM_001590639.1.p1, XM_001589810.1.p1	XM_011388473.1.p1, XM_011392310.1.p1
OG0000073	XM_001584713.1.p1, XM_001596969.1.p1, XM_001590156.1.p1, XM_001586330.1.p1, XM_001593291.1.p1, XM_001589577.1.p1, XM_001585045.1.p1, XM_001587397.1.p1	XM_011393311.1.p1
OG0000075	XM_001589867.1.p1	XM_011388511.1.p1
OG0000076	XM_001595074.1.p1	XM_011388268.1.p1
OG0000076	XM_001597093.1.p1	XM_011388386.1.p1
OG0000076	XM_001589714.1.p1	XM_011394290.1.p1
OG0000077	XM_001591303.1.p1	XM_011390561.1.p1
OG0000079	XM_001596030.1.p1	XM_011393859.1.p1
OG0000079	XM_001591730.1.p1	XM_011389808.1.p1
OG0000079	XM_001598063.1.p1	XM_011392959.1.p1
OG0000079	XM_001590997.1.p1	XM_011392942.1.p1
OG0000080	XM_001585697.1.p1, XM_001590695.1.p1, XM_001597918.1.p1	XM_011393820.1.p1
OG0000081	XM_001592987.1.p1	XM_011387991.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_011387987.1.p1
OG0000081	XM_001593006.1.p1	XM_011390203.1.p1
OG0000082	XM_001595339.1.p1	XM_011392779.1.p1
OG0000084	XM_001590245.1.p1	XM_011391100.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_011389626.1.p1, XM_011390940.1.p1, XM_011393218.1.p1, XM_011388150.1.p1, XM_011388789.1.p1, XM_011389441.1.p1
OG0000087	XM_001595355.1.p1	XM_011391426.1.p1
OG0000087	XM_001598496.1.p1	XM_011392747.1.p1
OG0000088	XM_001586938.1.p1	XM_011389325.1.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1, XM_001598564.1.p1, XM_001584621.1.p1	XM_011390081.1.p1, XM_011390505.1.p1
OG0000091	XM_001598502.1.p1, XM_001591770.1.p1	XM_011393418.1.p1
OG0000093	XM_001598888.1.p1	XM_011388839.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_011392751.1.p1
OG0000094	XM_001589274.1.p1	XM_011390224.1.p1
OG0000094	XM_001594932.1.p1, XM_001596520.1.p1	XM_011392437.1.p1
OG0000095	XM_001593952.1.p1	XM_011388083.1.p1
OG0000102	XM_001598599.1.p1, XM_001596645.1.p1, XM_001594196.1.p1, XM_001598841.1.p1, XM_001588472.1.p1	XM_011392639.1.p1
OG0000103	XM_001596956.1.p1	XM_011391357.1.p1
OG0000103	XM_001588403.1.p1, XM_001598588.1.p1	XM_011391087.1.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1, XM_001589359.1.p1	XM_011389528.1.p1, XM_011390189.1.p1, XM_011393024.1.p1, XM_011392771.1.p1
OG0000106	XM_001586917.1.p1, XM_001587874.1.p1, XM_001588237.1.p1, XM_001586507.1.p1, XM_001588849.1.p1, XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1, XM_001585132.1.p1	XM_011391570.1.p1
OG0000107	XM_001584783.1.p1, XM_001589423.1.p1, XM_001592404.1.p1	XM_011392103.1.p1
OG0000108	XM_001596312.1.p1	XM_011388794.1.p1, XM_011388621.1.p1, XM_011390401.1.p1
OG0000109	XM_001598413.1.p1, XM_001594476.1.p1	XM_011387770.1.p1, XM_011389279.1.p1
OG0000110	XM_001598036.1.p1	XM_011392275.1.p1
OG0000110	XM_001598742.1.p1	XM_011392657.1.p1
OG0000111	XM_001590699.1.p1	XM_011392265.1.p1
OG0000111	XM_001590723.1.p1	XM_011390059.1.p1
OG0000111	XM_001590630.1.p1	XM_011389019.1.p1
OG0000111	XM_001585540.1.p1	XM_011390429.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_011394162.1.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	XM_011391688.1.p1
OG0000114	XM_001595727.1.p1	XM_011393177.1.p1
OG0000114	XM_001595917.1.p1	XM_011392034.1.p1
OG0000114	XM_001596499.1.p1	XM_011392206.1.p1
OG0000114	XM_001592280.1.p1	XM_011390469.1.p1
OG0000118	XM_001595655.1.p1	XM_011389731.1.p1
OG0000122	XM_001595033.1.p1	XM_011389167.1.p1
OG0000122	XM_001585288.1.p1	XM_011392830.1.p1
OG0000123	XM_001592460.1.p1	XM_011393787.1.p1
OG0000123	XM_001590327.1.p1, XM_001598819.1.p1	XM_011391021.1.p1
OG0000126	XM_001598751.1.p1	XM_011391847.1.p1
OG0000127	XM_001585475.1.p1	XM_011390902.1.p1, XM_011389596.1.p1
OG0000129	XM_001590739.1.p1	XM_011391160.1.p1
OG0000129	XM_001587396.1.p1, XM_001594102.1.p1	XM_011387758.1.p1
OG0000131	XM_001598179.1.p1, XM_001584948.1.p1	XM_011390096.1.p1
OG0000133	XM_001594131.1.p1	XM_011392309.1.p1
OG0000134	XM_001595908.1.p1, XM_001596315.1.p1, XM_001592770.1.p1, XM_001593823.1.p1	XM_011388422.1.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	XM_011392200.1.p1
OG0000137	XM_001595718.1.p1	XM_011393222.1.p1
OG0000137	XM_001590475.1.p1	XM_011388374.1.p1, XM_011388371.1.p1
OG0000137	XM_001593484.1.p1	XM_011392443.1.p1
OG0000139	XM_001584731.1.p1, XM_001588988.1.p1, XM_001589567.1.p1, XM_001590289.1.p1, XM_001591243.1.p1	XM_011392015.1.p1
OG0000140	XM_001592573.1.p1	XM_011393969.1.p1
OG0000140	XM_001589200.1.p1	XM_011391292.1.p1, XM_011389849.1.p1, XM_011391354.1.p1
OG0000141	XM_001591420.1.p1, XM_001593600.1.p1	XM_011392035.1.p1
OG0000144	XM_001595270.1.p1, XM_001584641.1.p1	XM_011390600.1.p1
OG0000145	XM_001596988.1.p1	XM_011392383.1.p1
OG0000147	XM_001588528.1.p1, XM_001584653.1.p1, XM_001597515.1.p1	XM_011391107.1.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1	XM_011389894.1.p1
OG0000148	XM_001598192.1.p1	XM_011393890.1.p1
OG0000149	XM_001592319.1.p1, XM_001593818.1.p1, XM_001586899.1.p1, XM_001588407.1.p1, XM_001592540.1.p1, XM_001594094.1.p1, XM_001598606.1.p1, XM_001591982.1.p1	XM_011394047.1.p1
OG0000150	XM_001591864.1.p1, XM_001592862.1.p1	XM_011393036.1.p1
OG0000150	XM_001598441.1.p1	XM_011388711.1.p1, XM_011389256.1.p1
OG0000151	XM_001590918.1.p1	XM_011388745.1.p1
OG0000151	XM_001595088.1.p1	XM_011393569.1.p1
OG0000151	XM_001585695.1.p1	XM_011392283.1.p1
OG0000152	XM_001587185.1.p1, XM_001586091.1.p1, XM_001584799.1.p1	XM_011392045.1.p1
OG0000155	XM_001595155.1.p1	XM_011390587.1.p1
OG0000155	XM_001585183.1.p1	XM_011388670.1.p1
OG0000156	XM_001590138.1.p1, XM_001590558.1.p1	XM_011389517.1.p1
OG0000157	XM_001584928.1.p1	XM_011388850.1.p1
OG0000159	XM_001586220.1.p1	XM_011392017.1.p1
OG0000159	XM_001597022.1.p1	XM_011393553.1.p1
OG0000159	XM_001596681.1.p1	XM_011390550.1.p1
OG0000160	XM_001598265.1.p1, XM_001591639.1.p1	XM_011389498.1.p1
OG0000160	XM_001598745.1.p1, XM_001590320.1.p1, XM_001588069.1.p1	XM_011391014.1.p1
OG0000162	XM_001598406.1.p1	XM_011390893.1.p1
OG0000162	XM_001598925.1.p1	XM_011393582.1.p1
OG0000162	XM_001592439.1.p1	XM_011387969.1.p1
OG0000163	XM_001588689.1.p1	XM_011390631.1.p1
OG0000163	XM_001590923.1.p1	XM_011392844.1.p1
OG0000163	XM_001587263.1.p1	XM_011390038.1.p1
OG0000166	XM_001596176.1.p1	XM_011389352.1.p1
OG0000166	XM_001596435.1.p1, XM_001595405.1.p1	XM_011388161.1.p1
OG0000167	XM_001592412.1.p1	XM_011390025.1.p1, XM_011389651.1.p1
OG0000167	XM_001597064.1.p1, XM_001586308.1.p1, XM_001596554.1.p1	XM_011391019.1.p1
OG0000169	XM_001592310.1.p1	XM_011393932.1.p1
OG0000169	XM_001594644.1.p1	XM_011392547.1.p1
OG0000172	XM_001590603.1.p1	XM_011391789.1.p1
OG0000172	XM_001585270.1.p1	XM_011392067.1.p1
OG0000173	XM_001593315.1.p1	XM_011389537.1.p1
OG0000174	XM_001591883.1.p1, XM_001597061.1.p1, XM_001590770.1.p1, XM_001585955.1.p1	XM_011390935.1.p1
OG0000176	XM_001594380.1.p1	XM_011389108.1.p1, XM_011391678.1.p1
OG0000176	XM_001591850.1.p1	XM_011391366.1.p1
OG0000177	XM_001591247.1.p1	XM_011388119.1.p1
OG0000177	XM_001595063.1.p1	XM_011390762.1.p1
OG0000178	XM_001594170.1.p1	XM_011394317.1.p1
OG0000178	XM_001597585.1.p1	XM_011393816.1.p1
OG0000178	XM_001590945.1.p1	XM_011393628.1.p1
OG0000182	XM_001588602.1.p1	XM_011388908.1.p1
OG0000182	XM_001595051.1.p1	XM_011389092.1.p1
OG0000182	XM_001585915.1.p1	XM_011391699.1.p1
OG0000189	XM_001589775.1.p1	XM_011393833.1.p1
OG0000189	XM_001593065.1.p1, XM_001592803.1.p1	XM_011387862.1.p1, XM_011392768.1.p1, XM_011393560.1.p1, XM_011388594.1.p1
OG0000192	XM_001594643.1.p1	XM_011391003.1.p1
OG0000193	XM_001584881.1.p1	XM_011393692.1.p1
OG0000195	XM_001597923.1.p1	XM_011393461.1.p1
OG0000195	XM_001584810.1.p1	XM_011390120.1.p1
OG0000195	XM_001588295.1.p1	XM_011389250.1.p1
OG0000198	XM_001589999.1.p1	XM_011392792.1.p1
OG0000200	XM_001591001.1.p1	XM_011388730.1.p1
OG0000200	XM_001585608.1.p1	XM_011394239.1.p1
OG0000200	XM_001585607.1.p1	XM_011388899.1.p1
OG0000201	XM_001586673.1.p1, XM_001590628.1.p1	XM_011390910.1.p1
OG0000203	XM_001586307.1.p1, XM_001590586.1.p1	XM_011389446.1.p1
OG0000207	XM_001596987.1.p1, XM_001584718.1.p1	XM_011393967.1.p1
OG0000211	XM_001586269.1.p1	XM_011392070.1.p1
OG0000212	XM_001588279.1.p1	XM_011390707.1.p1
OG0000212	XM_001597073.1.p1	XM_011392324.1.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	XM_011393607.1.p1
OG0000216	XM_001598206.1.p1	XM_011389048.1.p1
OG0000220	XM_001586069.1.p1	XM_011390799.1.p1
OG0000220	XM_001591224.1.p1, XM_001593333.1.p1	XM_011391542.1.p1
OG0000221	XM_001597328.1.p1, XM_001595508.1.p1	XM_011390361.1.p1
OG0000227	XM_001596721.1.p1	XM_011390414.1.p1
OG0000227	XM_001597258.1.p1	XM_011388431.1.p1
OG0000228	XM_001598326.1.p1, XM_001590417.1.p1	XM_011388748.1.p1
OG0000228	XM_001594524.1.p1	XM_011389482.1.p1
OG0000229	XM_001584665.1.p1	XM_011391599.1.p1
OG0000229	XM_001592829.1.p1	XM_011390051.1.p1
OG0000230	XM_001595688.1.p1	XM_011388117.1.p1
OG0000230	XM_001584950.1.p1	XM_011392576.1.p1
OG0000231	XM_001591186.1.p1	XM_011392872.1.p1
OG0000232	XM_001589722.1.p1	XM_011390013.1.p1
OG0000234	XM_001596145.1.p1	XM_011393974.1.p1, XM_011393488.1.p1
OG0000235	XM_001587120.1.p1	XM_011392702.1.p1
OG0000236	XM_001596648.1.p1	XM_011392397.1.p1
OG0000237	XM_001585240.1.p1	XM_011389972.1.p1
OG0000237	XM_001587970.1.p1	XM_011388836.1.p1, XM_011392304.1.p1
OG0000237	XM_001598176.1.p1	XM_011391516.1.p1
OG0000238	XM_001587158.1.p1	XM_011390747.1.p1
OG0000238	XM_001595636.1.p1	XM_011388608.1.p1
OG0000239	XM_001591165.1.p1	XM_011392306.1.p1, XM_011393843.1.p1
OG0000239	XM_001586451.1.p1	XM_011391620.1.p1
OG0000240	XM_001584824.1.p1	XM_011393485.1.p1
OG0000241	XM_001594149.1.p1, XM_001593862.1.p1	XM_011390780.1.p1
OG0000244	XM_001585917.1.p1	XM_011391991.1.p1
OG0000244	XM_001597739.1.p1	XM_011391967.1.p1
OG0000244	XM_001598060.1.p1	XM_011391724.1.p1
OG0000247	XM_001597090.1.p1, XM_001594343.1.p1, XM_001598366.1.p1, XM_001597776.1.p1, XM_001589458.1.p1	XM_011394112.1.p1
OG0000249	XM_001587592.1.p1	XM_011392945.1.p1
OG0000251	XM_001590820.1.p1	XM_011389631.1.p1
OG0000255	XM_001585452.1.p1, XM_001590986.1.p1, XM_001586084.1.p1, XM_001586279.1.p1, XM_001597636.1.p1	XM_011394189.1.p1
OG0000256	XM_001590113.1.p1	XM_011389876.1.p1
OG0000258	XM_001590735.1.p1, XM_001585368.1.p1	XM_011393155.1.p1
OG0000259	XM_001598370.1.p1	XM_011391581.1.p1
OG0000261	XM_001585923.1.p1	XM_011393641.1.p1
OG0000261	XM_001589789.1.p1, XM_001596282.1.p1	XM_011391402.1.p1
OG0000262	XM_001585956.1.p1	XM_011392913.1.p1
OG0000263	XM_001593172.1.p1	XM_011390611.1.p1
OG0000263	XM_001595664.1.p1	XM_011389249.1.p1, XM_011387873.1.p1, XM_011388095.1.p1, XM_011388848.1.p1, XM_011391071.1.p1, XM_011393520.1.p1, XM_011393032.1.p1
OG0000265	XM_001590863.1.p1	XM_011388479.1.p1
OG0000266	XM_001595040.1.p1	XM_011392298.1.p1
OG0000266	XM_001598558.1.p1	XM_011388705.1.p1
OG0000268	XM_001594381.1.p1	XM_011392409.1.p1, XM_011388513.1.p1
OG0000268	XM_001592851.1.p1	XM_011389112.1.p1, XM_011390141.1.p1
OG0000269	XM_001587306.1.p1	XM_011388743.1.p1
OG0000269	XM_001595030.1.p1	XM_011389476.1.p1
OG0000270	XM_001590743.1.p1, XM_001597669.1.p1	XM_011388382.1.p1
OG0000271	XM_001590668.1.p1	XM_011393909.1.p1
OG0000273	XM_001592377.1.p1	XM_011391624.1.p1
OG0000276	XM_001592491.1.p1	XM_011391398.1.p1
OG0000277	XM_001588099.1.p1	XM_011392081.1.p1
OG0000280	XM_001597492.1.p1, XM_001586347.1.p1, XM_001585903.1.p1	XM_011391237.1.p1
OG0000281	XM_001594638.1.p1	XM_011389162.1.p1
OG0000281	XM_001594133.1.p1	XM_011392665.1.p1
OG0000283	XM_001593967.1.p1	XM_011388362.1.p1
OG0000283	XM_001586787.1.p1	XM_011390343.1.p1, XM_011391409.1.p1
OG0000284	XM_001594975.1.p1	XM_011391232.1.p1
OG0000284	XM_001588421.1.p1	XM_011389680.1.p1
OG0000285	XM_001588048.1.p1, XM_001589245.1.p1	XM_011392328.1.p1
OG0000285	XM_001596070.1.p1	XM_011392838.1.p1
OG0000286	XM_001596937.1.p1, XM_001595178.1.p1	XM_011391732.1.p1
OG0000287	XM_001586375.1.p1	XM_011390334.1.p1
OG0000287	XM_001591627.1.p1	XM_011391079.1.p1
OG0000287	XM_001597112.1.p1	XM_011389450.1.p1
OG0000288	XM_001586741.1.p1	XM_011391679.1.p1
OG0000289	XM_001596210.1.p1	XM_011391470.1.p1
OG0000289	XM_001587013.1.p1	XM_011389282.1.p1
OG0000292	XM_001595511.1.p1	XM_011388798.1.p1
OG0000292	XM_001596671.1.p1, XM_001597497.1.p1	XM_011389467.1.p1
OG0000294	XM_001590001.1.p1, XM_001591647.1.p1, XM_001591006.1.p1	XM_011390250.1.p1
OG0000295	XM_001586192.1.p1	XM_011390779.1.p1
OG0000295	XM_001595606.1.p1	XM_011388989.1.p1
OG0000301	XM_001585369.1.p1, XM_001597552.1.p1	XM_011393135.1.p1
OG0000302	XM_001589175.1.p1, XM_001596985.1.p1, XM_001589445.1.p1, XM_001591897.1.p1	XM_011389124.1.p1
OG0000303	XM_001593841.1.p1, XM_001595283.1.p1, XM_001596500.1.p1	XM_011389674.1.p1, XM_011389245.1.p1
OG0000304	XM_001587021.1.p1	XM_011390257.1.p1
OG0000307	XM_001584568.1.p1, XM_001596247.1.p1, XM_001592523.1.p1, XM_001593676.1.p1	XM_011389675.1.p1
OG0000310	XM_001597658.1.p1	XM_011392187.1.p1
OG0000310	XM_001595441.1.p1, XM_001589016.1.p1	XM_011391473.1.p1
OG0000312	XM_001597099.1.p1	XM_011392462.1.p1
OG0000313	XM_001598739.1.p1	XM_011389227.1.p1
OG0000313	XM_001593588.1.p1	XM_011392036.1.p1
OG0000314	XM_001593040.1.p1	XM_011388876.1.p1
OG0000317	XM_001591969.1.p1, XM_001586015.1.p1, XM_001587228.1.p1	XM_011389096.1.p1
OG0000319	XM_001598351.1.p1	XM_011391395.1.p1
OG0000322	XM_001592461.1.p1	XM_011391909.1.p1
OG0000324	XM_001594373.1.p1	XM_011393522.1.p1
OG0000324	XM_001588802.1.p1, XM_001592271.1.p1	XM_011391791.1.p1
OG0000325	XM_001590041.1.p1, XM_001594961.1.p1	XM_011388347.1.p1
OG0000326	XM_001589657.1.p1	XM_011388108.1.p1
OG0000326	XM_001595679.1.p1	XM_011387889.1.p1
OG0000327	XM_001587909.1.p1, XM_001586425.1.p1, XM_001588494.1.p1, XM_001597044.1.p1	XM_011393340.1.p1
OG0000328	XM_001586323.1.p1	XM_011392875.1.p1
OG0000333	XM_001591225.1.p1	XM_011394423.1.p1
OG0000335	XM_001587695.1.p1	XM_011392151.1.p1
OG0000336	XM_001596349.1.p1	XM_011393197.1.p1
OG0000337	XM_001589811.1.p1	XM_011387944.1.p1
