Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	lcl|CANTFL010000010.1_cds_CAI5708465.1_102.p1, lcl|CANTFL010000494.1_cds_CAI5723636.1_3333.p1, lcl|CANTFL010000174.1_cds_CAI5717297.1_1892.p1
OG0000067	XM_001590271.1.p1	lcl|CANTFL010001332.1_cds_CAI5737195.1_7444.p1
OG0000071	XM_001593038.1.p1	lcl|CANTFL010001198.1_cds_CAI5733410.1_6133.p1
OG0000071	XM_001593312.1.p1	lcl|CANTFL010001140.1_cds_CAI5732146.1_5700.p1, lcl|CANTFL010001350.1_cds_CAI5737817.1_7659.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	lcl|CANTFL010000166.1_cds_CAI5716628.1_1753.p1
OG0000075	XM_001589867.1.p1	lcl|CANTFL010001244.1_cds_CAI5734700.1_6574.p1, lcl|CANTFL010000195.1_cds_CAI5717931.1_2021.p1, lcl|CANTFL010001387.1_cds_CAI5738742.1_7977.p1, lcl|CANTFL010001191.1_cds_CAI5733043.1_6006.p1
OG0000076	XM_001595074.1.p1	lcl|CANTFL010001453.1_cds_CAI5741891.1_9169.p1
OG0000077	XM_001591303.1.p1, XM_001592929.1.p1, XM_001585590.1.p1, XM_001593433.1.p1, XM_001589481.1.p1	lcl|CANTFL010000148.1_cds_CAI5716109.1_1648.p1
OG0000079	XM_001596030.1.p1	lcl|CANTFL010000576.1_cds_CAI5724960.1_3668.p1, lcl|CANTFL010001372.1_cds_CAI5738334.1_7835.p1
OG0000079	XM_001591730.1.p1	lcl|CANTFL010001452.1_cds_CAI5741771.1_9103.p1
OG0000079	XM_001598063.1.p1, XM_001590997.1.p1	lcl|CANTFL010000137.1_cds_CAI5714933.1_1408.p1, lcl|CANTFL010000034.1_cds_CAI5709449.1_300.p1
OG0000081	XM_001592987.1.p1, XM_001586053.1.p1, XM_001589644.1.p1, XM_001593006.1.p1	lcl|CANTFL010000226.1_cds_CAI5719030.1_2238.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1, XM_001595339.1.p1, XM_001594647.1.p1	lcl|CANTFL010001244.1_cds_CAI5734986.1_6674.p1, lcl|CANTFL010001244.1_cds_CAI5734977.1_6671.p1
OG0000084	XM_001590245.1.p1	lcl|CANTFL010001211.1_cds_CAI5734142.1_6386.p1
OG0000087	XM_001595355.1.p1	lcl|CANTFL010001296.1_cds_CAI5736088.1_7062.p1
OG0000087	XM_001598496.1.p1	lcl|CANTFL010000634.1_cds_CAI5726008.1_3930.p1
OG0000088	XM_001586938.1.p1, XM_001596994.1.p1, XM_001587214.1.p1, XM_001596104.1.p1, XM_001588755.1.p1, XM_001584513.1.p1	lcl|CANTFL010000221.1_cds_CAI5718601.1_2153.p1, lcl|CANTFL010000221.1_cds_CAI5718586.1_2150.p1, lcl|CANTFL010000221.1_cds_CAI5718578.1_2148.p1, lcl|CANTFL010000086.1_cds_CAI5712379.1_887.p1
OG0000093	XM_001598888.1.p1, XM_001595187.1.p1, XM_001592451.1.p1	lcl|CANTFL010001445.1_cds_CAI5740376.1_8544.p1, lcl|CANTFL010001445.1_cds_CAI5740417.1_8557.p1, lcl|CANTFL010001445.1_cds_CAI5740410.1_8556.p1
OG0000110	XM_001598036.1.p1	lcl|CANTFL010000144.1_cds_CAI5715642.1_1555.p1
OG0000110	XM_001598742.1.p1	lcl|CANTFL010000988.1_cds_CAI5729415.1_4801.p1, lcl|CANTFL010000988.1_cds_CAI5729403.1_4798.p1
OG0000111	XM_001590699.1.p1	lcl|CANTFL010000034.1_cds_CAI5709477.1_306.p1
OG0000111	XM_001590723.1.p1	lcl|CANTFL010001477.1_cds_CAI5742812.1_9657.p1
OG0000111	XM_001590630.1.p1	lcl|CANTFL010001449.1_cds_CAI5741431.1_8930.p1
OG0000111	XM_001585540.1.p1	lcl|CANTFL010001488.1_cds_CAI5743318.1_9919.p1
OG0000112	XM_001595379.1.p1, XM_001596586.1.p1, XM_001591772.1.p1, XM_001587130.1.p1, XM_001593481.1.p1, XM_001589454.1.p1, XM_001589497.1.p1, XM_001585012.1.p1, XM_001590980.1.p1	lcl|CANTFL010000289.1_cds_CAI5720515.1_2534.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1, XM_001596045.1.p1, XM_001588524.1.p1	lcl|CANTFL010001406.1_cds_CAI5739046.1_8082.p1
OG0000122	XM_001595033.1.p1	lcl|CANTFL010000624.1_cds_CAI5725859.1_3897.p1, lcl|CANTFL010001463.1_cds_CAI5742131.1_9295.p1
OG0000122	XM_001585288.1.p1	lcl|CANTFL010000999.1_cds_CAI5729617.1_4854.p1, lcl|CANTFL010000987.1_cds_CAI5729357.1_4787.p1
OG0000123	XM_001592460.1.p1, XM_001590327.1.p1, XM_001598819.1.p1	lcl|CANTFL010000183.1_cds_CAI5717579.1_1950.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1, XM_001592159.1.p1	lcl|CANTFL010000785.1_cds_CAI5727704.1_4365.p1
OG0000127	XM_001585475.1.p1, XM_001594936.1.p1	lcl|CANTFL010001211.1_cds_CAI5733984.1_6328.p1
OG0000129	XM_001590739.1.p1, XM_001592853.1.p1, XM_001587396.1.p1, XM_001594102.1.p1	lcl|CANTFL010000970.1_cds_CAI5728906.1_4671.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	lcl|CANTFL010001264.1_cds_CAI5735555.1_6870.p1
OG0000137	XM_001595718.1.p1, XM_001590475.1.p1, XM_001593484.1.p1	lcl|CANTFL010001479.1_cds_CAI5742845.1_9674.p1, lcl|CANTFL010001479.1_cds_CAI5742843.1_9673.p1, lcl|CANTFL010001238.1_cds_CAI5734671.1_6567.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	lcl|CANTFL010000470.1_cds_CAI5723178.1_3217.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1, XM_001598192.1.p1	lcl|CANTFL010001327.1_cds_CAI5736837.1_7323.p1
OG0000151	XM_001590918.1.p1	lcl|CANTFL010001032.1_cds_CAI5730489.1_5130.p1
OG0000151	XM_001595088.1.p1	lcl|CANTFL010000146.1_cds_CAI5715722.1_1570.p1
OG0000151	XM_001585695.1.p1	lcl|CANTFL010001360.1_cds_CAI5738051.1_7736.p1
OG0000154	XM_001591266.1.p1, XM_001588474.1.p1, XM_001597904.1.p1	lcl|CANTFL010001254.1_cds_CAI5735132.1_6723.p1, lcl|CANTFL010000988.1_cds_CAI5729475.1_4816.p1, lcl|CANTFL010000305.1_cds_CAI5720597.1_2555.p1, lcl|CANTFL010001254.1_cds_CAI5735130.1_6722.p1, lcl|CANTFL010001446.1_cds_CAI5740577.1_8613.p1, lcl|CANTFL010000417.1_cds_CAI5722258.1_2981.p1, lcl|CANTFL010000410.1_cds_CAI5722176.1_2960.p1, lcl|CANTFL010000650.1_cds_CAI5726414.1_4039.p1, lcl|CANTFL010001446.1_cds_CAI5740605.1_8623.p1, lcl|CANTFL010000137.1_cds_CAI5714948.1_1411.p1, lcl|CANTFL010001216.1_cds_CAI5734243.1_6419.p1, lcl|CANTFL010001403.1_cds_CAI5738893.1_8028.p1, lcl|CANTFL010000410.1_cds_CAI5722180.1_2961.p1, lcl|CANTFL010000417.1_cds_CAI5722305.1_2993.p1
OG0000155	XM_001595155.1.p1, XM_001585183.1.p1	lcl|CANTFL010000028.1_cds_CAI5709047.1_221.p1
OG0000158	XM_001591152.1.p1, XM_001596750.1.p1, XM_001594650.1.p1	lcl|CANTFL010001387.1_cds_CAI5738585.1_7922.p1
OG0000159	XM_001586220.1.p1	lcl|CANTFL010000151.1_cds_CAI5716212.1_1668.p1
OG0000162	XM_001598406.1.p1	lcl|CANTFL010001332.1_cds_CAI5736992.1_7373.p1
OG0000162	XM_001592439.1.p1	lcl|CANTFL010001027.1_cds_CAI5730421.1_5100.p1
OG0000164	XM_001598198.1.p1, XM_001586644.1.p1	lcl|CANTFL010000987.1_cds_CAI5729290.1_4770.p1, lcl|CANTFL010001463.1_cds_CAI5742127.1_9293.p1
OG0000166	XM_001596176.1.p1, XM_001596435.1.p1, XM_001595405.1.p1	lcl|CANTFL010001490.1_cds_CAI5743487.1_10009.p1, lcl|CANTFL010000080.1_cds_CAI5711247.1_666.p1, lcl|CANTFL010001446.1_cds_CAI5740907.1_8733.p1, lcl|CANTFL010001107.1_cds_CAI5731557.1_5497.p1, lcl|CANTFL010000016.1_cds_CAI5708699.1_149.p1, lcl|CANTFL010000183.1_cds_CAI5717652.1_1965.p1, lcl|CANTFL010001078.1_cds_CAI5731139.1_5350.p1
OG0000169	XM_001593407.1.p1, XM_001592310.1.p1, XM_001594644.1.p1	lcl|CANTFL010001475.1_cds_CAI5742624.1_9555.p1, lcl|CANTFL010001475.1_cds_CAI5742622.1_9554.p1
OG0000170	XM_001595877.1.p1, XM_001585258.1.p1	lcl|CANTFL010001387.1_cds_CAI5738608.1_7929.p1
OG0000173	XM_001593315.1.p1, XM_001587766.1.p1	lcl|CANTFL010000080.1_cds_CAI5711378.1_692.p1
OG0000174	XM_001591883.1.p1, XM_001597061.1.p1, XM_001590770.1.p1, XM_001585955.1.p1	lcl|CANTFL010001025.1_cds_CAI5730283.1_5053.p1, lcl|CANTFL010001299.1_cds_CAI5736183.1_7096.p1
OG0000175	XM_001592718.1.p1, XM_001593214.1.p1, XM_001589370.1.p1, XM_001598408.1.p1, XM_001596839.1.p1	lcl|CANTFL010000069.1_cds_CAI5710713.1_558.p1, lcl|CANTFL010000740.1_cds_CAI5727148.1_4228.p1
OG0000176	XM_001591850.1.p1	lcl|CANTFL010001464.1_cds_CAI5742199.1_9331.p1
OG0000177	XM_001591247.1.p1	lcl|CANTFL010001418.1_cds_CAI5739372.1_8197.p1
OG0000177	XM_001595063.1.p1	lcl|CANTFL010001075.1_cds_CAI5730985.1_5300.p1
OG0000178	XM_001594170.1.p1, XM_001597585.1.p1, XM_001590945.1.p1	lcl|CANTFL010001488.1_cds_CAI5743387.1_9957.p1
OG0000182	XM_001588602.1.p1	lcl|CANTFL010001312.1_cds_CAI5736395.1_7166.p1
OG0000182	XM_001595051.1.p1	lcl|CANTFL010001058.1_cds_CAI5730815.1_5240.p1
OG0000182	XM_001585915.1.p1	lcl|CANTFL010001244.1_cds_CAI5734703.1_6575.p1
OG0000185	XM_001589036.1.p1, XM_001592840.1.p1, XM_001597553.1.p1	lcl|CANTFL010001187.1_cds_CAI5732897.1_5957.p1
OG0000189	XM_001589775.1.p1, XM_001593065.1.p1, XM_001592803.1.p1	lcl|CANTFL010001451.1_cds_CAI5741727.1_9081.p1, lcl|CANTFL010001446.1_cds_CAI5741003.1_8766.p1, lcl|CANTFL010001446.1_cds_CAI5741006.1_8767.p1
OG0000192	XM_001594643.1.p1	lcl|CANTFL010001431.1_cds_CAI5739864.1_8370.p1, lcl|CANTFL010000254.1_cds_CAI5719985.1_2429.p1
OG0000192	XM_001594642.1.p1	lcl|CANTFL010000668.1_cds_CAI5726715.1_4117.p1
OG0000192	XM_001597741.1.p1	lcl|CANTFL010001127.1_cds_CAI5731972.1_5640.p1
OG0000194	XM_001598131.1.p1, XM_001592870.1.p1, XM_001589621.1.p1, XM_001585026.1.p1, XM_001585815.1.p1, XM_001585468.1.p1	lcl|CANTFL010000608.1_cds_CAI5725594.1_3831.p1
OG0000195	XM_001597923.1.p1, XM_001584810.1.p1, XM_001588295.1.p1	lcl|CANTFL010000228.1_cds_CAI5719193.1_2272.p1
OG0000198	XM_001587594.1.p1, XM_001587593.1.p1	lcl|CANTFL010001444.1_cds_CAI5740243.1_8500.p1
OG0000199	XM_001595824.1.p1	lcl|CANTFL010001078.1_cds_CAI5731095.1_5335.p1
OG0000200	XM_001591001.1.p1	lcl|CANTFL010001407.1_cds_CAI5739140.1_8113.p1
OG0000200	XM_001585608.1.p1	lcl|CANTFL010001488.1_cds_CAI5743391.1_9959.p1
OG0000201	XM_001586673.1.p1, XM_001590628.1.p1, XM_001585892.1.p1	lcl|CANTFL010000861.1_cds_CAI5728319.1_4523.p1, lcl|CANTFL010000861.1_cds_CAI5728277.1_4512.p1
OG0000206	XM_001592244.1.p1	lcl|CANTFL010000146.1_cds_CAI5715691.1_1563.p1, lcl|CANTFL010000251.1_cds_CAI5719709.1_2373.p1, lcl|CANTFL010000251.1_cds_CAI5719704.1_2372.p1, lcl|CANTFL010000146.1_cds_CAI5715686.1_1562.p1, lcl|CANTFL010000251.1_cds_CAI5719777.1_2386.p1, lcl|CANTFL010001107.1_cds_CAI5731548.1_5494.p1, lcl|CANTFL010001075.1_cds_CAI5730991.1_5302.p1, lcl|CANTFL010001075.1_cds_CAI5730997.1_5304.p1, lcl|CANTFL010001075.1_cds_CAI5731000.1_5305.p1, lcl|CANTFL010001075.1_cds_CAI5730994.1_5303.p1
OG0000207	XM_001596987.1.p1, XM_001584718.1.p1	lcl|CANTFL010001463.1_cds_CAI5742152.1_9306.p1, lcl|CANTFL010001287.1_cds_CAI5735797.1_6953.p1
OG0000212	XM_001588279.1.p1	lcl|CANTFL010001335.1_cds_CAI5737455.1_7532.p1
OG0000212	XM_001584946.1.p1	lcl|CANTFL010000086.1_cds_CAI5712645.1_941.p1
OG0000212	XM_001597073.1.p1	lcl|CANTFL010001211.1_cds_CAI5733799.1_6264.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	lcl|CANTFL010001447.1_cds_CAI5741057.1_8784.p1
OG0000215	XM_001596068.1.p1, XM_001593468.1.p1, XM_001590206.1.p1	lcl|CANTFL010000007.1_cds_CAI5708455.1_100.p1, lcl|CANTFL010001372.1_cds_CAI5738270.1_7812.p1
OG0000216	XM_001598206.1.p1	lcl|CANTFL010000455.1_cds_CAI5722839.1_3130.p1, lcl|CANTFL010000251.1_cds_CAI5719743.1_2379.p1
OG0000219	XM_001592740.1.p1, XM_001597493.1.p1, XM_001593717.1.p1	lcl|CANTFL010000143.1_cds_CAI5715217.1_1467.p1
OG0000221	XM_001596511.1.p1, XM_001588345.1.p1, XM_001597328.1.p1, XM_001595508.1.p1	lcl|CANTFL010000166.1_cds_CAI5716633.1_1754.p1
OG0000227	XM_001596721.1.p1, XM_001597258.1.p1, XM_001598493.1.p1	lcl|CANTFL010001327.1_cds_CAI5736870.1_7335.p1
OG0000228	XM_001598326.1.p1, XM_001590417.1.p1, XM_001594524.1.p1	lcl|CANTFL010000080.1_cds_CAI5711010.1_617.p1
OG0000229	XM_001584665.1.p1	lcl|CANTFL010001264.1_cds_CAI5735538.1_6864.p1
OG0000229	XM_001592829.1.p1	lcl|CANTFL010001057.1_cds_CAI5730785.1_5230.p1
OG0000230	XM_001595688.1.p1, XM_001584950.1.p1	lcl|CANTFL010001335.1_cds_CAI5737513.1_7552.p1
OG0000231	XM_001591186.1.p1, XM_001595459.1.p1, XM_001591268.1.p1	lcl|CANTFL010001446.1_cds_CAI5740799.1_8696.p1
OG0000232	XM_001594634.1.p1, XM_001589722.1.p1	lcl|CANTFL010001103.1_cds_CAI5731485.1_5474.p1
OG0000236	XM_001596648.1.p1	lcl|CANTFL010000409.1_cds_CAI5722136.1_2950.p1
OG0000237	XM_001585240.1.p1, XM_001587970.1.p1, XM_001598176.1.p1	lcl|CANTFL010001078.1_cds_CAI5731175.1_5363.p1
OG0000239	XM_001586451.1.p1	lcl|CANTFL010001158.1_cds_CAI5732471.1_5810.p1, lcl|CANTFL010000455.1_cds_CAI5722836.1_3129.p1, lcl|CANTFL010001211.1_cds_CAI5734036.1_6346.p1, lcl|CANTFL010001441.1_cds_CAI5739932.1_8391.p1, lcl|CANTFL010001441.1_cds_CAI5739935.1_8392.p1, lcl|CANTFL010000363.1_cds_CAI5721248.1_2728.p1, lcl|CANTFL010000730.1_cds_CAI5727049.1_4202.p1, lcl|CANTFL010000037.1_cds_CAI5709815.1_375.p1, lcl|CANTFL010001244.1_cds_CAI5734749.1_6591.p1, lcl|CANTFL010000479.1_cds_CAI5723406.1_3274.p1, lcl|CANTFL010001244.1_cds_CAI5734836.1_6620.p1, lcl|CANTFL010000034.1_cds_CAI5709596.1_332.p1
OG0000244	XM_001585917.1.p1	lcl|CANTFL010001466.1_cds_CAI5742337.1_9405.p1, lcl|CANTFL010001449.1_cds_CAI5741340.1_8881.p1
OG0000244	XM_001597739.1.p1	lcl|CANTFL010000086.1_cds_CAI5712238.1_858.p1
OG0000244	XM_001598060.1.p1	lcl|CANTFL010001327.1_cds_CAI5736904.1_7347.p1
OG0000245	XM_001588698.1.p1	lcl|CANTFL010001471.1_cds_CAI5742511.1_9497.p1, lcl|CANTFL010000228.1_cds_CAI5719208.1_2275.p1, lcl|CANTFL010000144.1_cds_CAI5715612.1_1549.p1, lcl|CANTFL010000228.1_cds_CAI5719203.1_2274.p1
OG0000246	XM_001586585.1.p1	lcl|CANTFL010001445.1_cds_CAI5740434.1_8565.p1
OG0000250	XM_001594455.1.p1, XM_001587767.1.p1, XM_001588201.1.p1, XM_001594320.1.p1, XM_001588570.1.p1, XM_001598870.1.p1	lcl|CANTFL010000398.1_cds_CAI5722000.1_2916.p1, lcl|CANTFL010001150.1_cds_CAI5732279.1_5744.p1, lcl|CANTFL010001204.1_cds_CAI5733552.1_6181.p1, lcl|CANTFL010001204.1_cds_CAI5733529.1_6173.p1, lcl|CANTFL010001204.1_cds_CAI5733532.1_6174.p1, lcl|CANTFL010001480.1_cds_CAI5742871.1_9687.p1, lcl|CANTFL010001204.1_cds_CAI5733555.1_6182.p1
OG0000251	XM_001593458.1.p1, XM_001590820.1.p1	lcl|CANTFL010001211.1_cds_CAI5734008.1_6336.p1, lcl|CANTFL010000183.1_cds_CAI5717688.1_1973.p1, lcl|CANTFL010001342.1_cds_CAI5737642.1_7596.p1
OG0000255	XM_001585452.1.p1, XM_001590986.1.p1, XM_001586084.1.p1, XM_001586279.1.p1, XM_001597636.1.p1	lcl|CANTFL010000612.1_cds_CAI5725700.1_3858.p1, lcl|CANTFL010001260.1_cds_CAI5735440.1_6832.p1
OG0000259	XM_001598370.1.p1, XM_001590880.1.p1, XM_001587111.1.p1	lcl|CANTFL010000108.1_cds_CAI5714118.1_1243.p1, lcl|CANTFL010001091.1_cds_CAI5731310.1_5411.p1, lcl|CANTFL010000002.1_cds_CAI5708124.1_17.p1
OG0000262	XM_001585956.1.p1	lcl|CANTFL010000389.1_cds_CAI5721810.1_2865.p1, lcl|CANTFL010000034.1_cds_CAI5709652.1_343.p1
