Orthogroup	Sclerotinia_sclerotiorum	Phytophthora_infestans
OG0000094	XM_001586174.1.p1	XM_002899508.1.p1, XM_002905539.1.p1, XM_002899509.1.p1, XM_002899510.1.p1, XM_002908396.1.p1, XM_002900368.1.p1
OG0000098	XM_001586991.1.p1	XM_002902192.1.p1, XM_002908796.1.p1, XM_002907022.1.p1, XM_002895865.1.p1, XM_002895440.1.p1, XM_002902868.1.p1, XM_002902866.1.p1, XM_002896749.1.p1, XM_002900647.1.p1, XM_002895439.1.p1, XM_002895863.1.p1, XM_002998012.1.p1, XM_002895310.1.p1, XM_002903081.1.p1
OG0000109	XM_001588835.1.p1, XM_001597767.1.p1, XM_001586178.1.p1, XM_001595189.1.p1, XM_001597798.1.p1, XM_001585212.1.p1, XM_001586475.1.p1, XM_001586104.1.p1, XM_001596785.1.p1, XM_001591579.1.p1, XM_001586894.1.p1, XM_001586369.1.p1, XM_001589257.1.p1, XM_001596931.1.p1, XM_001589234.1.p1, XM_001584714.1.p1, XM_001596558.1.p1, XM_001589231.1.p1, XM_001585809.1.p1, XM_001586329.1.p1, XM_001593441.1.p1, XM_001589462.1.p1, XM_001585762.1.p1, XM_001588556.1.p1, XM_001590154.1.p1, XM_001594048.1.p1	XM_002909322.1.p1
OG0000112	XM_001590997.1.p1	XM_002907325.1.p1
OG0000112	XM_001591730.1.p1	XM_002997876.1.p1
OG0000112	XM_001596030.1.p1	XM_002997658.1.p1, XM_002996935.1.p1
OG0000113	XM_001597418.1.p1, XM_001586585.1.p1	XM_002997799.1.p1, XM_002897999.1.p1, XM_002997813.1.p1, XM_002898000.1.p1, XM_002997812.1.p1, XM_002997800.1.p1
OG0000114	XM_001598643.1.p1, XM_001592151.1.p1, XM_001585446.1.p1	XM_002997898.1.p1, XM_002901696.1.p1, XM_002907880.1.p1
OG0000123	XM_001592242.1.p1	XM_002897192.1.p1, XM_002897191.1.p1, XM_002895028.1.p1, XM_002895053.1.p1, XM_002900730.1.p1, XM_002900733.1.p1, XM_002900732.1.p1, XM_002900894.1.p1, XM_002900895.1.p1, XM_002900893.1.p1, XM_002909630.1.p1, XM_002906041.1.p1, XM_002895362.1.p1, XM_002895299.1.p1, XM_002902698.1.p1, XM_002909645.1.p1
OG0000130	XM_001590630.1.p1	XM_002906588.1.p1
OG0000130	XM_001585540.1.p1	XM_002904958.1.p1
OG0000130	XM_001590723.1.p1	XM_002997061.1.p1
OG0000130	XM_001590699.1.p1	XM_002908038.1.p1, XM_002904664.1.p1
OG0000132	XM_001589542.1.p1	XM_002895424.1.p1, XM_002900517.1.p1, XM_002900518.1.p1, XM_002900515.1.p1, XM_002900529.1.p1
OG0000132	XM_001587892.1.p1, XM_001595608.1.p1, XM_001596457.1.p1	XM_002904792.1.p1, XM_002907112.1.p1
OG0000133	XM_001594233.1.p1, XM_001585564.1.p1, XM_001596141.1.p1, XM_001597796.1.p1	XM_002901800.1.p1
OG0000134	XM_001598771.1.p1	XM_002906685.1.p1, XM_002906722.1.p1, XM_002906721.1.p1, XM_002906710.1.p1, XM_002998839.1.p1, XM_002998840.1.p1, XM_002899143.1.p1, XM_002901060.1.p1, XM_002895184.1.p1, XM_002902624.1.p1, XM_002901142.1.p1, XM_002901137.1.p1, XM_002901135.1.p1, XM_002901139.1.p1, XM_002895974.1.p1, XM_002901138.1.p1
OG0000138	XM_001592439.1.p1	XM_002900844.1.p1, XM_002900845.1.p1
OG0000138	XM_001598406.1.p1	XM_002895794.1.p1
OG0000139	XM_001591295.1.p1	XM_002906304.1.p1, XM_002903986.1.p1
OG0000139	XM_001586746.1.p1	XM_002896641.1.p1
OG0000140	XM_001597130.1.p1	XM_002904922.1.p1, XM_002897788.1.p1, XM_002899300.1.p1
OG0000152	XM_001595782.1.p1, XM_001586650.1.p1	XM_002908030.1.p1, XM_002908029.1.p1
OG0000152	XM_001592440.1.p1	XM_002895199.1.p1, XM_002905701.1.p1, XM_002905702.1.p1
OG0000153	XM_001585870.1.p1	XM_002907203.1.p1
OG0000153	XM_001589302.1.p1	XM_002898476.1.p1, XM_002907100.1.p1, XM_002901117.1.p1
OG0000154	XM_001596645.1.p1, XM_001594196.1.p1, XM_001598599.1.p1	XM_002998972.1.p1
OG0000160	XM_001593836.1.p1	XM_002900984.1.p1, XM_002902850.1.p1, XM_002902851.1.p1
OG0000161	XM_001587434.1.p1, XM_001592702.1.p1	XM_002895300.1.p1, XM_002997746.1.p1, XM_002903842.1.p1, XM_002997768.1.p1, XM_002997739.1.p1, XM_002906523.1.p1, XM_002901399.1.p1, XM_002906524.1.p1, XM_002903843.1.p1, XM_002997745.1.p1, XM_002997744.1.p1, XM_002908210.1.p1
OG0000162	XM_001591247.1.p1	XM_002900875.1.p1
OG0000162	XM_001592195.1.p1, XM_001595063.1.p1	XM_002907555.1.p1, XM_002905344.1.p1
OG0000163	XM_001590161.1.p1, XM_001585206.1.p1	XM_002899764.1.p1
OG0000166	XM_001586463.1.p1	XM_002908066.1.p1, XM_002905070.1.p1, XM_002894714.1.p1, XM_002907967.1.p1, XM_002905071.1.p1, XM_002894713.1.p1, XM_002905072.1.p1, XM_002905077.1.p1, XM_002905076.1.p1, XM_002905063.1.p1, XM_002905067.1.p1, XM_002905073.1.p1, XM_002905409.1.p1, XM_002904003.1.p1
OG0000167	XM_001592726.1.p1	XM_002902087.1.p1, XM_002902379.1.p1
OG0000168	XM_001591776.1.p1, XM_001598723.1.p1, XM_001590057.1.p1	XM_002907322.1.p1, XM_002895845.1.p1, XM_002898014.1.p1
OG0000179	XM_001588453.1.p1	XM_002895610.1.p1, XM_002895615.1.p1, XM_002895611.1.p1, XM_002895614.1.p1, XM_002895612.1.p1, XM_002901037.1.p1
OG0000182	XM_001593024.1.p1	XM_002903826.1.p1, XM_002898834.1.p1, XM_002908456.1.p1, XM_002896603.1.p1, XM_002896629.1.p1, XM_002896633.1.p1, XM_002997696.1.p1, XM_002896632.1.p1, XM_002896624.1.p1, XM_002996849.1.p1, XM_002896630.1.p1, XM_002896631.1.p1, XM_002996848.1.p1
OG0000185	XM_001598745.1.p1, XM_001590320.1.p1	XM_002909459.1.p1, XM_002901624.1.p1, XM_002894864.1.p1, XM_002902873.1.p1, XM_002894867.1.p1, XM_002902876.1.p2, XM_002894868.1.p1, XM_002902874.1.p1, XM_002902859.1.p1, XM_002902858.1.p1, XM_002902855.1.p1, XM_002902857.1.p1, XM_002902856.1.p1
OG0000186	XM_001595051.1.p1	XM_002896086.1.p1
OG0000186	XM_001588602.1.p1	XM_002901131.1.p1, XM_002908298.1.p1
OG0000186	XM_001585915.1.p1	XM_002907918.1.p1, XM_002909551.1.p1
OG0000189	XM_001594950.1.p1	XM_002997350.1.p1
OG0000190	XM_001590076.1.p1, XM_001590077.1.p1	XM_002907088.1.p1, XM_002896436.1.p1, XM_002909494.1.p1, XM_002909561.1.p1, XM_002895104.1.p1
OG0000198	XM_001597870.1.p1	XM_002906719.1.p1, XM_002905221.1.p1, XM_002907877.1.p1, XM_002906340.1.p1, XM_002902339.1.p1, XM_002909007.1.p1, XM_002905488.1.p1, XM_002908418.1.p1, XM_002902922.1.p1, XM_002999031.1.p1, XM_002909206.1.p1
OG0000199	XM_001589827.1.p1	XM_002997649.1.p1, XM_002896762.1.p1, XM_002904719.1.p1, XM_002900315.1.p1, XM_002909388.1.p1, XM_002904951.1.p1, XM_002908404.1.p1, XM_002908405.1.p1, XM_002899384.1.p1
OG0000200	XM_001594936.1.p1, XM_001585475.1.p1	XM_002896474.1.p1, XM_002902006.1.p1, XM_002902007.1.p1, XM_002902005.1.p1, XM_002902066.1.p1, XM_002902068.1.p1, XM_002902069.1.p1
OG0000201	XM_001595147.1.p1, XM_001598330.1.p1, XM_001588568.1.p1	XM_002998608.1.p1, XM_002907416.1.p1, XM_002909508.1.p1, XM_002908630.1.p1, XM_002905922.1.p1, XM_002902912.1.p1, XM_002902914.1.p1, XM_002997137.1.p1, XM_002902910.1.p1, XM_002902870.1.p1, XM_002902911.1.p1
OG0000203	XM_001593407.1.p1, XM_001594644.1.p1, XM_001592310.1.p1	XM_002907091.1.p1, XM_002907090.1.p1, XM_002902020.1.p1, XM_002895866.1.p1
OG0000204	XM_001587855.1.p1, XM_001587231.1.p1, XM_001594733.1.p1	XM_002906730.1.p1, XM_002906731.1.p1, XM_002906110.1.p1
OG0000205	XM_001596116.1.p1, XM_001596117.1.p1	XM_002905869.1.p1, XM_002895744.1.p1, XM_002897288.1.p1, XM_002897289.1.p1, XM_002897287.1.p1, XM_002895358.1.p1, XM_002897286.1.p1, XM_002902394.1.p1, XM_002902391.1.p1, XM_002902393.1.p1
OG0000217	XM_001592159.1.p1	XM_002903758.1.p1
OG0000219	XM_001592528.1.p1	XM_002908848.1.p1
OG0000219	XM_001587021.1.p1	XM_002900151.1.p1, XM_002908861.1.p1, XM_002900156.1.p1
OG0000220	XM_001595459.1.p1, XM_001591268.1.p1	XM_002903236.1.p1
OG0000223	XM_001587467.1.p1, XM_001587656.1.p1, XM_001594007.1.p1, XM_001591674.1.p1, XM_001591314.1.p1, XM_001591654.1.p1, XM_001594008.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001591673.1.p1, XM_001596154.1.p1, XM_001590086.1.p1, XM_001588520.1.p1, XM_001585950.1.p1, XM_001591313.1.p1	XM_002909314.1.p1
OG0000224	XM_001586644.1.p1, XM_001598198.1.p1	XM_002908022.1.p1, XM_002908063.1.p1, XM_002908062.1.p1, XM_002906034.1.p1, XM_002906035.1.p1
OG0000226	XM_001590327.1.p1, XM_001598819.1.p1, XM_001592460.1.p1	XM_002909241.1.p1
OG0000227	XM_001587263.1.p1, XM_001590923.1.p1, XM_001588689.1.p1	XM_002906623.1.p1
OG0000228	XM_001589423.1.p1, XM_001592404.1.p1	XM_002997287.1.p1
OG0000229	XM_001598727.1.p1	XM_002905534.1.p1
OG0000239	XM_001592718.1.p1, XM_001598408.1.p1, XM_001589370.1.p1, XM_001593214.1.p1, XM_001589737.1.p1	XM_002898650.1.p1, XM_002898690.1.p1
OG0000241	XM_001597304.1.p1, XM_001597572.1.p1	XM_002904109.1.p1, XM_002904120.1.p1, XM_002904121.1.p1, XM_002904149.1.p1, XM_002904148.1.p1
OG0000243	XM_001588260.1.p1	XM_002907831.1.p1
OG0000243	XM_001594643.1.p1	XM_002897506.1.p1, XM_002902252.1.p1, XM_002906130.1.p1
OG0000246	XM_001587909.1.p1, XM_001588494.1.p1, XM_001597044.1.p1	XM_002899266.1.p1
OG0000267	XM_001597719.1.p1, XM_001595699.1.p1, XM_001598376.1.p1, XM_001585193.1.p1	XM_002908900.1.p1
OG0000268	XM_001587970.1.p1, XM_001598176.1.p1, XM_001585240.1.p1	XM_002908075.1.p1
OG0000269	XM_001585012.1.p1, XM_001589497.1.p1, XM_001589454.1.p1, XM_001593481.1.p1	XM_002906809.1.p1
OG0000272	XM_001584618.1.p1	XM_002998728.1.p1, XM_002906763.1.p1, XM_002906086.1.p1, XM_002901256.1.p1
OG0000273	XM_001586557.1.p1	XM_002906826.1.p1, XM_002909048.1.p1, XM_002896194.1.p1, XM_002907615.1.p1, XM_002907115.1.p1, XM_002902932.1.p1, XM_002900457.1.p1, XM_002908747.1.p1
OG0000275	XM_001591225.1.p1	XM_002907440.1.p1
OG0000276	XM_001588524.1.p1, XM_001596045.1.p1, XM_001585226.1.p1, XM_001592024.1.p1	XM_002903492.1.p1
OG0000279	XM_001586572.1.p1	XM_002905556.1.p1, XM_002998882.1.p1, XM_002998883.1.p1, XM_002903849.1.p1, XM_002898840.1.p1, XM_002904593.1.p1, XM_002904591.1.p1, XM_002904590.1.p1
OG0000280	XM_001595508.1.p1, XM_001597328.1.p1, XM_001588345.1.p1, XM_001596511.1.p1	XM_002909610.1.p1
OG0000282	XM_001597617.1.p1	XM_002997603.1.p1, XM_002898785.1.p1, XM_002997602.1.p1, XM_002898786.1.p1, XM_002997604.1.p1, XM_002898784.1.p1, XM_002997601.1.p1, XM_002898787.1.p1
OG0000284	XM_001594946.1.p1	XM_002901169.1.p1, XM_002901167.1.p1, XM_002895908.1.p1, XM_002895765.1.p1, XM_002901168.1.p1, XM_002901166.1.p1
OG0000286	XM_001589722.1.p1, XM_001594634.1.p1	XM_002894755.1.p1
OG0000287	XM_001595811.1.p1	XM_002903905.1.p1, XM_002899456.1.p1, XM_002998686.1.p1, XM_002898095.1.p1, XM_002906274.1.p1, XM_002909052.1.p1, XM_002907777.1.p1, XM_002902059.1.p1
OG0000289	XM_001591936.1.p1	XM_002907192.1.p1, XM_002896009.1.p1, XM_002901925.1.p1, XM_002908024.1.p1, XM_002906210.1.p1, XM_002908480.1.p1, XM_002903975.1.p1, XM_002896323.1.p1, XM_002901739.1.p1
OG0000290	XM_001591956.1.p1	XM_002899619.1.p1, XM_002998326.1.p1
OG0000320	XM_001589336.1.p1, XM_001586792.1.p1	XM_002896683.1.p1, XM_002896579.1.p1, XM_002898081.1.p1, XM_002895623.1.p1, XM_002896528.1.p1
OG0000321	XM_001592740.1.p1, XM_001597493.1.p1, XM_001593717.1.p1	XM_002900318.1.p1
OG0000325	XM_001587766.1.p1, XM_001593315.1.p1	XM_002906911.1.p1
OG0000328	XM_001585363.1.p1	XM_002901344.1.p1, XM_002898124.1.p1, XM_002898125.1.p1, XM_002901345.1.p1, XM_002901350.1.p1, XM_002901346.1.p1
OG0000329	XM_001595733.1.p1	XM_002908194.1.p1
OG0000329	XM_001589919.1.p1	XM_002898204.1.p1, XM_002898238.1.p1
OG0000330	XM_001584912.1.p1, XM_001593088.1.p1, XM_001593260.1.p1, XM_001595520.1.p1	XM_002900099.1.p1, XM_002896432.1.p1, XM_002904360.1.p1
OG0000331	XM_001592377.1.p1	XM_002999111.1.p1, XM_002900448.1.p1, XM_002901866.1.p1, XM_002998704.1.p1
OG0000332	XM_001596509.1.p1	XM_002896872.1.p1, XM_002907762.1.p1, XM_002908129.1.p1, XM_002899471.1.p1, XM_002899472.1.p1, XM_002899470.1.p1, XM_002902557.1.p1, XM_002900742.1.p1, XM_002907020.1.p1
OG0000333	XM_001596284.1.p1, XM_001587094.1.p1	XM_002997893.1.p1, XM_002907680.1.p1
OG0000338	XM_001598065.1.p1	XM_002895030.1.p1, XM_002896439.1.p1, XM_002895031.1.p1, XM_002896437.1.p1, XM_002998959.1.p1, XM_002909692.1.p1, XM_002901287.1.p1, XM_002900523.1.p1
OG0000339	XM_001595542.1.p1, XM_001588947.1.p1, XM_001588068.1.p1	XM_002902314.1.p1
OG0000340	XM_001592926.1.p1	XM_002997127.1.p1, XM_002997129.1.p1, XM_002997130.1.p1, XM_002997125.1.p1, XM_002897329.1.p1, XM_002897331.1.p1, XM_002997126.1.p1, XM_002897330.1.p1, XM_002997128.1.p1, XM_002997131.1.p1
OG0000367	XM_001592612.1.p1, XM_001592610.1.p1, XM_001592606.1.p1	XM_002897747.1.p1, XM_002897374.1.p1, XM_002907459.1.p1
OG0000369	XM_001586015.1.p1, XM_001591969.1.p1, XM_001587228.1.p1	XM_002999137.1.p1, XM_002999139.1.p1
OG0000371	XM_001591234.1.p1, XM_001594454.1.p1	XM_002897301.1.p1, XM_002895748.1.p1, XM_002895749.1.p1, XM_002895750.1.p1, XM_002897302.1.p1
OG0000373	XM_001590593.1.p1, XM_001585633.1.p1	XM_002998125.1.p1, XM_002907209.1.p1, XM_002907213.1.p1, XM_002907208.1.p1
OG0000374	XM_001587306.1.p1	XM_002907751.1.p1, XM_002904260.1.p1, XM_002907808.1.p1, XM_002898347.1.p1, XM_002898277.1.p1, XM_002907991.1.p1, XM_002999046.1.p1
OG0000375	XM_001595569.1.p1	XM_002908999.1.p1, XM_002904172.1.p1, XM_002907352.1.p1, XM_002999279.1.p1, XM_002904656.1.p1
OG0000376	XM_001594730.1.p1	XM_002905856.1.p1
OG0000377	XM_001587924.1.p1	XM_002901104.1.p1
OG0000377	XM_001593312.1.p1	XM_002908269.1.p1
OG0000378	XM_001588079.1.p1, XM_001590690.1.p1, XM_001596537.1.p1	XM_002900943.1.p1, XM_002905040.1.p1
OG0000379	XM_001586451.1.p1	XM_002909533.1.p1, XM_002909473.1.p1, XM_002902790.1.p1, XM_002904694.1.p1, XM_002902954.1.p1, XM_002902735.1.p1, XM_002896016.1.p1, XM_002998159.1.p1, XM_002998160.1.p1
OG0000381	XM_001585956.1.p1	XM_002901919.1.p1, XM_002901917.1.p1, XM_002903594.1.p1, XM_002907888.1.p1, XM_002906589.1.p1
OG0000382	XM_001584950.1.p1, XM_001595688.1.p1	XM_002907160.1.p1
OG0000383	XM_001597194.1.p1, XM_001596042.1.p1	XM_002901389.1.p1, XM_002901390.1.p1, XM_002907695.1.p1, XM_002907694.1.p1
OG0000384	XM_001586677.1.p1, XM_001589597.1.p1, XM_001590323.1.p1	XM_002896806.1.p1
OG0000386	XM_001585159.1.p1, XM_001588104.1.p1	XM_002907747.1.p1, XM_002907748.1.p1, XM_002907758.1.p1, XM_002997665.1.p1, XM_002997664.1.p1, XM_002997661.1.p1
OG0000387	XM_001591137.1.p1, XM_001593237.1.p1	XM_002909874.1.p1, XM_002898418.1.p1, XM_002894673.1.p1, XM_002904218.1.p1, XM_002908377.1.p1
OG0000388	XM_001596277.1.p1	XM_002997311.1.p1
OG0000388	XM_001586516.1.p1	XM_002905373.1.p1
OG0000389	XM_001596455.1.p1	XM_002900605.1.p1
OG0000391	XM_001589004.1.p1	XM_002902600.1.p1, XM_002900967.1.p1, XM_002909775.1.p1, XM_002904561.1.p1
OG0000392	XM_001589028.1.p1	XM_002906843.1.p1, XM_002903727.1.p1, XM_002896458.1.p1, XM_002906893.1.p1, XM_002903950.1.p1, XM_002906475.1.p1, XM_002909259.1.p1, XM_002899424.1.p1
OG0000393	XM_001595140.1.p1	XM_002904312.1.p1, XM_002895473.1.p1, XM_002896804.1.p1, XM_002896803.1.p1, XM_002895217.1.p1, XM_002998505.1.p1
OG0000394	XM_001585288.1.p1, XM_001595033.1.p1	XM_002907310.1.p1, XM_002894710.1.p1, XM_002895894.1.p1
OG0000398	XM_001591123.1.p1	XM_002896040.1.p1, XM_002894671.1.p1, XM_002897777.1.p1, XM_002895746.1.p2, XM_002908483.1.p1, XM_002895318.1.p1, XM_002908482.1.p2, XM_002908481.1.p2
OG0000425	XM_001585959.1.p1	XM_002898108.1.p1, XM_002898122.1.p1, XM_002898126.1.p1, XM_002898121.1.p1, XM_002898127.1.p1, XM_002898119.1.p1
OG0000427	XM_001586521.1.p1	XM_002897798.1.p1, XM_002897803.1.p1
OG0000427	XM_001592419.1.p1	XM_002898261.1.p1, XM_002898262.1.p2
OG0000429	XM_001596902.1.p1	XM_002907592.1.p1
OG0000430	XM_001593458.1.p1	XM_002898230.1.p1, XM_002898713.1.p1, XM_002898243.1.p1, XM_002902589.1.p1, XM_002898240.1.p1, XM_002898241.1.p1, XM_002898237.1.p1, XM_002908610.1.p1, XM_002908611.1.p1
OG0000431	XM_001591777.1.p1, XM_001594441.1.p1, XM_001594442.1.p1	XM_002897307.1.p1
OG0000433	XM_001587880.1.p1, XM_001592690.1.p1	XM_002901642.1.p1, XM_002897885.1.p1, XM_002906407.1.p1, XM_002906405.1.p1
OG0000436	XM_001592851.1.p1	XM_002905236.1.p1
OG0000436	XM_001594381.1.p1	XM_002908446.1.p1, XM_002894774.1.p1
OG0000438	XM_001596549.1.p1	XM_002904701.1.p1
OG0000444	XM_001598489.1.p1	XM_002897790.1.p1, XM_002898806.1.p1
OG0000448	XM_001587120.1.p1	XM_002907740.1.p1, XM_002907745.1.p1, XM_002907741.1.p1, XM_002998633.1.p1, XM_002998628.1.p1
OG0000450	XM_001596103.1.p1, XM_001598362.1.p1	XM_002904889.1.p1, XM_002899718.1.p1, XM_002897156.1.p1, XM_002899150.1.p1, XM_002897157.1.p1, XM_002902941.1.p1, XM_002897155.1.p1
