Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Saccharomyces_cerevisiae_rna_prot
OG0000032	XM_001591344.1.p1, XM_001588011.1.p1, XM_001587657.1.p1	NM_001180679.1.p1
OG0000036	XM_001585435.1.p1	NM_001180521.1.p1, NM_001182115.1.p1
OG0000037	XM_001585193.1.p1, XM_001598376.1.p1	NM_001180904.1.p1, NM_001181022.3.p1, NM_001183405.1.p1, NM_001180849.4.p1
OG0000038	XM_001597383.1.p1	NM_001182556.1.p1, NM_001179925.1.p1
OG0000039	XM_001594345.1.p1	NM_001179774.1.p1
OG0000042	XM_001595143.1.p1	NM_001183422.1.p1, NM_001178875.1.p1
OG0000042	XM_001586568.1.p1	NM_001178759.1.p1
OG0000045	XM_001587065.1.p1, XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1, XM_001596126.1.p1, XM_001585380.1.p1, XM_001585698.1.p1, XM_001596367.1.p1	NM_001180550.3.p1
OG0000046	XM_001586463.1.p1	NM_001178487.3.p1, NM_001182806.1.p1
OG0000048	XM_001597604.1.p1	NM_001183967.1.p1
OG0000048	XM_001598119.1.p1	NM_001183771.3.p1
OG0000048	XM_001594212.1.p1	NM_001180160.1.p1
OG0000048	XM_001589336.1.p1	NM_001183270.1.p1, NM_001179979.2.p1
OG0000049	XM_001596788.1.p1	NM_001183798.1.p1
OG0000050	XM_001585954.1.p1	NM_001182412.1.p1
OG0000051	XM_001589798.1.p1	NM_001180985.1.p1
OG0000051	XM_001590870.1.p1	NM_001179644.1.p1
OG0000051	XM_001587951.1.p1	NM_001183188.1.p1
OG0000051	XM_001596631.1.p1	NM_001179876.3.p1
OG0000051	XM_001585247.1.p1	NM_001178904.3.p1
OG0000052	XM_001585446.1.p1	NM_001183875.1.p1, NM_001178964.2.p1, NM_001183794.1.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	NM_001182673.1.p1, NM_001182674.1.p1
OG0000055	XM_001589853.1.p1, XM_001587585.1.p1, XM_001586322.1.p1, XM_001593073.1.p1	NM_001183411.1.p1
OG0000058	XM_001597998.1.p1	NM_001178151.1.p1, NM_001178315.1.p1, NM_001178994.3.p1
OG0000058	XM_001596000.1.p1	NM_001181468.3.p1
OG0000058	XM_001592674.1.p1	NM_001180289.1.p1
OG0000058	XM_001589509.1.p1	NM_001179194.1.p1
OG0000058	XM_001589061.1.p1	NM_001178845.1.p1, NM_001181703.1.p1
OG0000061	XM_001592625.1.p1	NM_001181361.3.p1
OG0000062	XM_001595980.1.p1, XM_001592845.1.p1, XM_001595701.1.p1	NM_001179075.3.p1, NM_001181342.1.p1, NM_001181933.1.p1
OG0000069	XM_001589526.1.p1	NM_001184291.1.p1
OG0000069	XM_001597778.1.p1, XM_001589598.1.p1, XM_001585779.1.p1	NM_001181645.1.p1
OG0000070	XM_001587941.1.p1	NM_001181184.1.p1
OG0000070	XM_001588423.1.p1	NM_001179116.1.p1
OG0000071	XM_001593511.1.p1	NM_001182103.1.p1
OG0000071	XM_001587924.1.p1	NM_001179187.1.p1, NM_001180612.3.p1
OG0000071	XM_001593312.1.p1	NM_001182437.1.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	NM_001178708.1.p1
OG0000075	XM_001589867.1.p1	NM_001180961.1.p1, NM_001183991.1.p1
OG0000076	XM_001595074.1.p1	NM_001181919.1.p1
OG0000076	XM_001587341.1.p1	NM_001183610.1.p1
OG0000077	XM_001591303.1.p1	NM_001182076.1.p1
OG0000079	XM_001596030.1.p1	NM_001178508.3.p1
OG0000079	XM_001591730.1.p1	NM_001183845.1.p1
OG0000079	XM_001598063.1.p1	NM_001184258.1.p1
OG0000079	XM_001590997.1.p1	NM_001179705.1.p1
OG0000081	XM_001592987.1.p1, XM_001586053.1.p1, XM_001589644.1.p1, XM_001593006.1.p1	NM_001180306.1.p1, NM_001181957.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	NM_001182195.1.p1, NM_001182196.1.p1
OG0000087	XM_001595355.1.p1	NM_001180993.1.p1
OG0000087	XM_001598496.1.p1	NM_001182846.1.p1
OG0000088	XM_001586938.1.p1	NM_001182232.1.p1, NM_001182818.1.p1
OG0000088	XM_001596104.1.p1	NM_001183386.1.p1, NM_001182722.1.p1
OG0000088	XM_001588755.1.p1, XM_001584513.1.p1	NM_001183284.1.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1	NM_001183067.1.p1
OG0000091	XM_001598502.1.p1, XM_001591770.1.p1	NM_001183232.3.p1
OG0000093	XM_001598888.1.p1	NM_001181511.1.p1, NM_001179803.3.p1, NM_001181512.1.p1
OG0000094	XM_001589274.1.p1, XM_001594932.1.p1, XM_001596520.1.p1, XM_001592044.1.p1, XM_001591784.1.p1, XM_001591526.1.p1	NM_001178239.1.p1, NM_001178441.3.p1, NM_001178440.1.p1, NM_001180083.1.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1, XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	NM_001182745.1.p1, NM_001179612.1.p1
OG0000099	XM_001597745.1.p1	NM_001179310.1.p1, NM_001183985.1.p1
OG0000103	XM_001596956.1.p1	NM_001184224.1.p1
OG0000110	XM_001598036.1.p1	NM_001179090.1.p1
OG0000111	XM_001590699.1.p1	NM_001180193.1.p1, NM_001180248.1.p1
OG0000111	XM_001590723.1.p1	NM_001183209.3.p1
OG0000111	XM_001590630.1.p1	NM_001180383.1.p1
OG0000111	XM_001585540.1.p1	NM_001180106.1.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	NM_001178737.1.p1
OG0000114	XM_001595727.1.p1	NM_001184262.1.p1
OG0000114	XM_001596499.1.p1	NM_001179466.1.p1
OG0000114	XM_001592280.1.p1	NM_001182928.3.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1, XM_001596045.1.p1, XM_001588524.1.p1	NM_001179883.1.p1
OG0000122	XM_001585288.1.p1	NM_001179732.1.p1, NM_001181597.2.p1, NM_001184017.1.p1
OG0000126	XM_001598751.1.p1	NM_001178369.1.p1, NM_001179550.3.p1, NM_001178282.1.p1
OG0000127	XM_001585475.1.p1	NM_001182812.1.p1, NM_001183340.1.p1, NM_001178493.3.p1, NM_001182582.1.p1
OG0000129	XM_001587396.1.p1	NM_001182017.1.p1
OG0000129	XM_001594102.1.p1	NM_001181121.1.p1
OG0000131	XM_001598179.1.p1	NM_001182903.3.p1, NM_001179468.1.p1, NM_001179469.1.p1
OG0000134	XM_001595908.1.p1	NM_001178743.1.p1
OG0000137	XM_001590475.1.p1	NM_001178386.1.p1
OG0000137	XM_001593484.1.p1	NM_001183030.2.p1
OG0000139	XM_001591243.1.p1	NM_001181944.1.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	NM_001180173.1.p1, NM_001182314.1.p1
OG0000141	XM_001591233.1.p1	NM_001182566.1.p1
OG0000144	XM_001595270.1.p1, XM_001584641.1.p1	NM_001183468.1.p1
OG0000145	XM_001596988.1.p1	NM_001180683.1.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1, XM_001598192.1.p1	NM_001180187.1.p1
OG0000150	XM_001591864.1.p1	NM_001182906.3.p1, NM_001179479.1.p1
OG0000150	XM_001592862.1.p1	NM_001184201.1.p1
OG0000151	XM_001590918.1.p1	NM_001180191.1.p1
OG0000151	XM_001595088.1.p1, XM_001585695.1.p1	NM_001181132.1.p1
OG0000155	XM_001595155.1.p1	NM_001181281.3.p1
OG0000155	XM_001585183.1.p1	NM_001182936.1.p1, NM_001183520.1.p1
OG0000157	XM_001584928.1.p1	NM_001180631.3.p1
OG0000159	XM_001596681.1.p1	NM_001179232.1.p1
OG0000160	XM_001598265.1.p1, XM_001591639.1.p1	NM_001182831.3.p1, NM_001178812.1.p1
OG0000162	XM_001598406.1.p1	NM_001178512.3.p1
OG0000162	XM_001598925.1.p1	NM_001183513.1.p1
OG0000162	XM_001592439.1.p1	NM_001180197.1.p1, NM_001180252.1.p1
OG0000163	XM_001590923.1.p1	NM_001178911.3.p1
OG0000163	XM_001587263.1.p1	NM_001179135.1.p1
OG0000166	XM_001596176.1.p1	NM_001180865.3.p1, NM_001179146.1.p1
OG0000169	XM_001594644.1.p1	NM_001184235.1.p1, NM_001181250.3.p1
OG0000170	XM_001585258.1.p1	NM_001178194.1.p1
OG0000172	XM_001590603.1.p1	NM_001181698.1.p1
OG0000175	XM_001592718.1.p1	NM_001181217.1.p1
OG0000175	XM_001593214.1.p1, XM_001589370.1.p1, XM_001598408.1.p1	NM_001180564.1.p1
OG0000176	XM_001594380.1.p1	NM_001179220.1.p1
OG0000176	XM_001593131.1.p1	NM_001182935.3.p1
OG0000177	XM_001591247.1.p1	NM_001182810.1.p1
OG0000178	XM_001594170.1.p1	NM_001180154.1.p1, NM_001180152.1.p1
OG0000178	XM_001597585.1.p1	NM_001181801.1.p1
OG0000178	XM_001590945.1.p1	NM_001183741.1.p1, NM_001178168.1.p1, NM_001181328.1.p1
OG0000180	XM_001594632.1.p1	NM_001181765.2.p1
OG0000182	XM_001588602.1.p1	NM_001181854.1.p1
OG0000182	XM_001595051.1.p1	NM_001180185.1.p1
OG0000182	XM_001585915.1.p1	NM_001182285.1.p1
OG0000187	XM_001594437.1.p1	NM_001183415.1.p1
OG0000189	XM_001593065.1.p1, XM_001592803.1.p1	NM_001183609.3.p1, NM_001182188.1.p1, NM_001180569.1.p1
OG0000192	XM_001594643.1.p1	NM_001182696.1.p1
OG0000193	XM_001585382.1.p1	NM_001183391.1.p1
OG0000195	XM_001597923.1.p1	NM_001183650.1.p1, NM_001183954.1.p1
OG0000195	XM_001584810.1.p1	NM_001181561.2.p1
OG0000195	XM_001588295.1.p1	NM_001180219.1.p1
OG0000197	XM_001593034.1.p1	NM_001180858.1.p1, NM_001178947.1.p1, NM_001178951.3.p1
OG0000197	XM_001596869.1.p1, XM_001593240.1.p1, XM_001592373.1.p1	NM_001181051.1.p1
OG0000198	XM_001587594.1.p1, XM_001587593.1.p1	NM_001182666.1.p1
OG0000198	XM_001589999.1.p1	NM_001178171.2.p1
OG0000199	XM_001595824.1.p1	NM_001179548.3.p1
OG0000200	XM_001591001.1.p1	NM_001181038.1.p1
OG0000200	XM_001585608.1.p1	NM_001183467.1.p1
OG0000200	XM_001585607.1.p1	NM_001178488.3.p1, NM_001183335.1.p1
OG0000201	XM_001586673.1.p1, XM_001590628.1.p1	NM_001182773.1.p1, NM_001183338.1.p1
OG0000201	XM_001585892.1.p1	NM_001181825.1.p1
OG0000205	XM_001594836.1.p1, XM_001593614.1.p1, XM_001590146.1.p1	NM_001178971.1.p1
OG0000207	XM_001596987.1.p1, XM_001584718.1.p1	NM_001181979.1.p1, NM_001178642.3.p1
OG0000211	XM_001591045.1.p1	NM_001178420.1.p1, NM_001180478.1.p1
OG0000212	XM_001588279.1.p1	NM_001183724.1.p1, NM_001178593.1.p1
OG0000212	XM_001597073.1.p1	NM_001180003.1.p1
OG0000213	XM_001589354.1.p1	NM_001181318.1.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	NM_001178354.1.p1
OG0000227	XM_001598493.1.p1	NM_001180362.1.p1
OG0000228	XM_001598326.1.p1, XM_001590417.1.p1	NM_001179508.1.p1
OG0000229	XM_001584665.1.p1	NM_001182287.1.p1, NM_001180129.1.p1
OG0000229	XM_001592829.1.p1	NM_001181381.1.p1
OG0000230	XM_001584950.1.p1	NM_001181914.1.p1
OG0000231	XM_001591186.1.p1	NM_001183627.3.p1, NM_001178966.2.p1
OG0000231	XM_001595459.1.p1, XM_001591268.1.p1	NM_001180290.1.p1
OG0000237	XM_001585240.1.p1	NM_001183663.3.p1
OG0000237	XM_001587970.1.p1	NM_001182628.1.p1
OG0000237	XM_001598176.1.p1	NM_001178292.1.p1
OG0000238	XM_001595636.1.p1	NM_001182638.1.p1
OG0000241	XM_001594149.1.p1, XM_001593862.1.p1	NM_001184162.1.p1
OG0000244	XM_001585917.1.p1	NM_001179961.1.p1
OG0000244	XM_001597739.1.p1	NM_001179928.1.p1
OG0000245	XM_001588698.1.p1	NM_001181880.1.p1
OG0000249	XM_001587592.1.p1	NM_001180165.1.p1
OG0000250	XM_001594455.1.p1, XM_001587767.1.p1, XM_001588201.1.p1, XM_001594320.1.p1, XM_001588570.1.p1, XM_001598870.1.p1	NM_001181811.3.p1
OG0000251	XM_001590820.1.p1	NM_001180646.1.p1, NM_001179162.1.p1
OG0000256	XM_001590113.1.p1	NM_001179262.1.p1
OG0000261	XM_001585923.1.p1	NM_001180567.3.p1, NM_001183447.1.p1
OG0000261	XM_001589789.1.p1, XM_001596282.1.p1	NM_001179089.1.p1
OG0000262	XM_001585956.1.p1	NM_001178434.1.p1
OG0000264	XM_001596457.1.p1, XM_001587892.1.p1, XM_001595608.1.p1	NR_172477.1.p1
OG0000265	XM_001590863.1.p1, XM_001587775.1.p1, XM_001597833.1.p1, XM_001597827.1.p1	NM_001182741.1.p1
OG0000266	XM_001595040.1.p1	NM_001181199.2.p1, NM_001182260.1.p1
OG0000268	XM_001594381.1.p1	NM_001181059.1.p1
OG0000268	XM_001592851.1.p1	NM_001183168.1.p1
OG0000269	XM_001587306.1.p1	NM_001183164.1.p1
OG0000269	XM_001595030.1.p1	NM_001180767.1.p1
OG0000270	XM_001590743.1.p1, XM_001597669.1.p1	NM_001180962.1.p1
OG0000271	XM_001590668.1.p1	NM_001181651.1.p1
OG0000273	XM_001592377.1.p1	NM_001180871.1.p1
OG0000274	XM_001592746.1.p1	NM_001181417.1.p1, NM_001184293.1.p1, NM_001179915.1.p1, NM_001178645.3.p1
OG0000276	XM_001592491.1.p1	NM_001178986.3.p1
OG0000276	XM_001598855.1.p1	NM_001179069.1.p1
OG0000276	XM_001597019.1.p1	NM_001180312.1.p1
OG0000277	XM_001588099.1.p1	NM_001179780.1.p1
OG0000280	XM_001586347.1.p1	NM_001184289.1.p1
OG0000281	XM_001594638.1.p1	NM_001183929.1.p1
OG0000281	XM_001594133.1.p1	NM_001178608.1.p1
OG0000283	XM_001593967.1.p1	NM_001179160.1.p1, NM_001179727.1.p1
OG0000283	XM_001586787.1.p1	NM_001178256.1.p1, NM_001181169.3.p1
OG0000284	XM_001594975.1.p1	NM_001182198.1.p1
OG0000286	XM_001595060.1.p1	NM_001179083.1.p1, NM_001179574.3.p1
OG0000288	XM_001586741.1.p1	NM_001179657.1.p1, NM_001182578.1.p1
OG0000289	XM_001587013.1.p1	NM_001181081.1.p1
OG0000291	XM_001595467.1.p1, XM_001593375.1.p1, XM_001586302.1.p1	NM_001181411.1.p1
OG0000292	XM_001595511.1.p1	NM_001178553.3.p1, NM_001183518.1.p1, NM_001183867.1.p1, NM_001180791.1.p1
OG0000292	XM_001596671.1.p1, XM_001597497.1.p1	NM_001178547.3.p1
OG0000294	XM_001590001.1.p1, XM_001591647.1.p1, XM_001591006.1.p1	NM_001179854.1.p1
OG0000295	XM_001586192.1.p1	NM_001179400.3.p1, NM_001178950.1.p1
OG0000295	XM_001595606.1.p1	NM_001183255.1.p1
OG0000303	XM_001593841.1.p1	NM_001181863.1.p1
OG0000303	XM_001595283.1.p1, XM_001596500.1.p1	NM_001179913.1.p1
OG0000304	XM_001587021.1.p1	NM_001181784.1.p1
OG0000307	XM_001596247.1.p1, XM_001592523.1.p1, XM_001593676.1.p1	NM_001179072.3.p1
OG0000312	XM_001596529.1.p1, XM_001597099.1.p1	NM_001179841.3.p1
OG0000318	XM_001598012.1.p1	NM_001183902.1.p1
OG0000319	XM_001598351.1.p1	NM_001179153.1.p1
OG0000324	XM_001594373.1.p1	NM_001179131.1.p1, NM_001179793.1.p1
OG0000324	XM_001588802.1.p1, XM_001592271.1.p1	NM_001183959.1.p1, NM_001183656.3.p1
OG0000326	XM_001589657.1.p1	NM_001184018.1.p1
OG0000326	XM_001595679.1.p1	NM_001179265.1.p1, NM_001182992.1.p1
OG0000333	XM_001591225.1.p1	NM_001178634.1.p1
OG0000337	XM_001597150.1.p1	NM_001179381.1.p1
OG0000337	XM_001589811.1.p1	NM_001183834.1.p1
OG0000338	XM_001589919.1.p1	NM_001179927.1.p1
OG0000339	XM_001588030.1.p1	NM_001180943.3.p1
OG0000339	XM_001597935.1.p1	NM_001182950.3.p1
OG0000340	XM_001593244.1.p1	NM_001179096.1.p1
OG0000343	XM_001593775.1.p1	NM_001180815.3.p1, NM_001178670.1.p1, NM_001179667.2.p1
OG0000343	XM_001588828.1.p1	NM_001180785.3.p1
OG0000346	XM_001588685.1.p1	NM_001184166.1.p1, NM_001182033.1.p1
OG0000346	XM_001585647.1.p1	NM_001183227.1.p1
OG0000347	XM_001588291.1.p1	NM_001179203.1.p1
OG0000347	XM_001594045.1.p1	NM_001178227.1.p1, NM_001180078.1.p1
OG0000350	XM_001594577.1.p1	NM_001179062.1.p1
OG0000350	XM_001585929.1.p1	NM_001181400.4.p1
OG0000351	XM_001592911.1.p1, XM_001590850.1.p1, XM_001590848.1.p1	NM_001178932.2.p1
OG0000354	XM_001594173.1.p1, XM_001594672.1.p1	NM_001183265.1.p1, NM_001182504.1.p1, NM_001182502.1.p1
OG0000355	XM_001590970.1.p1	NM_001179840.1.p1, NM_001181562.1.p1
OG0000357	XM_001584508.1.p1	NM_001182604.1.p1, NM_001179692.1.p1
OG0000357	XM_001596882.1.p1	NM_001179336.1.p1
OG0000362	XM_001588879.1.p1, XM_001592261.1.p1	NM_001180346.3.p1
OG0000364	XM_001586746.1.p1	NM_001184270.1.p1
OG0000364	XM_001591295.1.p1	NM_001183888.1.p1, NM_001178938.1.p1
OG0000366	XM_001585303.1.p1, XM_001592514.1.p1	NM_001183256.1.p1, NM_001180800.1.p1, NM_001183355.1.p1
OG0000369	XM_001585932.1.p1	NM_001184045.1.p1
OG0000369	XM_001585931.1.p1	NM_001179748.1.p1
OG0000375	XM_001586362.1.p1, XM_001597921.1.p1, XM_001589897.1.p1	NM_001181392.3.p1
OG0000376	XM_001588139.1.p1	NM_001181633.1.p1
OG0000376	XM_001587757.1.p1	NM_001182192.1.p1
OG0000378	XM_001596864.1.p1	NM_001183711.3.p1
OG0000378	XM_001594848.1.p1	NM_001182138.1.p1
OG0000379	XM_001588044.1.p1	NM_001179134.1.p1
OG0000379	XM_001592931.1.p1	NM_001181830.1.p1, NM_001181906.1.p1
OG0000380	XM_001584697.1.p1	NM_001182704.1.p1
OG0000380	XM_001597824.1.p1	NM_001184226.1.p1
OG0000381	XM_001596277.1.p1	NM_001180744.1.p1, NM_001182374.1.p1
OG0000381	XM_001586516.1.p1	NM_001179023.3.p1
OG0000383	XM_001595200.1.p1	NM_001182855.1.p1
OG0000385	XM_001594849.1.p1	NM_001183393.1.p1
OG0000388	XM_001587153.1.p1	NM_001183316.1.p1
OG0000388	XM_001588257.1.p1	NM_001178308.2.p1, NM_001178990.3.p1, NM_001179091.1.p1
OG0000390	XM_001595466.1.p1	NM_001180660.1.p1
OG0000390	XM_001591034.1.p1	NM_001178495.1.p1, NM_001183346.1.p1
OG0000393	XM_001596263.1.p1	NM_001183230.1.p1
OG0000393	XM_001597320.1.p1	NM_001178897.1.p1
OG0000395	XM_001597922.1.p1	NM_001179300.1.p1
OG0000395	XM_001592276.1.p1	NM_001179195.1.p1
OG0000398	XM_001597851.1.p1, XM_001591395.1.p1	NM_001178922.1.p1, NM_001181075.1.p1
OG0000401	XM_001598784.1.p1, XM_001589106.1.p1	NM_001184256.1.p1, NM_001181272.3.p1
OG0000403	XM_001589101.1.p1	NM_001179824.1.p1, NM_001181543.1.p1
OG0000404	XM_001598231.1.p1	NM_001181877.1.p1
OG0000405	XM_001584602.1.p1	NM_001183503.1.p1
OG0000407	XM_001591874.1.p1	NM_001181506.3.p1
OG0000408	XM_001588056.1.p1	NM_001178998.3.p1
OG0000409	XM_001591593.1.p1	NM_001181601.2.p1
OG0000411	XM_001585214.1.p1	NM_001182853.3.p1, NM_001182136.1.p1
OG0000411	XM_001593430.1.p1	NM_001184040.1.p1
OG0000412	XM_001590537.1.p1	NM_001178394.1.p1
OG0000414	XM_001588538.1.p1	NM_001180228.1.p1
OG0000415	XM_001587000.1.p1	NM_001179595.1.p1
OG0000417	XM_001594077.1.p1, XM_001595020.1.p1	NM_001181733.3.p1, NM_001180903.1.p1
OG0000418	XM_001597732.1.p1, XM_001594531.1.p1	NM_001179723.2.p1, NM_001179177.1.p1
OG0000420	XM_001597867.1.p1, XM_001586169.1.p1	NM_001179673.1.p1
OG0000421	XM_001596111.1.p1	NM_001179621.2.p1
OG0000425	XM_001595569.1.p1	NM_001179015.3.p1
OG0000428	XM_001591689.1.p1	NM_001180868.1.p1
OG0000428	XM_001592756.1.p1	NM_001180981.1.p1
OG0000432	XM_001592025.1.p1	NM_001183317.1.p1
OG0000432	XM_001595641.1.p1	NM_001184073.1.p1
OG0000437	XM_001586166.1.p1	NM_001180343.3.p1
OG0000437	XM_001594881.1.p1	NM_001178597.1.p1
OG0000440	XM_001592376.1.p1	NM_001183323.1.p1, NM_001180101.1.p1
OG0000440	XM_001596584.1.p1	NM_001183829.1.p1
OG0000441	XM_001598052.1.p1	NM_001180331.1.p1
OG0000441	XM_001587956.1.p1	NM_001179141.1.p1
OG0000442	XM_001594041.1.p1	NM_001178466.1.p1
OG0000442	XM_001595999.1.p1	NM_001179874.3.p1
OG0000443	XM_001597889.1.p1	NM_001179917.1.p1, NM_001183384.1.p1
OG0000443	XM_001589171.1.p1	NM_001179630.1.p1
OG0000446	XM_001595180.1.p1	NM_001179706.1.p1
OG0000447	XM_001592798.1.p1, XM_001598386.1.p1	NM_001182025.1.p1
OG0000448	XM_001596951.1.p1	NM_001182999.3.p1
OG0000456	XM_001586769.1.p1	NM_001179701.1.p1
OG0000456	XM_001590674.1.p1	NM_001181662.3.p1
OG0000457	XM_001597364.1.p1	NM_001181821.1.p1
OG0000457	XM_001595651.1.p1	NM_001179791.1.p1
OG0000458	XM_001594303.1.p1	NM_001182876.1.p1
OG0000458	XM_001589273.1.p1	NM_001183555.1.p1
OG0000459	XM_001595847.1.p1	NM_001178629.3.p1
OG0000459	XM_001588033.1.p1	NM_001180009.1.p1
OG0000460	XM_001597304.1.p1	NM_001182444.1.p1, NM_001182487.1.p1
OG0000461	XM_001594597.1.p1, XM_001594596.1.p1	NM_001181767.3.p1
OG0000461	XM_001590763.1.p1	NM_001181563.2.p1
OG0000462	XM_001592837.1.p1, XM_001585696.1.p1, XM_001592836.1.p1	NM_001180515.1.p1
OG0000465	XM_001596182.1.p1	NM_001179087.1.p1
OG0000465	XM_001598498.1.p1	NM_001183136.1.p1, NM_001183367.1.p1
OG0000466	XM_001597810.1.p1	NM_001183878.1.p1
OG0000467	XM_001588516.1.p1, XM_001588214.1.p1	NM_001183883.1.p1
OG0000468	XM_001595597.1.p1	NM_001183850.1.p1, NM_001180873.1.p1
OG0000469	XM_001586974.1.p1	NM_001184056.1.p1
OG0000470	XM_001589646.1.p1	NM_001181535.1.p1
OG0000470	XM_001589696.1.p1	NM_001181956.1.p1
OG0000471	XM_001589081.1.p1	NM_001180990.1.p1
OG0000471	XM_001597763.1.p1	NM_001183837.1.p1
OG0000472	XM_001596286.1.p1, XM_001592203.1.p1, XM_001598844.1.p1	NM_001179860.1.p1
OG0000473	XM_001597336.1.p1	NM_001178382.1.p1
OG0000474	XM_001586657.1.p1	NM_001181444.3.p1
OG0000475	XM_001586521.1.p1	NM_001181846.1.p1
OG0000475	XM_001592419.1.p1	NM_001180566.3.p1
OG0000476	XM_001595211.1.p1	NM_001181977.1.p1
OG0000476	XM_001584773.1.p1	NM_001182902.1.p1
OG0000477	XM_001598467.1.p1	NM_001182251.1.p1
OG0000477	XM_001587693.1.p1	NM_001181528.1.p1
OG0000486	XM_001590667.1.p1, XM_001594460.1.p1	NM_001179472.3.p1
