Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Penicillium_expansum_rna_prot
OG0000005	XM_001585072.1.p1	XM_016748107.1.p1
OG0000006	XM_001596808.1.p1	XM_016745223.1.p1
OG0000006	XM_001588863.1.p1	XM_016745254.1.p1
OG0000006	XM_001585971.1.p1, XM_001594656.1.p1	XM_016738841.1.p1
OG0000006	XM_001585309.1.p1	XM_016740186.1.p1
OG0000006	XM_001586702.1.p1	XM_016743682.1.p1, XM_016747311.1.p1, XM_016743839.1.p1
OG0000006	XM_001588137.1.p1	XM_016747129.1.p1, XM_016741983.1.p1, XM_016743227.1.p1
OG0000006	XM_001587520.1.p1	XM_016741612.1.p1
OG0000006	XM_001584562.1.p1	XM_016743176.1.p1
OG0000006	XM_001591073.1.p1	XM_016737424.1.p1
OG0000006	XM_001595264.1.p1	XM_016739999.1.p1
OG0000006	XM_001585666.1.p1	XM_016743144.1.p1
OG0000007	XM_001591636.1.p1	XM_016745200.1.p1
OG0000007	XM_001587063.1.p1	XM_016742317.1.p1, XM_016737539.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_016746252.1.p1, XM_016747400.1.p1
OG0000007	XM_001590167.1.p1	XM_016739736.1.p1
OG0000007	XM_001592113.1.p1	XM_016737767.1.p1, XM_016747980.1.p1
OG0000007	XM_001597058.1.p1	XM_016740163.1.p1
OG0000007	XM_001593364.1.p1	XM_016743330.1.p1, XM_016741290.1.p1, XM_016745440.1.p1, XM_016738408.1.p1
OG0000007	XM_001590635.1.p1	XM_016739520.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_016743992.1.p1
OG0000008	XM_001591041.1.p1, XM_001595644.1.p1, XM_001596095.1.p1	XM_016739037.1.p1
OG0000008	XM_001591599.1.p1	XM_016746966.1.p1, XM_016737932.1.p1, XM_016741113.1.p1, XM_016743906.1.p1, XM_016746943.1.p1, XM_016739406.1.p1, XM_016743923.1.p1, XM_016748228.1.p1
OG0000008	XM_001591200.1.p1, XM_001595300.1.p1, XM_001589676.1.p1	XM_016739184.1.p1
OG0000008	XM_001589064.1.p1	XM_016744267.1.p1
OG0000009	XM_001587822.1.p1	XM_016745108.1.p1
OG0000009	XM_001593400.1.p1	XM_016745210.1.p1, XM_016741738.1.p1
OG0000009	XM_001595645.1.p1	XM_016746925.1.p1
OG0000009	XM_001591183.1.p1	XM_016743298.1.p1
OG0000009	XM_001585006.1.p1	XM_016741526.1.p1, XM_016747029.1.p1
OG0000009	XM_001586155.1.p1	XM_016747294.1.p1, XM_016746022.1.p1
OG0000009	XM_001587232.1.p1	XM_016744161.1.p1
OG0000009	XM_001592056.1.p1	XM_016737418.1.p1
OG0000009	XM_001584585.1.p1	XM_016739366.1.p1, XM_016739524.1.p1
OG0000009	XM_001584955.1.p1	XM_016746040.1.p1
OG0000010	XM_001594180.1.p1	XM_016748205.1.p1
OG0000010	XM_001587851.1.p1	XM_016742572.1.p1, XM_016741036.1.p1
OG0000010	XM_001589139.1.p1	XM_016741506.1.p1
OG0000010	XM_001590585.1.p1	XM_016746233.1.p1, XM_016745225.1.p1
OG0000010	XM_001592407.1.p1	XM_016747595.1.p1
OG0000010	XM_001598213.1.p1	XM_016739407.1.p1
OG0000011	XM_001598486.1.p1	XM_016737557.1.p1
OG0000011	XM_001589489.1.p1	XM_016742649.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_016743536.1.p1
OG0000011	XM_001585969.1.p1	XM_016738181.1.p1
OG0000011	XM_001595185.1.p1	XM_016740432.1.p1
OG0000011	XM_001587742.1.p1	XM_016741184.1.p1
OG0000011	XM_001585940.1.p1	XM_016738031.1.p1
OG0000011	XM_001593089.1.p1	XM_016747880.1.p1
OG0000011	XM_001591956.1.p1	XM_016744598.1.p1
OG0000013	XM_001598880.1.p1	XM_016738082.1.p1, XM_016737560.1.p1
OG0000013	XM_001588453.1.p1	XM_016737433.1.p1, XM_016746720.1.p1, XM_016745455.1.p1, XM_016739328.1.p1, XM_016746373.1.p1
OG0000013	XM_001596549.1.p1	XM_016745649.1.p1
OG0000014	XM_001585201.1.p1, XM_001585962.1.p1, XM_001592890.1.p1, XM_001596332.1.p1	XM_016737489.1.p1
OG0000014	XM_001598931.1.p1	XM_016747211.1.p1
OG0000015	XM_001596690.1.p1	XM_016737479.1.p1
OG0000015	XM_001590640.1.p1	XM_016739599.1.p1
OG0000015	XM_001586348.1.p1	XM_016745778.1.p1
OG0000015	XM_001596393.1.p1	XM_016747812.1.p1
OG0000016	XM_001588252.1.p1	XM_016748020.1.p1
OG0000016	XM_001593310.1.p1	XM_016742606.1.p1
OG0000016	XM_001591158.1.p1	XM_016742357.1.p1, XM_016737990.1.p1
OG0000018	XM_001598881.1.p1	XM_016747040.1.p1, XM_016741379.1.p1
OG0000018	XM_001592971.1.p1	XM_016737591.1.p1
OG0000018	XM_001585013.1.p1	XM_016740406.1.p1, XM_016740784.1.p1
OG0000018	XM_001593916.1.p1	XM_016738400.1.p1
OG0000018	XM_001591684.1.p1	XM_016746297.1.p1
OG0000019	XM_001594911.1.p1	XM_016745290.1.p1
OG0000019	XM_001595962.1.p1	XM_016745349.1.p1
OG0000019	XM_001595366.1.p1	XM_016746105.1.p1
OG0000019	XM_001586682.1.p1	XM_016740112.1.p1
OG0000019	XM_001591415.1.p1	XM_016746872.1.p1, XM_016740364.1.p1, XM_016741902.1.p1, XM_016738855.1.p1
OG0000020	XM_001590645.1.p1	XM_016741209.1.p1
OG0000020	XM_001584630.1.p1	XM_016748083.1.p1
OG0000020	XM_001598591.1.p1	XM_016745547.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1, XM_001584825.1.p1, XM_001596768.1.p1	XM_016743265.1.p1, XM_016740720.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_016738063.1.p1, XM_016742944.1.p1, XM_016742857.1.p1
OG0000023	XM_001592654.1.p1, XM_001587468.1.p1, XM_001584499.1.p1, XM_001591377.1.p1, XM_001585807.1.p1, XM_001584498.1.p1	XM_016744125.1.p1
OG0000023	XM_001596222.1.p1	XM_016738337.1.p1
OG0000023	XM_001594007.1.p1, XM_001591314.1.p1, XM_001590086.1.p1, XM_001591313.1.p1, XM_001585950.1.p1, XM_001588520.1.p1, XM_001591673.1.p1, XM_001596154.1.p1, XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1	XM_016743384.1.p1
OG0000025	XM_001597796.1.p1	XM_016748184.1.p1, XM_016739058.1.p1, XM_016745794.1.p1
OG0000025	XM_001594625.1.p1	XM_016741652.1.p1
OG0000025	XM_001592424.1.p1	XM_016739836.1.p1
OG0000025	XM_001585370.1.p1	XM_016742384.1.p1, XM_016743115.1.p1, XM_016743864.1.p1
OG0000025	XM_001596141.1.p1	XM_016744130.1.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	XM_016747288.1.p1
OG0000026	XM_001588953.1.p1	XM_016748227.1.p1
OG0000026	XM_001594416.1.p1	XM_016747989.1.p1
OG0000027	XM_001593160.1.p1	XM_016742003.1.p1
OG0000027	XM_001584646.1.p1	XM_016740168.1.p1, XM_016740367.1.p1, XM_016740169.1.p1
OG0000027	XM_001596426.1.p1	XM_016739782.1.p1
OG0000027	XM_001594266.1.p1	XM_016745816.1.p1, XM_016743834.1.p1, XM_016737468.1.p1
OG0000027	XM_001596322.1.p1	XM_016747299.1.p1
OG0000029	XM_001592206.1.p1	XM_016747648.1.p1
OG0000029	XM_001592449.1.p1	XM_016746311.1.p1
OG0000029	XM_001592457.1.p1	XM_016740490.1.p1
OG0000029	XM_001586393.1.p1	XM_016744568.1.p1
OG0000029	XM_001589831.1.p1	XM_016742864.1.p1, XM_016744380.1.p1, XM_016744239.1.p1
OG0000030	XM_001589464.1.p1	XM_016746300.1.p1
OG0000030	XM_001589467.1.p1, XM_001589863.1.p1	XM_016737466.1.p1
OG0000031	XM_001586174.1.p1	XM_016746752.1.p1
OG0000031	XM_001587417.1.p1	XM_016741623.1.p1
OG0000032	XM_001588011.1.p1	XM_016738221.1.p1, XM_016742673.1.p1
OG0000032	XM_001592925.1.p1	XM_016738953.1.p1
OG0000032	XM_001598634.1.p1	XM_016741325.1.p1
OG0000032	XM_001598538.1.p1	XM_016743723.1.p1
OG0000034	XM_001590944.1.p1	XM_016746681.1.p1
OG0000034	XM_001589027.1.p1	XM_016738610.1.p1
OG0000034	XM_001586378.1.p1	XM_016746143.1.p1, XM_016745233.1.p1
OG0000034	XM_001588815.1.p1	XM_016743308.1.p1, XM_016747843.1.p1
OG0000035	XM_001597459.1.p1	XM_016743424.1.p1
OG0000035	XM_001589899.1.p1	XM_016747180.1.p1
OG0000035	XM_001595898.1.p1	XM_016741709.1.p1
OG0000035	XM_001597487.1.p1	XM_016746426.1.p1
OG0000035	XM_001591966.1.p1	XM_016746786.1.p1
OG0000035	XM_001587431.1.p1	XM_016739144.1.p1
OG0000035	XM_001595682.1.p1	XM_016738774.1.p1
OG0000036	XM_001585435.1.p1	XM_016747939.1.p1
OG0000036	XM_001593945.1.p1	XM_016743224.1.p1
OG0000036	XM_001595981.1.p1	XM_016739073.1.p1, XM_016739648.1.p1, XM_016741344.1.p1
OG0000036	XM_001592844.1.p1	XM_016742459.1.p1
OG0000037	XM_001585740.1.p1	XM_016748028.1.p1
OG0000038	XM_001597383.1.p1	XM_016737307.1.p1, XM_016743199.1.p1, XM_016746973.1.p1
OG0000038	XM_001585894.1.p1	XM_016744839.1.p1, XM_016745573.1.p1, XM_016744549.1.p1
OG0000039	XM_001594345.1.p1	XM_016747220.1.p1
OG0000039	XM_001593212.1.p1	XM_016739797.1.p1
OG0000039	XM_001594395.1.p1	XM_016746763.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1	XM_016741363.1.p1
OG0000039	XM_001591791.1.p1	XM_016738464.1.p1
OG0000040	XM_001587209.1.p1	XM_016742120.1.p1
OG0000041	XM_001592709.1.p1	XM_016747367.1.p1
OG0000041	XM_001595454.1.p1, XM_001592613.1.p1	XM_016738232.1.p1
OG0000041	XM_001591780.1.p1	XM_016737811.1.p1
OG0000041	XM_001584734.1.p1, XM_001585351.1.p1	XM_016744254.1.p1
OG0000042	XM_001595143.1.p1	XM_016740042.1.p1
OG0000043	XM_001597597.1.p1	XM_016744111.1.p1
OG0000043	XM_001595893.1.p1	XM_016741155.1.p1
OG0000043	XM_001596074.1.p1	XM_016743120.1.p1
OG0000045	XM_001587065.1.p1	XM_016739567.1.p1
OG0000045	XM_001596031.1.p1	XM_016738728.1.p1
OG0000045	XM_001596126.1.p1	XM_016741142.1.p1, XM_016742038.1.p1, XM_016742644.1.p1
OG0000045	XM_001585698.1.p1	XM_016740821.1.p1
OG0000045	XM_001596367.1.p1	XM_016748229.1.p1
OG0000046	XM_001586463.1.p1	XM_016742693.1.p1
OG0000046	XM_001586462.1.p1	XM_016746019.1.p1
OG0000046	XM_001594665.1.p1	XM_016745708.1.p1
OG0000048	XM_001597604.1.p1	XM_016744078.1.p1
OG0000048	XM_001594212.1.p1	XM_016741288.1.p1
OG0000048	XM_001589336.1.p1	XM_016737608.1.p1
OG0000048	XM_001586792.1.p1	XM_016745090.1.p1
OG0000049	XM_001593236.1.p1	XM_016745485.1.p1
OG0000049	XM_001598398.1.p1	XM_016743998.1.p1
OG0000049	XM_001598697.1.p1	XM_016744391.1.p1, XM_016744141.1.p1
OG0000049	XM_001596788.1.p1	XM_016743272.1.p1
OG0000050	XM_001585954.1.p1	XM_016745232.1.p1
OG0000050	XM_001594907.1.p1	XM_016740640.1.p1, XM_016744263.1.p1, XM_016741401.1.p1
OG0000050	XM_001598548.1.p1	XM_016743047.1.p1
OG0000051	XM_001589798.1.p1	XM_016746015.1.p1
OG0000051	XM_001598899.1.p1	XM_016746940.1.p1
OG0000051	XM_001590870.1.p1	XM_016738647.1.p1
OG0000051	XM_001587951.1.p1	XM_016741832.1.p1
OG0000051	XM_001596631.1.p1	XM_016737968.1.p1
OG0000051	XM_001585247.1.p1	XM_016748046.1.p1
OG0000052	XM_001585446.1.p1	XM_016744974.1.p1
OG0000052	XM_001595011.1.p1	XM_016745712.1.p1
OG0000052	XM_001598643.1.p1	XM_016743136.1.p1
OG0000053	XM_001588399.1.p1	XM_016747693.1.p1, XM_016739172.1.p1
OG0000053	XM_001590608.1.p1	XM_016741656.1.p1
OG0000053	XM_001597556.1.p1	XM_016746035.1.p1
OG0000054	XM_001595945.1.p1	XM_016748168.1.p1
OG0000054	XM_001589469.1.p1	XM_016744242.1.p1, XM_016741066.1.p1, XM_016743907.1.p1
OG0000054	XM_001588876.1.p1	XM_016746065.1.p1
OG0000054	XM_001596090.1.p1	XM_016744240.1.p1
OG0000054	XM_001597751.1.p1	XM_016743860.1.p1, XM_016748233.1.p1, XM_016738884.1.p1, XM_016738308.1.p1
OG0000055	XM_001589853.1.p1	XM_016745625.1.p1
OG0000055	XM_001587585.1.p1	XM_016740056.1.p1, XM_016744126.1.p1, XM_016743170.1.p1, XM_016746760.1.p1
OG0000055	XM_001586322.1.p1	XM_016746862.1.p1
OG0000055	XM_001593073.1.p1	XM_016744903.1.p1, XM_016739796.1.p1, XM_016738243.1.p1, XM_016737279.1.p1
OG0000056	XM_001591650.1.p1	XM_016740872.1.p1
OG0000056	XM_001593553.1.p1	XM_016739532.1.p1
OG0000056	XM_001591666.1.p1	XM_016737701.1.p1
OG0000056	XM_001591171.1.p1	XM_016741403.1.p1
OG0000056	XM_001584923.1.p1	XM_016740408.1.p1
OG0000056	XM_001593890.1.p1	XM_016744645.1.p1, XM_016748158.1.p1
OG0000058	XM_001597998.1.p1	XM_016740657.1.p1
OG0000058	XM_001596000.1.p1	XM_016737721.1.p1
OG0000058	XM_001592674.1.p1	XM_016745727.1.p1
OG0000058	XM_001589509.1.p1	XM_016745065.1.p1
OG0000058	XM_001589061.1.p1	XM_016746733.1.p1
OG0000059	XM_001596874.1.p1	XM_016744032.1.p1
OG0000059	XM_001590905.1.p1	XM_016737761.1.p1
OG0000059	XM_001591046.1.p1, XM_001595946.1.p1	XM_016747652.1.p1
OG0000059	XM_001585108.1.p1	XM_016742271.1.p1, XM_016744761.1.p1
OG0000060	XM_001592814.1.p1	XM_016738755.1.p1
OG0000060	XM_001589077.1.p1	XM_016738645.1.p1
OG0000060	XM_001595874.1.p1	XM_016738067.1.p1
OG0000060	XM_001593026.1.p1	XM_016737970.1.p1, XM_016741749.1.p1
OG0000061	XM_001587436.1.p1	XM_016737997.1.p1
OG0000062	XM_001595980.1.p1	XM_016737756.1.p1
OG0000062	XM_001592845.1.p1	XM_016747949.1.p1, XM_016745334.1.p1, XM_016742458.1.p1
OG0000062	XM_001595701.1.p1	XM_016740584.1.p1
OG0000063	XM_001589189.1.p1, XM_001594922.1.p1	XM_016746476.1.p1
OG0000064	XM_001585209.1.p1	XM_016747466.1.p1
OG0000064	XM_001585305.1.p1	XM_016738356.1.p1
OG0000064	XM_001594438.1.p1	XM_016737672.1.p1, XM_016744745.1.p1
OG0000065	XM_001598587.1.p1	XM_016745330.1.p1
OG0000065	XM_001596415.1.p1	XM_016743820.1.p1, XM_016740390.1.p1
OG0000065	XM_001593635.1.p1	XM_016745660.1.p1, XM_016739717.1.p1
OG0000065	XM_001597774.1.p1, XM_001598590.1.p1	XM_016744763.1.p1
OG0000066	XM_001592949.1.p1	XM_016740230.1.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	XM_016745406.1.p1
OG0000069	XM_001590565.1.p1	XM_016744110.1.p1
OG0000069	XM_001597778.1.p1	XM_016741797.1.p1
OG0000069	XM_001589598.1.p1	XM_016742433.1.p1
OG0000069	XM_001585779.1.p1	XM_016746106.1.p1
OG0000070	XM_001598556.1.p1	XM_016744657.1.p1
OG0000070	XM_001587941.1.p1	XM_016747183.1.p1
OG0000070	XM_001588423.1.p1	XM_016746615.1.p1
OG0000071	XM_001593511.1.p1	XM_016745769.1.p1
OG0000071	XM_001593038.1.p1	XM_016745730.1.p1
OG0000071	XM_001587924.1.p1	XM_016742958.1.p1
OG0000071	XM_001593312.1.p1	XM_016738571.1.p1, XM_016740999.1.p1
OG0000072	XM_001585746.1.p1	XM_016741842.1.p1
OG0000072	XM_001591150.1.p1	XM_016740332.1.p1
OG0000072	XM_001590639.1.p1	XM_016739600.1.p1
OG0000072	XM_001589810.1.p1	XM_016738139.1.p1, XM_016740580.1.p1
OG0000073	XM_001591346.1.p1, XM_001596564.1.p1, XM_001588518.1.p1, XM_001592346.1.p1, XM_001589432.1.p1, XM_001586390.1.p1, XM_001586364.1.p1, XM_001588285.1.p1, XM_001591681.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1, XM_001598368.1.p1, XM_001589547.1.p1, XM_001587031.1.p1, XM_001597254.1.p1, XM_001594006.1.p1, XM_001585046.1.p1, XM_001587043.1.p1, XM_001598359.1.p1, XM_001587465.1.p1, XM_001591370.1.p1, XM_001589576.1.p1, XM_001593440.1.p1, XM_001591652.1.p1, XM_001589130.1.p1, XM_001588425.1.p1, XM_001585810.1.p1, XM_001589755.1.p1, XM_001584981.1.p1	XM_016743382.1.p1
OG0000075	XM_001589867.1.p1	XM_016747026.1.p1
OG0000076	XM_001595074.1.p1	XM_016738817.1.p1
OG0000076	XM_001597093.1.p1	XM_016737659.1.p1
OG0000076	XM_001589714.1.p1	XM_016746567.1.p1
OG0000076	XM_001587341.1.p1	XM_016742653.1.p1
OG0000077	XM_001591303.1.p1	XM_016745074.1.p1
OG0000077	XM_001592929.1.p1	XM_016743978.1.p1, XM_016740183.1.p1
OG0000078	XM_001594013.1.p1	XM_016737753.1.p1
OG0000078	XM_001597054.1.p1	XM_016747651.1.p1, XM_016740179.1.p1
OG0000078	XM_001595455.1.p1, XM_001588491.1.p1	XM_016744631.1.p1
OG0000079	XM_001596030.1.p1	XM_016748160.1.p1, XM_016738731.1.p1
OG0000079	XM_001591730.1.p1	XM_016745393.1.p1
OG0000079	XM_001598063.1.p1	XM_016745897.1.p1
OG0000079	XM_001590997.1.p1	XM_016737319.1.p1
OG0000080	XM_001597918.1.p1	XM_016743909.1.p1, XM_016743874.1.p1
OG0000081	XM_001592987.1.p1	XM_016741559.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_016738564.1.p1
OG0000081	XM_001593006.1.p1	XM_016746151.1.p1
OG0000082	XM_001590030.1.p1	XM_016738177.1.p1
OG0000082	XM_001595339.1.p1	XM_016746956.1.p1
OG0000082	XM_001594647.1.p1	XM_016747586.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_016740309.1.p1
OG0000087	XM_001595355.1.p1	XM_016745928.1.p1
OG0000087	XM_001598496.1.p1	XM_016744279.1.p1
OG0000087	XM_001597703.1.p1	XM_016741222.1.p1
OG0000088	XM_001586938.1.p1	XM_016742115.1.p1, XM_016743000.1.p1, XM_016745653.1.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	XM_016739958.1.p1
OG0000088	XM_001596104.1.p1	XM_016738392.1.p1
OG0000088	XM_001588755.1.p1	XM_016740382.1.p1
OG0000089	XM_001591699.1.p1	XM_016744980.1.p1
OG0000090	XM_001594729.1.p1	XM_016743562.1.p1
OG0000090	XM_001595265.1.p1	XM_016743146.1.p1
OG0000091	XM_001598502.1.p1	XM_016741314.1.p1
OG0000091	XM_001591770.1.p1	XM_016740002.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1	XM_016739038.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_016740029.1.p1
OG0000094	XM_001589274.1.p1	XM_016737999.1.p1
OG0000094	XM_001594932.1.p1	XM_016747692.1.p1
OG0000094	XM_001596520.1.p1	XM_016747954.1.p1, XM_016745428.1.p1, XM_016746696.1.p1
OG0000094	XM_001592044.1.p1	XM_016745447.1.p1
OG0000095	XM_001593952.1.p1	XM_016743584.1.p1
OG0000095	XM_001596701.1.p1	XM_016737602.1.p1
OG0000096	XM_001590839.1.p1	XM_016745980.1.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1	XM_016745307.1.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	XM_016739062.1.p1, XM_016748240.1.p1, XM_016745311.1.p1, XM_016739642.1.p1, XM_016744819.1.p1
OG0000099	XM_001597745.1.p1	XM_016743669.1.p1, XM_016744514.1.p1, XM_016744203.1.p1, XM_016742893.1.p1, XM_016740099.1.p1, XM_016739784.1.p1
OG0000100	XM_001594288.1.p1	XM_016742919.1.p1
OG0000102	XM_001598599.1.p1	XM_016745002.1.p1
OG0000102	XM_001596645.1.p1	XM_016741075.1.p1
OG0000103	XM_001596956.1.p1	XM_016747418.1.p1
OG0000103	XM_001588403.1.p1	XM_016738926.1.p1
OG0000103	XM_001598588.1.p1	XM_016745811.1.p1, XM_016738180.1.p1, XM_016740801.1.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1	XM_016747631.1.p1
OG0000104	XM_001592112.1.p1	XM_016745331.1.p1
OG0000104	XM_001589359.1.p1	XM_016739474.1.p1, XM_016744415.1.p1
OG0000105	XM_001595490.1.p1	XM_016737887.1.p1
OG0000105	XM_001595043.1.p1	XM_016738803.1.p1
OG0000106	XM_001588849.1.p1	XM_016743908.1.p1, XM_016740800.1.p1
OG0000106	XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1	XM_016743171.1.p1, XM_016739305.1.p1
OG0000107	XM_001592404.1.p1	XM_016740114.1.p1
OG0000109	XM_001598413.1.p1	XM_016740984.1.p1
OG0000110	XM_001598036.1.p1	XM_016747019.1.p1
OG0000111	XM_001590699.1.p1	XM_016740207.1.p1
OG0000111	XM_001590723.1.p1	XM_016746069.1.p1
OG0000111	XM_001585540.1.p1	XM_016740150.1.p1
OG0000112	XM_001591772.1.p1	XM_016742953.1.p1
OG0000112	XM_001593481.1.p1	XM_016742074.1.p1
OG0000112	XM_001589454.1.p1	XM_016745203.1.p1
OG0000113	XM_001598286.1.p1	XM_016744817.1.p1
OG0000113	XM_001589093.1.p1	XM_016748113.1.p1
OG0000113	XM_001596658.1.p1	XM_016741220.1.p1
OG0000114	XM_001595727.1.p1	XM_016739729.1.p1
OG0000114	XM_001595917.1.p1	XM_016740586.1.p1
OG0000114	XM_001596499.1.p1	XM_016742323.1.p1
OG0000114	XM_001592280.1.p1	XM_016738153.1.p1
OG0000115	XM_001591022.1.p1, XM_001593828.1.p1, XM_001591024.1.p1	XM_016745849.1.p1
OG0000119	XM_001585226.1.p1	XM_016742493.1.p1
OG0000119	XM_001596045.1.p1	XM_016739850.1.p1
OG0000119	XM_001588524.1.p1	XM_016739544.1.p1
OG0000120	XM_001592152.1.p1	XM_016744099.1.p1, XM_016744223.1.p1, XM_016745609.1.p1
OG0000121	XM_001585347.1.p1	XM_016741429.1.p1
OG0000121	XM_001585231.1.p1	XM_016740181.1.p1, XM_016740428.1.p1
OG0000121	XM_001588843.1.p1	XM_016747018.1.p1
OG0000122	XM_001595033.1.p1	XM_016744534.1.p1
OG0000122	XM_001585288.1.p1	XM_016739435.1.p1
OG0000123	XM_001590327.1.p1	XM_016739593.1.p1
