Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Alternaria_alternata_rna_prot
OG0000007	XM_001593251.1.p1	XM_018525206.1.p1
OG0000008	XM_001591041.1.p1	XM_018534564.1.p1, XM_018531177.1.p1, XM_018534784.1.p1, XM_018531861.1.p1
OG0000008	XM_001595644.1.p1	XM_018528254.1.p1
OG0000008	XM_001590874.1.p1, XM_001587361.1.p1, XM_001595457.1.p1, XM_001585175.1.p1	XM_018529251.1.p1
OG0000008	XM_001591599.1.p1	XM_018526867.1.p1, XM_018523372.1.p1, XM_018535935.1.p1
OG0000008	XM_001591200.1.p1, XM_001595300.1.p1, XM_001589676.1.p1	XM_018526423.1.p1
OG0000008	XM_001592284.1.p1	XM_018535052.1.p1
OG0000008	XM_001589064.1.p1	XM_018532175.1.p1
OG0000009	XM_001587822.1.p1	XM_018531383.1.p1
OG0000009	XM_001591183.1.p1	XM_018530908.1.p1
OG0000009	XM_001586155.1.p1	XM_018536528.1.p1
OG0000009	XM_001593815.1.p1	XM_018533365.1.p1
OG0000009	XM_001592056.1.p1	XM_018534932.1.p1
OG0000009	XM_001584585.1.p1	XM_018529847.1.p1
OG0000009	XM_001584955.1.p1	XM_018531777.1.p1
OG0000010	XM_001587851.1.p1	XM_018526235.1.p1, XM_018536199.1.p1, XM_018536006.1.p1
OG0000010	XM_001589139.1.p1	XM_018526958.1.p1
OG0000010	XM_001590585.1.p1	XM_018536571.1.p1
OG0000010	XM_001592407.1.p1	XM_018535347.1.p1
OG0000010	XM_001598213.1.p1	XM_018527074.1.p1
OG0000011	XM_001598486.1.p1	XM_018528486.1.p1
OG0000011	XM_001589489.1.p1	XM_018528130.1.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	XM_018533427.1.p1
OG0000011	XM_001591956.1.p1	XM_018529800.1.p1
OG0000012	XM_001586083.1.p1	XM_018533992.1.p1, XM_018526511.1.p1
OG0000013	XM_001584703.1.p1	XM_018525566.1.p1
OG0000013	XM_001588453.1.p1	XM_018536126.1.p1, XM_018535546.1.p1, XM_018525944.1.p1, XM_018531854.1.p1, XM_018527067.1.p1
OG0000013	XM_001593161.1.p1	XM_018527234.1.p1, XM_018525670.1.p1
OG0000013	XM_001596549.1.p1	XM_018527836.1.p1
OG0000014	XM_001588020.1.p1	XM_018526912.1.p1
OG0000014	XM_001588022.1.p1	XM_018532890.1.p1
OG0000014	XM_001592509.1.p1	XM_018527756.1.p1
OG0000014	XM_001592890.1.p1	XM_018534653.1.p1
OG0000014	XM_001596332.1.p1	XM_018535970.1.p1, XM_018527348.1.p1
OG0000014	XM_001596474.1.p1	XM_018524446.1.p1, XM_018530698.1.p1, XM_018535727.1.p1, XM_018535118.1.p1, XM_018532728.1.p1, XM_018527749.1.p1, XM_018532107.1.p1, XM_018534436.1.p1, XM_018534448.1.p1, XM_018527602.1.p1, XM_018533203.1.p1, XM_018527243.1.p1
OG0000014	XM_001596618.1.p1	XM_018532154.1.p1, XM_018526093.1.p1
OG0000014	XM_001596813.1.p1	XM_018529685.1.p1
OG0000015	XM_001586983.1.p1	XM_018532588.1.p1
OG0000015	XM_001596690.1.p1	XM_018526431.1.p1, XM_018534887.1.p1
OG0000015	XM_001590640.1.p1	XM_018536521.1.p1
OG0000015	XM_001587535.1.p1	XM_018535964.1.p1
OG0000015	XM_001586348.1.p1	XM_018535432.1.p1
OG0000015	XM_001596393.1.p1	XM_018527049.1.p1
OG0000016	XM_001590858.1.p1	XM_018531557.1.p1
OG0000018	XM_001598881.1.p1	XM_018531222.1.p1
OG0000018	XM_001585047.1.p1	XM_018527546.1.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	XM_018530295.1.p1
OG0000018	XM_001593239.1.p1	XM_018527201.1.p1
OG0000018	XM_001585013.1.p1	XM_018531906.1.p1, XM_018527392.1.p1
OG0000018	XM_001591684.1.p1	XM_018526851.1.p1
OG0000018	XM_001585991.1.p1	XM_018533127.1.p1
OG0000019	XM_001594911.1.p1	XM_018527913.1.p1
OG0000019	XM_001591415.1.p1	XM_018531910.1.p1
OG0000020	XM_001590645.1.p1	XM_018529908.1.p1
OG0000020	XM_001584630.1.p1	XM_018532701.1.p1
OG0000020	XM_001586311.1.p1	XM_018536186.1.p1
OG0000020	XM_001587118.1.p1	XM_018532887.1.p1
OG0000020	XM_001592517.1.p1	XM_018535132.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1	XM_018530925.1.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	XM_018534777.1.p1
OG0000021	XM_001589138.1.p1	XM_018531382.1.p1, XM_018529311.1.p1
OG0000021	XM_001590703.1.p1	XM_018526662.1.p1
OG0000021	XM_001590981.1.p1	XM_018526833.1.p1
OG0000021	XM_001586980.1.p1	XM_018531173.1.p1
OG0000021	XM_001589480.1.p1	XM_018532198.1.p1
OG0000022	XM_001589348.1.p1	XM_018534641.1.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	XM_018529296.1.p1, XM_018534018.1.p1
OG0000023	XM_001592654.1.p1, XM_001587468.1.p1, XM_001584499.1.p1, XM_001591377.1.p1, XM_001585807.1.p1, XM_001584498.1.p1	XM_018535896.1.p1
OG0000023	XM_001594049.1.p1, XM_001590155.1.p1	XM_018523955.1.p1, XM_018525321.1.p1
OG0000023	XM_001592564.1.p1	XM_018528772.1.p1
OG0000023	XM_001598705.1.p1	XM_018531064.1.p1
OG0000023	XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1	XM_018531848.1.p1
OG0000025	XM_001597796.1.p1	XM_018532084.1.p1, XM_018529475.1.p1
OG0000025	XM_001594625.1.p1	XM_018527143.1.p1
OG0000025	XM_001592424.1.p1	XM_018526597.1.p1
OG0000025	XM_001585370.1.p1	XM_018535408.1.p1, XM_018533078.1.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	XM_018532002.1.p1
OG0000026	XM_001597279.1.p1	XM_018527929.1.p1
OG0000026	XM_001594416.1.p1	XM_018531470.1.p1, XM_018531310.1.p1, XM_018532829.1.p1
OG0000027	XM_001584646.1.p1	XM_018526463.1.p1
OG0000027	XM_001596426.1.p1	XM_018529238.1.p1, XM_018530858.1.p1, XM_018527361.1.p1
OG0000027	XM_001594266.1.p1	XM_018534938.1.p1
OG0000027	XM_001594817.1.p1, XM_001596322.1.p1	XM_018535040.1.p1
OG0000029	XM_001592206.1.p1	XM_018531521.1.p1
OG0000029	XM_001592449.1.p1	XM_018535303.1.p1
OG0000029	XM_001592457.1.p1	XM_018524717.1.p1
OG0000029	XM_001586393.1.p1	XM_018524920.1.p1
OG0000029	XM_001589831.1.p1	XM_018525535.1.p1
OG0000029	XM_001590306.1.p1	XM_018525437.1.p1
OG0000031	XM_001589524.1.p1	XM_018530839.1.p1
OG0000031	XM_001586174.1.p1	XM_018524915.1.p1
OG0000031	XM_001587417.1.p1	XM_018529930.1.p1
OG0000032	XM_001588011.1.p1	XM_018530982.1.p1, XM_018528045.1.p1
OG0000032	XM_001587657.1.p1	XM_018534147.1.p1
OG0000032	XM_001592925.1.p1	XM_018531613.1.p1
OG0000032	XM_001593976.1.p1	XM_018529392.1.p1
OG0000032	XM_001586473.1.p1, XM_001598634.1.p1	XM_018532322.1.p1
OG0000033	XM_001597976.1.p1	XM_018531080.1.p1, XM_018527941.1.p1
OG0000033	XM_001588486.1.p1	XM_018530514.1.p1
OG0000033	XM_001587873.1.p1	XM_018529792.1.p1, XM_018523161.1.p1
OG0000033	XM_001593801.1.p1	XM_018528392.1.p1, XM_018536373.1.p1, XM_018535694.1.p1, XM_018528907.1.p1
OG0000033	XM_001596148.1.p1	XM_018532160.1.p1
OG0000033	XM_001596320.1.p1	XM_018528989.1.p1, XM_018530079.1.p1
OG0000033	XM_001587869.1.p1	XM_018528283.1.p1
OG0000034	XM_001590944.1.p1	XM_018529894.1.p1
OG0000034	XM_001589027.1.p1	XM_018527646.1.p1
OG0000034	XM_001586378.1.p1	XM_018526530.1.p1
OG0000034	XM_001588815.1.p1	XM_018523709.1.p1
OG0000034	XM_001593688.1.p1	XM_018523668.1.p1
OG0000035	XM_001589899.1.p1	XM_018530986.1.p1, XM_018525705.1.p1
OG0000035	XM_001591966.1.p1	XM_018525231.1.p1
OG0000035	XM_001587431.1.p1	XM_018532505.1.p1
OG0000036	XM_001593179.1.p1	XM_018524711.1.p1, XM_018526679.1.p1
OG0000036	XM_001592844.1.p1	XM_018524542.1.p1
OG0000037	XM_001595699.1.p1	XM_018529287.1.p1
OG0000037	XM_001585740.1.p1	XM_018525573.1.p1
OG0000038	XM_001597383.1.p1	XM_018534680.1.p1, XM_018525381.1.p1
OG0000038	XM_001585894.1.p1	XM_018527344.1.p1
OG0000038	XM_001586848.1.p1	XM_018535364.1.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1, XM_001593634.1.p1	XM_018534139.1.p1
OG0000038	XM_001590964.1.p1	XM_018534250.1.p1
OG0000039	XM_001594345.1.p1	XM_018529496.1.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	XM_018529609.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1	XM_018528521.1.p1
OG0000040	XM_001587209.1.p1	XM_018526384.1.p1
OG0000040	XM_001589882.1.p1	XM_018525048.1.p1
OG0000041	XM_001593646.1.p1	XM_018530631.1.p1
OG0000041	XM_001592709.1.p1	XM_018535435.1.p1
OG0000041	XM_001592613.1.p1	XM_018523493.1.p1
OG0000041	XM_001585351.1.p1	XM_018535734.1.p1
OG0000042	XM_001595143.1.p1	XM_018525767.1.p1
OG0000043	XM_001597597.1.p1	XM_018534319.1.p1
OG0000043	XM_001595893.1.p1	XM_018532869.1.p1
OG0000043	XM_001596074.1.p1	XM_018524952.1.p1
OG0000043	XM_001597513.1.p1	XM_018531637.1.p1
OG0000045	XM_001587065.1.p1	XM_018534885.1.p1
OG0000045	XM_001584886.1.p1	XM_018529898.1.p1
OG0000045	XM_001596031.1.p1	XM_018534712.1.p1
OG0000045	XM_001596126.1.p1	XM_018530014.1.p1
OG0000045	XM_001585380.1.p1	XM_018527839.1.p1
OG0000046	XM_001586463.1.p1	XM_018527089.1.p1
OG0000046	XM_001586462.1.p1	XM_018534449.1.p1
OG0000046	XM_001587340.1.p1	XM_018531651.1.p1
OG0000048	XM_001597604.1.p1	XM_018534331.1.p1
OG0000048	XM_001598119.1.p1	XM_018534525.1.p1
OG0000048	XM_001594212.1.p1	XM_018524950.1.p1
OG0000048	XM_001589336.1.p1	XM_018524833.1.p1
OG0000048	XM_001586792.1.p1	XM_018528025.1.p1
OG0000049	XM_001598398.1.p1	XM_018533932.1.p1
OG0000049	XM_001591282.1.p1	XM_018526725.1.p1
OG0000049	XM_001593385.1.p1	XM_018534835.1.p1, XM_018530797.1.p1
OG0000050	XM_001598547.1.p1	XM_018532965.1.p1
OG0000050	XM_001585954.1.p1	XM_018532626.1.p1
OG0000050	XM_001594907.1.p1	XM_018534822.1.p1
OG0000050	XM_001598548.1.p1	XM_018534162.1.p1
OG0000051	XM_001589798.1.p1	XM_018535598.1.p1
OG0000051	XM_001598899.1.p1	XM_018533737.1.p1
OG0000051	XM_001590870.1.p1	XM_018524259.1.p1
OG0000051	XM_001587951.1.p1	XM_018535133.1.p1
OG0000051	XM_001585247.1.p1	XM_018525088.1.p1
OG0000052	XM_001585446.1.p1	XM_018524802.1.p1
OG0000052	XM_001595011.1.p1	XM_018525796.1.p1
OG0000052	XM_001598643.1.p1	XM_018529091.1.p1
OG0000053	XM_001588399.1.p1	XM_018534832.1.p1
OG0000053	XM_001597556.1.p1	XM_018535113.1.p1
OG0000054	XM_001597561.1.p1, XM_001589674.1.p1, XM_001591602.1.p1, XM_001592632.1.p1	XM_018527013.1.p1
OG0000054	XM_001595452.1.p1, XM_001596090.1.p1, XM_001597548.1.p1	XM_018529826.1.p1
OG0000054	XM_001587362.1.p1	XM_018528949.1.p1
OG0000055	XM_001589853.1.p1	XM_018531043.1.p1
OG0000055	XM_001587585.1.p1	XM_018534185.1.p1
OG0000055	XM_001586322.1.p1	XM_018535313.1.p1
OG0000055	XM_001593073.1.p1	XM_018526944.1.p1, XM_018526806.1.p1
OG0000056	XM_001591650.1.p1	XM_018524587.1.p1
OG0000056	XM_001593553.1.p1	XM_018531246.1.p1
OG0000056	XM_001591666.1.p1	XM_018535404.1.p1
OG0000056	XM_001584923.1.p1	XM_018533048.1.p1
OG0000056	XM_001593890.1.p1	XM_018529059.1.p1, XM_018526448.1.p1
OG0000058	XM_001597998.1.p1	XM_018533063.1.p1
OG0000058	XM_001596000.1.p1	XM_018525929.1.p1
OG0000058	XM_001592674.1.p1	XM_018524872.1.p1
OG0000058	XM_001589509.1.p1	XM_018535984.1.p1
OG0000058	XM_001589061.1.p1	XM_018526475.1.p1
OG0000059	XM_001590905.1.p1	XM_018535272.1.p1
OG0000059	XM_001591046.1.p1, XM_001595946.1.p1	XM_018525790.1.p1
OG0000059	XM_001595855.1.p1	XM_018529731.1.p1
OG0000059	XM_001585108.1.p1	XM_018531559.1.p1, XM_018528527.1.p1, XM_018532780.1.p1, XM_018530275.1.p1, XM_018536299.1.p1, XM_018532048.1.p1
OG0000060	XM_001589077.1.p1	XM_018528953.1.p1
OG0000060	XM_001593026.1.p1	XM_018530165.1.p1
OG0000061	XM_001590859.1.p1	XM_018531558.1.p1
OG0000062	XM_001595980.1.p1	XM_018532806.1.p1
OG0000062	XM_001595701.1.p1	XM_018530434.1.p1
OG0000063	XM_001589189.1.p1	XM_018533888.1.p1, XM_018535327.1.p1
OG0000063	XM_001594922.1.p1	XM_018535311.1.p1
OG0000064	XM_001585209.1.p1	XM_018526720.1.p1
OG0000064	XM_001585305.1.p1	XM_018531661.1.p1
OG0000064	XM_001594438.1.p1	XM_018535750.1.p1
OG0000065	XM_001590788.1.p1	XM_018533382.1.p1
OG0000065	XM_001596415.1.p1	XM_018530676.1.p1
OG0000065	XM_001593635.1.p1	XM_018531749.1.p1
OG0000069	XM_001589598.1.p1	XM_018524331.1.p1
OG0000070	XM_001598556.1.p1	XM_018535780.1.p1
OG0000071	XM_001593511.1.p1	XM_018523296.1.p1
OG0000071	XM_001593038.1.p1	XM_018536346.1.p1, XM_018524855.1.p1
OG0000071	XM_001587924.1.p1	XM_018526220.1.p1
OG0000071	XM_001593312.1.p1	XM_018525658.1.p1
OG0000072	XM_001590639.1.p1	XM_018531583.1.p1
OG0000072	XM_001589810.1.p1	XM_018527566.1.p1
OG0000075	XM_001596825.1.p1	XM_018528789.1.p1, XM_018529128.1.p1
OG0000075	XM_001589867.1.p1	XM_018531372.1.p1
OG0000076	XM_001595074.1.p1	XM_018524585.1.p1
OG0000076	XM_001597093.1.p1	XM_018526716.1.p1
OG0000076	XM_001589714.1.p1	XM_018535729.1.p1
OG0000076	XM_001587341.1.p1	XM_018528906.1.p1
OG0000077	XM_001591303.1.p1	XM_018531837.1.p1
OG0000077	XM_001592929.1.p1	XM_018528910.1.p1, XM_018524085.1.p1
OG0000077	XM_001585590.1.p1	XM_018532742.1.p1
OG0000078	XM_001594013.1.p1	XM_018526455.1.p1
OG0000078	XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	XM_018532282.1.p1
OG0000079	XM_001596030.1.p1	XM_018523190.1.p1
OG0000079	XM_001591730.1.p1	XM_018533771.1.p1
OG0000079	XM_001598063.1.p1	XM_018525240.1.p1
OG0000079	XM_001590997.1.p1	XM_018534230.1.p1
OG0000080	XM_001597918.1.p1	XM_018532715.1.p1, XM_018524842.1.p1
OG0000081	XM_001592987.1.p1	XM_018535153.1.p1
OG0000081	XM_001586053.1.p1	XM_018525968.1.p1
OG0000081	XM_001589644.1.p1	XM_018532228.1.p1
OG0000081	XM_001593006.1.p1	XM_018527798.1.p1
OG0000082	XM_001587987.1.p1	XM_018533009.1.p1
OG0000082	XM_001590030.1.p1	XM_018528152.1.p1
OG0000082	XM_001595339.1.p1	XM_018528472.1.p1
OG0000082	XM_001594647.1.p1	XM_018534113.1.p1
OG0000085	XM_001598503.1.p1	XM_018526244.1.p1, XM_018528069.1.p1, XM_018526949.1.p1
OG0000085	XM_001598129.1.p1, XM_001592458.1.p1	XM_018524359.1.p1, XM_018529356.1.p1
OG0000087	XM_001595355.1.p1	XM_018524510.1.p1
OG0000087	XM_001586321.1.p1	XM_018529401.1.p1
OG0000087	XM_001598496.1.p1	XM_018530203.1.p1
OG0000087	XM_001597703.1.p1	XM_018534420.1.p1
OG0000088	XM_001586938.1.p1	XM_018526422.1.p1, XM_018527373.1.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	XM_018531321.1.p1
OG0000088	XM_001596104.1.p1	XM_018533706.1.p1
OG0000088	XM_001588755.1.p1	XM_018535773.1.p1
OG0000088	XM_001584513.1.p1	XM_018527141.1.p1
OG0000089	XM_001591699.1.p1	XM_018532770.1.p1
OG0000089	XM_001598564.1.p1, XM_001584621.1.p1	XM_018526745.1.p1
OG0000090	XM_001592643.1.p1, XM_001594729.1.p1	XM_018523155.1.p1
OG0000090	XM_001594001.1.p1	XM_018536388.1.p1
OG0000091	XM_001598502.1.p1	XM_018536180.1.p1
OG0000092	XM_001591109.1.p1	XM_018527478.1.p1
OG0000092	XM_001598670.1.p1	XM_018528444.1.p1, XM_018534486.1.p1, XM_018530587.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1	XM_018528687.1.p1, XM_018528108.1.p1
OG0000092	XM_001588329.1.p1	XM_018530700.1.p1
OG0000093	XM_001598888.1.p1	XM_018536198.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_018523163.1.p1
OG0000094	XM_001589274.1.p1	XM_018525413.1.p1
OG0000094	XM_001594932.1.p1	XM_018526916.1.p1
OG0000094	XM_001592044.1.p1	XM_018527417.1.p1
OG0000094	XM_001591784.1.p1	XM_018536341.1.p1
OG0000094	XM_001591526.1.p1	XM_018535395.1.p1
OG0000095	XM_001593952.1.p1	XM_018533889.1.p1
OG0000095	XM_001596701.1.p1	XM_018535010.1.p1
OG0000096	XM_001587422.1.p1	XM_018523678.1.p1
OG0000096	XM_001590839.1.p1	XM_018525109.1.p1
OG0000097	XM_001587536.1.p1	XM_018533047.1.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1	XM_018534693.1.p1, XM_018529416.1.p1, XM_018526902.1.p1
OG0000097	XM_001584550.1.p1	XM_018525914.1.p1
OG0000099	XM_001597745.1.p1	XM_018523487.1.p1, XM_018525900.1.p1, XM_018534071.1.p1
OG0000100	XM_001594288.1.p1	XM_018529229.1.p1
OG0000102	XM_001598599.1.p1	XM_018532767.1.p1
OG0000102	XM_001594196.1.p1	XM_018533374.1.p1
OG0000102	XM_001588472.1.p1	XM_018527549.1.p1
OG0000103	XM_001596956.1.p1	XM_018534605.1.p1, XM_018529114.1.p1, XM_018524731.1.p1
OG0000103	XM_001588403.1.p1	XM_018530730.1.p1
OG0000104	XM_001586898.1.p1	XM_018523260.1.p1
OG0000105	XM_001593851.1.p1	XM_018533205.1.p1
OG0000105	XM_001595490.1.p1	XM_018534511.1.p1
OG0000105	XM_001595043.1.p1	XM_018523409.1.p1
OG0000106	XM_001588849.1.p1	XM_018531520.1.p1, XM_018527650.1.p1, XM_018531858.1.p1
OG0000106	XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1	XM_018532688.1.p1, XM_018523444.1.p1
OG0000107	XM_001584783.1.p1	XM_018532039.1.p1
OG0000107	XM_001589423.1.p1	XM_018526627.1.p1
OG0000107	XM_001592404.1.p1	XM_018525820.1.p1
OG0000108	XM_001596312.1.p1	XM_018524118.1.p1
OG0000108	XM_001593720.1.p1	XM_018535904.1.p1
OG0000109	XM_001598413.1.p1	XM_018532647.1.p1
OG0000110	XM_001598036.1.p1	XM_018535860.1.p1
OG0000110	XM_001598742.1.p1	XM_018524274.1.p1
OG0000110	XM_001598035.1.p1	XM_018525052.1.p1
OG0000111	XM_001590699.1.p1	XM_018525076.1.p1
OG0000111	XM_001590723.1.p1	XM_018527213.1.p1
OG0000111	XM_001590630.1.p1	XM_018530776.1.p1
OG0000111	XM_001585540.1.p1	XM_018526248.1.p1
OG0000112	XM_001593481.1.p1	XM_018534152.1.p1
OG0000112	XM_001589454.1.p1	XM_018535196.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_018535200.1.p1
OG0000113	XM_001598286.1.p1	XM_018525257.1.p1
OG0000113	XM_001589093.1.p1	XM_018529593.1.p1
OG0000113	XM_001587022.1.p1	XM_018536466.1.p1
OG0000113	XM_001596658.1.p1	XM_018531667.1.p1
OG0000114	XM_001595727.1.p1	XM_018525442.1.p1
OG0000114	XM_001595917.1.p1	XM_018534961.1.p1
OG0000114	XM_001596499.1.p1	XM_018531835.1.p1
OG0000114	XM_001592280.1.p1	XM_018534997.1.p1
OG0000119	XM_001596045.1.p1	XM_018523992.1.p1
OG0000119	XM_001588524.1.p1	XM_018525883.1.p1
OG0000120	XM_001592152.1.p1	XM_018530483.1.p1, XM_018526721.1.p1, XM_018532199.1.p1, XM_018534483.1.p1, XM_018528888.1.p1, XM_018535718.1.p1
OG0000120	XM_001594503.1.p1	XM_018529845.1.p1, XM_018529188.1.p1
OG0000120	XM_001590352.1.p1	XM_018534091.1.p1
OG0000121	XM_001588843.1.p1	XM_018528260.1.p1
OG0000121	XM_001595985.1.p1	XM_018534842.1.p1
OG0000122	XM_001595033.1.p1	XM_018525367.1.p1
OG0000122	XM_001585288.1.p1	XM_018523237.1.p1
OG0000123	XM_001592460.1.p1	XM_018525132.1.p1, XM_018527594.1.p1
OG0000123	XM_001590327.1.p1	XM_018534048.1.p1
OG0000123	XM_001598819.1.p1	XM_018530677.1.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1	XM_018530359.1.p1
OG0000126	XM_001589851.1.p1	XM_018533880.1.p1
OG0000126	XM_001598751.1.p1	XM_018526507.1.p1
OG0000127	XM_001585475.1.p1	XM_018534520.1.p1
OG0000127	XM_001594936.1.p1	XM_018523304.1.p1
OG0000128	XM_001593926.1.p1	XM_018534709.1.p1
OG0000128	XM_001588790.1.p1	XM_018525964.1.p1
OG0000129	XM_001590739.1.p1	XM_018525741.1.p1
OG0000129	XM_001592853.1.p1	XM_018536231.1.p1
OG0000129	XM_001587396.1.p1	XM_018533869.1.p1
OG0000129	XM_001594102.1.p1	XM_018526926.1.p1
OG0000130	XM_001592702.1.p1	XM_018527462.1.p1
OG0000134	XM_001595908.1.p1	XM_018531893.1.p1
