Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Arthrobotrys_oligospora_cds_prot
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512549.1_1471.p1
OG0000011	XM_001593858.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505820.1_7950.p1
OG0000011	XM_001593090.1.p1, XM_001593089.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497918.1_12709.p1
OG0000011	XM_001591956.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496198.1_2293.p1
OG0000013	XM_001598880.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511773.1_695.p1
OG0000013	XM_001588453.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499603.1_10303.p1, lcl|JAVHJL010000007.1_cds_KAK6499933.1_10633.p1
OG0000013	XM_001593161.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510185.1_5043.p1
OG0000015	XM_001590767.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512530.1_1452.p1
OG0000015	XM_001586348.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508828.1_3686.p1
OG0000016	XM_001597259.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500072.1_10772.p1, lcl|JAVHJL010000006.1_cds_KAK6501953.1_10094.p1
OG0000016	XM_001591158.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506871.1_5474.p1, lcl|JAVHJL010000011.1_cds_KAK6496051.1_2146.p1
OG0000018	XM_001591140.1.p1, XM_001591684.1.p1, XM_001585991.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496250.1_2345.p1
OG0000019	XM_001594911.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511361.1_283.p1
OG0000021	XM_001589138.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497754.1_12545.p1
OG0000021	XM_001590703.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508916.1_3774.p1
OG0000021	XM_001590981.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509157.1_4015.p1
OG0000021	XM_001586980.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495285.1_3400.p1
OG0000021	XM_001589480.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498620.1_11568.p1
OG0000022	XM_001589766.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511699.1_621.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507421.1_6024.p1
OG0000023	XM_001591308.1.p1, XM_001594053.1.p1, XM_001590160.1.p1, XM_001594008.1.p1, XM_001591654.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508944.1_3802.p1
OG0000023	XM_001587656.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510276.1_5134.p1
OG0000025	XM_001597796.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503674.1_8962.p1
OG0000025	XM_001592424.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501958.1_10099.p1
OG0000026	XM_001597279.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498304.1_11252.p1, lcl|JAVHJL010000010.1_cds_KAK6496668.1_1711.p1
OG0000026	XM_001588953.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503311.1_8599.p1
OG0000026	XM_001594416.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504546.1_6676.p1
OG0000029	XM_001592449.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500259.1_10959.p1
OG0000029	XM_001586393.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506644.1_5247.p1
OG0000029	XM_001589831.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511846.1_768.p1, lcl|JAVHJL010000008.1_cds_KAK6498851.1_11799.p1
OG0000029	XM_001590306.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499628.1_10328.p1
OG0000030	XM_001595034.1.p1, XM_001591271.1.p1, XM_001589464.1.p1, XM_001589467.1.p1, XM_001589863.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511608.1_530.p1
OG0000031	XM_001589524.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509514.1_4372.p1
OG0000031	XM_001586174.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509096.1_3954.p1
OG0000031	XM_001587417.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505743.1_7873.p1
OG0000032	XM_001591344.1.p1	lcl|JAVHJL010000012.1_cds_KAK6495625.1_2757.p1, lcl|JAVHJL010000012.1_cds_KAK6495895.1_3027.p1, lcl|JAVHJL010000002.1_cds_KAK6509314.1_4172.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503897.1_9185.p1
OG0000032	XM_001593976.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500078.1_10778.p1
OG0000032	XM_001586473.1.p1, XM_001598634.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512223.1_1145.p1
OG0000034	XM_001590944.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509527.1_4385.p1
OG0000034	XM_001586378.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503841.1_9129.p1
OG0000035	XM_001587431.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501541.1_9682.p1
OG0000035	XM_001595682.1.p1	lcl|JAVHJL010000003.1_cds_KAK6508044.1_6647.p1
OG0000036	XM_001585435.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509646.1_4504.p1, lcl|JAVHJL010000007.1_cds_KAK6499992.1_10692.p1, lcl|JAVHJL010000007.1_cds_KAK6499991.1_10691.p1, lcl|JAVHJL010000005.1_cds_KAK6503765.1_9053.p1
OG0000037	XM_001595699.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501875.1_10016.p1
OG0000037	XM_001597719.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501351.1_9492.p1
OG0000038	XM_001597383.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511257.1_179.p1
OG0000038	XM_001590964.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500158.1_10858.p1
OG0000039	XM_001594345.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512431.1_1353.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511576.1_498.p1
OG0000039	XM_001591791.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506821.1_5424.p1
OG0000040	XM_001587209.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502937.1_8225.p1
OG0000040	XM_001593301.1.p1, XM_001596860.1.p1, XM_001589882.1.p1, XM_001596756.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496656.1_1699.p1
OG0000041	XM_001595454.1.p1, XM_001592613.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500510.1_11210.p1
OG0000041	XM_001584734.1.p1, XM_001585351.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504544.1_6674.p1
OG0000042	XM_001595143.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504946.1_7076.p1
OG0000042	XM_001586568.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502752.1_8040.p1, lcl|JAVHJL010000011.1_cds_KAK6496168.1_2263.p1, lcl|JAVHJL010000002.1_cds_KAK6508877.1_3735.p1, lcl|JAVHJL010000009.1_cds_KAK6497931.1_12722.p1
OG0000043	XM_001595893.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505864.1_7994.p1
OG0000043	XM_001596074.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495138.1_3253.p1
OG0000045	XM_001587065.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496649.1_1692.p1
OG0000045	XM_001596367.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512566.1_1488.p1
OG0000046	XM_001586463.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512206.1_1128.p1
OG0000048	XM_001597604.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501787.1_9928.p1
OG0000048	XM_001594212.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511431.1_353.p1
OG0000048	XM_001589336.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505375.1_7505.p1
OG0000048	XM_001586792.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505244.1_7374.p1
OG0000049	XM_001593236.1.p1, XM_001595191.1.p1, XM_001598398.1.p1, XM_001598697.1.p1, XM_001596788.1.p1, XM_001594443.1.p1, XM_001591282.1.p1, XM_001593385.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507415.1_6018.p1
OG0000050	XM_001585954.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501089.1_9230.p1
OG0000050	XM_001594907.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498526.1_11474.p1
OG0000050	XM_001594937.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505460.1_7590.p1
OG0000051	XM_001589798.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497646.1_12437.p1
OG0000051	XM_001590870.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503340.1_8628.p1
OG0000051	XM_001587951.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505061.1_7191.p1
OG0000051	XM_001596631.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505408.1_7538.p1
OG0000051	XM_001585247.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499877.1_10577.p1
OG0000052	XM_001585446.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506705.1_5308.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512402.1_1324.p1
OG0000053	XM_001588399.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501482.1_9623.p1
OG0000053	XM_001590608.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500398.1_11098.p1
OG0000054	XM_001589469.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502749.1_8037.p1
OG0000055	XM_001589853.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501505.1_9646.p1
OG0000055	XM_001593073.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506762.1_5365.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505116.1_7246.p1
OG0000056	XM_001593553.1.p1, XM_001591666.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496663.1_1706.p1
OG0000056	XM_001591171.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508795.1_3653.p1
OG0000058	XM_001597998.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502964.1_8252.p1
OG0000058	XM_001596000.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507988.1_6591.p1
OG0000058	XM_001592674.1.p1	lcl|JAVHJL010000008.1_cds_KAK6499066.1_12014.p1
OG0000058	XM_001589509.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496271.1_2366.p1
OG0000058	XM_001589061.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509863.1_4721.p1
OG0000059	XM_001596874.1.p1, XM_001590905.1.p1, XM_001591046.1.p1, XM_001595946.1.p1, XM_001595855.1.p1, XM_001585108.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511753.1_675.p1, lcl|JAVHJL010000001.1_cds_KAK6512642.1_1564.p1
OG0000060	XM_001589077.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496237.1_2332.p1
OG0000062	XM_001595980.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509647.1_4505.p1
OG0000063	XM_001589189.1.p1, XM_001594922.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507939.1_6542.p1
OG0000064	XM_001594438.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512578.1_1500.p1
OG0000069	XM_001590565.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510312.1_5170.p1
OG0000069	XM_001589526.1.p1, XM_001597778.1.p1, XM_001589598.1.p1, XM_001585779.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501248.1_9388.p1
OG0000070	XM_001598556.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511651.1_573.p1
OG0000070	XM_001588423.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508905.1_3763.p1
OG0000071	XM_001593511.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507257.1_5860.p1
OG0000071	XM_001593038.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505385.1_7515.p1
OG0000071	XM_001587924.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508974.1_3832.p1, lcl|JAVHJL010000002.1_cds_KAK6508975.1_3833.p1
OG0000071	XM_001593312.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496641.1_1684.p1
OG0000072	XM_001585746.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498861.1_11809.p1
OG0000072	XM_001591150.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503547.1_8835.p1
OG0000075	XM_001595696.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509814.1_4672.p1
OG0000075	XM_001589867.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501731.1_9872.p1
OG0000076	XM_001595074.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512199.1_1121.p1
OG0000076	XM_001597093.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507575.1_6178.p1
OG0000076	XM_001589714.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503202.1_8490.p1
OG0000076	XM_001587341.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496615.1_1658.p1
OG0000077	XM_001591303.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509419.1_4277.p1
OG0000077	XM_001592929.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512045.1_967.p1
OG0000078	XM_001594013.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497728.1_12519.p1, lcl|JAVHJL010000007.1_cds_KAK6500255.1_10955.p1, lcl|JAVHJL010000003.1_cds_KAK6507621.1_6224.p1, lcl|JAVHJL010000006.1_cds_KAK6501991.1_10132.p1, lcl|JAVHJL010000009.1_cds_KAK6497772.1_12563.p1
OG0000078	XM_001597054.1.p1, XM_001584698.1.p1, XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502936.1_8224.p1
OG0000079	XM_001596030.1.p1	lcl|JAVHJL010000003.1_cds_KAK6508014.1_6617.p1
OG0000079	XM_001591730.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503519.1_8807.p1
OG0000079	XM_001598063.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511481.1_403.p1
OG0000079	XM_001590997.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498692.1_11640.p1
OG0000080	XM_001597918.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501446.1_9587.p1, lcl|JAVHJL010000013.1_cds_KAK6495116.1_3231.p1, lcl|JAVHJL010000005.1_cds_KAK6503751.1_9039.p1, lcl|JAVHJL010000007.1_cds_KAK6499986.1_10686.p1
OG0000081	XM_001592987.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512040.1_962.p1
OG0000081	XM_001593006.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496672.1_1715.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503883.1_9171.p1
OG0000082	XM_001595339.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503048.1_8336.p1
OG0000082	XM_001594647.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509324.1_4182.p1
OG0000085	XM_001598129.1.p1, XM_001592458.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511719.1_641.p1
OG0000087	XM_001595355.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512137.1_1059.p1
OG0000087	XM_001598496.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511711.1_633.p1, lcl|JAVHJL010000003.1_cds_KAK6506934.1_5537.p1
OG0000088	XM_001586938.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509413.1_4271.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501423.1_9564.p1, lcl|JAVHJL010000002.1_cds_KAK6509708.1_4566.p1
OG0000088	XM_001596104.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501412.1_9553.p1
OG0000088	XM_001588755.1.p1, XM_001584513.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500187.1_10887.p1
OG0000089	XM_001591699.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498487.1_11435.p1
OG0000089	XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496937.1_1980.p1
OG0000090	XM_001592643.1.p1, XM_001594729.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498985.1_11933.p1
OG0000090	XM_001595265.1.p1, XM_001594001.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501917.1_10058.p1
OG0000091	XM_001598502.1.p1, XM_001591770.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511331.1_253.p1
OG0000092	XM_001591109.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507921.1_6524.p1, lcl|JAVHJL010000006.1_cds_KAK6501289.1_9430.p1
OG0000092	XM_001598670.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497405.1_12196.p1
OG0000092	XM_001595891.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507821.1_6424.p1
OG0000092	XM_001588329.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499554.1_10254.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	lcl|JAVHJL010000008.1_cds_KAK6499094.1_12042.p1, lcl|JAVHJL010000008.1_cds_KAK6499074.1_12022.p1, lcl|JAVHJL010000002.1_cds_KAK6509751.1_4609.p1
OG0000094	XM_001589274.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508769.1_3627.p1
OG0000095	XM_001593952.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511956.1_878.p1
OG0000095	XM_001596701.1.p1	lcl|JAVHJL010000008.1_cds_KAK6499028.1_11976.p1
OG0000096	XM_001590839.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512008.1_930.p1
OG0000097	XM_001587536.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501326.1_9467.p1
OG0000097	XM_001593373.1.p1, XM_001593632.1.p1, XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503587.1_8875.p1, lcl|JAVHJL010000005.1_cds_KAK6502810.1_8098.p1
OG0000097	XM_001584550.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497372.1_12163.p1, lcl|JAVHJL010000005.1_cds_KAK6503769.1_9057.p1
OG0000100	XM_001594288.1.p1, XM_001592042.1.p1, XM_001587352.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501154.1_9295.p1
OG0000102	XM_001598599.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505112.1_7242.p1
OG0000102	XM_001594196.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505348.1_7478.p1
OG0000102	XM_001598841.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498348.1_11296.p1
OG0000103	XM_001596956.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495397.1_3512.p1, lcl|JAVHJL010000002.1_cds_KAK6510107.1_4965.p1
OG0000103	XM_001588403.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511456.1_378.p1
OG0000104	XM_001589359.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507408.1_6011.p1
OG0000105	XM_001593851.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507718.1_6321.p1
OG0000105	XM_001595490.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508863.1_3721.p1, lcl|JAVHJL010000002.1_cds_KAK6508892.1_3750.p1, lcl|JAVHJL010000002.1_cds_KAK6509663.1_4521.p1
OG0000105	XM_001595043.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508861.1_3719.p1
