Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Pythium_ultimum_cds_prot
OG0000037	XM_001585193.1.p1, XM_001598376.1.p1, XM_001595699.1.p1, XM_001597719.1.p1, XM_001585740.1.p1	lcl|BBXB02000006.1_cds_GLD93847.1_2369.p1
OG0000039	XM_001594345.1.p1	lcl|BBXB02000095.1_cds_GLE05827.1_14348.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1, XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	lcl|BBXB02000321.1_cds_GLE08453.1_16974.p1, lcl|BBXB02000280.1_cds_GLE08073.1_16594.p1, lcl|BBXB02000127.1_cds_GLE06648.1_15169.p1, lcl|BBXB02000084.1_cds_GLE05342.1_13863.p1, lcl|BBXB02000084.1_cds_GLE05340.1_13861.p1, lcl|BBXB02000127.1_cds_GLE06650.1_15171.p1, lcl|BBXB02000127.1_cds_GLE06656.1_15177.p1, lcl|BBXB02000073.1_cds_GLE04601.1_13122.p1, lcl|BBXB02000448.1_cds_GLE09565.1_18086.p1, lcl|BBXB02000060.1_cds_GLE03422.1_11943.p1, lcl|BBXB02000060.1_cds_GLE03419.1_11940.p1, lcl|BBXB02000095.1_cds_GLE05805.1_14326.p1, lcl|BBXB02000102.1_cds_GLE06054.1_14575.p1, lcl|BBXB02000686.1_cds_GLE11386.1_19907.p1, lcl|BBXB02000102.1_cds_GLE06018.1_14539.p1, lcl|BBXB02000335.1_cds_GLE08530.1_17051.p1, lcl|BBXB02000018.1_cds_GLD97146.1_5668.p1, lcl|BBXB02000018.1_cds_GLD97151.1_5673.p1, lcl|BBXB02000018.1_cds_GLD97150.1_5672.p1
OG0000042	XM_001595143.1.p1, XM_001586568.1.p1	lcl|BBXB02000069.1_cds_GLE04348.1_12869.p1, lcl|BBXB02000173.1_cds_GLE07118.1_15639.p1, lcl|BBXB02000053.1_cds_GLE02751.1_11272.p1, lcl|BBXB02000012.1_cds_GLD95595.1_4117.p1, lcl|BBXB02000018.1_cds_GLD97129.1_5651.p1, lcl|BBXB02000012.1_cds_GLD95500.1_4022.p1, lcl|BBXB02000012.1_cds_GLD95494.1_4016.p1, lcl|BBXB02000012.1_cds_GLD95496.1_4018.p1, lcl|BBXB02000060.1_cds_GLE03380.1_11901.p1, lcl|BBXB02000060.1_cds_GLE03381.1_11902.p1, lcl|BBXB02000060.1_cds_GLE03376.1_11897.p1, lcl|BBXB02000012.1_cds_GLD95663.1_4185.p1, lcl|BBXB02000060.1_cds_GLE03378.1_11899.p1, lcl|BBXB02000014.1_cds_GLD96142.1_4664.p1, lcl|BBXB02000002.1_cds_GLD92334.1_856.p1, lcl|BBXB02000002.1_cds_GLD92336.1_858.p1, lcl|BBXB02000024.1_cds_GLD98391.1_6913.p1, lcl|BBXB02000072.1_cds_GLE04502.1_13023.p1, lcl|BBXB02000590.1_cds_GLE10721.1_19242.p1
OG0000046	XM_001586463.1.p1, XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	lcl|BBXB02000039.1_cds_GLE00865.1_9386.p1, lcl|BBXB02000003.1_cds_GLD92816.1_1338.p1, lcl|BBXB02000003.1_cds_GLD92813.1_1335.p1, lcl|BBXB02000065.1_cds_GLE03940.1_12461.p1, lcl|BBXB02000003.1_cds_GLD92815.1_1337.p1, lcl|BBXB02000003.1_cds_GLD92814.1_1336.p1, lcl|BBXB02000003.1_cds_GLD92822.1_1344.p1, lcl|BBXB02000077.1_cds_GLE04951.1_13472.p1
OG0000048	XM_001589336.1.p1, XM_001586792.1.p1	lcl|BBXB02000026.1_cds_GLD98616.1_7138.p1, lcl|BBXB02000002.1_cds_GLD92137.1_659.p1, lcl|BBXB02000013.1_cds_GLD95871.1_4393.p1, lcl|BBXB02000763.1_cds_GLE11708.1_20229.p1, lcl|BBXB02000001.1_cds_GLD92000.1_522.p1, lcl|BBXB02000320.1_cds_GLE08443.1_16964.p1, lcl|BBXB02000029.1_cds_GLD99198.1_7720.p1, lcl|BBXB02000410.1_cds_GLE09194.1_17715.p1, lcl|BBXB02000740.1_cds_GLE11626.1_20147.p1, lcl|BBXB02000017.1_cds_GLD96980.1_5502.p1
OG0000050	XM_001598547.1.p1, XM_001585954.1.p1, XM_001594907.1.p1	lcl|BBXB02000250.1_cds_GLE07841.1_16362.p1
OG0000050	XM_001598548.1.p1, XM_001594937.1.p1	lcl|BBXB02000013.1_cds_GLD95996.1_4518.p1
OG0000051	XM_001589798.1.p1	lcl|BBXB02000057.1_cds_GLE03114.1_11635.p1
OG0000051	XM_001598899.1.p1	lcl|BBXB02000144.1_cds_GLE06783.1_15304.p1, lcl|BBXB02000058.1_cds_GLE03237.1_11758.p1
OG0000051	XM_001590870.1.p1	lcl|BBXB02000001.1_cds_GLD91542.1_64.p1
OG0000051	XM_001587951.1.p1	lcl|BBXB02000036.1_cds_GLE00390.1_8911.p1
OG0000051	XM_001596631.1.p1	lcl|BBXB02000037.1_cds_GLE00514.1_9035.p1
OG0000051	XM_001585247.1.p1	lcl|BBXB02000007.1_cds_GLD94277.1_2799.p1, lcl|BBXB02000009.1_cds_GLD94630.1_3152.p1
OG0000052	XM_001595011.1.p1	lcl|BBXB02000039.1_cds_GLE00925.1_9446.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1, XM_001584923.1.p1, XM_001593890.1.p1	lcl|BBXB02000001.1_cds_GLD91844.1_366.p1
OG0000058	XM_001597998.1.p1	lcl|BBXB02000027.1_cds_GLD98821.1_7343.p1, lcl|BBXB02000020.1_cds_GLD97706.1_6228.p1, lcl|BBXB02000020.1_cds_GLD97710.1_6232.p1
OG0000058	XM_001596000.1.p1	lcl|BBXB02000006.1_cds_GLD93967.1_2489.p1
OG0000058	XM_001589509.1.p1	lcl|BBXB02000010.1_cds_GLD94869.1_3391.p1
OG0000058	XM_001589061.1.p1	lcl|BBXB02000043.1_cds_GLE01455.1_9976.p1
OG0000061	XM_001592625.1.p1	lcl|BBXB02000010.1_cds_GLD95157.1_3679.p1
OG0000061	XM_001590859.1.p1	lcl|BBXB02000037.1_cds_GLE00633.1_9154.p1
OG0000061	XM_001587436.1.p1	lcl|BBXB02000028.1_cds_GLD98968.1_7490.p1
OG0000064	XM_001585209.1.p1, XM_001585305.1.p1, XM_001588665.1.p1, XM_001594438.1.p1	lcl|BBXB02000049.1_cds_GLE02341.1_10862.p1
OG0000066	XM_001592949.1.p1	lcl|BBXB02000002.1_cds_GLD92393.1_915.p1, lcl|BBXB02000062.1_cds_GLE03693.1_12214.p1, lcl|BBXB02000426.1_cds_GLE09369.1_17890.p1, lcl|BBXB02000629.1_cds_GLE11022.1_19543.p1, lcl|BBXB02000031.1_cds_GLD99529.1_8051.p1
OG0000071	XM_001593511.1.p1	lcl|BBXB02000036.1_cds_GLE00360.1_8881.p1
OG0000071	XM_001593038.1.p1	lcl|BBXB02000026.1_cds_GLD98768.1_7290.p1
OG0000071	XM_001593312.1.p1	lcl|BBXB02000053.1_cds_GLE02714.1_11235.p1, lcl|BBXB02000061.1_cds_GLE03544.1_12065.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	lcl|BBXB02000051.1_cds_GLE02466.1_10987.p1
OG0000075	XM_001589867.1.p1	lcl|BBXB02000045.1_cds_GLE01648.1_10169.p1, lcl|BBXB02000004.1_cds_GLD93212.1_1734.p1, lcl|BBXB02000043.1_cds_GLE01473.1_9994.p1
OG0000076	XM_001595074.1.p1	lcl|BBXB02000035.1_cds_GLE00177.1_8698.p1
OG0000077	XM_001591303.1.p1, XM_001592929.1.p1, XM_001585590.1.p1, XM_001593433.1.p1, XM_001589481.1.p1	lcl|BBXB02000018.1_cds_GLD97265.1_5787.p1, lcl|BBXB02000018.1_cds_GLD97266.1_5788.p1
OG0000079	XM_001596030.1.p1	lcl|BBXB02000001.1_cds_GLD91941.1_463.p1, lcl|BBXB02000563.1_cds_GLE10546.1_19067.p1
OG0000079	XM_001591730.1.p1	lcl|BBXB02000010.1_cds_GLD95163.1_3685.p1
OG0000079	XM_001598063.1.p1, XM_001590997.1.p1	lcl|BBXB02000007.1_cds_GLD94222.1_2744.p1, lcl|BBXB02000003.1_cds_GLD92581.1_1103.p1
OG0000081	XM_001592987.1.p1, XM_001586053.1.p1, XM_001589644.1.p1, XM_001593006.1.p1	lcl|BBXB02000013.1_cds_GLD95852.1_4374.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1	lcl|BBXB02000030.1_cds_GLD99421.1_7943.p1
OG0000082	XM_001595339.1.p1, XM_001594647.1.p1	lcl|BBXB02000021.1_cds_GLD97828.1_6350.p1
OG0000084	XM_001590245.1.p1	lcl|BBXB02000071.1_cds_GLE04440.1_12961.p1, lcl|BBXB02000071.1_cds_GLE04441.1_12962.p1
OG0000087	XM_001595355.1.p1	lcl|BBXB02000006.1_cds_GLD93779.1_2301.p1
OG0000087	XM_001586321.1.p1	lcl|BBXB02000249.1_cds_GLE07825.1_16346.p1
OG0000087	XM_001598496.1.p1	lcl|BBXB02000002.1_cds_GLD92148.1_670.p1, lcl|BBXB02000187.1_cds_GLE07255.1_15776.p1
OG0000088	XM_001586938.1.p1, XM_001596994.1.p1, XM_001587214.1.p1, XM_001596104.1.p1, XM_001588755.1.p1, XM_001584513.1.p1	lcl|BBXB02000061.1_cds_GLE03510.1_12031.p1, lcl|BBXB02000061.1_cds_GLE03473.1_11994.p1, lcl|BBXB02000011.1_cds_GLD95310.1_3832.p1, lcl|BBXB02000011.1_cds_GLD95309.1_3831.p1, lcl|BBXB02000011.1_cds_GLD95308.1_3830.p1, lcl|BBXB02000011.1_cds_GLD95307.1_3829.p1, lcl|BBXB02000011.1_cds_GLD95311.1_3833.p1, lcl|BBXB02000516.1_cds_GLE10160.1_18681.p1, lcl|BBXB02000029.1_cds_GLD99275.1_7797.p1, lcl|BBXB02000014.1_cds_GLD96060.1_4582.p1, lcl|BBXB02000001.1_cds_GLD91664.1_186.p1
OG0000093	XM_001598888.1.p1, XM_001595187.1.p1, XM_001592451.1.p1	lcl|BBXB02000043.1_cds_GLE01482.1_10003.p1, lcl|BBXB02000043.1_cds_GLE01458.1_9979.p1
OG0000099	XM_001597745.1.p1	lcl|BBXB02000050.1_cds_GLE02390.1_10911.p1, lcl|BBXB02000050.1_cds_GLE02380.1_10901.p1
OG0000110	XM_001598036.1.p1	lcl|BBXB02000001.1_cds_GLD91512.1_34.p1
OG0000111	XM_001590699.1.p1	lcl|BBXB02000418.1_cds_GLE09263.1_17784.p1, lcl|BBXB02000087.1_cds_GLE05518.1_14039.p1
OG0000111	XM_001590723.1.p1	lcl|BBXB02000040.1_cds_GLE01010.1_9531.p1
OG0000111	XM_001590630.1.p1	lcl|BBXB02000010.1_cds_GLD94886.1_3408.p1
OG0000111	XM_001585540.1.p1	lcl|BBXB02000003.1_cds_GLD92609.1_1131.p1
OG0000112	XM_001595379.1.p1, XM_001596586.1.p1, XM_001591772.1.p1, XM_001587130.1.p1, XM_001593481.1.p1, XM_001589454.1.p1, XM_001589497.1.p1, XM_001585012.1.p1, XM_001590980.1.p1	lcl|BBXB02000074.1_cds_GLE04692.1_13213.p1, lcl|BBXB02000010.1_cds_GLD95136.1_3658.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1, XM_001596045.1.p1, XM_001588524.1.p1	lcl|BBXB02000018.1_cds_GLD97131.1_5653.p1, lcl|BBXB02000018.1_cds_GLD97167.1_5689.p1, lcl|BBXB02000337.1_cds_GLE08537.1_17058.p1, lcl|BBXB02000018.1_cds_GLD97168.1_5690.p1
OG0000122	XM_001595033.1.p1	lcl|BBXB02000015.1_cds_GLD96501.1_5023.p1, lcl|BBXB02000007.1_cds_GLD94151.1_2673.p1, lcl|BBXB02000040.1_cds_GLE01008.1_9529.p1
OG0000122	XM_001585288.1.p1	lcl|BBXB02000022.1_cds_GLD97906.1_6428.p1, lcl|BBXB02000011.1_cds_GLD95185.1_3707.p1
OG0000123	XM_001592460.1.p1, XM_001590327.1.p1, XM_001598819.1.p1	lcl|BBXB02000009.1_cds_GLD94852.1_3374.p1
OG0000130	XM_001587434.1.p1	lcl|BBXB02000061.1_cds_GLE03483.1_12004.p1, lcl|BBXB02000061.1_cds_GLE03481.1_12002.p1, lcl|BBXB02000061.1_cds_GLE03482.1_12003.p1
OG0000133	XM_001592707.1.p1, XM_001591786.1.p1, XM_001584629.1.p1, XM_001594131.1.p1	lcl|BBXB02000042.1_cds_GLE01250.1_9771.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	lcl|BBXB02000018.1_cds_GLD97121.1_5643.p1
OG0000137	XM_001595718.1.p1, XM_001590475.1.p1, XM_001593484.1.p1	lcl|BBXB02000107.1_cds_GLE06256.1_14777.p1, lcl|BBXB02000107.1_cds_GLE06257.1_14778.p1, lcl|BBXB02000068.1_cds_GLE04280.1_12801.p1
OG0000139	XM_001584731.1.p1, XM_001588988.1.p1, XM_001589567.1.p1, XM_001590289.1.p1, XM_001591243.1.p1	lcl|BBXB02000004.1_cds_GLD93116.1_1638.p1, lcl|BBXB02000008.1_cds_GLD94489.1_3011.p1, lcl|BBXB02000008.1_cds_GLD94490.1_3012.p1, lcl|BBXB02000047.1_cds_GLE01918.1_10439.p1
OG0000140	XM_001592573.1.p1, XM_001589200.1.p1, XM_001587152.1.p1	lcl|BBXB02000016.1_cds_GLD96768.1_5290.p1, lcl|BBXB02000016.1_cds_GLD96762.1_5284.p1
OG0000145	XM_001596988.1.p1, XM_001591190.1.p1, XM_001589003.1.p1	lcl|BBXB02000024.1_cds_GLD98369.1_6891.p1, lcl|BBXB02000024.1_cds_GLD98368.1_6890.p1, lcl|BBXB02000024.1_cds_GLD98377.1_6899.p1, lcl|BBXB02000024.1_cds_GLD98378.1_6900.p1, lcl|BBXB02000024.1_cds_GLD98367.1_6889.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1, XM_001598192.1.p1	lcl|BBXB02000029.1_cds_GLD99221.1_7743.p1
OG0000151	XM_001590918.1.p1	lcl|BBXB02000001.1_cds_GLD91813.1_335.p1
OG0000151	XM_001595088.1.p1	lcl|BBXB02000044.1_cds_GLE01543.1_10064.p1
OG0000151	XM_001585695.1.p1	lcl|BBXB02000016.1_cds_GLD96605.1_5127.p1
OG0000154	XM_001591266.1.p1, XM_001588474.1.p1, XM_001597904.1.p1	lcl|BBXB02000160.1_cds_GLE06975.1_15496.p1
OG0000157	XM_001591936.1.p1	lcl|BBXB02000064.1_cds_GLE03834.1_12355.p1
OG0000158	XM_001591152.1.p1, XM_001596750.1.p1, XM_001594650.1.p1	lcl|BBXB02000004.1_cds_GLD93296.1_1818.p1
OG0000159	XM_001586220.1.p1	lcl|BBXB02000082.1_cds_GLE05256.1_13777.p1
OG0000159	XM_001596681.1.p1	lcl|BBXB02000005.1_cds_GLD93487.1_2009.p1
OG0000160	XM_001598265.1.p1, XM_001591639.1.p1, XM_001598745.1.p1, XM_001590320.1.p1, XM_001588069.1.p1	lcl|BBXB02000021.1_cds_GLD97819.1_6341.p1, lcl|BBXB02000021.1_cds_GLD97805.1_6327.p1, lcl|BBXB02000637.1_cds_GLE11097.1_19618.p1, lcl|BBXB02000021.1_cds_GLD97818.1_6340.p1, lcl|BBXB02000021.1_cds_GLD97827.1_6349.p1
OG0000162	XM_001598406.1.p1	lcl|BBXB02000011.1_cds_GLD95231.1_3753.p1
OG0000162	XM_001598925.1.p1	lcl|BBXB02000059.1_cds_GLE03266.1_11787.p1
OG0000162	XM_001592439.1.p1	lcl|BBXB02000026.1_cds_GLD98660.1_7182.p1
OG0000163	XM_001588689.1.p1, XM_001590923.1.p1, XM_001587263.1.p1	lcl|BBXB02000010.1_cds_GLD94898.1_3420.p1
OG0000164	XM_001598198.1.p1, XM_001586644.1.p1	lcl|BBXB02000025.1_cds_GLD98460.1_6982.p1, lcl|BBXB02000367.1_cds_GLE08792.1_17313.p1, lcl|BBXB02000003.1_cds_GLD92496.1_1018.p1
OG0000166	XM_001596176.1.p1, XM_001596435.1.p1, XM_001595405.1.p1	lcl|BBXB02000005.1_cds_GLD93551.1_2073.p1, lcl|BBXB02000014.1_cds_GLD96152.1_4674.p1, lcl|BBXB02000012.1_cds_GLD95529.1_4051.p1, lcl|BBXB02000016.1_cds_GLD96717.1_5239.p1, lcl|BBXB02000164.1_cds_GLE07024.1_15545.p1, lcl|BBXB02000025.1_cds_GLD98454.1_6976.p1
OG0000169	XM_001593407.1.p1, XM_001592310.1.p1, XM_001594644.1.p1	lcl|BBXB02000049.1_cds_GLE02298.1_10819.p1, lcl|BBXB02000049.1_cds_GLE02299.1_10820.p1
OG0000170	XM_001595877.1.p1, XM_001585258.1.p1	lcl|BBXB02000083.1_cds_GLE05271.1_13792.p1
OG0000173	XM_001593315.1.p1, XM_001587766.1.p1	lcl|BBXB02000061.1_cds_GLE03525.1_12046.p1, lcl|BBXB02000061.1_cds_GLE03511.1_12032.p1, lcl|BBXB02000014.1_cds_GLD96203.1_4725.p1
OG0000174	XM_001591883.1.p1, XM_001597061.1.p1, XM_001590770.1.p1, XM_001585955.1.p1	lcl|BBXB02000003.1_cds_GLD92806.1_1328.p1, lcl|BBXB02000060.1_cds_GLE03404.1_11925.p1
OG0000175	XM_001589737.1.p1	lcl|BBXB02000043.1_cds_GLE01401.1_9922.p1
OG0000175	XM_001592718.1.p1, XM_001593214.1.p1, XM_001589370.1.p1, XM_001598408.1.p1, XM_001596839.1.p1	lcl|BBXB02000040.1_cds_GLE01040.1_9561.p1, lcl|BBXB02000379.1_cds_GLE08908.1_17429.p1
OG0000176	XM_001591850.1.p1	lcl|BBXB02000069.1_cds_GLE04309.1_12830.p1
OG0000177	XM_001591247.1.p1	lcl|BBXB02000003.1_cds_GLD92897.1_1419.p1
OG0000177	XM_001595063.1.p1	lcl|BBXB02000003.1_cds_GLD92519.1_1041.p1, lcl|BBXB02000005.1_cds_GLD93568.1_2090.p1
OG0000178	XM_001594170.1.p1, XM_001597585.1.p1, XM_001590945.1.p1	lcl|BBXB02000003.1_cds_GLD92670.1_1192.p1
OG0000180	XM_001594632.1.p1	lcl|BBXB02000049.1_cds_GLE02332.1_10853.p1
OG0000182	XM_001588602.1.p1	lcl|BBXB02000040.1_cds_GLE01006.1_9527.p1
OG0000182	XM_001585915.1.p1	lcl|BBXB02000045.1_cds_GLE01644.1_10165.p1
OG0000185	XM_001589036.1.p1, XM_001592840.1.p1, XM_001597553.1.p1	lcl|BBXB02000008.1_cds_GLD94366.1_2888.p1, lcl|BBXB02000444.1_cds_GLE09499.1_18020.p1
OG0000189	XM_001589775.1.p1, XM_001593065.1.p1, XM_001592803.1.p1	lcl|BBXB02000012.1_cds_GLD95579.1_4101.p1
