Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Laccaria_bicolor_rna_prot
OG0000019	XM_001595962.1.p1, XM_001595366.1.p1, XM_001586682.1.p1	XM_001875312.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_001883050.1.p1
OG0000020	XM_001587118.1.p1, XM_001592706.1.p1, XM_001598591.1.p1, XM_001592517.1.p1	XM_001882443.1.p1, XM_001879235.1.p1, XM_001884267.1.p1
OG0000021	XM_001597592.1.p1, XM_001584827.1.p1, XM_001584825.1.p1, XM_001596768.1.p1, XM_001589138.1.p1	XM_001873713.1.p1, XM_001883159.1.p1
OG0000021	XM_001590981.1.p1	XM_001885868.1.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1, XM_001593129.1.p1, XM_001586689.1.p1, XM_001585536.1.p1, XM_001587388.1.p1, XM_001589348.1.p1, XM_001587680.1.p1, XM_001593008.1.p1, XM_001585002.1.p1	XM_001883781.1.p1, XM_001886253.1.p1, XM_001884425.1.p1, XM_001884314.1.p1, XM_001884285.1.p1, XM_001886874.1.p1
OG0000025	XM_001594625.1.p1	XM_001873456.1.p1
OG0000025	XM_001596047.1.p1	XM_001875894.1.p1
OG0000027	XM_001594266.1.p1, XM_001589465.1.p1, XM_001594817.1.p1, XM_001596322.1.p1	XM_001883287.1.p1, XM_001890365.1.p1
OG0000029	XM_001592206.1.p1	XM_001876127.1.p1
OG0000029	XM_001592457.1.p1, XM_001588471.1.p1	XM_001889832.1.p1
OG0000032	XM_001588011.1.p1, XM_001587657.1.p1	XM_001877686.1.p1
OG0000034	XM_001590944.1.p1	XM_001885726.1.p1, XM_001873911.1.p1
OG0000034	XM_001593688.1.p1	XM_001885916.1.p1
OG0000038	XM_001585894.1.p1, XM_001598835.1.p1, XM_001586848.1.p1, XM_001592076.1.p1, XM_001594339.1.p1, XM_001593634.1.p1, XM_001590964.1.p1	XM_001881890.1.p1, XM_001881892.1.p1, XM_001881891.1.p1, XM_001887487.1.p1, XM_001889532.1.p1, XM_001886646.1.p1, XM_001887628.1.p1, XM_001874954.1.p1, XM_001889394.1.p1, XM_001881406.1.p1
OG0000039	XM_001594345.1.p1	XM_001882730.1.p1, XM_001875359.1.p1
OG0000039	XM_001597754.1.p1, XM_001594898.1.p1, XM_001585233.1.p1, XM_001591791.1.p1	XM_001876143.1.p1, XM_001889009.1.p1, XM_001881805.1.p1
OG0000040	XM_001587209.1.p1, XM_001593301.1.p1, XM_001596860.1.p1, XM_001589882.1.p1, XM_001596756.1.p1, XM_001590854.1.p1	XM_001888267.1.p1, XM_001888227.1.p1
OG0000041	XM_001593646.1.p1, XM_001587220.1.p1, XM_001592709.1.p1, XM_001595454.1.p1, XM_001592613.1.p1	XM_001877993.1.p1, XM_001874900.1.p1
OG0000042	XM_001595143.1.p1	XM_001888782.1.p1
OG0000042	XM_001586568.1.p1	XM_001882510.1.p1
OG0000043	XM_001597597.1.p1	XM_001881051.1.p1
OG0000045	XM_001587065.1.p1	XM_001882643.1.p1, XM_001882488.1.p1, XM_001875202.1.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	XM_001885163.1.p1
OG0000046	XM_001586463.1.p1	XM_001884541.1.p1
OG0000046	XM_001586462.1.p1, XM_001594665.1.p1, XM_001587340.1.p1, XM_001586379.1.p1	XM_001885064.1.p1, XM_001887584.1.p1
OG0000048	XM_001597604.1.p1	XM_001882158.1.p1, XM_001877308.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_001881649.1.p1, XM_001881648.1.p1, XM_001882169.1.p1
OG0000050	XM_001585954.1.p1	XM_001880371.1.p1
OG0000051	XM_001589798.1.p1	XM_001880936.1.p1, XM_001879356.1.p1
OG0000051	XM_001590870.1.p1	XM_001876076.1.p1
OG0000051	XM_001585247.1.p1	XM_001874012.1.p1
OG0000052	XM_001595011.1.p1, XM_001598643.1.p1	XM_001889933.1.p1, XM_001883187.1.p1
OG0000055	XM_001589853.1.p1, XM_001587585.1.p1, XM_001586322.1.p1, XM_001593073.1.p1	XM_001877438.1.p1
OG0000056	XM_001591650.1.p1, XM_001585689.1.p1, XM_001593553.1.p1, XM_001591666.1.p1, XM_001591171.1.p1	XM_001878519.1.p1, XM_001879644.1.p1
OG0000057	XM_001594938.1.p1	XM_001885517.1.p1
OG0000058	XM_001597998.1.p1	XM_001874790.1.p1
OG0000058	XM_001596000.1.p1	XM_001880183.1.p1, XM_001879991.1.p1
OG0000058	XM_001592674.1.p1	XM_001878551.1.p1
OG0000058	XM_001589509.1.p1	XM_001889939.1.p1
OG0000058	XM_001589061.1.p1	XM_001880140.1.p1
OG0000062	XM_001595980.1.p1, XM_001592845.1.p1, XM_001595701.1.p1	XM_001877103.1.p1
OG0000063	XM_001584999.1.p1	XM_001873888.1.p1, XM_001884504.1.p1, XM_001889027.1.p1, XM_001887749.1.p1, XM_001880471.1.p1, XM_001886964.1.p1, XM_001889028.1.p1, XM_001889029.1.p1, XM_001883809.1.p1, XM_001883808.1.p1, XM_001879461.1.p1, XM_001884469.1.p1, XM_001884468.1.p1, XM_001873718.1.p1, XM_001874366.1.p1, XM_001878474.1.p1, XM_001878111.1.p1, XM_001878475.1.p1, XM_001877297.1.p1, XM_001873269.1.p1
OG0000064	XM_001585209.1.p1, XM_001585305.1.p1, XM_001588665.1.p1, XM_001594438.1.p1	XM_001882516.1.p1
OG0000065	XM_001588469.1.p1, XM_001598587.1.p1, XM_001590788.1.p1	XM_001890839.1.p1, XM_001885661.1.p1, XM_001890840.1.p1, XM_001885663.1.p1
OG0000065	XM_001589163.1.p1, XM_001596414.1.p1, XM_001593635.1.p1, XM_001597774.1.p1, XM_001598590.1.p1, XM_001596973.1.p1, XM_001589677.1.p1, XM_001585844.1.p1	XM_001888329.1.p1, XM_001888328.1.p1
OG0000066	XM_001592949.1.p1	XM_001876235.1.p1, XM_001883332.1.p1, XM_001888491.1.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1, XM_001590271.1.p1	XM_001882463.1.p1, XM_001881744.1.p1
OG0000069	XM_001590565.1.p1	XM_001883137.1.p1, XM_001883338.1.p1, XM_001888484.1.p1, XM_001874211.1.p1, XM_001888735.1.p1
OG0000070	XM_001598556.1.p1	XM_001874838.1.p1
OG0000070	XM_001587941.1.p1	XM_001882498.1.p1
OG0000070	XM_001588423.1.p1	XM_001880747.1.p1
OG0000071	XM_001593511.1.p1	XM_001879170.1.p1
OG0000071	XM_001593038.1.p1	XM_001886750.1.p1
OG0000071	XM_001587924.1.p1	XM_001877733.1.p1
OG0000071	XM_001593312.1.p1	XM_001882651.1.p1, XM_001887757.1.p1
OG0000072	XM_001585746.1.p1	XM_001875033.1.p1
OG0000072	XM_001591150.1.p1	XM_001889398.1.p1, XM_001874602.1.p1
OG0000073	XM_001591346.1.p1, XM_001596564.1.p1, XM_001588518.1.p1, XM_001592346.1.p1, XM_001589432.1.p1, XM_001586390.1.p1, XM_001586364.1.p1, XM_001588285.1.p1, XM_001591681.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1, XM_001598368.1.p1, XM_001589547.1.p1, XM_001587031.1.p1, XM_001597254.1.p1, XM_001594006.1.p1, XM_001585046.1.p1, XM_001587043.1.p1, XM_001598359.1.p1, XM_001587465.1.p1, XM_001591370.1.p1, XM_001589576.1.p1, XM_001593440.1.p1, XM_001591652.1.p1, XM_001589130.1.p1, XM_001588425.1.p1, XM_001585810.1.p1, XM_001589755.1.p1, XM_001584981.1.p1	XM_001888909.1.p1
OG0000075	XM_001595696.1.p1, XM_001596825.1.p1	XM_001873350.1.p1
OG0000075	XM_001589867.1.p1	XM_001875777.1.p1
OG0000076	XM_001595074.1.p1	XM_001874080.1.p1
OG0000076	XM_001597093.1.p1	XM_001873935.1.p1
OG0000076	XM_001589714.1.p1	XM_001879037.1.p1
OG0000076	XM_001587341.1.p1	XM_001879647.1.p1, XM_001882322.1.p1
OG0000078	XM_001594013.1.p1, XM_001597054.1.p1, XM_001584698.1.p1, XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	XM_001874430.1.p1, XM_001874473.1.p1, XM_001886497.1.p1
OG0000079	XM_001596030.1.p1	XM_001883260.1.p1
OG0000079	XM_001591730.1.p1	XM_001873277.1.p1
OG0000080	XM_001585697.1.p1, XM_001590695.1.p1, XM_001597918.1.p1	XM_001884305.1.p1
OG0000081	XM_001586053.1.p1, XM_001589644.1.p1	XM_001880976.1.p1
OG0000081	XM_001593006.1.p1	XM_001876692.1.p1
OG0000082	XM_001587987.1.p1, XM_001590030.1.p1	XM_001875714.1.p1, XM_001876116.1.p1
OG0000082	XM_001595339.1.p1	XM_001877026.1.p1
OG0000082	XM_001594647.1.p1	XM_001886225.1.p1
OG0000084	XM_001590245.1.p1	XM_001877541.1.p1
OG0000085	XM_001598503.1.p1, XM_001598129.1.p1, XM_001592458.1.p1	XM_001875128.1.p1, XM_001886815.1.p1, XM_001886813.1.p1, XM_001877086.1.p1, XM_001880517.1.p1, XM_001886726.1.p1, XM_001878092.1.p1, XM_001886224.1.p1, XM_001886148.1.p1
OG0000087	XM_001595355.1.p1	XM_001881063.1.p1
OG0000087	XM_001598496.1.p1	XM_001883457.1.p1
OG0000088	XM_001586938.1.p1	XM_001883835.1.p1, XM_001887633.1.p1, XM_001873894.1.p1
OG0000089	XM_001591699.1.p1, XM_001597672.1.p1, XM_001587168.1.p1, XM_001588511.1.p1, XM_001598564.1.p1, XM_001584621.1.p1	XM_001877059.1.p1
OG0000090	XM_001594729.1.p1	XM_001873643.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1, XM_001591446.1.p1	XM_001880379.1.p1
OG0000093	XM_001598888.1.p1	XM_001876534.1.p1, XM_001888773.1.p1, XM_001881517.1.p1, XM_001888774.1.p1, XM_001889680.1.p1, XM_001889679.1.p1
OG0000094	XM_001589274.1.p1	XM_001887830.1.p1
OG0000095	XM_001593952.1.p1, XM_001596701.1.p1	XM_001887795.1.p1
OG0000099	XM_001597745.1.p1	XM_001886540.1.p1, XM_001886226.1.p1
OG0000103	XM_001588403.1.p1, XM_001598588.1.p1	XM_001882269.1.p1, XM_001882347.1.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1, XM_001589359.1.p1	XM_001887037.1.p1, XM_001887036.1.p1, XM_001885020.1.p1, XM_001882165.1.p1, XM_001875705.1.p1, XM_001876797.1.p1, XM_001875111.1.p1, XM_001873771.1.p1, XM_001878713.1.p1
OG0000106	XM_001586917.1.p1, XM_001587874.1.p1, XM_001588237.1.p1, XM_001586507.1.p1, XM_001588849.1.p1, XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1, XM_001585132.1.p1	XM_001877761.1.p1
OG0000107	XM_001584783.1.p1, XM_001589423.1.p1, XM_001592404.1.p1	XM_001880158.1.p1
OG0000108	XM_001596312.1.p1	XM_001886683.1.p1, XM_001877809.1.p1, XM_001888477.1.p1, XM_001891324.1.p1, XM_001878459.1.p1
OG0000108	XM_001593720.1.p1	XM_001873521.1.p1, XM_001887368.1.p1, XM_001883310.1.p1
OG0000109	XM_001598413.1.p1, XM_001594476.1.p1	XM_001877838.1.p1, XM_001877751.1.p1, XM_001880520.1.p1, XM_001880281.1.p1, XM_001889523.1.p1, XM_001879380.1.p1, XM_001885866.1.p1, XM_001889808.1.p1
OG0000110	XM_001598036.1.p1	XM_001874595.1.p1
OG0000110	XM_001598742.1.p1	XM_001875713.1.p1
OG0000110	XM_001598035.1.p1	XM_001873233.1.p1
OG0000111	XM_001590699.1.p1	XM_001879135.1.p1
OG0000111	XM_001590723.1.p1	XM_001877783.1.p1
OG0000111	XM_001590630.1.p1	XM_001890332.1.p1
OG0000111	XM_001585540.1.p1	XM_001883305.1.p1
OG0000112	XM_001587130.1.p1	XM_001878879.1.p1, XM_001873674.1.p1, XM_001876121.1.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1	XM_001883639.1.p1, XM_001883756.1.p1
OG0000113	XM_001598286.1.p1, XM_001589093.1.p1, XM_001587022.1.p1, XM_001596658.1.p1	XM_001878588.1.p1, XM_001880561.1.p1, XM_001880562.1.p1, XM_001878118.1.p1, XM_001880776.1.p1, XM_001877212.1.p1
OG0000114	XM_001595727.1.p1	XM_001879057.1.p1, XM_001890993.1.p1, XM_001888196.1.p1, XM_001889045.1.p1, XM_001888976.1.p1
OG0000114	XM_001595917.1.p1	XM_001889612.1.p1
OG0000114	XM_001596499.1.p1	XM_001883705.1.p1
OG0000114	XM_001592280.1.p1	XM_001880169.1.p1
OG0000119	XM_001585226.1.p1, XM_001592024.1.p1	XM_001873693.1.p1
OG0000121	XM_001585347.1.p1, XM_001585231.1.p1, XM_001594514.1.p1, XM_001588843.1.p1, XM_001586430.1.p1, XM_001588531.1.p1, XM_001595985.1.p1, XM_001591107.1.p1	XM_001877520.1.p1
OG0000122	XM_001595033.1.p1	XM_001878600.1.p1
OG0000122	XM_001585288.1.p1	XM_001888742.1.p1
OG0000123	XM_001590327.1.p1	XM_001886288.1.p1
OG0000126	XM_001594679.1.p1	XM_001879980.1.p1
OG0000127	XM_001585475.1.p1, XM_001594936.1.p1	XM_001877995.1.p1, XM_001880989.1.p1
OG0000128	XM_001593926.1.p1, XM_001587645.1.p1, XM_001587546.1.p1, XM_001595695.1.p1, XM_001588790.1.p1	XM_001879749.1.p1
OG0000129	XM_001592853.1.p1	XM_001887139.1.p1
OG0000129	XM_001587396.1.p1, XM_001594102.1.p1	XM_001874577.1.p1, XM_001885369.1.p1
OG0000133	XM_001592707.1.p1, XM_001591786.1.p1, XM_001584629.1.p1	XM_001873989.1.p1
OG0000133	XM_001594131.1.p1	XM_001884389.1.p1, XM_001884306.1.p1, XM_001884324.1.p1, XM_001884449.1.p1, XM_001883113.1.p1
OG0000136	XM_001591416.1.p1, XM_001585363.1.p1	XM_001876519.1.p1
OG0000137	XM_001595718.1.p1	XM_001876620.1.p1
OG0000137	XM_001590475.1.p1	XM_001877354.1.p1, XM_001887515.1.p1
OG0000137	XM_001593484.1.p1	XM_001873407.1.p1
OG0000139	XM_001584731.1.p1, XM_001588988.1.p1, XM_001589567.1.p1, XM_001590289.1.p1, XM_001591243.1.p1	XM_001874573.1.p1, XM_001883941.1.p1, XM_001889918.1.p1, XM_001889919.1.p1
OG0000141	XM_001591420.1.p1, XM_001593600.1.p1	XM_001878353.1.p1
OG0000141	XM_001591233.1.p1	XM_001876709.1.p1
OG0000143	XM_001587980.1.p1, XM_001595416.1.p1	XM_001889235.1.p1, XM_001882676.1.p1, XM_001878788.1.p1, XM_001889407.1.p1, XM_001882316.1.p1, XM_001882977.1.p1, XM_001889378.1.p1
OG0000144	XM_001595270.1.p1, XM_001584641.1.p1	XM_001873791.1.p1
OG0000145	XM_001596988.1.p1	XM_001874894.1.p1
OG0000145	XM_001591190.1.p1, XM_001589003.1.p1	XM_001879878.1.p1, XM_001888877.1.p1, XM_001874400.1.p1, XM_001874491.1.p1
OG0000147	XM_001584653.1.p1, XM_001597515.1.p1	XM_001879354.1.p1
OG0000148	XM_001584961.1.p1, XM_001587257.1.p1	XM_001880875.1.p1, XM_001880738.1.p1, XM_001874721.1.p1
OG0000148	XM_001598192.1.p1	XM_001874914.1.p1
OG0000150	XM_001591864.1.p1, XM_001592862.1.p1	XM_001875269.1.p1
OG0000150	XM_001598441.1.p1	XM_001874611.1.p1, XM_001873990.1.p1
OG0000151	XM_001590918.1.p1	XM_001879743.1.p1, XM_001876910.1.p1, XM_001875865.1.p1
OG0000151	XM_001595088.1.p1	XM_001884536.1.p1
OG0000151	XM_001585695.1.p1	XM_001880703.1.p1
OG0000153	XM_001589373.1.p1	XM_001883112.1.p1
OG0000155	XM_001595155.1.p1	XM_001880730.1.p1
OG0000155	XM_001585183.1.p1	XM_001880841.1.p1, XM_001880848.1.p1, XM_001880856.1.p1
OG0000156	XM_001590138.1.p1, XM_001590558.1.p1	XM_001879903.1.p1
OG0000157	XM_001584928.1.p1	XM_001878578.1.p1
OG0000159	XM_001586220.1.p1	XM_001873463.1.p1
OG0000159	XM_001597022.1.p1	XM_001876641.1.p1
OG0000161	XM_001588180.1.p1, XM_001585748.1.p1, XM_001587165.1.p1	XM_001885735.1.p1
OG0000162	XM_001598406.1.p1	XM_001874694.1.p1
OG0000162	XM_001598925.1.p1	XM_001877289.1.p1
OG0000162	XM_001592439.1.p1	XM_001877015.1.p1
OG0000163	XM_001588689.1.p1	XM_001888654.1.p1
OG0000163	XM_001590923.1.p1	XM_001887644.1.p1, XM_001887656.1.p1, XM_001886418.1.p1, XM_001886419.1.p1
OG0000163	XM_001587263.1.p1	XM_001888911.1.p1
OG0000164	XM_001598198.1.p1	XM_001889637.1.p1, XM_001878704.1.p1
OG0000166	XM_001596176.1.p1	XM_001873289.1.p1
OG0000169	XM_001592310.1.p1	XM_001876955.1.p1, XM_001888816.1.p1, XM_001882687.1.p1
OG0000169	XM_001594644.1.p1	XM_001886134.1.p1, XM_001887482.1.p1, XM_001873886.1.p1
OG0000170	XM_001585258.1.p1	XM_001884141.1.p1, XM_001877083.1.p1, XM_001877085.1.p1
OG0000171	XM_001592227.1.p1, XM_001585029.1.p1, XM_001596547.1.p1, XM_001594242.1.p1, XM_001590524.1.p1	XM_001881810.1.p1, XM_001881812.1.p1, XM_001887009.1.p1
OG0000172	XM_001590603.1.p1	XM_001877778.1.p1
OG0000172	XM_001590018.1.p1	XM_001874583.1.p1
OG0000173	XM_001593315.1.p1	XM_001885642.1.p1
OG0000174	XM_001591883.1.p1, XM_001597061.1.p1, XM_001590770.1.p1, XM_001585955.1.p1	XM_001881837.1.p1, XM_001878271.1.p1
OG0000175	XM_001592718.1.p1	XM_001889460.1.p1
OG0000176	XM_001594380.1.p1	XM_001874100.1.p1, XM_001882899.1.p1, XM_001876933.1.p1
OG0000177	XM_001591247.1.p1	XM_001883455.1.p1
OG0000178	XM_001594170.1.p1	XM_001884308.1.p1
OG0000178	XM_001597585.1.p1	XM_001875073.1.p1
OG0000178	XM_001590945.1.p1	XM_001882892.1.p1
OG0000181	XM_001597256.1.p1, XM_001589985.1.p1	XM_001889723.1.p1
OG0000182	XM_001588602.1.p1	XM_001885257.1.p1
OG0000182	XM_001595051.1.p1	XM_001874983.1.p1
OG0000185	XM_001589036.1.p1, XM_001592840.1.p1, XM_001597553.1.p1	XM_001891204.1.p1
OG0000189	XM_001589775.1.p1	XM_001885811.1.p1, XM_001885800.1.p1, XM_001882731.1.p1, XM_001881677.1.p1, XM_001876935.1.p1
OG0000189	XM_001593065.1.p1, XM_001592803.1.p1	XM_001874005.1.p1, XM_001883330.1.p1, XM_001886199.1.p1
OG0000192	XM_001594642.1.p1	XM_001886633.1.p1, XM_001883519.1.p1, XM_001882069.1.p1
OG0000192	XM_001597741.1.p1	XM_001873735.1.p1
OG0000192	XM_001588260.1.p1	XM_001877221.1.p1
OG0000193	XM_001584881.1.p1	XM_001881122.1.p1
OG0000194	XM_001585468.1.p1	XM_001888500.1.p1, XM_001888495.1.p1, XM_001888494.1.p1
OG0000195	XM_001584810.1.p1	XM_001877372.1.p1
OG0000198	XM_001589999.1.p1	XM_001877401.1.p1
OG0000199	XM_001595824.1.p1	XM_001877481.1.p1, XM_001874582.1.p1
OG0000200	XM_001591001.1.p1	XM_001883912.1.p1, XM_001883987.1.p1, XM_001876861.1.p1, XM_001883967.1.p1
OG0000200	XM_001585607.1.p1	XM_001876398.1.p1
OG0000201	XM_001586673.1.p1, XM_001590628.1.p1	XM_001881270.1.p1
OG0000203	XM_001586307.1.p1, XM_001590586.1.p1	XM_001875657.1.p1
OG0000204	XM_001596468.1.p1, XM_001587311.1.p1	XM_001879436.1.p1
OG0000205	XM_001594836.1.p1, XM_001593614.1.p1	XM_001875687.1.p1
OG0000205	XM_001586695.1.p1, XM_001588812.1.p1	XM_001886468.1.p1, XM_001882641.1.p1
OG0000207	XM_001596987.1.p1, XM_001584718.1.p1	XM_001886627.1.p1, XM_001888823.1.p1, XM_001878537.1.p1
OG0000210	XM_001597130.1.p1, XM_001584956.1.p1	XM_001879508.1.p1, XM_001879509.1.p1, XM_001877205.1.p1
OG0000211	XM_001586269.1.p1	XM_001876177.1.p1
OG0000211	XM_001591045.1.p1	XM_001888720.1.p1, XM_001881688.1.p1, XM_001881691.1.p1, XM_001881685.1.p1, XM_001880957.1.p1
OG0000212	XM_001588279.1.p1	XM_001875694.1.p1
OG0000212	XM_001597073.1.p1	XM_001886771.1.p1
OG0000213	XM_001589354.1.p1, XM_001590988.1.p1, XM_001594639.1.p1	XM_001875182.1.p1
OG0000214	XM_001592574.1.p1, XM_001596341.1.p1	XM_001876457.1.p1
OG0000216	XM_001598206.1.p1	XM_001874173.1.p1
OG0000219	XM_001592740.1.p1, XM_001597493.1.p1, XM_001593717.1.p1	XM_001878941.1.p1, XM_001878987.1.p1
OG0000220	XM_001586069.1.p1	XM_001885817.1.p1
OG0000221	XM_001597328.1.p1, XM_001595508.1.p1	XM_001886995.1.p1
OG0000222	XM_001592463.1.p1	XM_001886558.1.p1, XM_001881849.1.p1, XM_001888603.1.p1, XM_001874518.1.p1, XM_001881845.1.p1, XM_001878488.1.p1, XM_001877304.1.p1
OG0000226	XM_001591492.1.p1, XM_001584873.1.p1	XM_001887436.1.p1, XM_001885070.1.p1, XM_001885071.1.p1
OG0000227	XM_001596721.1.p1	XM_001879751.1.p1
OG0000227	XM_001597258.1.p1	XM_001880002.1.p1
OG0000228	XM_001598326.1.p1, XM_001590417.1.p1	XM_001873933.1.p1, XM_001873780.1.p1
OG0000229	XM_001584665.1.p1	XM_001874255.1.p1
OG0000229	XM_001592829.1.p1	XM_001877732.1.p1
OG0000230	XM_001595688.1.p1	XM_001873786.1.p1
OG0000230	XM_001584950.1.p1	XM_001874771.1.p1
OG0000231	XM_001591186.1.p1	XM_001873258.1.p1
OG0000232	XM_001589722.1.p1	XM_001876925.1.p1
OG0000235	XM_001587120.1.p1	XM_001889146.1.p1
OG0000236	XM_001596648.1.p1	XM_001875364.1.p1
OG0000237	XM_001585240.1.p1	XM_001877377.1.p1
OG0000237	XM_001587970.1.p1	XM_001881364.1.p1
OG0000237	XM_001598176.1.p1	XM_001880867.1.p1
OG0000238	XM_001587158.1.p1	XM_001875407.1.p1
OG0000238	XM_001595636.1.p1	XM_001880882.1.p1
OG0000239	XM_001591165.1.p1	XM_001880278.1.p1
OG0000241	XM_001594149.1.p1, XM_001593862.1.p1	XM_001882028.1.p1, XM_001888153.1.p1, XM_001873871.1.p1, XM_001881026.1.p1, XM_001876617.1.p1
OG0000244	XM_001585917.1.p1	XM_001881347.1.p1
OG0000244	XM_001597739.1.p1	XM_001878252.1.p1
