Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Blumeria_graminis_cds_prot
OG0000011	XM_001589489.1.p1	lcl|LR898469.1_cds_CAD6499398.1_756.p1
OG0000011	XM_001593089.1.p1	lcl|LR898469.1_cds_CAD6499452.1_810.p1
OG0000011	XM_001591956.1.p1	lcl|LR898469.1_cds_CAD6499318.1_676.p1
OG0000013	XM_001588453.1.p1	lcl|LR898469.1_cds_CAD6500138.1_1496.p1
OG0000014	XM_001596474.1.p1	lcl|LR898474.1_cds_CAD6503703.1_5061.p1
OG0000018	XM_001585047.1.p1	lcl|LR898468.1_cds_CAD6499243.1_601.p1, lcl|LR898468.1_cds_CAD6499242.1_600.p1, lcl|LR898468.1_cds_CAD6499241.1_599.p1
OG0000021	XM_001590703.1.p1	lcl|LR898476.1_cds_CAD6504708.1_6066.p1
OG0000022	XM_001587680.1.p1, XM_001593008.1.p1	lcl|LR898474.1_cds_CAD6503133.1_4491.p1
OG0000025	XM_001594625.1.p1	lcl|LR898474.1_cds_CAD6503294.1_4652.p1
OG0000029	XM_001586393.1.p1	lcl|LR898469.1_cds_CAD6499804.1_1162.p1
OG0000030	XM_001589467.1.p1, XM_001589863.1.p1	lcl|LR898476.1_cds_CAD6505437.1_6795.p1, lcl|LR898472.1_cds_CAD6501468.1_2826.p1
OG0000031	XM_001587417.1.p1	lcl|LR898472.1_cds_CAD6501762.1_3120.p1
OG0000032	XM_001588011.1.p1	lcl|LR898469.1_cds_CAD6500024.1_1382.p1
OG0000032	XM_001587657.1.p1	lcl|LR898473.1_cds_CAD6502607.1_3965.p1
OG0000032	XM_001592925.1.p1	lcl|LR898469.1_cds_CAD6500140.1_1498.p1
OG0000034	XM_001590944.1.p1	lcl|LR898475.1_cds_CAD6504377.1_5735.p1
OG0000038	XM_001597383.1.p1	lcl|LR898476.1_cds_CAD6505696.1_7054.p1
OG0000038	XM_001585894.1.p1	lcl|LR898476.1_cds_CAD6505522.1_6880.p1
OG0000039	XM_001594345.1.p1	lcl|LR898476.1_cds_CAD6504560.1_5918.p1
OG0000041	XM_001592613.1.p1	lcl|LR898474.1_cds_CAD6503306.1_4664.p1
OG0000042	XM_001595143.1.p1	lcl|LR898472.1_cds_CAD6501982.1_3340.p1
OG0000042	XM_001586568.1.p1	lcl|LR898476.1_cds_CAD6505259.1_6617.p1, lcl|LR898473.1_cds_CAD6502328.1_3686.p1
OG0000046	XM_001586463.1.p1	lcl|LR898471.1_cds_CAD6500747.1_2105.p1
OG0000046	XM_001587340.1.p1	lcl|LR898472.1_cds_CAD6502087.1_3445.p1
OG0000046	XM_001586379.1.p1	lcl|LR898476.1_cds_CAD6505296.1_6654.p1, lcl|LR898476.1_cds_CAD6505298.1_6656.p1
OG0000048	XM_001597604.1.p1	lcl|LR898476.1_cds_CAD6505512.1_6870.p1
OG0000048	XM_001589336.1.p1	lcl|LR898475.1_cds_CAD6504173.1_5531.p1
OG0000048	XM_001586792.1.p1	lcl|LR898472.1_cds_CAD6502226.1_3584.p1
OG0000049	XM_001598398.1.p1	lcl|LR898472.1_cds_CAD6501853.1_3211.p1
OG0000049	XM_001593385.1.p1	lcl|LR898474.1_cds_CAD6503183.1_4541.p1
OG0000050	XM_001585954.1.p1	lcl|LR898468.1_cds_CAD6498756.1_114.p1
OG0000051	XM_001589798.1.p1	lcl|LR898473.1_cds_CAD6502698.1_4056.p1
OG0000051	XM_001598899.1.p1	lcl|LR898469.1_cds_CAD6499519.1_877.p1
OG0000051	XM_001590870.1.p1	lcl|LR898475.1_cds_CAD6504129.1_5487.p1
OG0000051	XM_001587951.1.p1	lcl|LR898469.1_cds_CAD6499725.1_1083.p1
OG0000051	XM_001596631.1.p1	lcl|LR898475.1_cds_CAD6504311.1_5669.p1
OG0000051	XM_001585247.1.p1	lcl|LR898468.1_cds_CAD6499108.1_466.p1
OG0000052	XM_001585446.1.p1	lcl|LR898473.1_cds_CAD6502690.1_4048.p1
OG0000052	XM_001595011.1.p1	lcl|LR898477.1_cds_CAD6506200.1_7558.p1
OG0000052	XM_001598643.1.p1	lcl|LR898472.1_cds_CAD6501729.1_3087.p1
OG0000055	XM_001593073.1.p1	lcl|LR898469.1_cds_CAD6499299.1_657.p1
OG0000058	XM_001597998.1.p1	lcl|LR898477.1_cds_CAD6505989.1_7347.p1
OG0000058	XM_001596000.1.p1	lcl|LR898471.1_cds_CAD6500542.1_1900.p1
OG0000058	XM_001592674.1.p1	lcl|LR898469.1_cds_CAD6500039.1_1397.p1
OG0000058	XM_001589509.1.p1	lcl|LR898468.1_cds_CAD6498747.1_105.p1
OG0000058	XM_001589061.1.p1	lcl|LR898468.1_cds_CAD6499198.1_556.p1
OG0000061	XM_001592625.1.p1	lcl|LR898476.1_cds_CAD6504567.1_5925.p1
OG0000063	XM_001594922.1.p1	lcl|LR898475.1_cds_CAD6504194.1_5552.p1
OG0000064	XM_001585209.1.p1	lcl|LR898474.1_cds_CAD6503520.1_4878.p1
OG0000066	XM_001592949.1.p1	lcl|LR898474.1_cds_CAD6503634.1_4992.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001596057.1.p1	lcl|LR898469.1_cds_CAD6499988.1_1346.p1
OG0000069	XM_001590565.1.p1	lcl|LR898472.1_cds_CAD6501846.1_3204.p1
OG0000069	XM_001589598.1.p1	lcl|LR898468.1_cds_CAD6498996.1_354.p1
OG0000070	XM_001598556.1.p1	lcl|LR898472.1_cds_CAD6502006.1_3364.p1
OG0000070	XM_001587941.1.p1	lcl|LR898476.1_cds_CAD6504530.1_5888.p1
OG0000071	XM_001593511.1.p1	lcl|LR898476.1_cds_CAD6505205.1_6563.p1
OG0000071	XM_001593038.1.p1	lcl|LR898472.1_cds_CAD6501497.1_2855.p1
OG0000071	XM_001587924.1.p1	lcl|LR898469.1_cds_CAD6499420.1_778.p1
OG0000071	XM_001593312.1.p1	lcl|LR898472.1_cds_CAD6501391.1_2749.p1
OG0000072	XM_001591150.1.p1	lcl|LR898470.1_cds_CAD6500224.1_1582.p1
OG0000075	XM_001589867.1.p1	lcl|LR898476.1_cds_CAD6505349.1_6707.p1
OG0000076	XM_001595074.1.p1	lcl|LR898477.1_cds_CAD6506100.1_7458.p1
OG0000076	XM_001597093.1.p1	lcl|LR898469.1_cds_CAD6499919.1_1277.p1
OG0000076	XM_001589714.1.p1	lcl|LR898475.1_cds_CAD6504461.1_5819.p1
OG0000077	XM_001591303.1.p1	lcl|LR898474.1_cds_CAD6503061.1_4419.p1
OG0000077	XM_001585590.1.p1	lcl|LR898473.1_cds_CAD6502836.1_4194.p1
OG0000079	XM_001596030.1.p1	lcl|LR898473.1_cds_CAD6502701.1_4059.p1
OG0000079	XM_001591730.1.p1	lcl|LR898471.1_cds_CAD6500817.1_2175.p1
OG0000079	XM_001598063.1.p1	lcl|LR898472.1_cds_CAD6502078.1_3436.p1
OG0000079	XM_001590997.1.p1	lcl|LR898468.1_cds_CAD6499209.1_567.p1
OG0000081	XM_001593006.1.p1	lcl|LR898476.1_cds_CAD6505565.1_6923.p1
OG0000085	XM_001598503.1.p1	lcl|LR898468.1_cds_CAD6498725.1_83.p1
OG0000085	XM_001598129.1.p1, XM_001592458.1.p1	lcl|LR898475.1_cds_CAD6503820.1_5178.p1
OG0000087	XM_001595355.1.p1	lcl|LR898471.1_cds_CAD6501005.1_2363.p1
OG0000087	XM_001598496.1.p1	lcl|LR898472.1_cds_CAD6502125.1_3483.p1
OG0000087	XM_001597703.1.p1	lcl|LR898476.1_cds_CAD6505817.1_7175.p1
OG0000088	XM_001586938.1.p1	lcl|LR898469.1_cds_CAD6499447.1_805.p1
OG0000088	XM_001596104.1.p1	lcl|LR898473.1_cds_CAD6502635.1_3993.p1
OG0000088	XM_001588755.1.p1	lcl|LR898471.1_cds_CAD6500975.1_2333.p1
OG0000091	XM_001591770.1.p1	lcl|LR898474.1_cds_CAD6503617.1_4975.p1
OG0000092	XM_001598670.1.p1	lcl|LR898475.1_cds_CAD6503760.1_5118.p1
OG0000092	XM_001588329.1.p1	lcl|LR898476.1_cds_CAD6505146.1_6504.p1
OG0000094	XM_001589274.1.p1	lcl|LR898477.1_cds_CAD6505883.1_7241.p1
OG0000094	XM_001594932.1.p1	lcl|LR898475.1_cds_CAD6503852.1_5210.p1
OG0000094	XM_001596520.1.p1	lcl|LR898470.1_cds_CAD6500208.1_1566.p1, lcl|LR898470.1_cds_CAD6500217.1_1575.p1
OG0000094	XM_001591526.1.p1	lcl|LR898469.1_cds_CAD6499338.1_696.p1
OG0000095	XM_001593952.1.p1	lcl|LR898477.1_cds_CAD6506423.1_7781.p1
OG0000095	XM_001596701.1.p1	lcl|LR898475.1_cds_CAD6504338.1_5696.p1
OG0000097	XM_001593373.1.p1	lcl|LR898471.1_cds_CAD6500871.1_2229.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	lcl|LR898472.1_cds_CAD6502275.1_3633.p1
OG0000104	XM_001597178.1.p1, XM_001590303.1.p1, XM_001585253.1.p1, XM_001586898.1.p1, XM_001592112.1.p1	lcl|LR898469.1_cds_CAD6499822.1_1180.p1
OG0000105	XM_001595490.1.p1	lcl|LR898476.1_cds_CAD6504682.1_6040.p1
OG0000106	XM_001587874.1.p1	lcl|LR898473.1_cds_CAD6502410.1_3768.p1
OG0000108	XM_001596312.1.p1	lcl|LR898468.1_cds_CAD6498923.1_281.p1, lcl|LR898468.1_cds_CAD6498767.1_125.p1
OG0000110	XM_001598036.1.p1	lcl|LR898475.1_cds_CAD6503790.1_5148.p1
OG0000111	XM_001590699.1.p1	lcl|LR898476.1_cds_CAD6504809.1_6167.p1
OG0000111	XM_001590723.1.p1	lcl|LR898476.1_cds_CAD6504755.1_6113.p1
OG0000111	XM_001590630.1.p1	lcl|LR898476.1_cds_CAD6504716.1_6074.p1
OG0000111	XM_001585540.1.p1	lcl|LR898475.1_cds_CAD6504379.1_5737.p1
OG0000112	XM_001590980.1.p1	lcl|LR898475.1_cds_CAD6504479.1_5837.p1
OG0000113	XM_001589093.1.p1	lcl|LR898476.1_cds_CAD6504791.1_6149.p1
OG0000113	XM_001587022.1.p1	lcl|LR898476.1_cds_CAD6505295.1_6653.p1
OG0000113	XM_001596658.1.p1	lcl|LR898476.1_cds_CAD6505845.1_7203.p1
OG0000114	XM_001595727.1.p1	lcl|LR898476.1_cds_CAD6505226.1_6584.p1
OG0000114	XM_001595917.1.p1	lcl|LR898473.1_cds_CAD6502812.1_4170.p1
OG0000114	XM_001596499.1.p1	lcl|LR898468.1_cds_CAD6498942.1_300.p1
OG0000114	XM_001592280.1.p1	lcl|LR898476.1_cds_CAD6504590.1_5948.p1
OG0000120	XM_001594503.1.p1	lcl|LR898472.1_cds_CAD6501855.1_3213.p1
OG0000120	XM_001590352.1.p1	lcl|LR898470.1_cds_CAD6500271.1_1629.p1
OG0000121	XM_001595985.1.p1	lcl|LR898472.1_cds_CAD6502133.1_3491.p1
OG0000122	XM_001595033.1.p1	lcl|LR898472.1_cds_CAD6501889.1_3247.p1
OG0000122	XM_001585288.1.p1	lcl|LR898478.1_cds_CAD6506525.1_7883.p1
OG0000123	XM_001598819.1.p1	lcl|LR898471.1_cds_CAD6500850.1_2208.p1
OG0000128	XM_001593926.1.p1	lcl|LR898474.1_cds_CAD6503620.1_4978.p1
OG0000129	XM_001590739.1.p1	lcl|LR898476.1_cds_CAD6504688.1_6046.p1
OG0000129	XM_001592853.1.p1	lcl|LR898476.1_cds_CAD6505263.1_6621.p1
OG0000129	XM_001587396.1.p1	lcl|LR898477.1_cds_CAD6505944.1_7302.p1
OG0000133	XM_001584629.1.p1	lcl|LR898472.1_cds_CAD6502024.1_3382.p1
OG0000137	XM_001595718.1.p1	lcl|LR898471.1_cds_CAD6500642.1_2000.p1
OG0000137	XM_001590475.1.p1	lcl|LR898476.1_cds_CAD6504784.1_6142.p1
OG0000137	XM_001593484.1.p1	lcl|LR898471.1_cds_CAD6500616.1_1974.p1
OG0000139	XM_001588988.1.p1	lcl|LR898478.1_cds_CAD6506482.1_7840.p1
OG0000140	XM_001592573.1.p1	lcl|LR898472.1_cds_CAD6501449.1_2807.p1
OG0000140	XM_001587152.1.p1	lcl|LR898474.1_cds_CAD6503313.1_4671.p1
OG0000141	XM_001591233.1.p1	lcl|LR898476.1_cds_CAD6504895.1_6253.p1
OG0000142	XM_001590541.1.p1	lcl|LR898469.1_cds_CAD6499410.1_768.p1
OG0000143	XM_001587980.1.p1	lcl|LR898472.1_cds_CAD6501342.1_2700.p1
OG0000143	XM_001595416.1.p1	lcl|LR898477.1_cds_CAD6506187.1_7545.p1
OG0000143	XM_001597932.1.p1	lcl|LR898472.1_cds_CAD6501739.1_3097.p1
OG0000145	XM_001596988.1.p1	lcl|LR898474.1_cds_CAD6503469.1_4827.p1
OG0000147	XM_001598847.1.p1	lcl|LR898469.1_cds_CAD6499461.1_819.p1
OG0000148	XM_001584961.1.p1	lcl|LR898476.1_cds_CAD6504660.1_6018.p1
OG0000148	XM_001587257.1.p1	lcl|LR898472.1_cds_CAD6501442.1_2800.p1
OG0000148	XM_001598192.1.p1	lcl|LR898475.1_cds_CAD6503796.1_5154.p1
OG0000150	XM_001591864.1.p1	lcl|LR898469.1_cds_CAD6499737.1_1095.p1
OG0000150	XM_001592862.1.p1	lcl|LR898472.1_cds_CAD6501394.1_2752.p1
OG0000150	XM_001598441.1.p1	lcl|LR898472.1_cds_CAD6501943.1_3301.p1
OG0000151	XM_001590918.1.p1	lcl|LR898472.1_cds_CAD6501233.1_2591.p1
OG0000151	XM_001595088.1.p1	lcl|LR898477.1_cds_CAD6505987.1_7345.p1
OG0000151	XM_001585695.1.p1	lcl|LR898475.1_cds_CAD6504245.1_5603.p1
OG0000155	XM_001585183.1.p1	lcl|LR898468.1_cds_CAD6499120.1_478.p1
OG0000157	XM_001591936.1.p1	lcl|LR898473.1_cds_CAD6502494.1_3852.p1
OG0000157	XM_001584928.1.p1	lcl|LR898476.1_cds_CAD6504658.1_6016.p1
OG0000159	XM_001586220.1.p1	lcl|LR898475.1_cds_CAD6503870.1_5228.p1
OG0000159	XM_001597022.1.p1	lcl|LR898470.1_cds_CAD6500362.1_1720.p1
OG0000159	XM_001596681.1.p1	lcl|LR898475.1_cds_CAD6504289.1_5647.p1
OG0000162	XM_001598406.1.p1	lcl|LR898472.1_cds_CAD6501696.1_3054.p1
OG0000162	XM_001598925.1.p1	lcl|LR898471.1_cds_CAD6500991.1_2349.p1
OG0000162	XM_001592439.1.p1	lcl|LR898476.1_cds_CAD6504514.1_5872.p1
OG0000163	XM_001588689.1.p1	lcl|LR898469.1_cds_CAD6499508.1_866.p1
OG0000163	XM_001590923.1.p1	lcl|LR898472.1_cds_CAD6501234.1_2592.p1
OG0000163	XM_001587263.1.p1	lcl|LR898469.1_cds_CAD6499877.1_1235.p1
OG0000164	XM_001598198.1.p1	lcl|LR898470.1_cds_CAD6500386.1_1744.p1, lcl|LR898477.1_cds_CAD6506115.1_7473.p1
OG0000164	XM_001586644.1.p1	lcl|LR898472.1_cds_CAD6501344.1_2702.p1
OG0000165	XM_001594773.1.p1	lcl|LR898475.1_cds_CAD6503982.1_5340.p1
OG0000166	XM_001596176.1.p1	lcl|LR898473.1_cds_CAD6502756.1_4114.p1
OG0000166	XM_001596435.1.p1	lcl|LR898468.1_cds_CAD6498887.1_245.p1
OG0000167	XM_001592412.1.p1	lcl|LR898474.1_cds_CAD6503567.1_4925.p1
OG0000169	XM_001592310.1.p1	lcl|LR898474.1_cds_CAD6503515.1_4873.p1
OG0000170	XM_001585258.1.p1	lcl|LR898468.1_cds_CAD6499036.1_394.p1
OG0000172	XM_001590603.1.p1	lcl|LR898468.1_cds_CAD6499119.1_477.p1
OG0000172	XM_001590018.1.p1	lcl|LR898476.1_cds_CAD6505390.1_6748.p1
OG0000172	XM_001585270.1.p1	lcl|LR898478.1_cds_CAD6506563.1_7921.p1
OG0000173	XM_001587766.1.p1	lcl|LR898474.1_cds_CAD6502896.1_4254.p1
OG0000175	XM_001596839.1.p1	lcl|LR898474.1_cds_CAD6503422.1_4780.p1
OG0000176	XM_001594380.1.p1	lcl|LR898475.1_cds_CAD6503952.1_5310.p1
OG0000176	XM_001591850.1.p1	lcl|LR898471.1_cds_CAD6500812.1_2170.p1
OG0000176	XM_001593131.1.p1	lcl|LR898474.1_cds_CAD6503475.1_4833.p1
OG0000177	XM_001591247.1.p1	lcl|LR898469.1_cds_CAD6499890.1_1248.p1
OG0000177	XM_001595063.1.p1	lcl|LR898477.1_cds_CAD6506173.1_7531.p1
OG0000178	XM_001594170.1.p1	lcl|LR898468.1_cds_CAD6498963.1_321.p1
OG0000178	XM_001597585.1.p1	lcl|LR898476.1_cds_CAD6505580.1_6938.p1
OG0000178	XM_001590945.1.p1	lcl|LR898476.1_cds_CAD6505611.1_6969.p1
OG0000182	XM_001588602.1.p1	lcl|LR898469.1_cds_CAD6499488.1_846.p1
OG0000182	XM_001595051.1.p1	lcl|LR898477.1_cds_CAD6506158.1_7516.p1
OG0000182	XM_001585915.1.p1	lcl|LR898468.1_cds_CAD6498820.1_178.p1
OG0000185	XM_001589036.1.p1	lcl|LR898477.1_cds_CAD6505864.1_7222.p1
OG0000189	XM_001589775.1.p1	lcl|LR898469.1_cds_CAD6499283.1_641.p1
OG0000189	XM_001593065.1.p1	lcl|LR898472.1_cds_CAD6501409.1_2767.p1
OG0000189	XM_001592803.1.p1	lcl|LR898472.1_cds_CAD6501474.1_2832.p1
OG0000192	XM_001594643.1.p1	lcl|LR898475.1_cds_CAD6503944.1_5302.p1
OG0000192	XM_001588260.1.p1	lcl|LR898469.1_cds_CAD6499680.1_1038.p1
OG0000194	XM_001589621.1.p1	lcl|LR898468.1_cds_CAD6499002.1_360.p1
OG0000194	XM_001585468.1.p1	lcl|LR898471.1_cds_CAD6500646.1_2004.p1
OG0000195	XM_001597923.1.p1	lcl|LR898472.1_cds_CAD6501771.1_3129.p1
OG0000195	XM_001584810.1.p1	lcl|LR898474.1_cds_CAD6503577.1_4935.p1
OG0000195	XM_001588295.1.p1	lcl|LR898471.1_cds_CAD6500661.1_2019.p1
OG0000197	XM_001596869.1.p1	lcl|LR898469.1_cds_CAD6499798.1_1156.p1
OG0000198	XM_001587593.1.p1	lcl|LR898477.1_cds_CAD6506050.1_7408.p1
OG0000198	XM_001589999.1.p1	lcl|LR898476.1_cds_CAD6505444.1_6802.p1
OG0000199	XM_001595824.1.p1	lcl|LR898475.1_cds_CAD6504455.1_5813.p1
OG0000200	XM_001591001.1.p1	lcl|LR898468.1_cds_CAD6499205.1_563.p1
OG0000200	XM_001585608.1.p1	lcl|LR898473.1_cds_CAD6502832.1_4190.p1
OG0000200	XM_001585607.1.p1	lcl|LR898473.1_cds_CAD6502768.1_4126.p1
OG0000201	XM_001590628.1.p1	lcl|LR898476.1_cds_CAD6504712.1_6070.p1
OG0000201	XM_001585892.1.p1	lcl|LR898468.1_cds_CAD6498829.1_187.p1
OG0000207	XM_001596987.1.p1	lcl|LR898472.1_cds_CAD6501431.1_2789.p1
OG0000207	XM_001584718.1.p1	lcl|LR898475.1_cds_CAD6503949.1_5307.p1
OG0000210	XM_001597130.1.p1	lcl|LR898472.1_cds_CAD6501353.1_2711.p1
OG0000211	XM_001586269.1.p1	lcl|LR898469.1_cds_CAD6500185.1_1543.p1, lcl|LR898469.1_cds_CAD6500162.1_1520.p1, lcl|LR898477.1_cds_CAD6506457.1_7815.p1, lcl|LR898475.1_cds_CAD6504070.1_5428.p1, lcl|LR898477.1_cds_CAD6506266.1_7624.p1, lcl|LR898471.1_cds_CAD6500691.1_2049.p1
OG0000212	XM_001588279.1.p1	lcl|LR898471.1_cds_CAD6500662.1_2020.p1
OG0000212	XM_001597073.1.p1	lcl|LR898472.1_cds_CAD6501258.1_2616.p1
OG0000213	XM_001589354.1.p1	lcl|LR898475.1_cds_CAD6504138.1_5496.p1
OG0000213	XM_001590988.1.p1	lcl|LR898472.1_cds_CAD6502117.1_3475.p1
OG0000213	XM_001594639.1.p1	lcl|LR898477.1_cds_CAD6506271.1_7629.p1
OG0000214	XM_001596341.1.p1	lcl|LR898470.1_cds_CAD6500345.1_1703.p1
OG0000216	XM_001598206.1.p1	lcl|LR898475.1_cds_CAD6503811.1_5169.p1
OG0000220	XM_001586069.1.p1	lcl|LR898475.1_cds_CAD6503843.1_5201.p1
OG0000222	XM_001592463.1.p1	lcl|LR898476.1_cds_CAD6505332.1_6690.p1
OG0000226	XM_001584873.1.p1	lcl|LR898477.1_cds_CAD6506445.1_7803.p1
OG0000227	XM_001596721.1.p1	lcl|LR898472.1_cds_CAD6501208.1_2566.p1
OG0000227	XM_001597258.1.p1	lcl|LR898469.1_cds_CAD6500011.1_1369.p1
OG0000227	XM_001598493.1.p1	lcl|LR898472.1_cds_CAD6502127.1_3485.p1
OG0000228	XM_001598326.1.p1	lcl|LR898477.1_cds_CAD6505956.1_7314.p1
OG0000229	XM_001584665.1.p1	lcl|LR898471.1_cds_CAD6500943.1_2301.p1
OG0000230	XM_001595688.1.p1	lcl|LR898469.1_cds_CAD6500144.1_1502.p1
OG0000231	XM_001591186.1.p1	lcl|LR898476.1_cds_CAD6505659.1_7017.p1
OG0000231	XM_001591268.1.p1	lcl|LR898474.1_cds_CAD6503048.1_4406.p1
OG0000236	XM_001596648.1.p1	lcl|LR898476.1_cds_CAD6505838.1_7196.p1
OG0000237	XM_001585240.1.p1	lcl|LR898474.1_cds_CAD6503535.1_4893.p1
OG0000237	XM_001587970.1.p1	lcl|LR898475.1_cds_CAD6504372.1_5730.p1
OG0000237	XM_001598176.1.p1	lcl|LR898475.1_cds_CAD6503773.1_5131.p1
OG0000238	XM_001587158.1.p1	lcl|LR898470.1_cds_CAD6500508.1_1866.p1
OG0000239	XM_001586451.1.p1	lcl|LR898471.1_cds_CAD6500757.1_2115.p1
OG0000244	XM_001585917.1.p1	lcl|LR898468.1_cds_CAD6498821.1_179.p1
OG0000244	XM_001598060.1.p1	lcl|LR898468.1_cds_CAD6498720.1_78.p1
OG0000247	XM_001597776.1.p1	lcl|LR898473.1_cds_CAD6502670.1_4028.p1
OG0000249	XM_001587592.1.p1	lcl|LR898477.1_cds_CAD6506049.1_7407.p1
OG0000251	XM_001593458.1.p1	lcl|LR898471.1_cds_CAD6500648.1_2006.p1
OG0000255	XM_001586279.1.p1	lcl|LR898468.1_cds_CAD6499173.1_531.p1
OG0000260	XM_001587809.1.p1	lcl|LR898472.1_cds_CAD6501292.1_2650.p1
OG0000261	XM_001585923.1.p1	lcl|LR898468.1_cds_CAD6498817.1_175.p1
OG0000261	XM_001589789.1.p1	lcl|LR898474.1_cds_CAD6503596.1_4954.p1
OG0000262	XM_001585956.1.p1	lcl|LR898468.1_cds_CAD6498893.1_251.p1
OG0000263	XM_001595664.1.p1	lcl|LR898471.1_cds_CAD6500700.1_2058.p1
OG0000265	XM_001590863.1.p1	lcl|LR898472.1_cds_CAD6501421.1_2779.p1
OG0000266	XM_001595040.1.p1	lcl|LR898472.1_cds_CAD6501619.1_2977.p1
OG0000266	XM_001598558.1.p1	lcl|LR898472.1_cds_CAD6501979.1_3337.p1
OG0000268	XM_001594381.1.p1	lcl|LR898475.1_cds_CAD6503953.1_5311.p1
OG0000268	XM_001592851.1.p1	lcl|LR898469.1_cds_CAD6500072.1_1430.p1
OG0000269	XM_001587306.1.p1	lcl|LR898474.1_cds_CAD6503459.1_4817.p1
OG0000271	XM_001595666.1.p1	lcl|LR898471.1_cds_CAD6500684.1_2042.p1
OG0000271	XM_001585265.1.p1	lcl|LR898478.1_cds_CAD6506490.1_7848.p1
OG0000273	XM_001592377.1.p1	lcl|LR898477.1_cds_CAD6506321.1_7679.p1
OG0000274	XM_001592746.1.p1	lcl|LR898474.1_cds_CAD6503502.1_4860.p1
OG0000276	XM_001592491.1.p1	lcl|LR898476.1_cds_CAD6504638.1_5996.p1
OG0000276	XM_001598855.1.p1	lcl|LR898469.1_cds_CAD6499572.1_930.p1
OG0000276	XM_001597019.1.p1	lcl|LR898476.1_cds_CAD6505559.1_6917.p1
OG0000277	XM_001588099.1.p1	lcl|LR898476.1_cds_CAD6505322.1_6680.p1
OG0000279	XM_001594867.1.p1	lcl|LR898474.1_cds_CAD6503403.1_4761.p1
OG0000279	XM_001585797.1.p1	lcl|LR898475.1_cds_CAD6504361.1_5719.p1, lcl|LR898475.1_cds_CAD6504360.1_5718.p1
