Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Claviceps_purpurea_cds_prot
OG0000003	XM_001592033.1.p1	lcl|CAGA01000007.1_cds_CCE28042.1_7164.p1, lcl|CAGA01000007.1_cds_CCE28045.1_7167.p1, lcl|CAGA01000007.1_cds_CCE28046.1_7168.p1, lcl|CAGA01000043.1_cds_CCE32551.1_2798.p1, lcl|CAGA01000007.1_cds_CCE28047.1_7169.p1, lcl|CAGA01000007.1_cds_CCE28043.1_7165.p1, lcl|CAGA01000043.1_cds_CCE32552.1_2799.p1, lcl|CAGA01000007.1_cds_CCE28051.1_7173.p1, lcl|CAGA01000041.1_cds_CCE32405.1_2962.p1, lcl|CAGA01000043.1_cds_CCE32550.1_2797.p1, lcl|CAGA01000032.1_cds_CCE31632.1_3844.p1, lcl|CAGA01000049.1_cds_CCE32984.1_2424.p1, lcl|CAGA01000049.1_cds_CCE32985.1_2425.p1, lcl|CAGA01000032.1_cds_CCE31635.1_3847.p1, lcl|CAGA01000032.1_cds_CCE31633.1_3845.p1, lcl|CAGA01000002.1_cds_CCE26927.1_8455.p1, lcl|CAGA01000049.1_cds_CCE32988.1_2428.p1, lcl|CAGA01000049.1_cds_CCE32995.1_2435.p1, lcl|CAGA01000049.1_cds_CCE32986.1_2426.p1, lcl|CAGA01000049.1_cds_CCE32992.1_2432.p1, lcl|CAGA01000049.1_cds_CCE32983.1_2423.p1, lcl|CAGA01000049.1_cds_CCE32981.1_2421.p1, lcl|CAGA01000049.1_cds_CCE32997.1_2437.p1, lcl|CAGA01000049.1_cds_CCE32987.1_2427.p1, lcl|CAGA01000049.1_cds_CCE32976.1_2415.p1, lcl|CAGA01000049.1_cds_CCE32979.1_2418.p1, lcl|CAGA01000049.1_cds_CCE32977.1_2416.p1, lcl|CAGA01000049.1_cds_CCE32993.1_2433.p1, lcl|CAGA01000049.1_cds_CCE32996.1_2436.p1, lcl|CAGA01000032.1_cds_CCE31627.1_3839.p1, lcl|CAGA01000032.1_cds_CCE31631.1_3843.p1, lcl|CAGA01000189.1_cds_CCE35186.1_385.p1, lcl|CAGA01000032.1_cds_CCE31636.1_3848.p1, lcl|CAGA01000049.1_cds_CCE32978.1_2417.p1, lcl|CAGA01000032.1_cds_CCE31634.1_3846.p1, lcl|CAGA01000189.1_cds_CCE35188.1_387.p1, lcl|CAGA01000189.1_cds_CCE35189.1_388.p1, lcl|CAGA01000189.1_cds_CCE35197.1_396.p1, lcl|CAGA01000189.1_cds_CCE35196.1_395.p1, lcl|CAGA01000189.1_cds_CCE35198.1_397.p1, lcl|CAGA01000189.1_cds_CCE35192.1_391.p1, lcl|CAGA01000189.1_cds_CCE35187.1_386.p1, lcl|CAGA01000189.1_cds_CCE35194.1_393.p1, lcl|CAGA01000189.1_cds_CCE35183.1_382.p1, lcl|CAGA01000189.1_cds_CCE35190.1_389.p1, lcl|CAGA01000189.1_cds_CCE35191.1_390.p1, lcl|CAGA01000189.1_cds_CCE35193.1_392.p1, lcl|CAGA01000189.1_cds_CCE35185.1_384.p1, lcl|CAGA01000049.1_cds_CCE32974.1_2413.p1
OG0000004	XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1	lcl|CAGA01000002.1_cds_CCE26980.1_8508.p1
OG0000004	XM_001598793.1.p1	lcl|CAGA01000130.1_cds_CCE34844.1_516.p1, lcl|CAGA01000141.1_cds_CCE34872.1_486.p1, lcl|CAGA01000162.1_cds_CCE34914.1_445.p1
OG0000004	XM_001590148.1.p1, XM_001589143.1.p1, XM_001595066.1.p1, XM_001593416.1.p1, XM_001591744.1.p1	lcl|CAGA01000038.1_cds_CCE32194.1_3254.p1, lcl|CAGA01000074.1_cds_CCE34047.1_1291.p1
OG0000005	XM_001586851.1.p1	lcl|CAGA01000004.1_cds_CCE27465.1_7941.p1, lcl|CAGA01000069.1_cds_CCE33921.1_1480.p1
OG0000005	XM_001597228.1.p1	lcl|CAGA01000020.1_cds_CCE30208.1_5140.p1, lcl|CAGA01000020.1_cds_CCE30205.1_5137.p1
OG0000005	XM_001588834.1.p1	lcl|CAGA01000046.1_cds_CCE32788.1_2600.p1
OG0000006	XM_001596808.1.p1	lcl|CAGA01000008.1_cds_CCE28368.1_7043.p1
OG0000006	XM_001592785.1.p1	lcl|CAGA01000191.1_cds_CCE35419.1_48.p1
OG0000006	XM_001585309.1.p1	lcl|CAGA01000022.1_cds_CCE30464.1_4900.p1
OG0000006	XM_001586702.1.p1	lcl|CAGA01000006.1_cds_CCE27840.1_7425.p1
OG0000006	XM_001588137.1.p1	lcl|CAGA01000037.1_cds_CCE32094.1_3348.p1
OG0000006	XM_001584562.1.p1	lcl|CAGA01000048.1_cds_CCE32908.1_2462.p1
OG0000006	XM_001595264.1.p1, XM_001585666.1.p1	lcl|CAGA01000032.1_cds_CCE31595.1_3807.p1
OG0000007	XM_001590167.1.p1	lcl|CAGA01000012.1_cds_CCE29147.1_6226.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	lcl|CAGA01000015.1_cds_CCE29563.1_5797.p1
OG0000007	XM_001593251.1.p1	lcl|CAGA01000082.1_cds_CCE34259.1_1079.p1
OG0000008	XM_001591041.1.p1	lcl|CAGA01000001.1_cds_CCE26766.1_8831.p1, lcl|CAGA01000001.1_cds_CCE26749.1_8814.p1, lcl|CAGA01000021.1_cds_CCE30293.1_4980.p1, lcl|CAGA01000041.1_cds_CCE32398.1_2955.p1, lcl|CAGA01000005.1_cds_CCE27629.1_7653.p1
OG0000009	XM_001591183.1.p1	lcl|CAGA01000004.1_cds_CCE27469.1_7945.p1
OG0000010	XM_001587851.1.p1	lcl|CAGA01000083.1_cds_CCE34303.1_1067.p1
OG0000010	XM_001597412.1.p1	lcl|CAGA01000001.1_cds_CCE26720.1_8785.p1
OG0000011	XM_001598486.1.p1	lcl|CAGA01000012.1_cds_CCE29198.1_6278.p1
OG0000011	XM_001589489.1.p1	lcl|CAGA01000048.1_cds_CCE32927.1_2481.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	lcl|CAGA01000017.1_cds_CCE29778.1_5478.p1
OG0000011	XM_001591956.1.p1	lcl|CAGA01000002.1_cds_CCE27003.1_8531.p1
OG0000013	XM_001584703.1.p1	lcl|CAGA01000010.1_cds_CCE28689.1_6527.p1
OG0000013	XM_001598880.1.p1	lcl|CAGA01000009.1_cds_CCE28507.1_6761.p1
OG0000014	XM_001585201.1.p1, XM_001585962.1.p1, XM_001592890.1.p1, XM_001596332.1.p1	lcl|CAGA01000012.1_cds_CCE29233.1_6314.p1
OG0000014	XM_001596474.1.p1	lcl|CAGA01000082.1_cds_CCE34273.1_1093.p1
OG0000015	XM_001596760.1.p1	lcl|CAGA01000011.1_cds_CCE28897.1_6339.p1
OG0000019	XM_001586682.1.p1	lcl|CAGA01000075.1_cds_CCE34095.1_1272.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	lcl|CAGA01000009.1_cds_CCE28639.1_6894.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	lcl|CAGA01000016.1_cds_CCE29774.1_5744.p1, lcl|CAGA01000049.1_cds_CCE32968.1_2407.p1
OG0000022	XM_001589348.1.p1	lcl|CAGA01000051.1_cds_CCE33074.1_2266.p1
OG0000025	XM_001597796.1.p1	lcl|CAGA01000019.1_cds_CCE30059.1_5233.p1, lcl|CAGA01000016.1_cds_CCE29716.1_5686.p1
OG0000025	XM_001594625.1.p1	lcl|CAGA01000189.1_cds_CCE35094.1_291.p1
OG0000025	XM_001585370.1.p1	lcl|CAGA01000018.1_cds_CCE29922.1_5352.p1
OG0000027	XM_001594817.1.p1	lcl|CAGA01000092.1_cds_CCE34511.1_863.p1
OG0000029	XM_001586393.1.p1	lcl|CAGA01000006.1_cds_CCE27984.1_7569.p1
OG0000029	XM_001589831.1.p1	lcl|CAGA01000004.1_cds_CCE27474.1_7950.p1
OG0000031	XM_001586174.1.p1	lcl|CAGA01000001.1_cds_CCE26549.1_8614.p1
OG0000032	XM_001588011.1.p1	lcl|CAGA01000003.1_cds_CCE27086.1_8071.p1
OG0000032	XM_001587657.1.p1	lcl|CAGA01000012.1_cds_CCE29152.1_6231.p1
OG0000032	XM_001593976.1.p1	lcl|CAGA01000038.1_cds_CCE32160.1_3220.p1, lcl|CAGA01000038.1_cds_CCE32154.1_3214.p1
OG0000034	XM_001590944.1.p1	lcl|CAGA01000002.1_cds_CCE26819.1_8347.p1
OG0000034	XM_001588360.1.p1	lcl|CAGA01000011.1_cds_CCE29048.1_6491.p1
OG0000034	XM_001588815.1.p1	lcl|CAGA01000081.1_cds_CCE34243.1_1121.p1
OG0000035	XM_001595682.1.p1	lcl|CAGA01000031.1_cds_CCE31469.1_3892.p1
OG0000036	XM_001597457.1.p1	lcl|CAGA01000190.1_cds_CCE35269.1_105.p1
OG0000038	XM_001597383.1.p1	lcl|CAGA01000050.1_cds_CCE33020.1_2334.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1	lcl|CAGA01000003.1_cds_CCE27285.1_8270.p1
OG0000038	XM_001593634.1.p1	lcl|CAGA01000009.1_cds_CCE28657.1_6912.p1
OG0000038	XM_001590964.1.p1	lcl|CAGA01000056.1_cds_CCE33344.1_2010.p1
OG0000039	XM_001594345.1.p1	lcl|CAGA01000018.1_cds_CCE29967.1_5397.p1
OG0000039	XM_001593212.1.p1, XM_001594395.1.p1	lcl|CAGA01000029.1_cds_CCE31307.1_4163.p1
OG0000039	XM_001591791.1.p1	lcl|CAGA01000026.1_cds_CCE30959.1_4476.p1
OG0000042	XM_001595143.1.p1	lcl|CAGA01000003.1_cds_CCE27264.1_8249.p1
OG0000042	XM_001586568.1.p1	lcl|CAGA01000010.1_cds_CCE28822.1_6661.p1
OG0000043	XM_001597597.1.p1	lcl|CAGA01000014.1_cds_CCE29423.1_5919.p1
OG0000043	XM_001596074.1.p1	lcl|CAGA01000001.1_cds_CCE26612.1_8677.p1
OG0000045	XM_001587065.1.p1	lcl|CAGA01000189.1_cds_CCE35212.1_411.p1
OG0000046	XM_001586463.1.p1	lcl|CAGA01000064.1_cds_CCE33706.1_1662.p1
OG0000046	XM_001587340.1.p1	lcl|CAGA01000016.1_cds_CCE29701.1_5671.p1
OG0000048	XM_001597604.1.p1	lcl|CAGA01000093.1_cds_CCE34526.1_832.p1
OG0000048	XM_001598119.1.p1	lcl|CAGA01000002.1_cds_CCE27023.1_8551.p1
OG0000048	XM_001594212.1.p1	lcl|CAGA01000006.1_cds_CCE28010.1_7595.p1
OG0000048	XM_001589336.1.p1	lcl|CAGA01000006.1_cds_CCE27895.1_7480.p1
OG0000048	XM_001586792.1.p1	lcl|CAGA01000022.1_cds_CCE30469.1_4905.p1
OG0000050	XM_001585954.1.p1	lcl|CAGA01000031.1_cds_CCE31473.1_3896.p1
OG0000050	XM_001594907.1.p1	lcl|CAGA01000087.1_cds_CCE34399.1_966.p1
OG0000051	XM_001589798.1.p1	lcl|CAGA01000002.1_cds_CCE26868.1_8396.p1
OG0000051	XM_001598899.1.p1	lcl|CAGA01000046.1_cds_CCE32791.1_2603.p1
OG0000051	XM_001590870.1.p1	lcl|CAGA01000008.1_cds_CCE28316.1_6991.p1
OG0000051	XM_001587951.1.p1	lcl|CAGA01000011.1_cds_CCE28888.1_6330.p1
OG0000051	XM_001596631.1.p1	lcl|CAGA01000023.1_cds_CCE30629.1_4821.p1
OG0000051	XM_001585247.1.p1	lcl|CAGA01000001.1_cds_CCE26617.1_8682.p1
OG0000052	XM_001585446.1.p1	lcl|CAGA01000019.1_cds_CCE30113.1_5287.p1
OG0000052	XM_001595011.1.p1	lcl|CAGA01000016.1_cds_CCE29714.1_5684.p1
OG0000053	XM_001588399.1.p1	lcl|CAGA01000002.1_cds_CCE26966.1_8494.p1
OG0000053	XM_001597556.1.p1	lcl|CAGA01000015.1_cds_CCE29522.1_5756.p1
OG0000054	XM_001588876.1.p1	lcl|CAGA01000035.1_cds_CCE31862.1_3484.p1
OG0000054	XM_001597751.1.p1	lcl|CAGA01000033.1_cds_CCE31716.1_3732.p1, lcl|CAGA01000048.1_cds_CCE32892.1_2446.p1
OG0000055	XM_001593073.1.p1	lcl|CAGA01000004.1_cds_CCE27384.1_7860.p1
OG0000056	XM_001591650.1.p1	lcl|CAGA01000006.1_cds_CCE27869.1_7454.p1
OG0000056	XM_001591666.1.p1	lcl|CAGA01000009.1_cds_CCE28613.1_6867.p1
OG0000057	XM_001594938.1.p1	lcl|CAGA01000059.1_cds_CCE33499.1_1891.p1, lcl|CAGA01000059.1_cds_CCE33498.1_1890.p1, lcl|CAGA01000059.1_cds_CCE33502.1_1894.p1
OG0000058	XM_001597998.1.p1	lcl|CAGA01000011.1_cds_CCE28958.1_6400.p1
OG0000058	XM_001596000.1.p1	lcl|CAGA01000003.1_cds_CCE27207.1_8192.p1
OG0000058	XM_001592674.1.p1	lcl|CAGA01000189.1_cds_CCE35159.1_357.p1
OG0000058	XM_001589509.1.p1	lcl|CAGA01000055.1_cds_CCE33313.1_2086.p1
OG0000058	XM_001589061.1.p1	lcl|CAGA01000010.1_cds_CCE28750.1_6588.p1
OG0000060	XM_001592814.1.p1	lcl|CAGA01000042.1_cds_CCE32508.1_2908.p1
OG0000061	XM_001592625.1.p1	lcl|CAGA01000008.1_cds_CCE28297.1_6972.p1
OG0000064	XM_001585209.1.p1	lcl|CAGA01000011.1_cds_CCE29073.1_6516.p1
OG0000065	XM_001598587.1.p1	lcl|CAGA01000009.1_cds_CCE28662.1_6917.p1
OG0000065	XM_001597774.1.p1, XM_001598590.1.p1	lcl|CAGA01000024.1_cds_CCE30711.1_4673.p1
OG0000066	XM_001587442.1.p1	lcl|CAGA01000013.1_cds_CCE29268.1_6039.p1, lcl|CAGA01000013.1_cds_CCE29269.1_6040.p1, lcl|CAGA01000013.1_cds_CCE29264.1_6035.p1, lcl|CAGA01000013.1_cds_CCE29265.1_6036.p1, lcl|CAGA01000013.1_cds_CCE29267.1_6038.p1, lcl|CAGA01000013.1_cds_CCE29284.1_6055.p1, lcl|CAGA01000013.1_cds_CCE29285.1_6056.p1, lcl|CAGA01000013.1_cds_CCE29286.1_6057.p1, lcl|CAGA01000013.1_cds_CCE29270.1_6041.p1, lcl|CAGA01000013.1_cds_CCE29273.1_6044.p1, lcl|CAGA01000013.1_cds_CCE29275.1_6046.p1, lcl|CAGA01000013.1_cds_CCE29280.1_6051.p1, lcl|CAGA01000013.1_cds_CCE29278.1_6049.p1, lcl|CAGA01000013.1_cds_CCE29261.1_6032.p1, lcl|CAGA01000013.1_cds_CCE29263.1_6034.p1, lcl|CAGA01000013.1_cds_CCE29262.1_6033.p1, lcl|CAGA01000013.1_cds_CCE29260.1_6031.p1, lcl|CAGA01000013.1_cds_CCE29257.1_6028.p1, lcl|CAGA01000013.1_cds_CCE29256.1_6027.p1, lcl|CAGA01000013.1_cds_CCE29253.1_6024.p1, lcl|CAGA01000013.1_cds_CCE29255.1_6026.p1, lcl|CAGA01000013.1_cds_CCE29258.1_6029.p1, lcl|CAGA01000013.1_cds_CCE29252.1_6023.p1, lcl|CAGA01000013.1_cds_CCE29281.1_6052.p1, lcl|CAGA01000013.1_cds_CCE29279.1_6050.p1, lcl|CAGA01000013.1_cds_CCE29277.1_6048.p1, lcl|CAGA01000013.1_cds_CCE29283.1_6054.p1, lcl|CAGA01000013.1_cds_CCE29282.1_6053.p1, lcl|CAGA01000013.1_cds_CCE29266.1_6037.p1
OG0000066	XM_001589898.1.p1	lcl|CAGA01000041.1_cds_CCE32396.1_2953.p1, lcl|CAGA01000041.1_cds_CCE32395.1_2952.p1
OG0000067	XM_001587087.1.p1, XM_001585658.1.p1, XM_001590270.1.p1, XM_001588597.1.p1	lcl|CAGA01000038.1_cds_CCE32125.1_3184.p1, lcl|CAGA01000057.1_cds_CCE33421.1_1983.p1, lcl|CAGA01000042.1_cds_CCE32515.1_2915.p1, lcl|CAGA01000024.1_cds_CCE30692.1_4654.p1, lcl|CAGA01000042.1_cds_CCE32514.1_2914.p1, lcl|CAGA01000016.1_cds_CCE29649.1_5619.p1, lcl|CAGA01000007.1_cds_CCE28220.1_7342.p1
OG0000067	XM_001596057.1.p1	lcl|CAGA01000042.1_cds_CCE32516.1_2916.p1, lcl|CAGA01000057.1_cds_CCE33420.1_1982.p1, lcl|CAGA01000007.1_cds_CCE28216.1_7338.p1
OG0000067	XM_001590271.1.p1	lcl|CAGA01000066.1_cds_CCE33785.1_1579.p1, lcl|CAGA01000032.1_cds_CCE31588.1_3800.p1
OG0000069	XM_001589526.1.p1	lcl|CAGA01000077.1_cds_CCE34147.1_1220.p1
OG0000069	XM_001589598.1.p1	lcl|CAGA01000007.1_cds_CCE28095.1_7217.p1
OG0000070	XM_001598556.1.p1	lcl|CAGA01000009.1_cds_CCE28503.1_6757.p1
OG0000070	XM_001587941.1.p1	lcl|CAGA01000011.1_cds_CCE29044.1_6487.p1
OG0000071	XM_001593511.1.p1	lcl|CAGA01000071.1_cds_CCE33972.1_1408.p1
OG0000071	XM_001593038.1.p1	lcl|CAGA01000003.1_cds_CCE27306.1_8293.p1
OG0000071	XM_001587924.1.p1	lcl|CAGA01000018.1_cds_CCE30006.1_5436.p1
OG0000072	XM_001591150.1.p1	lcl|CAGA01000020.1_cds_CCE30195.1_5127.p1
OG0000072	XM_001590639.1.p1	lcl|CAGA01000102.1_cds_CCE34676.1_688.p1
OG0000072	XM_001589810.1.p1	lcl|CAGA01000022.1_cds_CCE30505.1_4941.p1
OG0000075	XM_001589867.1.p1	lcl|CAGA01000028.1_cds_CCE31106.1_4178.p1
OG0000076	XM_001595074.1.p1	lcl|CAGA01000004.1_cds_CCE27493.1_7969.p1
OG0000076	XM_001597093.1.p1	lcl|CAGA01000010.1_cds_CCE28752.1_6590.p1
OG0000076	XM_001589714.1.p1	lcl|CAGA01000019.1_cds_CCE30049.1_5223.p1
OG0000076	XM_001587341.1.p1	lcl|CAGA01000025.1_cds_CCE30843.1_4584.p1
OG0000077	XM_001591303.1.p1	lcl|CAGA01000049.1_cds_CCE32970.1_2409.p1
OG0000077	XM_001592929.1.p1	lcl|CAGA01000105.1_cds_CCE34702.1_648.p1
OG0000077	XM_001585590.1.p1	lcl|CAGA01000020.1_cds_CCE30177.1_5109.p1
OG0000078	XM_001594013.1.p1	lcl|CAGA01000020.1_cds_CCE30234.1_5166.p1
OG0000079	XM_001596030.1.p1	lcl|CAGA01000019.1_cds_CCE30057.1_5231.p1
OG0000079	XM_001591730.1.p1	lcl|CAGA01000039.1_cds_CCE32282.1_3153.p1
OG0000079	XM_001598063.1.p1	lcl|CAGA01000047.1_cds_CCE32825.1_2497.p1
OG0000079	XM_001590997.1.p1	lcl|CAGA01000005.1_cds_CCE27724.1_7748.p1
OG0000080	XM_001597918.1.p1	lcl|CAGA01000006.1_cds_CCE27849.1_7434.p1, lcl|CAGA01000006.1_cds_CCE27851.1_7436.p1, lcl|CAGA01000032.1_cds_CCE31611.1_3823.p1
OG0000081	XM_001592987.1.p1	lcl|CAGA01000017.1_cds_CCE29787.1_5487.p1
OG0000081	XM_001586053.1.p1	lcl|CAGA01000098.1_cds_CCE34620.1_755.p1
OG0000081	XM_001593006.1.p1	lcl|CAGA01000082.1_cds_CCE34284.1_1104.p1
OG0000082	XM_001595339.1.p1	lcl|CAGA01000006.1_cds_CCE27949.1_7534.p1
OG0000085	XM_001598503.1.p1	lcl|CAGA01000059.1_cds_CCE33482.1_1874.p1
OG0000087	XM_001595355.1.p1	lcl|CAGA01000006.1_cds_CCE27950.1_7535.p1
OG0000087	XM_001598496.1.p1	lcl|CAGA01000009.1_cds_CCE28541.1_6795.p1
OG0000087	XM_001597703.1.p1	lcl|CAGA01000010.1_cds_CCE28724.1_6562.p1
OG0000088	XM_001586938.1.p1	lcl|CAGA01000041.1_cds_CCE32431.1_2988.p1, lcl|CAGA01000035.1_cds_CCE31924.1_3547.p1
OG0000088	XM_001596994.1.p1, XM_001587214.1.p1	lcl|CAGA01000021.1_cds_CCE30397.1_5084.p1
OG0000088	XM_001596104.1.p1	lcl|CAGA01000002.1_cds_CCE26856.1_8384.p1
OG0000088	XM_001588755.1.p1, XM_001584513.1.p1	lcl|CAGA01000037.1_cds_CCE32022.1_3276.p1
OG0000089	XM_001591699.1.p1	lcl|CAGA01000003.1_cds_CCE27172.1_8157.p1, lcl|CAGA01000003.1_cds_CCE27171.1_8156.p1
OG0000092	XM_001591109.1.p1	lcl|CAGA01000028.1_cds_CCE31205.1_4277.p1
OG0000093	XM_001598888.1.p1	lcl|CAGA01000103.1_cds_CCE34689.1_679.p1, lcl|CAGA01000001.1_cds_CCE26535.1_8600.p1, lcl|CAGA01000001.1_cds_CCE26534.1_8599.p1, lcl|CAGA01000001.1_cds_CCE26533.1_8598.p1, lcl|CAGA01000029.1_cds_CCE31319.1_4175.p1, lcl|CAGA01000001.1_cds_CCE26537.1_8602.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	lcl|CAGA01000025.1_cds_CCE30790.1_4530.p1
OG0000094	XM_001589274.1.p1	lcl|CAGA01000031.1_cds_CCE31457.1_3880.p1, lcl|CAGA01000031.1_cds_CCE31456.1_3879.p1, lcl|CAGA01000094.1_cds_CCE34542.1_810.p1, lcl|CAGA01000029.1_cds_CCE31244.1_4100.p1
OG0000094	XM_001594932.1.p1	lcl|CAGA01000030.1_cds_CCE31375.1_4016.p1
OG0000094	XM_001591526.1.p1	lcl|CAGA01000002.1_cds_CCE26934.1_8462.p1
OG0000095	XM_001593952.1.p1	lcl|CAGA01000025.1_cds_CCE30804.1_4544.p1
OG0000095	XM_001596701.1.p1	lcl|CAGA01000091.1_cds_CCE34486.1_882.p1
OG0000096	XM_001587422.1.p1	lcl|CAGA01000006.1_cds_CCE27825.1_7410.p1, lcl|CAGA01000024.1_cds_CCE30744.1_4706.p1
OG0000096	XM_001590839.1.p1	lcl|CAGA01000031.1_cds_CCE31476.1_3899.p1
OG0000097	XM_001593373.1.p1	lcl|CAGA01000041.1_cds_CCE32372.1_2929.p1, lcl|CAGA01000069.1_cds_CCE33905.1_1464.p1, lcl|CAGA01000015.1_cds_CCE29546.1_5780.p1
OG0000097	XM_001593632.1.p1	lcl|CAGA01000025.1_cds_CCE30823.1_4563.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	lcl|CAGA01000005.1_cds_CCE27751.1_7775.p1
OG0000097	XM_001584550.1.p1	lcl|CAGA01000038.1_cds_CCE32177.1_3237.p1, lcl|CAGA01000038.1_cds_CCE32175.1_3235.p1
OG0000099	XM_001597745.1.p1	lcl|CAGA01000020.1_cds_CCE30236.1_5168.p1
OG0000102	XM_001598599.1.p1	lcl|CAGA01000009.1_cds_CCE28538.1_6792.p1
OG0000103	XM_001596956.1.p1	lcl|CAGA01000093.1_cds_CCE34532.1_838.p1
OG0000104	XM_001597178.1.p1	lcl|CAGA01000064.1_cds_CCE33716.1_1672.p1
OG0000104	XM_001590303.1.p1, XM_001585253.1.p1	lcl|CAGA01000007.1_cds_CCE28072.1_7194.p1
OG0000104	XM_001589359.1.p1	lcl|CAGA01000009.1_cds_CCE28490.1_6744.p1
OG0000105	XM_001595490.1.p1	lcl|CAGA01000052.1_cds_CCE33141.1_2221.p1
OG0000105	XM_001595043.1.p1	lcl|CAGA01000002.1_cds_CCE26888.1_8416.p1, lcl|CAGA01000006.1_cds_CCE27847.1_7432.p1, lcl|CAGA01000006.1_cds_CCE27964.1_7549.p1, lcl|CAGA01000006.1_cds_CCE27962.1_7547.p1
OG0000107	XM_001592404.1.p1	lcl|CAGA01000016.1_cds_CCE29680.1_5650.p1
OG0000108	XM_001591983.1.p1	lcl|CAGA01000027.1_cds_CCE31078.1_4370.p1
OG0000108	XM_001593720.1.p1	lcl|CAGA01000070.1_cds_CCE33948.1_1444.p1
OG0000109	XM_001598413.1.p1	lcl|CAGA01000005.1_cds_CCE27694.1_7718.p1
OG0000110	XM_001598036.1.p1	lcl|CAGA01000189.1_cds_CCE35033.1_230.p1
OG0000110	XM_001598035.1.p1	lcl|CAGA01000189.1_cds_CCE35032.1_229.p1
OG0000111	XM_001590699.1.p1	lcl|CAGA01000062.1_cds_CCE33642.1_1769.p1
OG0000111	XM_001590723.1.p1	lcl|CAGA01000002.1_cds_CCE27040.1_8568.p1
OG0000111	XM_001590630.1.p1	lcl|CAGA01000028.1_cds_CCE31206.1_4278.p1
OG0000111	XM_001585540.1.p1	lcl|CAGA01000092.1_cds_CCE34500.1_852.p1
OG0000112	XM_001593481.1.p1	lcl|CAGA01000041.1_cds_CCE32401.1_2958.p1
OG0000112	XM_001589497.1.p1, XM_001585012.1.p1, XM_001590980.1.p1	lcl|CAGA01000052.1_cds_CCE33138.1_2218.p1
OG0000113	XM_001589093.1.p1	lcl|CAGA01000062.1_cds_CCE33633.1_1760.p1
OG0000113	XM_001587022.1.p1	lcl|CAGA01000189.1_cds_CCE35165.1_364.p1
OG0000113	XM_001596658.1.p1	lcl|CAGA01000010.1_cds_CCE28742.1_6580.p1
OG0000114	XM_001595727.1.p1	lcl|CAGA01000003.1_cds_CCE27232.1_8217.p1
OG0000114	XM_001595917.1.p1	lcl|CAGA01000029.1_cds_CCE31235.1_4091.p1
