Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Neonectria_ditissima_cds_prot
OG0000002	XM_001594265.1.p1	lcl|LKCW01000006.1_cds_KPM45648.1_10236.p1, lcl|LKCW01000072.1_cds_KPM41004.1_11216.p1
OG0000002	XM_001587049.1.p1	lcl|LKCW01000241.1_cds_KPM35643.1_5746.p1, lcl|LKCW01000152.1_cds_KPM37827.1_2650.p1
OG0000002	XM_001585463.1.p1	lcl|LKCW01000065.1_cds_KPM41409.1_10693.p1
OG0000002	XM_001586214.1.p1	lcl|LKCW01000037.1_cds_KPM43138.1_8156.p1
OG0000002	XM_001589076.1.p1	lcl|LKCW01000042.1_cds_KPM42802.1_8841.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	lcl|LKCW01000247.1_cds_KPM35540.1_5862.p1
OG0000002	XM_001584996.1.p1	lcl|LKCW01000052.1_cds_9745.p1, lcl|LKCW01000003.1_cds_KPM46057.1_7018.p1
OG0000002	XM_001592631.1.p1	lcl|LKCW01000158.1_cds_KPM37656.1_2797.p1, lcl|LKCW01000081.1_cds_KPM40577.1_11813.p1
OG0000002	XM_001598780.1.p1	lcl|LKCW01000159.1_cds_KPM37649.1_2833.p1
OG0000002	XM_001595108.1.p1	lcl|LKCW01000008.1_cds_KPM45413.1_11716.p1, lcl|LKCW01000004.1_cds_KPM45833.1_8578.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	lcl|LKCW01000091.1_cds_KPM40058.1_12343.p1, lcl|LKCW01000114.1_cds_KPM39193.1_962.p1, lcl|LKCW01000010.1_cds_KPM45187.1_335.p1, lcl|LKCW01000101.1_cds_KPM39646.1_406.p1
OG0000003	XM_001598505.1.p1	lcl|LKCW01000208.1_cds_KPM36320.1_4705.p1
OG0000003	XM_001594017.1.p1	lcl|LKCW01000282.1_cds_KPM35007.1_6650.p1, lcl|LKCW01000006.1_cds_KPM45612.1_10297.p1, lcl|LKCW01000282.1_cds_KPM35008.1_6651.p1
OG0000003	XM_001593713.1.p1	lcl|LKCW01000178.1_cds_KPM37074.1_3544.p1
OG0000003	XM_001592033.1.p1	lcl|LKCW01000036.1_cds_KPM43203.1_8014.p1, lcl|LKCW01000113.1_cds_KPM39196.1_923.p1, lcl|LKCW01000006.1_cds_KPM45578.1_10263.p1, lcl|LKCW01000057.1_cds_KPM41899.1_10037.p1, lcl|LKCW01000025.1_cds_KPM43972.1_5977.p1, lcl|LKCW01000018.1_cds_KPM44507.1_3675.p1, lcl|LKCW01000002.1_cds_KPM46153.1_4267.p1, lcl|LKCW01000065.1_cds_KPM41433.1_10685.p1, lcl|LKCW01000128.1_cds_KPM38631.1_1570.p1, lcl|LKCW01000169.1_cds_KPM37324.1_3202.p1, lcl|LKCW01000072.1_cds_KPM41032.1_11227.p1, lcl|LKCW01000044.1_cds_KPM42703.1_9046.p1, lcl|LKCW01000018.1_cds_KPM44501.1_3673.p1, lcl|LKCW01000137.1_cds_KPM38340.1_2016.p1, lcl|LKCW01000040.1_cds_KPM42964.1_8627.p1, lcl|LKCW01000138.1_cds_KPM38300.1_2042.p1, lcl|LKCW01000025.1_cds_KPM43936.1_5909.p1, lcl|LKCW01000075.1_cds_KPM40875.1_11408.p1, lcl|LKCW01000232.1_cds_KPM35803.1_5520.p1, lcl|LKCW01000118.1_cds_KPM39035.1_1136.p1, lcl|LKCW01000081.1_cds_KPM40552.1_11795.p1, lcl|LKCW01000141.1_cds_KPM38209.1_2224.p1
OG0000003	XM_001584699.1.p1	lcl|LKCW01000146.1_cds_KPM38056.1_2373.p1, lcl|LKCW01000042.1_cds_KPM42793.1_8853.p1, lcl|LKCW01000071.1_cds_KPM41110.1_11131.p1
OG0000004	XM_001592712.1.p1	lcl|LKCW01000598.1_cds_KPM33870.1_10226.p1
OG0000004	XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	lcl|LKCW01000498.1_cds_KPM33905.1_9415.p1
OG0000005	XM_001598240.1.p1	lcl|LKCW01000127.1_cds_KPM38700.1_1526.p1, lcl|LKCW01000003.1_cds_KPM46030.1_6931.p1
OG0000005	XM_001585262.1.p1	lcl|LKCW01000145.1_cds_KPM38080.1_2342.p1, lcl|LKCW01000146.1_cds_KPM38021.1_2360.p1
OG0000005	XM_001586851.1.p1	lcl|LKCW01000076.1_cds_KPM40809.1_11443.p1, lcl|LKCW01000001.1_cds_KPM46353.1_182.p1
OG0000005	XM_001597228.1.p1	lcl|LKCW01000077.1_cds_KPM40756.1_11508.p1, lcl|LKCW01000064.1_cds_KPM41497.1_10645.p1, lcl|LKCW01000217.1_cds_KPM36118.1_4997.p1, lcl|LKCW01000130.1_cds_KPM38578.1_1753.p1, lcl|LKCW01000001.1_cds_KPM46509.1_176.p1
OG0000005	XM_001588834.1.p1	lcl|LKCW01000103.1_cds_KPM39586.1_492.p1, lcl|LKCW01000033.1_cds_KPM43426.1_7577.p1, lcl|LKCW01000227.1_cds_KPM35895.1_5305.p1
OG0000005	XM_001584622.1.p1	lcl|LKCW01000001.1_cds_KPM46416.1_79.p1, lcl|LKCW01000059.1_cds_KPM41752.1_10209.p1
OG0000005	XM_001585072.1.p1	lcl|LKCW01000090.1_cds_KPM40111.1_12317.p1
OG0000006	XM_001596808.1.p1	lcl|LKCW01000229.1_cds_KPM35843.1_5364.p1, lcl|LKCW01000014.1_cds_KPM44845.1_2137.p1
OG0000006	XM_001588863.1.p1	lcl|LKCW01000003.1_cds_KPM46095.1_7066.p1
OG0000006	XM_001592785.1.p1	lcl|LKCW01000053.1_cds_KPM42115.1_9798.p1, lcl|LKCW01000138.1_cds_KPM38304.1_2038.p1, lcl|LKCW01000026.1_cds_KPM43846.1_6193.p1
OG0000006	XM_001585309.1.p1	lcl|LKCW01000043.1_cds_KPM42760.1_8971.p1
OG0000006	XM_001586702.1.p1	lcl|LKCW01000141.1_cds_KPM38183.1_2229.p1
OG0000006	XM_001588137.1.p1	lcl|LKCW01000228.1_cds_KPM35870.1_5351.p1, lcl|LKCW01000033.1_cds_KPM43438.1_7591.p1
OG0000006	XM_001587520.1.p1	lcl|LKCW01000077.1_cds_KPM40752.1_11504.p1
OG0000006	XM_001584562.1.p1	lcl|LKCW01000029.1_cds_KPM43679.1_6795.p1
OG0000006	XM_001584772.1.p1	lcl|LKCW01000042.1_cds_KPM42831.1_8843.p1
OG0000006	XM_001595264.1.p1	lcl|LKCW01000047.1_cds_KPM42523.1_9284.p1
OG0000006	XM_001597248.1.p1	lcl|LKCW01000044.1_cds_KPM42690.1_9062.p1
OG0000007	XM_001591636.1.p1	lcl|LKCW01000289.1_cds_KPM34910.1_6744.p1
OG0000007	XM_001587063.1.p1	lcl|LKCW01000162.1_cds_KPM37532.1_2986.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	lcl|LKCW01000197.1_cds_KPM36615.1_4180.p1, lcl|LKCW01000283.1_cds_KPM34997.1_6661.p1
OG0000007	XM_001590167.1.p1	lcl|LKCW01000068.1_cds_KPM41259.1_10839.p1
OG0000007	XM_001594740.1.p1	lcl|LKCW01000088.1_cds_KPM40219.1_12157.p1
OG0000007	XM_001597058.1.p1	lcl|LKCW01000087.1_cds_KPM40274.1_12083.p1
OG0000007	XM_001593364.1.p1	lcl|LKCW01000254.1_cds_KPM35408.1_6054.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	lcl|LKCW01000155.1_cds_KPM37737.1_2740.p1
OG0000007	XM_001593251.1.p1	lcl|LKCW01000108.1_cds_KPM39391.1_684.p1
OG0000008	XM_001591041.1.p1	lcl|LKCW01000077.1_cds_KPM40731.1_11484.p1, lcl|LKCW01000248.1_cds_KPM35507.1_5885.p1, lcl|LKCW01000172.1_cds_KPM37241.1_3367.p1, lcl|LKCW01000163.1_cds_KPM37526.1_3035.p1, lcl|LKCW01000044.1_cds_KPM42653.1_9057.p1
OG0000008	XM_001596095.1.p1	lcl|LKCW01000227.1_cds_KPM35897.1_5303.p1
OG0000008	XM_001591599.1.p1	lcl|LKCW01000052.1_cds_KPM42205.1_9721.p1, lcl|LKCW01000004.1_cds_KPM45822.1_8596.p1
OG0000009	XM_001595645.1.p1	lcl|LKCW01000010.1_cds_KPM45201.1_352.p1
OG0000009	XM_001591183.1.p1	lcl|LKCW01000100.1_cds_KPM39688.1_392.p1, lcl|LKCW01000118.1_cds_KPM38999.1_1149.p1
OG0000009	XM_001586155.1.p1	lcl|LKCW01000301.1_cds_KPM34782.1_7167.p1
OG0000009	XM_001593815.1.p1	lcl|LKCW01000162.1_cds_KPM37557.1_2994.p1
OG0000009	XM_001587232.1.p1	lcl|LKCW01000132.1_cds_KPM38496.1_1822.p1
OG0000009	XM_001584585.1.p1	lcl|LKCW01000002.1_cds_KPM46170.1_4288.p1
OG0000009	XM_001584955.1.p1	lcl|LKCW01000066.1_cds_KPM41401.1_10749.p1, lcl|LKCW01000008.1_cds_KPM45324.1_11666.p1
OG0000010	XM_001587851.1.p1	lcl|LKCW01000165.1_cds_KPM37445.1_3082.p1, lcl|LKCW01000190.1_cds_KPM36789.1_4018.p1, lcl|LKCW01000227.1_cds_KPM35892.1_5311.p1, lcl|LKCW01000037.1_cds_KPM43135.1_8119.p1, lcl|LKCW01000057.1_cds_KPM41900.1_10038.p1, lcl|LKCW01000082.1_cds_KPM40509.1_11837.p1, lcl|LKCW01000013.1_cds_KPM44878.1_1626.p1, lcl|LKCW01000023.1_cds_KPM44141.1_5452.p1, lcl|LKCW01000181.1_cds_KPM36999.1_3712.p1
OG0000010	XM_001589139.1.p1	lcl|LKCW01000072.1_cds_KPM41011.1_11199.p1, lcl|LKCW01000086.1_cds_KPM40311.1_12026.p1
OG0000010	XM_001597412.1.p1	lcl|LKCW01000101.1_cds_KPM39657.1_419.p1, lcl|LKCW01000011.1_cds_KPM45067.1_795.p1
OG0000011	XM_001598486.1.p1	lcl|LKCW01000076.1_cds_KPM40774.1_11420.p1
OG0000011	XM_001589489.1.p1	lcl|LKCW01000029.1_cds_KPM43649.1_6815.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	lcl|LKCW01000078.1_cds_KPM40692.1_11540.p1
OG0000011	XM_001585940.1.p1	lcl|LKCW01000081.1_cds_KPM40571.1_11786.p1
OG0000011	XM_001591956.1.p1	lcl|LKCW01000003.1_cds_KPM46020.1_7070.p1
OG0000012	XM_001586566.1.p1	lcl|LKCW01000001.1_cds_KPM46501.1_154.p1, lcl|LKCW01000125.1_cds_KPM38746.1_1476.p1
OG0000013	XM_001584703.1.p1	lcl|LKCW01000066.1_cds_KPM41381.1_10780.p1
OG0000013	XM_001598880.1.p1	lcl|LKCW01000300.1_cds_KPM34797.1_7154.p1
OG0000013	XM_001588453.1.p1	lcl|LKCW01000096.1_cds_KPM39877.1_12562.p1, lcl|LKCW01000172.1_cds_KPM37263.1_3381.p1, lcl|LKCW01000213.1_cds_KPM36216.1_4907.p1, lcl|LKCW01000196.1_cds_KPM36632.1_4155.p1, lcl|LKCW01000112.1_cds_KPM39274.1_886.p1
OG0000013	XM_001593161.1.p1	lcl|LKCW01000023.1_cds_KPM44145.1_5430.p1
OG0000013	XM_001596549.1.p1	lcl|LKCW01000053.1_cds_KPM42138.1_9808.p1
OG0000014	XM_001588020.1.p1, XM_001588022.1.p1	lcl|LKCW01000260.1_cds_KPM35304.1_6226.p1
OG0000014	XM_001596474.1.p1	lcl|LKCW01000081.1_cds_KPM40564.1_11802.p1, lcl|LKCW01000041.1_cds_KPM42893.1_8793.p1, lcl|LKCW01000279.1_cds_KPM35050.1_6588.p1, lcl|LKCW01000054.1_cds_KPM42083.1_9860.p1, lcl|LKCW01000025.1_cds_KPM43951.1_5926.p1, lcl|LKCW01000134.1_cds_KPM38419.1_1891.p1, lcl|LKCW01000072.1_cds_KPM41056.1_11188.p1, lcl|LKCW01000021.1_cds_KPM44315.1_4815.p1
OG0000015	XM_001590767.1.p1	lcl|LKCW01000064.1_cds_KPM41488.1_10652.p1
OG0000015	XM_001590640.1.p1	lcl|LKCW01000072.1_cds_KPM41053.1_11185.p1
OG0000015	XM_001586348.1.p1	lcl|LKCW01000040.1_cds_KPM42959.1_8685.p1, lcl|LKCW01000240.1_cds_KPM35650.1_5733.p1
OG0000015	XM_001596393.1.p1	lcl|LKCW01000079.1_cds_KPM40651.1_11574.p1
OG0000016	XM_001593310.1.p1	lcl|LKCW01000221.1_cds_KPM36024.1_5187.p1
OG0000016	XM_001591158.1.p1	lcl|LKCW01000053.1_cds_KPM42146.1_9801.p1, lcl|LKCW01000030.1_cds_KPM43638.1_7112.p1
OG0000018	XM_001589923.1.p1, XM_001584504.1.p1	lcl|LKCW01000076.1_cds_KPM40784.1_11479.p1
OG0000019	XM_001594911.1.p1	lcl|LKCW01000113.1_cds_KPM39221.1_918.p1
OG0000019	XM_001586682.1.p1	lcl|LKCW01000152.1_cds_KPM37824.1_2651.p1, lcl|LKCW01000009.1_cds_KPM45252.1_12228.p1
OG0000019	XM_001591415.1.p1	lcl|LKCW01000058.1_cds_KPM41836.1_10107.p1, lcl|LKCW01000254.1_cds_KPM35416.1_6061.p1
OG0000020	XM_001590645.1.p1	lcl|LKCW01000135.1_cds_KPM38401.1_1922.p1
OG0000020	XM_001592517.1.p1	lcl|LKCW01000143.1_cds_KPM38130.1_2272.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	lcl|LKCW01000162.1_cds_KPM37552.1_2999.p1
OG0000021	XM_001589138.1.p1	lcl|LKCW01000238.1_cds_KPM35691.1_5618.p1
OG0000021	XM_001590703.1.p1	lcl|LKCW01000020.1_cds_KPM44347.1_4473.p1
OG0000022	XM_001589766.1.p1	lcl|LKCW01000393.1_cds_KPM34138.1_8426.p1
OG0000022	XM_001597983.1.p1, XM_001591705.1.p1	lcl|LKCW01000021.1_cds_KPM44285.1_4836.p1
OG0000022	XM_001587388.1.p1	lcl|LKCW01000126.1_cds_KPM38708.1_1509.p1, lcl|LKCW01000201.1_cds_KPM36510.1_4537.p1
OG0000022	XM_001589348.1.p1	lcl|LKCW01000345.1_cds_KPM34399.1_7815.p1
OG0000023	XM_001595615.1.p1	lcl|LKCW01000341.1_cds_KPM34429.1_7779.p1
OG0000023	XM_001585831.1.p1	lcl|LKCW01000107.1_cds_KPM39467.1_608.p1, lcl|LKCW01000060.1_cds_KPM41714.1_10383.p1, lcl|LKCW01000036.1_cds_KPM43234.1_8037.p1
OG0000023	XM_001592564.1.p1	lcl|LKCW01000013.1_cds_KPM44901.1_1705.p1
OG0000025	XM_001597796.1.p1	lcl|LKCW01000149.1_cds_KPM37921.1_2483.p1
OG0000025	XM_001594625.1.p1	lcl|LKCW01000102.1_cds_KPM39619.1_472.p1
OG0000025	XM_001592424.1.p1	lcl|LKCW01000130.1_cds_KPM38584.1_1769.p1
OG0000025	XM_001585370.1.p1	lcl|LKCW01000027.1_cds_KPM43752.1_6386.p1, lcl|LKCW01000096.1_cds_KPM39862.1_12574.p1, lcl|LKCW01000027.1_cds_KPM43759.1_6385.p1
OG0000026	XM_001585572.1.p1, XM_001595853.1.p1	lcl|LKCW01000104.1_cds_KPM39527.1_538.p1
OG0000026	XM_001588953.1.p1	lcl|LKCW01000072.1_cds_KPM40997.1_11237.p1
OG0000026	XM_001594416.1.p1	lcl|LKCW01000035.1_cds_KPM43272.1_7848.p1
OG0000027	XM_001593160.1.p1	lcl|LKCW01000023.1_cds_KPM44071.1_5399.p1
OG0000027	XM_001584646.1.p1	lcl|LKCW01000218.1_cds_KPM36103.1_5019.p1
OG0000027	XM_001596426.1.p1	lcl|LKCW01000047.1_cds_KPM42515.1_9241.p1
OG0000027	XM_001594266.1.p1	lcl|LKCW01000222.1_cds_KPM36008.1_5201.p1
OG0000029	XM_001592206.1.p1	lcl|LKCW01000254.1_cds_KPM35402.1_6049.p1
OG0000029	XM_001592449.1.p1	lcl|LKCW01000179.1_cds_KPM37055.1_3586.p1
OG0000029	XM_001588471.1.p1	lcl|LKCW01000001.1_cds_KPM46329.1_210.p1
OG0000029	XM_001586393.1.p1	lcl|LKCW01000063.1_cds_KPM41524.1_10602.p1, lcl|LKCW01000053.1_cds_KPM42169.1_9770.p1
OG0000029	XM_001589831.1.p1	lcl|LKCW01000205.1_cds_KPM36395.1_4627.p1
OG0000029	XM_001590306.1.p1	lcl|LKCW01000088.1_cds_KPM40238.1_12146.p1
OG0000030	XM_001589863.1.p1	lcl|LKCW01000126.1_cds_KPM38711.1_1512.p1
OG0000031	XM_001589524.1.p1	lcl|LKCW01000058.1_cds_KPM41804.1_10098.p1, lcl|LKCW01000015.1_cds_KPM44771.1_2505.p1
OG0000031	XM_001586174.1.p1	lcl|LKCW01000003.1_cds_KPM46080.1_7040.p1
OG0000031	XM_001587417.1.p1	lcl|LKCW01000090.1_cds_KPM40118.1_12284.p1, lcl|LKCW01000018.1_cds_KPM44528.1_3634.p1, lcl|LKCW01000050.1_cds_KPM42337.1_9584.p1, lcl|LKCW01000051.1_cds_KPM42253.1_9692.p1, lcl|LKCW01000040.1_cds_KPM42945.1_8667.p1, lcl|LKCW01000109.1_cds_KPM39357.1_701.p1
OG0000032	XM_001588011.1.p1	lcl|LKCW01000448.1_cds_KPM33960.1_9091.p1
OG0000032	XM_001587657.1.p1	lcl|LKCW01000007.1_cds_KPM45464.1_11010.p1, lcl|LKCW01000126.1_cds_KPM38732.1_1491.p1, lcl|LKCW01000069.1_cds_KPM41199.1_10932.p1
OG0000032	XM_001592925.1.p1	lcl|LKCW01000095.1_cds_KPM39896.1_12511.p1, lcl|LKCW01000080.1_cds_KPM40628.1_11756.p1
OG0000032	XM_001593976.1.p1	lcl|LKCW01000052.1_cds_KPM42249.1_9748.p1
OG0000032	XM_001586473.1.p1	lcl|LKCW01000022.1_cds_KPM44180.1_5128.p1
OG0000032	XM_001598538.1.p1	lcl|LKCW01000081.1_cds_KPM40559.1_11779.p1
OG0000033	XM_001587873.1.p1	lcl|LKCW01000003.1_cds_KPM46106.1_6942.p1
OG0000033	XM_001593801.1.p1	lcl|LKCW01000368.1_cds_KPM34261.1_8096.p1, lcl|LKCW01000064.1_cds_KPM41464.1_10639.p1
OG0000033	XM_001596320.1.p1	lcl|LKCW01000035.1_cds_KPM43322.1_7900.p1
OG0000033	XM_001597723.1.p1	lcl|LKCW01000104.1_cds_KPM39532.1_531.p1
OG0000034	XM_001590944.1.p1	lcl|LKCW01000021.1_cds_KPM44266.1_4747.p1
OG0000034	XM_001588360.1.p1	lcl|LKCW01000003.1_cds_KPM46120.1_6922.p1
OG0000034	XM_001586378.1.p1	lcl|LKCW01000158.1_cds_KPM37673.1_2824.p1
OG0000034	XM_001588815.1.p1	lcl|LKCW01000034.1_cds_KPM43344.1_7730.p1
OG0000035	XM_001589899.1.p1	lcl|LKCW01000216.1_cds_KPM36160.1_4976.p1, lcl|LKCW01000054.1_cds_KPM42084.1_9862.p1
OG0000035	XM_001595898.1.p1	lcl|LKCW01000001.1_cds_KPM46497.1_158.p1, lcl|LKCW01000083.1_cds_KPM40428.1_11909.p1, lcl|LKCW01000004.1_cds_KPM45915.1_8592.p1
OG0000035	XM_001591966.1.p1	lcl|LKCW01000010.1_cds_KPM45149.1_269.p1
OG0000035	XM_001595682.1.p1	lcl|LKCW01000030.1_cds_KPM43632.1_7106.p1
OG0000036	XM_001585435.1.p1	lcl|LKCW01000050.1_cds_KPM42361.1_9612.p1
OG0000036	XM_001593945.1.p1	lcl|LKCW01000198.1_cds_KPM36587.1_4220.p1, lcl|LKCW01000199.1_cds_KPM36552.1_4243.p1
OG0000036	XM_001597457.1.p1	lcl|LKCW01000218.1_cds_KPM36102.1_5018.p1
OG0000036	XM_001596073.1.p1	lcl|LKCW01000127.1_cds_KPM38692.1_1518.p1
OG0000037	XM_001597719.1.p1	lcl|LKCW01000246.1_cds_KPM35564.1_5821.p1
OG0000037	XM_001585740.1.p1	lcl|LKCW01000072.1_cds_KPM41009.1_11219.p1
OG0000038	XM_001597383.1.p1	lcl|LKCW01000248.1_cds_KPM35516.1_5877.p1, lcl|LKCW01000012.1_cds_KPM45006.1_1222.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1	lcl|LKCW01000216.1_cds_KPM36145.1_4965.p1
OG0000038	XM_001590964.1.p1	lcl|LKCW01000139.1_cds_KPM38272.1_2064.p1
OG0000039	XM_001594345.1.p1	lcl|LKCW01000017.1_cds_KPM44588.1_3256.p1
OG0000039	XM_001594898.1.p1	lcl|LKCW01000079.1_cds_KPM40678.1_11569.p1, lcl|LKCW01000109.1_cds_KPM39347.1_711.p1
OG0000039	XM_001591791.1.p1	lcl|LKCW01000037.1_cds_KPM43152.1_8134.p1, lcl|LKCW01000032.1_cds_KPM43471.1_7453.p1
OG0000041	XM_001593646.1.p1	lcl|LKCW01000013.1_cds_KPM44872.1_1643.p1
OG0000041	XM_001592709.1.p1	lcl|LKCW01000090.1_cds_KPM40124.1_12288.p1
OG0000041	XM_001591780.1.p1	lcl|LKCW01000097.1_cds_KPM39821.1_12589.p1
OG0000041	XM_001585351.1.p1	lcl|LKCW01000142.1_cds_KPM38154.1_2260.p1
OG0000042	XM_001595143.1.p1	lcl|LKCW01000280.1_cds_KPM35038.1_6616.p1
OG0000042	XM_001586568.1.p1	lcl|LKCW01000004.1_cds_KPM45942.1_8525.p1
OG0000043	XM_001597597.1.p1	lcl|LKCW01000037.1_cds_KPM43127.1_8115.p1, lcl|LKCW01000010.1_cds_KPM45169.1_320.p1, lcl|LKCW01000043.1_cds_KPM42777.1_8933.p1
OG0000043	XM_001595893.1.p1	lcl|LKCW01000052.1_cds_KPM42199.1_9713.p1
OG0000043	XM_001596074.1.p1	lcl|LKCW01000075.1_cds_KPM40838.1_11393.p1
OG0000043	XM_001597513.1.p1	lcl|LKCW01000261.1_cds_KPM35295.1_6254.p1
OG0000045	XM_001587065.1.p1	lcl|LKCW01000080.1_cds_KPM40624.1_11760.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	lcl|LKCW01000146.1_cds_KPM38054.1_2370.p1, lcl|LKCW01000363.1_cds_KPM34291.1_8065.p1
OG0000045	XM_001596126.1.p1	lcl|LKCW01000097.1_cds_KPM39816.1_12588.p1
OG0000046	XM_001586463.1.p1	lcl|LKCW01000079.1_cds_KPM40664.1_11591.p1
OG0000046	XM_001587340.1.p1	lcl|LKCW01000073.1_cds_KPM40954.1_11302.p1
OG0000046	XM_001586379.1.p1	lcl|LKCW01000029.1_cds_KPM43692.1_6761.p1, lcl|LKCW01000132.1_cds_KPM38506.1_1802.p1, lcl|LKCW01000103.1_cds_KPM39577.1_499.p1
OG0000048	XM_001597604.1.p1	lcl|LKCW01000062.1_cds_KPM41599.1_10524.p1
OG0000048	XM_001598119.1.p1	lcl|LKCW01000189.1_cds_KPM36817.1_3911.p1
OG0000048	XM_001589336.1.p1	lcl|LKCW01000079.1_cds_KPM40669.1_11566.p1
OG0000048	XM_001586792.1.p1	lcl|LKCW01000182.1_cds_KPM36973.1_3751.p1
OG0000049	XM_001593236.1.p1	lcl|LKCW01000022.1_cds_KPM44220.1_5101.p1
OG0000049	XM_001598697.1.p1	lcl|LKCW01000210.1_cds_KPM36277.1_4851.p1
OG0000049	XM_001596788.1.p1	lcl|LKCW01000052.1_cds_KPM42228.1_9704.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	lcl|LKCW01000026.1_cds_KPM43859.1_6169.p1
OG0000049	XM_001593385.1.p1	lcl|LKCW01000441.1_cds_KPM33977.1_9075.p1
OG0000050	XM_001598547.1.p1	lcl|LKCW01000306.1_cds_KPM34730.1_7229.p1, lcl|LKCW01000005.1_cds_KPM45767.1_9442.p1
OG0000050	XM_001585954.1.p1	lcl|LKCW01000044.1_cds_KPM42718.1_9031.p1, lcl|LKCW01000030.1_cds_KPM43635.1_7109.p1
OG0000050	XM_001594907.1.p1	lcl|LKCW01000242.1_cds_KPM35614.1_5771.p1
OG0000050	XM_001598548.1.p1, XM_001594937.1.p1	lcl|LKCW01000151.1_cds_KPM37857.1_2619.p1
OG0000051	XM_001589798.1.p1	lcl|LKCW01000310.1_cds_KPM34695.1_7304.p1
OG0000051	XM_001598899.1.p1	lcl|LKCW01000034.1_cds_KPM43340.1_7754.p1
OG0000051	XM_001590870.1.p1	lcl|LKCW01000093.1_cds_KPM39964.1_12458.p1
OG0000051	XM_001587951.1.p1	lcl|LKCW01000043.1_cds_KPM42762.1_8973.p1
OG0000051	XM_001596631.1.p1	lcl|LKCW01000145.1_cds_KPM38093.1_2329.p1
OG0000051	XM_001585247.1.p1	lcl|LKCW01000374.1_cds_KPM34217.1_8196.p1
OG0000052	XM_001585446.1.p1	lcl|LKCW01000080.1_cds_KPM40613.1_11742.p1
OG0000052	XM_001595011.1.p1	lcl|LKCW01000147.1_cds_KPM38005.1_2408.p1
OG0000052	XM_001598643.1.p1	lcl|LKCW01000066.1_cds_KPM41368.1_10764.p1
OG0000053	XM_001588399.1.p1	lcl|LKCW01000069.1_cds_KPM41186.1_10913.p1
OG0000053	XM_001590608.1.p1	lcl|LKCW01000082.1_cds_KPM40484.1_11832.p1
