Orthogroup	Sclerotinia_sclerotiorum	Magnaporthe_oryzae
OG0000048	XM_001592929.1.p1	XM_003716198.1.p1
OG0000048	XM_001585590.1.p1	XM_003713900.1.p1
OG0000048	XM_001591303.1.p1	XM_003716419.1.p1
OG0000049	XM_001594320.1.p1, XM_001588570.1.p1, XM_001598870.1.p1	XM_003713921.1.p1
OG0000050	XM_001595483.1.p1	XM_003711517.1.p1
OG0000050	XM_001598119.1.p1	XM_003717143.1.p1
OG0000053	XM_001595143.1.p1	XM_003716168.1.p1
OG0000053	XM_001586568.1.p1	XM_003713163.1.p2, XM_003720825.1.p1, XM_003709825.1.p1, XM_003713956.1.p1, XM_003713303.1.p1
OG0000056	XM_001592712.1.p1	XM_003717558.1.p3, XM_003715579.1.p2, XM_003715578.1.p1, XM_003716009.1.p1, XM_003716007.1.p1, XM_003716008.1.p1, XM_003716006.1.p1, XM_003708894.1.p1, XM_003710292.1.p1, XM_003710291.1.p1, XM_003714936.1.p1, XM_003721166.1.p1, XM_003721165.1.p1, XM_003713987.1.p1, XM_003720415.1.p1, XM_003710749.1.p2, XM_003711077.1.p1, XM_003712856.1.p1, XM_003719491.1.p2, XM_003717683.1.p2, XM_003715575.1.p2, XM_003711102.1.p2, XM_003711164.1.p1, XM_003719357.1.p2, XM_003715927.1.p1, XM_003708973.1.p2, XM_003711232.1.p1
OG0000059	XM_001595366.1.p1	XM_003711270.1.p1
OG0000059	XM_001586682.1.p1	XM_003712331.1.p1
OG0000060	XM_001589061.1.p1	XM_003719584.1.p1
OG0000060	XM_001596000.1.p1	XM_003709260.1.p1
OG0000060	XM_001592674.1.p1	XM_003718282.1.p2
OG0000060	XM_001597998.1.p1	XM_003709656.1.p1
OG0000061	XM_001592939.1.p1	XM_003716192.1.p1
OG0000061	XM_001588471.1.p1	XM_003713140.1.p1
OG0000062	XM_001597548.1.p1	XM_003719420.1.p1
OG0000062	XM_001587362.1.p1	XM_003715800.1.p1
OG0000063	XM_001594416.1.p1	XM_003720910.1.p1
OG0000063	XM_001588953.1.p1	XM_003713941.1.p1
OG0000064	XM_001595180.1.p1	XM_003721122.1.p1
OG0000068	XM_001585894.1.p1	XM_003712091.1.p1, XM_016990464.1.p1
OG0000068	XM_001598835.1.p1	XM_003718759.1.p1
OG0000068	XM_001586848.1.p1	XM_003715039.1.p1, XM_003711592.1.p1
OG0000068	XM_001593634.1.p1, XM_001594339.1.p1, XM_001592076.1.p1	XM_003720807.1.p1
OG0000072	XM_001597745.1.p1	XM_003715735.1.p1
OG0000080	XM_001596031.1.p1, XM_001596516.1.p1	XM_003716416.1.p1
OG0000080	XM_001596367.1.p1	XM_003717621.1.p1, XM_003716382.1.p1
OG0000080	XM_001585380.1.p1	XM_003720985.1.p1
OG0000081	XM_001596026.1.p1	XM_003716997.1.p1
OG0000081	XM_001588459.1.p1	XM_003718609.1.p1
OG0000081	XM_001598109.1.p1	XM_003717567.1.p1
OG0000082	XM_001593251.1.p1	XM_003716224.1.p1
OG0000082	XM_001593051.1.p1, XM_001593978.1.p1	XM_003712042.1.p1
OG0000082	XM_001590635.1.p1, XM_001592329.1.p1	XM_003714350.1.p1
OG0000083	XM_001591791.1.p1	XM_003718942.1.p1
OG0000083	XM_001597754.1.p1	XM_003710731.1.p1, XM_003710428.1.p1
OG0000083	XM_001594345.1.p1	XM_003712338.1.p1
OG0000084	XM_001589999.1.p1	XM_003712676.1.p1
OG0000084	XM_001594112.1.p1	XM_003720933.1.p1
OG0000084	XM_001587593.1.p1	XM_003718979.1.p1, XM_003712282.1.p1
OG0000086	XM_001591221.1.p1	XM_003712064.1.p1
OG0000087	XM_001591076.1.p1	XM_003713382.1.p1
OG0000093	XM_001585536.1.p1	XM_003720024.1.p1
OG0000093	XM_001587388.1.p1	XM_003720901.1.p1
OG0000093	XM_001589348.1.p1	XM_003709673.1.p1, XM_003709971.1.p1
OG0000093	XM_001585002.1.p1	XM_003713936.1.p1
OG0000093	XM_001593008.1.p1, XM_001587680.1.p1	XM_003717385.1.p1
OG0000094	XM_001586174.1.p1	XM_003710887.1.p2
OG0000095	XM_001593387.1.p1	XM_003711912.1.p1, XM_003712379.1.p1
OG0000096	XM_001584955.1.p1	XM_003721247.1.p1
OG0000097	XM_001596095.1.p1	XM_003714840.1.p1, XM_003720728.1.p1, XM_003709387.1.p1
OG0000097	XM_001591041.1.p1	XM_003721269.1.p1, XM_003709421.1.p1, XM_003713327.1.p1, XM_003711419.1.p1
OG0000098	XM_001586991.1.p1	XM_003709996.1.p1, XM_003717966.1.p1
OG0000103	XM_001595301.1.p1	XM_003716466.1.p1, XM_003720013.1.p1
OG0000103	XM_001597774.1.p1, XM_001598590.1.p1, XM_001596415.1.p1	XM_003710309.1.p1, XM_003718643.1.p1
OG0000112	XM_001590997.1.p1	XM_003715471.1.p1
OG0000112	XM_001591730.1.p1	XM_003713607.1.p1
OG0000112	XM_001596030.1.p1	XM_003714246.1.p1
OG0000113	XM_001597418.1.p1	XM_003717564.1.p1
OG0000113	XM_001586585.1.p1	XM_003713770.1.p1
OG0000114	XM_001598643.1.p1	XM_003712464.1.p1
OG0000114	XM_001592151.1.p1	XM_003716659.1.p1
OG0000114	XM_001585446.1.p1	XM_003719928.1.p1
OG0000117	XM_001588399.1.p1	XM_003712241.1.p1
OG0000117	XM_001597556.1.p1	XM_003711412.1.p1, XM_003713604.1.p1, XM_003710080.1.p1, XM_003721434.1.p1, XM_003711727.1.p1
OG0000123	XM_001592242.1.p1	XM_003709519.1.p1
OG0000129	XM_001589898.1.p1, XM_001587442.1.p1	XM_003720715.1.p1
OG0000130	XM_001590630.1.p1	XM_003714453.1.p1
OG0000130	XM_001585540.1.p1	XM_003719913.1.p1
OG0000130	XM_001590723.1.p1	XM_003714632.1.p1
OG0000130	XM_001590699.1.p1	XM_003711917.1.p1
OG0000131	XM_001588434.1.p1	XM_003719922.1.p1
OG0000131	XM_001585903.1.p1	XM_003719619.1.p1, XM_003717677.1.p1, XM_003711149.1.p1
OG0000132	XM_001589542.1.p1	XM_003720502.1.p1, XM_003713178.1.p1
OG0000132	XM_001587892.1.p1, XM_001595608.1.p1	XM_003716615.1.p1
OG0000132	XM_001596457.1.p1	XM_003714342.1.p1
OG0000134	XM_001598771.1.p1	XM_003712017.1.p1
OG0000138	XM_001592439.1.p1	XM_003713485.1.p2
OG0000138	XM_001598406.1.p1	XM_003712427.1.p1
OG0000138	XM_001598925.1.p1	XM_003715854.1.p1
OG0000139	XM_001591295.1.p1	XM_003712136.1.p1
OG0000139	XM_001586746.1.p1	XM_003713110.1.p1
OG0000140	XM_001597130.1.p1	XM_003720429.1.p1, XM_003713173.1.p1
OG0000141	XM_001585831.1.p1	XM_003709796.1.p1
OG0000142	XM_001584718.1.p1	XM_003710815.1.p1
OG0000142	XM_001596987.1.p1	XM_016990505.1.p1
OG0000150	XM_001594288.1.p1	XM_003716532.1.p1, XM_003716954.1.p2, XM_003718604.1.p1
OG0000151	XM_001590245.1.p1	XM_003715550.1.p1, XM_003718768.1.p1, XM_003720225.1.p1, XM_003715882.1.p1, XM_003715889.1.p1, XM_003721230.1.p1, XM_003720376.1.p1, XM_003721089.1.p1, XM_003717476.1.p1, XM_003715968.1.p1, XM_003710759.1.p1, XM_003713299.1.p1, XM_003716596.1.p1, XM_003716595.1.p1, XM_003715594.1.p1, XM_003719972.1.p1, XM_003711127.1.p1
OG0000152	XM_001595782.1.p1, XM_001586650.1.p1	XM_003715587.1.p2, XM_003719211.1.p1
OG0000152	XM_001592440.1.p1	XM_003712640.1.p1
OG0000153	XM_001585870.1.p1	XM_003715405.1.p1
OG0000153	XM_001589302.1.p1	XM_003710936.1.p1
OG0000154	XM_001596645.1.p1	XM_003713133.1.p1
OG0000154	XM_001598599.1.p1	XM_003711318.1.p1
OG0000160	XM_001593836.1.p1	XM_003710688.1.p1, XM_003719261.1.p1, XM_003711054.1.p1, XM_003708745.1.p1
OG0000161	XM_001592702.1.p1	XM_003721286.1.p1
OG0000162	XM_001591247.1.p1	XM_003716486.1.p1
OG0000162	XM_001592195.1.p1	XM_003713358.1.p1
OG0000162	XM_001595063.1.p1	XM_003712684.1.p1
OG0000163	XM_001590161.1.p1	XM_003713806.1.p1
OG0000163	XM_001585206.1.p1	XM_003720206.1.p1
OG0000164	XM_001593373.1.p1	XM_003711578.1.p1, XM_003710734.1.p1, XM_003717950.1.p1
OG0000164	XM_001593632.1.p1, XM_001586807.1.p1, XM_001596412.1.p1, XM_001584550.1.p1, XM_001596232.1.p1	XM_003719787.1.p1
OG0000165	XM_001596756.1.p1, XM_001596860.1.p1, XM_001589882.1.p1	XM_003718605.1.p1
OG0000165	XM_001587209.1.p1	XM_003715201.1.p1
OG0000166	XM_001586463.1.p1	XM_003710513.1.p1
OG0000167	XM_001592726.1.p1	XM_003709297.1.p1
OG0000168	XM_001598723.1.p1	XM_003714972.1.p1
OG0000168	XM_001590057.1.p1	XM_003711440.1.p1
OG0000178	XM_001591600.1.p1	XM_003720397.1.p1
OG0000179	XM_001588453.1.p1	XM_003715665.1.p2, XM_003717630.1.p1, XM_003716962.1.p1, XM_003715883.1.p1
OG0000182	XM_001593024.1.p1	XM_003714635.1.p1, XM_003712424.1.p2
OG0000183	XM_001588991.1.p1, XM_001589386.1.p1, XM_001596531.1.p1, XM_001594279.1.p1, XM_001596997.1.p1, XM_001590646.1.p1	XM_003717705.1.p1, XM_003720219.1.p1, XM_003713344.1.p1
OG0000184	XM_001597672.1.p1	XM_016990463.1.p1
OG0000184	XM_001591699.1.p1	XM_003709413.1.p1
OG0000185	XM_001598745.1.p1, XM_001590320.1.p1	XM_003718811.1.p1
OG0000186	XM_001595051.1.p1	XM_003712687.1.p1
OG0000186	XM_001588602.1.p1	XM_003709345.1.p1
OG0000186	XM_001585915.1.p1	XM_003711961.1.p1
OG0000187	XM_001598503.1.p1, XM_001592458.1.p1, XM_001598129.1.p1	XM_003712586.1.p1, XM_003712481.1.p1, XM_003719345.1.p1, XM_003715656.1.p1, XM_003716417.1.p2, XM_003714841.1.p1, XM_003719152.1.p1, XM_016990467.1.p1
OG0000188	XM_001589466.1.p1	XM_003718869.1.p1
OG0000188	XM_001594268.1.p1	XM_003719528.1.p1, XM_003721453.1.p1, XM_003720036.1.p1, XM_003715619.1.p1, XM_003715634.1.p1, XM_003720095.1.p1, XM_003720027.1.p1, XM_003716468.1.p1, XM_003717321.1.p1, XM_003715650.1.p1, XM_003708798.1.p1
OG0000190	XM_001590076.1.p1	XM_003710290.1.p1, XM_003717335.1.p1, XM_003710289.1.p1, XM_003710707.1.p1, XM_003709033.1.p1
OG0000190	XM_001590077.1.p1	XM_003717331.1.p1, XM_003717334.1.p1, XM_003708771.1.p1, XM_003720048.1.p1, XM_003710293.1.p1, XM_003717326.1.p1
OG0000198	XM_001597870.1.p1	XM_003712788.1.p1
OG0000199	XM_001589827.1.p1	XM_003716821.1.p1
OG0000200	XM_001594936.1.p1	XM_003720233.1.p1
OG0000200	XM_001585475.1.p1	XM_003719951.1.p1
OG0000201	XM_001595147.1.p1, XM_001598330.1.p1, XM_001588568.1.p1	XM_003718361.1.p1
OG0000202	XM_001598847.1.p1	XM_003716562.1.p1, XM_003715307.1.p1
OG0000202	XM_001584653.1.p1	XM_003710158.1.p1
OG0000203	XM_001594644.1.p1	XM_003718467.1.p1, XM_003718466.1.p1
OG0000203	XM_001592310.1.p1	XM_003713557.1.p1
OG0000204	XM_001587855.1.p1	XM_003716575.1.p1
OG0000204	XM_001587231.1.p1	XM_003712075.1.p1
OG0000204	XM_001594733.1.p1	XM_003713228.1.p1
OG0000205	XM_001596117.1.p1	XM_003713899.1.p1
OG0000217	XM_001592159.1.p1	XM_003713295.1.p2
OG0000218	XM_001595191.1.p1	XM_003715559.1.p1, XM_003710247.1.p1
OG0000218	XM_001593236.1.p1	XM_003719080.1.p1
OG0000218	XM_001596788.1.p1	XM_003716310.1.p1
OG0000219	XM_001592528.1.p1	XM_003712562.1.p1
OG0000219	XM_001587021.1.p1	XM_003720439.1.p1, XM_003714258.1.p1, XM_003716131.1.p1
OG0000220	XM_001595459.1.p1, XM_001591268.1.p1	XM_003718001.1.p1
OG0000221	XM_001586279.1.p1	XM_003711159.1.p1, XM_003720053.1.p1, XM_003712065.1.p1
OG0000221	XM_001586084.1.p1, XM_001590986.1.p1	XM_003709017.1.p1, XM_003710369.1.p1, XM_003719502.1.p1
OG0000221	XM_001585452.1.p1, XM_001597636.1.p1	XM_003709123.1.p1
OG0000222	XM_001585209.1.p1	XM_003720362.1.p1
OG0000224	XM_001586644.1.p1	XM_003716656.1.p1
OG0000224	XM_001598198.1.p1	XM_003714169.1.p1, XM_003717456.1.p1
OG0000225	XM_001587468.1.p1, XM_001592654.1.p1, XM_001591377.1.p1, XM_001584499.1.p1, XM_001585807.1.p1	XM_003720676.1.p1
OG0000225	XM_001584498.1.p1	XM_003710114.1.p1
OG0000226	XM_001590327.1.p1	XM_003718866.1.p1
OG0000226	XM_001598819.1.p1	XM_003715476.1.p1
OG0000226	XM_001592460.1.p1	XM_003712977.1.p1
OG0000227	XM_001587263.1.p1	XM_003718667.1.p1
OG0000227	XM_001590923.1.p1	XM_003714783.1.p1
OG0000227	XM_001588689.1.p1	XM_003719569.1.p1
OG0000228	XM_001589423.1.p1	XM_003715566.1.p1
OG0000228	XM_001592404.1.p1	XM_003713854.1.p1
OG0000229	XM_001598727.1.p1	XM_003711737.1.p1
OG0000237	XM_001592845.1.p1	XM_003709007.1.p1
OG0000238	XM_001591864.1.p1	XM_003717286.1.p1
OG0000241	XM_001597304.1.p1	XM_003709308.1.p1
OG0000241	XM_001597572.1.p1	XM_003713402.1.p1
OG0000242	XM_001592546.1.p1	XM_003713504.1.p1
OG0000243	XM_001588260.1.p1	XM_003716697.1.p1
OG0000243	XM_001594643.1.p1	XM_003710551.1.p1
OG0000245	XM_001592504.1.p1, XM_001588723.1.p1, XM_001584925.1.p1	XM_003715954.1.p1
OG0000246	XM_001587909.1.p1, XM_001588494.1.p1, XM_001597044.1.p1	XM_003720592.1.p1
OG0000247	XM_001597985.1.p1	XM_003716936.1.p1
OG0000267	XM_001595699.1.p1	XM_003719915.1.p2
OG0000268	XM_001587970.1.p1	XM_003718026.1.p1
OG0000268	XM_001598176.1.p1	XM_003713579.1.p1
OG0000268	XM_001585240.1.p1	XM_003719648.1.p1
OG0000269	XM_001589454.1.p1	XM_003711236.1.p1
OG0000269	XM_001593481.1.p1	XM_003717962.1.p1
OG0000270	XM_001593073.1.p1	XM_003719286.1.p1, XM_003714862.1.p1
OG0000271	XM_001590289.1.p1	XM_003718719.1.p1
OG0000271	XM_001588988.1.p1	XM_003709566.1.p1
OG0000271	XM_001589567.1.p1	XM_003711554.1.p1
OG0000272	XM_001584618.1.p1	XM_003717908.1.p1, XM_003717907.1.p1
OG0000273	XM_001586557.1.p1	XM_003710514.1.p1
OG0000275	XM_001591225.1.p1	XM_003708829.1.p1, XM_003720293.1.p1, XM_003716829.1.p1, XM_003719177.1.p1, XM_003714836.1.p1, XM_003715608.1.p1, XM_003717616.1.p1
OG0000276	XM_001585226.1.p1, XM_001592024.1.p1	XM_003715779.1.p1
OG0000277	XM_001587980.1.p1	XM_003713193.1.p1
OG0000277	XM_001597932.1.p1	XM_003717267.1.p1
OG0000278	XM_001596416.1.p1	XM_003718376.1.p1
OG0000278	XM_001587427.1.p1	XM_003711059.1.p1
OG0000279	XM_001586572.1.p1	XM_003713060.1.p1
OG0000281	XM_001592409.1.p1	XM_003710601.1.p1
OG0000282	XM_001597617.1.p1	XM_003716042.1.p1
OG0000284	XM_001594946.1.p1	XM_003718508.1.p1
OG0000286	XM_001589722.1.p1	XM_003711695.1.p1
OG0000286	XM_001594634.1.p1	XM_016990486.1.p1
OG0000287	XM_001595811.1.p1	XM_003717780.1.p1
OG0000288	XM_001598882.1.p1	XM_003715035.1.p1
OG0000288	XM_001593331.1.p1, XM_001593332.1.p1	XM_016990598.1.p1
OG0000289	XM_001591936.1.p1	XM_003713884.1.p1
OG0000290	XM_001591956.1.p1	XM_003714614.1.p1
OG0000319	XM_001588879.1.p1	XM_003712550.1.p1
OG0000319	XM_001592261.1.p1	XM_003708792.1.p1
OG0000320	XM_001589336.1.p1	XM_003709962.1.p1
OG0000320	XM_001586792.1.p1	XM_003717979.1.p1
OG0000321	XM_001592740.1.p1, XM_001597493.1.p1, XM_001593717.1.p1	XM_003709738.1.p1, XM_003711772.1.p1
OG0000322	XM_001588815.1.p1	XM_003710723.1.p1, XM_003710724.1.p1
OG0000322	XM_001588360.1.p1	XM_003717626.1.p1
OG0000323	XM_001584999.1.p1	XM_003712352.1.p1
OG0000323	XM_001594922.1.p1	XM_003710944.1.p1
OG0000324	XM_001596701.1.p1	XM_003713634.1.p1
OG0000325	XM_001587766.1.p1	XM_003716126.1.p1, XM_003719382.1.p1
OG0000325	XM_001593315.1.p1	XM_003713917.1.p1
OG0000326	XM_001584948.1.p1	XM_003719628.1.p1
OG0000326	XM_001598179.1.p1	XM_003712883.1.p1, XM_003718019.1.p1, XM_003711040.1.p1
OG0000327	XM_001584827.1.p1	XM_003711760.1.p1
OG0000328	XM_001585363.1.p1	XM_003713150.1.p1, XM_003712666.1.p1, XM_003721438.1.p1
OG0000329	XM_001595733.1.p1	XM_003712146.1.p1
OG0000329	XM_001589919.1.p1	XM_003719823.1.p1
OG0000330	XM_001593088.1.p1	XM_003709040.1.p1
OG0000331	XM_001592377.1.p1	XM_003713170.1.p1, XM_003712327.1.p1, XM_003709235.1.p1
OG0000332	XM_001596509.1.p1	XM_003718927.1.p1
OG0000333	XM_001596284.1.p1	XM_003721107.1.p1
OG0000333	XM_001587094.1.p1	XM_003716143.1.p1
OG0000334	XM_001598279.1.p1	XM_003716014.1.p1, XM_003715952.1.p1
OG0000336	XM_001595453.1.p1, XM_001596092.1.p1, XM_001596924.1.p1, XM_001595296.1.p1	XM_003709675.1.p1
OG0000337	XM_001589480.1.p1	XM_003717594.1.p1, XM_003711582.1.p1
OG0000338	XM_001598065.1.p1	XM_003709616.1.p1
OG0000339	XM_001588947.1.p1	XM_003717150.1.p1
OG0000340	XM_001592926.1.p1	XM_003714208.1.p1
OG0000341	XM_001597803.1.p1	XM_003716503.1.p1, XM_003714470.1.p1
OG0000365	XM_001596349.1.p1	XM_003711139.1.p1, XM_003709124.1.p1
OG0000366	XM_001591786.1.p1, XM_001594131.1.p1, XM_001592707.1.p1, XM_001584629.1.p1	XM_003714878.1.p1, XM_003721355.1.p1, XM_003712997.1.p1
OG0000367	XM_001592612.1.p1, XM_001592610.1.p1, XM_001592606.1.p1	XM_003719702.1.p1
OG0000368	XM_001586938.1.p1	XM_003715642.1.p1, XM_003709446.1.p1
OG0000368	XM_001588755.1.p1, XM_001584513.1.p1	XM_003715518.1.p1
OG0000369	XM_001586015.1.p1	XM_003720960.1.p1
OG0000369	XM_001587228.1.p1	XM_003714044.1.p1
OG0000371	XM_001591234.1.p1	XM_003716414.1.p1
OG0000371	XM_001594454.1.p1	XM_003721098.1.p1
OG0000372	XM_001584646.1.p1	XM_003718978.1.p1
OG0000372	XM_001596426.1.p1	XM_003721403.1.p1
OG0000373	XM_001590593.1.p1, XM_001585633.1.p1	XM_003714683.1.p1
OG0000374	XM_001587306.1.p1	XM_003709176.1.p1
OG0000375	XM_001595569.1.p1	XM_003715426.1.p1
OG0000376	XM_001594730.1.p1	XM_003718582.1.p1
OG0000377	XM_001587924.1.p1	XM_003714988.1.p2
OG0000377	XM_001593312.1.p1	XM_003713301.1.p1
OG0000378	XM_001588079.1.p1	XM_003712028.1.p1
OG0000378	XM_001590690.1.p1	XM_003715224.1.p1
OG0000378	XM_001596537.1.p1	XM_003718906.1.p1
OG0000379	XM_001586451.1.p1	XM_003709581.1.p1
OG0000380	XM_001595247.1.p1	XM_003717478.1.p1, XM_003710457.1.p1
OG0000381	XM_001585956.1.p1	XM_003718237.1.p1, XM_003714722.1.p1, XM_003714723.1.p1
OG0000382	XM_001584950.1.p1	XM_003719626.1.p1
OG0000382	XM_001595688.1.p1	XM_003716969.1.p1
OG0000383	XM_001597194.1.p1	XM_003713515.1.p1
OG0000384	XM_001589597.1.p1	XM_003709032.1.p1
OG0000384	XM_001590323.1.p1	XM_003709404.1.p1
OG0000387	XM_001591137.1.p1	XM_003709164.1.p1
OG0000388	XM_001596277.1.p1	XM_003718931.1.p1
OG0000388	XM_001586516.1.p1	XM_003713777.1.p1
OG0000389	XM_001591603.1.p1	XM_003715995.1.p1
OG0000389	XM_001596455.1.p1	XM_003720075.1.p1
OG0000390	XM_001589280.1.p1	XM_016990521.1.p1
OG0000391	XM_001589004.1.p1	XM_003710515.1.p1
OG0000392	XM_001589028.1.p1	XM_003717239.1.p1
OG0000393	XM_001595140.1.p1	XM_003721289.1.p1
OG0000394	XM_001585288.1.p1	XM_003717158.1.p1
OG0000394	XM_001595033.1.p1	XM_003720859.1.p1
OG0000396	XM_001584622.1.p1	XM_003718514.1.p1
OG0000396	XM_001585072.1.p1	XM_003719383.1.p1
OG0000397	XM_001590018.1.p1	XM_003718548.1.p1
OG0000397	XM_001590603.1.p1	XM_003711921.1.p1
OG0000398	XM_001591123.1.p1	XM_003717805.1.p1
OG0000427	XM_001586521.1.p1	XM_003717059.1.p1
OG0000427	XM_001592419.1.p1	XM_003713484.1.p1
OG0000428	XM_001585625.1.p1	XM_003717390.1.p1
OG0000428	XM_001590888.1.p1	XM_003717515.1.p1
OG0000429	XM_001596902.1.p1	XM_003713368.1.p1
OG0000430	XM_001593458.1.p1	XM_003710103.1.p1
OG0000431	XM_001591777.1.p1	XM_003714293.1.p1
OG0000431	XM_001594442.1.p1	XM_003714046.1.p1
OG0000433	XM_001587880.1.p1	XM_003716933.1.p1
OG0000433	XM_001592690.1.p1	XM_003718202.1.p1
OG0000434	XM_001590112.1.p1	XM_016990452.1.p1
OG0000435	XM_001594707.1.p1, XM_001588033.1.p1	XM_003718801.1.p1
OG0000435	XM_001595847.1.p1	XM_003719538.1.p1
OG0000436	XM_001592851.1.p1	XM_003711633.1.p1
OG0000436	XM_001594381.1.p1	XM_003714573.1.p1
OG0000437	XM_001593828.1.p1, XM_001591024.1.p1	XM_003710699.1.p1
OG0000438	XM_001596549.1.p1	XM_003718603.1.p1
OG0000439	XM_001590851.1.p1	XM_003719129.1.p1
OG0000440	XM_001592836.1.p1	XM_003713965.1.p1
OG0000441	XM_001596619.1.p1	XM_003712397.1.p1
OG0000442	XM_001589749.1.p1	XM_003716572.1.p1
