Orthogroup	Sclerotinia_sclerotiorum	Fusarium_graminearum
OG0000019	XM_001598780.1.p1	XM_011323138.1.p1
OG0000019	XM_001597407.1.p1	XM_011321873.1.p1, XM_011328414.1.p1
OG0000020	XM_001598931.1.p1	XM_011321303.1.p1, XM_011322310.1.p1, XM_011322396.1.p1
OG0000029	XM_001598206.1.p1	XM_011321975.1.p1
OG0000034	XM_001593239.1.p1, XM_001589463.1.p1	XM_011321403.1.p1
OG0000034	XM_001588213.1.p1, XM_001584503.1.p1	XM_011324267.1.p1
OG0000034	XM_001592971.1.p1	XM_011323867.1.p1, XM_011329278.1.p1
OG0000035	XM_001593841.1.p1	XM_011324201.1.p1
OG0000035	XM_001595283.1.p1	XM_011323605.1.p1
OG0000037	XM_001588880.1.p1	XM_011330369.1.p1
OG0000048	XM_001589481.1.p1, XM_001593433.1.p1	XM_011319377.1.p1
OG0000048	XM_001592929.1.p1	XM_011319038.1.p1
OG0000048	XM_001585590.1.p1	XM_011325759.1.p1
OG0000048	XM_001591303.1.p1	XM_011329373.1.p1
OG0000049	XM_001594320.1.p1	XM_011324264.1.p1
OG0000049	XM_001588570.1.p1, XM_001598870.1.p1	XM_011327055.1.p1
OG0000050	XM_001595483.1.p1	XM_011329339.1.p1
OG0000050	XM_001598119.1.p1	XM_011325796.1.p1
OG0000053	XM_001595143.1.p1	XM_011317508.1.p1
OG0000053	XM_001586568.1.p1	XM_011324122.1.p1, XM_011327522.1.p1, XM_011322001.1.p1, XM_011318217.1.p1, XM_011321217.1.p1, XM_011321423.1.p1, XM_011321295.1.p1, XM_011330061.1.p1, XM_011324515.1.p1, XM_011322517.1.p1
OG0000059	XM_001595366.1.p1	XM_011317408.1.p1, XM_011320968.1.p1
OG0000059	XM_001595962.1.p1	XM_011323520.1.p1, XM_011329063.1.p1
OG0000059	XM_001586682.1.p1	XM_011322419.1.p1
OG0000060	XM_001589061.1.p1	XM_011326485.1.p1
OG0000060	XM_001596000.1.p1	XM_011329950.1.p1
OG0000060	XM_001592674.1.p1	XM_011318356.1.p2
OG0000060	XM_001597998.1.p1	XM_011318253.1.p1
OG0000061	XM_001592939.1.p1	XM_011319030.1.p2
OG0000061	XM_001588471.1.p1	XM_011324233.1.p1, XM_011323100.1.p1
OG0000061	XM_001592449.1.p1	XM_011323316.1.p1
OG0000062	XM_001597548.1.p1	XM_011324824.1.p1
OG0000062	XM_001591602.1.p1, XM_001592632.1.p1, XM_001589674.1.p1, XM_001597561.1.p1	XM_011326084.1.p1
OG0000062	XM_001585845.1.p1, XM_001596977.1.p1	XM_011324683.1.p1
OG0000062	XM_001588876.1.p1	XM_011324090.1.p1, XM_011319328.1.p1
OG0000063	XM_001594416.1.p1	XM_011327415.1.p1
OG0000063	XM_001588953.1.p1	XM_011324991.1.p1
OG0000064	XM_001595180.1.p1	XM_011321877.1.p1
OG0000068	XM_001585894.1.p1	XM_011321306.1.p1, XM_011329759.1.p1
OG0000068	XM_001586848.1.p1	XM_011327495.1.p1
OG0000068	XM_001593634.1.p1, XM_001594339.1.p1, XM_001592076.1.p1	XM_011330254.1.p1
OG0000072	XM_001597745.1.p1	XM_011324074.1.p1, XM_011324246.1.p1, XM_011324187.1.p1
OG0000080	XM_001596031.1.p1, XM_001596516.1.p1	XM_011323397.1.p1
OG0000080	XM_001584886.1.p1	XM_011320976.1.p1
OG0000080	XM_001596367.1.p1	XM_011324018.1.p1
OG0000080	XM_001585698.1.p1	XM_011324084.1.p1
OG0000080	XM_001585380.1.p1	XM_011329095.1.p1
OG0000081	XM_001596026.1.p1	XM_011317549.1.p1
OG0000081	XM_001588459.1.p1	XM_011328281.1.p1, XM_011327559.1.p1, XM_011327270.1.p1
OG0000081	XM_001592821.1.p1, XM_001590837.1.p1	XM_011324800.1.p1
OG0000082	XM_001593251.1.p1	XM_011323896.1.p1, XM_011330105.1.p1
OG0000082	XM_001593051.1.p1, XM_001593978.1.p1	XM_011320289.1.p1
OG0000083	XM_001591791.1.p1	XM_011328118.1.p1
OG0000083	XM_001594898.1.p1	XM_011328239.1.p1
OG0000083	XM_001594345.1.p1	XM_011328990.1.p1
OG0000084	XM_001589999.1.p1	XM_011328086.1.p1
OG0000084	XM_001594112.1.p1	XM_011321853.1.p1
OG0000084	XM_001587593.1.p1	XM_011317980.1.p1, XM_011330479.1.p1
OG0000087	XM_001591076.1.p1	XM_011317781.1.p1
OG0000093	XM_001589348.1.p1	XM_011318763.1.p1
OG0000094	XM_001586174.1.p1	XM_011326981.1.p1
OG0000095	XM_001598716.1.p1	XM_011323771.1.p1
OG0000095	XM_001592152.1.p1	XM_011327595.1.p1
OG0000095	XM_001593387.1.p1	XM_011330073.1.p1, XM_011324888.1.p1, XM_011329269.1.p1
OG0000096	XM_001584955.1.p1	XM_011319866.1.p1
OG0000096	XM_001584585.1.p1	XM_011319552.1.p1, XM_011323923.1.p1, XM_011325043.1.p1, XM_011322135.1.p1
OG0000096	XM_001587232.1.p1	XM_011319296.1.p1, XM_011322592.1.p1, XM_011322411.1.p1, XM_011324380.1.p1, XM_011319364.1.p1, XM_011327620.1.p1, XM_011319883.1.p1
OG0000097	XM_001595644.1.p1	XM_011323469.1.p1
OG0000097	XM_001596095.1.p1	XM_011321334.1.p1, XM_011322321.1.p1, XM_011326884.1.p1, XM_011324974.1.p1, XM_011320015.1.p1, XM_011323907.1.p1, XM_011327542.1.p1, XM_011318406.1.p1, XM_011323685.1.p1, XM_011327553.1.p1
OG0000097	XM_001591041.1.p1	XM_011319734.1.p1, XM_011329362.1.p1, XM_011319983.1.p1, XM_011322756.1.p1, XM_011326112.1.p1
OG0000098	XM_001586991.1.p1	XM_011322102.1.p1
OG0000103	XM_001597774.1.p1, XM_001598590.1.p1, XM_001596415.1.p1	XM_011321320.1.p1
OG0000112	XM_001590997.1.p1	XM_011328142.1.p1
OG0000112	XM_001591730.1.p1	XM_011325619.1.p1
OG0000112	XM_001596030.1.p1	XM_011324334.1.p1, XM_011321995.1.p1
OG0000113	XM_001597418.1.p1	XM_011319212.1.p1
OG0000113	XM_001586585.1.p1	XM_011328713.1.p1
OG0000114	XM_001598643.1.p1	XM_011327429.1.p1, XM_011323132.1.p1, XM_011317440.1.p1, XM_011319877.1.p1
OG0000114	XM_001592151.1.p1	XM_011329321.1.p1, XM_011324783.1.p1, XM_011319811.1.p1, XM_011319964.1.p1
OG0000114	XM_001585446.1.p1	XM_011318423.1.p1
OG0000115	XM_001592244.1.p1	XM_011326881.1.p2
OG0000117	XM_001588399.1.p1	XM_011327358.1.p1, XM_011319966.1.p1
OG0000117	XM_001597556.1.p1	XM_011330410.1.p1, XM_011321367.1.p1, XM_011326897.1.p1, XM_011324157.1.p1, XM_011319898.1.p1, XM_011320216.1.p1, XM_011317317.1.p1, XM_011317364.1.p1, XM_011324673.1.p1, XM_011321619.1.p1, XM_011330076.1.p1, XM_011323475.1.p1, XM_011330417.1.p1, XM_011322741.1.p1
OG0000123	XM_001592242.1.p1	XM_011318431.1.p1
OG0000129	XM_001587442.1.p1	XM_011327678.1.p1, XM_011326035.1.p1
OG0000130	XM_001590630.1.p1	XM_011329787.1.p1
OG0000130	XM_001585540.1.p1	XM_011318968.1.p1
OG0000130	XM_001590723.1.p1	XM_011325490.1.p1
OG0000130	XM_001590699.1.p1	XM_011329569.1.p1
OG0000131	XM_001588434.1.p1	XM_011327277.1.p1
OG0000131	XM_001585903.1.p1	XM_011323714.1.p1
OG0000131	XM_001586347.1.p1	XM_011318222.1.p1
OG0000132	XM_001589542.1.p1	XM_011325126.1.p1
OG0000132	XM_001587892.1.p1, XM_001595608.1.p1	XM_011329424.1.p1
OG0000132	XM_001596457.1.p1	XM_011325924.1.p1
OG0000133	XM_001594233.1.p1	XM_011322497.1.p1
OG0000133	XM_001585564.1.p1, XM_001596141.1.p1	XM_011323655.1.p1
OG0000133	XM_001597796.1.p1	XM_011327713.1.p1, XM_011323486.1.p1
OG0000134	XM_001598771.1.p1	XM_011320006.1.p1
OG0000138	XM_001592439.1.p1	XM_011318465.1.p1
OG0000138	XM_001598406.1.p1	XM_011328285.1.p1
OG0000138	XM_001598925.1.p1	XM_011322810.1.p1
OG0000139	XM_001591295.1.p1	XM_011329527.1.p1
OG0000139	XM_001586746.1.p1	XM_011327106.1.p1
OG0000140	XM_001597130.1.p1	XM_011322670.1.p1
OG0000141	XM_001585831.1.p1	XM_011329106.1.p1, XM_011324156.1.p1
OG0000141	XM_001595615.1.p1	XM_011327573.1.p1, XM_011324954.1.p1, XM_011327330.1.p1
OG0000142	XM_001584718.1.p1	XM_011318521.1.p1
OG0000142	XM_001596987.1.p1	XM_011326938.1.p1
OG0000143	XM_001597259.1.p1	XM_011322785.1.p1, XM_011327498.1.p1, XM_011322356.1.p1
OG0000150	XM_001587352.1.p1, XM_001592042.1.p1	XM_011321107.1.p1
OG0000151	XM_001590245.1.p1	XM_011326687.1.p1, XM_011327885.1.p1, XM_011327442.1.p1
OG0000152	XM_001595782.1.p1, XM_001586650.1.p1	XM_011317449.1.p1, XM_011322510.1.p1, XM_011329707.1.p1
OG0000152	XM_001592440.1.p1	XM_011325874.1.p1
OG0000153	XM_001585870.1.p1	XM_011318903.1.p1
OG0000153	XM_001589302.1.p1	XM_011318514.1.p1
OG0000154	XM_001596645.1.p1	XM_011325229.1.p1
OG0000154	XM_001594196.1.p1	XM_011329895.1.p1
OG0000154	XM_001598599.1.p1	XM_011325324.1.p1
OG0000160	XM_001593836.1.p1	XM_011317518.1.p1
OG0000161	XM_001587434.1.p1	XM_011324226.1.p1
OG0000161	XM_001592702.1.p1	XM_011323453.1.p1, XM_011322392.1.p1
OG0000162	XM_001591247.1.p1	XM_011327167.1.p1
OG0000162	XM_001592195.1.p1	XM_011320413.1.p1
OG0000162	XM_001595063.1.p1	XM_011325772.1.p1
OG0000163	XM_001590161.1.p1	XM_011320135.1.p1
OG0000163	XM_001585206.1.p1	XM_011320083.1.p1
OG0000164	XM_001593373.1.p1	XM_011323677.1.p1, XM_011322697.1.p1, XM_011321055.1.p1, XM_011321917.1.p1
OG0000164	XM_001593632.1.p1, XM_001586807.1.p1, XM_001596412.1.p1, XM_001584550.1.p1, XM_001596232.1.p1	XM_011328401.1.p1
OG0000165	XM_001587209.1.p1	XM_011329150.1.p1, XM_011321311.1.p1, XM_011321314.1.p1
OG0000166	XM_001586463.1.p1	XM_011323937.1.p1, XM_011323616.1.p1, XM_011328258.1.p1
OG0000167	XM_001592726.1.p1	XM_011320412.1.p1
OG0000168	XM_001598723.1.p1	XM_011320293.1.p1
OG0000168	XM_001590057.1.p1	XM_011327819.1.p1
OG0000178	XM_001591600.1.p1	XM_011319755.1.p1, XM_011323910.1.p1, XM_011324351.1.p1
OG0000179	XM_001588453.1.p1	XM_011324139.1.p1, XM_011324897.1.p1, XM_011329378.1.p1
OG0000182	XM_001593024.1.p1	XM_011326960.1.p1, XM_011322672.1.p1, XM_011317397.1.p1
OG0000183	XM_001588991.1.p1, XM_001589386.1.p1, XM_001596531.1.p1, XM_001594279.1.p1, XM_001596997.1.p1, XM_001590646.1.p1	XM_011328360.1.p1
OG0000184	XM_001597672.1.p1	XM_011319354.1.p1
OG0000184	XM_001598564.1.p1, XM_001584621.1.p1	XM_011330185.1.p1
OG0000184	XM_001591699.1.p1	XM_011324488.1.p1, XM_011319562.1.p1
OG0000185	XM_001598745.1.p1, XM_001590320.1.p1	XM_011317557.1.p1, XM_011319213.1.p1
OG0000186	XM_001595051.1.p1	XM_011325776.1.p1
OG0000186	XM_001588602.1.p1	XM_011327202.1.p1
OG0000186	XM_001585915.1.p1	XM_011326553.1.p1
OG0000187	XM_001598503.1.p1, XM_001592458.1.p1, XM_001598129.1.p1	XM_011326146.1.p1, XM_011327749.1.p1, XM_011325928.1.p2, XM_011323863.1.p1, XM_011323182.1.p1, XM_011327858.1.p1
OG0000188	XM_001589466.1.p1	XM_011321141.1.p1
OG0000188	XM_001594268.1.p1	XM_011329315.1.p1
OG0000189	XM_001594950.1.p1	XM_011328477.1.p1
OG0000190	XM_001590076.1.p1	XM_011317343.1.p1
OG0000198	XM_001597870.1.p1	XM_011323189.1.p1
OG0000199	XM_001589827.1.p1	XM_011323018.1.p1
OG0000200	XM_001594936.1.p1	XM_011322455.1.p1, XM_011319897.1.p1, XM_011327566.1.p1, XM_011322548.1.p1
OG0000200	XM_001585475.1.p1	XM_011327232.1.p1
OG0000201	XM_001595147.1.p1, XM_001598330.1.p1, XM_001588568.1.p1	XM_011324015.1.p1
OG0000202	XM_001597515.1.p1	XM_011318243.1.p1
OG0000202	XM_001598847.1.p1	XM_011321152.1.p1, XM_011323404.1.p1, XM_011322515.1.p1
OG0000202	XM_001584653.1.p1	XM_011329458.1.p1, XM_011322831.1.p1
OG0000203	XM_001593407.1.p1	XM_011324415.1.p1
OG0000203	XM_001594644.1.p1	XM_011317905.1.p1
OG0000203	XM_001592310.1.p1	XM_011318009.1.p1
OG0000204	XM_001587855.1.p1	XM_011324168.1.p1
OG0000204	XM_001587231.1.p1	XM_011329864.1.p1, XM_011319884.1.p1
OG0000204	XM_001594733.1.p1	XM_011320016.1.p1
OG0000205	XM_001596116.1.p1, XM_001596117.1.p1	XM_011325843.1.p1
OG0000217	XM_001592159.1.p1	XM_011323067.1.p1, XM_011317342.1.p1
OG0000218	XM_001595191.1.p1	XM_011329027.1.p1, XM_011322876.1.p1
OG0000218	XM_001596788.1.p1	XM_011326731.1.p1
OG0000218	XM_001598697.1.p1	XM_011323967.1.p1
OG0000219	XM_001592528.1.p1	XM_011320421.1.p1
OG0000219	XM_001587021.1.p1	XM_011324354.1.p1, XM_011322371.1.p1, XM_011318364.1.p1
OG0000220	XM_001595459.1.p1, XM_001591268.1.p1	XM_011326647.1.p1
OG0000221	XM_001586279.1.p1, XM_001586084.1.p1, XM_001590986.1.p1, XM_001585452.1.p1, XM_001597636.1.p1	XM_011319081.1.p1
OG0000222	XM_001585209.1.p1	XM_011323150.1.p1
OG0000224	XM_001586644.1.p1	XM_011317703.1.p1
OG0000224	XM_001598198.1.p1	XM_011321673.1.p1
OG0000225	XM_001584498.1.p1	XM_011322364.1.p1, XM_011330554.1.p1, XM_011324855.1.p1, XM_011319925.1.p1, XM_011322218.1.p1, XM_011322923.1.p1, XM_011324398.1.p1, XM_011330553.1.p1
OG0000226	XM_001590327.1.p1	XM_011329411.1.p1
OG0000226	XM_001598819.1.p1	XM_011320827.1.p1
OG0000226	XM_001592460.1.p1	XM_011330432.1.p1
OG0000227	XM_001587263.1.p1	XM_011325781.1.p1
OG0000227	XM_001590923.1.p1	XM_011329792.1.p1
OG0000227	XM_001588689.1.p1	XM_011320598.1.p1
OG0000228	XM_001589423.1.p1	XM_011324004.1.p1
OG0000228	XM_001592404.1.p1	XM_011327845.1.p1, XM_011324310.1.p1, XM_011319208.1.p1, XM_011322044.1.p1
OG0000229	XM_001598727.1.p1	XM_011320939.1.p1
OG0000237	XM_001592845.1.p1	XM_011327737.1.p1, XM_011319657.1.p1
OG0000238	XM_001591864.1.p1	XM_011325613.1.p1
OG0000239	XM_001592718.1.p1	XM_011325968.1.p1
OG0000239	XM_001598408.1.p1, XM_001589370.1.p1, XM_001593214.1.p1	XM_011324622.1.p1
OG0000239	XM_001589737.1.p1	XM_011327910.1.p1
OG0000240	XM_001597021.1.p1	XM_011320004.1.p1
OG0000241	XM_001597304.1.p1	XM_011318029.1.p1
OG0000241	XM_001597572.1.p1	XM_011317757.1.p1
OG0000242	XM_001592546.1.p1	XM_011318474.1.p1
OG0000243	XM_001588260.1.p1	XM_011318015.1.p1
OG0000243	XM_001594643.1.p1	XM_011317930.1.p1
OG0000245	XM_001592504.1.p1	XM_011319810.1.p1
OG0000245	XM_001588723.1.p1, XM_001584925.1.p1	XM_011325031.1.p1
OG0000246	XM_001587909.1.p1	XM_011322854.1.p1
OG0000246	XM_001588494.1.p1, XM_001597044.1.p1	XM_011320068.1.p1, XM_011322492.1.p1, XM_011325395.1.p1, XM_011322644.1.p1, XM_011328966.1.p1
OG0000247	XM_001597985.1.p1	XM_011324668.1.p1, XM_011323692.1.p1, XM_011317284.1.p1, XM_011321267.1.p1, XM_011330404.1.p1, XM_011327543.1.p1
OG0000267	XM_001597719.1.p1	XM_011322104.1.p1, XM_011323747.1.p1
OG0000267	XM_001595699.1.p1	XM_011318983.1.p1
OG0000267	XM_001598376.1.p1, XM_001585193.1.p1	XM_011324856.1.p1, XM_011321410.1.p1
OG0000268	XM_001587970.1.p1	XM_011326365.1.p1
OG0000268	XM_001598176.1.p1	XM_011321981.1.p1
OG0000268	XM_001585240.1.p1	XM_011323064.1.p1
OG0000269	XM_001589454.1.p1	XM_011324405.1.p1
OG0000269	XM_001593481.1.p1	XM_011321005.1.p1
OG0000270	XM_001587585.1.p1	XM_011327669.1.p1, XM_011317916.1.p1, XM_011323645.1.p1
OG0000270	XM_001586322.1.p1	XM_011323653.1.p1
OG0000270	XM_001593073.1.p1	XM_011327032.1.p1, XM_011329154.1.p1, XM_011329702.1.p1
OG0000271	XM_001590289.1.p1	XM_011326077.1.p1
OG0000271	XM_001588988.1.p1	XM_011319439.1.p1
OG0000271	XM_001589567.1.p1	XM_011318050.1.p1
OG0000272	XM_001584618.1.p1	XM_011330182.1.p3
OG0000273	XM_001586557.1.p1	XM_011328279.1.p1
OG0000274	XM_001597228.1.p1	XM_011321424.1.p1
OG0000275	XM_001591225.1.p1	XM_011327514.1.p1, XM_011324457.1.p1, XM_011323073.1.p1, XM_011327854.1.p1, XM_011325105.1.p1, XM_011327836.1.p1
OG0000276	XM_001588524.1.p1	XM_011324083.1.p1
OG0000276	XM_001585226.1.p1, XM_001592024.1.p1	XM_011322566.1.p1
OG0000277	XM_001587980.1.p1	XM_011327104.1.p1
OG0000277	XM_001597932.1.p1	XM_011328731.1.p1
OG0000278	XM_001596416.1.p1	XM_011322843.1.p1, XM_011317559.1.p1
OG0000278	XM_001587427.1.p1	XM_011324250.1.p1, XM_011325567.1.p1, XM_011329249.1.p1
OG0000278	XM_001589373.1.p1	XM_011325402.1.p1, XM_011324042.1.p1
OG0000279	XM_001586572.1.p1	XM_011319948.1.p1
OG0000280	XM_001595508.1.p1, XM_001597328.1.p1	XM_011323462.1.p1
OG0000280	XM_001588345.1.p1, XM_001596511.1.p1	XM_011324087.1.p1
OG0000281	XM_001592409.1.p1	XM_011318805.1.p1
OG0000282	XM_001597617.1.p1	XM_011330097.1.p1, XM_011326907.1.p1, XM_011317667.1.p1
OG0000284	XM_001594946.1.p1	XM_011318838.1.p1
OG0000286	XM_001589722.1.p1	XM_011321345.1.p1, XM_011328765.1.p1, XM_011323424.1.p1
OG0000286	XM_001594634.1.p1	XM_011323795.1.p1, XM_011324920.1.p1
OG0000287	XM_001595811.1.p1	XM_011326633.1.p1
OG0000288	XM_001598882.1.p1	XM_011320278.1.p1
OG0000288	XM_001593331.1.p1, XM_001593332.1.p1	XM_011324010.1.p1, XM_011324843.1.p1, XM_011326862.1.p1, XM_011324326.1.p1, XM_011323793.1.p1, XM_011318176.1.p1, XM_011325080.1.p1
OG0000289	XM_001591936.1.p1	XM_011328261.1.p1
OG0000290	XM_001591956.1.p1	XM_011325821.1.p1
OG0000319	XM_001588879.1.p1	XM_011323075.1.p1
OG0000319	XM_001592261.1.p1	XM_011325088.1.p1
OG0000320	XM_001589336.1.p1	XM_011328236.1.p1
OG0000320	XM_001586792.1.p1	XM_011317685.1.p1
OG0000321	XM_001592740.1.p1, XM_001597493.1.p1, XM_001593717.1.p1	XM_011325980.1.p1
OG0000322	XM_001588815.1.p1	XM_011318991.1.p1
OG0000322	XM_001588360.1.p1	XM_011321000.1.p1
OG0000323	XM_001584999.1.p1	XM_011329733.1.p1, XM_011323400.1.p1
OG0000323	XM_001589189.1.p1	XM_011327639.1.p1
OG0000323	XM_001594922.1.p1	XM_011319692.1.p1, XM_011318503.1.p1
OG0000324	XM_001596701.1.p1	XM_011328445.1.p1
OG0000325	XM_001587766.1.p1	XM_011324213.1.p1, XM_011327157.1.p1
OG0000325	XM_001593315.1.p1	XM_011317454.1.p1
OG0000326	XM_001584948.1.p1	XM_011329663.1.p1
OG0000326	XM_001598179.1.p1	XM_011321276.1.p1, XM_011324943.1.p1
OG0000327	XM_001584827.1.p1	XM_011322583.1.p1, XM_011326432.1.p1, XM_011319792.1.p1, XM_011323698.1.p1, XM_011329445.1.p1
OG0000327	XM_001597592.1.p1, XM_001584825.1.p1, XM_001596768.1.p1	XM_011324916.1.p1
OG0000328	XM_001585363.1.p1	XM_011328087.1.p1
OG0000329	XM_001595733.1.p1	XM_011321053.1.p1
OG0000329	XM_001589919.1.p1	XM_011328784.1.p1
OG0000330	XM_001593088.1.p1	XM_011322599.1.p1
OG0000330	XM_001595520.1.p1	XM_011322245.1.p1, XM_011319184.1.p1
