Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Colletotrichum_gloeosporioides_rna_prot
OG0000033	XM_001596148.1.p1	XM_045405321.1.p1
OG0000033	XM_001596769.1.p1, XM_001594271.1.p1	XM_045406532.1.p1
OG0000033	XM_001587869.1.p1	XM_045410484.1.p1, XM_045400570.1.p1
OG0000034	XM_001590944.1.p1	XM_045403598.1.p1
OG0000034	XM_001588360.1.p1	XM_045412879.1.p1
OG0000034	XM_001588815.1.p1	XM_045410409.1.p1
OG0000034	XM_001593688.1.p1	XM_045412242.1.p1
OG0000035	XM_001589899.1.p1	XM_045414347.1.p1, XM_045405213.1.p1, XM_045407330.1.p1, XM_045401211.1.p1, XM_045403116.1.p1, XM_045412883.1.p1, XM_045404923.1.p1
OG0000035	XM_001595898.1.p1	XM_045403827.1.p1, XM_045407152.1.p1
OG0000035	XM_001595682.1.p1	XM_045405560.1.p1
OG0000036	XM_001597457.1.p1	XM_045409863.1.p1
OG0000036	XM_001595981.1.p1	XM_045405550.1.p1
OG0000037	XM_001585193.1.p1, XM_001598376.1.p1	XM_045403725.1.p1
OG0000037	XM_001597719.1.p1	XM_045414508.1.p1, XM_045415282.1.p1, XM_045400846.1.p1
OG0000037	XM_001585740.1.p1	XM_045408774.1.p1
OG0000038	XM_001597383.1.p1	XM_045411177.1.p1, XM_045409328.1.p1, XM_045402219.1.p1, XM_045410215.1.p1
OG0000038	XM_001586848.1.p1	XM_045413905.1.p1, XM_045411502.1.p1
OG0000038	XM_001592076.1.p1, XM_001594339.1.p1	XM_045408788.1.p1
OG0000038	XM_001590964.1.p1	XM_045411653.1.p1
OG0000039	XM_001594345.1.p1	XM_045413542.1.p1
OG0000039	XM_001597754.1.p1	XM_045411485.1.p1
OG0000039	XM_001594898.1.p1	XM_045404842.1.p1, XM_045413345.1.p1
OG0000039	XM_001591791.1.p1	XM_045407758.1.p1
OG0000040	XM_001587209.1.p1	XM_045405025.1.p1, XM_045411152.1.p1
OG0000040	XM_001593301.1.p1	XM_045401193.1.p1
OG0000041	XM_001593646.1.p1	XM_045400671.1.p1
OG0000041	XM_001591780.1.p1	XM_045413911.1.p1, XM_045404592.1.p1
OG0000041	XM_001584734.1.p1	XM_045407171.1.p1
OG0000041	XM_001585351.1.p1	XM_045409748.1.p1
OG0000042	XM_001595143.1.p1	XM_045409012.1.p1
OG0000042	XM_001586568.1.p1	XM_045413645.1.p1
OG0000043	XM_001597597.1.p1	XM_045401349.1.p1
OG0000043	XM_001595893.1.p1	XM_045402693.1.p1
OG0000043	XM_001596074.1.p1	XM_045401328.1.p1, XM_045404382.1.p1
OG0000043	XM_001597513.1.p1	XM_045408828.1.p1, XM_045406537.1.p1, XM_045408285.1.p1
OG0000045	XM_001587065.1.p1	XM_045402097.1.p1
OG0000045	XM_001596126.1.p1	XM_045413452.1.p1
OG0000045	XM_001585698.1.p1	XM_045410762.1.p1
OG0000046	XM_001586463.1.p1	XM_045406187.1.p1
OG0000046	XM_001586462.1.p1	XM_045406542.1.p1
OG0000046	XM_001587340.1.p1	XM_045402679.1.p1
OG0000046	XM_001586379.1.p1	XM_045409969.1.p1
OG0000048	XM_001597604.1.p1	XM_045409908.1.p1
OG0000048	XM_001594212.1.p1	XM_045404643.1.p1
OG0000048	XM_001586792.1.p1	XM_045404462.1.p1
OG0000049	XM_001593236.1.p1	XM_045406951.1.p1
OG0000049	XM_001598697.1.p1	XM_045406831.1.p1, XM_045403684.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_045405793.1.p1
OG0000050	XM_001598547.1.p1	XM_045403075.1.p1, XM_045401770.1.p1
OG0000050	XM_001585954.1.p1	XM_045402011.1.p1
OG0000050	XM_001594907.1.p1	XM_045404819.1.p1
OG0000050	XM_001598548.1.p1	XM_045409496.1.p1
OG0000050	XM_001594937.1.p1	XM_045404763.1.p1
OG0000051	XM_001589798.1.p1	XM_045403296.1.p1
OG0000051	XM_001598899.1.p1	XM_045402214.1.p1
OG0000051	XM_001590870.1.p1	XM_045404577.1.p1
OG0000051	XM_001587951.1.p1	XM_045411103.1.p1
OG0000052	XM_001585446.1.p1	XM_045403290.1.p1
OG0000052	XM_001595011.1.p1	XM_045411471.1.p1
OG0000052	XM_001598643.1.p1	XM_045412073.1.p1
OG0000053	XM_001588399.1.p1	XM_045413934.1.p1
OG0000053	XM_001590608.1.p1	XM_045403237.1.p1
OG0000053	XM_001597556.1.p1	XM_045409368.1.p1
OG0000054	XM_001585845.1.p1	XM_045415191.1.p1, XM_045415188.1.p1
OG0000054	XM_001595945.1.p1	XM_045404037.1.p1
OG0000054	XM_001589469.1.p1	XM_045412755.1.p1, XM_045407056.1.p1
OG0000054	XM_001588876.1.p1	XM_045406428.1.p1
OG0000054	XM_001597561.1.p1, XM_001589674.1.p1, XM_001591602.1.p1, XM_001592632.1.p1	XM_045411959.1.p1
OG0000054	XM_001587362.1.p1	XM_045408407.1.p1
OG0000054	XM_001597751.1.p1	XM_045411487.1.p1
OG0000055	XM_001589853.1.p1	XM_045403900.1.p1
OG0000055	XM_001587585.1.p1	XM_045413885.1.p1
OG0000055	XM_001586322.1.p1	XM_045401375.1.p1
OG0000056	XM_001591650.1.p1	XM_045406777.1.p1
OG0000056	XM_001593553.1.p1	XM_045408560.1.p1
OG0000056	XM_001591666.1.p1	XM_045400926.1.p1
OG0000056	XM_001591171.1.p1	XM_045413996.1.p1
OG0000056	XM_001584923.1.p1	XM_045407636.1.p1
OG0000056	XM_001593890.1.p1	XM_045414974.1.p1, XM_045414363.1.p1, XM_045406418.1.p1, XM_045409561.1.p1, XM_045405117.1.p1
OG0000057	XM_001594938.1.p1	XM_045414269.1.p1
OG0000058	XM_001597998.1.p1	XM_045402410.1.p1
OG0000058	XM_001596000.1.p1	XM_045402627.1.p1
OG0000058	XM_001592674.1.p1	XM_045400205.1.p1
OG0000058	XM_001589509.1.p1	XM_045409271.1.p1
OG0000058	XM_001589061.1.p1	XM_045408902.1.p1
OG0000059	XM_001596874.1.p1	XM_045412640.1.p1, XM_045411785.1.p1
OG0000059	XM_001590905.1.p1	XM_045402879.1.p1, XM_045408331.1.p1
OG0000059	XM_001591046.1.p1, XM_001595946.1.p1	XM_045415015.1.p1
OG0000059	XM_001595855.1.p1	XM_045404988.1.p1, XM_045407110.1.p1
OG0000059	XM_001585108.1.p1	XM_045414234.1.p1, XM_045410220.1.p1, XM_045405145.1.p1, XM_045401747.1.p1, XM_045400654.1.p1
OG0000060	XM_001592814.1.p1	XM_045400228.1.p1
OG0000061	XM_001592625.1.p1	XM_045415413.1.p1
OG0000062	XM_001595980.1.p1	XM_045410120.1.p1, XM_045409802.1.p1, XM_045408381.1.p1
OG0000062	XM_001592845.1.p1	XM_045409209.1.p1, XM_045411613.1.p1, XM_045405768.1.p1, XM_045403123.1.p1, XM_045400318.1.p1
OG0000062	XM_001595701.1.p1	XM_045401042.1.p1
OG0000063	XM_001594922.1.p1	XM_045404228.1.p1
OG0000064	XM_001585209.1.p1	XM_045414131.1.p1
OG0000064	XM_001588665.1.p1	XM_045408660.1.p1
OG0000064	XM_001594438.1.p1	XM_045404986.1.p1, XM_045409028.1.p1
OG0000065	XM_001588469.1.p1	XM_045415037.1.p1
OG0000065	XM_001597774.1.p1, XM_001598590.1.p1	XM_045413925.1.p1, XM_045409317.1.p1
OG0000066	XM_001592949.1.p1	XM_045413853.1.p1, XM_045408215.1.p1
OG0000069	XM_001590565.1.p1	XM_045409304.1.p1
OG0000069	XM_001589526.1.p1	XM_045413596.1.p1, XM_045412628.1.p1, XM_045414387.1.p1, XM_045410540.1.p1
OG0000069	XM_001597778.1.p1	XM_045405397.1.p1
OG0000069	XM_001589598.1.p1	XM_045408048.1.p1
OG0000070	XM_001598556.1.p1	XM_045400978.1.p1
OG0000070	XM_001587941.1.p1	XM_045406792.1.p1
OG0000070	XM_001588423.1.p1	XM_045412585.1.p1
OG0000071	XM_001593511.1.p1	XM_045411370.1.p1
OG0000071	XM_001587924.1.p1	XM_045401804.1.p1
OG0000071	XM_001593312.1.p1	XM_045400524.1.p1
OG0000072	XM_001585746.1.p1	XM_045412790.1.p1
OG0000072	XM_001591150.1.p1	XM_045412241.1.p1
OG0000072	XM_001590639.1.p1	XM_045400750.1.p1, XM_045404731.1.p1
OG0000072	XM_001589810.1.p1	XM_045403471.1.p1
OG0000073	XM_001584713.1.p1, XM_001596969.1.p1, XM_001590156.1.p1, XM_001586330.1.p1, XM_001593291.1.p1, XM_001589577.1.p1, XM_001585045.1.p1, XM_001587397.1.p1	XM_045407719.1.p1
OG0000073	XM_001591346.1.p1, XM_001596564.1.p1, XM_001588518.1.p1, XM_001592346.1.p1, XM_001589432.1.p1, XM_001586390.1.p1, XM_001586364.1.p1, XM_001588285.1.p1, XM_001591681.1.p1, XM_001594262.1.p1, XM_001587042.1.p1, XM_001589135.1.p1, XM_001594066.1.p1, XM_001592555.1.p1, XM_001598368.1.p1, XM_001589547.1.p1, XM_001587031.1.p1, XM_001597254.1.p1, XM_001594006.1.p1, XM_001585046.1.p1, XM_001587043.1.p1, XM_001598359.1.p1, XM_001587465.1.p1, XM_001591370.1.p1, XM_001589576.1.p1, XM_001593440.1.p1, XM_001591652.1.p1, XM_001589130.1.p1, XM_001588425.1.p1, XM_001585810.1.p1, XM_001589755.1.p1, XM_001584981.1.p1	XM_045409947.1.p1, XM_045403672.1.p1, XM_045406875.1.p1, XM_045412127.1.p1, XM_045414857.1.p1, XM_045412173.1.p1
OG0000075	XM_001596825.1.p1	XM_045407981.1.p1, XM_045413803.1.p1, XM_045413802.1.p1, XM_045411425.1.p1, XM_045403997.1.p1, XM_045410829.1.p1, XM_045407038.1.p1
OG0000075	XM_001589867.1.p1	XM_045406013.1.p1
OG0000076	XM_001595074.1.p1	XM_045411953.1.p1
OG0000076	XM_001597093.1.p1	XM_045401990.1.p1
OG0000076	XM_001589714.1.p1	XM_045414754.1.p1
OG0000076	XM_001587341.1.p1	XM_045409093.1.p1
OG0000077	XM_001591303.1.p1	XM_045415297.1.p1
OG0000077	XM_001592929.1.p1	XM_045400239.1.p1
OG0000077	XM_001585590.1.p1	XM_045406069.1.p1
OG0000077	XM_001593433.1.p1	XM_045408461.1.p1
OG0000078	XM_001594013.1.p1	XM_045402864.1.p1, XM_045408494.1.p1, XM_045408095.1.p1, XM_045402524.1.p1
OG0000078	XM_001597054.1.p1	XM_045415018.1.p1
OG0000078	XM_001584698.1.p1	XM_045406374.1.p1, XM_045407040.1.p1
OG0000078	XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	XM_045406815.1.p1
OG0000079	XM_001596030.1.p1	XM_045402659.1.p1
OG0000079	XM_001591730.1.p1	XM_045406244.1.p1
OG0000079	XM_001598063.1.p1	XM_045401843.1.p1
OG0000079	XM_001590997.1.p1	XM_045401576.1.p1
OG0000080	XM_001585697.1.p1	XM_045405844.1.p1
OG0000080	XM_001597918.1.p1	XM_045404177.1.p1, XM_045401514.1.p1, XM_045405271.1.p1, XM_045400556.1.p1, XM_045401244.1.p1, XM_045401788.1.p1
OG0000081	XM_001592987.1.p1	XM_045400438.1.p1
OG0000081	XM_001586053.1.p1	XM_045412433.1.p1
OG0000081	XM_001589644.1.p1	XM_045408074.1.p1
OG0000081	XM_001593006.1.p1	XM_045405530.1.p1, XM_045401157.1.p1
OG0000082	XM_001590030.1.p1	XM_045406963.1.p1, XM_045401384.1.p1
OG0000082	XM_001595339.1.p1	XM_045407360.1.p1
OG0000082	XM_001594647.1.p1	XM_045411022.1.p1
OG0000084	XM_001590245.1.p1	XM_045411428.1.p1, XM_045414023.1.p1
OG0000085	XM_001598503.1.p1	XM_045407374.1.p1, XM_045407912.1.p1
