Orthogroup	Sclerotinia_sclerotiorum	Tribolium_castaneum
OG0000173	XM_001591585.1.p1, XM_001592731.1.p1, XM_001595395.1.p1, XM_001598793.1.p1, XM_001594402.1.p1, XM_001595584.1.p1, XM_001593460.1.p1, XM_001598271.1.p1, XM_001593987.1.p1, XM_001584494.1.p1, XM_001592148.1.p1, XM_001595196.1.p1, XM_001592714.1.p1, XM_001592651.1.p1, XM_001593459.1.p1, XM_001595585.1.p1, XM_001589759.1.p1	TC009399.p1, TC012952.p1, TC031778.p1, TC034292.p1
OG0000179	XM_001588453.1.p1	TC009139.p1
OG0000186	XM_001595051.1.p1	TC009174.p1
OG0000186	XM_001588602.1.p1	TC002784.p1
OG0000186	XM_001585915.1.p1	TC008415.p1
OG0000189	XM_001594950.1.p1	TC010333.p1, TC012429.p1, TC010896.p1, TC032038.p1
OG0000198	XM_001597870.1.p1	TC012016.p1, TC031765.p1, TC013336.p1, TC033202.p1
OG0000199	XM_001589827.1.p1	TC012676.p1, TC003518.p1, TC001638.p1, TC034442.p1, TC010766.p1, TC010951.p1
OG0000205	XM_001596116.1.p1, XM_001596117.1.p1	TC005701.p1, TC011997.p1, TC011998.p1, TC031512.p1
OG0000217	XM_001592159.1.p1	TC013008.p1
OG0000219	XM_001592528.1.p1	TC008691.p1
OG0000220	XM_001595459.1.p1, XM_001591268.1.p1	TC032131.p1, TC007325.p1, TC007672.p1, TC004289.p1, TC009173.p1, TC003342.p1, TC031516.p1, TC012616.p1, TC000182.p1, TC003328.p1, TC015377.p1
OG0000224	XM_001586644.1.p1, XM_001598198.1.p1	TC013762.p1, TC011525.p1, TC005857.p1
OG0000226	XM_001590327.1.p1, XM_001598819.1.p1, XM_001592460.1.p1	TC030715.p1, TC013255.p1
OG0000227	XM_001587263.1.p1	TC000634.p1
OG0000227	XM_001590923.1.p1	TC006680.p1
OG0000227	XM_001588689.1.p1	TC014543.p1, TC001612.p1
OG0000238	XM_001591864.1.p1	TC002813.p1, TC013630.p1, TC014185.p1, TC013245.p1, TC015957.p1, TC030577.p1, TC002814.p1, TC031071.p1, TC004761.p1, TC008062.p1, TC008064.p1, TC005482.p1
OG0000239	XM_001592718.1.p1, XM_001598408.1.p1, XM_001589370.1.p1, XM_001593214.1.p1, XM_001589737.1.p1	TC034503.p1, TC011385.p1, TC011090.p1
OG0000241	XM_001597304.1.p1, XM_001597572.1.p1	TC011027.p1, TC000273.p1, TC004522.p1, TC004873.p1
OG0000242	XM_001592546.1.p1	TC032606.p1, TC031695.p1, TC003000.p1, TC003707.p1, TC032893.p1, TC001442.p1, TC014373.p1, TC014284.p1, TC004673.p1, TC009560.p1, TC008099.p1, TC014867.p1, TC013501.p1
OG0000243	XM_001588260.1.p1	TC033312.p1
OG0000243	XM_001594643.1.p1	TC033793.p1, TC004664.p1
OG0000247	XM_001597985.1.p1	TC000411.p1, TC002552.p1, TC002551.p1, TC032581.p1, TC034858.p1
OG0000268	XM_001587970.1.p1, XM_001598176.1.p1	TC011945.p1, TC003573.p1
OG0000268	XM_001585240.1.p1	TC008142.p1
OG0000272	XM_001584618.1.p1	TC009189.p1, TC007641.p1, TC015810.p1, TC012868.p1, TC016051.p1
OG0000273	XM_001586557.1.p1	TC000150.p1, TC012593.p1, TC033870.p1, TC032341.p1
OG0000274	XM_001597228.1.p1	TC000981.p1, TC014402.p1
OG0000280	XM_001595508.1.p1, XM_001597328.1.p1, XM_001588345.1.p1, XM_001596511.1.p1	TC014348.p1, TC001368.p1, TC000170.p1, TC001367.p1
OG0000281	XM_001592409.1.p1	TC010609.p1, TC033206.p1, TC015221.p1, TC015755.p1, TC013882.p1, TC012552.p1, TC006112.p1, TC012205.p1, TC009830.p1, TC015374.p1, TC013758.p1
OG0000282	XM_001597617.1.p1	TC014228.p1, TC014229.p1
OG0000284	XM_001594946.1.p1	TC000680.p1, TC000679.p1, TC000681.p1, TC000682.p1, TC032095.p1, TC000678.p1
OG0000286	XM_001589722.1.p1, XM_001594634.1.p1	TC012730.p1, TC012729.p1
OG0000287	XM_001595811.1.p1	TC000321.p1, TC031252.p1, TC006851.p1, TC007707.p1
OG0000289	XM_001591936.1.p1	TC034798.p1, TC000322.p1, TC013032.p1
OG0000290	XM_001591956.1.p1	TC012253.p1
OG0000291	XM_001592039.1.p1	TC016169.p1, TC002158.p1, TC004346.p1, TC010631.p1, TC004341.p1, TC004339.p1, TC001909.p1, TC008591.p1, TC005263.p1, TC015482.p1, TC010981.p1, TC004211.p1, TC005036.p1, TC006958.p1
OG0000320	XM_001589336.1.p1, XM_001586792.1.p1	TC004142.p1
OG0000324	XM_001596701.1.p1	TC006389.p1
OG0000325	XM_001587766.1.p1, XM_001593315.1.p1	TC009289.p1, TC033558.p1, TC009520.p1, TC009286.p1
OG0000329	XM_001595733.1.p1	TC030579.p1
OG0000329	XM_001589919.1.p1	TC003944.p1, TC006296.p1, TC013746.p1
OG0000331	XM_001592377.1.p1	TC001467.p1
OG0000332	XM_001596509.1.p1	TC015766.p1, TC003094.p1
OG0000338	XM_001598065.1.p1	TC014862.p1, TC033332.p1, TC031094.p1
OG0000339	XM_001595542.1.p1, XM_001588947.1.p1, XM_001588068.1.p1	TC000534.p1, TC000533.p1, TC003549.p1
OG0000340	XM_001592926.1.p1	TC014966.p1
OG0000367	XM_001592612.1.p1, XM_001592610.1.p1, XM_001592606.1.p1	TC003445.p1
OG0000370	XM_001592007.1.p1, XM_001590412.1.p1, XM_001595207.1.p1, XM_001597920.1.p1, XM_001585008.1.p1	TC032913.p1, TC008471.p1
OG0000374	XM_001587306.1.p1	TC001983.p1, TC031101.p1, TC031091.p1
OG0000375	XM_001595569.1.p1	TC008896.p1, TC004769.p1, TC011808.p1, TC006704.p1, TC014416.p1
OG0000376	XM_001594730.1.p1	TC031982.p1
OG0000377	XM_001587924.1.p1	TC014505.p1
OG0000377	XM_001593312.1.p1	TC002359.p1, TC004820.p1
OG0000379	XM_001586451.1.p1	TC030738.p1
OG0000380	XM_001595247.1.p1, XM_001597555.1.p1	TC007420.p1, TC033594.p1, TC009636.p1
OG0000381	XM_001585956.1.p1	TC014620.p1, TC008787.p1
OG0000382	XM_001584950.1.p1	TC014364.p1
OG0000382	XM_001595688.1.p1	TC013019.p1
OG0000383	XM_001597194.1.p1, XM_001596042.1.p1	TC034095.p1, TC011005.p1, TC030898.p1, TC033194.p1
OG0000387	XM_001591137.1.p1, XM_001593237.1.p1	TC030761.p1
OG0000388	XM_001596277.1.p1	TC032723.p1
OG0000388	XM_001586516.1.p1	TC015321.p1, TC008406.p1
OG0000389	XM_001591603.1.p1	TC000578.p1
OG0000390	XM_001589280.1.p1	TC007032.p1, TC032904.p1, TC007030.p1, TC007029.p1, TC032906.p1, TC032905.p1, TC011039.p1, TC005858.p1, TC031113.p1, TC031408.p1
OG0000391	XM_001589004.1.p1	TC006203.p1, TC033410.p1, TC033362.p1
OG0000392	XM_001589028.1.p1	TC011124.p1
OG0000393	XM_001595140.1.p1	TC008185.p1, TC003582.p1, TC010799.p1, TC005946.p1
OG0000394	XM_001585288.1.p1, XM_001595033.1.p1	TC005012.p1, TC011406.p1, TC014143.p1
OG0000397	XM_001590018.1.p1, XM_001590603.1.p1	TC003158.p1
OG0000398	XM_001591123.1.p1	TC006170.p1, TC005317.p1
OG0000427	XM_001592419.1.p1	TC007578.p1
OG0000431	XM_001591777.1.p1, XM_001594441.1.p1, XM_001594442.1.p1	TC000540.p1
OG0000433	XM_001587880.1.p1, XM_001592690.1.p1	TC004593.p1
OG0000434	XM_001590112.1.p1	TC003439.p1, TC003438.p1, TC003437.p1, TC003436.p1, TC002992.p1
OG0000435	XM_001594707.1.p1, XM_001588033.1.p1	TC003446.p1
OG0000435	XM_001595847.1.p1	TC031691.p1
OG0000436	XM_001592851.1.p1	TC002540.p1
OG0000436	XM_001594381.1.p1	TC006104.p1
OG0000438	XM_001596549.1.p1	TC010879.p1
OG0000441	XM_001586676.1.p1, XM_001596619.1.p1	TC015907.p1, TC031524.p1
OG0000444	XM_001598489.1.p1	TC033838.p1, TC001253.p1, TC033839.p1, TC000305.p1, TC005932.p1
OG0000445	XM_001589340.1.p1, XM_001586411.1.p1, XM_001589980.1.p1	TC001165.p1
OG0000447	XM_001598638.1.p1	TC031159.p1, TC013046.p1, TC013047.p1, TC013048.p1, TC013045.p1, TC012188.p1, TC012187.p1, TC012276.p1
OG0000451	XM_001593295.1.p1, XM_001598316.1.p1	TC014904.p1, TC000399.p1
OG0000452	XM_001593840.1.p1, XM_001598313.1.p1	TC002149.p1, TC003143.p1, TC000091.p1
OG0000454	XM_001594215.1.p1	TC011729.p1, TC012754.p1, TC011730.p1
OG0000455	XM_001590945.1.p1	TC033711.p1, TC033710.p1, TC005068.p1
OG0000455	XM_001597585.1.p1	TC010429.p1
OG0000456	XM_001598556.1.p1	TC000687.p1, TC013186.p1, TC011826.p1, TC013142.p1, TC000583.p1, TC003203.p1
OG0000458	XM_001597703.1.p1	TC015301.p1, TC013191.p1, TC012507.p1, TC030769.p1, TC011165.p1
OG0000459	XM_001586561.1.p1	TC032195.p1, TC003159.p1, TC007970.p1
OG0000460	XM_001591933.1.p1, XM_001587571.1.p1	TC034585.p1, TC002938.p1, TC033318.p1
OG0000461	XM_001590012.1.p1	TC005461.p1
OG0000461	XM_001591479.1.p1	TC005867.p1
OG0000473	XM_001587087.1.p1, XM_001590270.1.p1, XM_001588597.1.p1, XM_001585658.1.p1, XM_001596057.1.p1	TC032884.p1, TC033643.p1
OG0000473	XM_001590271.1.p1	TC012337.p1
OG0000483	XM_001585437.1.p1	TC013187.p1
OG0000483	XM_001586040.1.p1	TC000961.p1, TC002141.p1
OG0000484	XM_001595705.1.p1	TC014563.p1
OG0000484	XM_001590736.1.p1	TC004141.p1
OG0000486	XM_001585913.1.p1	TC010121.p1
OG0000487	XM_001594577.1.p1	TC031972.p1
OG0000487	XM_001585929.1.p1	TC034734.p1
OG0000489	XM_001591061.1.p1	TC013626.p1, TC009925.p1, TC001907.p1, TC013625.p1, TC032946.p1, TC004611.p1, TC011050.p1
OG0000490	XM_001591069.1.p1	TC008867.p1, TC014728.p1, TC010074.p1, TC014727.p1, TC000792.p1
OG0000492	XM_001597732.1.p1, XM_001594531.1.p1	TC031122.p1
OG0000495	XM_001584773.1.p1, XM_001595211.1.p1	TC013913.p1, TC000590.p1
OG0000496	XM_001594289.1.p1, XM_001586883.1.p1	TC010856.p1, TC015328.p1, TC009432.p1
OG0000497	XM_001590113.1.p1	TC005905.p1, TC005904.p1, TC015783.p1, TC006463.p1, TC004027.p1, TC004026.p1
OG0000498	XM_001596005.1.p1	TC012072.p1
OG0000499	XM_001585254.1.p1, XM_001585145.1.p1	TC007923.p1, TC003809.p1
OG0000500	XM_001597450.1.p1	TC030563.p1, TC014554.p1
OG0000501	XM_001590763.1.p1, XM_001594596.1.p1	TC012392.p1
OG0000502	XM_001595590.1.p1, XM_001586737.1.p1	TC015993.p1
OG0000505	XM_001595888.1.p1	TC014562.p1
OG0000506	XM_001592376.1.p1	TC002584.p1
OG0000506	XM_001596584.1.p1	TC009705.p1
OG0000507	XM_001598498.1.p1	TC010914.p1, TC002075.p1
OG0000507	XM_001596182.1.p1	TC002609.p1, TC008012.p1
OG0000508	XM_001598855.1.p1, XM_001592491.1.p1	TC007805.p1, TC007816.p1
OG0000509	XM_001592574.1.p1	TC011254.p1
OG0000510	XM_001589200.1.p1, XM_001592573.1.p1	TC006353.p1, TC011981.p1, TC010855.p1
OG0000511	XM_001588302.1.p1	TC005624.p1, TC034107.p1, TC015979.p1, TC015978.p1
OG0000512	XM_001593161.1.p1	TC008262.p1
OG0000513	XM_001586220.1.p1	TC014767.p1
OG0000513	XM_001597022.1.p1	TC004606.p1
OG0000516	XM_001594601.1.p1	TC014113.p1
OG0000516	XM_001592146.1.p1	TC009998.p1
OG0000520	XM_001586662.1.p1	TC031006.p1
OG0000522	XM_001590375.1.p1	TC006185.p1, TC014482.p1
OG0000523	XM_001595596.1.p1	TC006471.p1
OG0000526	XM_001597112.1.p1, XM_001591627.1.p1	TC011702.p1
OG0000532	XM_001591640.1.p1	TC014124.p1, TC033960.p1, TC000837.p1, TC011697.p1, TC034613.p1, TC011696.p1
OG0000533	XM_001592277.1.p1	TC013676.p1
OG0000537	XM_001591152.1.p1	TC008714.p1, TC010110.p1, TC010117.p1, TC016303.p1, TC010109.p1
OG0000538	XM_001589957.1.p1	TC003466.p1
OG0000572	XM_001589225.1.p1	TC015660.p1
OG0000572	XM_001588923.1.p1	TC013727.p1
OG0000573	XM_001588787.1.p1	TC012736.p1, TC009208.p1, TC013075.p1, TC009907.p1, TC001673.p1, TC010659.p1
OG0000574	XM_001596577.1.p1, XM_001594411.1.p1, XM_001594412.1.p1	TC000626.p1
OG0000579	XM_001592955.1.p1, XM_001588227.1.p1	TC007865.p1, TC002698.p1
OG0000580	XM_001585637.1.p1, XM_001586145.1.p1	TC013591.p1
OG0000581	XM_001593087.1.p1	TC015952.p1, TC009086.p1, TC031995.p1
OG0000582	XM_001585910.1.p1, XM_001597032.1.p1	TC008948.p1
OG0000583	XM_001596733.1.p1, XM_001588666.1.p1	TC004497.p1
OG0000584	XM_001598928.1.p1	TC004891.p1
OG0000585	XM_001587685.1.p1	TC034816.p1
OG0000590	XM_001594207.1.p1, XM_001589029.1.p1, XM_001588396.1.p1	TC003216.p1
OG0000593	XM_001594465.1.p1	TC010103.p1
OG0000593	XM_001592658.1.p1	TC013328.p1
OG0000597	XM_001591625.1.p1	TC008066.p1, TC013907.p1, TC000609.p1, TC015545.p1, TC000531.p1
OG0000600	XM_001593005.1.p1	TC009883.p1, TC033847.p1, TC033846.p1
OG0000601	XM_001593383.1.p1, XM_001593382.1.p1	TC006253.p1, TC014226.p1, TC008919.p1, TC013493.p1, TC030775.p1
OG0000602	XM_001587809.1.p1	TC008357.p1, TC008358.p1, TC008359.p1
OG0000603	XM_001588641.1.p1	TC014245.p1
OG0000604	XM_001584794.1.p1, XM_001588443.1.p1	TC034824.p1, TC006284.p1, TC006611.p1
OG0000605	XM_001586293.1.p1	TC006109.p1, TC004590.p1
OG0000608	XM_001595749.1.p1, XM_001591676.1.p1, XM_001593335.1.p1	TC009633.p1
OG0000612	XM_001592026.1.p1, XM_001592563.1.p1	TC004730.p1, TC010157.p1
OG0000614	XM_001592514.1.p1	TC015429.p1
OG0000620	XM_001589418.1.p1, XM_001589600.1.p1	TC031402.p1, TC010483.p1
OG0000621	XM_001598602.1.p1	TC010362.p1, TC010355.p1, TC010354.p1
OG0000623	XM_001592910.1.p1	TC002925.p1, TC000431.p1, TC007135.p1, TC001139.p1
OG0000624	XM_001593803.1.p1, XM_001596379.1.p1	TC013521.p1, TC009593.p1
OG0000625	XM_001589667.1.p1, XM_001587433.1.p1	TC002857.p1
OG0000629	XM_001594794.1.p1	TC010829.p1, TC011969.p1, TC034766.p1, TC009035.p1, TC009589.p1
OG0000631	XM_001593422.1.p1, XM_001597381.1.p1	TC013214.p1, TC033195.p1
OG0000632	XM_001586769.1.p1, XM_001590674.1.p1	TC015061.p1
OG0000633	XM_001586741.1.p1	TC002162.p1
OG0000635	XM_001595650.1.p1	TC006516.p1
OG0000636	XM_001592755.1.p1	TC008474.p1, TC034515.p1, TC033009.p1, TC008426.p1, TC016297.p1
OG0000638	XM_001596614.1.p1	TC001720.p1
OG0000639	XM_001597675.1.p1	TC003144.p1, TC010475.p1, TC000480.p1, TC000296.p1, TC004119.p1, TC010474.p1
OG0000640	XM_001595226.1.p1	TC002875.p1
OG0000642	XM_001593873.1.p1	TC010479.p1
OG0000644	XM_001586412.1.p1	TC031520.p1, TC031673.p1
OG0000645	XM_001592588.1.p1	TC009325.p1
OG0000647	XM_001590735.1.p1	TC003417.p1, TC001179.p1
OG0000649	XM_001595966.1.p1, XM_001595965.1.p1	TC033413.p1
OG0000650	XM_001591192.1.p1	TC031185.p1, TC008818.p1
OG0000651	XM_001589867.1.p1	TC006040.p1, TC008629.p1, TC013909.p1, TC009623.p1, TC011311.p1
OG0000654	XM_001590171.1.p1	TC034448.p1, TC007082.p1, TC006029.p1
OG0000683	XM_001596111.1.p1	TC005861.p1, TC005849.p1, TC005860.p1, TC034827.p1
OG0000689	XM_001598930.1.p1	TC013486.p1, TC014313.p1, TC033126.p1, TC032400.p1, TC012857.p1
OG0000691	XM_001596841.1.p1, XM_001598866.1.p1	TC002741.p1
OG0000693	XM_001586996.1.p1, XM_001595543.1.p1	TC006024.p1
OG0000695	XM_001597686.1.p1	TC011312.p1, TC002602.p1, TC015650.p1
OG0000696	XM_001592962.1.p1	TC008732.p1, TC012622.p1, TC030624.p1
OG0000697	XM_001592059.1.p1	TC015613.p1
OG0000700	XM_001584906.1.p1, XM_001592747.1.p1	TC000686.p1, TC014458.p1
OG0000701	XM_001592679.1.p1	TC011774.p1
OG0000702	XM_001598084.1.p1	TC007229.p1
OG0000703	XM_001587072.1.p1, XM_001596650.1.p1	TC000365.p1
OG0000706	XM_001590210.1.p1	TC009647.p1, TC000880.p1
OG0000707	XM_001588042.1.p1, XM_001594347.1.p1	TC011170.p1, TC011169.p1
OG0000708	XM_001594380.1.p1	TC000235.p1, TC013703.p1, TC007731.p1
OG0000711	XM_001593541.1.p1	TC032931.p1, TC005605.p1, TC005604.p1
OG0000712	XM_001594045.1.p1	TC009085.p1, TC014227.p1, TC006108.p1, TC001680.p1, TC009441.p1, TC003408.p1
OG0000713	XM_001595178.1.p1, XM_001596937.1.p1	TC034375.p1, TC006052.p1, TC033950.p1, TC001570.p1
OG0000714	XM_001592758.1.p1	TC004451.p1, TC004440.p1, TC000586.p1, TC011939.p1
OG0000715	XM_001593006.1.p1	TC032179.p1
OG0000716	XM_001597536.1.p1	TC013669.p1
OG0000718	XM_001587897.1.p1	TC015782.p1
OG0000723	XM_001595072.1.p1	TC007539.p1, TC032020.p1, TC034155.p1
OG0000724	XM_001585543.1.p1, XM_001596093.1.p1	TC007567.p1, TC015355.p1
OG0000726	XM_001596814.1.p1	TC006275.p1, TC033161.p1, TC033160.p1, TC001564.p1
OG0000727	XM_001598010.1.p1	TC014816.p1
OG0000728	XM_001598003.1.p1	TC032973.p1, TC008588.p1, TC034340.p1, TC013171.p1
OG0000731	XM_001591997.1.p1	TC034297.p1, TC030627.p1
OG0000735	XM_001586874.1.p1, XM_001595974.1.p1	TC015502.p1
OG0000737	XM_001586489.1.p1	TC016126.p1, TC011913.p1, TC011912.p1
OG0000739	XM_001588421.1.p1	TC002561.p1, TC005859.p1, TC003942.p1, TC011926.p1, TC003425.p1
OG0000749	XM_001594373.1.p1	TC033806.p1, TC016041.p1
OG0000752	XM_001594710.1.p1	TC004380.p1, TC004884.p1, TC006530.p1
OG0000753	XM_001597364.1.p1, XM_001595651.1.p1	TC014137.p1
OG0000755	XM_001592450.1.p1	TC000844.p1
