Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Verticillium_dahliae_rna_prot
OG0000053	XM_001590608.1.p1	XM_009654424.1.p1
OG0000054	XM_001595452.1.p1, XM_001596090.1.p1, XM_001597548.1.p1, XM_001587362.1.p1	XM_009657864.1.p1
OG0000054	XM_001597751.1.p1	XM_009657331.1.p1, XM_009660173.1.p1
OG0000055	XM_001587585.1.p1	XM_009657612.1.p1
OG0000055	XM_001593073.1.p1	XM_009654660.1.p1, XM_009654664.1.p1
OG0000056	XM_001591650.1.p1	XM_009654609.1.p1
OG0000056	XM_001593553.1.p1	XM_009653370.1.p1
OG0000056	XM_001591666.1.p1	XM_009650149.1.p1
OG0000056	XM_001591171.1.p1	XM_009657640.1.p1
OG0000056	XM_001593890.1.p1	XM_009654057.1.p1, XM_009657516.1.p1
OG0000057	XM_001594938.1.p1	XM_009654624.1.p1
OG0000058	XM_001597998.1.p1	XM_009655815.1.p1
OG0000058	XM_001596000.1.p1	XM_009652411.1.p1
OG0000058	XM_001592674.1.p1	XM_009649987.1.p1
OG0000058	XM_001589509.1.p1	XM_009651691.1.p1
OG0000058	XM_001589061.1.p1	XM_009651819.1.p1
OG0000059	XM_001595855.1.p1	XM_009655557.1.p1, XM_009659729.1.p1
OG0000060	XM_001592814.1.p1	XM_009649966.1.p1
OG0000060	XM_001595874.1.p1	XM_009654418.1.p1
OG0000061	XM_001592625.1.p1	XM_009651175.1.p1
OG0000062	XM_001595980.1.p1	XM_009659370.1.p1
OG0000062	XM_001595701.1.p1	XM_009651059.1.p1, XM_009653031.1.p1
OG0000063	XM_001594922.1.p1	XM_009651069.1.p1
OG0000064	XM_001585209.1.p1	XM_009657502.1.p1
OG0000064	XM_001594438.1.p1	XM_009659767.1.p1
OG0000065	XM_001588469.1.p1	XM_009658615.1.p1
OG0000065	XM_001590788.1.p1	XM_009657668.1.p1
OG0000069	XM_001589526.1.p1	XM_009659074.1.p1
OG0000069	XM_001589598.1.p1	XM_009651943.1.p1
OG0000070	XM_001598556.1.p1	XM_009650200.1.p1
OG0000070	XM_001587941.1.p1	XM_009655109.1.p1
OG0000070	XM_001588423.1.p1	XM_009659668.1.p1
OG0000071	XM_001593511.1.p1	XM_009651472.1.p1
OG0000071	XM_001593038.1.p1	XM_009649890.1.p1
OG0000071	XM_001587924.1.p1	XM_009650303.1.p1
OG0000071	XM_001593312.1.p1	XM_009659275.1.p1
OG0000072	XM_001590639.1.p1	XM_009650604.1.p1
OG0000072	XM_001589810.1.p1	XM_009655781.1.p1
OG0000075	XM_001596825.1.p1	XM_009651842.1.p1, XM_009653542.1.p1, XM_009653402.1.p1, XM_009654441.1.p1, XM_009652663.1.p1, XM_009654495.1.p1
OG0000075	XM_001589867.1.p1	XM_009655257.1.p1
OG0000076	XM_001595074.1.p1	XM_009658566.1.p1
OG0000076	XM_001597093.1.p1	XM_009656787.1.p1
OG0000076	XM_001589714.1.p1	XM_009656344.1.p1
OG0000076	XM_001587341.1.p1	XM_009657918.1.p1
OG0000077	XM_001591303.1.p1	XM_009658501.1.p1
OG0000077	XM_001592929.1.p1	XM_009649955.1.p1
OG0000077	XM_001585590.1.p1	XM_009655311.1.p1
OG0000077	XM_001593433.1.p1	XM_009653029.1.p1
OG0000078	XM_001597054.1.p1	XM_009655035.1.p1
OG0000078	XM_001584698.1.p1	XM_009659008.1.p1
OG0000078	XM_001595455.1.p1, XM_001588491.1.p1, XM_001589846.1.p1	XM_009651335.1.p1
OG0000079	XM_001596030.1.p1	XM_009652388.1.p1
OG0000079	XM_001591730.1.p1	XM_009659327.1.p1
OG0000079	XM_001598063.1.p1	XM_009660072.1.p1
OG0000079	XM_001590997.1.p1	XM_009650272.1.p1
OG0000080	XM_001585697.1.p1	XM_009653982.1.p1, XM_009658229.1.p1
OG0000080	XM_001590695.1.p1	XM_009656579.1.p1
OG0000080	XM_001597918.1.p1	XM_009654058.1.p1
OG0000081	XM_001592987.1.p1	XM_009659093.1.p1
OG0000081	XM_001586053.1.p1	XM_009654556.1.p1
OG0000081	XM_001589644.1.p1	XM_009651926.1.p1
OG0000081	XM_001593006.1.p1	XM_009659195.1.p1
OG0000082	XM_001590030.1.p1	XM_009655608.1.p1, XM_009657200.1.p1
OG0000082	XM_001595339.1.p1	XM_009654679.1.p1
OG0000085	XM_001598503.1.p1	XM_009658643.1.p1
OG0000087	XM_001595355.1.p1	XM_009654686.1.p1
OG0000087	XM_001598496.1.p1	XM_009660214.1.p1
OG0000087	XM_001597703.1.p1	XM_009652023.1.p1
OG0000088	XM_001586938.1.p1	XM_009656097.1.p1
OG0000088	XM_001596104.1.p1	XM_009656073.1.p1
OG0000088	XM_001588755.1.p1, XM_001584513.1.p1	XM_009651521.1.p1, XM_009658272.1.p1
OG0000089	XM_001591699.1.p1	XM_009654257.1.p1
OG0000089	XM_001597672.1.p1	XM_009656782.1.p1
OG0000090	XM_001592643.1.p1, XM_001594729.1.p1	XM_009651878.1.p1
OG0000090	XM_001594001.1.p1	XM_009652917.1.p1
OG0000092	XM_001591109.1.p1	XM_009656573.1.p1, XM_009651864.1.p1, XM_009657321.1.p1
OG0000092	XM_001598670.1.p1	XM_009656442.1.p1
OG0000092	XM_001591083.1.p1, XM_001594825.1.p1	XM_009656929.1.p1
OG0000092	XM_001588329.1.p1	XM_009655884.1.p1
OG0000093	XM_001595187.1.p1, XM_001592451.1.p1	XM_009653386.1.p1
OG0000094	XM_001589274.1.p1	XM_009651951.1.p1
OG0000094	XM_001594932.1.p1	XM_009657027.1.p1
OG0000094	XM_001592044.1.p1	XM_009652240.1.p1
OG0000095	XM_001593952.1.p1	XM_009657747.1.p1
OG0000095	XM_001596701.1.p1	XM_009650705.1.p1
OG0000096	XM_001587422.1.p1	XM_009657701.1.p1
OG0000096	XM_001590839.1.p1	XM_009652771.1.p1
OG0000097	XM_001593373.1.p1	XM_009651637.1.p1, XM_009655405.1.p1, XM_009650168.1.p1
OG0000097	XM_001593632.1.p1	XM_009653302.1.p1
OG0000097	XM_001596232.1.p1, XM_001586807.1.p1, XM_001596412.1.p1	XM_009655540.1.p1
OG0000097	XM_001584550.1.p1	XM_009651975.1.p1
OG0000099	XM_001597745.1.p1	XM_009654104.1.p1, XM_009655605.1.p1, XM_009650028.1.p1
OG0000100	XM_001594288.1.p1, XM_001592042.1.p1, XM_001587352.1.p1	XM_009658093.1.p1
OG0000102	XM_001598599.1.p1	XM_009660221.1.p1
OG0000102	XM_001594196.1.p1	XM_009651314.1.p1
OG0000102	XM_001598841.1.p1	XM_009651574.1.p1
OG0000102	XM_001588472.1.p1	XM_009658611.1.p1
OG0000103	XM_001596956.1.p1	XM_009650669.1.p1, XM_009657093.1.p1
OG0000103	XM_001588403.1.p1	XM_009659460.1.p1
OG0000104	XM_001597178.1.p1	XM_009650789.1.p1
OG0000104	XM_001590303.1.p1, XM_001585253.1.p1	XM_009656768.1.p1
OG0000104	XM_001592112.1.p1	XM_009652749.1.p1
OG0000105	XM_001595490.1.p1	XM_009657642.1.p1
OG0000105	XM_001595043.1.p1	XM_009656452.1.p1, XM_009653726.1.p1, XM_009651876.1.p1
OG0000106	XM_001588849.1.p1	XM_009653759.1.p1
OG0000106	XM_001592616.1.p1, XM_001585859.1.p1, XM_001593631.1.p1, XM_001597808.1.p1	XM_009653397.1.p1, XM_009655239.1.p1, XM_009655366.1.p1
OG0000107	XM_001592404.1.p1	XM_009650497.1.p1
OG0000108	XM_001591983.1.p1	XM_009654763.1.p1, XM_009658803.1.p1
OG0000108	XM_001593720.1.p1	XM_009651047.1.p1
OG0000109	XM_001598413.1.p1	XM_009652830.1.p1
OG0000110	XM_001598036.1.p1	XM_009652489.1.p1
OG0000110	XM_001598035.1.p1	XM_009652490.1.p1
OG0000111	XM_001590699.1.p1	XM_009651919.1.p1
OG0000111	XM_001590723.1.p1	XM_009652672.1.p1
OG0000111	XM_001590630.1.p1	XM_009651861.1.p1
OG0000111	XM_001585540.1.p1	XM_009658051.1.p1
OG0000112	XM_001589454.1.p1	XM_009658764.1.p1
OG0000113	XM_001598286.1.p1	XM_009653951.1.p1, XM_009658419.1.p1
OG0000113	XM_001589093.1.p1	XM_009651947.1.p1
OG0000113	XM_001587022.1.p1	XM_009649900.1.p1
OG0000113	XM_001596658.1.p1	XM_009652043.1.p1
OG0000114	XM_001595727.1.p1	XM_009655824.1.p1
OG0000114	XM_001595917.1.p1	XM_009658040.1.p1
OG0000114	XM_001596499.1.p1	XM_009653430.1.p1
OG0000114	XM_001592280.1.p1	XM_009652642.1.p1
OG0000118	XM_001595655.1.p1	XM_009650171.1.p1, XM_009652741.1.p1
OG0000120	XM_001593387.1.p1, XM_001586972.1.p1	XM_009655901.1.p1, XM_009657053.1.p1
OG0000120	XM_001592152.1.p1	XM_009652132.1.p1
OG0000121	XM_001595985.1.p1	XM_009657252.1.p1
OG0000122	XM_001595033.1.p1	XM_009653294.1.p1
OG0000122	XM_001585288.1.p1	XM_009658852.1.p1
OG0000123	XM_001592460.1.p1	XM_009658305.1.p1
OG0000123	XM_001590327.1.p1	XM_009659740.1.p1
OG0000123	XM_001598819.1.p1	XM_009651413.1.p1
OG0000125	XM_001591726.1.p1, XM_001589602.1.p1	XM_009658446.1.p1
OG0000126	XM_001594679.1.p1	XM_009652255.1.p1
OG0000126	XM_001598751.1.p1	XM_009652667.1.p1
OG0000127	XM_001585475.1.p1	XM_009656412.1.p1
OG0000127	XM_001594936.1.p1	XM_009654053.1.p1
OG0000128	XM_001593926.1.p1	XM_009657940.1.p1
OG0000128	XM_001588790.1.p1	XM_009655816.1.p1
OG0000129	XM_001590739.1.p1	XM_009658097.1.p1
OG0000129	XM_001592853.1.p1	XM_009659273.1.p1
OG0000129	XM_001587396.1.p1	XM_009659735.1.p1, XM_009651434.1.p1
OG0000130	XM_001587434.1.p1	XM_009659959.1.p1
OG0000131	XM_001584948.1.p1	XM_009659993.1.p1
OG0000133	XM_001594131.1.p1	XM_009658490.1.p1
OG0000134	XM_001593823.1.p1	XM_009654108.1.p1
OG0000135	XM_001590091.1.p1	XM_009656021.1.p1, XM_009654336.1.p1
OG0000136	XM_001585363.1.p1	XM_009655902.1.p1, XM_009658947.1.p1
OG0000137	XM_001595718.1.p1	XM_009652900.1.p1
OG0000137	XM_001590475.1.p1	XM_009660005.1.p1
OG0000137	XM_001593484.1.p1	XM_009653233.1.p1
OG0000138	XM_001598876.1.p1	XM_009654837.1.p1, XM_009656148.1.p1
OG0000139	XM_001590289.1.p1	XM_009658530.1.p1
OG0000139	XM_001591243.1.p1	XM_009649759.1.p1
OG0000140	XM_001589200.1.p1	XM_009650603.1.p1
OG0000140	XM_001587152.1.p1	XM_009655946.1.p1
OG0000141	XM_001591233.1.p1	XM_009658217.1.p1
OG0000142	XM_001596718.1.p1	XM_009657484.1.p1
OG0000143	XM_001587980.1.p1	XM_009651441.1.p1, XM_009658178.1.p1
OG0000143	XM_001597932.1.p1	XM_009659927.1.p1
OG0000144	XM_001595270.1.p1	XM_009657925.1.p1
OG0000145	XM_001596988.1.p1	XM_009652619.1.p1
OG0000145	XM_001591190.1.p1	XM_009650165.1.p1
OG0000145	XM_001589003.1.p1	XM_009651356.1.p1
OG0000146	XM_001597255.1.p1, XM_001594227.1.p1, XM_001589883.1.p1, XM_001593755.1.p1, XM_001585223.1.p1, XM_001584668.1.p1, XM_001589264.1.p1, XM_001589629.1.p1, XM_001585471.1.p1, XM_001592683.1.p1, XM_001586372.1.p1, XM_001593562.1.p1, XM_001598683.1.p1, XM_001592973.1.p1, XM_001586962.1.p1, XM_001587559.1.p1, XM_001593302.1.p1, XM_001589640.1.p1, XM_001584717.1.p1, XM_001596418.1.p1, XM_001597775.1.p1, XM_001587634.1.p1, XM_001591005.1.p1, XM_001589864.1.p1, XM_001586389.1.p1, XM_001586957.1.p1, XM_001592190.1.p1, XM_001587033.1.p1, XM_001589115.1.p1, XM_001596163.1.p1, XM_001587274.1.p1, XM_001587639.1.p1, XM_001587580.1.p1, XM_001584524.1.p1, XM_001597991.1.p1, XM_001595673.1.p1, XM_001590549.1.p1, XM_001592235.1.p1, XM_001592645.1.p1, XM_001591878.1.p1, XM_001591964.1.p1, XM_001587039.1.p1, XM_001587779.1.p1, XM_001585974.1.p1, XM_001597770.1.p1, XM_001589451.1.p1, XM_001587079.1.p1, XM_001584931.1.p1, XM_001592165.1.p1, XM_001587205.1.p1, XM_001586097.1.p1, XM_001591368.1.p1	XM_009658078.1.p1
OG0000147	XM_001598847.1.p1	XM_009655844.1.p1
OG0000148	XM_001598192.1.p1	XM_009650422.1.p1
OG0000149	XM_001591982.1.p1	XM_009656328.1.p1
OG0000150	XM_001591864.1.p1	XM_009659323.1.p1
OG0000150	XM_001592862.1.p1	XM_009659283.1.p1
OG0000150	XM_001598441.1.p1	XM_009655333.1.p1
OG0000151	XM_001590918.1.p1	XM_009656818.1.p1
OG0000151	XM_001595088.1.p1	XM_009655292.1.p1
OG0000151	XM_001585695.1.p1	XM_009659832.1.p1
OG0000152	XM_001587185.1.p1	XM_009657611.1.p1, XM_009656085.1.p1, XM_009658067.1.p1
OG0000152	XM_001584799.1.p1	XM_009652090.1.p1
OG0000153	XM_001589373.1.p1	XM_009658479.1.p1, XM_009654421.1.p1
OG0000153	XM_001596416.1.p1	XM_009652320.1.p1
OG0000153	XM_001587427.1.p1	XM_009653898.1.p1
OG0000154	XM_001597904.1.p1	XM_009656049.1.p1, XM_009651051.1.p1, XM_009653740.1.p1, XM_009657531.1.p1
OG0000155	XM_001595155.1.p1	XM_009653220.1.p1
OG0000155	XM_001585183.1.p1	XM_009652078.1.p1
OG0000156	XM_001590138.1.p1	XM_009658126.1.p1
OG0000156	XM_001590558.1.p1	XM_009654852.1.p1
OG0000157	XM_001591936.1.p1	XM_009655174.1.p1
OG0000157	XM_001584928.1.p1	XM_009657597.1.p1
OG0000158	XM_001591152.1.p1	XM_009650206.1.p1
OG0000158	XM_001596750.1.p1	XM_009657415.1.p1
OG0000159	XM_001586220.1.p1	XM_009653527.1.p1
OG0000159	XM_001597022.1.p1	XM_009660162.1.p1
OG0000159	XM_001596681.1.p1	XM_009650692.1.p1
OG0000160	XM_001598265.1.p1	XM_009653958.1.p1
OG0000160	XM_001591639.1.p1	XM_009654600.1.p1
OG0000160	XM_001598745.1.p1, XM_001590320.1.p1	XM_009657262.1.p1, XM_009655043.1.p1, XM_009651310.1.p1, XM_009656762.1.p1
OG0000161	XM_001588180.1.p1	XM_009653749.1.p1, XM_009654917.1.p1
OG0000161	XM_001585748.1.p1	XM_009651560.1.p1
OG0000162	XM_001598406.1.p1	XM_009655187.1.p1
OG0000162	XM_001598925.1.p1	XM_009653263.1.p1
OG0000162	XM_001592439.1.p1	XM_009650814.1.p1
OG0000163	XM_001588689.1.p1	XM_009651509.1.p1
OG0000163	XM_001590923.1.p1	XM_009656783.1.p1
OG0000163	XM_001587263.1.p1	XM_009655129.1.p1
OG0000164	XM_001598198.1.p1	XM_009650416.1.p1
OG0000164	XM_001586644.1.p1	XM_009659642.1.p1
OG0000165	XM_001584900.1.p1	XM_009657581.1.p1
OG0000165	XM_001594773.1.p1	XM_009657064.1.p1
OG0000165	XM_001586001.1.p1	XM_009651809.1.p1
OG0000166	XM_001596176.1.p1	XM_009652428.1.p1
OG0000166	XM_001596435.1.p1	XM_009656807.1.p1
OG0000166	XM_001595405.1.p1	XM_009656484.1.p1
OG0000167	XM_001592412.1.p1	XM_009651841.1.p1
OG0000167	XM_001596554.1.p1	XM_009655454.1.p1, XM_009651007.1.p1
OG0000168	XM_001587221.1.p1	XM_009655483.1.p1, XM_009655486.1.p1, XM_009653401.1.p1, XM_009656552.1.p1, XM_009654498.1.p1
OG0000169	XM_001592310.1.p1	XM_009651087.1.p1
OG0000169	XM_001594644.1.p1	XM_009657025.1.p1
